time,Golden State,pts.away,score,pts.home,Miami
5:04.0,,,11-17,2,H. Whiteside makes 2-pt shot from 3 ft (assist by G. Dragic)
5:04.0,A. Varejao enters the game for A. Bogut,,11-17,,
5:04.0,L. Barbosa enters the game for K. Thompson,,11-17,,
5:04.0,,,11-17,,J. Richardson enters the game for J. Winslow
5:04.0,H. Barnes enters the game for D. Green,,11-17,,
5:04.0,,,11-18,1,H. Whiteside makes free throw 1 of 1
4:53.0,Shooting foul by G. Green (drawn by A. Varejao),,11-18,,
4:53.0,A. Varejao makes free throw 1 of 2,1,12-18,,
4:53.0,A. Varejao misses free throw 2 of 2,,12-18,,
4:52.0,,,12-18,,Defensive rebound by H. Whiteside
4:37.0,,,12-20,2,L. Deng makes 2-pt shot from 5 ft
4:13.0,A. Varejao misses 2-pt shot from 14 ft,,12-20,,
4:12.0,Offensive rebound by H. Barnes,,12-20,,
4:05.0,Turnover by H. Barnes (3 sec),,12-20,,
3:52.0,,,12-20,,G. Dragic misses 3-pt shot from 25 ft
3:51.0,Defensive rebound by A. Varejao,,12-20,,
3:42.0,L. Barbosa makes 2-pt shot from 11 ft (assist by A. Varejao),2,14-20,,
3:36.0,,,14-20,,Miami full timeout
3:26.0,,,14-20,,Offensive foul by H. Whiteside
3:26.0,,,14-20,,Turnover by H. Whiteside (offensive foul)
3:09.0,S. Curry makes 2-pt shot from 14 ft,2,16-20,,
2:55.0,,,16-20,,Turnover by J. Richardson (lost ball; steal by H. Barnes)
2:51.0,H. Barnes misses 2-pt shot from 1 ft (block by L. Deng),,16-20,,
2:50.0,Offensive rebound by S. Curry,,16-20,,
2:43.0,L. Barbosa misses 2-pt shot from 1 ft,,16-20,,
2:42.0,,,16-20,,Defensive rebound by L. Deng
2:35.0,,,16-22,2,H. Whiteside makes 2-pt shot at rim (assist by L. Deng)
2:24.0,A. Varejao misses 2-pt shot from 4 ft,,16-22,,
2:23.0,,,16-22,,Defensive rebound by H. Whiteside
2:08.0,,,16-24,2,H. Whiteside makes 2-pt shot at rim (assist by G. Dragic)
1:52.0,A. Iguodala misses 2-pt shot from 14 ft,,16-24,,
1:51.0,,,16-24,,Defensive rebound by L. Deng
1:36.0,,,16-26,2,H. Whiteside makes 2-pt shot from 18 ft (assist by G. Dragic)
1:24.0,S. Curry misses 2-pt shot from 21 ft,,16-26,,
1:23.0,,,16-26,,Defensive rebound by H. Whiteside
1:11.0,,,16-26,,L. Deng misses 2-pt shot from 20 ft
1:09.0,,,16-26,,Offensive rebound by H. Whiteside
1:07.0,,,16-28,2,H. Whiteside makes 2-pt shot from 12 ft
1:07.0,Golden State full timeout,,16-28,,
1:07.0,,,16-28,,D. Wade enters the game for L. Deng
1:07.0,,,16-28,,J. Winslow enters the game for G. Dragic
0:48.0,Turnover by S. Curry (lost ball; steal by J. Winslow),,16-28,,
0:45.0,Personal foul by A. Iguodala,,16-28,,
0:34.0,,,16-28,,Turnover by D. Wade (lost ball; steal by L. Barbosa)
0:34.0,,,16-28,,Personal foul by D. Wade
0:23.0,S. Curry makes 2-pt shot from 21 ft (assist by A. Iguodala),2,18-28,,
0:06.0,,,18-30,2,J. Winslow makes 2-pt shot at rim (assist by D. Wade)
0:01.0,S. Curry makes 3-pt shot from 40 ft,3,21-30,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,K. Thompson makes 2-pt shot from 15 ft (assist by D. Green),2,23-30,,
11:33.0,,,23-30,,Turnover by D. Wade (illegal screen)
11:24.0,A. Bogut makes 2-pt shot at rim (assist by A. Iguodala),2,25-30,,
10:57.0,,,25-30,,H. Whiteside misses 2-pt shot from 18 ft
10:56.0,,,25-30,,Offensive rebound by J. Richardson
10:43.0,,,25-30,,Shooting foul by S. Livingston (drawn by H. Whiteside)
10:43.0,,,25-31,1,H. Whiteside makes free throw 1 of 2
10:43.0,,,25-32,1,H. Whiteside makes free throw 2 of 2
10:29.0,K. Thompson misses 2-pt shot from 16 ft,,25-32,,
10:28.0,Offensive rebound by A. Bogut,,25-32,,
10:16.0,D. Green misses 3-pt shot from 25 ft,,25-32,,
10:15.0,,,25-32,,Defensive rebound by J. Winslow
10:04.0,,,25-32,,D. Wade misses 2-pt shot from 16 ft
10:03.0,Defensive rebound by D. Green,,25-32,,
9:49.0,,,25-32,,Violation by H. Whiteside (def goaltending)
9:49.0,D. Green makes 2-pt shot from 2 ft,2,27-32,,
9:27.0,,,27-35,3,J. Richardson makes 3-pt shot from 23 ft (assist by J. Winslow)
9:13.0,K. Thompson misses 3-pt shot from 24 ft,,27-35,,
9:12.0,,,27-35,,Defensive rebound by J. Winslow
9:05.0,,,27-35,,Turnover by G. Green (lost ball; steal by K. Thompson)
8:50.0,S. Livingston misses 2-pt shot from 16 ft,,27-35,,
8:49.0,,,27-35,,Defensive rebound by H. Whiteside
8:40.0,,,27-35,,D. Wade misses 2-pt shot from 2 ft
8:39.0,,,27-35,,Offensive rebound by J. Winslow
8:37.0,,,27-37,2,D. Wade makes 2-pt shot from 1 ft (assist by J. Winslow)
8:23.0,S. Livingston misses 2-pt shot from 16 ft,,27-37,,
8:22.0,,,27-37,,Defensive rebound by J. Winslow
8:17.0,,,27-37,,Turnover by J. Winslow (lost ball; steal by K. Thompson)
8:15.0,,,27-37,,Technical foul by Team
8:15.0,K. Thompson makes technical free throw,1,28-37,,
8:03.0,A. Iguodala makes 2-pt shot from 20 ft,2,30-37,,
7:39.0,,,30-37,,Shooting foul by A. Bogut (drawn by H. Whiteside)
7:39.0,Official timeout,,30-37,,
7:39.0,,,30-37,,J. McRoberts enters the game for J. Winslow
7:39.0,Violation by Team (delay of game),,30-37,,
7:39.0,,,30-38,1,H. Whiteside makes free throw 1 of 2
7:39.0,,,30-39,1,H. Whiteside makes free throw 2 of 2
7:23.0,K. Thompson makes 2-pt shot from 16 ft (assist by S. Livingston),2,32-39,,
7:05.0,,,32-41,2,D. Wade makes 2-pt shot from 1 ft
6:53.0,K. Thompson misses 2-pt shot from 16 ft,,32-41,,
6:52.0,,,32-41,,Defensive rebound by J. McRoberts
6:41.0,,,32-44,3,J. Richardson makes 3-pt shot from 23 ft (assist by D. Wade)
6:20.0,S. Livingston misses 2-pt shot from 4 ft (block by J. Richardson),,32-44,,
6:17.0,,,32-44,,Defensive rebound by H. Whiteside
5:59.0,,,32-44,,J. McRoberts misses 3-pt shot from 25 ft
5:58.0,Defensive rebound by A. Bogut,,32-44,,
5:48.0,A. Iguodala makes 3-pt shot from 22 ft (assist by S. Livingston),3,35-44,,
5:48.0,,,35-44,,Miami full timeout
5:48.0,S. Curry enters the game for A. Iguodala,,35-44,,
5:48.0,,,35-44,,L. Deng enters the game for D. Wade
5:48.0,,,35-44,,G. Dragic enters the game for G. Green
5:33.0,,,35-44,,Shooting foul by S. Livingston (drawn by L. Deng)
5:33.0,,,35-45,1,L. Deng makes free throw 1 of 2
5:33.0,,,35-45,,L. Deng misses free throw 2 of 2
5:32.0,,,35-45,,Offensive rebound by L. Deng
5:25.0,Personal foul by A. Bogut,,35-45,,
5:09.0,,,35-45,,J. McRoberts misses 2-pt shot from 16 ft
5:08.0,Defensive rebound by D. Green,,35-45,,
4:52.0,S. Curry misses 3-pt shot from 25 ft,,35-45,,
4:51.0,,,35-45,,Defensive rebound by L. Deng
4:40.0,,,35-45,,J. Richardson misses 2-pt shot from 17 ft
4:39.0,Defensive rebound by D. Green,,35-45,,
4:33.0,K. Thompson makes 2-pt shot from 1 ft,2,37-45,,
4:18.0,,,37-45,,J. McRoberts misses 2-pt shot from 1 ft
4:17.0,Defensive rebound by A. Bogut,,37-45,,
4:12.0,S. Livingston makes 2-pt shot at rim (assist by S. Curry),2,39-45,,
3:52.0,,,39-47,2,G. Dragic makes 2-pt shot from 1 ft
3:29.0,Turnover by S. Livingston (offensive foul),,39-47,,
3:29.0,Offensive foul by S. Livingston,,39-47,,
3:29.0,B. Rush enters the game for A. Bogut,,39-47,,
3:29.0,H. Barnes enters the game for S. Livingston,,39-47,,
3:29.0,,,39-47,,J. Winslow enters the game for H. Whiteside
3:20.0,,,39-47,,G. Dragic misses 2-pt shot at rim
3:19.0,,,39-47,,Offensive rebound by J. Winslow
3:18.0,,,39-49,2,J. Winslow makes 2-pt shot from 1 ft
3:06.0,D. Green misses 2-pt shot from 1 ft (block by J. Winslow),,39-49,,
3:05.0,,,39-49,,Defensive rebound by J. Richardson
3:00.0,,,39-49,,Shooting foul by H. Barnes (drawn by J. Richardson)
3:00.0,,,39-50,1,J. Richardson makes free throw 1 of 2
3:00.0,,,39-51,1,J. Richardson makes free throw 2 of 2
2:45.0,Shooting foul by J. Winslow (drawn by B. Rush),,39-51,,
2:45.0,Golden State full timeout,,39-51,,
2:45.0,,,39-51,,D. Wade enters the game for J. Richardson
2:45.0,B. Rush makes free throw 1 of 2,1,40-51,,
2:45.0,B. Rush makes free throw 2 of 2,1,41-51,,
2:29.0,Jump ball: B. Rush vs. D. Wade (J. McRoberts gains possession),,,,Jump ball: B. Rush vs. D. Wade (J. McRoberts gains possession)
2:21.0,,,41-51,,D. Wade misses 2-pt shot from 8 ft
2:20.0,Defensive rebound by D. Green,,41-51,,
2:13.0,B. Rush misses 3-pt shot from 25 ft,,41-51,,
2:12.0,Offensive rebound by H. Barnes,,41-51,,
2:08.0,K. Thompson makes 3-pt shot from 23 ft (assist by H. Barnes),3,44-51,,
1:47.0,,,44-51,,L. Deng misses 2-pt shot from 8 ft
1:46.0,Defensive rebound by B. Rush,,44-51,,
1:35.0,K. Thompson misses 2-pt shot from 10 ft,,44-51,,
1:34.0,,,44-51,,Defensive rebound by J. McRoberts
1:15.0,,,44-53,2,D. Wade makes 2-pt shot from 17 ft
1:09.0,,,44-53,,Personal foul by G. Dragic
1:04.0,S. Curry makes 2-pt shot from 1 ft,2,46-53,,
0:50.0,,,46-53,,J. McRoberts misses 2-pt shot from 3 ft
0:49.0,Defensive rebound by S. Curry,,46-53,,
0:41.0,H. Barnes makes 3-pt shot from 24 ft (assist by B. Rush),3,49-53,,
0:38.0,,,49-53,,Miami full timeout
0:38.0,A. Varejao enters the game for D. Green,,49-53,,
0:38.0,,,49-53,,H. Whiteside enters the game for J. McRoberts
0:21.0,,,49-55,2,D. Wade makes 2-pt shot from 14 ft
0:07.0,Shooting foul by G. Dragic (drawn by S. Curry),,49-55,,
0:07.0,S. Curry makes free throw 1 of 2,1,50-55,,
0:07.0,S. Curry makes free throw 2 of 2,1,51-55,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:53.0,,,51-55,,Personal foul by G. Dragic
11:39.0,D. Green makes 2-pt shot from 2 ft (assist by S. Curry),2,53-55,,
11:39.0,Shooting foul by D. Wade (drawn by D. Green),,53-55,,
11:39.0,D. Green makes free throw 1 of 1,1,54-55,,
11:20.0,,,54-55,,L. Deng misses 3-pt shot from 23 ft
11:19.0,Defensive rebound by K. Thompson,,54-55,,
11:08.0,S. Curry makes 3-pt shot from 25 ft,3,57-55,,
10:41.0,,,57-55,,D. Wade misses 2-pt shot from 14 ft
10:40.0,,,57-55,,Offensive rebound by Team
10:40.0,Loose ball foul by H. Barnes,,57-55,,
10:30.0,,,57-55,,G. Dragic misses 2-pt shot from 15 ft
10:29.0,Defensive rebound by D. Green,,57-55,,
10:18.0,K. Thompson makes 2-pt shot from 2 ft,2,59-55,,
10:08.0,Personal foul by A. Bogut,,59-55,,
10:00.0,,,59-57,2,G. Dragic makes 2-pt shot from 1 ft (assist by L. Deng)
9:49.0,A. Bogut misses 2-pt shot from 6 ft,,59-57,,
9:48.0,Offensive rebound by Team,,59-57,,
9:37.0,Turnover by D. Green (lost ball; steal by H. Whiteside),,59-57,,
9:24.0,,,59-57,,D. Wade misses 2-pt shot from 16 ft (block by S. Curry)
9:23.0,Defensive rebound by S. Curry,,59-57,,
9:17.0,D. Green misses 2-pt shot from 3 ft (block by D. Wade),,59-57,,
9:16.0,,,59-57,,Defensive rebound by J. Winslow
9:11.0,,,59-57,,G. Dragic misses 2-pt shot from 20 ft
9:10.0,Defensive rebound by K. Thompson,,59-57,,
9:07.0,Turnover by K. Thompson (lost ball; steal by D. Wade),,59-57,,
9:02.0,,,59-59,2,D. Wade makes 2-pt shot from 4 ft
8:47.0,K. Thompson misses 2-pt shot from 16 ft,,59-59,,
8:46.0,,,59-59,,Defensive rebound by G. Dragic
8:40.0,,,59-59,,G. Dragic misses 2-pt shot from 1 ft
8:39.0,Defensive rebound by K. Thompson,,59-59,,
8:33.0,K. Thompson misses 2-pt shot from 20 ft,,59-59,,
8:32.0,Offensive rebound by S. Curry,,59-59,,
8:27.0,S. Curry makes 2-pt shot from 7 ft,2,61-59,,
8:08.0,,,61-59,,L. Deng misses 2-pt shot from 18 ft
8:07.0,Defensive rebound by H. Barnes,,61-59,,
7:56.0,S. Curry makes 2-pt shot from 16 ft (assist by A. Bogut),2,63-59,,
7:49.0,,,63-59,,Miami full timeout
7:30.0,,,63-59,,Shooting foul by K. Thompson (drawn by D. Wade)
7:30.0,,,63-60,1,D. Wade makes free throw 1 of 3
7:30.0,,,63-61,1,D. Wade makes free throw 2 of 3
7:30.0,,,63-62,1,D. Wade makes free throw 3 of 3
7:16.0,K. Thompson makes 2-pt shot from 17 ft (assist by D. Green),2,65-62,,
6:55.0,,,65-62,,D. Wade misses 2-pt shot from 18 ft
6:54.0,Defensive rebound by A. Bogut,,65-62,,
6:47.0,S. Curry misses 2-pt shot from 2 ft,,65-62,,
6:46.0,,,65-62,,Defensive rebound by H. Whiteside
6:46.0,Personal foul by H. Barnes,,65-62,,
6:46.0,A. Iguodala enters the game for H. Barnes,,65-62,,
6:28.0,,,65-62,,H. Whiteside misses 2-pt shot from 17 ft
6:27.0,,,65-62,,Offensive rebound by L. Deng
6:26.0,,,65-62,,L. Deng misses 2-pt shot from 4 ft
6:25.0,,,65-62,,Offensive rebound by Team
6:10.0,,,65-62,,Turnover by J. Winslow (step out of bounds)
5:52.0,K. Thompson misses 2-pt shot from 15 ft,,65-62,,
5:51.0,,,65-62,,Defensive rebound by H. Whiteside
5:41.0,,,65-64,2,L. Deng makes 2-pt shot from 1 ft
5:25.0,Turnover by S. Curry (lost ball; steal by J. Winslow),,65-64,,
5:21.0,,,65-64,,L. Deng misses 2-pt shot from 2 ft (block by S. Curry)
5:20.0,,,65-64,,Offensive rebound by J. Winslow
5:19.0,,,65-66,2,J. Winslow makes 2-pt shot from 5 ft
5:14.0,Golden State full timeout,,65-66,,
5:14.0,,,65-66,,J. Richardson enters the game for L. Deng
5:14.0,,,65-66,,G. Green enters the game for G. Dragic
5:08.0,Shooting foul by H. Whiteside (drawn by D. Green),,65-66,,
5:08.0,D. Green misses free throw 1 of 2,,65-66,,
5:08.0,Offensive rebound by Team,,65-66,,
5:08.0,L. Barbosa enters the game for K. Thompson,,65-66,,
5:08.0,D. Green makes free throw 2 of 2,1,66-66,,
4:53.0,,,66-66,,D. Wade misses 2-pt shot from 13 ft
4:52.0,Defensive rebound by L. Barbosa,,66-66,,
4:46.0,S. Curry misses 2-pt shot from 21 ft,,66-66,,
4:45.0,,,66-66,,Defensive rebound by G. Green
4:36.0,,,66-69,3,J. Richardson makes 3-pt shot from 23 ft (assist by D. Wade)
4:23.0,,,66-69,,Personal foul by D. Wade
4:23.0,A. Varejao enters the game for A. Bogut,,66-69,,
4:15.0,S. Curry makes 2-pt shot from 13 ft,2,68-69,,
3:59.0,,,68-71,2,D. Wade makes 2-pt shot from 18 ft
3:50.0,S. Curry misses 2-pt shot from 16 ft,,68-71,,
3:49.0,,,68-71,,Defensive rebound by J. Winslow
3:38.0,,,68-71,,J. Winslow misses 2-pt shot from 16 ft
3:37.0,Defensive rebound by A. Varejao,,68-71,,
3:29.0,L. Barbosa misses 2-pt shot from 2 ft (block by J. Winslow),,68-71,,
3:28.0,Offensive rebound by D. Green,,68-71,,
3:26.0,D. Green makes 2-pt shot from 2 ft,2,70-71,,
3:10.0,,,70-73,2,J. Richardson makes 2-pt shot from 4 ft
2:58.0,S. Curry misses 3-pt shot from 24 ft,,70-73,,
2:57.0,,,70-73,,Defensive rebound by H. Whiteside
2:50.0,,,70-73,,G. Dragic enters the game for D. Wade
2:50.0,,,70-73,,L. Deng enters the game for J. Winslow
2:50.0,,,70-73,,J. McRoberts enters the game for H. Whiteside
2:45.0,,,70-73,,J. McRoberts misses 2-pt shot from 19 ft
2:44.0,Defensive rebound by S. Curry,,70-73,,
2:39.0,A. Iguodala makes 2-pt shot from 2 ft (assist by S. Curry),2,72-73,,
2:28.0,Personal foul by A. Varejao,,72-73,,
2:28.0,,,72-73,,L. Deng misses free throw 1 of 2
2:28.0,,,72-73,,Offensive rebound by Team
2:28.0,H. Barnes enters the game for D. Green,,72-73,,
2:28.0,,,72-74,1,L. Deng makes free throw 2 of 2
2:08.0,H. Barnes makes 3-pt shot from 24 ft (assist by S. Curry),3,75-74,,
1:59.0,Personal foul by L. Barbosa,,75-74,,
1:59.0,,,75-75,1,L. Deng makes free throw 1 of 2
1:59.0,,,75-76,1,L. Deng makes free throw 2 of 2
1:52.0,S. Curry misses 2-pt shot from 2 ft (block by J. McRoberts),,75-76,,
1:51.0,Offensive rebound by Team,,75-76,,
1:44.0,,,75-76,,Violation by J. Richardson (kicked ball)
1:38.0,Shooting foul by J. Richardson (drawn by S. Curry),,75-76,,
1:38.0,S. Curry makes free throw 1 of 2,1,76-76,,
1:38.0,S. Curry makes free throw 2 of 2,1,77-76,,
1:25.0,,,77-78,2,J. McRoberts makes 2-pt shot from 2 ft (assist by G. Dragic)
1:25.0,,,77-78,,Shooting foul by A. Varejao (drawn by J. McRoberts)
1:25.0,,,77-78,,J. McRoberts misses free throw 1 of 1
1:24.0,Defensive rebound by A. Varejao,,77-78,,
1:12.0,S. Curry makes 3-pt shot from 24 ft,3,80-78,,
0:58.0,,,80-78,,J. McRoberts misses 2-pt shot from 1 ft
0:57.0,Defensive rebound by H. Barnes,,80-78,,
0:57.0,,,80-78,,Personal foul by J. McRoberts
0:57.0,H. Barnes misses free throw 1 of 2,,80-78,,
0:57.0,Offensive rebound by Team,,80-78,,
0:57.0,H. Barnes misses free throw 2 of 2,,80-78,,
0:56.0,,,80-78,,Defensive rebound by L. Deng
0:47.0,Personal foul by A. Varejao,,80-78,,
0:47.0,,,80-79,1,J. McRoberts makes free throw 1 of 2
0:47.0,,,80-80,1,J. McRoberts makes free throw 2 of 2
0:34.0,S. Curry misses 3-pt shot from 24 ft,,80-80,,
0:33.0,,,80-80,,Defensive rebound by Team
0:23.0,,,80-83,3,J. McRoberts makes 3-pt shot from 24 ft (assist by G. Dragic)
0:08.0,S. Curry misses 2-pt shot from 2 ft,,80-83,,
0:07.0,Offensive rebound by Team,,80-83,,
0:07.0,Turnover by S. Curry (traveling),,80-83,,
0:01.0,,,80-83,,G. Dragic misses 3-pt shot from 24 ft
0:00.0,,,80-83,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:39.0,Personal foul by L. Barbosa,,80-83,,
11:22.0,,,80-83,,L. Deng misses 2-pt shot from 13 ft
11:21.0,Defensive rebound by S. Livingston,,80-83,,
11:11.0,L. Barbosa makes 2-pt shot from 1 ft,2,82-83,,
10:47.0,,,82-86,3,G. Dragic makes 3-pt shot from 24 ft
10:25.0,H. Barnes makes 2-pt shot from 2 ft,2,84-86,,
10:25.0,Shooting foul by J. Richardson (drawn by H. Barnes),,84-86,,
10:25.0,H. Barnes makes free throw 1 of 1,1,85-86,,
10:05.0,,,85-86,,G. Dragic misses 3-pt shot from 24 ft
10:04.0,Defensive rebound by B. Rush,,85-86,,
9:50.0,S. Livingston makes 2-pt shot from 16 ft,2,87-86,,
9:26.0,,,87-88,2,L. Deng makes 2-pt shot from 2 ft (assist by G. Dragic)
9:15.0,,,87-88,,Personal foul by G. Dragic
9:09.0,L. Barbosa makes 2-pt shot from 18 ft (assist by S. Livingston),2,89-88,,
8:47.0,,,89-88,,Shooting foul by A. Iguodala (drawn by G. Dragic)
8:47.0,Official timeout,,89-88,,
8:47.0,,,89-88,,Violation by Team (delay of game)
8:47.0,,,89-89,1,G. Dragic makes free throw 1 of 2
8:47.0,,,89-90,1,G. Dragic makes free throw 2 of 2
8:25.0,S. Livingston misses 2-pt shot from 12 ft,,89-90,,
8:24.0,,,89-90,,Defensive rebound by L. Deng
8:12.0,,,89-90,,G. Dragic misses 2-pt shot at rim
8:11.0,Defensive rebound by B. Rush,,89-90,,
8:07.0,,,89-90,,Personal block foul by J. Richardson
8:06.0,K. Thompson enters the game for H. Barnes,,89-90,,
8:06.0,D. Green enters the game for L. Barbosa,,89-90,,
7:58.0,K. Thompson makes 2-pt shot from 1 ft (assist by A. Iguodala),2,91-90,,
7:41.0,,,91-90,,D. Wade enters the game for G. Dragic
7:41.0,,,91-90,,H. Whiteside enters the game for J. McRoberts
7:41.0,,,91-90,,J. Winslow enters the game for L. Deng
7:41.0,A. Bogut enters the game for B. Rush,,91-90,,
7:35.0,,,91-92,2,H. Whiteside makes 2-pt shot from 9 ft (assist by D. Wade)
7:11.0,S. Livingston misses 2-pt shot from 2 ft (block by H. Whiteside),,91-92,,
7:10.0,,,91-92,,Defensive rebound by H. Whiteside
6:56.0,,,91-94,2,J. Richardson makes 2-pt shot from 9 ft
6:39.0,K. Thompson makes 3-pt shot from 25 ft (assist by A. Bogut),3,94-94,,
6:11.0,,,94-96,2,H. Whiteside makes 2-pt shot from 15 ft (assist by D. Wade)
5:56.0,K. Thompson misses 2-pt shot from 18 ft,,94-96,,
5:55.0,,,94-96,,Defensive rebound by D. Wade
5:47.0,,,94-96,,Shooting foul by A. Bogut (drawn by D. Wade)
5:47.0,,,94-96,,Miami full timeout
5:47.0,S. Curry enters the game for A. Iguodala,,94-96,,
5:47.0,,,94-97,1,D. Wade makes free throw 1 of 2
5:47.0,,,94-98,1,D. Wade makes free throw 2 of 2
5:29.0,K. Thompson makes 3-pt shot from 23 ft (assist by S. Livingston),3,97-98,,
5:09.0,,,97-98,,Turnover by D. Wade (lost ball; steal by S. Curry)
4:59.0,S. Curry misses 3-pt shot from 24 ft,,97-98,,
4:58.0,Offensive rebound by Team,,97-98,,
4:58.0,,,97-98,,Loose ball foul by D. Wade
4:58.0,,,97-98,,L. Deng enters the game for G. Green
4:54.0,K. Thompson misses 2-pt shot from 2 ft,,97-98,,
4:53.0,Offensive rebound by Team,,97-98,,
4:45.0,K. Thompson makes 2-pt shot from 14 ft (assist by S. Curry),2,99-98,,
4:31.0,,,99-98,,Shooting foul by K. Thompson (drawn by D. Wade)
4:31.0,,,99-99,1,D. Wade makes free throw 1 of 2
4:31.0,,,99-100,1,D. Wade makes free throw 2 of 2
4:12.0,K. Thompson makes 2-pt shot from 2 ft,2,101-100,,
3:45.0,,,101-100,,L. Deng misses 2-pt shot from 11 ft
3:44.0,Defensive rebound by S. Curry,,101-100,,
3:31.0,K. Thompson makes 3-pt shot from 24 ft (assist by S. Curry),3,104-100,,
3:11.0,Personal foul by A. Bogut,,104-100,,
3:11.0,,,104-100,,D. Wade misses free throw 1 of 2
