time,Cleveland,pts.away,score,pts.home,LA Clippers
10:04.0,Defensive rebound by C. Frye,,28-21,,
9:59.0,R. Jefferson misses 3-pt shot from 25 ft,,28-21,,
9:57.0,Offensive rebound by I. Shumpert,,28-21,,
9:53.0,C. Frye makes 3-pt shot from 26 ft (assist by I. Shumpert),3,31-21,,
9:39.0,,,31-23,2,C. Aldrich makes 2-pt shot from 5 ft (assist by P. Prigioni)
9:28.0,K. Irving misses 2-pt shot from 1 ft (block by C. Aldrich),,31-23,,
9:24.0,Offensive rebound by T. Thompson,,31-23,,
9:24.0,T. Thompson makes 2-pt shot at rim,2,33-23,,
9:07.0,,,33-23,,P. Prigioni misses 3-pt shot from 25 ft
9:06.0,,,33-23,,Offensive rebound by C. Aldrich
9:00.0,,,33-23,,Offensive charge foul by J. Crawford
9:00.0,,,33-23,,Turnover by J. Crawford (offensive foul)
8:49.0,Shooting foul by C. Aldrich (drawn by T. Thompson),,33-23,,
8:49.0,Official timeout,,33-23,,
8:49.0,T. Thompson makes free throw 1 of 2,1,34-23,,
8:49.0,T. Thompson misses free throw 2 of 2,,34-23,,
8:47.0,,,34-23,,Defensive rebound by C. Aldrich
8:37.0,,,34-23,,Offensive foul by C. Aldrich
8:37.0,,,34-23,,Turnover by C. Aldrich (offensive foul)
8:19.0,,,34-23,,D. Jordan enters the game for C. Aldrich
8:19.0,,,34-23,,C. Paul enters the game for P. Prigioni
8:11.0,K. Irving misses 3-pt shot from 24 ft,,34-23,,
8:10.0,,,34-23,,Defensive rebound by W. Johnson
8:10.0,Personal foul by K. Irving,,34-23,,
7:50.0,,,34-23,,J. Crawford misses 3-pt shot from 25 ft
7:49.0,Defensive rebound by I. Shumpert,,34-23,,
7:37.0,R. Jefferson misses 3-pt shot from 25 ft,,34-23,,
7:35.0,Offensive rebound by T. Thompson,,34-23,,
7:31.0,K. Irving makes 3-pt shot from 23 ft (assist by C. Frye),3,37-23,,
7:12.0,,,37-26,3,J. Crawford makes 3-pt shot from 23 ft (assist by D. Jordan)
6:52.0,T. Thompson misses 2-pt shot from 3 ft,,37-26,,
6:49.0,,,37-26,,Defensive rebound by D. Jordan
6:44.0,,,37-28,2,C. Paul makes 2-pt shot from 12 ft
6:43.0,Cleveland full timeout,,37-28,,
6:43.0,,,37-28,,J. Redick enters the game for A. Rivers
6:43.0,,,37-28,,J. Green enters the game for W. Johnson
6:43.0,M. Dellavedova enters the game for K. Irving,,37-28,,
6:43.0,L. James enters the game for C. Frye,,37-28,,
6:43.0,K. Love enters the game for R. Jefferson,,37-28,,
6:28.0,T. Thompson makes 2-pt shot at rim (assist by M. Dellavedova),2,39-28,,
6:07.0,,,39-30,2,D. Jordan makes 2-pt shot from 3 ft (assist by C. Paul)
5:48.0,K. Love makes 2-pt shot from 4 ft,2,41-30,,
5:35.0,,,41-33,3,C. Paul makes 3-pt shot from 24 ft
5:23.0,,,41-33,,Personal foul by J. Green
5:23.0,,,41-33,,L. Mbah a Moute enters the game for J. Crawford
5:10.0,K. Love makes 2-pt shot from 10 ft,2,43-33,,
4:49.0,,,43-36,3,C. Paul makes 3-pt shot from 27 ft
4:32.0,L. James misses 2-pt shot from 15 ft,,43-36,,
4:28.0,,,43-36,,Defensive rebound by D. Jordan
4:17.0,,,43-38,2,J. Redick makes 2-pt shot from 18 ft (assist by J. Green)
4:05.0,,,43-38,,Personal foul by J. Green
4:05.0,K. Irving enters the game for I. Shumpert,,43-38,,
4:05.0,J. Smith enters the game for T. Thompson,,43-38,,
4:05.0,,,43-38,,W. Johnson enters the game for J. Green
3:53.0,L. James makes 2-pt shot from 1 ft,2,45-38,,
3:44.0,Personal foul by M. Dellavedova,,45-38,,
3:44.0,,,45-38,,A. Rivers enters the game for W. Johnson
3:30.0,,,45-38,,C. Paul misses 3-pt shot from 29 ft
3:29.0,Defensive rebound by K. Irving,,45-38,,
3:21.0,Shooting foul by J. Redick (drawn by L. James),,45-38,,
3:21.0,L. James makes 2-pt shot from 2 ft (assist by K. Love),2,47-38,,
3:21.0,L. James makes free throw 1 of 1,1,48-38,,
3:08.0,,,48-40,2,D. Jordan makes 2-pt shot from 3 ft (assist by J. Redick)
2:59.0,Shooting foul by D. Jordan (drawn by K. Love),,48-40,,
2:59.0,,,48-40,,LA Clippers full timeout
2:59.0,K. Love misses free throw 1 of 2,,48-40,,
2:59.0,Offensive rebound by Team,,48-40,,
2:59.0,K. Love makes free throw 2 of 2,1,49-40,,
2:44.0,,,49-40,,Turnover by J. Redick (lost ball; steal by L. James)
2:39.0,Shooting foul by A. Rivers (drawn by K. Love),,49-40,,
2:39.0,K. Love misses free throw 1 of 2,,49-40,,
2:39.0,Offensive rebound by Team,,49-40,,
2:39.0,K. Love makes free throw 2 of 2,1,50-40,,
2:24.0,,,50-40,,C. Paul misses 2-pt shot from 3 ft
2:21.0,Defensive rebound by K. Love,,50-40,,
2:13.0,J. Smith misses 3-pt shot from 25 ft,,50-40,,
2:12.0,,,50-40,,Defensive rebound by J. Redick
1:53.0,,,50-40,,Turnover by C. Paul (lost ball; steal by K. Irving)
1:50.0,L. James makes 2-pt shot at rim (assist by K. Irving),2,52-40,,
1:49.0,,,52-40,,Technical foul by Team
1:49.0,K. Irving makes technical free throw,1,53-40,,
1:49.0,,,53-40,,J. Crawford enters the game for A. Rivers
1:49.0,I. Shumpert enters the game for K. Irving,,53-40,,
1:36.0,Personal foul by J. Smith,,53-40,,
1:22.0,,,53-40,,J. Crawford misses 2-pt shot from 12 ft
1:20.0,Defensive rebound by L. James,,53-40,,
1:07.0,J. Smith makes 3-pt shot from 26 ft (assist by M. Dellavedova),3,56-40,,
1:07.0,,,56-40,,LA Clippers full timeout
0:52.0,,,56-40,,Shooting foul by L. James (drawn by D. Jordan)
0:52.0,,,56-41,1,D. Jordan makes free throw 1 of 2
0:52.0,,,56-41,,D. Jordan misses free throw 2 of 2
0:50.0,Defensive rebound by K. Love,,56-41,,
0:32.0,K. Love misses 3-pt shot from 26 ft,,56-41,,
0:30.0,,,56-41,,Defensive rebound by C. Paul
0:12.0,,,56-41,,J. Redick misses 3-pt shot from 26 ft
0:10.0,Defensive rebound by L. James,,56-41,,
0:07.0,L. James makes 2-pt shot from 3 ft,2,58-41,,
0:03.0,,,58-41,,J. Crawford misses 3-pt shot from 25 ft
0:00.0,Defensive rebound by I. Shumpert,,58-41,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,,,58-41,,Personal foul by C. Paul
11:41.0,K. Irving makes 2-pt shot from 17 ft (assist by L. James),2,60-41,,
11:18.0,,,60-41,,Turnover by D. Jordan (lost ball; steal by T. Mozgov)
11:02.0,Turnover by K. Irving (lost ball; steal by C. Paul),,60-41,,
10:44.0,,,60-41,,J. Green misses 3-pt shot from 27 ft
10:43.0,Defensive rebound by K. Love,,60-41,,
10:31.0,K. Love misses 3-pt shot from 24 ft,,60-41,,
10:30.0,,,60-41,,Defensive rebound by C. Paul
10:18.0,,,60-43,2,D. Jordan makes 2-pt shot at rim (assist by C. Paul)
10:02.0,K. Irving misses 3-pt shot from 25 ft,,60-43,,
10:00.0,,,60-43,,Defensive rebound by D. Jordan
9:54.0,,,60-43,,Shooting foul by K. Irving (drawn by C. Paul)
9:54.0,,,60-44,1,C. Paul makes free throw 1 of 2
9:54.0,,,60-45,1,C. Paul makes free throw 2 of 2
9:35.0,Turnover by L. James (lost ball; steal by L. Mbah a Moute),,60-45,,
9:29.0,,,60-47,2,C. Paul makes 2-pt shot from 11 ft
9:08.0,L. James makes 3-pt shot from 25 ft,3,63-47,,
8:48.0,,,63-49,2,L. Mbah a Moute makes 2-pt shot from 18 ft (assist by J. Green)
8:29.0,J. Smith makes 2-pt shot from 19 ft (assist by L. James),2,65-49,,
8:14.0,,,65-49,,J. Green misses 2-pt shot from 3 ft
8:11.0,Defensive rebound by L. James,,65-49,,
7:52.0,K. Love misses 2-pt shot from 16 ft,,65-49,,
7:50.0,,,65-49,,Defensive rebound by C. Paul
7:37.0,,,65-49,,L. Mbah a Moute misses 3-pt shot from 24 ft
7:36.0,Defensive rebound by T. Mozgov,,65-49,,
7:25.0,T. Mozgov misses 2-pt shot at rim,,65-49,,
7:25.0,,,65-49,,Defensive rebound by Team
7:25.0,,,65-49,,W. Johnson enters the game for L. Mbah a Moute
7:09.0,,,65-49,,Turnover by C. Paul (bad pass)
6:55.0,J. Smith makes 3-pt shot from 23 ft (assist by L. James),3,68-49,,
6:36.0,,,68-52,3,J. Redick makes 3-pt shot from 27 ft (assist by C. Paul)
6:14.0,T. Mozgov misses 2-pt shot from 16 ft,,68-52,,
6:13.0,,,68-52,,Defensive rebound by J. Redick
6:07.0,,,68-52,,Shooting foul by T. Mozgov (drawn by D. Jordan)
6:07.0,,,68-53,1,D. Jordan makes free throw 1 of 2
6:07.0,,,68-54,1,D. Jordan makes free throw 2 of 2
5:45.0,J. Smith makes 3-pt shot from 23 ft,3,71-54,,
5:36.0,,,71-54,,J. Green misses 2-pt shot from 4 ft
5:34.0,Defensive rebound by K. Love,,71-54,,
5:34.0,,,71-54,,Personal foul by C. Paul
5:34.0,,,71-54,,LA Clippers full timeout
5:19.0,,,71-54,,Personal foul by J. Redick
5:03.0,L. James misses 2-pt shot from 3 ft,,71-54,,
5:03.0,,,71-54,,Defensive rebound by Team
4:50.0,,,71-56,2,J. Redick makes 2-pt shot from 18 ft (assist by C. Paul)
4:24.0,Turnover by Team (shot clock),,71-56,,
4:24.0,T. Thompson enters the game for T. Mozgov,,71-56,,
4:12.0,,,71-56,,Shooting foul by J. Smith (drawn by J. Redick)
4:12.0,,,71-57,1,J. Redick makes free throw 1 of 3
4:12.0,,,71-58,1,J. Redick makes free throw 2 of 3
4:12.0,,,71-59,1,J. Redick makes free throw 3 of 3
3:53.0,J. Smith makes 3-pt shot from 26 ft (assist by K. Irving),3,74-59,,
3:31.0,,,74-62,3,W. Johnson makes 3-pt shot from 26 ft (assist by C. Paul)
3:11.0,L. James makes 2-pt shot at rim (assist by K. Irving),2,76-62,,
3:11.0,Shooting foul by D. Jordan (drawn by L. James),,76-62,,
3:11.0,L. James makes free throw 1 of 1,1,77-62,,
3:01.0,,,77-62,,C. Paul misses 3-pt shot from 26 ft
3:00.0,Defensive rebound by K. Love,,77-62,,
2:53.0,,,77-62,,Personal foul by J. Green
2:53.0,Cleveland full timeout,,77-62,,
2:53.0,,,77-62,,J. Crawford enters the game for J. Redick
2:53.0,M. Dellavedova enters the game for K. Love,,77-62,,
2:53.0,C. Frye enters the game for K. Irving,,77-62,,
2:53.0,L. James makes free throw 1 of 2,1,78-62,,
2:53.0,L. James makes free throw 2 of 2,1,79-62,,
2:41.0,,,79-62,,Shooting foul by C. Frye (drawn by J. Green)
2:41.0,,,79-62,,J. Green misses free throw 1 of 2
2:41.0,,,79-62,,Offensive rebound by Team
2:41.0,,,79-63,1,J. Green makes free throw 2 of 2
2:29.0,J. Smith makes 3-pt shot from 25 ft (assist by C. Frye),3,82-63,,
2:11.0,,,82-63,,W. Johnson misses 2-pt shot from 12 ft
2:10.0,,,82-63,,Offensive rebound by D. Jordan
2:06.0,,,82-63,,Turnover by W. Johnson (step out of bounds)
2:06.0,,,82-63,,A. Rivers enters the game for J. Green
1:45.0,C. Frye makes 3-pt shot from 24 ft (assist by M. Dellavedova),3,85-63,,
1:21.0,,,85-63,,C. Paul misses 2-pt shot from 19 ft
1:19.0,Defensive rebound by T. Thompson,,85-63,,
1:05.0,M. Dellavedova makes 3-pt shot from 23 ft (assist by J. Smith),3,88-63,,
0:46.0,,,88-66,3,J. Crawford makes 3-pt shot from 25 ft (assist by C. Paul)
0:31.0,L. James makes 3-pt shot from 25 ft,3,91-66,,
0:30.0,Personal block foul by M. Dellavedova,,91-66,,
0:30.0,,,91-67,1,C. Paul makes free throw 1 of 2
0:30.0,,,91-68,1,C. Paul makes free throw 2 of 2
0:04.0,L. James misses 3-pt shot from 39 ft,,91-68,,
0:02.0,,,91-68,,Defensive rebound by C. Paul
0:00.0,,,91-68,,J. Crawford misses 3-pt shot from 25 ft
0:00.0,,,91-68,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,,,91-68,,W. Johnson misses 3-pt shot from 25 ft
11:40.0,Defensive rebound by M. Dellavedova,,91-68,,
11:23.0,M. Dellavedova misses 2-pt shot from 20 ft,,91-68,,
11:22.0,,,91-68,,Defensive rebound by W. Johnson
11:01.0,,,91-70,2,A. Rivers makes 2-pt shot from 17 ft (assist by P. Prigioni)
10:49.0,K. Irving misses 3-pt shot from 26 ft,,91-70,,
10:48.0,,,91-70,,Defensive rebound by W. Johnson
10:38.0,,,91-70,,J. Crawford misses 2-pt shot from 14 ft
10:35.0,Defensive rebound by T. Thompson,,91-70,,
10:22.0,T. Thompson misses 2-pt shot from 7 ft,,91-70,,
10:19.0,,,91-70,,Defensive rebound by C. Aldrich
10:12.0,,,91-70,,C. Aldrich misses 2-pt shot from 1 ft (block by T. Thompson)
10:10.0,Defensive rebound by T. Thompson,,91-70,,
10:05.0,K. Irving misses 2-pt shot from 1 ft,,91-70,,
10:05.0,,,91-70,,Defensive rebound by Team
9:54.0,,,91-72,2,A. Rivers makes 2-pt shot from 1 ft
9:38.0,,,91-72,,Personal foul by W. Johnson
9:30.0,C. Frye makes 3-pt shot from 24 ft (assist by M. Dellavedova),3,94-72,,
9:18.0,,,94-75,3,W. Johnson makes 3-pt shot from 24 ft (assist by C. Aldrich)
9:01.0,Cleveland full timeout,,94-75,,
8:49.0,K. Irving makes 2-pt shot from 13 ft,2,96-75,,
8:39.0,,,96-75,,Shooting foul by C. Frye (drawn by A. Rivers)
8:39.0,,,96-76,1,A. Rivers makes free throw 1 of 2
8:39.0,,,96-77,1,A. Rivers makes free throw 2 of 2
8:18.0,K. Irving makes 2-pt shot from 12 ft,2,98-77,,
8:03.0,,,98-77,,A. Rivers misses 2-pt shot from 18 ft
7:58.0,Defensive rebound by I. Shumpert,,98-77,,
7:47.0,I. Shumpert misses 3-pt shot from 23 ft,,98-77,,
7:47.0,Offensive rebound by T. Thompson,,98-77,,
7:47.0,,,98-77,,Loose ball foul by C. Aldrich
7:41.0,,,98-77,,Personal block foul by W. Johnson
7:25.0,K. Irving makes 2-pt shot from 13 ft,2,100-77,,
7:15.0,,,100-77,,W. Johnson misses 3-pt shot from 24 ft
7:14.0,Defensive rebound by I. Shumpert,,100-77,,
7:04.0,K. Irving makes 3-pt shot from 27 ft,3,103-77,,
6:52.0,,,103-77,,C. Aldrich misses 2-pt shot from 5 ft
6:49.0,Defensive rebound by C. Frye,,103-77,,
6:43.0,K. Irving misses 3-pt shot from 25 ft,,103-77,,
6:43.0,Offensive rebound by Team,,103-77,,
6:43.0,,,103-77,,Loose ball foul by J. Crawford
6:36.0,,,103-77,,Violation by W. Johnson (kicked ball)
6:29.0,C. Frye misses 3-pt shot from 26 ft,,103-77,,
6:28.0,Offensive rebound by T. Thompson,,103-77,,
6:23.0,Turnover by K. Irving (traveling),,103-77,,
6:20.0,,,103-77,,W. Johnson misses 2-pt shot from 2 ft
6:15.0,Defensive rebound by T. Thompson,,103-77,,
6:11.0,Cleveland full timeout,,103-77,,
6:11.0,R. Jefferson enters the game for K. Irving,,103-77,,
6:06.0,Turnover by M. Dellavedova (offensive foul),,103-77,,
6:06.0,Offensive foul by M. Dellavedova,,103-77,,
6:06.0,,,103-77,,J. Green enters the game for C. Aldrich
5:54.0,,,103-77,,A. Rivers misses 2-pt shot from 3 ft
5:50.0,Defensive rebound by T. Thompson,,103-77,,
5:38.0,C. Frye misses 3-pt shot from 27 ft,,103-77,,
5:37.0,,,103-77,,Defensive rebound by J. Crawford
5:32.0,,,103-79,2,J. Green makes 2-pt shot from 2 ft (assist by J. Crawford)
5:32.0,,,103-79,,Shooting foul by T. Thompson (drawn by J. Green)
5:32.0,,,103-80,1,J. Green makes free throw 1 of 1
5:06.0,T. Thompson misses 2-pt shot from 12 ft,,103-80,,
5:05.0,,,103-80,,Defensive rebound by Team
4:57.0,,,103-82,2,W. Johnson makes 2-pt shot from 2 ft (assist by J. Green)
4:57.0,,,103-82,,Shooting foul by C. Frye (drawn by W. Johnson)
4:57.0,,,103-83,1,W. Johnson makes free throw 1 of 1
4:52.0,,,103-83,,Personal take foul by P. Prigioni
4:52.0,M. Dellavedova makes free throw 1 of 2,1,104-83,,
4:52.0,M. Dellavedova misses free throw 2 of 2,,104-83,,
4:50.0,,,104-83,,Defensive rebound by W. Johnson
4:35.0,,,104-86,3,A. Rivers makes 3-pt shot from 25 ft (assist by J. Green)
4:11.0,M. Dellavedova makes 3-pt shot from 27 ft (assist by T. Thompson),3,107-86,,
3:59.0,,,107-86,,A. Rivers misses 3-pt shot from 25 ft
3:58.0,Defensive rebound by C. Frye,,107-86,,
3:39.0,Shooting foul by W. Johnson (drawn by T. Thompson),,107-86,,
3:39.0,T. Thompson makes free throw 1 of 2,1,108-86,,
3:39.0,T. Thompson makes free throw 2 of 2,1,109-86,,
3:18.0,,,109-86,,J. Crawford misses 3-pt shot from 27 ft
3:17.0,Defensive rebound by C. Frye,,109-86,,
3:17.0,Cleveland full timeout,,109-86,,
3:17.0,J. McRae enters the game for T. Thompson,,109-86,,
3:17.0,J. Jones enters the game for C. Frye,,109-86,,
2:58.0,M. Dellavedova misses 2-pt shot from 21 ft,,109-86,,
2:57.0,,,109-86,,Defensive rebound by W. Johnson
2:37.0,,,109-86,,W. Johnson misses 2-pt shot from 14 ft
2:34.0,Defensive rebound by M. Dellavedova,,109-86,,
2:18.0,I. Shumpert makes 2-pt shot at rim,2,111-86,,
2:08.0,Personal take foul by J. McRae,,111-86,,
2:08.0,,,111-86,,C. Aldrich enters the game for J. Crawford
2:08.0,S. Kaun enters the game for M. Dellavedova,,111-86,,
2:00.0,,,111-88,2,C. Aldrich makes 2-pt shot at rim (assist by P. Prigioni)
1:45.0,J. McRae misses 2-pt shot from 1 ft,,111-88,,
1:44.0,Offensive rebound by S. Kaun,,111-88,,
1:43.0,S. Kaun misses 2-pt shot from 1 ft (block by C. Aldrich),,111-88,,
1:40.0,,,111-88,,Defensive rebound by C. Aldrich
1:33.0,,,111-88,,W. Johnson misses 2-pt shot from 2 ft (block by R. Jefferson)
1:29.0,Defensive rebound by J. McRae,,111-88,,
1:18.0,Turnover by S. Kaun (traveling),,111-88,,
1:03.0,,,111-88,,P. Prigioni misses 3-pt shot from 27 ft
1:00.0,,,111-88,,Offensive rebound by C. Aldrich
0:41.0,,,111-88,,P. Prigioni misses 2-pt shot from 16 ft (block by J. McRae)
0:39.0,Defensive rebound by S. Kaun,,111-88,,
0:32.0,J. Jones makes 3-pt shot from 24 ft (assist by J. McRae),3,114-88,,
0:18.0,,,114-90,2,A. Rivers makes 2-pt shot from 1 ft
0:00.0,End of 4th quarter,,,,End of 4th quarter
