time,Chicago,pts.away,score,pts.home,Washington
11:08.0,,,30-32,,M. Gortat misses 2-pt shot from 9 ft
11:08.0,Defensive rebound by B. Portis,,30-32,,
11:01.0,D. Rose makes 2-pt shot from 1 ft,2,32-32,,
10:54.0,,,32-32,,M. Morris enters the game for J. Dudley
10:39.0,,,32-32,,R. Sessions misses 2-pt shot at rim
10:38.0,Defensive rebound by D. Rose,,32-32,,
10:33.0,Shooting foul by M. Morris (drawn by D. McDermott),,32-32,,
10:33.0,D. McDermott makes free throw 1 of 2,1,33-32,,
10:33.0,D. McDermott makes free throw 2 of 2,1,34-32,,
10:18.0,,,34-34,2,M. Morris makes 2-pt shot from 9 ft
10:08.0,D. Rose misses 2-pt shot from 18 ft,,34-34,,
10:07.0,,,34-34,,Defensive rebound by M. Gortat
9:52.0,,,34-36,2,B. Beal makes 2-pt shot from 6 ft
9:45.0,E. Moore makes 2-pt shot at rim,2,36-36,,
9:29.0,,,36-36,,M. Gortat misses 2-pt shot from 16 ft
9:28.0,,,36-36,,Offensive rebound by M. Gortat
9:22.0,,,36-36,,M. Gortat misses 2-pt shot from 2 ft
9:21.0,,,36-36,,Offensive rebound by B. Beal
9:14.0,,,36-38,2,B. Beal makes 2-pt shot from 1 ft
9:02.0,D. McDermott makes 3-pt shot from 27 ft (assist by B. Portis),3,39-38,,
8:43.0,,,39-38,,M. Morris misses 2-pt shot from 1 ft
8:42.0,Defensive rebound by E. Moore,,39-38,,
8:38.0,,,39-38,,Personal foul by M. Morris
8:38.0,Official timeout,,39-38,,
8:38.0,,,39-38,,O. Porter enters the game for M. Morris
8:26.0,D. Rose makes 2-pt shot from 3 ft,2,41-38,,
8:11.0,,,41-38,,B. Beal misses 2-pt shot from 6 ft
8:10.0,Defensive rebound by D. Rose,,41-38,,
8:04.0,J. Holiday makes 2-pt shot at rim,2,43-38,,
7:52.0,,,43-38,,R. Sessions misses 2-pt shot from 1 ft
7:52.0,,,43-38,,Offensive rebound by Team
7:52.0,Loose ball foul by D. McDermott,,43-38,,
7:52.0,J. Butler enters the game for E. Moore,,43-38,,
7:52.0,,,43-38,,J. Wall enters the game for G. Temple
7:47.0,,,43-38,,R. Sessions misses 2-pt shot from 4 ft
7:47.0,Defensive rebound by Team,,43-38,,
7:47.0,,,43-38,,Loose ball foul by M. Gortat
7:47.0,,,43-38,,N. Hilario enters the game for M. Gortat
7:34.0,D. McDermott misses 3-pt shot from 24 ft,,43-38,,
7:33.0,,,43-38,,Defensive rebound by J. Wall
7:27.0,,,43-38,,Turnover by J. Wall (lost ball; steal by D. Rose)
7:24.0,Turnover by D. Rose (lost ball; steal by N. Hilario),,43-38,,
7:21.0,,,43-38,,Shooting foul by B. Portis (drawn by N. Hilario)
7:21.0,,,43-38,,N. Hilario misses free throw 1 of 2
7:21.0,,,43-38,,Offensive rebound by Team
7:21.0,M. Dunleavy enters the game for J. Holiday,,43-38,,
7:21.0,C. Felicio enters the game for B. Portis,,43-38,,
7:21.0,,,43-39,1,N. Hilario makes free throw 2 of 2
7:10.0,Turnover by D. Rose (bad pass),,43-39,,
7:03.0,,,43-39,,Shooting foul by M. Dunleavy (drawn by N. Hilario)
7:03.0,,,43-40,1,N. Hilario makes free throw 1 of 2
7:03.0,,,43-40,,N. Hilario misses free throw 2 of 2
7:02.0,Defensive rebound by C. Felicio,,43-40,,
6:46.0,D. Rose misses 2-pt shot from 17 ft,,43-40,,
