time,Oklahoma City,pts.away,score,pts.home,Atlanta
5:31.0,,,32-44,2,P. Millsap makes 2-pt shot from 12 ft (assist by K. Korver)
5:13.0,K. Durant misses 2-pt shot from 15 ft,,32-44,,
5:12.0,,,32-44,,Defensive rebound by M. Muscala
4:48.0,,,32-44,,P. Millsap misses 2-pt shot from 6 ft
4:46.0,,,32-44,,Offensive rebound by P. Millsap
4:46.0,,,32-44,,Atlanta full timeout
4:46.0,,,32-44,,K. Bazemore enters the game for K. Korver
4:37.0,,,32-46,2,K. Bazemore makes 2-pt shot from 1 ft (assist by P. Millsap)
4:22.0,R. Westbrook makes 2-pt shot from 7 ft,2,34-46,,
4:01.0,,,34-46,,Turnover by J. Teague (lost ball; steal by D. Waiters)
3:53.0,A. Roberson misses 3-pt shot from 23 ft,,34-46,,
3:51.0,,,34-46,,Defensive rebound by M. Muscala
3:44.0,,,34-46,,Shooting foul by A. Roberson (drawn by P. Millsap)
3:44.0,,,34-47,1,P. Millsap makes free throw 1 of 2
3:44.0,A. Morrow enters the game for A. Roberson,,34-47,,
3:44.0,,,34-47,,P. Millsap misses free throw 2 of 2
3:43.0,Defensive rebound by K. Durant,,34-47,,
3:36.0,A. Morrow misses 3-pt shot from 23 ft,,34-47,,
3:35.0,,,34-47,,Defensive rebound by J. Teague
3:32.0,Technical foul by A. Roberson,,34-47,,
3:32.0,,,34-48,1,J. Teague makes technical free throw
3:26.0,Violation by K. Durant (kicked ball),,34-48,,
3:21.0,,,34-48,,Shooting foul by D. Waiters (drawn by P. Millsap)
3:21.0,,,34-49,1,P. Millsap makes free throw 1 of 2
3:21.0,,,34-50,1,P. Millsap makes free throw 2 of 2
3:13.0,R. Westbrook misses 2-pt shot from 1 ft,,34-50,,
3:11.0,,,34-50,,Defensive rebound by K. Bazemore
3:04.0,,,34-50,,K. Bazemore misses 2-pt shot from 16 ft
3:03.0,Defensive rebound by A. Morrow,,34-50,,
2:54.0,S. Ibaka makes 2-pt shot from 4 ft,2,36-50,,
2:54.0,Shooting foul by M. Muscala (drawn by S. Ibaka),,36-50,,
2:54.0,Oklahoma City full timeout,,36-50,,
2:54.0,S. Ibaka makes free throw 1 of 1,1,37-50,,
2:40.0,,,37-50,,Turnover by M. Muscala (bad pass; steal by R. Westbrook)
2:34.0,K. Durant makes 2-pt shot from 3 ft (assist by R. Westbrook),2,39-50,,
2:28.0,,,39-50,,Turnover by J. Teague (bad pass; steal by R. Westbrook)
2:22.0,K. Durant misses 2-pt shot from 1 ft,,39-50,,
2:20.0,,,39-50,,Defensive rebound by M. Muscala
2:10.0,,,39-53,3,K. Bazemore makes 3-pt shot from 22 ft (assist by T. Sefolosha)
1:53.0,Shooting foul by T. Sefolosha (drawn by K. Durant),,39-53,,
1:53.0,K. Durant makes free throw 1 of 3,1,40-53,,
1:53.0,K. Durant makes free throw 2 of 3,1,41-53,,
1:53.0,,,41-53,,A. Horford enters the game for M. Muscala
1:53.0,K. Durant makes free throw 3 of 3,1,42-53,,
1:31.0,,,42-53,,A. Horford misses 2-pt shot from 5 ft (block by S. Ibaka)
1:29.0,,,42-53,,Offensive rebound by A. Horford
1:28.0,,,42-53,,A. Horford misses 2-pt shot from 12 ft
1:28.0,,,42-53,,Offensive rebound by Team
1:28.0,,,42-53,,Turnover by Team (shot clock)
1:28.0,,,42-53,,K. Korver enters the game for K. Bazemore
1:17.0,S. Ibaka makes 2-pt shot at rim (assist by R. Westbrook),2,44-53,,
1:01.0,,,44-53,,P. Millsap misses 2-pt shot from 1 ft (block by S. Ibaka)
1:00.0,Defensive rebound by R. Westbrook,,44-53,,
0:59.0,,,44-53,,Personal foul by T. Sefolosha (drawn by R. Westbrook)
0:59.0,R. Westbrook makes free throw 1 of 2,1,45-53,,
0:59.0,,,45-53,,K. Bazemore enters the game for T. Sefolosha
0:59.0,R. Westbrook makes free throw 2 of 2,1,46-53,,
0:45.0,,,46-53,,K. Bazemore misses 3-pt shot from 23 ft
0:42.0,Defensive rebound by R. Westbrook,,46-53,,
0:38.0,R. Westbrook makes 2-pt shot from 1 ft,2,48-53,,
0:38.0,Shooting foul by J. Teague (drawn by R. Westbrook),,48-53,,
0:38.0,R. Westbrook makes free throw 1 of 1,1,49-53,,
0:26.0,,,49-53,,J. Teague misses 2-pt shot from 7 ft
0:25.0,Defensive rebound by K. Durant,,49-53,,
0:20.0,A. Morrow makes 3-pt shot from 23 ft (assist by K. Durant),3,52-53,,
0:01.0,,,52-53,,Turnover by J. Teague (lost ball; steal by K. Durant)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:49.0,K. Durant misses 2-pt shot from 16 ft,,52-53,,
11:46.0,,,52-53,,Defensive rebound by T. Sefolosha
11:27.0,,,52-55,2,A. Horford makes 2-pt shot from 18 ft
11:14.0,R. Westbrook misses 2-pt shot from 17 ft,,52-55,,
11:13.0,,,52-55,,Defensive rebound by P. Millsap
10:48.0,,,52-57,2,J. Teague makes 2-pt shot from 8 ft
10:28.0,S. Ibaka misses 2-pt shot from 18 ft,,52-57,,
10:27.0,,,52-57,,Defensive rebound by T. Sefolosha
10:13.0,,,52-60,3,J. Teague makes 3-pt shot from 24 ft
10:12.0,Oklahoma City full timeout,,52-60,,
9:53.0,A. Roberson misses 2-pt shot from 4 ft (block by P. Millsap),,52-60,,
9:52.0,,,52-60,,Defensive rebound by P. Millsap
9:45.0,,,52-62,2,J. Teague makes 2-pt shot from 4 ft
9:29.0,S. Ibaka makes 2-pt shot from 17 ft (assist by K. Durant),2,54-62,,
9:07.0,,,54-62,,J. Teague misses 2-pt shot from 1 ft
9:06.0,Defensive rebound by K. Durant,,54-62,,
8:54.0,R. Westbrook misses 3-pt shot from 25 ft,,54-62,,
8:52.0,,,54-62,,Defensive rebound by P. Millsap
8:41.0,,,54-62,,P. Millsap misses 2-pt shot from 1 ft
8:40.0,Defensive rebound by R. Westbrook,,54-62,,
8:33.0,A. Roberson makes 2-pt shot from 1 ft (assist by R. Westbrook),2,56-62,,
8:15.0,,,56-62,,P. Millsap misses 2-pt shot from 17 ft
8:14.0,Defensive rebound by S. Adams,,56-62,,
8:02.0,K. Durant makes 2-pt shot from 11 ft,2,58-62,,
7:48.0,D. Waiters enters the game for A. Roberson,,58-62,,
7:37.0,,,58-62,,Turnover by Team (shot clock)
7:27.0,Turnover by R. Westbrook (bad pass; steal by A. Horford),,58-62,,
7:19.0,,,58-62,,K. Korver misses 3-pt shot from 25 ft
7:17.0,,,58-62,,Offensive rebound by P. Millsap
7:13.0,,,58-62,,Turnover by P. Millsap (traveling)
6:59.0,Shooting foul by J. Teague (drawn by K. Durant),,58-62,,
6:59.0,K. Durant makes free throw 1 of 2,1,59-62,,
6:59.0,K. Durant makes free throw 2 of 2,1,60-62,,
6:38.0,,,60-64,2,P. Millsap makes 2-pt shot from 1 ft (assist by T. Sefolosha)
6:18.0,R. Westbrook misses 2-pt shot from 9 ft,,60-64,,
6:17.0,,,60-64,,Defensive rebound by Team
6:17.0,,,60-64,,M. Muscala enters the game for A. Horford
6:17.0,E. Kanter enters the game for S. Adams,,60-64,,
6:08.0,,,60-64,,K. Korver misses 3-pt shot from 24 ft
6:06.0,,,60-64,,Offensive rebound by M. Muscala
6:02.0,,,60-64,,T. Sefolosha misses 3-pt shot from 24 ft
6:00.0,Defensive rebound by S. Ibaka,,60-64,,
5:53.0,Turnover by K. Durant (lost ball; steal by T. Sefolosha),,60-64,,
5:48.0,,,60-64,,T. Sefolosha misses 2-pt shot at rim (block by S. Ibaka)
5:46.0,,,60-64,,Offensive rebound by K. Korver
5:42.0,,,60-67,3,J. Teague makes 3-pt shot from 24 ft (assist by T. Sefolosha)
5:19.0,,,60-67,,Personal foul by J. Teague (drawn by R. Westbrook)
5:19.0,,,60-67,,K. Bazemore enters the game for K. Korver
5:14.0,K. Durant makes 3-pt shot from 25 ft,3,63-67,,
5:00.0,Personal foul by D. Waiters (drawn by K. Bazemore),,63-67,,
4:49.0,,,63-67,,J. Teague misses 2-pt shot from 7 ft
4:47.0,Defensive rebound by D. Waiters,,63-67,,
4:40.0,D. Waiters misses 2-pt shot from 1 ft,,63-67,,
4:39.0,Offensive rebound by E. Kanter,,63-67,,
4:39.0,E. Kanter misses 2-pt shot at rim,,63-67,,
4:37.0,Offensive rebound by D. Waiters,,63-67,,
4:32.0,S. Ibaka misses 2-pt shot from 7 ft,,63-67,,
4:30.0,,,63-67,,Defensive rebound by M. Muscala
4:22.0,,,63-67,,Turnover by P. Millsap (lost ball; steal by S. Ibaka)
4:15.0,R. Westbrook misses 2-pt shot from 1 ft,,63-67,,
4:14.0,Offensive rebound by R. Westbrook,,63-67,,
4:14.0,Shooting foul by J. Teague (drawn by R. Westbrook),,63-67,,
4:14.0,R. Westbrook makes free throw 1 of 2,1,64-67,,
4:14.0,N. Collison enters the game for S. Ibaka,,64-67,,
4:14.0,,,64-67,,D. Schroder enters the game for J. Teague
4:14.0,,,64-67,,Atlanta full timeout
4:14.0,R. Westbrook makes free throw 2 of 2,1,65-67,,
3:56.0,,,65-69,2,K. Bazemore makes 2-pt shot from 1 ft
3:43.0,Turnover by N. Collison (lost ball; steal by P. Millsap),,65-69,,
3:40.0,,,65-69,,Shooting foul by N. Collison (drawn by P. Millsap)
3:40.0,,,65-70,1,P. Millsap makes free throw 1 of 2
3:40.0,,,65-71,1,P. Millsap makes free throw 2 of 2
3:30.0,R. Westbrook misses 2-pt shot from 1 ft (block by P. Millsap),,65-71,,
3:27.0,Offensive rebound by E. Kanter,,65-71,,
3:27.0,E. Kanter makes 2-pt shot at rim,2,67-71,,
3:13.0,,,67-71,,P. Millsap misses 2-pt shot from 9 ft
3:11.0,Defensive rebound by R. Westbrook,,67-71,,
3:09.0,Offensive charge foul by R. Westbrook,,67-71,,
3:09.0,Turnover by R. Westbrook (offensive foul),,67-71,,
3:09.0,D. Augustin enters the game for R. Westbrook,,67-71,,
2:47.0,,,67-74,3,P. Millsap makes 3-pt shot from 24 ft (assist by T. Sefolosha)
2:32.0,K. Durant makes 3-pt shot from 24 ft (assist by D. Augustin),3,70-74,,
2:14.0,,,70-77,3,D. Schroder makes 3-pt shot from 25 ft
1:58.0,K. Durant misses 2-pt shot from 6 ft,,70-77,,
1:57.0,,,70-77,,Defensive rebound by Team
1:49.0,,,70-77,,D. Schroder misses 3-pt shot from 24 ft
1:48.0,Defensive rebound by K. Durant,,70-77,,
1:29.0,D. Waiters misses 2-pt shot from 10 ft,,70-77,,
1:27.0,Offensive rebound by E. Kanter,,70-77,,
1:27.0,E. Kanter misses 2-pt shot at rim,,70-77,,
1:27.0,Offensive rebound by E. Kanter,,70-77,,
1:27.0,E. Kanter misses 2-pt shot at rim,,70-77,,
1:25.0,Offensive rebound by E. Kanter,,70-77,,
1:25.0,E. Kanter makes 2-pt shot at rim,2,72-77,,
1:15.0,Personal foul by D. Waiters (drawn by D. Schroder),,72-77,,
1:15.0,,,72-77,,A. Horford enters the game for P. Millsap
1:06.0,,,72-77,,A. Horford misses 2-pt shot from 18 ft
1:03.0,Defensive rebound by E. Kanter,,72-77,,
0:57.0,N. Collison misses 2-pt shot from 20 ft,,72-77,,
0:52.0,Offensive rebound by E. Kanter,,72-77,,
0:51.0,Jump ball: E. Kanter vs. M. Muscala (N. Collison gains possession),,,,Jump ball: E. Kanter vs. M. Muscala (N. Collison gains possession)
0:42.0,D. Waiters misses 3-pt shot from 23 ft,,72-77,,
0:41.0,,,72-77,,Defensive rebound by A. Horford
0:32.0,,,72-77,,A. Horford misses 3-pt shot from 24 ft
0:31.0,,,72-77,,Offensive rebound by M. Muscala
0:31.0,,,72-79,2,M. Muscala makes 2-pt shot at rim
0:16.0,,,72-79,,Personal foul by T. Sefolosha (drawn by K. Durant)
0:01.0,N. Collison makes 2-pt shot from 20 ft (assist by K. Durant),2,74-79,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:51.0,,,74-81,2,D. Schroder makes 2-pt shot at rim
11:24.0,D. Augustin misses 2-pt shot from 1 ft,,74-81,,
11:23.0,Offensive rebound by Team,,74-81,,
11:23.0,Turnover by Team (shot clock),,74-81,,
11:10.0,,,74-81,,K. Korver misses 2-pt shot from 17 ft
11:07.0,Defensive rebound by N. Collison,,74-81,,
10:58.0,A. Morrow misses 2-pt shot from 13 ft,,74-81,,
10:56.0,Offensive rebound by D. Augustin,,74-81,,
10:42.0,A. Morrow misses 2-pt shot from 11 ft,,74-81,,
10:40.0,Offensive rebound by N. Collison,,74-81,,
10:25.0,A. Morrow misses 2-pt shot at rim (block by K. Bazemore),,74-81,,
10:23.0,,,74-81,,Defensive rebound by D. Schroder
10:22.0,,,74-81,,Shooting foul by N. Collison (drawn by M. Scott)
10:22.0,,,74-82,1,M. Scott makes free throw 1 of 2
10:22.0,S. Ibaka enters the game for N. Collison,,74-82,,
10:22.0,A. Roberson enters the game for E. Kanter,,74-82,,
10:22.0,,,74-83,1,M. Scott makes free throw 2 of 2
10:07.0,,,74-83,,Def 3 sec tech foul by M. Scott
10:07.0,A. Morrow makes technical free throw,1,75-83,,
9:55.0,A. Morrow misses 3-pt shot from 24 ft,,75-83,,
9:53.0,Offensive rebound by S. Ibaka,,75-83,,
9:41.0,A. Morrow misses 2-pt shot from 11 ft (block by A. Horford),,75-83,,
9:40.0,Offensive rebound by Team,,75-83,,
9:37.0,D. Waiters misses 2-pt shot from 20 ft,,75-83,,
9:36.0,,,75-83,,Defensive rebound by M. Scott
9:30.0,Personal foul by A. Roberson (drawn by D. Schroder),,75-83,,
9:30.0,R. Westbrook enters the game for D. Waiters,,75-83,,
9:30.0,K. Durant enters the game for A. Roberson,,75-83,,
9:30.0,,,75-83,,T. Sefolosha enters the game for K. Bazemore
9:30.0,D. Waiters enters the game for D. Augustin,,75-83,,
9:22.0,,,75-83,,K. Korver misses 3-pt shot from 25 ft
9:21.0,Defensive rebound by K. Durant,,75-83,,
9:15.0,A. Morrow misses 3-pt shot from 25 ft,,75-83,,
9:13.0,,,75-83,,Defensive rebound by T. Sefolosha
9:00.0,,,75-83,,A. Horford misses 2-pt shot from 11 ft (block by K. Durant)
8:58.0,Defensive rebound by S. Ibaka,,75-83,,
8:51.0,R. Westbrook makes 2-pt shot at rim (assist by K. Durant),2,77-83,,
8:27.0,,,77-83,,D. Schroder misses 2-pt shot from 1 ft (block by K. Durant)
8:26.0,Defensive rebound by R. Westbrook,,77-83,,
8:19.0,,,77-83,,Personal foul by D. Schroder (drawn by K. Durant)
8:19.0,Official timeout,,77-83,,
8:19.0,,,77-83,,J. Teague enters the game for D. Schroder
8:19.0,,,77-83,,P. Millsap enters the game for M. Scott
8:14.0,Turnover by R. Westbrook (bad pass; steal by T. Sefolosha),,77-83,,
8:01.0,,,77-85,2,J. Teague makes 2-pt shot from 6 ft (assist by A. Horford)
7:46.0,R. Westbrook makes 2-pt shot from 14 ft,2,79-85,,
7:23.0,,,79-85,,P. Millsap misses 2-pt shot from 1 ft
7:22.0,,,79-85,,Offensive rebound by P. Millsap
7:21.0,Personal foul by D. Waiters (drawn by P. Millsap),,79-85,,
7:14.0,,,79-88,3,K. Korver makes 3-pt shot from 25 ft (assist by J. Teague)
6:57.0,S. Ibaka makes 2-pt shot from 18 ft (assist by K. Durant),2,81-88,,
6:32.0,,,81-90,2,A. Horford makes 2-pt shot from 18 ft
6:15.0,R. Westbrook makes 3-pt shot from 25 ft,3,84-90,,
6:03.0,Personal foul by R. Westbrook (drawn by P. Millsap),,84-90,,
5:55.0,,,84-90,,K. Korver misses 3-pt shot from 25 ft
5:54.0,Defensive rebound by A. Morrow,,84-90,,
5:44.0,K. Durant misses 2-pt shot from 10 ft,,84-90,,
5:43.0,,,84-90,,Defensive rebound by T. Sefolosha
