time,Oklahoma City,pts.away,score,pts.home,Houston
4:52.0,Offensive rebound by S. Adams,,13-17,,
4:52.0,S. Adams makes 2-pt shot at rim,2,15-17,,
4:36.0,,,15-19,2,C. Brewer makes 2-pt shot from 4 ft (assist by J. Harden)
4:24.0,Turnover by R. Westbrook (lost ball; steal by C. Capela),,15-19,,
4:21.0,,,15-19,,C. Capela misses 2-pt shot at rim (block by S. Ibaka)
4:20.0,Defensive rebound by R. Westbrook,,15-19,,
4:17.0,Shooting foul by C. Brewer (drawn by R. Westbrook),,15-19,,
4:17.0,Violation by Team (delay of game),,15-19,,
4:17.0,R. Westbrook makes free throw 1 of 2,1,16-19,,
4:17.0,R. Westbrook makes free throw 2 of 2,1,17-19,,
3:59.0,,,17-19,,C. Capela misses 2-pt shot from 2 ft (block by S. Adams)
3:57.0,,,17-19,,Offensive rebound by C. Capela
3:53.0,,,17-19,,C. Capela misses 2-pt shot from 5 ft
3:51.0,Defensive rebound by R. Westbrook,,17-19,,
3:48.0,S. Ibaka misses 3-pt shot from 24 ft,,17-19,,
3:48.0,,,17-19,,Defensive rebound by Team
3:48.0,E. Kanter enters the game for S. Adams,,17-19,,
3:42.0,,,17-21,2,J. Harden makes 2-pt shot from 1 ft
3:42.0,,,17-21,,Shooting foul by E. Kanter (drawn by J. Harden)
3:42.0,,,17-21,,J. Harden misses free throw 1 of 1
3:42.0,Defensive rebound by S. Ibaka,,17-21,,
3:25.0,E. Kanter misses 2-pt shot from 1 ft (block by C. Capela),,17-21,,
3:24.0,Jump ball: C. Capela vs. E. Kanter,,,,Jump ball: C. Capela vs. E. Kanter
3:24.0,Offensive rebound by Team,,17-21,,
3:19.0,,,17-21,,Personal foul by C. Capela
3:19.0,E. Kanter makes free throw 1 of 2,1,18-21,,
3:19.0,,,18-21,,J. Smith enters the game for C. Capela
3:19.0,E. Kanter makes free throw 2 of 2,1,19-21,,
3:07.0,,,19-21,,M. Beasley misses 2-pt shot from 21 ft
3:06.0,Defensive rebound by R. Westbrook,,19-21,,
3:01.0,Turnover by R. Westbrook (bad pass),,19-21,,
3:01.0,K. Durant enters the game for S. Ibaka,,19-21,,
3:01.0,R. Foye enters the game for R. Westbrook,,19-21,,
2:51.0,,,19-21,,J. Harden misses 3-pt shot from 25 ft
2:50.0,,,19-21,,Offensive rebound by J. Harden
2:44.0,,,19-21,,M. Beasley misses 2-pt shot from 1 ft
2:43.0,,,19-21,,Offensive rebound by M. Beasley
2:43.0,,,19-23,2,M. Beasley makes 2-pt shot from 1 ft
2:32.0,R. Foye misses 2-pt shot from 20 ft,,19-23,,
2:31.0,,,19-23,,Defensive rebound by M. Beasley
2:21.0,,,19-23,,J. Terry misses 3-pt shot from 25 ft
2:20.0,Defensive rebound by E. Kanter,,19-23,,
2:12.0,Shooting foul by M. Beasley (drawn by K. Durant),,19-23,,
2:12.0,,,19-23,,Houston full timeout
2:12.0,,,19-23,,T. Ariza enters the game for J. Harden
2:12.0,K. Durant makes free throw 1 of 2,1,20-23,,
2:12.0,K. Durant makes free throw 2 of 2,1,21-23,,
1:53.0,,,21-23,,M. Beasley misses 2-pt shot from 1 ft
1:52.0,,,21-23,,Offensive rebound by M. Beasley
1:52.0,,,21-23,,M. Beasley misses 2-pt shot from 1 ft
1:51.0,Defensive rebound by K. Durant,,21-23,,
1:36.0,E. Kanter misses 2-pt shot from 9 ft,,21-23,,
1:33.0,Offensive rebound by K. Singler,,21-23,,
1:29.0,K. Durant makes 2-pt shot at rim (assist by K. Singler),2,23-23,,
1:20.0,,,23-25,2,J. Smith makes 2-pt shot from 2 ft (assist by J. Terry)
1:03.0,K. Durant misses 2-pt shot from 12 ft,,23-25,,
1:03.0,,,23-25,,Defensive rebound by M. Beasley
0:52.0,,,23-25,,Turnover by C. Brewer (lost ball; steal by R. Foye)
0:42.0,E. Kanter misses 2-pt shot from 17 ft,,23-25,,
0:41.0,,,23-25,,Defensive rebound by Team
0:31.0,,,23-28,3,J. Smith makes 3-pt shot from 24 ft (assist by J. Terry)
0:13.0,R. Foye makes 3-pt shot from 22 ft (assist by K. Durant),3,26-28,,
0:01.0,,,26-31,3,J. Terry makes 3-pt shot from 24 ft
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,K. Durant makes 2-pt shot from 18 ft (assist by R. Foye),2,28-31,,
11:33.0,,,28-31,,M. Beasley misses 2-pt shot from 11 ft (block by R. Foye)
11:33.0,Defensive rebound by Team,,28-31,,
11:19.0,E. Kanter makes 2-pt shot from 2 ft (assist by R. Foye),2,30-31,,
11:08.0,,,30-31,,Turnover by J. Smith (bad pass)
11:08.0,,,30-31,,D. Howard enters the game for M. Beasley
10:55.0,Turnover by K. Durant (lost ball; steal by J. Terry),,30-31,,
10:49.0,,,30-31,,C. Brewer misses 2-pt shot from 5 ft
10:48.0,,,30-31,,Offensive rebound by T. Ariza
10:43.0,,,30-31,,J. Smith misses 3-pt shot from 25 ft
10:43.0,Defensive rebound by K. Durant,,30-31,,
10:33.0,Turnover by D. Waiters (traveling),,30-31,,
10:18.0,,,30-31,,C. Brewer misses 3-pt shot from 23 ft
10:16.0,,,30-31,,Offensive rebound by C. Brewer
10:12.0,,,30-31,,D. Howard misses 2-pt shot from 4 ft
10:11.0,,,30-31,,Offensive rebound by C. Brewer
10:02.0,,,30-31,,C. Brewer misses 3-pt shot from 23 ft
10:01.0,,,30-31,,Offensive rebound by D. Howard
9:57.0,,,30-31,,J. Terry misses 3-pt shot from 25 ft
9:56.0,,,30-31,,Offensive rebound by C. Brewer
9:56.0,,,30-31,,C. Brewer misses 2-pt shot at rim
9:55.0,,,30-31,,Offensive rebound by D. Howard
9:54.0,,,30-33,2,D. Howard makes 2-pt shot at rim
9:52.0,Oklahoma City full timeout,,30-33,,
9:33.0,K. Singler makes 2-pt shot from 7 ft (assist by D. Waiters),2,32-33,,
9:11.0,,,32-33,,C. Brewer misses 3-pt shot from 23 ft
9:11.0,Defensive rebound by K. Durant,,32-33,,
9:06.0,Turnover by K. Durant (lost ball; steal by J. Terry),,32-33,,
9:00.0,,,32-33,,T. Ariza misses 3-pt shot from 23 ft
8:59.0,Defensive rebound by D. Waiters,,32-33,,
8:50.0,R. Westbrook enters the game for K. Singler,,32-33,,
8:50.0,,,32-33,,J. Harden enters the game for J. Terry
8:50.0,,,32-33,,P. Beverley enters the game for C. Brewer
8:47.0,E. Kanter makes 2-pt shot from 2 ft (assist by R. Westbrook),2,34-33,,
8:36.0,,,34-33,,D. Howard misses 2-pt shot from 7 ft
8:35.0,Defensive rebound by R. Westbrook,,34-33,,
8:29.0,R. Westbrook makes 2-pt shot from 19 ft,2,36-33,,
8:28.0,,,36-33,,Houston full timeout
8:28.0,S. Adams enters the game for K. Durant,,36-33,,
8:28.0,,,36-33,,K. McDaniels enters the game for J. Smith
8:10.0,,,36-36,3,J. Harden makes 3-pt shot from 25 ft (assist by K. McDaniels)
7:45.0,S. Adams misses 2-pt shot from 3 ft,,36-36,,
7:44.0,Offensive rebound by E. Kanter,,36-36,,
7:44.0,E. Kanter makes 2-pt shot from 1 ft,2,38-36,,
7:28.0,,,38-36,,K. McDaniels misses 3-pt shot from 25 ft
7:27.0,Defensive rebound by S. Adams,,38-36,,
7:07.0,,,38-36,,Violation by D. Howard (def goaltending)
7:07.0,S. Adams makes 2-pt shot from 6 ft (assist by R. Westbrook),2,40-36,,
6:47.0,,,40-36,,K. McDaniels misses 2-pt shot from 10 ft
6:46.0,,,40-36,,Offensive rebound by D. Howard
6:46.0,,,40-38,2,D. Howard makes 2-pt shot from 1 ft
6:30.0,Turnover by R. Westbrook (bad pass),,40-38,,
6:30.0,S. Ibaka enters the game for E. Kanter,,40-38,,
6:30.0,,,40-38,,D. Motiejunas enters the game for K. McDaniels
6:21.0,,,40-40,2,J. Harden makes 2-pt shot from 1 ft
6:04.0,S. Ibaka misses 2-pt shot from 18 ft,,40-40,,
6:03.0,,,40-40,,Defensive rebound by D. Motiejunas
5:56.0,,,40-43,3,T. Ariza makes 3-pt shot from 23 ft (assist by P. Beverley)
5:43.0,R. Westbrook makes 3-pt shot from 25 ft,3,43-43,,
5:29.0,,,43-43,,T. Ariza misses 3-pt shot from 23 ft
5:29.0,Defensive rebound by S. Adams,,43-43,,
5:21.0,R. Foye misses 3-pt shot from 25 ft,,43-43,,
5:20.0,,,43-43,,Defensive rebound by T. Ariza
5:09.0,,,43-43,,J. Harden misses 2-pt shot from 14 ft
5:08.0,Defensive rebound by R. Westbrook,,43-43,,
5:06.0,,,43-43,,Personal take foul by J. Harden
5:06.0,A. Roberson enters the game for D. Waiters,,43-43,,
5:06.0,K. Durant enters the game for R. Foye,,43-43,,
4:52.0,S. Adams misses 2-pt shot from 5 ft (block by J. Harden),,43-43,,
4:52.0,Offensive rebound by Team,,43-43,,
4:43.0,Turnover by Team (shot clock),,43-43,,
4:31.0,,,43-43,,D. Motiejunas misses 3-pt shot from 22 ft
4:30.0,Defensive rebound by R. Westbrook,,43-43,,
4:22.0,S. Ibaka misses 3-pt shot from 22 ft,,43-43,,
4:21.0,,,43-43,,Defensive rebound by T. Ariza
4:16.0,,,43-43,,Shooting foul by S. Ibaka (drawn by J. Harden)
4:16.0,,,43-44,1,J. Harden makes free throw 1 of 2
4:16.0,,,43-45,1,J. Harden makes free throw 2 of 2
3:56.0,S. Adams misses 2-pt shot from 8 ft,,43-45,,
3:55.0,,,43-45,,Defensive rebound by D. Howard
3:32.0,,,43-48,3,P. Beverley makes 3-pt shot from 25 ft (assist by D. Motiejunas)
3:06.0,,,43-48,,Personal foul by D. Howard
3:06.0,,,43-48,,C. Capela enters the game for D. Howard
2:54.0,Offensive charge foul by R. Westbrook,,43-48,,
2:54.0,Turnover by R. Westbrook (offensive foul),,43-48,,
2:54.0,,,43-48,,Houston full timeout
2:54.0,R. Foye enters the game for A. Roberson,,43-48,,
2:35.0,,,43-48,,Shooting foul by S. Ibaka (drawn by J. Harden)
2:35.0,,,43-49,1,J. Harden makes free throw 1 of 2
2:35.0,,,43-50,1,J. Harden makes free throw 2 of 2
2:19.0,R. Westbrook makes 2-pt shot from 17 ft (assist by S. Adams),2,45-50,,
2:19.0,Shooting foul by P. Beverley (drawn by R. Westbrook),,45-50,,
2:19.0,K. Singler enters the game for S. Ibaka,,45-50,,
2:19.0,,,45-50,,C. Brewer enters the game for P. Beverley
2:19.0,R. Westbrook makes free throw 1 of 1,1,46-50,,
2:05.0,,,46-50,,C. Brewer misses 2-pt shot from 2 ft
2:05.0,,,46-50,,Offensive rebound by C. Brewer
2:04.0,,,46-52,2,C. Brewer makes 2-pt shot from 2 ft
1:49.0,,,46-52,,Personal foul by T. Ariza
1:41.0,K. Singler misses 2-pt shot from 11 ft,,46-52,,
1:40.0,,,46-52,,Defensive rebound by Team
1:32.0,,,46-52,,Turnover by J. Harden (lost ball; steal by K. Durant)
1:28.0,K. Durant makes 2-pt shot from 1 ft (assist by R. Westbrook),2,48-52,,
1:03.0,,,48-52,,D. Motiejunas misses 3-pt shot from 23 ft
1:02.0,Defensive rebound by R. Westbrook,,48-52,,
0:53.0,K. Singler misses 3-pt shot from 23 ft,,48-52,,
0:52.0,,,48-52,,Defensive rebound by C. Brewer
0:44.0,,,48-52,,Turnover by J. Harden (bad pass)
0:44.0,,,48-52,,K. McDaniels enters the game for D. Motiejunas
0:31.0,R. Foye makes 3-pt shot from 22 ft (assist by K. Durant),3,51-52,,
0:07.0,,,51-52,,Turnover by Team (bad pass)
0:07.0,Oklahoma City full timeout,,51-52,,
0:01.0,R. Westbrook makes 2-pt shot from 1 ft,2,53-52,,
0:00.0,,,53-52,,C. Brewer misses 3-pt shot from 40 ft
0:00.0,,,53-52,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,Turnover by K. Durant (bad pass),,53-52,,
11:28.0,,,53-52,,D. Howard misses 2-pt shot from 9 ft
11:27.0,Defensive rebound by R. Westbrook,,53-52,,
11:14.0,S. Ibaka makes 2-pt shot from 1 ft (assist by R. Westbrook),2,55-52,,
10:49.0,,,55-54,2,P. Beverley makes 2-pt shot from 6 ft (assist by D. Howard)
10:33.0,K. Durant misses 2-pt shot from 17 ft,,55-54,,
10:32.0,,,55-54,,Defensive rebound by D. Howard
10:29.0,,,55-54,,Turnover by J. Harden (bad pass)
10:13.0,S. Adams makes 2-pt shot from 7 ft (assist by R. Westbrook),2,57-54,,
10:03.0,,,57-57,3,T. Ariza makes 3-pt shot from 24 ft (assist by J. Harden)
9:46.0,K. Durant makes 3-pt shot from 25 ft (assist by S. Adams),3,60-57,,
9:23.0,,,60-57,,D. Howard misses 2-pt shot from 6 ft
9:22.0,Defensive rebound by A. Roberson,,60-57,,
9:16.0,K. Durant makes 3-pt shot from 25 ft,3,63-57,,
9:16.0,,,63-57,,Houston full timeout
9:09.0,Personal foul by S. Ibaka,,63-57,,
8:57.0,,,63-57,,P. Beverley misses 2-pt shot from 14 ft
8:56.0,Defensive rebound by S. Ibaka,,63-57,,
8:52.0,Shooting foul by D. Howard (drawn by S. Adams),,63-57,,
8:52.0,S. Adams misses free throw 1 of 2,,63-57,,
8:52.0,Offensive rebound by Team,,63-57,,
8:52.0,,,63-57,,C. Capela enters the game for D. Howard
8:52.0,S. Adams misses free throw 2 of 2,,63-57,,
8:51.0,,,63-57,,Defensive rebound by Team
8:51.0,Loose ball foul by K. Durant,,63-57,,
8:37.0,,,63-57,,P. Beverley misses 3-pt shot from 23 ft
8:36.0,Defensive rebound by K. Durant,,63-57,,
8:18.0,K. Durant makes 2-pt shot from 1 ft (assist by R. Westbrook),2,65-57,,
8:10.0,Personal foul by K. Durant,,65-57,,
7:56.0,,,65-57,,T. Ariza misses 2-pt shot from 19 ft
7:55.0,Defensive rebound by S. Adams,,65-57,,
7:43.0,K. Durant misses 3-pt shot from 25 ft,,65-57,,
7:42.0,Offensive rebound by Team,,65-57,,
7:42.0,,,65-57,,Loose ball foul by D. Motiejunas
7:33.0,Shooting foul by C. Capela (drawn by K. Durant),,65-57,,
7:33.0,K. Durant makes free throw 1 of 2,1,66-57,,
7:33.0,K. Durant makes free throw 2 of 2,1,67-57,,
7:21.0,,,67-57,,P. Beverley misses 3-pt shot from 23 ft
7:20.0,,,67-57,,Offensive rebound by T. Ariza
7:20.0,,,67-57,,T. Ariza misses 2-pt shot from 1 ft
7:19.0,Defensive rebound by A. Roberson,,67-57,,
7:04.0,A. Roberson misses 2-pt shot from 1 ft,,67-57,,
7:03.0,Offensive rebound by A. Roberson,,67-57,,
7:03.0,A. Roberson makes 2-pt shot from 1 ft,2,69-57,,
6:54.0,,,69-57,,J. Harden misses 3-pt shot from 24 ft
6:53.0,Defensive rebound by Team,,69-57,,
6:40.0,S. Ibaka misses 3-pt shot from 23 ft,,69-57,,
6:39.0,,,69-57,,Defensive rebound by T. Ariza
6:34.0,,,69-59,2,J. Harden makes 2-pt shot from 2 ft
6:22.0,S. Adams misses 2-pt shot from 2 ft,,69-59,,
6:21.0,,,69-59,,Defensive rebound by D. Motiejunas
6:14.0,,,69-62,3,J. Harden makes 3-pt shot from 25 ft (assist by T. Ariza)
6:14.0,Oklahoma City full timeout,,69-62,,
6:14.0,,,69-62,,M. Beasley enters the game for D. Motiejunas
6:14.0,,,69-62,,A. Goudelock enters the game for P. Beverley
5:57.0,Turnover by R. Westbrook (bad pass),,69-62,,
5:42.0,,,69-62,,J. Harden misses 2-pt shot from 15 ft
5:41.0,Defensive rebound by S. Ibaka,,69-62,,
5:32.0,S. Ibaka misses 3-pt shot from 25 ft,,69-62,,
5:31.0,Offensive rebound by R. Westbrook,,69-62,,
5:21.0,S. Adams misses 2-pt shot from 2 ft (block by C. Capela),,69-62,,
5:20.0,,,69-62,,Defensive rebound by C. Capela
5:10.0,,,69-62,,J. Harden misses 2-pt shot from 9 ft
5:09.0,Defensive rebound by K. Durant,,69-62,,
5:08.0,,,69-62,,Personal foul by A. Goudelock
5:08.0,D. Waiters enters the game for K. Durant,,69-62,,
5:08.0,K. Singler enters the game for S. Adams,,69-62,,
5:08.0,E. Kanter enters the game for A. Roberson,,69-62,,
5:01.0,E. Kanter makes 2-pt shot from 5 ft (assist by R. Westbrook),2,71-62,,
4:46.0,,,71-64,2,M. Beasley makes 2-pt shot from 2 ft (assist by J. Harden)
4:30.0,Turnover by E. Kanter (bad pass),,71-64,,
4:18.0,,,71-66,2,C. Capela makes 2-pt shot from 1 ft (assist by M. Beasley)
4:18.0,,,71-66,,Shooting foul by S. Ibaka (drawn by C. Capela)
4:18.0,,,71-67,1,C. Capela makes free throw 1 of 1
4:03.0,D. Waiters misses 3-pt shot from 23 ft,,71-67,,
4:02.0,,,71-67,,Defensive rebound by Team
3:54.0,,,71-69,2,J. Harden makes 2-pt shot from 4 ft
3:34.0,R. Westbrook misses 2-pt shot from 11 ft,,71-69,,
3:33.0,Offensive rebound by S. Ibaka,,71-69,,
3:24.0,E. Kanter makes 2-pt shot from 1 ft (assist by D. Waiters),2,73-69,,
3:13.0,,,73-69,,J. Harden misses 2-pt shot from 3 ft
3:11.0,Defensive rebound by E. Kanter,,73-69,,
3:11.0,,,73-69,,Personal foul by T. Ariza
3:11.0,K. Singler makes free throw 1 of 2,1,74-69,,
3:11.0,,,74-69,,K. McDaniels enters the game for M. Beasley
3:11.0,K. Durant enters the game for S. Ibaka,,74-69,,
3:11.0,K. Singler makes free throw 2 of 2,1,75-69,,
2:55.0,,,75-69,,A. Goudelock misses 2-pt shot from 9 ft
2:54.0,,,75-69,,Offensive rebound by K. McDaniels
2:54.0,,,75-71,2,K. McDaniels makes 2-pt shot from 1 ft
2:54.0,,,75-71,,Shooting foul by E. Kanter (drawn by K. McDaniels)
2:54.0,R. Foye enters the game for R. Westbrook,,75-71,,
2:54.0,,,75-72,1,K. McDaniels makes free throw 1 of 1
2:39.0,,,75-72,,Personal foul by K. McDaniels
2:39.0,K. Singler makes free throw 1 of 2,1,76-72,,
2:39.0,K. Singler makes free throw 2 of 2,1,77-72,,
2:26.0,,,77-74,2,C. Capela makes 2-pt shot at rim (assist by A. Goudelock)
2:00.0,K. Durant misses 3-pt shot from 25 ft,,77-74,,
1:59.0,,,77-74,,Defensive rebound by C. Capela
1:42.0,,,77-74,,C. Capela misses 2-pt shot from 1 ft
1:41.0,,,77-74,,Offensive rebound by C. Capela
1:41.0,,,77-76,2,C. Capela makes 2-pt shot from 1 ft
1:25.0,Turnover by E. Kanter (lost ball; steal by C. Capela),,77-76,,
1:20.0,,,77-76,,A. Goudelock misses 3-pt shot from 24 ft
1:18.0,,,77-76,,Offensive rebound by A. Goudelock
1:14.0,,,77-76,,J. Harden misses 3-pt shot from 25 ft
1:13.0,,,77-76,,Offensive rebound by C. Capela
1:00.0,,,77-78,2,J. Harden makes 2-pt shot from 12 ft
1:00.0,Oklahoma City full timeout,,77-78,,
0:48.0,K. Durant misses 2-pt shot from 15 ft,,77-78,,
0:47.0,Offensive rebound by E. Kanter,,77-78,,
0:46.0,E. Kanter makes 2-pt shot from 2 ft,2,79-78,,
0:28.0,,,79-78,,K. McDaniels misses 3-pt shot from 23 ft
0:27.0,Defensive rebound by R. Foye,,79-78,,
0:08.0,Turnover by K. Durant (lost ball; steal by A. Goudelock),,79-78,,
0:04.0,,,79-78,,Shooting foul by K. Durant (drawn by T. Ariza)
0:04.0,,,79-79,1,T. Ariza makes free throw 1 of 2
0:04.0,,,79-80,1,T. Ariza makes free throw 2 of 2
0:00.0,Shooting foul by A. Goudelock (drawn by K. Durant),,79-80,,
0:00.0,K. Durant makes free throw 1 of 3,1,80-80,,
0:00.0,K. Durant makes free throw 2 of 3,1,81-80,,
0:00.0,K. Durant makes free throw 3 of 3,1,82-80,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:40.0,,,82-83,3,K. McDaniels makes 3-pt shot from 23 ft (assist by T. Ariza)
11:23.0,Offensive foul by E. Kanter,,82-83,,
11:23.0,Turnover by E. Kanter (offensive foul),,82-83,,
11:23.0,A. Morrow enters the game for K. Singler,,82-83,,
11:09.0,,,82-85,2,A. Goudelock makes 2-pt shot from 8 ft (assist by J. Harden)
10:56.0,K. Durant makes 2-pt shot from 14 ft,2,84-85,,
10:38.0,,,84-85,,Turnover by A. Goudelock (lost ball; steal by E. Kanter)
10:29.0,Shooting foul by C. Capela (drawn by D. Waiters),,84-85,,
10:29.0,D. Waiters makes free throw 1 of 2,1,85-85,,
10:29.0,R. Westbrook enters the game for R. Foye,,85-85,,
10:29.0,D. Waiters misses free throw 2 of 2,,85-85,,
10:29.0,Offensive rebound by E. Kanter,,85-85,,
10:29.0,E. Kanter makes 2-pt shot from 2 ft,2,87-85,,
10:26.0,,,87-85,,Technical foul by Team
10:26.0,K. Durant makes technical free throw,1,88-85,,
10:18.0,,,88-85,,Shooting foul by E. Kanter (drawn by J. Harden)
10:18.0,,,88-86,1,J. Harden makes free throw 1 of 2
10:18.0,,,88-87,1,J. Harden makes free throw 2 of 2
10:04.0,K. Durant makes 3-pt shot from 25 ft (assist by A. Morrow),3,91-87,,
9:50.0,,,91-87,,Turnover by A. Goudelock (bad pass)
9:40.0,Turnover by R. Westbrook (lost ball; steal by A. Goudelock),,91-87,,
9:38.0,,,91-87,,Turnover by J. Harden (lost ball; steal by R. Westbrook)
9:32.0,R. Westbrook makes 2-pt shot at rim,2,93-87,,
9:32.0,,,93-87,,Houston full timeout
9:32.0,,,93-87,,D. Howard enters the game for C. Capela
9:32.0,,,93-87,,P. Beverley enters the game for A. Goudelock
9:17.0,,,93-90,3,J. Harden makes 3-pt shot from 24 ft
9:05.0,A. Morrow misses 3-pt shot from 23 ft,,93-90,,
9:04.0,Offensive rebound by E. Kanter,,93-90,,
8:59.0,K. Durant misses 3-pt shot from 24 ft,,93-90,,
8:58.0,,,93-90,,Defensive rebound by D. Howard
8:39.0,,,93-93,3,J. Harden makes 3-pt shot from 25 ft
8:25.0,Turnover by R. Westbrook (lost ball; steal by D. Howard),,93-93,,
8:20.0,,,93-93,,J. Harden misses 2-pt shot from 1 ft (block by K. Durant)
8:19.0,,,93-93,,Offensive rebound by K. McDaniels
8:19.0,,,93-93,,Shooting foul by A. Morrow (drawn by K. McDaniels)
8:19.0,,,93-94,1,K. McDaniels makes free throw 1 of 2
