time,Detroit,pts.away,score,pts.home,Houston
1:43.0,S. Johnson misses 2-pt shot from 18 ft,,26-19,,
1:42.0,Offensive rebound by A. Drummond,,26-19,,
1:40.0,A. Drummond misses 2-pt shot from 2 ft (block by C. Capela),,26-19,,
1:40.0,Jump ball: C. Capela vs. A. Drummond,,,,Jump ball: C. Capela vs. A. Drummond
1:38.0,Offensive rebound by Team,,26-19,,
1:24.0,Shooting foul by J. Harden (drawn by A. Drummond),,26-19,,
1:24.0,A. Drummond misses free throw 1 of 2,,26-19,,
1:24.0,Offensive rebound by Team,,26-19,,
1:24.0,A. Drummond makes free throw 2 of 2,1,27-19,,
1:11.0,,,27-21,2,J. Terry makes 2-pt shot from 3 ft
0:56.0,E. Ilyasova misses 2-pt shot from 3 ft,,27-21,,
0:55.0,Offensive rebound by A. Drummond,,27-21,,
0:49.0,E. Ilyasova misses 2-pt shot from 1 ft,,27-21,,
0:48.0,,,27-21,,Defensive rebound by C. Capela
0:43.0,,,27-21,,J. Harden misses 2-pt shot from 2 ft
0:41.0,Defensive rebound by S. Johnson,,27-21,,
0:38.0,K. Caldwell-Pope makes 3-pt shot from 24 ft (assist by S. Johnson),3,30-21,,
0:20.0,,,30-21,,T. Ariza misses 2-pt shot from 8 ft
0:19.0,,,30-21,,Offensive rebound by J. Harden
0:18.0,,,30-23,2,C. Capela makes 2-pt shot at rim (assist by J. Harden)
0:00.0,K. Caldwell-Pope makes 3-pt shot from 26 ft (assist by B. Jennings),3,33-23,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,M. Morris misses 2-pt shot from 13 ft,,33-23,,
11:43.0,,,33-23,,Defensive rebound by C. Brewer
11:31.0,,,33-23,,C. Capela misses 2-pt shot from 4 ft
11:31.0,Defensive rebound by M. Morris,,33-23,,
11:15.0,Turnover by A. Tolliver (bad pass),,33-23,,
10:54.0,,,33-23,,M. Thornton misses 2-pt shot from 13 ft
10:53.0,Defensive rebound by S. Johnson,,33-23,,
10:45.0,A. Baynes makes 2-pt shot at rim (assist by B. Jennings),2,35-23,,
10:29.0,,,35-23,,T. Ariza misses 2-pt shot from 2 ft
10:28.0,Defensive rebound by M. Morris,,35-23,,
10:17.0,B. Jennings misses 2-pt shot from 20 ft,,35-23,,
10:16.0,Offensive rebound by S. Johnson,,35-23,,
10:12.0,A. Tolliver misses 3-pt shot from 24 ft,,35-23,,
10:11.0,Offensive rebound by S. Johnson,,35-23,,
10:07.0,Shooting foul by C. Capela (drawn by A. Baynes),,35-23,,
10:07.0,A. Baynes makes free throw 1 of 2,1,36-23,,
10:07.0,A. Baynes makes free throw 2 of 2,1,37-23,,
9:49.0,,,37-25,2,M. Thornton makes 2-pt shot from 5 ft
9:34.0,Turnover by S. Johnson (bad pass; steal by C. Brewer),,37-25,,
9:20.0,,,37-25,,T. Lawson misses 2-pt shot from 6 ft
9:18.0,Defensive rebound by S. Johnson,,37-25,,
9:10.0,Turnover by B. Jennings (lost ball; steal by C. Capela),,37-25,,
9:05.0,,,37-25,,C. Brewer misses 2-pt shot from 4 ft (block by S. Johnson)
9:03.0,,,37-25,,Offensive rebound by M. Thornton
8:59.0,,,37-25,,C. Brewer misses 2-pt shot from 1 ft
8:56.0,,,37-25,,Offensive rebound by C. Capela
8:56.0,,,37-25,,C. Capela misses 2-pt shot at rim
8:55.0,Defensive rebound by A. Tolliver,,37-25,,
8:52.0,Offensive charge foul by M. Morris,,37-25,,
8:52.0,Turnover by M. Morris (offensive foul),,37-25,,
8:52.0,,,37-25,,Houston full timeout
8:52.0,,,37-25,,M. Harrell enters the game for C. Capela
8:42.0,,,37-25,,Turnover by T. Lawson (bad pass; steal by S. Johnson)
8:42.0,Jump ball: M. Harrell vs. S. Johnson (T. Lawson gains possession),,,,Jump ball: M. Harrell vs. S. Johnson (T. Lawson gains possession)
8:42.0,Turnover by S. Johnson (bad pass; steal by M. Harrell),,37-25,,
8:34.0,,,37-25,,M. Thornton misses 3-pt shot from 24 ft
8:34.0,Defensive rebound by A. Tolliver,,37-25,,
8:23.0,Turnover by S. Johnson (lost ball; steal by T. Ariza),,37-25,,
8:05.0,,,37-27,2,T. Lawson makes 2-pt shot from 6 ft
7:50.0,Shooting foul by M. Harrell (drawn by A. Tolliver),,37-27,,
7:50.0,A. Tolliver makes free throw 1 of 2,1,38-27,,
7:50.0,,,38-27,,T. Jones enters the game for C. Brewer
7:50.0,A. Tolliver makes free throw 2 of 2,1,39-27,,
7:34.0,,,39-30,3,T. Lawson makes 3-pt shot from 25 ft (assist by M. Harrell)
7:09.0,M. Morris misses 2-pt shot from 14 ft,,39-30,,
7:08.0,,,39-30,,Defensive rebound by T. Jones
6:59.0,,,39-32,2,M. Thornton makes 2-pt shot from 1 ft (assist by T. Lawson)
6:44.0,B. Jennings misses 2-pt shot from 1 ft,,39-32,,
6:40.0,Offensive rebound by A. Baynes,,39-32,,
6:40.0,A. Baynes makes 2-pt shot from 2 ft,2,41-32,,
6:26.0,,,41-34,2,T. Jones makes 2-pt shot from 5 ft
6:13.0,A. Tolliver misses 3-pt shot from 23 ft,,41-34,,
6:13.0,,,41-34,,Defensive rebound by T. Lawson
6:06.0,,,41-36,2,T. Lawson makes 2-pt shot from 17 ft
6:06.0,,,41-36,,Shooting foul by B. Jennings (drawn by T. Lawson)
6:06.0,,,41-36,,J. Harden enters the game for M. Thornton
6:06.0,,,41-37,1,T. Lawson makes free throw 1 of 1
6:00.0,Detroit full timeout,,41-37,,
6:00.0,R. Jackson enters the game for S. Johnson,,41-37,,
6:00.0,K. Caldwell-Pope enters the game for B. Jennings,,41-37,,
6:00.0,A. Drummond enters the game for A. Baynes,,41-37,,
5:56.0,,,41-37,,Personal foul by T. Lawson (drawn by R. Jackson)
5:42.0,A. Tolliver makes 3-pt shot from 23 ft (assist by K. Caldwell-Pope),3,44-37,,
5:32.0,,,44-39,2,T. Lawson makes 2-pt shot from 6 ft
5:16.0,M. Morris misses 3-pt shot from 23 ft,,44-39,,
5:15.0,,,44-39,,Defensive rebound by J. Harden
5:11.0,,,44-39,,T. Ariza misses 2-pt shot from 2 ft
5:07.0,Defensive rebound by R. Jackson,,44-39,,
5:02.0,E. Ilyasova enters the game for A. Tolliver,,44-39,,
4:53.0,E. Ilyasova makes 3-pt shot from 24 ft (assist by R. Jackson),3,47-39,,
4:33.0,,,47-41,2,J. Harden makes 2-pt shot from 5 ft
4:12.0,R. Jackson misses 2-pt shot from 20 ft,,47-41,,
4:11.0,Offensive rebound by A. Drummond,,47-41,,
4:11.0,Shooting foul by M. Harrell (drawn by A. Drummond),,47-41,,
4:11.0,A. Drummond misses free throw 1 of 2,,47-41,,
4:11.0,Offensive rebound by Team,,47-41,,
4:11.0,,,47-41,,J. Terry enters the game for T. Lawson
4:11.0,,,47-41,,M. Thornton enters the game for T. Ariza
4:11.0,,,47-41,,C. Capela enters the game for M. Harrell
4:11.0,A. Drummond misses free throw 2 of 2,,47-41,,
4:10.0,,,47-41,,Defensive rebound by J. Harden
4:03.0,,,47-41,,Shooting foul by M. Morris (drawn by J. Harden)
4:03.0,,,47-42,1,J. Harden makes free throw 1 of 2
4:03.0,S. Johnson enters the game for M. Morris,,47-42,,
4:03.0,,,47-43,1,J. Harden makes free throw 2 of 2
4:03.0,,,47-43,,Personal take foul by J. Terry (drawn by A. Drummond)
4:03.0,A. Drummond misses free throw 1 of 2,,47-43,,
4:03.0,Offensive rebound by Team,,47-43,,
4:03.0,A. Drummond misses free throw 2 of 2,,47-43,,
4:03.0,,,47-43,,Defensive rebound by J. Harden
3:55.0,,,47-43,,J. Terry misses 3-pt shot from 24 ft
3:55.0,Defensive rebound by Team,,47-43,,
3:54.0,,,47-43,,Personal take foul by M. Thornton (drawn by A. Drummond)
3:54.0,A. Drummond misses free throw 1 of 2,,47-43,,
3:54.0,Offensive rebound by Team,,47-43,,
3:54.0,A. Drummond makes free throw 2 of 2,1,48-43,,
3:53.0,Personal take foul by S. Johnson (drawn by J. Harden),,48-43,,
3:53.0,A. Baynes enters the game for A. Drummond,,48-43,,
3:40.0,,,48-45,2,J. Terry makes 2-pt shot at rim
3:34.0,Detroit full timeout,,48-45,,
3:27.0,Turnover by R. Jackson (bad pass; steal by M. Thornton),,48-45,,
3:21.0,,,48-47,2,T. Jones makes 2-pt shot from 1 ft (assist by J. Harden)
2:58.0,E. Ilyasova makes 2-pt shot from 7 ft (assist by R. Jackson),2,50-47,,
2:35.0,,,50-47,,M. Thornton misses 2-pt shot from 18 ft
2:34.0,Defensive rebound by A. Baynes,,50-47,,
2:19.0,R. Jackson makes 2-pt shot from 6 ft,2,52-47,,
2:12.0,,,52-47,,Houston full timeout
2:12.0,,,52-47,,C. Brewer enters the game for J. Terry
2:12.0,,,52-47,,T. Lawson enters the game for M. Thornton
2:05.0,,,52-47,,J. Harden misses 2-pt shot from 15 ft
2:04.0,Defensive rebound by A. Baynes,,52-47,,
2:02.0,,,52-47,,Personal block foul by J. Harden (drawn by R. Jackson)
2:02.0,R. Jackson makes free throw 1 of 2,1,53-47,,
2:02.0,,,53-47,,T. Ariza enters the game for T. Jones
2:02.0,R. Jackson makes free throw 2 of 2,1,54-47,,
1:43.0,Personal foul by E. Ilyasova (drawn by C. Brewer),,54-47,,
1:36.0,,,54-47,,C. Capela misses 2-pt shot from 1 ft (block by A. Baynes)
1:35.0,,,54-47,,Offensive rebound by T. Lawson
1:30.0,,,54-47,,C. Brewer misses 3-pt shot from 24 ft
1:29.0,Defensive rebound by A. Baynes,,54-47,,
1:15.0,S. Johnson misses 3-pt shot from 24 ft,,54-47,,
1:14.0,,,54-47,,Defensive rebound by J. Harden
1:08.0,,,54-47,,Turnover by J. Harden (lost ball; steal by K. Caldwell-Pope)
0:58.0,K. Caldwell-Pope makes 2-pt shot from 19 ft (assist by R. Jackson),2,56-47,,
0:49.0,,,56-47,,Turnover by C. Capela (bad pass)
0:49.0,,,56-47,,T. Jones enters the game for C. Capela
0:29.0,R. Jackson misses 2-pt shot from 6 ft,,56-47,,
0:28.0,,,56-47,,Defensive rebound by C. Brewer
0:21.0,,,56-47,,Offensive charge foul by J. Harden
0:21.0,,,56-47,,Turnover by J. Harden (offensive foul)
0:21.0,,,56-47,,K. McDaniels enters the game for J. Harden
0:00.0,R. Jackson misses 2-pt shot from 18 ft (block by T. Jones),,56-47,,
0:00.0,Offensive rebound by Team,,56-47,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:59.0,,,56-47,,Personal take foul by K. McDaniels (drawn by A. Drummond)
11:56.0,,,56-47,,Personal take foul by K. McDaniels (drawn by A. Drummond)
11:54.0,,,56-47,,Personal take foul by K. McDaniels (drawn by A. Drummond)
11:51.0,,,56-47,,Personal take foul by K. McDaniels (drawn by A. Drummond)
11:51.0,,,56-47,,Personal take foul by K. McDaniels (drawn by A. Drummond)
11:51.0,A. Drummond makes free throw 1 of 2,1,57-47,,
11:51.0,,,57-47,,C. Brewer enters the game for K. McDaniels
11:51.0,A. Drummond misses free throw 2 of 2,,57-47,,
11:50.0,,,57-47,,Defensive rebound by T. Ariza
11:26.0,,,57-49,2,T. Lawson makes 2-pt shot at rim
11:24.0,,,57-49,,Personal take foul by C. Brewer (drawn by A. Drummond)
11:24.0,A. Drummond misses free throw 1 of 2,,57-49,,
11:24.0,Offensive rebound by Team,,57-49,,
11:24.0,A. Drummond misses free throw 2 of 2,,57-49,,
11:23.0,,,57-49,,Defensive rebound by J. Harden
11:10.0,,,57-49,,T. Lawson misses 3-pt shot from 25 ft
11:09.0,Defensive rebound by E. Ilyasova,,57-49,,
11:04.0,,,57-49,,Personal take foul by C. Brewer (drawn by A. Drummond)
11:04.0,A. Drummond makes free throw 1 of 2,1,58-49,,
11:04.0,A. Drummond makes free throw 2 of 2,1,59-49,,
10:53.0,,,59-49,,J. Harden misses 3-pt shot from 24 ft
10:53.0,Defensive rebound by A. Drummond,,59-49,,
10:49.0,,,59-49,,Personal take foul by T. Ariza (drawn by A. Drummond)
10:49.0,A. Drummond misses free throw 1 of 2,,59-49,,
10:49.0,Offensive rebound by Team,,59-49,,
10:49.0,A. Drummond makes free throw 2 of 2,1,60-49,,
10:34.0,,,60-52,3,C. Brewer makes 3-pt shot from 24 ft (assist by J. Harden)
10:26.0,,,60-52,,Personal take foul by T. Lawson (drawn by A. Drummond)
10:26.0,A. Drummond misses free throw 1 of 2,,60-52,,
10:26.0,Offensive rebound by Team,,60-52,,
10:26.0,A. Drummond misses free throw 2 of 2,,60-52,,
10:26.0,,,60-52,,Defensive rebound by C. Capela
10:09.0,,,60-54,2,C. Capela makes 2-pt shot from 1 ft (assist by J. Harden)
10:00.0,,,60-54,,Personal take foul by T. Lawson (drawn by A. Drummond)
10:00.0,A. Drummond misses free throw 1 of 2,,60-54,,
10:00.0,Offensive rebound by Team,,60-54,,
10:00.0,A. Drummond misses free throw 2 of 2,,60-54,,
9:59.0,,,60-54,,Defensive rebound by J. Harden
9:52.0,,,60-57,3,C. Brewer makes 3-pt shot from 25 ft (assist by J. Harden)
9:52.0,Detroit full timeout,,60-57,,
9:51.0,,,60-57,,Personal take foul by T. Ariza (drawn by A. Drummond)
9:51.0,A. Drummond misses free throw 1 of 2,,60-57,,
9:51.0,Offensive rebound by Team,,60-57,,
9:51.0,A. Drummond misses free throw 2 of 2,,60-57,,
9:51.0,,,60-57,,Defensive rebound by C. Capela
9:33.0,,,60-60,3,T. Ariza makes 3-pt shot from 24 ft (assist by J. Harden)
9:28.0,,,60-60,,Personal take foul by C. Brewer (drawn by A. Drummond)
9:28.0,A. Drummond makes free throw 1 of 2,1,61-60,,
9:28.0,A. Drummond misses free throw 2 of 2,,61-60,,
9:28.0,,,61-60,,Defensive rebound by C. Capela
9:22.0,Personal take foul by A. Drummond (drawn by C. Capela),,61-60,,
9:22.0,A. Baynes enters the game for A. Drummond,,61-60,,
9:09.0,,,61-60,,J. Harden misses 2-pt shot from 1 ft
9:08.0,Defensive rebound by A. Baynes,,61-60,,
9:02.0,K. Caldwell-Pope misses 2-pt shot from 20 ft,,61-60,,
9:00.0,,,61-60,,Defensive rebound by C. Capela
8:50.0,,,61-60,,C. Brewer misses 2-pt shot from 2 ft (block by E. Ilyasova)
8:49.0,Defensive rebound by R. Jackson,,61-60,,
8:43.0,Turnover by M. Morris (lost ball; steal by C. Brewer),,61-60,,
8:31.0,,,61-62,2,C. Capela makes 2-pt shot from 1 ft (assist by J. Harden)
8:06.0,R. Jackson misses 3-pt shot from 27 ft,,61-62,,
8:05.0,Offensive rebound by E. Ilyasova,,61-62,,
8:05.0,E. Ilyasova misses 2-pt shot from 1 ft,,61-62,,
8:04.0,,,61-62,,Defensive rebound by J. Harden
7:58.0,,,61-64,2,T. Lawson makes 2-pt shot from 3 ft (assist by J. Harden)
7:58.0,Detroit full timeout,,61-64,,
7:40.0,R. Jackson makes 2-pt shot from 6 ft,2,63-64,,
7:24.0,,,63-64,,C. Capela misses 2-pt shot from 4 ft
7:22.0,,,63-64,,Offensive rebound by J. Harden
7:22.0,,,63-66,2,J. Harden makes 2-pt shot at rim
6:54.0,A. Baynes makes 2-pt shot from 16 ft (assist by E. Ilyasova),2,65-66,,
6:38.0,,,65-68,2,C. Brewer makes 2-pt shot from 1 ft
6:21.0,K. Caldwell-Pope misses 2-pt shot from 3 ft,,65-68,,
6:21.0,,,65-68,,Defensive rebound by J. Harden
6:04.0,,,65-68,,J. Harden misses 3-pt shot from 24 ft
6:02.0,Defensive rebound by M. Morris,,65-68,,
5:41.0,R. Jackson misses 2-pt shot from 9 ft,,65-68,,
5:40.0,Offensive rebound by R. Jackson,,65-68,,
5:36.0,R. Jackson makes 2-pt shot from 1 ft,2,67-68,,
5:36.0,,,67-68,,Houston full timeout
5:36.0,,,67-68,,M. Thornton enters the game for C. Brewer
5:36.0,,,67-68,,J. Terry enters the game for T. Lawson
5:14.0,,,67-68,,T. Ariza misses 2-pt shot from 3 ft (block by M. Morris)
5:14.0,,,67-68,,Offensive rebound by T. Ariza
5:09.0,,,67-68,,M. Thornton misses 3-pt shot from 23 ft
5:09.0,Defensive rebound by K. Caldwell-Pope,,67-68,,
4:57.0,A. Baynes misses 2-pt shot from 5 ft,,67-68,,
4:56.0,Offensive rebound by E. Ilyasova,,67-68,,
4:56.0,E. Ilyasova makes 2-pt shot from 2 ft,2,69-68,,
4:31.0,,,69-68,,C. Capela misses 2-pt shot from 2 ft
4:30.0,Defensive rebound by A. Baynes,,69-68,,
4:23.0,R. Jackson makes 2-pt shot at rim,2,71-68,,
3:58.0,,,71-68,,J. Harden misses 2-pt shot from 15 ft
3:55.0,Defensive rebound by M. Morris,,71-68,,
3:46.0,K. Caldwell-Pope makes 3-pt shot from 23 ft (assist by R. Jackson),3,74-68,,
3:29.0,,,74-68,,Shooting foul by A. Baynes (drawn by J. Harden)
3:29.0,,,74-69,1,J. Harden makes free throw 1 of 2
3:29.0,S. Johnson enters the game for M. Morris,,74-69,,
3:29.0,,,74-69,,T. Jones enters the game for C. Capela
3:29.0,,,74-69,,C. Brewer enters the game for T. Ariza
3:29.0,,,74-70,1,J. Harden makes free throw 2 of 2
3:14.0,K. Caldwell-Pope misses 3-pt shot from 23 ft,,74-70,,
3:12.0,,,74-70,,Defensive rebound by M. Thornton
3:07.0,,,74-73,3,J. Harden makes 3-pt shot from 23 ft
2:52.0,E. Ilyasova makes 2-pt shot from 1 ft (assist by A. Baynes),2,76-73,,
2:36.0,,,76-73,,J. Terry misses 2-pt shot from 3 ft
2:35.0,Defensive rebound by S. Johnson,,76-73,,
2:34.0,,,76-73,,Personal foul by J. Harden (drawn by S. Johnson)
2:34.0,S. Johnson misses free throw 1 of 2,,76-73,,
2:34.0,Offensive rebound by Team,,76-73,,
2:34.0,,,76-73,,T. Ariza enters the game for J. Harden
2:34.0,B. Jennings enters the game for R. Jackson,,76-73,,
2:34.0,S. Johnson makes free throw 2 of 2,1,77-73,,
2:13.0,,,77-73,,T. Jones misses 2-pt shot from 3 ft
2:13.0,Defensive rebound by A. Baynes,,77-73,,
2:05.0,K. Caldwell-Pope misses 3-pt shot from 24 ft,,77-73,,
2:05.0,Offensive rebound by E. Ilyasova,,77-73,,
2:02.0,E. Ilyasova makes 2-pt shot from 2 ft,2,79-73,,
1:49.0,,,79-73,,C. Brewer misses 2-pt shot from 3 ft (block by A. Baynes)
1:49.0,,,79-73,,Offensive rebound by Team
1:35.0,,,79-73,,M. Thornton misses 3-pt shot from 24 ft
1:32.0,Defensive rebound by A. Baynes,,79-73,,
1:27.0,,,79-73,,Personal foul by M. Thornton (drawn by E. Ilyasova)
1:27.0,E. Ilyasova makes free throw 1 of 2,1,80-73,,
1:27.0,,,80-73,,T. Lawson enters the game for J. Terry
1:27.0,E. Ilyasova makes free throw 2 of 2,1,81-73,,
1:16.0,,,81-75,2,T. Jones makes 2-pt shot from 1 ft (assist by T. Lawson)
1:16.0,,,81-75,,Shooting foul by A. Baynes (drawn by T. Jones)
1:16.0,,,81-75,,T. Jones misses free throw 1 of 1
1:16.0,Defensive rebound by S. Johnson,,81-75,,
1:00.0,S. Johnson makes 2-pt shot from 2 ft,2,83-75,,
0:50.0,,,83-77,2,T. Jones makes 2-pt shot from 16 ft (assist by T. Ariza)
0:27.0,E. Ilyasova misses 2-pt shot from 14 ft,,83-77,,
0:26.0,Offensive rebound by K. Caldwell-Pope,,83-77,,
0:23.0,K. Caldwell-Pope misses 2-pt shot from 2 ft,,83-77,,
0:23.0,,,83-77,,Defensive rebound by C. Brewer
0:17.0,,,83-77,,Turnover by T. Lawson (bad pass; steal by K. Caldwell-Pope)
0:13.0,Shooting foul by T. Lawson (drawn by S. Johnson),,83-77,,
0:13.0,S. Johnson makes free throw 1 of 2,1,84-77,,
0:13.0,S. Johnson makes free throw 2 of 2,1,85-77,,
0:01.0,,,85-79,2,T. Jones makes 2-pt shot from 2 ft (assist by T. Lawson)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
12:00.0,Personal foul by S. Johnson (drawn by M. Thornton),,85-79,,
11:41.0,,,85-79,,C. Brewer misses 2-pt shot from 3 ft
11:39.0,,,85-79,,Offensive rebound by C. Capela
11:39.0,,,85-81,2,C. Capela makes 2-pt shot at rim
11:20.0,S. Johnson misses 3-pt shot from 23 ft,,85-81,,
11:19.0,,,85-81,,Defensive rebound by T. Lawson
11:11.0,,,85-84,3,C. Brewer makes 3-pt shot from 22 ft (assist by M. Thornton)
10:44.0,A. Tolliver misses 3-pt shot from 25 ft,,85-84,,
10:42.0,,,85-84,,Defensive rebound by C. Capela
10:31.0,,,85-84,,C. Brewer misses 3-pt shot from 23 ft
10:29.0,Defensive rebound by A. Drummond,,85-84,,
10:25.0,Shooting foul by C. Capela (drawn by S. Johnson),,85-84,,
10:25.0,S. Johnson makes free throw 1 of 2,1,86-84,,
10:25.0,S. Johnson makes free throw 2 of 2,1,87-84,,
10:14.0,,,87-84,,T. Lawson misses 2-pt shot from 3 ft
10:14.0,Defensive rebound by A. Drummond,,87-84,,
10:07.0,A. Tolliver makes 2-pt shot at rim (assist by B. Jennings),2,89-84,,
9:45.0,,,89-86,2,M. Thornton makes 2-pt shot from 2 ft
9:30.0,Shooting foul by C. Capela (drawn by A. Drummond),,89-86,,
