time,Toronto,pts.away,score,pts.home,Portland
9:34.0,,,41-27,2,A. Crabbe makes 2-pt shot from 1 ft (assist by G. Henderson)
9:09.0,C. Joseph misses 3-pt shot from 26 ft,,41-27,,
9:08.0,,,41-27,,Defensive rebound by A. Crabbe
9:01.0,,,41-27,,C. McCollum misses 2-pt shot from 2 ft (block by K. Lowry)
9:01.0,,,41-27,,Offensive rebound by Team
8:48.0,,,41-27,,C. McCollum misses 3-pt shot from 24 ft
8:48.0,Defensive rebound by P. Patterson,,41-27,,
8:34.0,Shooting foul by G. Henderson (drawn by J. Valanciunas),,41-27,,
8:34.0,Official timeout,,41-27,,
8:34.0,L. Scola enters the game for P. Patterson,,41-27,,
8:34.0,J. Valanciunas makes free throw 1 of 2,1,42-27,,
8:34.0,J. Valanciunas makes free throw 2 of 2,1,43-27,,
8:15.0,,,43-29,2,A. Aminu makes 2-pt shot from 1 ft (assist by G. Henderson)
7:59.0,K. Lowry misses 3-pt shot from 26 ft,,43-29,,
7:59.0,,,43-29,,Defensive rebound by M. Plumlee
7:49.0,,,43-31,2,C. McCollum makes 2-pt shot from 14 ft
7:29.0,K. Lowry misses 2-pt shot from 1 ft (block by M. Plumlee),,43-31,,
7:28.0,,,43-31,,Defensive rebound by A. Aminu
7:22.0,,,43-31,,A. Aminu misses 2-pt shot from 3 ft
7:21.0,Defensive rebound by L. Scola,,43-31,,
7:06.0,T. Ross misses 3-pt shot from 24 ft,,43-31,,
7:04.0,,,43-31,,Defensive rebound by G. Henderson
6:56.0,,,43-34,3,A. Aminu makes 3-pt shot from 22 ft (assist by G. Henderson)
6:35.0,,,43-34,,Personal foul by M. Plumlee (drawn by J. Valanciunas)
6:35.0,D. DeRozan enters the game for C. Joseph,,43-34,,
6:24.0,D. DeRozan misses 2-pt shot from 13 ft,,43-34,,
6:24.0,,,43-34,,Defensive rebound by C. McCollum
6:09.0,,,43-34,,Turnover by C. McCollum (bad pass; steal by K. Lowry)
6:04.0,L. Scola makes 3-pt shot from 22 ft (assist by K. Lowry),3,46-34,,
5:49.0,,,46-37,3,G. Henderson makes 3-pt shot from 25 ft (assist by C. McCollum)
5:31.0,K. Lowry makes 2-pt shot from 4 ft,2,48-37,,
5:17.0,,,48-39,2,C. McCollum makes 2-pt shot from 3 ft
5:08.0,Toronto full timeout,,48-39,,
5:08.0,B. Biyombo enters the game for J. Valanciunas,,48-39,,
5:08.0,,,48-39,,E. Davis enters the game for M. Plumlee
5:08.0,,,48-39,,D. Lillard enters the game for A. Crabbe
4:59.0,D. DeRozan makes 2-pt shot from 1 ft (assist by K. Lowry),2,50-39,,
4:44.0,,,50-39,,C. McCollum misses 3-pt shot from 24 ft
4:43.0,Defensive rebound by L. Scola,,50-39,,
4:30.0,K. Lowry makes 3-pt shot from 28 ft (assist by L. Scola),3,53-39,,
4:15.0,,,53-39,,D. Lillard misses 2-pt shot from 17 ft
4:14.0,Defensive rebound by T. Ross,,53-39,,
4:03.0,Turnover by K. Lowry (bad pass; steal by E. Davis),,53-39,,
4:00.0,Personal foul by T. Ross (drawn by D. Lillard),,53-39,,
4:00.0,,,53-39,,M. Leonard enters the game for A. Aminu
3:57.0,,,53-42,3,C. McCollum makes 3-pt shot from 22 ft (assist by D. Lillard)
3:40.0,Turnover by K. Lowry (bad pass; steal by G. Henderson),,53-42,,
3:36.0,,,53-44,2,G. Henderson makes 2-pt shot from 5 ft
3:36.0,,,53-44,,Shooting foul by K. Lowry (drawn by G. Henderson)
3:36.0,,,53-44,,A. Crabbe enters the game for C. McCollum
3:36.0,,,53-45,1,G. Henderson makes free throw 1 of 1
3:15.0,K. Lowry misses 3-pt shot from 24 ft,,53-45,,
3:14.0,Offensive rebound by Team,,53-45,,
3:00.0,D. DeRozan misses 2-pt shot from 10 ft,,53-45,,
2:58.0,,,53-45,,Defensive rebound by G. Henderson
2:52.0,,,53-47,2,M. Leonard makes 2-pt shot from 7 ft (assist by D. Lillard)
2:37.0,D. DeRozan misses 2-pt shot from 3 ft,,53-47,,
2:37.0,,,53-47,,Portland full timeout
2:37.0,C. Joseph enters the game for L. Scola,,53-47,,
2:37.0,P. Patterson enters the game for K. Lowry,,53-47,,
2:37.0,Jump ball: E. Davis vs. D. DeRozan (G. Henderson gains possession),,,,Jump ball: E. Davis vs. D. DeRozan (G. Henderson gains possession)
2:37.0,,,53-47,,Offensive rebound by Team
2:24.0,,,53-47,,Turnover by M. Leonard (lost ball)
2:08.0,C. Joseph misses 2-pt shot from 4 ft,,53-47,,
2:08.0,,,53-47,,Defensive rebound by D. Lillard
1:59.0,,,53-47,,M. Leonard misses 2-pt shot from 2 ft
1:59.0,Defensive rebound by P. Patterson,,53-47,,
1:54.0,,,53-47,,Personal foul by G. Henderson (drawn by D. DeRozan)
1:54.0,,,53-47,,C. McCollum enters the game for G. Henderson
1:47.0,T. Ross makes 2-pt shot from 15 ft (assist by C. Joseph),2,55-47,,
1:30.0,,,55-47,,D. Lillard misses 3-pt shot from 25 ft
1:30.0,Defensive rebound by B. Biyombo,,55-47,,
1:17.0,T. Ross makes 2-pt shot from 4 ft (assist by C. Joseph),2,57-47,,
1:01.0,,,57-47,,A. Crabbe misses 2-pt shot from 17 ft
1:00.0,,,57-47,,Offensive rebound by A. Crabbe
0:59.0,,,57-49,2,A. Crabbe makes 2-pt shot from 1 ft
0:43.0,C. Joseph misses 2-pt shot from 12 ft,,57-49,,
0:42.0,,,57-49,,Defensive rebound by C. McCollum
0:32.0,,,57-49,,Turnover by A. Crabbe (lost ball; steal by P. Patterson)
0:26.0,C. Joseph makes 2-pt shot from 1 ft (assist by D. DeRozan),2,59-49,,
0:08.0,,,59-49,,Shooting foul by C. Joseph (drawn by D. Lillard)
0:08.0,,,59-50,1,D. Lillard makes free throw 1 of 2
0:08.0,Toronto full timeout,,59-50,,
0:08.0,,,59-50,,A. Aminu enters the game for M. Leonard
0:08.0,L. Scola enters the game for B. Biyombo,,59-50,,
0:08.0,K. Lowry enters the game for P. Patterson,,59-50,,
0:08.0,,,59-51,1,D. Lillard makes free throw 2 of 2
0:00.0,K. Lowry misses 3-pt shot from 25 ft,,59-51,,
0:00.0,Offensive rebound by Team,,59-51,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:34.0,Turnover by Team (shot clock),,59-51,,
11:14.0,,,59-51,,D. Lillard misses 2-pt shot from 20 ft
11:13.0,Defensive rebound by L. Scola,,59-51,,
11:02.0,D. DeRozan misses 2-pt shot from 14 ft,,59-51,,
11:02.0,,,59-51,,Defensive rebound by M. Plumlee
10:54.0,,,59-51,,Turnover by C. McCollum (bad pass; steal by K. Lowry)
10:50.0,K. Lowry makes 2-pt shot from 2 ft (assist by L. Scola),2,61-51,,
10:28.0,,,61-51,,A. Aminu misses 3-pt shot from 24 ft
10:26.0,Defensive rebound by J. Valanciunas,,61-51,,
10:06.0,D. DeRozan misses 2-pt shot from 13 ft (block by M. Harkless),,61-51,,
10:05.0,,,61-51,,Defensive rebound by C. McCollum
9:55.0,,,61-54,3,C. McCollum makes 3-pt shot from 23 ft (assist by D. Lillard)
9:31.0,D. DeRozan makes 2-pt shot at rim,2,63-54,,
9:31.0,Shooting foul by M. Harkless (drawn by D. DeRozan),,63-54,,
9:31.0,D. DeRozan makes free throw 1 of 1,1,64-54,,
9:22.0,Violation by K. Lowry (kicked ball),,64-54,,
9:14.0,,,64-54,,C. McCollum misses 2-pt shot from 4 ft
9:13.0,,,64-54,,Offensive rebound by M. Plumlee
9:11.0,,,64-56,2,M. Plumlee makes 2-pt shot from 2 ft
8:53.0,Turnover by K. Lowry (bad pass; steal by M. Harkless),,64-56,,
8:47.0,,,64-58,2,M. Harkless makes 2-pt shot at rim
8:36.0,Turnover by K. Lowry (bad pass; steal by A. Aminu),,64-58,,
8:23.0,,,64-58,,Shooting foul by N. Powell (drawn by M. Plumlee)
8:23.0,,,64-58,,M. Plumlee misses free throw 1 of 2
8:23.0,,,64-58,,Offensive rebound by Team
8:23.0,,,64-58,,M. Plumlee misses free throw 2 of 2
8:22.0,Defensive rebound by J. Valanciunas,,64-58,,
7:59.0,K. Lowry makes 3-pt shot from 27 ft (assist by L. Scola),3,67-58,,
7:39.0,,,67-58,,D. Lillard misses 2-pt shot from 14 ft
7:39.0,Defensive rebound by N. Powell,,67-58,,
7:27.0,,,67-58,,Personal foul by M. Plumlee (drawn by J. Valanciunas)
7:22.0,Turnover by J. Valanciunas (lost ball),,67-58,,
7:12.0,Personal foul by L. Scola (drawn by D. Lillard),,67-58,,
7:09.0,,,67-60,2,D. Lillard makes 2-pt shot from 18 ft (assist by M. Harkless)
6:43.0,J. Valanciunas misses 2-pt shot from 17 ft,,67-60,,
6:42.0,,,67-60,,Defensive rebound by D. Lillard
6:28.0,,,67-60,,Shooting foul by L. Scola (drawn by D. Lillard)
6:28.0,,,67-61,1,D. Lillard makes free throw 1 of 2
6:28.0,T. Ross enters the game for N. Powell,,67-61,,
6:28.0,,,67-62,1,D. Lillard makes free throw 2 of 2
6:12.0,Turnover by K. Lowry (lost ball),,67-62,,
5:59.0,,,67-62,,Turnover by D. Lillard (bad pass; steal by D. DeRozan)
5:53.0,D. DeRozan makes 2-pt shot from 3 ft (assist by K. Lowry),2,69-62,,
5:33.0,,,69-64,2,C. McCollum makes 2-pt shot from 14 ft
5:18.0,K. Lowry misses 2-pt shot from 2 ft (block by D. Lillard),,69-64,,
5:18.0,Offensive rebound by Team,,69-64,,
5:18.0,,,69-64,,Portland full timeout
5:18.0,,,69-64,,A. Crabbe enters the game for M. Plumlee
5:18.0,,,69-64,,M. Leonard enters the game for C. McCollum
5:11.0,Turnover by T. Ross (lost ball),,69-64,,
5:03.0,,,69-64,,A. Aminu misses 3-pt shot from 22 ft
5:02.0,Defensive rebound by D. DeRozan,,69-64,,
4:49.0,D. DeRozan misses 2-pt shot from 16 ft,,69-64,,
4:49.0,,,69-64,,Defensive rebound by D. Lillard
4:41.0,,,69-64,,M. Leonard misses 3-pt shot from 24 ft
4:41.0,Defensive rebound by Team,,69-64,,
4:26.0,D. DeRozan makes 2-pt shot from 13 ft,2,71-64,,
4:01.0,,,71-64,,D. Lillard misses 3-pt shot from 28 ft
4:00.0,,,71-64,,Offensive rebound by M. Leonard
3:55.0,,,71-66,2,D. Lillard makes 2-pt shot from 1 ft (assist by M. Leonard)
3:41.0,,,71-66,,Personal foul by A. Crabbe (drawn by J. Valanciunas)
3:41.0,P. Patterson enters the game for L. Scola,,71-66,,
3:35.0,D. DeRozan misses 2-pt shot from 1 ft,,71-66,,
3:34.0,,,71-66,,Defensive rebound by A. Aminu
3:29.0,,,71-66,,Turnover by M. Harkless (step out of bounds)
3:15.0,K. Lowry misses 2-pt shot from 3 ft,,71-66,,
3:14.0,Offensive rebound by J. Valanciunas,,71-66,,
3:14.0,J. Valanciunas makes 2-pt shot at rim,2,73-66,,
2:54.0,,,73-69,3,A. Crabbe makes 3-pt shot from 25 ft (assist by M. Leonard)
2:34.0,K. Lowry makes 3-pt shot from 24 ft (assist by P. Patterson),3,76-69,,
2:18.0,,,76-69,,Shooting foul by T. Ross (drawn by A. Crabbe)
2:18.0,Toronto full timeout,,76-69,,
2:18.0,,,76-69,,E. Davis enters the game for M. Harkless
2:18.0,,,76-69,,G. Henderson enters the game for A. Aminu
2:18.0,B. Biyombo enters the game for J. Valanciunas,,76-69,,
2:18.0,C. Joseph enters the game for K. Lowry,,76-69,,
2:18.0,,,76-70,1,A. Crabbe makes free throw 1 of 2
2:18.0,,,76-71,1,A. Crabbe makes free throw 2 of 2
2:08.0,,,76-71,,Personal foul by A. Crabbe (drawn by D. DeRozan)
1:56.0,C. Joseph makes 2-pt shot at rim,2,78-71,,
1:41.0,,,78-73,2,G. Henderson makes 2-pt shot from 1 ft (assist by M. Leonard)
1:22.0,D. DeRozan makes 2-pt shot from 2 ft,2,80-73,,
1:05.0,,,80-73,,G. Henderson misses 2-pt shot from 18 ft
1:04.0,Defensive rebound by D. DeRozan,,80-73,,
0:54.0,D. DeRozan misses 2-pt shot from 2 ft,,80-73,,
0:53.0,,,80-73,,Defensive rebound by M. Leonard
0:42.0,,,80-75,2,A. Crabbe makes 2-pt shot from 17 ft (assist by D. Lillard)
0:33.0,C. Joseph makes 2-pt shot from 18 ft,2,82-75,,
0:23.0,,,82-75,,Turnover by D. Lillard (bad pass; steal by P. Patterson)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,,,82-75,,Turnover by C. McCollum (bad pass)
11:35.0,T. Ross misses 2-pt shot from 18 ft,,82-75,,
11:35.0,,,82-75,,Defensive rebound by E. Davis
11:23.0,,,82-77,2,M. Leonard makes 2-pt shot from 15 ft
10:59.0,K. Lowry misses 2-pt shot from 1 ft,,82-77,,
10:58.0,,,82-77,,Defensive rebound by M. Leonard
10:52.0,,,82-77,,C. McCollum misses 2-pt shot from 16 ft
10:51.0,Defensive rebound by B. Biyombo,,82-77,,
10:33.0,Turnover by K. Lowry (lost ball; steal by A. Crabbe),,82-77,,
10:25.0,,,82-79,2,C. McCollum makes 2-pt shot from 15 ft
10:02.0,C. Joseph makes 2-pt shot from 8 ft (assist by K. Lowry),2,84-79,,
9:49.0,,,84-81,2,M. Leonard makes 2-pt shot from 16 ft
9:32.0,T. Ross misses 3-pt shot from 23 ft,,84-81,,
9:31.0,,,84-81,,Defensive rebound by E. Davis
9:22.0,,,84-81,,Turnover by C. McCollum (bad pass; steal by P. Patterson)
9:17.0,T. Ross misses 2-pt shot from 1 ft (block by G. Henderson),,84-81,,
9:05.0,Offensive rebound by P. Patterson,,84-81,,
9:05.0,P. Patterson misses 2-pt shot at rim,,84-81,,
9:03.0,,,84-81,,Defensive rebound by G. Henderson
9:02.0,,,84-81,,G. Henderson misses 2-pt shot from 17 ft
9:02.0,,,84-81,,Offensive rebound by E. Davis
9:02.0,,,84-81,,Turnover by A. Crabbe (step out of bounds)
8:45.0,K. Lowry makes 3-pt shot from 24 ft,3,87-81,,
8:28.0,,,87-81,,Offensive foul by E. Davis
8:28.0,,,87-81,,Turnover by E. Davis (offensive foul)
8:28.0,Official timeout,,87-81,,
8:15.0,K. Lowry makes 2-pt shot from 5 ft (assist by P. Patterson),2,89-81,,
7:58.0,,,89-81,,C. McCollum misses 2-pt shot from 9 ft
7:58.0,Defensive rebound by C. Joseph,,89-81,,
7:46.0,C. Joseph misses 2-pt shot from 12 ft,,89-81,,
7:44.0,,,89-81,,Defensive rebound by C. McCollum
7:39.0,,,89-81,,A. Crabbe misses 3-pt shot from 24 ft
7:38.0,Defensive rebound by B. Biyombo,,89-81,,
7:20.0,T. Ross makes 2-pt shot from 18 ft,2,91-81,,
7:01.0,,,91-81,,C. McCollum misses 2-pt shot from 8 ft
7:00.0,Defensive rebound by K. Lowry,,91-81,,
6:52.0,K. Lowry makes 3-pt shot from 24 ft,3,94-81,,
6:52.0,,,94-81,,Portland full timeout
6:52.0,,,94-81,,M. Plumlee enters the game for E. Davis
6:52.0,,,94-81,,D. Lillard enters the game for C. McCollum
6:52.0,,,94-81,,A. Aminu enters the game for M. Leonard
6:40.0,,,94-83,2,G. Henderson makes 2-pt shot from 3 ft (assist by D. Lillard)
6:18.0,Shooting foul by A. Crabbe (drawn by K. Lowry),,94-83,,
6:18.0,K. Lowry makes free throw 1 of 3,1,95-83,,
6:18.0,K. Lowry makes free throw 2 of 3,1,96-83,,
6:18.0,K. Lowry makes free throw 3 of 3,1,97-83,,
6:06.0,,,97-86,3,D. Lillard makes 3-pt shot from 24 ft
5:46.0,K. Lowry misses 2-pt shot from 20 ft,,97-86,,
5:46.0,,,97-86,,Defensive rebound by G. Henderson
5:33.0,,,97-86,,D. Lillard misses 3-pt shot from 24 ft
5:32.0,Defensive rebound by C. Joseph,,97-86,,
5:22.0,Turnover by B. Biyombo (lost ball),,97-86,,
5:12.0,,,97-86,,D. Lillard misses 2-pt shot from 3 ft
5:11.0,Defensive rebound by K. Lowry,,97-86,,
4:59.0,T. Ross makes 2-pt shot from 20 ft (assist by C. Joseph),2,99-86,,
4:44.0,Personal foul by T. Ross (drawn by G. Henderson),,99-86,,
4:44.0,D. DeRozan enters the game for B. Biyombo,,99-86,,
4:44.0,J. Valanciunas enters the game for T. Ross,,99-86,,
4:44.0,,,99-86,,C. McCollum enters the game for G. Henderson
4:34.0,,,99-86,,A. Crabbe misses 3-pt shot from 24 ft
4:32.0,,,99-86,,Offensive rebound by M. Plumlee
4:22.0,,,99-86,,Shooting foul by J. Valanciunas (drawn by D. Lillard)
4:22.0,,,99-86,,D. Lillard misses free throw 1 of 2
4:22.0,,,99-86,,Offensive rebound by Team
4:22.0,,,99-87,1,D. Lillard makes free throw 2 of 2
4:06.0,D. DeRozan makes 2-pt shot from 17 ft,2,101-87,,
3:58.0,Personal foul by P. Patterson (drawn by A. Aminu),,101-87,,
3:58.0,,,101-87,,M. Leonard enters the game for M. Plumlee
3:47.0,,,101-87,,M. Leonard misses 3-pt shot from 24 ft
3:46.0,,,101-87,,Offensive rebound by D. Lillard
3:37.0,,,101-90,3,C. McCollum makes 3-pt shot from 22 ft (assist by D. Lillard)
3:21.0,D. DeRozan misses 2-pt shot from 1 ft,,101-90,,
3:21.0,,,101-90,,Defensive rebound by A. Aminu
3:12.0,,,101-93,3,D. Lillard makes 3-pt shot from 23 ft (assist by A. Crabbe)
3:12.0,Toronto full timeout,,101-93,,
2:50.0,D. DeRozan makes 2-pt shot from 12 ft,2,103-93,,
2:37.0,,,103-95,2,D. Lillard makes 2-pt shot from 19 ft
2:13.0,Shooting foul by M. Leonard (drawn by C. Joseph),,103-95,,
2:13.0,C. Joseph makes free throw 1 of 2,1,104-95,,
2:13.0,B. Biyombo enters the game for J. Valanciunas,,104-95,,
2:13.0,C. Joseph makes free throw 2 of 2,1,105-95,,
2:06.0,,,105-97,2,D. Lillard makes 2-pt shot at rim
1:49.0,C. Joseph misses 2-pt shot from 4 ft,,105-97,,
