time,Minnesota,pts.away,score,pts.home,Toronto
5:35.0,,,19-16,1,K. Lowry makes free throw 2 of 2
5:18.0,G. Dieng makes 2-pt shot from 3 ft,2,21-16,,
5:05.0,,,21-18,2,J. Valanciunas makes 2-pt shot from 3 ft (assist by D. DeRozan)
4:48.0,Z. LaVine misses 3-pt shot from 22 ft,,21-18,,
4:48.0,,,21-18,,Defensive rebound by D. DeRozan
4:39.0,,,21-18,,Shooting foul by S. Muhammad (drawn by D. DeRozan)
4:39.0,,,21-19,1,D. DeRozan makes free throw 1 of 2
4:39.0,,,21-20,1,D. DeRozan makes free throw 2 of 2
4:35.0,Turnover by R. Rubio (lost ball),,21-20,,
4:18.0,,,21-20,,D. DeRozan misses 2-pt shot from 3 ft
4:17.0,Defensive rebound by S. Muhammad,,21-20,,
4:06.0,Minnesota full timeout,,21-20,,
3:56.0,S. Muhammad makes 2-pt shot from 6 ft,2,23-20,,
3:51.0,,,23-20,,Turnover by J. Valanciunas (lost ball; steal by R. Rubio)
3:50.0,,,23-20,,Shooting block foul by J. Valanciunas (drawn by Z. LaVine)
3:50.0,Z. LaVine misses free throw 1 of 2,,23-20,,
3:50.0,Offensive rebound by Team,,23-20,,
3:50.0,,,23-20,,B. Biyombo enters the game for J. Valanciunas
3:50.0,Z. LaVine misses free throw 2 of 2,,23-20,,
3:49.0,,,23-20,,Defensive rebound by P. Patterson
3:36.0,,,23-23,3,T. Ross makes 3-pt shot from 26 ft (assist by D. DeRozan)
3:27.0,Shooting foul by P. Patterson (drawn by R. Rubio),,23-23,,
3:27.0,R. Rubio makes free throw 1 of 2,1,24-23,,
3:27.0,R. Rubio makes free throw 2 of 2,1,25-23,,
3:11.0,Violation by G. Dieng (def goaltending),,25-23,,
3:11.0,,,25-25,2,P. Patterson makes 2-pt shot from 3 ft
2:53.0,Shooting foul by B. Biyombo (drawn by K. Towns),,25-25,,
2:53.0,K. Towns misses free throw 1 of 2,,25-25,,
2:53.0,Offensive rebound by Team,,25-25,,
2:53.0,,,25-25,,C. Joseph enters the game for K. Lowry
2:53.0,A. Payne enters the game for G. Dieng,,25-25,,
2:53.0,K. Towns makes free throw 2 of 2,1,26-25,,
2:40.0,,,26-27,2,B. Biyombo makes 2-pt shot from 1 ft (assist by D. DeRozan)
2:23.0,Turnover by K. Towns (lost ball; steal by T. Ross),,26-27,,
2:18.0,,,26-29,2,D. DeRozan makes 2-pt shot at rim (assist by C. Joseph)
1:54.0,A. Payne makes 2-pt shot from 19 ft (assist by R. Rubio),2,28-29,,
1:29.0,,,28-32,3,T. Ross makes 3-pt shot from 24 ft (assist by C. Joseph)
1:15.0,R. Rubio misses 2-pt shot from 19 ft,,28-32,,
1:15.0,,,28-32,,Defensive rebound by B. Biyombo
1:05.0,,,28-34,2,C. Joseph makes 2-pt shot from 2 ft
0:43.0,K. Towns misses 2-pt shot from 15 ft,,28-34,,
0:43.0,,,28-34,,Defensive rebound by C. Joseph
0:34.0,,,28-37,3,P. Patterson makes 3-pt shot from 24 ft (assist by C. Joseph)
0:13.0,S. Muhammad misses 3-pt shot from 22 ft,,28-37,,
0:12.0,,,28-37,,Defensive rebound by T. Ross
0:00.0,,,28-37,,T. Ross misses 3-pt shot from 27 ft (block by Z. LaVine)
0:00.0,Defensive rebound by A. Payne,,28-37,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,S. Muhammad misses 2-pt shot from 11 ft,,28-37,,
11:45.0,Offensive rebound by S. Muhammad,,28-37,,
11:43.0,S. Muhammad makes 2-pt shot from 2 ft,2,30-37,,
11:25.0,,,30-37,,T. Ross misses 2-pt shot from 16 ft
11:25.0,,,30-37,,Offensive rebound by P. Patterson
11:18.0,,,30-39,2,K. Lowry makes 2-pt shot from 1 ft
10:55.0,T. Jones misses 2-pt shot from 10 ft (block by P. Patterson),,30-39,,
10:54.0,,,30-39,,Defensive rebound by K. Lowry
10:49.0,,,30-42,3,T. Ross makes 3-pt shot from 24 ft (assist by C. Joseph)
10:33.0,T. Jones makes 2-pt shot from 6 ft,2,32-42,,
10:16.0,,,32-42,,B. Biyombo misses 2-pt shot from 4 ft
10:16.0,,,32-42,,Offensive rebound by Team
10:07.0,,,32-42,,P. Patterson misses 2-pt shot from 4 ft
10:07.0,,,32-42,,Offensive rebound by B. Biyombo
10:05.0,,,32-42,,B. Biyombo misses 2-pt shot from 2 ft
10:04.0,Defensive rebound by S. Muhammad,,32-42,,
9:53.0,Shooting foul by B. Biyombo (drawn by G. Dieng),,32-42,,
9:53.0,G. Dieng makes free throw 1 of 2,1,33-42,,
9:53.0,G. Dieng makes free throw 2 of 2,1,34-42,,
9:39.0,,,34-42,,Turnover by C. Joseph (lost ball; steal by A. Payne)
9:33.0,S. Muhammad misses 2-pt shot from 3 ft (block by B. Biyombo),,34-42,,
9:33.0,Offensive rebound by Team,,34-42,,
9:19.0,G. Dieng misses 2-pt shot from 3 ft,,34-42,,
9:19.0,Offensive rebound by S. Muhammad,,34-42,,
9:14.0,A. Payne misses 2-pt shot from 20 ft,,34-42,,
9:13.0,,,34-42,,Defensive rebound by B. Biyombo
8:58.0,,,34-44,2,C. Joseph makes 2-pt shot from 8 ft
8:58.0,,,34-44,,Shooting foul by K. Martin (drawn by C. Joseph)
8:58.0,Official timeout,,34-44,,
8:58.0,,,34-45,1,C. Joseph makes free throw 1 of 1
8:45.0,K. Martin makes 2-pt shot from 10 ft,2,36-45,,
8:27.0,,,36-45,,C. Joseph misses 2-pt shot from 3 ft
8:27.0,Defensive rebound by G. Dieng,,36-45,,
8:19.0,A. Payne misses 2-pt shot from 6 ft,,36-45,,
8:19.0,Offensive rebound by A. Payne,,36-45,,
8:16.0,Turnover by A. Payne (step out of bounds),,36-45,,
7:56.0,Personal block foul by G. Dieng,,36-45,,
7:56.0,K. Towns enters the game for A. Payne,,36-45,,
7:56.0,Z. LaVine enters the game for K. Martin,,36-45,,
7:49.0,,,36-47,2,C. Joseph makes 2-pt shot from 2 ft
7:24.0,S. Muhammad makes 2-pt shot from 1 ft (assist by G. Dieng),2,38-47,,
7:08.0,,,38-47,,K. Lowry misses 3-pt shot from 26 ft
7:07.0,Defensive rebound by K. Towns,,38-47,,
6:59.0,K. Towns makes 2-pt shot from 1 ft (assist by T. Jones),2,40-47,,
6:49.0,,,40-47,,Toronto full timeout
6:49.0,,,40-47,,D. DeRozan enters the game for T. Ross
6:49.0,,,40-47,,J. Valanciunas enters the game for B. Biyombo
6:49.0,,,40-47,,J. Johnson enters the game for C. Joseph
6:49.0,A. Wiggins enters the game for S. Muhammad,,40-47,,
6:49.0,R. Rubio enters the game for T. Jones,,40-47,,
6:40.0,,,40-47,,Shooting foul by K. Towns (drawn by D. DeRozan)
6:40.0,,,40-48,1,D. DeRozan makes free throw 1 of 2
6:40.0,,,40-49,1,D. DeRozan makes free throw 2 of 2
6:21.0,K. Towns misses 2-pt shot from 4 ft (block by P. Patterson),,40-49,,
6:19.0,,,40-49,,Defensive rebound by P. Patterson
6:16.0,,,40-49,,Turnover by P. Patterson (traveling)
6:01.0,A. Wiggins makes 2-pt shot from 14 ft,2,42-49,,
5:48.0,,,42-51,2,J. Valanciunas makes 2-pt shot at rim (assist by J. Johnson)
5:26.0,Shooting foul by J. Johnson (drawn by A. Wiggins),,42-51,,
5:26.0,A. Wiggins misses free throw 1 of 2,,42-51,,
5:26.0,Offensive rebound by Team,,42-51,,
5:26.0,,,42-51,,L. Scola enters the game for P. Patterson
5:26.0,A. Wiggins makes free throw 2 of 2,1,43-51,,
5:01.0,,,43-51,,D. DeRozan misses 2-pt shot from 18 ft
5:01.0,,,43-51,,Offensive rebound by Team
5:01.0,,,43-51,,Turnover by Team (shot clock)
4:51.0,Shooting foul by L. Scola (drawn by K. Towns),,43-51,,
4:51.0,K. Towns makes free throw 1 of 2,1,44-51,,
4:51.0,K. Towns makes free throw 2 of 2,1,45-51,,
4:33.0,,,45-51,,K. Lowry misses 3-pt shot from 25 ft
4:32.0,,,45-51,,Offensive rebound by J. Valanciunas
4:30.0,,,45-53,2,J. Valanciunas makes 2-pt shot from 1 ft
4:12.0,Z. LaVine makes 2-pt shot from 3 ft (assist by R. Rubio),2,47-53,,
3:53.0,,,47-53,,Offensive foul by J. Valanciunas
3:53.0,,,47-53,,Turnover by J. Valanciunas (offensive foul)
3:53.0,,,47-53,,B. Biyombo enters the game for J. Valanciunas
3:42.0,A. Wiggins makes 2-pt shot from 4 ft (assist by R. Rubio),2,49-53,,
3:25.0,,,49-53,,Shooting foul by Z. LaVine (drawn by D. DeRozan)
3:25.0,,,49-54,1,D. DeRozan makes free throw 1 of 2
3:25.0,,,49-54,,D. DeRozan misses free throw 2 of 2
3:24.0,Defensive rebound by K. Towns,,49-54,,
3:08.0,G. Dieng makes 2-pt shot from 17 ft (assist by Z. LaVine),2,51-54,,
2:49.0,,,51-56,2,D. DeRozan makes 2-pt shot from 3 ft (assist by K. Lowry)
2:40.0,Minnesota full timeout,,51-56,,
2:40.0,,,51-56,,C. Joseph enters the game for K. Lowry
2:28.0,K. Towns makes 2-pt shot from 1 ft (assist by R. Rubio),2,53-56,,
2:12.0,,,53-56,,L. Scola misses 2-pt shot from 21 ft
2:12.0,,,53-56,,Offensive rebound by L. Scola
2:12.0,,,53-56,,Shooting foul by R. Rubio (drawn by L. Scola)
2:12.0,,,53-57,1,L. Scola makes free throw 1 of 2
2:12.0,,,53-58,1,L. Scola makes free throw 2 of 2
1:56.0,K. Towns misses 2-pt shot from 21 ft,,53-58,,
1:56.0,,,53-58,,Defensive rebound by Team
1:36.0,,,53-58,,L. Scola misses 2-pt shot from 2 ft
1:36.0,Defensive rebound by G. Dieng,,53-58,,
1:31.0,A. Wiggins makes 3-pt shot from 24 ft (assist by R. Rubio),3,56-58,,
1:10.0,,,56-58,,Turnover by C. Joseph (bad pass)
0:54.0,A. Wiggins makes 2-pt shot from 15 ft,2,58-58,,
0:38.0,,,58-58,,B. Biyombo misses 2-pt shot from 1 ft
0:38.0,,,58-58,,Offensive rebound by B. Biyombo
0:34.0,,,58-58,,Turnover by B. Biyombo (lost ball; steal by K. Towns)
0:28.0,K. Towns misses 2-pt shot from 4 ft,,58-58,,
0:27.0,,,58-58,,Defensive rebound by B. Biyombo
0:07.0,,,58-61,3,C. Joseph makes 3-pt shot from 26 ft (assist by D. DeRozan)
0:01.0,A. Wiggins misses 2-pt shot from 17 ft,,58-61,,
0:00.0,,,58-61,,Defensive rebound by L. Scola
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,,,58-61,,Personal foul by L. Scola
11:40.0,K. Towns makes 2-pt shot from 5 ft (assist by A. Wiggins),2,60-61,,
11:17.0,,,60-61,,J. Valanciunas misses 2-pt shot from 17 ft
11:16.0,Defensive rebound by T. Prince,,60-61,,
11:08.0,G. Dieng makes 2-pt shot from 16 ft (assist by R. Rubio),2,62-61,,
10:53.0,Personal foul by K. Towns,,62-61,,
10:46.0,,,62-61,,J. Johnson misses 3-pt shot from 23 ft
10:45.0,,,62-61,,Offensive rebound by J. Valanciunas
10:35.0,,,62-61,,Turnover by J. Johnson (lost ball; steal by A. Wiggins)
10:27.0,Shooting foul by D. DeRozan (drawn by K. Towns),,62-61,,
10:27.0,K. Towns makes free throw 1 of 2,1,63-61,,
10:27.0,,,63-61,,T. Ross enters the game for J. Johnson
10:27.0,,,63-61,,P. Patterson enters the game for L. Scola
10:27.0,K. Towns makes free throw 2 of 2,1,64-61,,
10:15.0,,,64-61,,J. Valanciunas misses 2-pt shot from 3 ft
10:14.0,Defensive rebound by A. Wiggins,,64-61,,
10:06.0,T. Prince makes 3-pt shot from 24 ft (assist by R. Rubio),3,67-61,,
10:06.0,,,67-61,,Toronto full timeout
10:06.0,,,67-61,,B. Biyombo enters the game for J. Valanciunas
9:51.0,,,67-63,2,D. DeRozan makes 2-pt shot from 19 ft
9:30.0,Shooting foul by P. Patterson (drawn by R. Rubio),,67-63,,
9:30.0,R. Rubio makes free throw 1 of 2,1,68-63,,
9:30.0,R. Rubio makes free throw 2 of 2,1,69-63,,
9:19.0,,,69-63,,Shooting foul by G. Dieng (drawn by K. Lowry)
9:19.0,,,69-64,1,K. Lowry makes free throw 1 of 2
9:19.0,,,69-65,1,K. Lowry makes free throw 2 of 2
8:54.0,Turnover by Team (shot clock),,69-65,,
8:38.0,,,69-65,,P. Patterson misses 3-pt shot from 22 ft
8:37.0,Defensive rebound by Team,,69-65,,
8:24.0,Turnover by R. Rubio (lost ball; steal by D. DeRozan),,69-65,,
8:10.0,,,69-65,,P. Patterson misses 3-pt shot from 26 ft
8:09.0,Defensive rebound by Team,,69-65,,
7:53.0,Shooting foul by K. Lowry (drawn by A. Wiggins),,69-65,,
7:53.0,A. Wiggins makes free throw 1 of 2,1,70-65,,
7:53.0,A. Wiggins misses free throw 2 of 2,,70-65,,
7:52.0,,,70-65,,Defensive rebound by B. Biyombo
7:36.0,,,70-67,2,D. DeRozan makes 2-pt shot from 1 ft
7:18.0,A. Wiggins misses 2-pt shot from 3 ft,,70-67,,
7:18.0,Offensive rebound by A. Wiggins,,70-67,,
7:15.0,A. Wiggins misses 2-pt shot from 2 ft,,70-67,,
7:14.0,,,70-67,,Defensive rebound by B. Biyombo
7:10.0,,,70-67,,T. Ross misses 3-pt shot from 25 ft
7:10.0,,,70-67,,Offensive rebound by K. Lowry
6:59.0,,,70-67,,K. Lowry misses 2-pt shot from 3 ft (block by G. Dieng)
6:58.0,Defensive rebound by G. Dieng,,70-67,,
6:56.0,Turnover by G. Dieng (lost ball; steal by B. Biyombo),,70-67,,
6:51.0,,,70-69,2,B. Biyombo makes 2-pt shot at rim
6:38.0,A. Wiggins misses 2-pt shot from 14 ft,,70-69,,
6:37.0,Offensive rebound by G. Dieng,,70-69,,
6:37.0,Shooting foul by K. Lowry (drawn by G. Dieng),,70-69,,
6:37.0,G. Dieng misses free throw 1 of 2,,70-69,,
6:37.0,Offensive rebound by Team,,70-69,,
6:37.0,G. Dieng makes free throw 2 of 2,1,71-69,,
6:24.0,,,71-71,2,B. Biyombo makes 2-pt shot at rim (assist by K. Lowry)
6:22.0,Minnesota full timeout,,71-71,,
6:22.0,Z. LaVine enters the game for T. Prince,,71-71,,
6:00.0,G. Dieng makes 2-pt shot from 21 ft (assist by A. Wiggins),2,73-71,,
5:41.0,,,73-71,,Shooting foul by K. Towns (drawn by D. DeRozan)
5:41.0,,,73-72,1,D. DeRozan makes free throw 1 of 2
5:41.0,,,73-73,1,D. DeRozan makes free throw 2 of 2
5:25.0,Shooting foul by B. Biyombo (drawn by A. Wiggins),,73-73,,
5:25.0,A. Wiggins makes free throw 1 of 2,1,74-73,,
5:25.0,A. Wiggins makes free throw 2 of 2,1,75-73,,
5:13.0,,,75-73,,D. DeRozan misses 2-pt shot from 1 ft
5:12.0,,,75-73,,Offensive rebound by D. DeRozan
5:08.0,,,75-75,2,D. DeRozan makes 2-pt shot at rim
4:52.0,Turnover by G. Dieng (dbl dribble),,75-75,,
4:38.0,,,75-75,,P. Patterson misses 2-pt shot from 3 ft (block by G. Dieng)
4:38.0,,,75-75,,Offensive rebound by Team
4:31.0,,,75-78,3,K. Lowry makes 3-pt shot from 25 ft (assist by B. Biyombo)
4:21.0,,,75-78,,Personal foul by P. Patterson
4:21.0,R. Rubio makes free throw 1 of 2,1,76-78,,
4:21.0,R. Rubio makes free throw 2 of 2,1,77-78,,
4:06.0,,,77-78,,T. Ross misses 3-pt shot from 23 ft
4:06.0,Defensive rebound by A. Wiggins,,77-78,,
4:03.0,Turnover by A. Wiggins (lost ball; steal by K. Lowry),,77-78,,
3:59.0,,,77-78,,Turnover by D. DeRozan (lost ball; steal by Z. LaVine)
3:55.0,,,77-78,,Flagrant foul type 1 by K. Lowry
3:55.0,A. Wiggins makes flagrant free throw 1 of 2,1,78-78,,
3:55.0,A. Wiggins misses flagrant free throw 2 of 2,,78-78,,
3:55.0,Offensive rebound by Team,,78-78,,
3:55.0,S. Muhammad enters the game for G. Dieng,,78-78,,
3:45.0,S. Muhammad misses 2-pt shot from 3 ft,,78-78,,
3:44.0,,,78-78,,Defensive rebound by T. Ross
3:36.0,Personal foul by Z. LaVine,,78-78,,
3:29.0,,,78-78,,K. Lowry misses 3-pt shot from 25 ft
3:28.0,,,78-78,,Offensive rebound by P. Patterson
3:26.0,,,78-80,2,P. Patterson makes 2-pt shot at rim
2:57.0,Shooting foul by T. Ross (drawn by K. Towns),,78-80,,
2:57.0,K. Towns misses free throw 1 of 2,,78-80,,
2:57.0,Offensive rebound by Team,,78-80,,
2:57.0,,,78-80,,C. Joseph enters the game for K. Lowry
2:57.0,T. Jones enters the game for R. Rubio,,78-80,,
2:57.0,K. Towns makes free throw 2 of 2,1,79-80,,
2:46.0,,,79-80,,D. DeRozan misses 2-pt shot from 8 ft
2:46.0,,,79-80,,Offensive rebound by D. DeRozan
2:42.0,,,79-82,2,D. DeRozan makes 2-pt shot from 3 ft
2:27.0,Z. LaVine misses 2-pt shot from 21 ft,,79-82,,
2:26.0,,,79-82,,Defensive rebound by C. Joseph
2:21.0,,,79-82,,T. Ross misses 3-pt shot from 22 ft
2:20.0,,,79-82,,Offensive rebound by Team
2:09.0,Personal block foul by T. Jones,,79-82,,
2:09.0,,,79-83,1,C. Joseph makes free throw 1 of 2
2:09.0,G. Dieng enters the game for K. Towns,,79-83,,
2:09.0,,,79-83,,C. Joseph misses free throw 2 of 2
2:08.0,Defensive rebound by G. Dieng,,79-83,,
1:50.0,Z. LaVine misses 2-pt shot from 3 ft (block by T. Ross),,79-83,,
1:48.0,,,79-83,,Defensive rebound by T. Ross
1:48.0,,,79-83,,Offensive charge foul by T. Ross
1:48.0,,,79-83,,Turnover by T. Ross (offensive foul)
1:48.0,,,79-83,,Technical foul by T. Ross
1:48.0,,,79-83,,Technical foul by T. Ross
1:48.0,,,79-83,,N. Powell enters the game for T. Ross
1:48.0,T. Jones makes technical free throw,1,80-83,,
1:48.0,T. Jones makes technical free throw,1,81-83,,
1:34.0,A. Wiggins makes 2-pt shot from 1 ft,2,83-83,,
1:16.0,,,83-83,,N. Powell misses 2-pt shot from 3 ft
1:16.0,Defensive rebound by Team,,83-83,,
1:03.0,Turnover by A. Wiggins (lost ball; steal by D. DeRozan),,83-83,,
1:01.0,Personal foul by G. Dieng,,83-83,,
1:01.0,,,83-84,1,C. Joseph makes free throw 1 of 2
1:01.0,T. Prince enters the game for A. Wiggins,,83-84,,
1:01.0,,,83-85,1,C. Joseph makes free throw 2 of 2
0:48.0,Z. LaVine misses 2-pt shot from 3 ft (block by B. Biyombo),,83-85,,
0:47.0,,,83-85,,Defensive rebound by P. Patterson
0:27.0,,,83-87,2,C. Joseph makes 2-pt shot from 3 ft
0:27.0,,,83-87,,Shooting foul by Z. LaVine (drawn by C. Joseph)
0:27.0,,,83-87,,C. Joseph misses free throw 1 of 1
0:27.0,Defensive rebound by G. Dieng,,83-87,,
0:06.0,Z. LaVine makes 3-pt shot from 22 ft (assist by T. Jones),3,86-87,,
0:01.0,,,86-87,,B. Biyombo misses 2-pt shot from 1 ft
0:01.0,Defensive rebound by S. Muhammad,,86-87,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,,,86-87,,Turnover by C. Joseph (lost ball; steal by T. Jones)
11:39.0,S. Muhammad misses 2-pt shot from 2 ft (block by B. Biyombo),,86-87,,
11:38.0,,,86-87,,Defensive rebound by K. Lowry
11:32.0,,,86-87,,K. Lowry misses 3-pt shot from 25 ft
11:32.0,Defensive rebound by T. Prince,,86-87,,
11:18.0,Z. LaVine misses 2-pt shot from 20 ft,,86-87,,
11:17.0,,,86-87,,Defensive rebound by B. Biyombo
11:04.0,,,86-89,2,C. Joseph makes 2-pt shot from 2 ft (assist by K. Lowry)
10:44.0,S. Muhammad misses 2-pt shot from 7 ft,,86-89,,
10:44.0,Offensive rebound by S. Muhammad,,86-89,,
10:42.0,S. Muhammad makes 2-pt shot at rim,2,88-89,,
10:18.0,,,88-89,,C. Joseph misses 3-pt shot from 24 ft
10:18.0,Defensive rebound by T. Prince,,88-89,,
9:59.0,T. Jones misses 2-pt shot from 8 ft,,88-89,,
9:59.0,,,88-89,,Defensive rebound by B. Biyombo
9:48.0,Personal foul by Z. LaVine,,88-89,,
9:48.0,,,88-89,,J. Valanciunas enters the game for B. Biyombo
9:48.0,K. Towns enters the game for G. Dieng,,88-89,,
9:31.0,,,88-91,2,J. Valanciunas makes 2-pt shot from 1 ft
9:18.0,S. Muhammad makes 2-pt shot from 2 ft (assist by T. Jones),2,90-91,,
8:56.0,,,90-91,,J. Valanciunas misses 2-pt shot from 5 ft
8:56.0,Defensive rebound by T. Prince,,90-91,,
8:50.0,Turnover by Z. LaVine (lost ball; steal by N. Powell),,90-91,,
8:45.0,,,90-93,2,K. Lowry makes 2-pt shot from 1 ft (assist by N. Powell)
8:29.0,K. Towns misses 2-pt shot from 18 ft,,90-93,,
8:29.0,,,90-93,,Defensive rebound by N. Powell
8:20.0,,,90-93,,Shooting foul by K. Towns (drawn by K. Lowry)
8:20.0,Official timeout,,90-93,,
8:20.0,R. Rubio enters the game for T. Prince,,90-93,,
8:20.0,A. Wiggins enters the game for T. Jones,,90-93,,
8:20.0,,,90-94,1,K. Lowry makes free throw 1 of 2
8:20.0,,,90-94,,J. Johnson enters the game for N. Powell
8:20.0,,,90-95,1,K. Lowry makes free throw 2 of 2
8:00.0,A. Wiggins misses 2-pt shot from 20 ft,,90-95,,
8:00.0,,,90-95,,Defensive rebound by J. Valanciunas
7:48.0,Personal foul by K. Towns,,90-95,,
7:48.0,G. Dieng enters the game for K. Towns,,90-95,,
7:34.0,,,90-95,,J. Valanciunas misses 2-pt shot from 4 ft
7:34.0,Defensive rebound by Team,,90-95,,
7:34.0,,,90-95,,Loose ball foul by J. Valanciunas
7:23.0,Turnover by A. Wiggins (traveling),,90-95,,
7:04.0,,,90-97,2,K. Lowry makes 2-pt shot from 3 ft
7:03.0,Minnesota full timeout,,90-97,,
7:03.0,,,90-97,,D. DeRozan enters the game for C. Joseph
6:48.0,A. Wiggins misses 2-pt shot from 13 ft,,90-97,,
6:48.0,,,90-97,,Defensive rebound by J. Valanciunas
6:32.0,,,90-99,2,D. DeRozan makes 2-pt shot from 1 ft (assist by J. Valanciunas)
6:15.0,R. Rubio makes 3-pt shot from 26 ft (assist by G. Dieng),3,93-99,,
5:54.0,,,93-101,2,J. Valanciunas makes 2-pt shot at rim (assist by J. Johnson)
5:33.0,G. Dieng makes 2-pt shot from 14 ft (assist by Z. LaVine),2,95-101,,
5:33.0,Shooting foul by J. Johnson (drawn by G. Dieng),,95-101,,
5:33.0,K. Towns enters the game for S. Muhammad,,95-101,,
5:33.0,G. Dieng makes free throw 1 of 1,1,96-101,,
5:16.0,,,96-101,,Turnover by P. Patterson (lost ball; steal by G. Dieng)
5:03.0,,,96-101,,Personal foul by J. Valanciunas
4:57.0,A. Wiggins misses 2-pt shot from 5 ft,,96-101,,
4:57.0,,,96-101,,Defensive rebound by P. Patterson
4:51.0,,,96-101,,D. DeRozan misses 2-pt shot from 4 ft (block by Z. LaVine)
4:51.0,,,96-101,,Offensive rebound by Team
4:33.0,,,96-101,,K. Lowry misses 3-pt shot from 25 ft
4:33.0,Defensive rebound by K. Towns,,96-101,,
4:32.0,Jump ball: K. Towns vs. J. Valanciunas (A. Wiggins gains possession),,,,Jump ball: K. Towns vs. J. Valanciunas (A. Wiggins gains possession)
4:20.0,Z. LaVine misses 3-pt shot from 27 ft,,96-101,,
4:19.0,Offensive rebound by G. Dieng,,96-101,,
4:07.0,G. Dieng makes 2-pt shot from 4 ft (assist by Z. LaVine),2,98-101,,
4:07.0,Shooting foul by P. Patterson (drawn by G. Dieng),,98-101,,
4:07.0,G. Dieng makes free throw 1 of 1,1,99-101,,
3:55.0,,,99-101,,D. DeRozan misses 2-pt shot from 2 ft
3:54.0,Defensive rebound by K. Towns,,99-101,,
