time,Memphis,pts.away,score,pts.home,Cleveland
5:24.0,Personal foul by T. Allen (drawn by K. Irving),,42-38,,
5:18.0,Personal foul by T. Allen (drawn by K. Love),,42-38,,
5:18.0,,,42-39,1,K. Love makes free throw 1 of 2
5:18.0,,,42-40,1,K. Love makes free throw 2 of 2
5:01.0,M. Chalmers makes 2-pt shot from 4 ft,2,44-40,,
4:47.0,,,44-40,,Turnover by L. James (bad pass; steal by J. Green)
4:45.0,T. Allen makes 2-pt shot at rim,2,46-40,,
4:45.0,Shooting foul by I. Shumpert (drawn by T. Allen),,46-40,,
4:45.0,T. Allen makes free throw 1 of 1,1,47-40,,
4:34.0,,,47-40,,Turnover by K. Love (bad pass; steal by M. Chalmers)
4:26.0,P. Hairston misses 3-pt shot from 22 ft,,47-40,,
4:23.0,Offensive rebound by J. Green,,47-40,,
4:23.0,J. Green misses 2-pt shot from 1 ft,,47-40,,
4:19.0,,,47-40,,Defensive rebound by K. Love
4:19.0,,,47-40,,Shooting foul by J. Martin (drawn by L. James)
4:19.0,Technical foul by P. Hairston,,47-40,,
4:19.0,,,47-41,1,K. Irving makes technical free throw
4:19.0,,,47-41,,T. Mozgov enters the game for K. Irving
4:19.0,,,47-41,,M. Dellavedova enters the game for I. Shumpert
4:19.0,V. Carter enters the game for J. Martin,,47-41,,
4:19.0,,,47-41,,L. James misses free throw 1 of 2
4:19.0,,,47-41,,Offensive rebound by Team
4:19.0,,,47-42,1,L. James makes free throw 2 of 2
4:02.0,Shooting foul by T. Mozgov (drawn by J. Green),,47-42,,
4:02.0,J. Green makes free throw 1 of 2,1,48-42,,
4:02.0,J. Green makes free throw 2 of 2,1,49-42,,
3:51.0,Personal foul by V. Carter (drawn by K. Love),,49-42,,
3:51.0,,,49-43,1,K. Love makes free throw 1 of 2
3:51.0,,,49-44,1,K. Love makes free throw 2 of 2
3:38.0,M. Chalmers makes 2-pt shot at rim (assist by J. Green),2,51-44,,
3:30.0,,,51-44,,Turnover by M. Dellavedova (bad pass; steal by J. Green)
3:26.0,J. Green makes 2-pt shot at rim,2,53-44,,
3:26.0,,,53-44,,Cleveland full timeout
3:05.0,,,53-44,,J. Smith misses 3-pt shot from 26 ft
3:05.0,,,53-44,,Offensive rebound by J. Smith
2:55.0,,,53-44,,J. Smith misses 3-pt shot from 26 ft
2:55.0,,,53-44,,Offensive rebound by T. Mozgov
2:47.0,,,53-44,,K. Love misses 3-pt shot from 23 ft
2:46.0,Defensive rebound by T. Allen,,53-44,,
2:39.0,T. Allen makes 2-pt shot at rim,2,55-44,,
2:27.0,,,55-46,2,L. James makes 2-pt shot from 1 ft (assist by M. Dellavedova)
2:14.0,V. Carter makes 3-pt shot from 28 ft (assist by M. Chalmers),3,58-46,,
1:56.0,,,58-46,,Turnover by T. Mozgov (lost ball; steal by V. Carter)
1:47.0,Memphis full timeout,,58-46,,
1:47.0,,,58-46,,I. Shumpert enters the game for T. Mozgov
1:47.0,L. Stephenson enters the game for J. Green,,58-46,,
1:47.0,J. Martin enters the game for T. Allen,,58-46,,
1:39.0,Turnover by V. Carter (traveling),,58-46,,
1:23.0,,,58-48,2,L. James makes 2-pt shot at rim (assist by M. Dellavedova)
1:23.0,,,58-48,,Shooting foul by P. Hairston (drawn by L. James)
1:23.0,,,58-49,1,L. James makes free throw 1 of 1
0:59.0,M. Chalmers misses 2-pt shot from 16 ft,,58-49,,
0:58.0,,,58-49,,Defensive rebound by K. Love
0:55.0,,,58-49,,L. James misses 2-pt shot from 3 ft (block by P. Hairston)
0:55.0,,,58-49,,Offensive rebound by Team
0:55.0,,,58-49,,Offensive foul by M. Dellavedova
