time,Washington,pts.away,score,pts.home,Brooklyn
10:21.0,K. Humphries misses 2-pt shot from 2 ft (block by W. Reed),,36-30,,
10:20.0,,,36-30,,Defensive rebound by W. Reed
10:14.0,,,36-32,2,W. Ellington makes 2-pt shot from 19 ft
10:07.0,Washington full timeout,,36-32,,
10:07.0,J. Wall enters the game for J. Eddie,,36-32,,
10:07.0,K. Oubre enters the game for D. Blair,,36-32,,
9:58.0,K. Humphries makes 2-pt shot from 7 ft (assist by J. Wall),2,38-32,,
9:45.0,,,38-34,2,W. Reed makes 2-pt shot from 2 ft (assist by S. Larkin)
9:45.0,,,38-34,,Shooting foul by K. Humphries (drawn by W. Reed)
9:45.0,,,38-35,1,W. Reed makes free throw 1 of 1
9:32.0,O. Porter misses 3-pt shot from 23 ft,,38-35,,
9:31.0,,,38-35,,Defensive rebound by W. Ellington
9:21.0,,,38-35,,W. Ellington misses 2-pt shot from 18 ft
9:20.0,Defensive rebound by K. Humphries,,38-35,,
9:11.0,,,38-35,,Personal foul by S. Larkin (drawn by J. Wall)
8:57.0,J. Wall misses 2-pt shot from 20 ft,,38-35,,
8:56.0,,,38-35,,Defensive rebound by A. Bargnani
8:49.0,,,38-37,2,J. Johnson makes 2-pt shot from 6 ft (assist by S. Larkin)
8:44.0,Shooting foul by W. Ellington (drawn by R. Sessions),,38-37,,
8:44.0,R. Sessions misses free throw 1 of 2,,38-37,,
8:44.0,Offensive rebound by Team,,38-37,,
8:44.0,R. Sessions makes free throw 2 of 2,1,39-37,,
8:28.0,,,39-37,,W. Reed misses 2-pt shot from 18 ft
8:27.0,,,39-37,,Offensive rebound by W. Ellington
8:23.0,,,39-37,,W. Ellington misses 3-pt shot from 23 ft
8:22.0,Defensive rebound by K. Oubre,,39-37,,
8:19.0,Offensive charge foul by J. Wall,,39-37,,
8:19.0,Turnover by J. Wall (offensive foul),,39-37,,
7:56.0,,,39-37,,J. Johnson misses 2-pt shot from 19 ft
7:55.0,Defensive rebound by J. Wall,,39-37,,
7:49.0,O. Porter misses 2-pt shot at rim,,39-37,,
7:48.0,Offensive rebound by J. Wall,,39-37,,
7:47.0,J. Wall makes 2-pt shot from 1 ft,2,41-37,,
7:33.0,,,41-37,,W. Ellington misses 3-pt shot from 24 ft
7:32.0,,,41-37,,Offensive rebound by A. Bargnani
7:28.0,,,41-37,,A. Bargnani misses 2-pt shot from 18 ft
7:27.0,Defensive rebound by K. Humphries,,41-37,,
7:22.0,J. Wall makes 2-pt shot from 13 ft,2,43-37,,
7:08.0,,,43-37,,Turnover by W. Reed (offensive foul)
7:08.0,,,43-37,,Offensive foul by W. Reed
7:08.0,,,43-37,,T. Young enters the game for W. Reed
7:08.0,J. Dudley enters the game for R. Sessions,,43-37,,
7:08.0,G. Temple enters the game for O. Porter,,43-37,,
7:08.0,,,43-37,,B. Lopez enters the game for A. Bargnani
6:52.0,G. Temple misses 3-pt shot from 24 ft,,43-37,,
6:51.0,,,43-37,,Defensive rebound by T. Young
