time,Milwaukee,pts.away,score,pts.home,New York
4:25.0,,,20-12,2,K. Porzingis makes 2-pt shot from 1 ft (assist by J. Grant)
4:03.0,J. O'Bryant makes 2-pt shot from 16 ft (assist by J. Bayless),2,22-12,,
3:54.0,,,22-12,,K. Porzingis misses 3-pt shot from 24 ft
3:52.0,,,22-12,,Offensive rebound by Team
3:52.0,Loose ball foul by J. O'Bryant (drawn by D. Williams),,22-12,,
3:52.0,,,22-13,1,D. Williams makes free throw 1 of 2
3:52.0,,,22-13,,K. O'Quinn enters the game for K. Porzingis
3:52.0,,,22-14,1,D. Williams makes free throw 2 of 2
3:29.0,G. Antetokounmpo misses 2-pt shot from 17 ft,,22-14,,
3:27.0,Offensive rebound by J. O'Bryant,,22-14,,
3:26.0,Shooting foul by J. Grant (drawn by J. O'Bryant),,22-14,,
3:26.0,J. O'Bryant misses free throw 1 of 2,,22-14,,
3:26.0,Offensive rebound by Team,,22-14,,
3:26.0,J. O'Bryant makes free throw 2 of 2,1,23-14,,
3:05.0,,,23-14,,D. Williams misses 3-pt shot from 26 ft (block by G. Antetokounmpo)
3:03.0,,,23-14,,Offensive rebound by Team
3:02.0,,,23-14,,Turnover by Team (shot clock)
2:49.0,Shooting foul by C. Anthony (drawn by J. O'Bryant),,23-14,,
2:49.0,Milwaukee full timeout,,23-14,,
2:49.0,J. O'Bryant makes free throw 1 of 2,1,24-14,,
2:49.0,J. O'Bryant makes free throw 2 of 2,1,25-14,,
2:37.0,Personal foul by J. O'Bryant (drawn by L. Galloway),,25-14,,
2:37.0,,,25-15,1,L. Galloway makes free throw 1 of 2
2:37.0,,,25-15,,L. Thomas enters the game for C. Anthony
2:37.0,,,25-16,1,L. Galloway makes free throw 2 of 2
2:22.0,J. Henson makes 2-pt shot from 4 ft,2,27-16,,
2:07.0,,,27-18,2,K. O'Quinn makes 2-pt shot from 17 ft
1:46.0,Turnover by J. Henson (step out of bounds),,27-18,,
1:46.0,K. Middleton enters the game for G. Antetokounmpo,,27-18,,
1:21.0,,,27-18,,Turnover by J. Grant (lost ball; steal by G. Vasquez)
1:13.0,J. Bayless misses 3-pt shot from 24 ft,,27-18,,
1:11.0,,,27-18,,Defensive rebound by L. Galloway
1:04.0,,,27-18,,L. Thomas misses 2-pt shot from 17 ft
1:02.0,Defensive rebound by Team,,27-18,,
0:48.0,,,27-18,,Def 3 sec tech foul by K. O'Quinn
0:48.0,G. Vasquez makes technical free throw,1,28-18,,
0:44.0,G. Vasquez misses 3-pt shot from 25 ft,,28-18,,
0:42.0,,,28-18,,Defensive rebound by L. Galloway
0:38.0,,,28-20,2,D. Williams makes 2-pt shot at rim (assist by L. Galloway)
0:23.0,K. Middleton makes 2-pt shot from 18 ft (assist by J. Henson),2,30-20,,
0:03.0,,,30-20,,J. Grant misses 2-pt shot from 2 ft
0:01.0,Defensive rebound by J. Bayless,,30-20,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,,,30-20,,Personal foul by J. Grant (drawn by J. Henson)
11:34.0,G. Vasquez makes 3-pt shot from 24 ft (assist by J. Bayless),3,33-20,,
11:13.0,,,33-22,2,D. Williams makes 2-pt shot from 13 ft
11:06.0,J. O'Bryant makes 2-pt shot from 1 ft (assist by G. Vasquez),2,35-22,,
10:50.0,Personal foul by K. Middleton (drawn by L. Galloway),,35-22,,
10:43.0,,,35-22,,D. Williams misses 3-pt shot from 24 ft
10:41.0,,,35-22,,Offensive rebound by K. O'Quinn
10:32.0,,,35-24,2,D. Williams makes 2-pt shot from 1 ft (assist by J. Grant)
10:18.0,Shooting foul by L. Thomas (drawn by K. Middleton),,35-24,,
10:18.0,K. Middleton makes free throw 1 of 2,1,36-24,,
10:18.0,M. Plumlee enters the game for J. Henson,,36-24,,
10:18.0,,,36-24,,K. Seraphin enters the game for K. O'Quinn
10:18.0,K. Middleton makes free throw 2 of 2,1,37-24,,
10:03.0,,,37-24,,Shooting foul by J. O'Bryant (drawn by D. Williams)
10:03.0,,,37-25,1,D. Williams makes free throw 1 of 2
10:03.0,J. Parker enters the game for J. O'Bryant,,37-25,,
10:03.0,,,37-26,1,D. Williams makes free throw 2 of 2
9:41.0,M. Plumlee makes 2-pt shot from 4 ft (assist by J. Bayless),2,39-26,,
9:20.0,,,39-28,2,L. Thomas makes 2-pt shot from 4 ft
9:20.0,,,39-28,,Shooting foul by K. Middleton (drawn by L. Thomas)
9:20.0,Violation by M. Plumlee (def goaltending),,39-28,,
9:20.0,Technical foul by M. Plumlee,,39-28,,
9:20.0,,,39-29,1,L. Galloway makes technical free throw
9:20.0,,,39-29,,S. Vujacic enters the game for J. Grant
9:20.0,,,39-30,1,L. Thomas makes free throw 1 of 1
9:08.0,J. Parker misses 2-pt shot from 8 ft,,39-30,,
9:05.0,Offensive rebound by M. Plumlee,,39-30,,
8:59.0,J. Parker makes 2-pt shot at rim,2,41-30,,
8:48.0,,,41-30,,L. Thomas misses 3-pt shot from 24 ft
8:46.0,Defensive rebound by J. Parker,,41-30,,
8:37.0,J. Parker misses 2-pt shot from 17 ft,,41-30,,
8:35.0,,,41-30,,Defensive rebound by L. Thomas
8:31.0,Personal foul by J. Parker (drawn by D. Williams),,41-30,,
8:31.0,Official timeout,,41-30,,
8:31.0,T. Ennis enters the game for G. Vasquez,,41-30,,
8:31.0,G. Monroe enters the game for M. Plumlee,,41-30,,
8:23.0,,,41-30,,L. Galloway misses 2-pt shot from 14 ft
8:21.0,Defensive rebound by T. Ennis,,41-30,,
8:05.0,J. Bayless misses 2-pt shot from 3 ft,,41-30,,
8:03.0,,,41-30,,Defensive rebound by K. Seraphin
7:57.0,,,41-30,,L. Galloway misses 2-pt shot from 2 ft
7:55.0,Defensive rebound by G. Monroe,,41-30,,
7:36.0,J. Bayless makes 3-pt shot from 23 ft (assist by J. Parker),3,44-30,,
7:17.0,,,44-30,,L. Galloway misses 3-pt shot from 24 ft
7:14.0,Defensive rebound by K. Middleton,,44-30,,
7:03.0,K. Middleton misses 2-pt shot from 7 ft,,44-30,,
7:01.0,,,44-30,,Defensive rebound by L. Thomas
6:47.0,,,44-30,,Shooting foul by J. Bayless (drawn by D. Williams)
6:47.0,,,44-30,,D. Williams misses free throw 1 of 2
6:47.0,,,44-30,,Offensive rebound by Team
6:47.0,,,44-30,,J. Calderon enters the game for L. Galloway
6:47.0,,,44-30,,C. Anthony enters the game for L. Thomas
6:47.0,,,44-30,,R. Lopez enters the game for K. Seraphin
6:47.0,,,44-31,1,D. Williams makes free throw 2 of 2
6:30.0,G. Monroe misses 2-pt shot from 1 ft,,44-31,,
6:28.0,,,44-31,,Defensive rebound by J. Calderon
6:20.0,,,44-31,,S. Vujacic misses 3-pt shot from 24 ft
6:18.0,,,44-31,,Offensive rebound by J. Calderon
6:16.0,,,44-34,3,C. Anthony makes 3-pt shot from 24 ft (assist by J. Calderon)
6:02.0,Turnover by K. Middleton (bad pass),,44-34,,
6:02.0,,,44-34,,K. Porzingis enters the game for D. Williams
6:02.0,G. Antetokounmpo enters the game for J. Parker,,44-34,,
5:48.0,,,44-34,,S. Vujacic misses 2-pt shot from 11 ft
5:47.0,,,44-34,,Offensive rebound by Team
5:47.0,,,44-34,,New York full timeout
5:34.0,,,44-36,2,R. Lopez makes 2-pt shot from 11 ft (assist by C. Anthony)
5:22.0,Shooting foul by K. Porzingis (drawn by G. Antetokounmpo),,44-36,,
5:22.0,G. Antetokounmpo makes free throw 1 of 2,1,45-36,,
5:22.0,G. Antetokounmpo makes free throw 2 of 2,1,46-36,,
5:08.0,,,46-38,2,R. Lopez makes 2-pt shot from 1 ft (assist by C. Anthony)
4:55.0,T. Ennis misses 2-pt shot from 13 ft,,46-38,,
4:53.0,,,46-38,,Defensive rebound by S. Vujacic
4:40.0,,,46-38,,R. Lopez misses 2-pt shot from 6 ft
4:38.0,,,46-38,,Offensive rebound by K. Porzingis
4:38.0,,,46-38,,K. Porzingis misses 2-pt shot at rim
4:36.0,Defensive rebound by K. Middleton,,46-38,,
4:29.0,K. Middleton misses 3-pt shot from 24 ft,,46-38,,
4:27.0,Offensive rebound by G. Monroe,,46-38,,
4:23.0,Turnover by G. Monroe (bad pass),,46-38,,
4:15.0,,,46-38,,Shooting foul by G. Antetokounmpo (drawn by C. Anthony)
4:15.0,,,46-39,1,C. Anthony makes free throw 1 of 2
4:15.0,,,46-40,1,C. Anthony makes free throw 2 of 2
4:03.0,G. Antetokounmpo misses 2-pt shot from 1 ft,,46-40,,
4:01.0,,,46-40,,Defensive rebound by K. Porzingis
3:54.0,,,46-42,2,R. Lopez makes 2-pt shot at rim (assist by J. Calderon)
3:52.0,Milwaukee full timeout,,46-42,,
3:52.0,C. Copeland enters the game for J. Bayless,,46-42,,
3:28.0,Turnover by G. Antetokounmpo (offensive goaltending),,46-42,,
3:18.0,,,46-42,,C. Anthony misses 3-pt shot from 24 ft
3:16.0,Defensive rebound by Team,,46-42,,
2:53.0,G. Monroe misses 2-pt shot from 5 ft,,46-42,,
2:53.0,Offensive rebound by Team,,46-42,,
2:53.0,,,46-42,,Loose ball foul by J. Calderon (drawn by C. Copeland)
2:41.0,,,46-42,,Personal foul by R. Lopez (drawn by G. Monroe)
2:41.0,Technical foul by G. Monroe,,46-42,,
2:41.0,,,46-43,1,C. Anthony makes technical free throw
2:41.0,G. Monroe makes free throw 1 of 2,1,47-43,,
2:41.0,G. Monroe makes free throw 2 of 2,1,48-43,,
2:31.0,,,48-43,,Turnover by C. Anthony (lost ball; steal by G. Antetokounmpo)
2:12.0,C. Copeland misses 3-pt shot from 23 ft (block by K. Porzingis),,48-43,,
2:12.0,Offensive rebound by Team,,48-43,,
2:10.0,K. Middleton misses 2-pt shot from 16 ft,,48-43,,
2:08.0,Offensive rebound by T. Ennis,,48-43,,
1:51.0,G. Monroe misses 2-pt shot from 1 ft,,48-43,,
1:50.0,,,48-43,,Defensive rebound by K. Porzingis
1:42.0,,,48-46,3,K. Porzingis makes 3-pt shot from 24 ft (assist by S. Vujacic)
1:33.0,,,48-46,,Personal foul by J. Calderon (drawn by T. Ennis)
1:33.0,T. Ennis makes free throw 1 of 2,1,49-46,,
1:33.0,J. Henson enters the game for G. Monroe,,49-46,,
1:33.0,,,49-46,,L. Galloway enters the game for J. Calderon
1:33.0,T. Ennis makes free throw 2 of 2,1,50-46,,
1:17.0,,,50-46,,R. Lopez misses 2-pt shot from 5 ft
1:15.0,,,50-46,,Offensive rebound by K. Porzingis
1:15.0,,,50-46,,Shooting foul by T. Ennis (drawn by K. Porzingis)
1:15.0,,,50-47,1,K. Porzingis makes free throw 1 of 2
1:15.0,G. Vasquez enters the game for T. Ennis,,50-47,,
1:15.0,,,50-47,,K. Porzingis misses free throw 2 of 2
1:14.0,Defensive rebound by J. Henson,,50-47,,
0:56.0,G. Vasquez misses 3-pt shot from 22 ft,,50-47,,
0:53.0,Offensive rebound by J. Henson,,50-47,,
0:53.0,J. Henson makes 2-pt shot from 2 ft,2,52-47,,
0:40.0,Def 3 sec tech foul by J. Henson,,52-47,,
0:40.0,,,52-48,1,C. Anthony makes technical free throw
0:34.0,,,52-50,2,C. Anthony makes 2-pt shot from 11 ft (assist by K. Porzingis)
0:25.0,Shooting foul by R. Lopez (drawn by J. Henson),,52-50,,
0:25.0,J. Henson makes free throw 1 of 2,1,53-50,,
0:25.0,J. Henson makes free throw 2 of 2,1,54-50,,
0:20.0,,,54-50,,New York full timeout
0:20.0,J. Bayless enters the game for K. Middleton,,54-50,,
0:20.0,,,54-50,,Violation by Team (delay of game)
0:11.0,,,54-53,3,L. Galloway makes 3-pt shot from 22 ft (assist by S. Vujacic)
0:01.0,J. Henson makes 2-pt shot from 3 ft (assist by C. Copeland),2,56-53,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:39.0,G. Monroe misses 2-pt shot from 11 ft,,56-53,,
11:37.0,,,56-53,,Defensive rebound by C. Anthony
11:29.0,,,56-53,,Turnover by K. Porzingis (offensive foul)
11:29.0,,,56-53,,Offensive foul by K. Porzingis
11:16.0,G. Antetokounmpo makes 2-pt shot from 12 ft,2,58-53,,
11:01.0,,,58-55,2,R. Lopez makes 2-pt shot from 4 ft (assist by J. Calderon)
10:47.0,Shooting foul by C. Anthony (drawn by G. Antetokounmpo),,58-55,,
10:47.0,G. Antetokounmpo makes free throw 1 of 2,1,59-55,,
10:47.0,G. Antetokounmpo makes free throw 2 of 2,1,60-55,,
10:31.0,,,60-55,,C. Anthony misses 2-pt shot from 14 ft
10:30.0,Defensive rebound by T. Ennis,,60-55,,
10:23.0,T. Ennis misses 2-pt shot from 9 ft,,60-55,,
10:22.0,,,60-55,,Defensive rebound by R. Lopez
10:14.0,,,60-55,,K. Porzingis misses 3-pt shot from 27 ft
10:12.0,Defensive rebound by G. Monroe,,60-55,,
10:08.0,T. Ennis makes 2-pt shot from 1 ft (assist by G. Monroe),2,62-55,,
10:01.0,,,62-55,,Turnover by J. Calderon (bad pass)
9:40.0,G. Monroe misses 2-pt shot from 4 ft,,62-55,,
9:38.0,,,62-55,,Defensive rebound by K. Porzingis
9:31.0,,,62-55,,Offensive foul by R. Lopez
9:31.0,,,62-55,,Turnover by R. Lopez (offensive foul)
9:09.0,T. Ennis misses 2-pt shot from 8 ft,,62-55,,
9:07.0,,,62-55,,Defensive rebound by C. Anthony
8:55.0,,,62-55,,Turnover by S. Vujacic (step out of bounds)
8:35.0,G. Antetokounmpo makes 2-pt shot at rim,2,64-55,,
8:34.0,,,64-55,,L. Galloway enters the game for J. Calderon
8:34.0,,,64-55,,New York full timeout
8:34.0,,,64-55,,J. Grant enters the game for S. Vujacic
8:21.0,,,64-55,,L. Galloway misses 3-pt shot from 25 ft
8:18.0,Defensive rebound by T. Ennis,,64-55,,
7:55.0,K. Middleton misses 3-pt shot from 32 ft,,64-55,,
7:53.0,,,64-55,,Defensive rebound by L. Galloway
7:46.0,,,64-55,,C. Anthony misses 2-pt shot from 15 ft
7:44.0,,,64-55,,Offensive rebound by K. Porzingis
7:44.0,,,64-57,2,K. Porzingis makes 2-pt shot at rim
7:40.0,Turnover by K. Middleton (lost ball),,64-57,,
7:22.0,,,64-60,3,L. Galloway makes 3-pt shot from 24 ft (assist by C. Anthony)
7:01.0,J. Parker misses 2-pt shot from 4 ft,,64-60,,
7:00.0,,,64-60,,Defensive rebound by K. Porzingis
6:56.0,,,64-60,,Turnover by C. Anthony (lost ball; steal by K. Middleton)
6:48.0,Turnover by J. Parker (step out of bounds),,64-60,,
6:48.0,G. Vasquez enters the game for T. Ennis,,64-60,,
6:33.0,,,64-60,,R. Lopez misses 2-pt shot from 5 ft (block by G. Monroe)
6:31.0,,,64-60,,Offensive rebound by Team
6:26.0,,,64-60,,C. Anthony misses 2-pt shot from 13 ft
6:24.0,Defensive rebound by K. Middleton,,64-60,,
6:11.0,G. Monroe misses 2-pt shot from 1 ft,,64-60,,
6:09.0,Offensive rebound by G. Monroe,,64-60,,
6:09.0,G. Monroe misses 2-pt shot from 2 ft,,64-60,,
6:07.0,Offensive rebound by G. Monroe,,64-60,,
6:05.0,Turnover by G. Monroe (lost ball; steal by L. Galloway),,64-60,,
5:58.0,,,64-60,,Shooting foul by G. Antetokounmpo (drawn by L. Galloway)
5:58.0,,,64-60,,L. Galloway misses free throw 1 of 2
5:58.0,,,64-60,,Offensive rebound by Team
5:58.0,,,64-60,,K. O'Quinn enters the game for R. Lopez
5:58.0,J. O'Bryant enters the game for J. Parker,,64-60,,
5:58.0,,,64-60,,L. Galloway misses free throw 2 of 2
5:57.0,,,64-60,,Offensive rebound by K. Porzingis
5:52.0,,,64-60,,L. Galloway misses 3-pt shot from 23 ft
5:49.0,,,64-60,,Offensive rebound by K. Porzingis
5:49.0,,,64-62,2,K. Porzingis makes 2-pt shot at rim
5:30.0,G. Vasquez makes 2-pt shot from 1 ft,2,66-62,,
5:12.0,Personal foul by G. Antetokounmpo (drawn by K. Porzingis),,66-62,,
4:58.0,,,66-62,,J. Grant misses 3-pt shot from 24 ft
4:56.0,Defensive rebound by G. Vasquez,,66-62,,
4:42.0,Turnover by G. Monroe (lost ball; steal by J. Grant),,66-62,,
4:38.0,,,66-64,2,J. Grant makes 2-pt shot from 1 ft
4:21.0,Shooting foul by J. Grant (drawn by K. Middleton),,66-64,,
4:21.0,K. Middleton makes free throw 1 of 2,1,67-64,,
4:21.0,J. Henson enters the game for G. Monroe,,67-64,,
4:21.0,K. Middleton makes free throw 2 of 2,1,68-64,,
4:01.0,Personal foul by K. Middleton (drawn by J. Grant),,68-64,,
3:58.0,Violation by G. Antetokounmpo (kicked ball),,68-64,,
3:54.0,,,68-66,2,C. Anthony makes 2-pt shot from 2 ft
3:40.0,K. Middleton misses 2-pt shot from 12 ft,,68-66,,
3:38.0,Offensive rebound by Team,,68-66,,
3:36.0,Shooting foul by L. Galloway (drawn by J. Henson),,68-66,,
3:36.0,J. Henson misses free throw 1 of 2,,68-66,,
3:36.0,Offensive rebound by Team,,68-66,,
3:36.0,J. Henson makes free throw 2 of 2,1,69-66,,
3:24.0,,,69-68,2,K. O'Quinn makes 2-pt shot at rim (assist by C. Anthony)
3:00.0,J. O'Bryant makes 2-pt shot from 16 ft (assist by G. Vasquez),2,71-68,,
2:49.0,Personal foul by K. Middleton (drawn by J. Grant),,71-68,,
2:49.0,Milwaukee full timeout,,71-68,,
2:49.0,J. Bayless enters the game for K. Middleton,,71-68,,
2:49.0,,,71-68,,D. Williams enters the game for K. Porzingis
2:40.0,,,71-68,,J. Grant misses 3-pt shot from 25 ft
2:38.0,Defensive rebound by G. Vasquez,,71-68,,
2:26.0,J. Henson misses 2-pt shot from 4 ft,,71-68,,
2:25.0,Offensive rebound by J. Henson,,71-68,,
2:23.0,J. Henson makes 2-pt shot from 6 ft,2,73-68,,
2:11.0,,,73-70,2,C. Anthony makes 2-pt shot from 1 ft
1:51.0,Turnover by J. Bayless (bad pass; steal by D. Williams),,73-70,,
1:46.0,,,73-70,,D. Williams misses 2-pt shot from 1 ft
1:44.0,Defensive rebound by J. Bayless,,73-70,,
1:42.0,Turnover by J. Bayless (lost ball),,73-70,,
1:28.0,,,73-70,,D. Williams misses 2-pt shot from 2 ft (block by J. Henson)
1:25.0,,,73-70,,Offensive rebound by K. O'Quinn
1:23.0,,,73-72,2,K. O'Quinn makes 2-pt shot at rim
1:02.0,J. Bayless misses 3-pt shot from 24 ft,,73-72,,
1:02.0,,,73-72,,Defensive rebound by K. O'Quinn
1:02.0,,,73-72,,Turnover by K. O'Quinn (lost ball)
1:02.0,,,73-72,,L. Thomas enters the game for C. Anthony
1:02.0,C. Copeland enters the game for G. Antetokounmpo,,73-72,,
0:54.0,J. O'Bryant makes 2-pt shot from 1 ft (assist by G. Vasquez),2,75-72,,
0:54.0,Shooting foul by D. Williams (drawn by J. O'Bryant),,75-72,,
0:54.0,J. O'Bryant misses free throw 1 of 1,,75-72,,
0:54.0,,,75-72,,Defensive rebound by K. O'Quinn
0:49.0,,,75-72,,Shooting foul by J. Bayless (drawn by J. Grant)
0:49.0,,,75-72,,J. Grant misses free throw 1 of 2
0:49.0,,,75-72,,Offensive rebound by Team
0:49.0,,,75-73,1,J. Grant makes free throw 2 of 2
0:38.0,C. Copeland misses 2-pt shot from 1 ft (block by K. O'Quinn),,75-73,,
0:37.0,,,75-73,,Defensive rebound by L. Galloway
0:32.0,,,75-73,,L. Galloway misses 2-pt shot from 1 ft
0:29.0,Defensive rebound by J. O'Bryant,,75-73,,
0:21.0,J. Bayless misses 3-pt shot from 24 ft,,75-73,,
0:19.0,Offensive rebound by J. O'Bryant,,75-73,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,,,75-75,2,L. Thomas makes 2-pt shot from 22 ft (assist by J. Grant)
11:32.0,Offensive foul by G. Vasquez,,75-75,,
11:32.0,Turnover by G. Vasquez (offensive foul),,75-75,,
11:15.0,,,75-75,,K. O'Quinn misses 2-pt shot from 3 ft
11:14.0,,,75-75,,Offensive rebound by Team
10:57.0,,,75-75,,Turnover by K. O'Quinn (traveling)
10:39.0,J. Henson misses 2-pt shot from 4 ft (block by K. O'Quinn),,75-75,,
10:38.0,,,75-75,,Defensive rebound by Team
10:21.0,,,75-75,,L. Thomas misses 2-pt shot from 2 ft (block by J. Henson)
10:18.0,Defensive rebound by G. Vasquez,,75-75,,
10:17.0,J. Bayless misses 3-pt shot from 23 ft,,75-75,,
10:14.0,Offensive rebound by J. Henson,,75-75,,
10:09.0,G. Vasquez misses 2-pt shot from 3 ft (block by K. O'Quinn),,75-75,,
10:07.0,Offensive rebound by J. Henson,,75-75,,
10:07.0,Shooting foul by K. O'Quinn (drawn by J. Henson),,75-75,,
10:07.0,J. Henson makes free throw 1 of 2,1,76-75,,
10:07.0,J. Henson makes free throw 2 of 2,1,77-75,,
9:52.0,,,77-75,,D. Williams misses 3-pt shot from 24 ft
9:49.0,Defensive rebound by C. Copeland,,77-75,,
9:39.0,J. Henson makes 2-pt shot from 3 ft (assist by J. Bayless),2,79-75,,
9:24.0,,,79-75,,K. O'Quinn misses 2-pt shot from 10 ft
9:22.0,Defensive rebound by C. Copeland,,79-75,,
9:02.0,J. Bayless misses 2-pt shot from 1 ft,,79-75,,
9:00.0,,,79-75,,Defensive rebound by J. Grant
8:55.0,,,79-77,2,J. Grant makes 2-pt shot from 1 ft
8:36.0,C. Copeland misses 3-pt shot from 23 ft,,79-77,,
8:33.0,,,79-77,,Defensive rebound by K. O'Quinn
8:27.0,,,79-79,2,D. Williams makes 2-pt shot from 1 ft (assist by L. Galloway)
8:25.0,Milwaukee full timeout,,79-79,,
8:25.0,K. Middleton enters the game for J. O'Bryant,,79-79,,
8:25.0,G. Antetokounmpo enters the game for C. Copeland,,79-79,,
8:12.0,G. Vasquez makes 2-pt shot from 20 ft,2,81-79,,
7:55.0,,,81-79,,Shooting foul by J. Henson (drawn by D. Williams)
7:55.0,,,81-80,1,D. Williams makes free throw 1 of 2
7:55.0,,,81-80,,S. Vujacic enters the game for J. Grant
7:55.0,,,81-81,1,D. Williams makes free throw 2 of 2
7:34.0,G. Antetokounmpo makes 2-pt shot from 18 ft (assist by G. Vasquez),2,83-81,,
7:19.0,,,83-81,,D. Williams misses 2-pt shot from 2 ft
7:17.0,Defensive rebound by K. Middleton,,83-81,,
6:58.0,J. Henson makes 2-pt shot from 5 ft (assist by G. Antetokounmpo),2,85-81,,
6:40.0,,,85-81,,C. Anthony enters the game for L. Thomas
6:40.0,,,85-81,,K. Porzingis enters the game for K. O'Quinn
6:30.0,,,85-81,,Turnover by Team (shot clock)
6:19.0,J. Henson makes 2-pt shot from 1 ft (assist by G. Vasquez),2,87-81,,
6:19.0,Shooting foul by K. Porzingis (drawn by J. Henson),,87-81,,
6:19.0,,,87-81,,New York full timeout
6:19.0,J. Henson makes free throw 1 of 1,1,88-81,,
6:04.0,Personal foul by G. Antetokounmpo (drawn by C. Anthony),,88-81,,
5:55.0,,,88-81,,C. Anthony misses 2-pt shot from 14 ft
5:53.0,,,88-81,,Offensive rebound by D. Williams
5:53.0,,,88-81,,D. Williams misses 2-pt shot from 2 ft
5:50.0,,,88-81,,Offensive rebound by K. Porzingis
