time,Utah,pts.away,score,pts.home,Dallas
3:56.0,G. Hayward makes 2-pt shot from 15 ft,2,18-24,,
3:34.0,,,18-27,3,W. Matthews makes 3-pt shot from 24 ft (assist by R. Felton)
3:17.0,J. Ingles misses 3-pt shot from 24 ft,,18-27,,
3:16.0,,,18-27,,Defensive rebound by D. Williams
3:09.0,,,18-27,,Turnover by C. Parsons (bad pass; steal by G. Hayward)
3:00.0,Turnover by G. Hayward (lost ball; steal by D. Williams),,18-27,,
2:57.0,Personal block foul by C. Johnson (drawn by D. Williams),,18-27,,
2:57.0,Utah full timeout,,18-27,,
2:57.0,,,18-27,,D. Powell enters the game for C. Parsons
2:57.0,,,18-27,,D. Nowitzki enters the game for Z. Pachulia
2:57.0,,,18-27,,Violation by Team (jump ball)
2:57.0,,,18-28,1,D. Williams makes free throw 1 of 2
2:57.0,,,18-29,1,D. Williams makes free throw 2 of 2
2:41.0,G. Hayward misses 3-pt shot from 22 ft,,18-29,,
2:40.0,,,18-29,,Defensive rebound by R. Felton
2:21.0,,,18-29,,R. Felton misses 3-pt shot from 23 ft (block by C. Johnson)
2:20.0,Defensive rebound by G. Hayward,,18-29,,
2:04.0,R. Gobert misses 2-pt shot from 6 ft,,18-29,,
2:03.0,,,18-29,,Defensive rebound by D. Powell
1:54.0,,,18-29,,Offensive charge foul by D. Williams
1:54.0,,,18-29,,Turnover by D. Williams (offensive foul)
1:54.0,,,18-29,,J. Anderson enters the game for W. Matthews
1:54.0,,,18-29,,J. Barea enters the game for D. Williams
1:54.0,T. Lyles enters the game for R. Gobert,,18-29,,
1:54.0,E. Green enters the game for J. Ingles,,18-29,,
1:44.0,G. Hayward misses 3-pt shot from 24 ft,,18-29,,
1:43.0,,,18-29,,Defensive rebound by R. Felton
1:27.0,,,18-29,,D. Nowitzki misses 2-pt shot from 12 ft
1:26.0,Defensive rebound by C. Johnson,,18-29,,
1:12.0,E. Green makes 2-pt shot from 9 ft,2,20-29,,
0:54.0,,,20-29,,Turnover by D. Nowitzki (bad pass)
0:40.0,Shooting foul by D. Nowitzki (drawn by T. Lyles),,20-29,,
0:40.0,T. Lyles misses free throw 1 of 2,,20-29,,
0:40.0,Offensive rebound by Team,,20-29,,
0:40.0,T. Lyles makes free throw 2 of 2,1,21-29,,
0:33.0,,,21-29,,J. Barea misses 3-pt shot from 25 ft
0:32.0,Defensive rebound by C. Johnson,,21-29,,
0:09.0,E. Green misses 2-pt shot from 19 ft,,21-29,,
0:07.0,,,21-29,,Defensive rebound by D. Nowitzki
0:01.0,,,21-29,,J. Anderson misses 3-pt shot from 23 ft
0:00.0,,,21-29,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,,,21-31,2,D. Powell makes 2-pt shot from 2 ft (assist by R. Felton)
11:27.0,T. Lyles makes 2-pt shot at rim,2,23-31,,
11:12.0,,,23-33,2,J. Barea makes 2-pt shot from 6 ft
10:58.0,T. Lyles makes 2-pt shot from 20 ft (assist by R. Hood),2,25-33,,
10:41.0,,,25-35,2,D. Nowitzki makes 2-pt shot from 10 ft (assist by J. Barea)
10:20.0,C. Johnson makes 3-pt shot from 22 ft (assist by T. Lyles),3,28-35,,
10:07.0,,,28-37,2,D. Powell makes 2-pt shot at rim (assist by J. Barea)
9:51.0,,,28-37,,Shooting block foul by D. Nowitzki (drawn by T. Lyles)
9:51.0,T. Lyles makes free throw 1 of 2,1,29-37,,
9:51.0,T. Lyles makes free throw 2 of 2,1,30-37,,
9:38.0,,,30-40,3,R. Felton makes 3-pt shot from 24 ft (assist by J. Barea)
9:19.0,T. Lyles makes 2-pt shot at rim,2,32-40,,
9:00.0,,,32-42,2,R. Felton makes 2-pt shot from 4 ft
9:00.0,Utah full timeout,,32-42,,
9:00.0,R. Gobert enters the game for T. Booker,,32-42,,
8:44.0,R. Hood misses 2-pt shot from 13 ft,,32-42,,
8:43.0,,,32-42,,Defensive rebound by D. Powell
8:28.0,,,32-44,2,R. Felton makes 2-pt shot from 10 ft
8:08.0,E. Green misses 3-pt shot from 23 ft,,32-44,,
8:07.0,Offensive rebound by T. Lyles,,32-44,,
8:03.0,Turnover by T. Lyles (bad pass),,32-44,,
8:03.0,T. Booker enters the game for T. Lyles,,32-44,,
8:03.0,J. Ingles enters the game for C. Johnson,,32-44,,
7:48.0,,,32-47,3,J. Anderson makes 3-pt shot from 22 ft (assist by J. Barea)
7:28.0,R. Hood misses 2-pt shot from 18 ft,,32-47,,
7:27.0,,,32-47,,Defensive rebound by R. Felton
7:14.0,,,32-47,,J. Anderson misses 3-pt shot from 22 ft
7:13.0,Defensive rebound by R. Hood,,32-47,,
7:02.0,J. Ingles makes 3-pt shot from 24 ft (assist by R. Gobert),3,35-47,,
7:01.0,,,35-47,,Dallas full timeout
7:01.0,,,35-47,,C. Parsons enters the game for D. Nowitzki
7:01.0,,,35-47,,Z. Pachulia enters the game for R. Felton
7:01.0,,,35-47,,D. Williams enters the game for D. Powell
7:01.0,,,35-47,,W. Matthews enters the game for J. Anderson
7:01.0,G. Hayward enters the game for E. Green,,35-47,,
6:49.0,,,35-50,3,J. Barea makes 3-pt shot from 23 ft (assist by D. Williams)
6:31.0,R. Hood makes 2-pt shot at rim (assist by R. Gobert),2,37-50,,
6:14.0,,,37-52,2,Z. Pachulia makes 2-pt shot from 13 ft (assist by J. Barea)
5:56.0,Shooting foul by W. Matthews (drawn by G. Hayward),,37-52,,
5:56.0,G. Hayward makes free throw 1 of 2,1,38-52,,
5:56.0,G. Hayward makes free throw 2 of 2,1,39-52,,
5:37.0,,,39-52,,W. Matthews misses 3-pt shot from 24 ft
5:36.0,Defensive rebound by R. Gobert,,39-52,,
5:32.0,Turnover by T. Booker (traveling),,39-52,,
5:13.0,,,39-52,,Shooting foul by T. Booker (drawn by C. Parsons)
5:13.0,,,39-52,,C. Parsons misses free throw 1 of 2
5:13.0,,,39-52,,Offensive rebound by Team
5:13.0,D. Favors enters the game for R. Gobert,,39-52,,
5:13.0,,,39-53,1,C. Parsons makes free throw 2 of 2
4:50.0,R. Hood makes 2-pt shot from 13 ft,2,41-53,,
4:24.0,,,41-53,,D. Williams misses 3-pt shot from 24 ft
4:24.0,Defensive rebound by T. Booker,,41-53,,
4:17.0,R. Hood misses 3-pt shot from 24 ft,,41-53,,
4:15.0,,,41-53,,Defensive rebound by Team
4:06.0,,,41-53,,W. Matthews misses 2-pt shot from 1 ft
4:05.0,Defensive rebound by D. Favors,,41-53,,
3:57.0,J. Ingles makes 3-pt shot from 22 ft (assist by R. Hood),3,44-53,,
3:42.0,,,44-53,,J. Barea misses 2-pt shot from 6 ft
3:40.0,Defensive rebound by D. Favors,,44-53,,
3:32.0,G. Hayward makes 2-pt shot at rim (assist by D. Favors),2,46-53,,
3:32.0,,,46-53,,Dallas full timeout
3:32.0,,,46-53,,D. Nowitzki enters the game for J. Barea
3:32.0,R. Gobert enters the game for T. Booker,,46-53,,
3:17.0,,,46-53,,D. Nowitzki misses 3-pt shot from 22 ft
3:16.0,Defensive rebound by G. Hayward,,46-53,,
3:03.0,Shooting foul by C. Parsons (drawn by R. Gobert),,46-53,,
3:03.0,R. Gobert makes free throw 1 of 2,1,47-53,,
3:03.0,R. Gobert misses free throw 2 of 2,,47-53,,
3:02.0,,,47-53,,Defensive rebound by D. Nowitzki
2:50.0,,,47-55,2,C. Parsons makes 2-pt shot at rim (assist by Z. Pachulia)
2:23.0,R. Hood misses 2-pt shot from 6 ft,,47-55,,
2:22.0,,,47-55,,Defensive rebound by Z. Pachulia
2:12.0,,,47-55,,Shooting foul by R. Gobert (drawn by Z. Pachulia)
2:12.0,Official timeout,,47-55,,
2:12.0,,,47-55,,Z. Pachulia misses free throw 1 of 2
2:12.0,,,47-55,,Offensive rebound by Team
2:12.0,,,47-56,1,Z. Pachulia makes free throw 2 of 2
1:59.0,G. Hayward misses 3-pt shot from 24 ft,,47-56,,
1:58.0,,,47-56,,Defensive rebound by C. Parsons
1:49.0,Personal foul by J. Ingles (drawn by D. Nowitzki),,47-56,,
1:37.0,,,47-56,,C. Parsons misses 3-pt shot from 24 ft
1:35.0,Defensive rebound by J. Ingles,,47-56,,
1:26.0,G. Hayward misses 2-pt shot from 18 ft,,47-56,,
1:25.0,Offensive rebound by D. Favors,,47-56,,
1:12.0,R. Gobert makes 2-pt shot at rim (assist by D. Favors),2,49-56,,
0:47.0,,,49-58,2,C. Parsons makes 2-pt shot from 13 ft
0:37.0,Turnover by J. Ingles (traveling),,49-58,,
0:27.0,,,49-58,,D. Nowitzki misses 2-pt shot from 21 ft
0:26.0,Defensive rebound by R. Gobert,,49-58,,
0:04.0,Shooting foul by D. Williams (drawn by R. Hood),,49-58,,
0:04.0,R. Hood makes free throw 1 of 2,1,50-58,,
0:04.0,T. Booker enters the game for R. Gobert,,50-58,,
0:04.0,C. Johnson enters the game for J. Ingles,,50-58,,
0:04.0,,,50-58,,R. Felton enters the game for D. Williams
0:04.0,R. Hood makes free throw 2 of 2,1,51-58,,
0:01.0,,,51-58,,C. Parsons misses 3-pt shot from 36 ft
0:00.0,,,51-58,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,,,51-58,,D. Williams misses 2-pt shot from 9 ft
11:42.0,Defensive rebound by R. Gobert,,51-58,,
11:26.0,R. Hood misses 2-pt shot from 5 ft,,51-58,,
11:25.0,,,51-58,,Defensive rebound by D. Nowitzki
11:11.0,,,51-58,,D. Nowitzki misses 3-pt shot from 24 ft
11:10.0,Defensive rebound by R. Gobert,,51-58,,
10:59.0,D. Favors makes 2-pt shot from 1 ft (assist by R. Neto),2,53-58,,
10:42.0,,,53-60,2,D. Nowitzki makes 2-pt shot from 15 ft (assist by Z. Pachulia)
10:26.0,R. Hood misses 3-pt shot from 24 ft,,53-60,,
10:24.0,,,53-60,,Defensive rebound by D. Nowitzki
10:17.0,Shooting block foul by R. Gobert (drawn by W. Matthews),,53-60,,
10:17.0,,,53-61,1,W. Matthews makes free throw 1 of 2
10:17.0,,,53-62,1,W. Matthews makes free throw 2 of 2
10:02.0,D. Favors makes 2-pt shot from 13 ft (assist by R. Hood),2,55-62,,
9:31.0,,,55-64,2,C. Parsons makes 2-pt shot from 8 ft
9:14.0,D. Favors misses 2-pt shot from 15 ft,,55-64,,
9:13.0,,,55-64,,Defensive rebound by Z. Pachulia
8:52.0,,,55-66,2,D. Williams makes 2-pt shot from 1 ft (assist by Z. Pachulia)
8:32.0,R. Neto makes 2-pt shot from 9 ft,2,57-66,,
8:21.0,,,57-66,,Shooting foul by R. Neto (drawn by D. Williams)
8:21.0,,,57-67,1,D. Williams makes free throw 1 of 2
8:21.0,,,57-68,1,D. Williams makes free throw 2 of 2
7:57.0,D. Favors misses 2-pt shot from 7 ft,,57-68,,
7:56.0,Offensive rebound by Team,,57-68,,
7:56.0,T. Booker enters the game for D. Favors,,57-68,,
7:37.0,R. Neto misses 3-pt shot from 23 ft,,57-68,,
7:36.0,,,57-68,,Defensive rebound by W. Matthews
7:27.0,,,57-68,,Z. Pachulia misses 2-pt shot from 17 ft
7:26.0,Defensive rebound by R. Gobert,,57-68,,
7:05.0,Shooting foul by Z. Pachulia (drawn by R. Gobert),,57-68,,
7:05.0,R. Gobert makes free throw 1 of 2,1,58-68,,
7:05.0,R. Gobert makes free throw 2 of 2,1,59-68,,
6:48.0,,,59-68,,Shooting foul by T. Booker (drawn by D. Nowitzki)
6:48.0,,,59-69,1,D. Nowitzki makes free throw 1 of 2
6:48.0,,,59-70,1,D. Nowitzki makes free throw 2 of 2
6:36.0,,,59-70,,Personal foul by C. Parsons (drawn by R. Hood)
6:23.0,R. Hood makes 2-pt shot from 13 ft,2,61-70,,
6:02.0,,,61-70,,Shooting foul by R. Neto (drawn by D. Williams)
6:02.0,,,61-70,,D. Williams misses free throw 1 of 3
6:02.0,,,61-70,,Offensive rebound by Team
6:02.0,,,61-70,,D. Williams misses free throw 2 of 3
6:02.0,,,61-70,,Offensive rebound by Team
6:02.0,,,61-70,,R. Felton enters the game for D. Nowitzki
6:02.0,J. Ingles enters the game for R. Neto,,61-70,,
6:02.0,,,61-71,1,D. Williams makes free throw 3 of 3
5:45.0,J. Ingles misses 3-pt shot from 23 ft,,61-71,,
5:44.0,,,61-71,,Defensive rebound by R. Felton
5:38.0,,,61-71,,Turnover by D. Williams (lost ball)
5:38.0,,,61-71,,Dallas full timeout
5:22.0,R. Hood misses 3-pt shot from 23 ft,,61-71,,
5:22.0,Offensive rebound by Team,,61-71,,
5:05.0,G. Hayward misses 2-pt shot from 20 ft,,61-71,,
5:04.0,Offensive rebound by T. Booker,,61-71,,
5:03.0,T. Booker makes 2-pt shot at rim,2,63-71,,
4:42.0,,,63-71,,Turnover by Z. Pachulia (bad pass)
4:21.0,G. Hayward misses 2-pt shot from 14 ft,,63-71,,
4:20.0,Offensive rebound by T. Booker,,63-71,,
4:18.0,T. Booker makes 2-pt shot from 2 ft,2,65-71,,
4:00.0,,,65-73,2,W. Matthews makes 2-pt shot from 1 ft
3:42.0,G. Hayward misses 3-pt shot from 24 ft,,65-73,,
3:41.0,,,65-73,,Defensive rebound by Z. Pachulia
3:27.0,,,65-75,2,R. Felton makes 2-pt shot from 2 ft
3:02.0,R. Hood makes 2-pt shot from 2 ft,2,67-75,,
2:51.0,,,67-77,2,C. Parsons makes 2-pt shot at rim
2:51.0,Utah full timeout,,67-77,,
2:51.0,D. Favors enters the game for G. Hayward,,67-77,,
2:51.0,E. Green enters the game for R. Gobert,,67-77,,
2:51.0,Violation by Team (jump ball),,67-77,,
2:30.0,Shooting foul by C. Parsons (drawn by D. Favors),,67-77,,
2:30.0,D. Favors makes free throw 1 of 2,1,68-77,,
2:30.0,,,68-77,,D. Nowitzki enters the game for C. Parsons
2:30.0,D. Favors misses free throw 2 of 2,,68-77,,
2:29.0,,,68-77,,Defensive rebound by R. Felton
2:11.0,,,68-77,,R. Felton misses 2-pt shot from 19 ft
2:10.0,Defensive rebound by E. Green,,68-77,,
1:58.0,Turnover by J. Ingles (bad pass; steal by R. Felton),,68-77,,
1:54.0,,,68-79,2,W. Matthews makes 2-pt shot at rim (assist by R. Felton)
1:36.0,T. Booker makes 2-pt shot from 1 ft (assist by D. Favors),2,70-79,,
1:28.0,,,70-79,,Shooting foul by E. Green (drawn by Z. Pachulia)
1:28.0,,,70-80,1,Z. Pachulia makes free throw 1 of 2
1:28.0,,,70-80,,J. Barea enters the game for D. Williams
1:28.0,,,70-81,1,Z. Pachulia makes free throw 2 of 2
1:13.0,R. Hood misses 2-pt shot from 9 ft,,70-81,,
1:11.0,Offensive rebound by T. Booker,,70-81,,
1:11.0,T. Booker makes 2-pt shot at rim,2,72-81,,
0:59.0,,,72-83,2,D. Nowitzki makes 2-pt shot from 16 ft (assist by J. Barea)
0:42.0,E. Green makes 2-pt shot from 16 ft,2,74-83,,
0:37.0,Shooting block foul by T. Booker (drawn by R. Felton),,74-83,,
0:37.0,,,74-84,1,R. Felton makes free throw 1 of 2
0:37.0,,,74-84,,D. Powell enters the game for Z. Pachulia
0:37.0,T. Lyles enters the game for T. Booker,,74-84,,
0:37.0,,,74-85,1,R. Felton makes free throw 2 of 2
0:32.0,R. Hood makes 2-pt shot from 9 ft,2,76-85,,
0:13.0,,,76-87,2,W. Matthews makes 2-pt shot from 12 ft
0:05.0,,,76-87,,Personal take foul by R. Felton (drawn by R. Hood)
0:05.0,,,76-87,,J. Anderson enters the game for D. Nowitzki
0:00.0,R. Hood makes 2-pt shot from 19 ft,2,78-87,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,T. Lyles misses 3-pt shot from 22 ft,,78-87,,
11:41.0,Offensive rebound by C. Johnson,,78-87,,
11:37.0,D. Favors makes 2-pt shot at rim (assist by C. Johnson),2,80-87,,
11:18.0,,,80-89,2,D. Powell makes 2-pt shot from 2 ft (assist by R. Felton)
11:18.0,,,80-89,,Shooting foul by G. Hayward (drawn by D. Powell)
11:18.0,,,80-90,1,D. Powell makes free throw 1 of 1
10:55.0,E. Green misses 3-pt shot from 24 ft,,80-90,,
10:54.0,,,80-90,,Defensive rebound by J. Anderson
10:33.0,,,80-90,,D. Nowitzki misses 3-pt shot from 23 ft
10:32.0,Defensive rebound by D. Favors,,80-90,,
10:22.0,D. Favors makes 2-pt shot from 2 ft (assist by G. Hayward),2,82-90,,
10:22.0,Shooting foul by D. Nowitzki (drawn by D. Favors),,82-90,,
10:22.0,D. Favors makes free throw 1 of 1,1,83-90,,
10:01.0,,,83-90,,J. Barea misses 2-pt shot from 11 ft
10:00.0,Defensive rebound by T. Lyles,,83-90,,
9:52.0,Turnover by D. Favors (bad pass; steal by J. Anderson),,83-90,,
9:42.0,Personal block foul by D. Favors (drawn by R. Felton),,83-90,,
9:34.0,,,83-90,,R. Felton misses 2-pt shot from 8 ft
9:33.0,,,83-90,,Offensive rebound by R. Felton
9:33.0,,,83-90,,Shooting foul by E. Green (drawn by R. Felton)
9:33.0,,,83-91,1,R. Felton makes free throw 1 of 2
9:33.0,,,83-91,,C. Parsons enters the game for D. Nowitzki
9:33.0,R. Neto enters the game for E. Green,,83-91,,
9:33.0,,,83-92,1,R. Felton makes free throw 2 of 2
9:20.0,D. Favors makes 2-pt shot from 2 ft (assist by G. Hayward),2,85-92,,
9:20.0,Shooting foul by J. Anderson (drawn by D. Favors),,85-92,,
9:20.0,D. Favors misses free throw 1 of 1,,85-92,,
9:20.0,,,85-92,,Defensive rebound by J. Barea
9:07.0,,,85-92,,Turnover by D. Powell (step out of bounds)
8:58.0,Shooting foul by J. Barea (drawn by G. Hayward),,85-92,,
8:58.0,Official timeout,,85-92,,
8:58.0,,,85-92,,Z. Pachulia enters the game for D. Powell
8:58.0,,,85-92,,D. Williams enters the game for J. Barea
8:58.0,,,85-92,,W. Matthews enters the game for J. Anderson
8:58.0,G. Hayward misses free throw 1 of 2,,85-92,,
8:58.0,Offensive rebound by Team,,85-92,,
8:58.0,G. Hayward makes free throw 2 of 2,1,86-92,,
8:43.0,,,86-92,,C. Parsons misses 2-pt shot from 16 ft
8:41.0,,,86-92,,Offensive rebound by Z. Pachulia
8:41.0,,,86-92,,Z. Pachulia misses 2-pt shot from 1 ft
8:40.0,Defensive rebound by C. Johnson,,86-92,,
8:33.0,,,86-92,,Personal foul by W. Matthews (drawn by G. Hayward)
8:25.0,D. Favors makes 2-pt shot from 14 ft (assist by G. Hayward),2,88-92,,
7:57.0,,,88-92,,W. Matthews misses 3-pt shot from 24 ft
7:56.0,,,88-92,,Offensive rebound by W. Matthews
7:50.0,,,88-92,,C. Parsons misses 3-pt shot from 22 ft
7:49.0,Defensive rebound by D. Favors,,88-92,,
7:31.0,T. Lyles misses 2-pt shot from 6 ft,,88-92,,
7:29.0,Offensive rebound by C. Johnson,,88-92,,
7:29.0,Shooting foul by R. Felton (drawn by C. Johnson),,88-92,,
7:29.0,C. Johnson makes free throw 1 of 2,1,89-92,,
7:29.0,,,89-92,,D. Nowitzki enters the game for R. Felton
7:29.0,C. Johnson makes free throw 2 of 2,1,90-92,,
7:15.0,,,90-94,2,D. Nowitzki makes 2-pt shot from 1 ft (assist by W. Matthews)
6:59.0,T. Lyles makes 2-pt shot from 4 ft,2,92-94,,
6:41.0,,,92-94,,D. Williams misses 2-pt shot from 18 ft
6:40.0,Defensive rebound by G. Hayward,,92-94,,
6:29.0,G. Hayward makes 2-pt shot from 8 ft,2,94-94,,
6:29.0,,,94-94,,Dallas full timeout
6:29.0,R. Hood enters the game for C. Johnson,,94-94,,
6:20.0,Personal foul by T. Lyles (drawn by D. Williams),,94-94,,
6:11.0,,,94-94,,C. Parsons misses 3-pt shot from 22 ft
6:10.0,,,94-94,,Offensive rebound by Z. Pachulia
6:03.0,,,94-94,,D. Williams misses 2-pt shot from 13 ft
6:01.0,,,94-94,,Offensive rebound by Z. Pachulia
5:51.0,,,94-94,,Offensive charge foul by C. Parsons
5:51.0,,,94-94,,Turnover by C. Parsons (offensive foul)
5:51.0,R. Gobert enters the game for T. Lyles,,94-94,,
5:51.0,,,94-94,,R. Felton enters the game for C. Parsons
5:38.0,R. Gobert makes 2-pt shot at rim (assist by D. Favors),2,96-94,,
5:18.0,,,96-94,,D. Nowitzki misses 3-pt shot from 24 ft
5:17.0,Defensive rebound by G. Hayward,,96-94,,
4:55.0,G. Hayward misses 3-pt shot from 28 ft,,96-94,,
4:53.0,Offensive rebound by Team,,96-94,,
4:53.0,Turnover by Team (shot clock),,96-94,,
4:34.0,Shooting block foul by R. Neto (drawn by D. Williams),,96-94,,
4:34.0,,,96-95,1,D. Williams makes free throw 1 of 2
4:34.0,T. Lyles enters the game for D. Favors,,96-95,,
4:34.0,,,96-96,1,D. Williams makes free throw 2 of 2
4:14.0,R. Hood makes 2-pt shot from 10 ft,2,98-96,,
4:00.0,,,98-98,2,D. Williams makes 2-pt shot from 4 ft
3:43.0,Shooting foul by D. Nowitzki (drawn by R. Neto),,98-98,,
3:43.0,R. Neto makes free throw 1 of 2,1,99-98,,
3:43.0,R. Neto misses free throw 2 of 2,,99-98,,
3:42.0,,,99-98,,Defensive rebound by D. Nowitzki
3:22.0,,,99-98,,D. Williams misses 2-pt shot from 5 ft (block by R. Gobert)
3:21.0,Defensive rebound by R. Hood,,99-98,,
3:15.0,T. Lyles misses 3-pt shot from 24 ft,,99-98,,
3:13.0,,,99-98,,Defensive rebound by R. Felton
3:05.0,,,99-98,,D. Williams misses 2-pt shot from 10 ft
3:03.0,,,99-98,,Offensive rebound by Z. Pachulia
3:03.0,,,99-98,,Z. Pachulia misses 2-pt shot at rim
3:02.0,Defensive rebound by T. Lyles,,99-98,,
2:58.0,Utah full timeout,,99-98,,
2:58.0,C. Johnson enters the game for R. Neto,,99-98,,
2:58.0,D. Favors enters the game for T. Lyles,,99-98,,
2:52.0,G. Hayward misses 2-pt shot from 11 ft,,99-98,,
2:51.0,,,99-98,,Defensive rebound by D. Nowitzki
2:38.0,,,99-98,,D. Nowitzki misses 2-pt shot from 16 ft
2:37.0,Defensive rebound by D. Favors,,99-98,,
2:22.0,R. Hood makes 2-pt shot from 11 ft,2,101-98,,
2:07.0,,,101-100,2,D. Nowitzki makes 2-pt shot from 10 ft (assist by D. Williams)
1:49.0,D. Favors misses 2-pt shot from 6 ft,,101-100,,
1:48.0,,,101-100,,Defensive rebound by D. Nowitzki
1:28.0,,,101-102,2,R. Felton makes 2-pt shot from 19 ft
1:28.0,Utah full timeout,,101-102,,
1:28.0,,,101-102,,C. Parsons enters the game for D. Nowitzki
1:28.0,R. Neto enters the game for C. Johnson,,101-102,,
1:20.0,D. Favors makes 2-pt shot from 15 ft (assist by R. Neto),2,103-102,,
1:20.0,,,103-102,,Dallas full timeout
