time,Brooklyn,pts.away,score,pts.home,New Orleans
7:57.0,,,33-33,,N. Cole enters the game for J. Holiday
7:57.0,T. Robinson misses free throw 1 of 1,,33-33,,
7:55.0,,,33-33,,Defensive rebound by B. Dejean-Jones
7:37.0,,,33-33,,Shooting foul by A. Bargnani (drawn by R. Anderson)
7:37.0,,,33-34,1,R. Anderson makes free throw 1 of 2
7:37.0,,,33-34,,A. Davis enters the game for D. Cunningham
7:37.0,B. Lopez enters the game for A. Bargnani,,33-34,,
7:37.0,,,33-35,1,R. Anderson makes free throw 2 of 2
7:30.0,Turnover by T. Robinson (bad pass),,33-35,,
7:30.0,,,33-35,,O. Asik enters the game for R. Anderson
7:22.0,,,33-35,,Turnover by N. Cole (bad pass; steal by T. Robinson)
7:18.0,S. Larkin makes 2-pt shot from 1 ft (assist by T. Robinson),2,35-35,,
7:02.0,,,35-35,,A. Davis misses 2-pt shot from 19 ft
7:01.0,Defensive rebound by B. Lopez,,35-35,,
6:48.0,B. Lopez makes 2-pt shot from 9 ft (assist by S. Larkin),2,37-35,,
6:37.0,,,37-37,2,N. Cole makes 2-pt shot from 20 ft (assist by B. Dejean-Jones)
6:21.0,Shooting foul by N. Cole (drawn by S. Larkin),,37-37,,
6:21.0,S. Larkin makes free throw 1 of 2,1,38-37,,
6:21.0,,,38-37,,A. Gee enters the game for T. Douglas
6:21.0,T. Young enters the game for T. Robinson,,38-37,,
6:21.0,S. Larkin makes free throw 2 of 2,1,39-37,,
6:02.0,,,39-37,,A. Gee misses 2-pt shot at rim (block by B. Lopez)
6:02.0,Defensive rebound by Team,,39-37,,
5:45.0,J. Johnson makes 3-pt shot from 23 ft (assist by B. Lopez),3,42-37,,
5:35.0,,,42-37,,B. Dejean-Jones misses 3-pt shot from 24 ft
5:34.0,Defensive rebound by S. Larkin,,42-37,,
5:24.0,Turnover by J. Johnson (bad pass; steal by B. Dejean-Jones),,42-37,,
5:17.0,,,42-39,2,N. Cole makes 2-pt shot from 15 ft
4:50.0,Shooting foul by A. Davis (drawn by T. Young),,42-39,,
4:50.0,Official timeout,,42-39,,
4:50.0,W. Ellington enters the game for B. Bogdanovic,,42-39,,
4:50.0,T. Young makes free throw 1 of 2,1,43-39,,
4:50.0,T. Young makes free throw 2 of 2,1,44-39,,
4:27.0,,,44-39,,N. Cole misses 3-pt shot from 25 ft
4:25.0,Defensive rebound by S. Larkin,,44-39,,
4:11.0,Turnover by W. Ellington (bad pass; steal by A. Gee),,44-39,,
3:55.0,,,44-41,2,O. Asik makes 2-pt shot from 2 ft (assist by N. Cole)
3:33.0,B. Lopez misses 2-pt shot from 12 ft,,44-41,,
3:32.0,,,44-41,,Defensive rebound by B. Dejean-Jones
3:21.0,,,44-41,,O. Asik misses 2-pt shot from 1 ft
3:20.0,Defensive rebound by J. Johnson,,44-41,,
3:06.0,B. Lopez makes 2-pt shot from 13 ft,2,46-41,,
2:49.0,,,46-41,,A. Davis misses 2-pt shot from 18 ft
2:49.0,Defensive rebound by J. Johnson,,46-41,,
2:38.0,S. Larkin misses 3-pt shot from 24 ft,,46-41,,
2:38.0,,,46-41,,Defensive rebound by A. Davis
2:32.0,,,46-41,,N. Cole misses 2-pt shot from 1 ft
2:31.0,Defensive rebound by B. Lopez,,46-41,,
2:26.0,W. Ellington misses 2-pt shot from 19 ft,,46-41,,
2:25.0,,,46-41,,Defensive rebound by A. Davis
2:15.0,,,46-41,,A. Davis misses 2-pt shot from 16 ft
2:14.0,Defensive rebound by W. Ellington,,46-41,,
2:08.0,,,46-41,,Personal foul by O. Asik (drawn by B. Lopez)
2:08.0,,,46-41,,New Orleans full timeout
2:08.0,D. Sloan enters the game for S. Larkin,,46-41,,
2:08.0,,,46-41,,J. Holiday enters the game for B. Dejean-Jones
2:08.0,B. Lopez makes free throw 1 of 2,1,47-41,,
2:08.0,B. Lopez misses free throw 2 of 2,,47-41,,
2:06.0,,,47-41,,Defensive rebound by O. Asik
1:55.0,,,47-41,,N. Cole misses 2-pt shot from 19 ft
1:54.0,Defensive rebound by J. Johnson,,47-41,,
1:34.0,W. Ellington misses 3-pt shot from 25 ft,,47-41,,
1:32.0,Offensive rebound by T. Young,,47-41,,
1:28.0,B. Lopez makes 2-pt shot from 9 ft (assist by T. Young),2,49-41,,
1:16.0,,,49-41,,J. Holiday misses 3-pt shot from 25 ft
1:15.0,Defensive rebound by J. Johnson,,49-41,,
0:56.0,,,49-41,,Personal foul by J. Holiday (drawn by B. Lopez)
0:56.0,B. Lopez misses free throw 1 of 2,,49-41,,
0:56.0,Offensive rebound by Team,,49-41,,
0:56.0,,,49-41,,R. Anderson enters the game for O. Asik
0:56.0,,,49-41,,T. Douglas enters the game for J. Holiday
0:56.0,B. Lopez misses free throw 2 of 2,,49-41,,
0:55.0,,,49-41,,Defensive rebound by A. Gee
0:39.0,,,49-41,,T. Douglas misses 3-pt shot from 24 ft
0:38.0,Defensive rebound by B. Lopez,,49-41,,
0:33.0,Turnover by B. Lopez (bad pass; steal by R. Anderson),,49-41,,
0:29.0,,,49-44,3,R. Anderson makes 3-pt shot from 25 ft
0:05.0,B. Lopez misses 2-pt shot from 18 ft,,49-44,,
0:02.0,Offensive rebound by W. Ellington,,49-44,,
0:01.0,W. Ellington makes 2-pt shot from 2 ft,2,51-44,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,T. Young misses 2-pt shot from 2 ft (block by A. Davis),,51-44,,
11:40.0,,,51-44,,Defensive rebound by O. Asik
11:20.0,,,51-44,,A. Davis misses 2-pt shot from 6 ft
11:19.0,,,51-44,,Offensive rebound by A. Davis
11:06.0,,,51-46,2,A. Davis makes 2-pt shot from 4 ft
10:55.0,Shooting foul by O. Asik (drawn by B. Lopez),,51-46,,
10:55.0,B. Lopez misses free throw 1 of 2,,51-46,,
10:55.0,Offensive rebound by Team,,51-46,,
10:55.0,B. Lopez makes free throw 2 of 2,1,52-46,,
10:40.0,,,52-48,2,A. Davis makes 2-pt shot from 19 ft (assist by N. Cole)
10:21.0,B. Lopez misses 2-pt shot from 19 ft,,52-48,,
10:19.0,,,52-48,,Defensive rebound by A. Davis
10:09.0,,,52-48,,N. Cole misses 2-pt shot from 19 ft
10:08.0,Defensive rebound by T. Young,,52-48,,
9:57.0,T. Young misses 2-pt shot from 1 ft,,52-48,,
9:56.0,Offensive rebound by T. Young,,52-48,,
9:55.0,T. Young makes 2-pt shot from 6 ft,2,54-48,,
9:33.0,,,54-50,2,A. Davis makes 2-pt shot from 16 ft
9:18.0,B. Lopez misses 2-pt shot from 5 ft,,54-50,,
9:18.0,,,54-50,,Defensive rebound by A. Davis
9:06.0,,,54-52,2,A. Davis makes 2-pt shot from 17 ft
8:43.0,B. Lopez makes 2-pt shot at rim (assist by T. Young),2,56-52,,
8:31.0,,,56-52,,Turnover by N. Cole (bad pass; steal by T. Young)
8:27.0,Shooting foul by B. Dejean-Jones (drawn by W. Ellington),,56-52,,
8:27.0,W. Ellington misses free throw 1 of 2,,56-52,,
8:27.0,Offensive rebound by Team,,56-52,,
8:27.0,W. Ellington makes free throw 2 of 2,1,57-52,,
8:03.0,,,57-54,2,N. Cole makes 2-pt shot from 12 ft (assist by A. Davis)
8:02.0,,,57-54,,Violation by Team (delay of game)
7:54.0,,,57-54,,Personal foul by N. Cole (drawn by D. Sloan)
7:45.0,B. Lopez makes 2-pt shot from 7 ft,2,59-54,,
7:38.0,,,59-54,,A. Davis misses 2-pt shot from 14 ft
7:37.0,Defensive rebound by W. Ellington,,59-54,,
7:31.0,W. Ellington misses 2-pt shot from 16 ft,,59-54,,
7:29.0,,,59-54,,Defensive rebound by A. Davis
7:20.0,,,59-56,2,N. Cole makes 2-pt shot at rim
7:06.0,T. Young misses 2-pt shot from 8 ft,,59-56,,
7:04.0,,,59-56,,Defensive rebound by O. Asik
7:00.0,,,59-58,2,A. Gee makes 2-pt shot at rim (assist by N. Cole)
7:00.0,Brooklyn full timeout,,59-58,,
6:36.0,B. Lopez misses 2-pt shot from 15 ft,,59-58,,
6:36.0,,,59-58,,Defensive rebound by O. Asik
6:19.0,,,59-60,2,A. Davis makes 2-pt shot from 7 ft (assist by N. Cole)
5:56.0,J. Johnson misses 3-pt shot from 28 ft,,59-60,,
5:55.0,,,59-60,,Defensive rebound by O. Asik
5:45.0,,,59-62,2,O. Asik makes 2-pt shot at rim (assist by N. Cole)
5:32.0,D. Sloan misses 2-pt shot from 7 ft,,59-62,,
5:32.0,Offensive rebound by Team,,59-62,,
5:32.0,T. Robinson enters the game for J. Johnson,,59-62,,
5:32.0,S. Larkin enters the game for T. Young,,59-62,,
5:32.0,B. Bogdanovic enters the game for D. Sloan,,59-62,,
5:21.0,T. Robinson misses 2-pt shot from 12 ft,,59-62,,
5:19.0,,,59-62,,Defensive rebound by B. Dejean-Jones
5:12.0,Personal foul by T. Robinson (drawn by A. Davis),,59-62,,
4:56.0,,,59-62,,N. Cole misses 2-pt shot from 22 ft
4:56.0,Defensive rebound by T. Robinson,,59-62,,
4:43.0,B. Lopez makes 2-pt shot from 1 ft (assist by S. Larkin),2,61-62,,
4:23.0,,,61-62,,A. Davis misses 2-pt shot from 16 ft
4:22.0,,,61-62,,Offensive rebound by B. Dejean-Jones
4:21.0,,,61-62,,B. Dejean-Jones misses 2-pt shot from 2 ft
4:20.0,,,61-62,,Offensive rebound by A. Davis
4:20.0,,,61-64,2,A. Davis makes 2-pt shot from 1 ft
3:58.0,B. Lopez misses 2-pt shot from 12 ft,,61-64,,
3:57.0,,,61-64,,Defensive rebound by B. Dejean-Jones
3:39.0,,,61-64,,A. Davis misses 2-pt shot from 8 ft
3:38.0,,,61-64,,Offensive rebound by A. Davis
3:35.0,,,61-64,,Turnover by A. Davis (lost ball; steal by B. Lopez)
3:29.0,B. Lopez misses 2-pt shot from 7 ft,,61-64,,
3:28.0,,,61-64,,Defensive rebound by Team
3:28.0,Loose ball foul by B. Lopez (drawn by B. Dejean-Jones),,61-64,,
3:28.0,,,61-64,,J. Holiday enters the game for B. Dejean-Jones
3:18.0,,,61-64,,Turnover by J. Holiday (traveling)
3:04.0,,,61-64,,R. Anderson enters the game for A. Davis
2:53.0,S. Larkin makes 2-pt shot from 2 ft,2,63-64,,
2:39.0,,,63-64,,N. Cole misses 2-pt shot from 21 ft
2:39.0,,,63-64,,Offensive rebound by Team
2:39.0,Loose ball foul by S. Larkin (drawn by O. Asik),,63-64,,
2:39.0,,,63-64,,New Orleans full timeout
2:39.0,M. Brown enters the game for B. Lopez,,63-64,,
2:39.0,A. Bargnani enters the game for W. Ellington,,63-64,,
2:39.0,,,63-64,,T. Douglas enters the game for N. Cole
2:28.0,,,63-64,,R. Anderson misses 3-pt shot from 27 ft
2:28.0,Defensive rebound by B. Bogdanovic,,63-64,,
2:14.0,T. Robinson misses 2-pt shot from 1 ft,,63-64,,
2:13.0,,,63-64,,Defensive rebound by R. Anderson
2:04.0,,,63-64,,R. Anderson misses 2-pt shot from 17 ft
2:03.0,Defensive rebound by T. Robinson,,63-64,,
1:44.0,M. Brown misses 2-pt shot from 1 ft,,63-64,,
1:43.0,,,63-64,,Defensive rebound by O. Asik
1:39.0,,,63-64,,A. Davis enters the game for O. Asik
1:31.0,,,63-66,2,J. Holiday makes 2-pt shot from 1 ft
1:17.0,Turnover by S. Larkin (bad pass; steal by T. Douglas),,63-66,,
1:11.0,,,63-69,3,R. Anderson makes 3-pt shot from 26 ft (assist by T. Douglas)
1:08.0,Brooklyn full timeout,,63-69,,
0:50.0,S. Larkin misses 3-pt shot from 26 ft,,63-69,,
0:47.0,Offensive rebound by T. Robinson,,63-69,,
0:39.0,B. Bogdanovic makes 3-pt shot from 24 ft (assist by A. Bargnani),3,66-69,,
0:27.0,,,66-71,2,J. Holiday makes 2-pt shot from 1 ft
0:02.0,M. Brown misses 2-pt shot from 1 ft,,66-71,,
0:02.0,Offensive rebound by T. Robinson,,66-71,,
0:02.0,T. Robinson misses 2-pt shot from 2 ft,,66-71,,
0:01.0,,,66-71,,Defensive rebound by A. Davis
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,,,66-73,2,J. Holiday makes 2-pt shot from 16 ft (assist by R. Anderson)
11:21.0,S. Larkin makes 2-pt shot from 2 ft,2,68-73,,
11:13.0,,,68-73,,T. Douglas misses 3-pt shot from 24 ft
11:12.0,Defensive rebound by S. Larkin,,68-73,,
11:04.0,,,68-73,,Personal foul by A. Davis (drawn by T. Robinson)
11:04.0,B. Lopez enters the game for T. Robinson,,68-73,,
11:04.0,J. Johnson enters the game for M. Brown,,68-73,,
10:56.0,B. Lopez makes 2-pt shot from 2 ft (assist by S. Larkin),2,70-73,,
10:56.0,Shooting foul by R. Anderson (drawn by B. Lopez),,70-73,,
10:56.0,B. Lopez makes free throw 1 of 1,1,71-73,,
10:43.0,,,71-75,2,J. Holiday makes 2-pt shot from 2 ft
10:32.0,B. Lopez makes 2-pt shot from 13 ft,2,73-75,,
10:32.0,Shooting foul by R. Anderson (drawn by B. Lopez),,73-75,,
10:32.0,,,73-75,,O. Asik enters the game for A. Davis
10:32.0,B. Lopez makes free throw 1 of 1,1,74-75,,
10:23.0,,,74-78,3,J. Holiday makes 3-pt shot from 24 ft (assist by R. Anderson)
10:11.0,Shooting foul by O. Asik (drawn by B. Lopez),,74-78,,
10:11.0,B. Lopez makes free throw 1 of 2,1,75-78,,
10:11.0,B. Lopez makes free throw 2 of 2,1,76-78,,
9:56.0,,,76-78,,B. Dejean-Jones misses 3-pt shot from 26 ft
9:55.0,Defensive rebound by A. Bargnani,,76-78,,
9:41.0,B. Bogdanovic misses 3-pt shot from 23 ft,,76-78,,
9:39.0,,,76-78,,Defensive rebound by O. Asik
9:23.0,,,76-78,,T. Douglas misses 2-pt shot from 4 ft
9:22.0,,,76-78,,Offensive rebound by O. Asik
9:21.0,T. Young enters the game for A. Bargnani,,76-78,,
9:21.0,Jump ball: O. Asik vs. B. Lopez,,,,Jump ball: O. Asik vs. B. Lopez
9:21.0,,,76-78,,Turnover by O. Asik (lost ball; steal by B. Lopez)
9:00.0,J. Johnson makes 2-pt shot from 11 ft,2,78-78,,
8:52.0,,,78-78,,T. Douglas misses 2-pt shot at rim (block by B. Lopez)
8:50.0,,,78-78,,Offensive rebound by O. Asik
8:49.0,,,78-78,,O. Asik misses 2-pt shot from 1 ft
8:48.0,Defensive rebound by B. Lopez,,78-78,,
8:43.0,Turnover by S. Larkin (traveling),,78-78,,
8:43.0,Official timeout,,78-78,,
8:43.0,,,78-78,,A. Davis enters the game for O. Asik
8:43.0,,,78-78,,A. Gee enters the game for T. Douglas
8:31.0,,,78-80,2,J. Holiday makes 2-pt shot from 7 ft
8:12.0,,,78-80,,Personal foul by A. Gee (drawn by B. Lopez)
8:12.0,B. Lopez misses free throw 1 of 2,,78-80,,
8:12.0,Offensive rebound by Team,,78-80,,
8:12.0,B. Lopez makes free throw 2 of 2,1,79-80,,
8:00.0,,,79-82,2,A. Davis makes 2-pt shot at rim (assist by J. Holiday)
7:42.0,,,79-82,,Violation by J. Holiday (def goaltending)
7:42.0,S. Larkin makes 2-pt shot from 2 ft,2,81-82,,
7:34.0,,,81-82,,J. Holiday misses 3-pt shot from 24 ft
7:33.0,,,81-82,,Offensive rebound by R. Anderson
7:33.0,,,81-84,2,R. Anderson makes 2-pt shot from 1 ft
7:19.0,J. Johnson misses 3-pt shot from 26 ft,,81-84,,
7:19.0,,,81-84,,Defensive rebound by Team
7:11.0,Personal foul by S. Larkin (drawn by J. Holiday),,81-84,,
7:01.0,,,81-87,3,R. Anderson makes 3-pt shot from 24 ft (assist by J. Holiday)
7:00.0,Brooklyn full timeout,,81-87,,
7:00.0,W. Ellington enters the game for B. Bogdanovic,,81-87,,
6:42.0,J. Johnson makes 2-pt shot from 7 ft,2,83-87,,
6:30.0,,,83-89,2,A. Davis makes 2-pt shot at rim (assist by J. Holiday)
6:05.0,Turnover by T. Young (bad pass; steal by R. Anderson),,83-89,,
5:49.0,,,83-89,,R. Anderson misses 2-pt shot from 18 ft
5:48.0,Defensive rebound by T. Young,,83-89,,
5:39.0,Turnover by S. Larkin (bad pass; steal by A. Gee),,83-89,,
5:35.0,,,83-89,,Turnover by B. Dejean-Jones (traveling)
5:12.0,W. Ellington makes 3-pt shot from 24 ft (assist by J. Johnson),3,86-89,,
4:54.0,,,86-89,,J. Holiday misses 3-pt shot from 25 ft
4:53.0,Defensive rebound by T. Young,,86-89,,
4:44.0,B. Lopez makes 2-pt shot from 4 ft (assist by J. Johnson),2,88-89,,
4:28.0,,,88-89,,J. Holiday misses 2-pt shot from 4 ft
4:28.0,Defensive rebound by B. Lopez,,88-89,,
4:25.0,Turnover by S. Larkin (discontinued dribble),,88-89,,
4:13.0,,,88-89,,J. Holiday misses 2-pt shot from 3 ft (block by B. Lopez)
4:11.0,,,88-89,,Offensive rebound by A. Davis
4:06.0,,,88-92,3,R. Anderson makes 3-pt shot from 25 ft (assist by A. Gee)
4:05.0,Brooklyn full timeout,,88-92,,
4:05.0,D. Sloan enters the game for S. Larkin,,88-92,,
3:52.0,,,88-92,,Personal foul by B. Dejean-Jones (drawn by D. Sloan)
3:52.0,D. Sloan makes free throw 1 of 2,1,89-92,,
3:52.0,D. Sloan makes free throw 2 of 2,1,90-92,,
3:39.0,,,90-92,,J. Holiday misses 2-pt shot from 1 ft
3:39.0,,,90-92,,Offensive rebound by A. Davis
3:39.0,,,90-92,,Shooting foul by W. Ellington (drawn by A. Davis)
3:39.0,,,90-93,1,A. Davis makes free throw 1 of 2
3:39.0,,,90-93,,N. Cole enters the game for B. Dejean-Jones
3:39.0,,,90-93,,A. Davis misses free throw 2 of 2
3:38.0,Defensive rebound by B. Lopez,,90-93,,
3:16.0,J. Johnson misses 3-pt shot from 26 ft,,90-93,,
3:14.0,,,90-93,,Defensive rebound by A. Davis
3:02.0,,,90-93,,Turnover by J. Holiday (traveling)
2:43.0,T. Young makes 2-pt shot from 2 ft,2,92-93,,
2:23.0,,,92-96,3,A. Davis makes 3-pt shot from 25 ft (assist by R. Anderson)
2:00.0,T. Young makes 2-pt shot from 2 ft,2,94-96,,
1:53.0,,,94-96,,New Orleans full timeout
