time,Sacramento,pts.away,score,pts.home,Philadelphia
9:06.0,D. Cousins enters the game for W. Cauley-Stein,,28-36,,
8:49.0,,,28-36,,I. Canaan misses 2-pt shot from 4 ft (block by R. Gay)
8:47.0,,,28-36,,Offensive rebound by J. Grant
8:45.0,,,28-36,,H. Thompson misses 3-pt shot from 26 ft
8:43.0,Defensive rebound by R. Gay,,28-36,,
8:40.0,D. Collison makes 2-pt shot from 2 ft (assist by R. Gay),2,30-36,,
8:23.0,,,30-36,,H. Thompson misses 3-pt shot from 25 ft
8:22.0,Defensive rebound by M. Belinelli,,30-36,,
8:08.0,D. Cousins makes 2-pt shot from 3 ft (assist by D. Collison),2,32-36,,
7:55.0,,,32-36,,Shooting foul by K. Koufos (drawn by J. Okafor)
7:55.0,,,32-37,1,J. Okafor makes free throw 1 of 2
7:55.0,,,32-37,,N. Stauskas enters the game for I. Canaan
7:55.0,,,32-37,,R. Covington enters the game for H. Thompson
7:55.0,,,32-37,,R. Holmes enters the game for J. Grant
7:55.0,,,32-38,1,J. Okafor makes free throw 2 of 2
7:43.0,D. Collison makes 2-pt shot at rim (assist by D. Cousins),2,34-38,,
7:26.0,,,34-38,,J. Okafor misses 2-pt shot from 6 ft
7:24.0,Defensive rebound by D. Cousins,,34-38,,
7:12.0,R. Gay makes 2-pt shot from 8 ft,2,36-38,,
6:51.0,,,36-38,,T. McConnell misses 3-pt shot from 24 ft
6:51.0,Defensive rebound by Team,,36-38,,
6:38.0,Turnover by D. Cousins (lost ball; steal by R. Holmes),,36-38,,
6:33.0,,,36-38,,R. Covington misses 2-pt shot from 2 ft
6:32.0,Defensive rebound by Team,,36-38,,
6:32.0,,,36-38,,I. Smith enters the game for T. McConnell
6:23.0,D. Collison misses 2-pt shot from 5 ft (block by J. Okafor),,36-38,,
6:22.0,Offensive rebound by Team,,36-38,,
6:17.0,Shooting foul by R. Covington (drawn by D. Cousins),,36-38,,
6:17.0,D. Cousins makes free throw 1 of 2,1,37-38,,
6:17.0,D. Cousins makes free throw 2 of 2,1,38-38,,
6:04.0,,,38-40,2,J. Okafor makes 2-pt shot from 4 ft
5:52.0,Shooting foul by R. Holmes (drawn by D. Cousins),,38-40,,
5:52.0,Official timeout,,38-40,,
5:52.0,O. Casspi enters the game for M. Belinelli,,38-40,,
5:52.0,R. Rondo enters the game for K. Koufos,,38-40,,
5:52.0,,,38-40,,C. Landry enters the game for R. Holmes
5:52.0,D. Cousins misses free throw 1 of 2,,38-40,,
5:52.0,Offensive rebound by Team,,38-40,,
5:52.0,D. Cousins makes free throw 2 of 2,1,39-40,,
5:41.0,,,39-42,2,N. Stauskas makes 2-pt shot from 2 ft (assist by I. Smith)
5:33.0,D. Cousins makes 2-pt shot from 1 ft (assist by R. Rondo),2,41-42,,
5:11.0,,,41-45,3,R. Covington makes 3-pt shot from 23 ft (assist by I. Smith)
5:05.0,Shooting foul by C. Landry (drawn by D. Cousins),,41-45,,
5:05.0,D. Cousins makes free throw 1 of 2,1,42-45,,
5:05.0,D. Cousins misses free throw 2 of 2,,42-45,,
5:04.0,,,42-45,,Defensive rebound by J. Okafor
4:53.0,,,42-48,3,R. Covington makes 3-pt shot from 23 ft (assist by N. Stauskas)
4:47.0,D. Collison misses 2-pt shot at rim,,42-48,,
4:46.0,,,42-48,,Defensive rebound by J. Okafor
4:27.0,,,42-50,2,C. Landry makes 2-pt shot from 1 ft (assist by I. Smith)
4:16.0,R. Rondo misses 2-pt shot from 2 ft (block by J. Okafor),,42-50,,
4:15.0,Offensive rebound by D. Cousins,,42-50,,
4:15.0,Shooting foul by I. Smith (drawn by D. Cousins),,42-50,,
4:15.0,D. Cousins makes free throw 1 of 2,1,43-50,,
4:15.0,D. Cousins misses free throw 2 of 2,,43-50,,
4:14.0,,,43-50,,Defensive rebound by C. Landry
4:01.0,,,43-50,,C. Landry misses 2-pt shot from 20 ft
4:00.0,Defensive rebound by O. Casspi,,43-50,,
3:53.0,Shooting foul by J. Okafor (drawn by D. Cousins),,43-50,,
3:53.0,D. Cousins misses free throw 1 of 2,,43-50,,
3:53.0,Offensive rebound by Team,,43-50,,
3:53.0,M. Belinelli enters the game for D. Collison,,43-50,,
3:53.0,D. Cousins makes free throw 2 of 2,1,44-50,,
3:39.0,,,44-50,,J. Okafor misses 2-pt shot from 13 ft
3:38.0,,,44-50,,Offensive rebound by R. Covington
3:37.0,,,44-50,,R. Covington misses 2-pt shot from 3 ft
3:35.0,,,44-50,,Offensive rebound by C. Landry
3:35.0,,,44-50,,C. Landry misses 2-pt shot from 1 ft (block by R. Gay)
3:35.0,,,44-50,,Offensive rebound by Team
3:35.0,W. Cauley-Stein enters the game for O. Casspi,,44-50,,
3:25.0,,,44-52,2,J. Okafor makes 2-pt shot from 1 ft
3:13.0,Turnover by R. Gay (bad pass; steal by R. Covington),,44-52,,
3:06.0,,,44-52,,Offensive charge foul by J. Okafor
3:06.0,,,44-52,,Turnover by J. Okafor (offensive foul)
2:48.0,D. Cousins misses 2-pt shot at rim,,44-52,,
2:46.0,,,44-52,,Defensive rebound by I. Smith
2:39.0,,,44-54,2,J. Okafor makes 2-pt shot from 1 ft (assist by R. Covington)
2:39.0,,,44-54,,Shooting foul by R. Gay (drawn by J. Okafor)
2:39.0,Sacramento full timeout,,44-54,,
2:39.0,,,44-55,1,J. Okafor makes free throw 1 of 1
2:21.0,M. Belinelli misses 3-pt shot from 25 ft,,44-55,,
2:20.0,Offensive rebound by R. Gay,,44-55,,
2:20.0,Turnover by R. Gay (step out of bounds),,44-55,,
2:00.0,,,44-57,2,I. Smith makes 2-pt shot from 19 ft (assist by C. Landry)
1:43.0,R. Gay misses 2-pt shot from 15 ft,,44-57,,
1:41.0,,,44-57,,Defensive rebound by R. Covington
1:32.0,,,44-60,3,R. Covington makes 3-pt shot from 26 ft (assist by I. Smith)
1:12.0,D. Cousins misses 2-pt shot from 1 ft,,44-60,,
1:10.0,,,44-60,,Defensive rebound by J. Okafor
1:00.0,,,44-60,,Turnover by C. Landry (lost ball)
1:00.0,,,44-60,,J. Grant enters the game for J. Okafor
0:53.0,M. Belinelli makes 2-pt shot from 16 ft (assist by R. Rondo),2,46-60,,
0:44.0,,,46-60,,R. Covington misses 3-pt shot from 26 ft
0:43.0,,,46-60,,Offensive rebound by C. Landry
0:35.0,,,46-60,,R. Covington misses 2-pt shot from 1 ft
0:33.0,Defensive rebound by D. Cousins,,46-60,,
0:28.0,M. Belinelli misses 3-pt shot from 23 ft,,46-60,,
0:26.0,Offensive rebound by W. Cauley-Stein,,46-60,,
0:06.0,R. Gay makes 2-pt shot at rim (assist by R. Rondo),2,48-60,,
0:06.0,,,48-60,,Philadelphia full timeout
0:06.0,J. Anderson enters the game for R. Gay,,48-60,,
0:06.0,D. Collison enters the game for M. Belinelli,,48-60,,
0:01.0,,,48-63,3,N. Stauskas makes 3-pt shot from 31 ft
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,,,48-63,,Turnover by R. Covington (bad pass; steal by J. Anderson)
11:31.0,D. Cousins makes 2-pt shot from 18 ft (assist by R. Rondo),2,50-63,,
11:14.0,,,50-63,,J. Okafor misses 2-pt shot from 12 ft
11:12.0,Defensive rebound by Q. Acy,,50-63,,
11:06.0,R. Gay misses 2-pt shot from 2 ft (block by J. Grant),,50-63,,
11:03.0,,,50-63,,Defensive rebound by I. Smith
10:57.0,,,50-63,,J. Grant misses 3-pt shot from 23 ft
10:56.0,Defensive rebound by R. Rondo,,50-63,,
10:44.0,R. Gay makes 2-pt shot at rim (assist by D. Cousins),2,52-63,,
10:26.0,,,52-63,,Shooting foul by D. Cousins (drawn by R. Covington)
10:26.0,,,52-64,1,R. Covington makes free throw 1 of 2
10:26.0,,,52-65,1,R. Covington makes free throw 2 of 2
10:11.0,R. Rondo misses 2-pt shot from 2 ft,,52-65,,
10:09.0,,,52-65,,Defensive rebound by R. Covington
9:53.0,,,52-68,3,R. Covington makes 3-pt shot from 26 ft (assist by J. Okafor)
9:33.0,Turnover by Q. Acy (bad pass; steal by R. Covington),,52-68,,
9:29.0,,,52-68,,Turnover by R. Covington (traveling)
9:11.0,D. Cousins misses 2-pt shot from 1 ft,,52-68,,
9:09.0,Offensive rebound by Q. Acy,,52-68,,
9:07.0,Q. Acy makes 2-pt shot from 1 ft,2,54-68,,
8:57.0,,,54-68,,J. Grant misses 3-pt shot from 26 ft
8:55.0,Defensive rebound by J. Anderson,,54-68,,
8:47.0,D. Cousins misses 3-pt shot from 27 ft,,54-68,,
8:44.0,Offensive rebound by Q. Acy,,54-68,,
8:44.0,Q. Acy makes 2-pt shot from 1 ft,2,56-68,,
8:29.0,,,56-68,,Turnover by J. Okafor (lost ball; steal by D. Cousins)
8:23.0,J. Anderson misses 3-pt shot from 24 ft,,56-68,,
8:21.0,,,56-68,,Defensive rebound by J. Okafor
8:09.0,,,56-70,2,N. Stauskas makes 2-pt shot from 20 ft
7:40.0,R. Gay misses 3-pt shot from 25 ft,,56-70,,
7:38.0,,,56-70,,Defensive rebound by N. Stauskas
7:32.0,,,56-73,3,N. Stauskas makes 3-pt shot from 27 ft (assist by I. Smith)
7:14.0,D. Cousins makes 2-pt shot from 1 ft (assist by R. Rondo),2,58-73,,
7:14.0,Shooting foul by J. Okafor (drawn by D. Cousins),,58-73,,
7:14.0,D. Collison enters the game for J. Anderson,,58-73,,
7:14.0,D. Cousins makes free throw 1 of 1,1,59-73,,
7:04.0,Personal foul by D. Cousins (drawn by J. Okafor),,59-73,,
7:04.0,,,59-73,,H. Thompson enters the game for R. Covington
6:51.0,,,59-73,,I. Smith misses 2-pt shot from 4 ft
6:49.0,Defensive rebound by D. Collison,,59-73,,
6:44.0,Turnover by R. Rondo (bad pass),,59-73,,
6:28.0,,,59-73,,Turnover by J. Okafor (bad pass)
6:28.0,,,59-73,,R. Holmes enters the game for J. Grant
6:20.0,,,59-73,,Violation by I. Smith (kicked ball)
6:09.0,R. Rondo makes 2-pt shot from 9 ft,2,61-73,,
6:09.0,,,61-73,,Philadelphia full timeout
5:53.0,,,61-73,,Turnover by R. Holmes (bad pass)
5:40.0,D. Cousins misses 2-pt shot from 9 ft,,61-73,,
5:38.0,Offensive rebound by D. Cousins,,61-73,,
5:37.0,D. Cousins misses 2-pt shot from 3 ft (block by R. Holmes),,61-73,,
5:36.0,Offensive rebound by D. Cousins,,61-73,,
5:35.0,D. Cousins misses 2-pt shot from 5 ft,,61-73,,
5:34.0,,,61-73,,Defensive rebound by J. Okafor
5:26.0,,,61-75,2,J. Okafor makes 2-pt shot from 2 ft (assist by N. Stauskas)
5:18.0,R. Gay misses 2-pt shot from 4 ft (block by R. Holmes),,61-75,,
5:18.0,Offensive rebound by Team,,61-75,,
5:18.0,,,61-75,,I. Canaan enters the game for N. Stauskas
5:13.0,D. Cousins makes 2-pt shot from 2 ft (assist by R. Rondo),2,63-75,,
4:58.0,,,63-75,,H. Thompson misses 3-pt shot from 26 ft
4:56.0,Defensive rebound by D. Collison,,63-75,,
4:54.0,Shooting foul by I. Canaan (drawn by D. Collison),,63-75,,
4:54.0,D. Collison makes free throw 1 of 2,1,64-75,,
4:54.0,D. Collison makes free throw 2 of 2,1,65-75,,
4:31.0,,,65-75,,Turnover by J. Okafor (lost ball; steal by D. Cousins)
4:27.0,R. Rondo makes 2-pt shot from 2 ft,2,67-75,,
4:01.0,,,67-75,,Turnover by R. Holmes (bad pass)
4:01.0,O. Casspi enters the game for R. Gay,,67-75,,
3:48.0,Turnover by R. Rondo (traveling),,67-75,,
3:48.0,,,67-75,,T. McConnell enters the game for I. Smith
3:48.0,,,67-75,,J. Grant enters the game for J. Okafor
3:39.0,Personal foul by Q. Acy (drawn by J. Grant),,67-75,,
3:31.0,,,67-75,,J. Grant misses 2-pt shot from 3 ft
3:29.0,,,67-75,,Offensive rebound by J. Grant
3:29.0,Personal foul by Q. Acy (drawn by J. Grant),,67-75,,
3:11.0,Personal foul by D. Cousins (drawn by J. Grant),,67-75,,
3:11.0,,,67-76,1,J. Grant makes free throw 1 of 2
3:11.0,M. Belinelli enters the game for R. Rondo,,67-76,,
3:11.0,K. Koufos enters the game for D. Cousins,,67-76,,
3:11.0,,,67-77,1,J. Grant makes free throw 2 of 2
3:02.0,,,67-77,,Personal foul by I. Canaan (drawn by D. Collison)
2:48.0,Q. Acy misses 3-pt shot from 26 ft,,67-77,,
2:46.0,,,67-77,,Defensive rebound by H. Thompson
2:29.0,,,67-80,3,I. Canaan makes 3-pt shot from 25 ft (assist by J. Grant)
2:14.0,O. Casspi misses 2-pt shot from 4 ft (block by R. Holmes),,67-80,,
2:11.0,Offensive rebound by O. Casspi,,67-80,,
2:09.0,M. Belinelli misses 3-pt shot from 25 ft,,67-80,,
2:08.0,,,67-80,,Defensive rebound by H. Thompson
2:01.0,,,67-80,,Turnover by J. Grant (lost ball)
2:01.0,Sacramento full timeout,,67-80,,
2:01.0,W. Cauley-Stein enters the game for Q. Acy,,67-80,,
1:47.0,O. Casspi makes 2-pt shot from 1 ft (assist by K. Koufos),2,69-80,,
1:24.0,,,69-82,2,T. McConnell makes 2-pt shot from 10 ft
1:00.0,D. Collison makes 2-pt shot from 15 ft,2,71-82,,
0:49.0,,,71-84,2,R. Holmes makes 2-pt shot at rim (assist by T. McConnell)
0:41.0,D. Collison makes 2-pt shot from 1 ft (assist by O. Casspi),2,73-84,,
0:27.0,,,73-87,3,H. Thompson makes 3-pt shot from 22 ft (assist by J. Grant)
0:09.0,D. Collison makes 2-pt shot from 17 ft,2,75-87,,
0:01.0,,,75-87,,I. Canaan misses 3-pt shot from 25 ft
0:00.0,,,75-87,,Offensive rebound by T. McConnell
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:39.0,R. Gay makes 2-pt shot from 9 ft,2,77-87,,
11:26.0,,,77-87,,Turnover by J. Okafor (lost ball)
11:13.0,R. Gay misses 2-pt shot from 4 ft,,77-87,,
11:11.0,Offensive rebound by K. Koufos,,77-87,,
11:11.0,K. Koufos makes 2-pt shot from 1 ft,2,79-87,,
10:49.0,,,79-87,,Turnover by R. Covington (bad pass)
10:32.0,D. Collison makes 2-pt shot from 13 ft (assist by M. Belinelli),2,81-87,,
10:10.0,,,81-90,3,I. Canaan makes 3-pt shot from 23 ft (assist by T. McConnell)
10:06.0,Turnover by D. Collison (lost ball; steal by T. McConnell),,81-90,,
10:02.0,,,81-90,,T. McConnell misses 2-pt shot at rim
9:59.0,,,81-90,,Offensive rebound by T. McConnell
9:56.0,,,81-90,,H. Thompson misses 3-pt shot from 27 ft
9:55.0,,,81-90,,Offensive rebound by T. McConnell
9:45.0,,,81-90,,R. Covington misses 3-pt shot from 22 ft
9:43.0,,,81-90,,Offensive rebound by J. Okafor
9:43.0,,,81-92,2,J. Okafor makes 2-pt shot at rim
9:42.0,Sacramento full timeout,,81-92,,
9:42.0,D. Cousins enters the game for K. Koufos,,81-92,,
9:42.0,R. Rondo enters the game for M. Belinelli,,81-92,,
9:30.0,,,81-92,,Personal foul by R. Covington (drawn by R. Gay)
9:20.0,R. Gay misses 3-pt shot from 24 ft,,81-92,,
9:18.0,,,81-92,,Defensive rebound by J. Okafor
9:00.0,,,81-92,,I. Canaan misses 3-pt shot from 26 ft
8:58.0,Defensive rebound by O. Casspi,,81-92,,
8:50.0,R. Gay makes 3-pt shot from 26 ft (assist by D. Collison),3,84-92,,
8:28.0,,,84-92,,T. McConnell misses 2-pt shot from 5 ft
8:27.0,Defensive rebound by D. Cousins,,84-92,,
8:22.0,R. Rondo misses 2-pt shot from 11 ft,,84-92,,
8:21.0,Offensive rebound by Team,,84-92,,
8:21.0,,,84-92,,N. Stauskas enters the game for I. Canaan
8:16.0,D. Collison makes 3-pt shot from 25 ft (assist by R. Rondo),3,87-92,,
8:14.0,,,87-92,,Philadelphia full timeout
8:02.0,,,87-92,,R. Covington misses 3-pt shot from 23 ft
8:00.0,Defensive rebound by D. Cousins,,87-92,,
7:39.0,D. Cousins makes 2-pt shot from 2 ft (assist by R. Rondo),2,89-92,,
7:24.0,,,89-94,2,J. Okafor makes 2-pt shot at rim (assist by N. Stauskas)
7:18.0,,,89-94,,Shooting block foul by T. McConnell (drawn by D. Collison)
7:18.0,D. Collison makes free throw 1 of 2,1,90-94,,
7:18.0,,,90-94,,I. Smith enters the game for T. McConnell
7:18.0,,,90-94,,J. Grant enters the game for H. Thompson
7:18.0,D. Collison misses free throw 2 of 2,,90-94,,
7:17.0,,,90-94,,Defensive rebound by J. Grant
7:02.0,Personal foul by R. Gay (drawn by J. Grant),,90-94,,
6:49.0,,,90-94,,I. Smith misses 2-pt shot from 7 ft
6:48.0,,,90-94,,Offensive rebound by J. Okafor
6:47.0,,,90-96,2,J. Okafor makes 2-pt shot from 5 ft
6:37.0,,,90-96,,Shooting block foul by J. Okafor (drawn by D. Cousins)
6:37.0,D. Cousins misses free throw 1 of 2,,90-96,,
6:37.0,Offensive rebound by Team,,90-96,,
6:37.0,D. Cousins makes free throw 2 of 2,1,91-96,,
6:24.0,,,91-96,,J. Grant misses 2-pt shot from 2 ft
6:22.0,,,91-96,,Offensive rebound by J. Okafor
6:19.0,,,91-99,3,R. Covington makes 3-pt shot from 25 ft (assist by J. Okafor)
6:05.0,D. Cousins misses 2-pt shot from 4 ft,,91-99,,
6:03.0,Offensive rebound by D. Cousins,,91-99,,
6:03.0,D. Cousins makes 2-pt shot from 1 ft,2,93-99,,
5:40.0,,,93-99,,J. Okafor misses 2-pt shot from 4 ft
5:38.0,Defensive rebound by D. Cousins,,93-99,,
5:33.0,R. Gay makes 2-pt shot from 1 ft (assist by R. Rondo),2,95-99,,
5:14.0,,,95-102,3,R. Covington makes 3-pt shot from 25 ft (assist by I. Smith)
5:11.0,Sacramento full timeout,,95-102,,
5:11.0,Q. Acy enters the game for O. Casspi,,95-102,,
