time,Atlanta,pts.away,score,pts.home,Milwaukee
7:39.0,Turnover by A. Horford (step out of bounds),,11-10,,
7:39.0,T. Sefolosha enters the game for K. Bazemore,,11-10,,
7:23.0,,,11-10,,G. Antetokounmpo misses 2-pt shot from 4 ft
7:22.0,Defensive rebound by J. Teague,,11-10,,
7:16.0,A. Horford makes 2-pt shot from 1 ft (assist by K. Korver),2,13-10,,
6:58.0,,,13-10,,G. Monroe misses 2-pt shot from 2 ft (block by A. Horford)
6:57.0,,,13-10,,Offensive rebound by J. Parker
6:54.0,,,13-10,,Shooting foul by K. Korver (drawn by G. Monroe)
6:54.0,,,13-11,1,G. Monroe makes free throw 1 of 2
6:54.0,T. Splitter enters the game for A. Horford,,13-11,,
6:54.0,,,13-11,,G. Monroe misses free throw 2 of 2
6:53.0,Defensive rebound by P. Millsap,,13-11,,
6:43.0,J. Teague misses 2-pt shot from 18 ft,,13-11,,
6:42.0,,,13-11,,Defensive rebound by M. Carter-Williams
6:35.0,,,13-11,,G. Antetokounmpo misses 2-pt shot from 1 ft
6:34.0,Defensive rebound by P. Millsap,,13-11,,
6:27.0,K. Korver makes 3-pt shot from 24 ft (assist by P. Millsap),3,16-11,,
6:26.0,,,16-11,,Milwaukee full timeout
6:26.0,,,16-11,,J. Henson enters the game for G. Monroe
6:02.0,,,16-11,,J. Parker misses 2-pt shot from 6 ft
6:02.0,,,16-11,,Offensive rebound by Team
6:02.0,,,16-11,,Turnover by Team (shot clock)
5:55.0,,,16-11,,Violation by M. Carter-Williams (kicked ball)
5:49.0,P. Millsap misses 2-pt shot at rim,,16-11,,
5:46.0,,,16-11,,Defensive rebound by J. Parker
5:38.0,,,16-13,2,K. Middleton makes 2-pt shot from 14 ft (assist by M. Carter-Williams)
5:31.0,T. Sefolosha misses 2-pt shot from 2 ft (block by G. Antetokounmpo),,16-13,,
5:29.0,Offensive rebound by T. Splitter,,16-13,,
5:27.0,T. Splitter misses 2-pt shot at rim (block by J. Henson),,16-13,,
5:24.0,,,16-13,,Defensive rebound by M. Carter-Williams
5:22.0,,,16-13,,J. Parker misses 2-pt shot at rim
5:18.0,Defensive rebound by P. Millsap,,16-13,,
4:58.0,P. Millsap misses 3-pt shot from 23 ft,,16-13,,
4:57.0,,,16-13,,Defensive rebound by M. Carter-Williams
4:49.0,,,16-13,,K. Middleton misses 3-pt shot from 27 ft
4:48.0,,,16-13,,Offensive rebound by G. Antetokounmpo
4:45.0,,,16-13,,G. Antetokounmpo misses 2-pt shot from 1 ft (block by T. Sefolosha)
4:43.0,Defensive rebound by K. Korver,,16-13,,
4:30.0,T. Splitter misses 2-pt shot from 1 ft,,16-13,,
4:28.0,,,16-13,,Defensive rebound by J. Henson
4:18.0,,,16-13,,Turnover by M. Carter-Williams (bad pass)
4:18.0,,,16-13,,J. O'Bryant enters the game for G. Antetokounmpo
4:18.0,D. Schroder enters the game for K. Korver,,16-13,,
4:18.0,K. Bazemore enters the game for J. Teague,,16-13,,
4:07.0,,,16-13,,Shooting block foul by J. O'Bryant (drawn by P. Millsap)
4:07.0,P. Millsap makes free throw 1 of 2,1,17-13,,
4:07.0,P. Millsap makes free throw 2 of 2,1,18-13,,
4:03.0,,,18-13,,Turnover by M. Carter-Williams (lost ball)
3:49.0,P. Millsap makes 2-pt shot at rim,2,20-13,,
3:27.0,,,20-15,2,J. Henson makes 2-pt shot from 3 ft (assist by J. O'Bryant)
3:18.0,P. Millsap misses 2-pt shot from 17 ft,,20-15,,
3:17.0,,,20-15,,Defensive rebound by J. Parker
3:13.0,,,20-15,,Shooting foul by P. Millsap (drawn by J. Henson)
3:13.0,,,20-15,,J. Henson misses free throw 1 of 2
3:13.0,,,20-15,,Offensive rebound by Team
3:13.0,,,20-15,,T. Ennis enters the game for M. Carter-Williams
3:13.0,Atlanta full timeout,,20-15,,
3:13.0,A. Horford enters the game for P. Millsap,,20-15,,
3:13.0,,,20-16,1,J. Henson makes free throw 2 of 2
2:52.0,Offensive foul by K. Bazemore,,20-16,,
2:52.0,Turnover by K. Bazemore (offensive foul),,20-16,,
2:52.0,K. Korver enters the game for K. Bazemore,,20-16,,
2:37.0,,,20-16,,Shooting foul by K. Korver (drawn by K. Middleton)
2:37.0,,,20-18,2,K. Middleton makes 2-pt shot from 20 ft
2:37.0,M. Scott enters the game for T. Splitter,,20-18,,
2:37.0,,,20-18,,K. Middleton misses free throw 1 of 1
2:32.0,Defensive rebound by T. Sefolosha,,20-18,,
2:26.0,Turnover by A. Horford (lost ball; steal by K. Middleton),,20-18,,
2:22.0,,,20-20,2,K. Middleton makes 2-pt shot at rim (assist by J. Parker)
1:54.0,A. Horford misses 2-pt shot from 17 ft,,20-20,,
1:53.0,Offensive rebound by T. Sefolosha,,20-20,,
1:49.0,D. Schroder makes 3-pt shot from 24 ft (assist by T. Sefolosha),3,23-20,,
1:36.0,,,23-22,2,K. Middleton makes 2-pt shot from 5 ft
1:21.0,A. Horford misses 2-pt shot from 3 ft,,23-22,,
1:21.0,Offensive rebound by Team,,23-22,,
1:21.0,,,23-22,,Loose ball foul by J. O'Bryant (drawn by T. Sefolosha)
1:21.0,T. Hardaway enters the game for K. Korver,,23-22,,
1:21.0,,,23-22,,G. Antetokounmpo enters the game for J. Parker
1:13.0,D. Schroder misses 2-pt shot from 1 ft,,23-22,,
1:11.0,,,23-22,,Defensive rebound by J. Henson
0:57.0,,,23-22,,K. Middleton misses 2-pt shot from 21 ft
0:56.0,,,23-22,,Offensive rebound by G. Antetokounmpo
0:49.0,,,23-22,,K. Middleton misses 3-pt shot from 27 ft
0:48.0,Defensive rebound by D. Schroder,,23-22,,
0:41.0,M. Scott makes 3-pt shot from 28 ft (assist by D. Schroder),3,26-22,,
0:20.0,,,26-22,,J. Henson misses 2-pt shot from 7 ft
0:19.0,Defensive rebound by D. Schroder,,26-22,,
0:02.0,D. Schroder makes 2-pt shot from 4 ft,2,28-22,,
0:00.0,,,28-22,,G. Antetokounmpo misses 3-pt shot from 69 ft
0:00.0,,,28-22,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,,,28-22,,G. Monroe misses 2-pt shot from 1 ft (block by T. Sefolosha)
11:42.0,,,28-22,,Offensive rebound by G. Monroe
11:42.0,,,28-22,,Shooting foul by T. Sefolosha (drawn by G. Monroe)
11:42.0,,,28-22,,G. Monroe misses free throw 1 of 2
11:42.0,,,28-22,,Offensive rebound by Team
11:42.0,,,28-23,1,G. Monroe makes free throw 2 of 2
11:26.0,D. Schroder misses 2-pt shot from 2 ft,,28-23,,
11:25.0,,,28-23,,Defensive rebound by G. Antetokounmpo
11:07.0,,,28-23,,G. Monroe misses 2-pt shot at rim (block by A. Horford)
11:03.0,,,28-23,,Offensive rebound by G. Monroe
11:02.0,,,28-25,2,G. Monroe makes 2-pt shot from 1 ft
10:56.0,D. Schroder makes 2-pt shot at rim,2,30-25,,
10:31.0,,,30-25,,Turnover by G. Monroe (lost ball; steal by T. Hardaway)
10:24.0,A. Horford misses 2-pt shot from 17 ft,,30-25,,
10:22.0,,,30-25,,Defensive rebound by G. Antetokounmpo
10:10.0,,,30-27,2,G. Monroe makes 2-pt shot at rim (assist by T. Ennis)
9:52.0,A. Horford makes 2-pt shot from 1 ft,2,32-27,,
9:29.0,,,32-29,2,G. Antetokounmpo makes 2-pt shot at rim (assist by G. Monroe)
9:16.0,,,32-29,,Personal foul by T. Ennis (drawn by D. Schroder)
9:16.0,,,32-29,,M. Carter-Williams enters the game for T. Ennis
9:16.0,K. Bazemore enters the game for T. Sefolosha,,32-29,,
9:09.0,Turnover by D. Schroder (traveling),,32-29,,
8:52.0,,,32-31,2,J. Henson makes 2-pt shot at rim (assist by G. Monroe)
8:33.0,T. Hardaway misses 3-pt shot from 27 ft,,32-31,,
8:32.0,,,32-31,,Defensive rebound by G. Monroe
8:18.0,,,32-31,,Turnover by J. Henson (3 sec)
8:18.0,Official timeout,,32-31,,
8:18.0,J. Teague enters the game for A. Horford,,32-31,,
8:18.0,P. Millsap enters the game for D. Schroder,,32-31,,
8:18.0,T. Splitter enters the game for M. Scott,,32-31,,
8:18.0,K. Korver enters the game for T. Hardaway,,32-31,,
8:08.0,P. Millsap misses 2-pt shot from 6 ft,,32-31,,
8:08.0,Offensive rebound by Team,,32-31,,
8:08.0,,,32-31,,Loose ball foul by M. Carter-Williams (drawn by T. Splitter)
8:04.0,,,32-31,,Personal block foul by J. Henson (drawn by K. Bazemore)
7:57.0,K. Bazemore misses 3-pt shot from 23 ft,,32-31,,
7:56.0,Offensive rebound by T. Splitter,,32-31,,
7:55.0,T. Splitter makes 2-pt shot at rim,2,34-31,,
7:39.0,,,34-31,,Turnover by J. Henson (traveling)
7:24.0,J. Teague misses 2-pt shot from 1 ft (block by J. Henson),,34-31,,
7:23.0,,,34-31,,Defensive rebound by Team
7:11.0,,,34-33,2,M. Carter-Williams makes 2-pt shot from 17 ft
7:11.0,,,34-33,,Shooting foul by J. Teague (drawn by M. Carter-Williams)
7:11.0,,,34-34,1,M. Carter-Williams makes free throw 1 of 1
6:56.0,K. Korver makes 3-pt shot from 25 ft (assist by J. Teague),3,37-34,,
6:46.0,,,37-34,,M. Carter-Williams misses 2-pt shot from 16 ft
6:45.0,Defensive rebound by P. Millsap,,37-34,,
6:36.0,K. Korver makes 2-pt shot from 22 ft (assist by P. Millsap),2,39-34,,
6:29.0,,,39-34,,Milwaukee full timeout
6:29.0,,,39-34,,J. Parker enters the game for J. Henson
6:29.0,,,39-34,,K. Middleton enters the game for R. Vaughn
6:10.0,,,39-36,2,G. Antetokounmpo makes 2-pt shot at rim (assist by M. Carter-Williams)
5:55.0,Turnover by J. Teague (bad pass; steal by M. Carter-Williams),,39-36,,
5:51.0,,,39-38,2,J. Parker makes 2-pt shot at rim
5:37.0,T. Splitter makes 2-pt shot at rim (assist by P. Millsap),2,41-38,,
5:27.0,Shooting block foul by K. Bazemore (drawn by G. Monroe),,41-38,,
5:27.0,,,41-38,,G. Monroe misses free throw 1 of 2
5:27.0,,,41-38,,Offensive rebound by Team
5:27.0,T. Sefolosha enters the game for K. Bazemore,,41-38,,
5:27.0,,,41-38,,G. Monroe misses free throw 2 of 2
5:26.0,Defensive rebound by P. Millsap,,41-38,,
5:14.0,J. Teague makes 3-pt shot from 25 ft,3,44-38,,
4:58.0,,,44-38,,Shooting foul by T. Splitter (drawn by G. Monroe)
4:58.0,,,44-39,1,G. Monroe makes free throw 1 of 2
4:58.0,,,44-40,1,G. Monroe makes free throw 2 of 2
4:34.0,P. Millsap misses 2-pt shot from 3 ft,,44-40,,
4:32.0,,,44-40,,Defensive rebound by M. Carter-Williams
4:25.0,,,44-40,,G. Antetokounmpo misses 2-pt shot from 2 ft
4:23.0,,,44-40,,Offensive rebound by G. Monroe
4:22.0,,,44-40,,G. Monroe misses 2-pt shot from 2 ft
4:20.0,Defensive rebound by P. Millsap,,44-40,,
4:15.0,P. Millsap makes 3-pt shot from 26 ft (assist by J. Teague),3,47-40,,
3:56.0,,,47-40,,G. Monroe misses 2-pt shot from 5 ft
3:54.0,Defensive rebound by P. Millsap,,47-40,,
3:50.0,T. Sefolosha makes 2-pt shot at rim (assist by P. Millsap),2,49-40,,
3:50.0,,,49-40,,Milwaukee full timeout
3:50.0,,,49-40,,J. Henson enters the game for G. Monroe
3:50.0,A. Horford enters the game for K. Korver,,49-40,,
3:34.0,,,49-40,,M. Carter-Williams misses 3-pt shot from 25 ft
3:33.0,Defensive rebound by T. Splitter,,49-40,,
3:12.0,P. Millsap misses 3-pt shot from 23 ft,,49-40,,
3:11.0,,,49-40,,Defensive rebound by K. Middleton
3:04.0,,,49-40,,K. Middleton misses 2-pt shot from 1 ft
3:02.0,Defensive rebound by T. Sefolosha,,49-40,,
3:00.0,Turnover by T. Sefolosha (lost ball; steal by M. Carter-Williams),,49-40,,
2:58.0,,,49-40,,M. Carter-Williams misses 2-pt shot from 1 ft
2:56.0,Defensive rebound by T. Splitter,,49-40,,
2:54.0,J. Teague misses 3-pt shot from 26 ft,,49-40,,
2:53.0,Offensive rebound by Team,,49-40,,
2:53.0,Atlanta full timeout,,49-40,,
2:53.0,K. Korver enters the game for T. Splitter,,49-40,,
2:50.0,J. Teague makes 2-pt shot from 1 ft (assist by P. Millsap),2,51-40,,
2:45.0,,,51-40,,Turnover by G. Antetokounmpo (bad pass; steal by J. Teague)
2:40.0,A. Horford misses 2-pt shot from 3 ft (block by J. Henson),,51-40,,
2:40.0,,,51-40,,Defensive rebound by Team
2:28.0,,,51-40,,Turnover by M. Carter-Williams (bad pass; steal by P. Millsap)
2:15.0,K. Korver misses 3-pt shot from 26 ft,,51-40,,
2:14.0,,,51-40,,Defensive rebound by G. Antetokounmpo
2:02.0,,,51-40,,M. Carter-Williams misses 2-pt shot from 3 ft
2:00.0,,,51-40,,Offensive rebound by G. Antetokounmpo
1:54.0,,,51-40,,J. Parker misses 3-pt shot from 23 ft
1:53.0,Defensive rebound by J. Teague,,51-40,,
1:47.0,J. Teague misses 2-pt shot from 3 ft (block by M. Carter-Williams),,51-40,,
1:43.0,,,51-40,,Defensive rebound by M. Carter-Williams
1:22.0,,,51-42,2,K. Middleton makes 2-pt shot from 15 ft
1:08.0,A. Horford misses 2-pt shot from 1 ft (block by J. Henson),,51-42,,
1:06.0,,,51-42,,Defensive rebound by M. Carter-Williams
1:04.0,Personal foul by K. Korver (drawn by M. Carter-Williams),,51-42,,
1:04.0,,,51-43,1,M. Carter-Williams makes free throw 1 of 2
1:04.0,D. Schroder enters the game for K. Korver,,51-43,,
1:04.0,,,51-44,1,M. Carter-Williams makes free throw 2 of 2
0:50.0,T. Sefolosha misses 2-pt shot from 4 ft (block by J. Henson),,51-44,,
0:48.0,,,51-44,,Defensive rebound by J. Henson
0:31.0,,,51-44,,K. Middleton misses 2-pt shot from 19 ft
0:30.0,,,51-44,,Offensive rebound by J. Parker
0:29.0,,,51-44,,J. Parker misses 2-pt shot at rim (block by P. Millsap)
0:28.0,Defensive rebound by Team,,51-44,,
0:28.0,K. Korver enters the game for T. Sefolosha,,51-44,,
0:11.0,,,51-44,,Personal take foul by J. Henson (drawn by D. Schroder)
0:11.0,Atlanta full timeout,,51-44,,
0:04.0,A. Horford misses 3-pt shot from 26 ft,,51-44,,
0:03.0,,,51-44,,Defensive rebound by G. Antetokounmpo
0:00.0,,,51-44,,Shooting foul by P. Millsap (drawn by G. Antetokounmpo)
0:00.0,,,51-45,1,G. Antetokounmpo makes free throw 1 of 3
0:00.0,,,51-45,,G. Antetokounmpo misses free throw 2 of 3
0:00.0,,,51-45,,Offensive rebound by Team
0:00.0,T. Splitter enters the game for K. Korver,,51-45,,
0:00.0,,,51-46,1,G. Antetokounmpo makes free throw 3 of 3
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:40.0,,,51-48,2,K. Middleton makes 2-pt shot from 17 ft
11:20.0,A. Horford misses 2-pt shot from 5 ft (block by G. Monroe),,51-48,,
11:18.0,Offensive rebound by A. Horford,,51-48,,
11:18.0,A. Horford misses 2-pt shot from 1 ft,,51-48,,
11:17.0,,,51-48,,Defensive rebound by G. Antetokounmpo
11:05.0,Personal foul by P. Millsap (drawn by G. Antetokounmpo),,51-48,,
10:54.0,,,51-48,,K. Middleton misses 2-pt shot from 6 ft
10:53.0,Defensive rebound by P. Millsap,,51-48,,
10:41.0,A. Horford makes 2-pt shot from 16 ft (assist by J. Teague),2,53-48,,
10:25.0,,,53-48,,Turnover by K. Middleton (bad pass; steal by P. Millsap)
10:21.0,K. Bazemore makes 2-pt shot from 1 ft (assist by J. Teague),2,55-48,,
10:11.0,,,55-50,2,J. Parker makes 2-pt shot from 15 ft (assist by M. Carter-Williams)
10:05.0,Turnover by K. Korver (step out of bounds),,55-50,,
9:46.0,,,55-50,,G. Monroe misses 2-pt shot from 2 ft
9:43.0,Defensive rebound by P. Millsap,,55-50,,
9:36.0,A. Horford misses 2-pt shot at rim,,55-50,,
9:34.0,Offensive rebound by A. Horford,,55-50,,
9:34.0,A. Horford makes 2-pt shot at rim,2,57-50,,
9:21.0,,,57-50,,M. Carter-Williams misses 2-pt shot from 14 ft
9:19.0,,,57-50,,Offensive rebound by G. Monroe
9:19.0,,,57-50,,G. Monroe misses 2-pt shot from 1 ft
9:18.0,Defensive rebound by J. Teague,,57-50,,
9:10.0,P. Millsap misses 3-pt shot from 23 ft,,57-50,,
9:09.0,,,57-50,,Defensive rebound by J. Parker
8:54.0,,,57-52,2,K. Middleton makes 2-pt shot from 16 ft
8:49.0,K. Bazemore misses 2-pt shot from 2 ft,,57-52,,
8:47.0,,,57-52,,Defensive rebound by K. Middleton
8:39.0,,,57-54,2,G. Monroe makes 2-pt shot from 2 ft (assist by M. Carter-Williams)
8:24.0,K. Bazemore makes 2-pt shot from 1 ft (assist by J. Teague),2,59-54,,
8:03.0,,,59-54,,J. Parker misses 2-pt shot at rim
8:01.0,,,59-54,,Offensive rebound by G. Monroe
8:01.0,,,59-54,,G. Monroe misses 2-pt shot at rim
8:00.0,Defensive rebound by J. Teague,,59-54,,
7:55.0,K. Bazemore misses 3-pt shot from 23 ft,,59-54,,
7:55.0,,,59-54,,Defensive rebound by Team
7:40.0,,,59-56,2,G. Antetokounmpo makes 2-pt shot at rim
7:28.0,,,59-56,,Personal foul by G. Antetokounmpo (drawn by P. Millsap)
7:28.0,T. Sefolosha enters the game for K. Bazemore,,59-56,,
7:21.0,Turnover by P. Millsap (lost ball; steal by G. Antetokounmpo),,59-56,,
7:17.0,Violation by A. Horford (def goaltending),,59-56,,
7:17.0,,,59-58,2,J. Parker makes 2-pt shot from 1 ft
6:58.0,P. Millsap makes 2-pt shot from 3 ft (assist by T. Sefolosha),2,61-58,,
6:39.0,,,61-58,,G. Antetokounmpo misses 2-pt shot from 1 ft (block by P. Millsap)
6:36.0,Defensive rebound by K. Korver,,61-58,,
6:30.0,A. Horford makes 2-pt shot at rim (assist by K. Korver),2,63-58,,
6:29.0,,,63-58,,Milwaukee full timeout
6:29.0,,,63-58,,J. Henson enters the game for G. Monroe
6:10.0,,,63-60,2,G. Antetokounmpo makes 2-pt shot from 5 ft
5:57.0,Turnover by J. Teague (bad pass; steal by J. Parker),,63-60,,
5:53.0,,,63-62,2,K. Middleton makes 2-pt shot at rim (assist by J. Parker)
5:35.0,P. Millsap makes 2-pt shot from 1 ft,2,65-62,,
5:24.0,,,65-62,,J. Parker misses 2-pt shot from 14 ft
5:22.0,,,65-62,,Offensive rebound by J. Henson
5:19.0,,,65-62,,K. Middleton misses 3-pt shot from 26 ft
5:18.0,Defensive rebound by A. Horford,,65-62,,
5:05.0,Turnover by P. Millsap (bad pass),,65-62,,
5:05.0,T. Splitter enters the game for A. Horford,,65-62,,
5:05.0,,,65-62,,J. O'Bryant enters the game for J. Parker
4:41.0,,,65-64,2,J. O'Bryant makes 2-pt shot from 7 ft (assist by M. Carter-Williams)
4:30.0,J. Teague misses 3-pt shot from 27 ft,,65-64,,
4:29.0,,,65-64,,Defensive rebound by J. O'Bryant
4:13.0,,,65-66,2,J. Henson makes 2-pt shot from 5 ft (assist by M. Carter-Williams)
3:59.0,P. Millsap misses 2-pt shot from 2 ft (block by G. Antetokounmpo),,65-66,,
3:55.0,,,65-66,,Defensive rebound by M. Carter-Williams
3:36.0,,,65-66,,Turnover by J. Henson (traveling)
3:36.0,Atlanta full timeout,,65-66,,
3:36.0,D. Schroder enters the game for K. Korver,,65-66,,
3:36.0,K. Bazemore enters the game for J. Teague,,65-66,,
3:23.0,T. Splitter misses 2-pt shot from 1 ft,,65-66,,
3:22.0,,,65-66,,Defensive rebound by J. O'Bryant
3:11.0,,,65-66,,M. Carter-Williams misses 2-pt shot from 16 ft
3:10.0,Defensive rebound by P. Millsap,,65-66,,
2:57.0,T. Sefolosha misses 3-pt shot from 24 ft,,65-66,,
2:55.0,,,65-66,,Defensive rebound by J. Henson
2:48.0,,,65-69,3,M. Carter-Williams makes 3-pt shot from 24 ft (assist by K. Middleton)
2:31.0,P. Millsap makes 2-pt shot at rim (assist by T. Sefolosha),2,67-69,,
2:12.0,A. Horford enters the game for P. Millsap,,67-69,,
2:12.0,M. Scott enters the game for T. Splitter,,67-69,,
2:12.0,,,67-69,,R. Vaughn enters the game for K. Middleton
2:07.0,,,67-69,,J. Henson misses 2-pt shot from 5 ft
2:06.0,Defensive rebound by D. Schroder,,67-69,,
1:55.0,D. Schroder makes 3-pt shot from 22 ft (assist by K. Bazemore),3,70-69,,
1:39.0,,,70-69,,M. Carter-Williams misses 2-pt shot from 11 ft
1:38.0,Defensive rebound by D. Schroder,,70-69,,
1:28.0,,,70-69,,Personal foul by M. Carter-Williams (drawn by D. Schroder)
1:28.0,K. Korver enters the game for K. Bazemore,,70-69,,
1:22.0,Turnover by D. Schroder (bad pass),,70-69,,
1:08.0,,,70-69,,Loose ball foul by G. Antetokounmpo (drawn by T. Sefolosha)
1:08.0,,,70-69,,Turnover by M. Carter-Williams (bad pass)
1:08.0,T. Sefolosha makes free throw 1 of 2,1,71-69,,
1:08.0,T. Sefolosha makes free throw 2 of 2,1,72-69,,
0:58.0,,,72-69,,M. Carter-Williams misses 2-pt shot at rim
0:56.0,,,72-69,,Offensive rebound by M. Carter-Williams
0:56.0,,,72-69,,J. Henson misses 2-pt shot from 1 ft
0:56.0,,,72-69,,Offensive rebound by J. Henson
0:56.0,,,72-69,,Shooting foul by M. Scott (drawn by J. Henson)
0:56.0,,,72-69,,J. Henson misses free throw 1 of 2
0:56.0,,,72-69,,Offensive rebound by Team
0:56.0,,,72-69,,J. Henson misses free throw 2 of 2
0:56.0,Defensive rebound by M. Scott,,72-69,,
0:43.0,Turnover by K. Korver (bad pass; steal by J. O'Bryant),,72-69,,
0:33.0,,,72-71,2,M. Carter-Williams makes 2-pt shot at rim
0:31.0,,,72-71,,Personal foul by M. Carter-Williams (drawn by D. Schroder)
0:31.0,D. Schroder makes free throw 1 of 2,1,73-71,,
0:31.0,,,73-71,,K. Middleton enters the game for M. Carter-Williams
0:31.0,J. Holiday enters the game for K. Korver,,73-71,,
0:31.0,D. Schroder makes free throw 2 of 2,1,74-71,,
0:08.0,Personal foul by T. Sefolosha (drawn by G. Antetokounmpo),,74-71,,
0:08.0,,,74-72,1,G. Antetokounmpo makes free throw 1 of 2
0:08.0,K. Korver enters the game for T. Sefolosha,,74-72,,
0:08.0,T. Hardaway enters the game for J. Holiday,,74-72,,
0:08.0,,,74-73,1,G. Antetokounmpo makes free throw 2 of 2
0:03.0,D. Schroder makes 2-pt shot from 1 ft,2,76-73,,
0:03.0,,,76-73,,Violation by J. Henson (def goaltending)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,A. Horford misses 2-pt shot from 2 ft,,76-73,,
11:42.0,,,76-73,,Defensive rebound by K. Middleton
11:26.0,,,76-73,,Turnover by G. Antetokounmpo (traveling)
11:12.0,D. Schroder makes 2-pt shot from 16 ft,2,78-73,,
10:52.0,,,78-73,,J. O'Bryant misses 2-pt shot from 16 ft
10:51.0,Defensive rebound by T. Sefolosha,,78-73,,
10:38.0,Turnover by T. Sefolosha (bad pass; steal by K. Middleton),,78-73,,
10:33.0,Personal foul by D. Schroder (drawn by G. Monroe),,78-73,,
10:33.0,K. Bazemore enters the game for T. Sefolosha,,78-73,,
10:20.0,,,78-75,2,G. Antetokounmpo makes 2-pt shot at rim (assist by K. Middleton)
9:58.0,D. Schroder misses 2-pt shot at rim,,78-75,,
9:57.0,,,78-75,,Defensive rebound by G. Monroe
9:46.0,,,78-75,,G. Antetokounmpo misses 2-pt shot from 6 ft
9:45.0,Defensive rebound by M. Scott,,78-75,,
9:37.0,A. Horford makes 2-pt shot at rim (assist by K. Bazemore),2,80-75,,
9:17.0,,,80-75,,K. Middleton misses 3-pt shot from 25 ft
9:15.0,,,80-75,,Offensive rebound by G. Antetokounmpo
9:06.0,,,80-77,2,G. Antetokounmpo makes 2-pt shot from 1 ft (assist by K. Middleton)
8:53.0,K. Korver makes 3-pt shot from 26 ft (assist by K. Bazemore),3,83-77,,
8:28.0,,,83-79,2,J. O'Bryant makes 2-pt shot at rim (assist by G. Monroe)
8:14.0,Turnover by K. Bazemore (traveling),,83-79,,
8:14.0,Official timeout,,83-79,,
8:14.0,,,83-79,,J. Parker enters the game for J. O'Bryant
8:14.0,P. Millsap enters the game for A. Horford,,83-79,,
7:50.0,,,83-79,,Turnover by Team (shot clock)
7:37.0,M. Scott misses 2-pt shot at rim,,83-79,,
7:35.0,,,83-79,,Defensive rebound by G. Antetokounmpo
7:19.0,Personal foul by K. Bazemore (drawn by J. Parker),,83-79,,
7:19.0,,,83-79,,M. Carter-Williams enters the game for R. Vaughn
7:14.0,,,83-79,,Shooting foul by P. Millsap (drawn by G. Monroe)
7:14.0,,,83-80,1,G. Monroe makes free throw 1 of 2
7:14.0,A. Horford enters the game for M. Scott,,83-80,,
7:14.0,T. Sefolosha enters the game for K. Bazemore,,83-80,,
7:14.0,,,83-81,1,G. Monroe makes free throw 2 of 2
7:06.0,K. Bazemore enters the game for K. Korver,,83-81,,
7:06.0,J. Teague enters the game for D. Schroder,,83-81,,
6:56.0,K. Bazemore misses 2-pt shot at rim,,83-81,,
6:54.0,,,83-81,,Defensive rebound by G. Antetokounmpo
6:48.0,,,83-81,,J. Parker misses 2-pt shot from 4 ft
6:45.0,,,83-81,,Offensive rebound by G. Monroe
6:43.0,,,83-81,,G. Monroe misses 2-pt shot from 1 ft
