time,Utah,pts.away,score,pts.home,Cleveland
8:29.0,R. Hood enters the game for T. Burke,,24-35,,
8:21.0,,,24-35,,Turnover by J. Smith (bad pass)
8:09.0,,,24-35,,Personal foul by A. Varejao (drawn by D. Favors)
7:59.0,G. Hayward misses 2-pt shot from 4 ft,,24-35,,
7:57.0,Offensive rebound by D. Favors,,24-35,,
7:52.0,D. Favors makes 2-pt shot at rim,2,26-35,,
7:43.0,,,26-38,3,K. Love makes 3-pt shot from 24 ft (assist by L. James)
7:33.0,,,26-38,,Personal foul by M. Dellavedova (drawn by R. Hood)
7:33.0,,,26-38,,T. Thompson enters the game for A. Varejao
7:33.0,R. Gobert enters the game for T. Booker,,26-38,,
7:22.0,Turnover by R. Gobert (traveling),,26-38,,
7:10.0,,,26-38,,Turnover by K. Love (bad pass; steal by G. Hayward)
7:03.0,G. Hayward makes 2-pt shot at rim,2,28-38,,
6:50.0,,,28-38,,M. Dellavedova misses 2-pt shot from 6 ft
6:48.0,Defensive rebound by R. Gobert,,28-38,,
6:39.0,Shooting foul by J. Smith (drawn by R. Hood),,28-38,,
6:39.0,R. Hood makes free throw 1 of 2,1,29-38,,
6:39.0,,,29-38,,M. Williams enters the game for J. Smith
6:39.0,R. Neto enters the game for A. Burks,,29-38,,
6:39.0,R. Hood makes free throw 2 of 2,1,30-38,,
6:26.0,,,30-38,,L. James misses 2-pt shot from 14 ft
6:25.0,Defensive rebound by G. Hayward,,30-38,,
6:12.0,R. Hood misses 2-pt shot from 11 ft,,30-38,,
6:10.0,,,30-38,,Defensive rebound by K. Love
6:06.0,,,30-38,,Turnover by M. Williams (palming)
6:06.0,,,30-38,,R. Jefferson enters the game for M. Dellavedova
5:50.0,G. Hayward misses 2-pt shot from 2 ft,,30-38,,
5:49.0,,,30-38,,Defensive rebound by M. Williams
5:48.0,Personal foul by R. Neto (drawn by M. Williams),,30-38,,
5:35.0,,,30-38,,L. James misses 2-pt shot from 17 ft
5:34.0,Defensive rebound by D. Favors,,30-38,,
5:17.0,G. Hayward makes 2-pt shot from 8 ft,2,32-38,,
4:56.0,,,32-38,,Turnover by K. Love (bad pass; steal by D. Favors)
4:53.0,Shooting foul by R. Jefferson (drawn by G. Hayward),,32-38,,
4:53.0,G. Hayward makes free throw 1 of 2,1,33-38,,
4:53.0,A. Burks enters the game for R. Neto,,33-38,,
4:53.0,G. Hayward makes free throw 2 of 2,1,34-38,,
4:39.0,,,34-41,3,M. Williams makes 3-pt shot from 24 ft (assist by K. Love)
4:25.0,G. Hayward misses 2-pt shot from 2 ft (block by R. Jefferson),,34-41,,
4:25.0,,,34-41,,Defensive rebound by T. Thompson
4:25.0,Personal foul by R. Gobert (drawn by T. Thompson),,34-41,,
4:25.0,,,34-41,,T. Mozgov enters the game for T. Thompson
4:16.0,,,34-43,2,R. Jefferson makes 2-pt shot at rim (assist by M. Williams)
3:55.0,D. Favors makes 2-pt shot at rim (assist by G. Hayward),2,36-43,,
3:41.0,,,36-43,,Turnover by L. James (traveling)
3:24.0,A. Burks makes 3-pt shot from 24 ft (assist by R. Gobert),3,39-43,,
2:56.0,,,39-43,,K. Love misses 3-pt shot from 27 ft
2:55.0,Defensive rebound by R. Gobert,,39-43,,
2:44.0,G. Hayward makes 2-pt shot at rim (assist by R. Gobert),2,41-43,,
2:44.0,,,41-43,,Cleveland full timeout
2:22.0,,,41-46,3,M. Williams makes 3-pt shot from 28 ft
2:09.0,A. Burks makes 3-pt shot from 26 ft,3,44-46,,
1:51.0,,,44-46,,Shooting foul by G. Hayward (drawn by L. James)
1:51.0,,,44-47,1,L. James makes free throw 1 of 2
1:51.0,,,44-47,,M. Dellavedova enters the game for R. Jefferson
1:51.0,,,44-48,1,L. James makes free throw 2 of 2
1:27.0,G. Hayward misses 2-pt shot from 17 ft,,44-48,,
1:27.0,,,44-48,,Defensive rebound by M. Williams
1:20.0,Personal foul by G. Hayward (drawn by K. Love),,44-48,,
1:20.0,,,44-49,1,K. Love makes free throw 1 of 2
1:20.0,J. Ingles enters the game for G. Hayward,,44-49,,
1:20.0,,,44-50,1,K. Love makes free throw 2 of 2
1:05.0,R. Hood makes 2-pt shot from 10 ft (assist by D. Favors),2,46-50,,
0:45.0,,,46-50,,L. James misses 3-pt shot from 23 ft
0:44.0,Defensive rebound by A. Burks,,46-50,,
0:39.0,Shooting foul by T. Mozgov (drawn by A. Burks),,46-50,,
0:39.0,A. Burks makes free throw 1 of 2,1,47-50,,
0:39.0,,,47-50,,T. Thompson enters the game for T. Mozgov
0:39.0,A. Burks makes free throw 2 of 2,1,48-50,,
0:30.0,,,48-50,,K. Love misses 3-pt shot from 25 ft
0:29.0,,,48-50,,Offensive rebound by Team
0:11.0,,,48-50,,L. James misses 2-pt shot from 5 ft
0:11.0,,,48-50,,Offensive rebound by K. Love
0:11.0,Personal foul by D. Favors (drawn by K. Love),,48-50,,
0:11.0,,,48-51,1,K. Love makes free throw 1 of 2
0:11.0,,,48-52,1,K. Love makes free throw 2 of 2
0:00.0,Turnover by A. Burks (bad pass; steal by M. Dellavedova),,48-52,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,Turnover by G. Hayward (bad pass),,48-52,,
11:23.0,,,48-52,,L. James misses 2-pt shot from 15 ft
11:21.0,Defensive rebound by D. Favors,,48-52,,
11:08.0,G. Hayward misses 2-pt shot from 12 ft,,48-52,,
11:07.0,,,48-52,,Defensive rebound by L. James
10:45.0,,,48-54,2,L. James makes 2-pt shot at rim
10:34.0,Shooting foul by L. James (drawn by R. Hood),,48-54,,
10:34.0,R. Hood makes free throw 1 of 2,1,49-54,,
10:34.0,R. Hood makes free throw 2 of 2,1,50-54,,
10:15.0,Personal foul by R. Neto (drawn by K. Love),,50-54,,
10:08.0,,,50-54,,Turnover by J. Smith (bad pass; steal by R. Gobert)
10:06.0,Shooting foul by K. Love (drawn by R. Hood),,50-54,,
10:06.0,R. Hood makes free throw 1 of 2,1,51-54,,
10:06.0,R. Hood makes free throw 2 of 2,1,52-54,,
9:59.0,Personal foul by D. Favors (drawn by M. Williams),,52-54,,
9:46.0,,,52-54,,J. Smith misses 2-pt shot from 18 ft
9:45.0,Defensive rebound by R. Hood,,52-54,,
9:33.0,D. Favors makes 2-pt shot from 14 ft (assist by R. Neto),2,54-54,,
9:14.0,,,54-56,2,L. James makes 2-pt shot at rim (assist by M. Williams)
8:56.0,R. Neto misses 2-pt shot from 17 ft,,54-56,,
8:56.0,,,54-56,,Defensive rebound by Team
8:49.0,,,54-56,,Turnover by M. Williams (lost ball; steal by R. Neto)
8:41.0,R. Gobert makes 2-pt shot from 1 ft (assist by R. Neto),2,56-56,,
8:27.0,Personal foul by R. Gobert (drawn by T. Mozgov),,56-56,,
8:27.0,T. Burke enters the game for R. Neto,,56-56,,
8:22.0,,,56-59,3,M. Williams makes 3-pt shot from 28 ft (assist by K. Love)
8:04.0,D. Favors misses 2-pt shot from 5 ft (block by T. Mozgov),,56-59,,
8:02.0,Offensive rebound by D. Favors,,56-59,,
8:00.0,Utah full timeout,,56-59,,
8:00.0,,,56-59,,M. Dellavedova enters the game for J. Smith
7:55.0,R. Hood misses 3-pt shot from 27 ft,,56-59,,
7:54.0,Offensive rebound by R. Gobert,,56-59,,
7:49.0,R. Gobert makes 2-pt shot from 5 ft,2,58-59,,
7:30.0,,,58-61,2,M. Dellavedova makes 2-pt shot from 6 ft (assist by L. James)
7:13.0,Turnover by G. Hayward (lost ball; steal by M. Williams),,58-61,,
7:06.0,,,58-61,,K. Love misses 2-pt shot from 1 ft
7:05.0,,,58-61,,Offensive rebound by L. James
7:04.0,,,58-63,2,L. James makes 2-pt shot from 1 ft
6:58.0,,,58-63,,Personal foul by M. Williams (drawn by R. Hood)
6:58.0,,,58-63,,Cleveland full timeout
6:46.0,Turnover by R. Hood (lost ball; steal by M. Williams),,58-63,,
6:44.0,,,58-63,,Shooting foul by R. Hood (drawn by M. Williams)
6:44.0,,,58-64,1,M. Williams makes free throw 1 of 2
6:44.0,,,58-65,1,M. Williams makes free throw 2 of 2
6:32.0,T. Burke makes 3-pt shot from 25 ft (assist by R. Gobert),3,61-65,,
6:20.0,Personal foul by G. Hayward (drawn by M. Williams),,61-65,,
6:20.0,,,61-66,1,M. Williams makes free throw 1 of 2
6:20.0,A. Burks enters the game for R. Hood,,61-66,,
6:20.0,,,61-67,1,M. Williams makes free throw 2 of 2
6:07.0,Shooting foul by T. Mozgov (drawn by D. Favors),,61-67,,
6:07.0,D. Favors misses free throw 1 of 2,,61-67,,
6:07.0,Offensive rebound by Team,,61-67,,
6:07.0,T. Booker enters the game for R. Gobert,,61-67,,
6:07.0,D. Favors makes free throw 2 of 2,1,62-67,,
5:51.0,,,62-67,,Shooting foul by A. Burks (drawn by T. Mozgov)
5:51.0,,,62-68,1,T. Mozgov makes free throw 1 of 2
5:51.0,,,62-69,1,T. Mozgov makes free throw 2 of 2
5:32.0,A. Burks misses 2-pt shot from 2 ft,,62-69,,
5:31.0,,,62-69,,Defensive rebound by M. Williams
5:24.0,,,62-72,3,K. Love makes 3-pt shot from 25 ft (assist by L. James)
5:08.0,D. Favors makes 2-pt shot from 10 ft (assist by A. Burks),2,64-72,,
4:51.0,,,64-72,,Shooting foul by D. Favors (drawn by T. Mozgov)
4:51.0,,,64-72,,T. Mozgov misses free throw 1 of 2
4:51.0,,,64-72,,Offensive rebound by Team
4:51.0,,,64-73,1,T. Mozgov makes free throw 2 of 2
4:36.0,T. Burke misses 3-pt shot from 26 ft,,64-73,,
4:35.0,,,64-73,,Defensive rebound by T. Mozgov
4:23.0,,,64-73,,K. Love misses 2-pt shot from 23 ft
4:22.0,Defensive rebound by A. Burks,,64-73,,
4:13.0,D. Favors misses 2-pt shot from 17 ft,,64-73,,
4:12.0,Offensive rebound by T. Booker,,64-73,,
4:08.0,Turnover by T. Booker (lost ball; steal by L. James),,64-73,,
3:56.0,,,64-73,,T. Mozgov misses 2-pt shot from 11 ft
3:56.0,Defensive rebound by A. Burks,,64-73,,
3:50.0,T. Burke makes 2-pt shot from 1 ft (assist by G. Hayward),2,66-73,,
3:28.0,,,66-73,,Turnover by M. Williams (bad pass; steal by G. Hayward)
3:21.0,A. Burks makes 3-pt shot from 23 ft (assist by G. Hayward),3,69-73,,
3:21.0,,,69-73,,Cleveland full timeout
3:21.0,T. Lyles enters the game for D. Favors,,69-73,,
3:21.0,,,69-73,,T. Thompson enters the game for T. Mozgov
3:21.0,,,69-73,,R. Jefferson enters the game for M. Williams
3:07.0,,,69-73,,K. Love misses 3-pt shot from 27 ft
3:06.0,Defensive rebound by T. Burke,,69-73,,
2:52.0,T. Burke makes 2-pt shot from 6 ft,2,71-73,,
2:41.0,Personal foul by G. Hayward (drawn by L. James),,71-73,,
2:41.0,,,71-73,,L. James misses free throw 1 of 2
2:41.0,,,71-73,,Offensive rebound by Team
2:41.0,J. Ingles enters the game for G. Hayward,,71-73,,
2:41.0,,,71-74,1,L. James makes free throw 2 of 2
2:20.0,T. Booker makes 2-pt shot at rim (assist by J. Ingles),2,73-74,,
2:07.0,Personal foul by A. Burks (drawn by R. Jefferson),,73-74,,
2:07.0,,,73-74,,R. Jefferson misses free throw 1 of 2
2:07.0,,,73-74,,Offensive rebound by Team
2:07.0,,,73-74,,J. Smith enters the game for L. James
2:07.0,,,73-75,1,R. Jefferson makes free throw 2 of 2
1:52.0,T. Lyles makes 3-pt shot from 26 ft (assist by A. Burks),3,76-75,,
1:32.0,,,76-75,,Shooting foul by T. Booker (drawn by R. Jefferson)
1:32.0,,,76-76,1,R. Jefferson makes free throw 1 of 2
1:32.0,,,76-76,,J. Jones enters the game for K. Love
1:32.0,,,76-76,,R. Jefferson misses free throw 2 of 2
1:31.0,,,76-76,,Offensive rebound by J. Smith
1:20.0,,,76-76,,R. Jefferson misses 3-pt shot from 22 ft
1:19.0,,,76-76,,Offensive rebound by Team
1:19.0,Loose ball foul by T. Lyles (drawn by T. Thompson),,76-76,,
1:19.0,,,76-77,1,T. Thompson makes free throw 1 of 2
1:19.0,C. Johnson enters the game for T. Lyles,,76-77,,
1:19.0,,,76-78,1,T. Thompson makes free throw 2 of 2
1:01.0,C. Johnson makes 2-pt shot from 12 ft (assist by J. Ingles),2,78-78,,
0:46.0,,,78-78,,M. Dellavedova misses 2-pt shot from 15 ft
0:45.0,Defensive rebound by J. Ingles,,78-78,,
0:44.0,Turnover by A. Burks (traveling),,78-78,,
0:44.0,R. Gobert enters the game for T. Booker,,78-78,,
0:35.0,,,78-80,2,M. Dellavedova makes 2-pt shot from 6 ft
0:22.0,Shooting foul by M. Dellavedova (drawn by T. Burke),,78-80,,
0:22.0,T. Burke makes free throw 1 of 2,1,79-80,,
0:22.0,T. Booker enters the game for R. Gobert,,79-80,,
0:22.0,T. Burke makes free throw 2 of 2,1,80-80,,
0:01.0,,,80-80,,J. Smith misses 2-pt shot from 19 ft
0:01.0,,,80-80,,Offensive rebound by T. Thompson
0:00.0,,,80-80,,T. Thompson misses 2-pt shot from 2 ft
0:00.0,,,80-80,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,,,80-80,,M. Dellavedova misses 2-pt shot from 8 ft
11:43.0,,,80-80,,Offensive rebound by T. Thompson
11:41.0,,,80-80,,Turnover by T. Thompson (bad pass; steal by A. Burks)
11:36.0,T. Burke makes 2-pt shot from 1 ft (assist by A. Burks),2,82-80,,
11:26.0,Personal foul by J. Ingles (drawn by R. Jefferson),,82-80,,
11:20.0,,,82-83,3,J. Smith makes 3-pt shot from 26 ft (assist by M. Dellavedova)
10:58.0,,,82-83,,Personal foul by J. Smith (drawn by T. Booker)
10:58.0,,,82-83,,Inbound foul by J. Smith (drawn by T. Booker)
10:58.0,A. Burks makes free throw 1 of 2,1,83-83,,
10:58.0,A. Burks makes free throw 2 of 2,1,84-83,,
10:46.0,,,84-83,,J. Smith misses 2-pt shot from 5 ft
10:45.0,Defensive rebound by T. Booker,,84-83,,
10:30.0,A. Burks makes 2-pt shot from 5 ft (assist by T. Booker),2,86-83,,
10:14.0,,,86-83,,J. Jones misses 3-pt shot from 24 ft
10:14.0,Defensive rebound by J. Ingles,,86-83,,
10:05.0,R. Gobert makes 2-pt shot at rim (assist by T. Burke),2,88-83,,
10:05.0,,,88-83,,Cleveland full timeout
10:05.0,,,88-83,,M. Williams enters the game for J. Smith
10:05.0,,,88-83,,L. James enters the game for M. Dellavedova
10:05.0,,,88-83,,K. Love enters the game for J. Jones
9:43.0,,,88-83,,L. James misses 2-pt shot from 8 ft
9:41.0,Defensive rebound by J. Ingles,,88-83,,
9:27.0,T. Burke makes 3-pt shot from 26 ft (assist by J. Ingles),3,91-83,,
9:09.0,Violation by R. Gobert (def goaltending),,91-83,,
9:09.0,,,91-85,2,L. James makes 2-pt shot from 1 ft
8:52.0,Turnover by T. Burke (bad pass; steal by R. Jefferson),,91-85,,
8:49.0,Personal foul by J. Ingles (drawn by L. James),,91-85,,
8:49.0,D. Favors enters the game for T. Booker,,91-85,,
8:49.0,R. Hood enters the game for J. Ingles,,91-85,,
8:39.0,,,91-85,,R. Jefferson misses 3-pt shot from 23 ft
8:38.0,,,91-85,,Offensive rebound by T. Thompson
8:38.0,,,91-85,,T. Thompson misses 2-pt shot at rim
8:37.0,Defensive rebound by D. Favors,,91-85,,
8:27.0,T. Burke misses 2-pt shot from 1 ft (block by T. Thompson),,91-85,,
8:27.0,Offensive rebound by Team,,91-85,,
8:15.0,T. Burke misses 2-pt shot from 5 ft (block by T. Thompson),,91-85,,
8:14.0,,,91-85,,Defensive rebound by M. Williams
8:10.0,,,91-85,,Shooting foul by R. Hood (drawn by L. James)
8:10.0,,,91-85,,L. James misses free throw 1 of 2
8:10.0,,,91-85,,Offensive rebound by Team
8:10.0,G. Hayward enters the game for A. Burks,,91-85,,
8:10.0,,,91-86,1,L. James makes free throw 2 of 2
7:53.0,G. Hayward makes 2-pt shot from 16 ft (assist by R. Gobert),2,93-86,,
7:44.0,,,93-86,,K. Love misses 3-pt shot from 26 ft
7:44.0,Defensive rebound by G. Hayward,,93-86,,
7:32.0,R. Gobert misses 2-pt shot from 3 ft (block by T. Thompson),,93-86,,
7:30.0,,,93-86,,Defensive rebound by K. Love
7:28.0,,,93-86,,Turnover by L. James (bad pass; steal by R. Hood)
7:22.0,R. Gobert makes 2-pt shot at rim (assist by T. Burke),2,95-86,,
7:00.0,,,95-89,3,K. Love makes 3-pt shot from 23 ft (assist by L. James)
6:42.0,G. Hayward misses 2-pt shot from 5 ft,,95-89,,
6:41.0,,,95-89,,Defensive rebound by R. Jefferson
6:38.0,Violation by T. Burke (kicked ball),,95-89,,
6:21.0,,,95-91,2,L. James makes 2-pt shot from 5 ft
6:09.0,,,95-91,,Personal foul by R. Jefferson (drawn by G. Hayward)
6:06.0,Turnover by D. Favors (bad pass; steal by L. James),,95-91,,
6:05.0,,,95-93,2,L. James makes 2-pt shot from 1 ft
6:05.0,,,95-93,,Shooting foul by R. Hood (drawn by L. James)
6:05.0,Utah full timeout,,95-93,,
6:05.0,,,95-94,1,L. James makes free throw 1 of 1
5:45.0,R. Hood makes 3-pt shot from 24 ft (assist by G. Hayward),3,98-94,,
5:30.0,,,98-96,2,M. Williams makes 2-pt shot from 18 ft
5:12.0,R. Gobert misses 2-pt shot from 3 ft,,98-96,,
5:10.0,,,98-96,,Defensive rebound by T. Thompson
5:01.0,,,98-96,,L. James misses 3-pt shot from 22 ft
5:01.0,,,98-96,,Offensive rebound by Team
5:01.0,Loose ball foul by R. Hood (drawn by T. Thompson),,98-96,,
5:01.0,,,98-97,1,T. Thompson makes free throw 1 of 2
5:01.0,T. Booker enters the game for R. Gobert,,98-97,,
5:01.0,A. Burks enters the game for T. Burke,,98-97,,
5:01.0,,,98-97,,T. Thompson misses free throw 2 of 2
4:58.0,Defensive rebound by D. Favors,,98-97,,
4:43.0,G. Hayward misses 2-pt shot from 5 ft,,98-97,,
4:42.0,,,98-97,,Defensive rebound by L. James
4:33.0,,,98-97,,K. Love misses 3-pt shot from 27 ft
4:33.0,,,98-97,,Offensive rebound by L. James
4:27.0,,,98-97,,Shooting foul by T. Booker (drawn by K. Love)
4:27.0,,,98-98,1,K. Love makes free throw 1 of 2
4:27.0,,,98-99,1,K. Love makes free throw 2 of 2
4:14.0,A. Burks misses 2-pt shot from 20 ft,,98-99,,
4:13.0,,,98-99,,Defensive rebound by L. James
4:05.0,,,98-101,2,R. Jefferson makes 2-pt shot from 2 ft (assist by L. James)
3:43.0,G. Hayward misses 3-pt shot from 26 ft,,98-101,,
3:42.0,,,98-101,,Defensive rebound by K. Love
3:28.0,,,98-103,2,L. James makes 2-pt shot from 2 ft
3:07.0,Offensive charge foul by R. Hood,,98-103,,
