time,Toronto,pts.away,score,pts.home,Charlotte
1:20.0,,,16-21,,J. Lamb misses 3-pt shot from 24 ft
1:19.0,Defensive rebound by P. Patterson,,16-21,,
1:11.0,Shooting foul by T. Daniels (drawn by D. DeRozan),,16-21,,
1:11.0,D. DeRozan makes free throw 1 of 2,1,17-21,,
1:11.0,D. DeRozan makes free throw 2 of 2,1,18-21,,
0:56.0,,,18-23,2,K. Walker makes 2-pt shot from 16 ft
0:45.0,D. DeRozan makes 2-pt shot from 10 ft,2,20-23,,
0:36.0,,,20-23,,K. Walker misses 2-pt shot from 17 ft
0:34.0,Defensive rebound by B. Biyombo,,20-23,,
0:23.0,T. Ross misses 2-pt shot from 16 ft,,20-23,,
0:22.0,,,20-23,,Defensive rebound by S. Hawes
0:03.0,,,20-25,2,K. Walker makes 2-pt shot from 2 ft
0:00.0,C. Joseph misses 2-pt shot from 11 ft,,20-25,,
0:00.0,Offensive rebound by Team,,20-25,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:51.0,,,20-27,2,J. Lin makes 2-pt shot from 19 ft (assist by S. Hawes)
11:34.0,C. Joseph misses 2-pt shot from 19 ft,,20-27,,
11:33.0,,,20-27,,Defensive rebound by J. Lamb
11:13.0,,,20-30,3,S. Hawes makes 3-pt shot from 25 ft (assist by J. Lin)
10:58.0,Shooting foul by J. Lamb (drawn by L. Nogueira),,20-30,,
10:58.0,L. Nogueira misses free throw 1 of 2,,20-30,,
10:58.0,Offensive rebound by Team,,20-30,,
10:58.0,L. Nogueira makes free throw 2 of 2,1,21-30,,
10:50.0,,,21-33,3,J. Lamb makes 3-pt shot from 24 ft (assist by J. Lin)
10:28.0,L. Nogueira makes 2-pt shot at rim (assist by K. Lowry),2,23-33,,
10:00.0,,,23-33,,F. Kaminsky misses 3-pt shot from 26 ft
9:59.0,Defensive rebound by Team,,23-33,,
9:45.0,Turnover by J. Johnson (bad pass; steal by S. Hawes),,23-33,,
9:37.0,,,23-33,,J. Lamb misses 3-pt shot from 24 ft
9:36.0,Defensive rebound by P. Patterson,,23-33,,
9:23.0,J. Johnson makes 2-pt shot from 1 ft (assist by K. Lowry),2,25-33,,
9:02.0,,,25-35,2,J. Lamb makes 2-pt shot from 1 ft
8:52.0,K. Lowry misses 3-pt shot from 24 ft,,25-35,,
8:51.0,Offensive rebound by L. Nogueira,,25-35,,
8:46.0,K. Lowry misses 3-pt shot from 24 ft,,25-35,,
8:45.0,,,25-35,,Defensive rebound by S. Hawes
8:25.0,,,25-35,,F. Kaminsky misses 2-pt shot from 12 ft
8:24.0,Defensive rebound by L. Nogueira,,25-35,,
8:20.0,J. Johnson makes 2-pt shot from 1 ft,2,27-35,,
8:20.0,Shooting foul by S. Hawes (drawn by J. Johnson),,27-35,,
8:20.0,Official timeout,,27-35,,
8:20.0,,,27-35,,T. Hansbrough enters the game for S. Hawes
8:20.0,J. Johnson misses free throw 1 of 1,,27-35,,
8:16.0,,,27-35,,Defensive rebound by J. Lamb
8:06.0,,,27-37,2,J. Lin makes 2-pt shot from 1 ft (assist by F. Kaminsky)
7:46.0,K. Lowry misses 2-pt shot from 15 ft,,27-37,,
7:44.0,Offensive rebound by L. Nogueira,,27-37,,
7:38.0,P. Patterson misses 3-pt shot from 24 ft,,27-37,,
7:37.0,Offensive rebound by J. Johnson,,27-37,,
7:37.0,J. Johnson makes 2-pt shot at rim,2,29-37,,
7:17.0,,,29-37,,J. Lamb misses 2-pt shot from 8 ft
7:13.0,Defensive rebound by J. Johnson,,29-37,,
7:08.0,K. Lowry misses 2-pt shot from 1 ft (block by J. Lin),,29-37,,
7:06.0,Offensive rebound by C. Joseph,,29-37,,
7:03.0,P. Patterson misses 3-pt shot from 25 ft,,29-37,,
7:02.0,,,29-37,,Defensive rebound by T. Hansbrough
6:51.0,,,29-39,2,J. Lin makes 2-pt shot from 1 ft
6:45.0,,,29-39,,Personal foul by J. Lamb (drawn by J. Johnson)
6:45.0,B. Biyombo enters the game for L. Nogueira,,29-39,,
6:45.0,,,29-39,,P. Hairston enters the game for J. Lamb
6:36.0,Shooting foul by P. Hairston (drawn by J. Johnson),,29-39,,
6:36.0,J. Johnson makes free throw 1 of 2,1,30-39,,
6:36.0,D. DeRozan enters the game for P. Patterson,,30-39,,
6:36.0,J. Johnson misses free throw 2 of 2,,30-39,,
6:35.0,,,30-39,,Defensive rebound by F. Kaminsky
6:18.0,,,30-39,,Shooting foul by J. Johnson (drawn by F. Kaminsky)
6:18.0,,,30-39,,F. Kaminsky misses free throw 1 of 2
6:18.0,,,30-39,,Offensive rebound by Team
6:18.0,,,30-40,1,F. Kaminsky makes free throw 2 of 2
6:06.0,Shooting foul by J. Lin (drawn by K. Lowry),,30-40,,
6:06.0,K. Lowry makes free throw 1 of 2,1,31-40,,
6:06.0,K. Lowry makes free throw 2 of 2,1,32-40,,
5:54.0,Personal foul by J. Johnson (drawn by F. Kaminsky),,32-40,,
5:54.0,,,32-40,,Charlotte full timeout
5:54.0,L. Scola enters the game for J. Johnson,,32-40,,
5:46.0,,,32-42,2,F. Kaminsky makes 2-pt shot from 1 ft (assist by T. Daniels)
5:26.0,D. DeRozan makes 2-pt shot from 10 ft,2,34-42,,
5:14.0,,,34-42,,P. Hairston misses 3-pt shot from 25 ft
5:13.0,Defensive rebound by Team,,34-42,,
5:13.0,,,34-42,,K. Walker enters the game for T. Daniels
4:49.0,L. Scola makes 2-pt shot from 1 ft (assist by C. Joseph),2,36-42,,
4:38.0,Personal foul by D. DeRozan (drawn by J. Lin),,36-42,,
4:38.0,,,36-42,,M. Williams enters the game for F. Kaminsky
4:25.0,,,36-42,,K. Walker misses 3-pt shot from 24 ft
4:24.0,Defensive rebound by L. Scola,,36-42,,
4:13.0,K. Lowry misses 2-pt shot from 15 ft,,36-42,,
4:13.0,,,36-42,,Defensive rebound by Team
4:13.0,Loose ball foul by B. Biyombo (drawn by T. Hansbrough),,36-42,,
4:13.0,Technical foul by B. Biyombo (drawn by T. Hansbrough),,36-42,,
4:13.0,,,36-43,1,J. Lin makes technical free throw
4:02.0,,,36-46,3,P. Hairston makes 3-pt shot from 24 ft (assist by K. Walker)
3:40.0,D. DeRozan makes 2-pt shot from 17 ft,2,38-46,,
3:25.0,,,38-46,,M. Williams misses 2-pt shot at rim (block by B. Biyombo)
3:23.0,Defensive rebound by D. DeRozan,,38-46,,
3:16.0,K. Lowry misses 3-pt shot from 24 ft,,38-46,,
3:14.0,,,38-46,,Defensive rebound by M. Williams
3:01.0,,,38-48,2,K. Walker makes 2-pt shot from 18 ft
2:55.0,Toronto full timeout,,38-48,,
2:55.0,T. Ross enters the game for B. Biyombo,,38-48,,
2:55.0,P. Patterson enters the game for K. Lowry,,38-48,,
2:55.0,,,38-48,,F. Kaminsky enters the game for P. Hairston
2:39.0,T. Ross makes 3-pt shot from 25 ft (assist by D. DeRozan),3,41-48,,
2:17.0,,,41-50,2,J. Lin makes 2-pt shot from 11 ft
1:59.0,Turnover by D. DeRozan (bad pass; steal by M. Williams),,41-50,,
1:54.0,,,41-52,2,J. Lin makes 2-pt shot from 1 ft
1:35.0,L. Scola misses 2-pt shot from 1 ft (block by F. Kaminsky),,41-52,,
1:33.0,,,41-52,,Defensive rebound by F. Kaminsky
1:22.0,,,41-52,,K. Walker misses 3-pt shot from 25 ft
1:21.0,Defensive rebound by L. Scola,,41-52,,
1:04.0,Turnover by C. Joseph (bad pass),,41-52,,
1:04.0,Loose ball foul by P. Patterson (drawn by M. Williams),,41-52,,
1:04.0,,,41-53,1,M. Williams makes free throw 1 of 2
1:04.0,,,41-54,1,M. Williams makes free throw 2 of 2
0:53.0,T. Ross makes 3-pt shot from 26 ft (assist by D. DeRozan),3,44-54,,
0:34.0,,,44-54,,T. Hansbrough misses 2-pt shot from 4 ft
0:33.0,,,44-54,,Offensive rebound by T. Hansbrough
0:29.0,,,44-54,,F. Kaminsky misses 3-pt shot from 25 ft
0:28.0,Defensive rebound by L. Scola,,44-54,,
0:08.0,P. Patterson misses 3-pt shot from 25 ft,,44-54,,
0:06.0,,,44-54,,Defensive rebound by M. Williams
0:00.0,,,44-56,2,K. Walker makes 2-pt shot at rim
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,,,44-59,3,M. Williams makes 3-pt shot from 24 ft (assist by K. Walker)
11:20.0,K. Lowry makes 2-pt shot from 1 ft,2,46-59,,
10:57.0,,,46-59,,C. Zeller misses 2-pt shot from 6 ft
10:55.0,Defensive rebound by K. Lowry,,46-59,,
10:39.0,D. DeRozan makes 2-pt shot from 21 ft,2,48-59,,
10:25.0,,,48-59,,M. Williams misses 3-pt shot from 25 ft
10:24.0,Defensive rebound by B. Biyombo,,48-59,,
10:15.0,K. Lowry misses 3-pt shot from 24 ft,,48-59,,
10:14.0,,,48-59,,Defensive rebound by P. Hairston
10:11.0,Technical foul by K. Lowry,,48-59,,
10:11.0,,,48-60,1,K. Walker makes technical free throw
10:00.0,,,48-60,,J. Lin misses 2-pt shot from 3 ft (block by B. Biyombo)
9:58.0,,,48-60,,Offensive rebound by C. Zeller
9:56.0,,,48-60,,C. Zeller misses 2-pt shot from 13 ft
9:56.0,,,48-60,,Offensive rebound by Team
9:48.0,,,48-62,2,K. Walker makes 2-pt shot from 2 ft
9:30.0,D. DeRozan misses 3-pt shot from 24 ft,,48-62,,
9:29.0,,,48-62,,Defensive rebound by J. Lin
9:11.0,,,48-64,2,C. Zeller makes 2-pt shot at rim (assist by M. Williams)
9:11.0,Toronto full timeout,,48-64,,
9:11.0,C. Joseph enters the game for L. Scola,,48-64,,
8:59.0,T. Ross misses 3-pt shot from 24 ft,,48-64,,
8:58.0,,,48-64,,Defensive rebound by K. Walker
8:47.0,,,48-64,,J. Lin misses 3-pt shot from 25 ft
8:46.0,Defensive rebound by B. Biyombo,,48-64,,
8:40.0,Shooting foul by C. Zeller (drawn by K. Lowry),,48-64,,
8:40.0,K. Lowry misses free throw 1 of 2,,48-64,,
8:40.0,Offensive rebound by Team,,48-64,,
8:40.0,K. Lowry makes free throw 2 of 2,1,49-64,,
8:23.0,,,49-64,,Turnover by P. Hairston (lost ball; steal by T. Ross)
8:15.0,D. DeRozan misses 2-pt shot from 1 ft,,49-64,,
8:13.0,Offensive rebound by K. Lowry,,49-64,,
8:10.0,T. Ross makes 3-pt shot from 24 ft (assist by K. Lowry),3,52-64,,
8:10.0,Personal foul by C. Joseph (drawn by K. Walker),,52-64,,
8:10.0,Toronto full timeout,,52-64,,
8:04.0,,,52-64,,C. Zeller misses 2-pt shot from 1 ft (block by B. Biyombo)
8:02.0,Defensive rebound by K. Lowry,,52-64,,
7:56.0,T. Ross misses 3-pt shot from 24 ft,,52-64,,
7:54.0,,,52-64,,Defensive rebound by M. Williams
7:45.0,,,52-64,,Turnover by K. Walker (lost ball; steal by D. DeRozan)
7:33.0,Shooting foul by C. Zeller (drawn by D. DeRozan),,52-64,,
7:33.0,D. DeRozan makes free throw 1 of 2,1,53-64,,
7:33.0,,,53-64,,S. Hawes enters the game for C. Zeller
7:33.0,D. DeRozan makes free throw 2 of 2,1,54-64,,
7:19.0,,,54-64,,Turnover by S. Hawes (bad pass; steal by K. Lowry)
7:13.0,K. Lowry misses 3-pt shot from 25 ft,,54-64,,
7:12.0,,,54-64,,Defensive rebound by M. Williams
6:59.0,,,54-64,,P. Hairston misses 2-pt shot from 18 ft
6:58.0,Defensive rebound by B. Biyombo,,54-64,,
6:42.0,K. Lowry misses 3-pt shot from 25 ft,,54-64,,
6:41.0,,,54-64,,Defensive rebound by S. Hawes
6:30.0,,,54-64,,J. Lin misses 3-pt shot from 22 ft
6:29.0,,,54-64,,Offensive rebound by P. Hairston
6:29.0,,,54-66,2,P. Hairston makes 2-pt shot from 1 ft
6:10.0,B. Biyombo misses 2-pt shot from 1 ft (block by M. Williams),,54-66,,
6:08.0,,,54-66,,Defensive rebound by S. Hawes
5:54.0,,,54-68,2,S. Hawes makes 2-pt shot at rim (assist by K. Walker)
5:26.0,D. DeRozan makes 2-pt shot from 8 ft (assist by T. Ross),2,56-68,,
5:07.0,,,56-68,,J. Lin misses 2-pt shot from 1 ft (block by D. DeRozan)
5:07.0,,,56-68,,Offensive rebound by Team
5:07.0,P. Patterson enters the game for K. Lowry,,56-68,,
5:07.0,,,56-68,,F. Kaminsky enters the game for M. Williams
4:58.0,,,56-70,2,J. Lin makes 2-pt shot at rim (assist by S. Hawes)
4:38.0,,,56-70,,Personal foul by J. Lin (drawn by D. DeRozan)
4:25.0,D. DeRozan misses 2-pt shot from 1 ft,,56-70,,
4:24.0,,,56-70,,Defensive rebound by F. Kaminsky
4:15.0,,,56-72,2,J. Lin makes 2-pt shot at rim (assist by K. Walker)
4:00.0,Offensive charge foul by C. Joseph,,56-72,,
4:00.0,Turnover by C. Joseph (offensive foul),,56-72,,
3:47.0,,,56-72,,J. Lin misses 2-pt shot from 1 ft
3:46.0,Defensive rebound by B. Biyombo,,56-72,,
3:35.0,C. Joseph makes 2-pt shot from 19 ft (assist by P. Patterson),2,58-72,,
3:09.0,,,58-72,,K. Walker misses 2-pt shot from 1 ft
3:07.0,Defensive rebound by C. Joseph,,58-72,,
2:58.0,C. Joseph misses 3-pt shot from 25 ft,,58-72,,
2:58.0,Offensive rebound by B. Biyombo,,58-72,,
2:58.0,Shooting foul by J. Lin (drawn by B. Biyombo),,58-72,,
2:58.0,,,58-72,,Charlotte full timeout
2:58.0,J. Johnson enters the game for T. Ross,,58-72,,
2:58.0,,,58-72,,J. Lamb enters the game for J. Lin
2:58.0,B. Biyombo makes free throw 1 of 2,1,59-72,,
2:58.0,B. Biyombo makes free throw 2 of 2,1,60-72,,
2:40.0,,,60-72,,F. Kaminsky misses 3-pt shot from 25 ft
2:39.0,Defensive rebound by B. Biyombo,,60-72,,
2:25.0,P. Patterson misses 3-pt shot from 25 ft,,60-72,,
2:24.0,,,60-72,,Defensive rebound by F. Kaminsky
2:14.0,,,60-72,,K. Walker misses 2-pt shot from 1 ft
2:13.0,Defensive rebound by B. Biyombo,,60-72,,
1:59.0,Turnover by J. Johnson (bad pass; steal by S. Hawes),,60-72,,
1:42.0,,,60-72,,Shooting foul by D. DeRozan (drawn by F. Kaminsky)
1:42.0,,,60-73,1,F. Kaminsky makes free throw 1 of 2
1:42.0,L. Scola enters the game for B. Biyombo,,60-73,,
1:42.0,,,60-73,,F. Kaminsky misses free throw 2 of 2
1:39.0,Defensive rebound by J. Johnson,,60-73,,
1:27.0,D. DeRozan misses 2-pt shot from 15 ft (block by K. Walker),,60-73,,
1:25.0,,,60-73,,Defensive rebound by K. Walker
1:21.0,,,60-75,2,K. Walker makes 2-pt shot from 1 ft
1:14.0,D. DeRozan makes 2-pt shot from 1 ft,2,62-75,,
0:57.0,,,62-75,,P. Hairston misses 3-pt shot from 24 ft
0:55.0,,,62-75,,Offensive rebound by K. Walker
0:54.0,,,62-77,2,K. Walker makes 2-pt shot at rim
0:39.0,,,62-77,,Personal foul by P. Hairston (drawn by D. DeRozan)
0:39.0,D. DeRozan misses free throw 1 of 2,,62-77,,
0:39.0,Offensive rebound by Team,,62-77,,
0:39.0,,,62-77,,T. Daniels enters the game for P. Hairston
0:39.0,D. DeRozan makes free throw 2 of 2,1,63-77,,
0:30.0,,,63-77,,Turnover by J. Lamb (traveling)
0:11.0,C. Joseph makes 2-pt shot from 5 ft (assist by P. Patterson),2,65-77,,
0:01.0,,,65-77,,Turnover by K. Walker (bad pass; steal by P. Patterson)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:49.0,Shooting foul by S. Hawes (drawn by J. Johnson),,65-77,,
11:49.0,J. Johnson makes free throw 1 of 2,1,66-77,,
11:49.0,J. Johnson makes free throw 2 of 2,1,67-77,,
11:36.0,,,67-77,,Shooting foul by K. Lowry (drawn by J. Lamb)
11:36.0,,,67-78,1,J. Lamb makes free throw 1 of 2
11:36.0,,,67-79,1,J. Lamb makes free throw 2 of 2
11:20.0,L. Scola misses 2-pt shot from 4 ft,,67-79,,
11:18.0,,,67-79,,Defensive rebound by S. Hawes
10:58.0,,,67-79,,Shooting foul by J. Johnson (drawn by J. Lin)
10:58.0,,,67-79,,J. Lin misses free throw 1 of 2
10:58.0,,,67-79,,Offensive rebound by Team
10:58.0,,,67-79,,J. Lin misses free throw 2 of 2
10:57.0,Defensive rebound by L. Scola,,67-79,,
10:47.0,Shooting foul by S. Hawes (drawn by K. Lowry),,67-79,,
10:47.0,K. Lowry misses free throw 1 of 2,,67-79,,
10:47.0,Offensive rebound by Team,,67-79,,
10:47.0,K. Lowry makes free throw 2 of 2,1,68-79,,
10:32.0,,,68-79,,J. Lamb misses 2-pt shot from 2 ft
10:31.0,Defensive rebound by N. Powell,,68-79,,
10:11.0,K. Lowry makes 3-pt shot from 24 ft (assist by P. Patterson),3,71-79,,
9:59.0,,,71-79,,Offensive charge foul by J. Lin
9:59.0,,,71-79,,Turnover by J. Lin (offensive foul)
9:59.0,,,71-79,,K. Walker enters the game for T. Daniels
9:49.0,Turnover by J. Johnson (lost ball; steal by S. Hawes),,71-79,,
9:47.0,Personal foul by K. Lowry (drawn by J. Lamb),,71-79,,
9:31.0,,,71-79,,Shooting foul by L. Scola (drawn by J. Lin)
9:31.0,,,71-80,1,J. Lin makes free throw 1 of 2
9:31.0,,,71-81,1,J. Lin makes free throw 2 of 2
9:11.0,P. Patterson makes 2-pt shot from 14 ft,2,73-81,,
9:00.0,Personal foul by L. Scola (drawn by F. Kaminsky),,73-81,,
9:00.0,,,73-82,1,F. Kaminsky makes free throw 1 of 2
9:00.0,B. Biyombo enters the game for L. Scola,,73-82,,
9:00.0,,,73-83,1,F. Kaminsky makes free throw 2 of 2
8:40.0,J. Johnson misses 3-pt shot from 23 ft,,73-83,,
8:40.0,Offensive rebound by Team,,73-83,,
8:40.0,,,73-83,,Loose ball foul by S. Hawes (drawn by B. Biyombo)
8:40.0,Official timeout,,73-83,,
8:40.0,T. Ross enters the game for N. Powell,,73-83,,
8:32.0,J. Johnson misses 2-pt shot from 3 ft (block by F. Kaminsky),,73-83,,
8:32.0,Offensive rebound by Team,,73-83,,
8:32.0,D. DeRozan enters the game for J. Johnson,,73-83,,
8:20.0,T. Ross misses 3-pt shot from 25 ft,,73-83,,
8:18.0,Offensive rebound by B. Biyombo,,73-83,,
8:18.0,B. Biyombo misses 2-pt shot at rim (block by S. Hawes),,73-83,,
8:15.0,Offensive rebound by Team,,73-83,,
8:15.0,,,73-83,,M. Williams enters the game for J. Lamb
8:07.0,D. DeRozan misses 2-pt shot from 19 ft,,73-83,,
8:06.0,,,73-83,,Defensive rebound by K. Walker
7:47.0,,,73-83,,J. Lin misses 2-pt shot from 9 ft
7:45.0,Defensive rebound by K. Lowry,,73-83,,
7:40.0,K. Lowry misses 2-pt shot from 1 ft (block by F. Kaminsky),,73-83,,
7:40.0,Offensive rebound by Team,,73-83,,
7:40.0,,,73-83,,C. Zeller enters the game for S. Hawes
7:27.0,D. DeRozan misses 2-pt shot from 19 ft,,73-83,,
7:26.0,,,73-83,,Defensive rebound by C. Zeller
7:08.0,,,73-85,2,J. Lin makes 2-pt shot from 5 ft (assist by C. Zeller)
6:52.0,K. Lowry misses 2-pt shot from 9 ft,,73-85,,
6:51.0,,,73-85,,Defensive rebound by C. Zeller
6:43.0,,,73-85,,K. Walker misses 2-pt shot from 1 ft (block by B. Biyombo)
6:43.0,Defensive rebound by Team,,73-85,,
6:29.0,T. Ross makes 2-pt shot from 17 ft (assist by K. Lowry),2,75-85,,
6:15.0,,,75-85,,Offensive foul by F. Kaminsky
6:15.0,,,75-85,,Turnover by F. Kaminsky (offensive foul)
5:58.0,P. Patterson misses 3-pt shot from 26 ft,,75-85,,
5:57.0,,,75-85,,Defensive rebound by M. Williams
5:45.0,,,75-85,,K. Walker misses 2-pt shot from 3 ft (block by B. Biyombo)
5:43.0,Defensive rebound by P. Patterson,,75-85,,
5:39.0,K. Lowry misses 2-pt shot from 2 ft (block by J. Lin),,75-85,,
5:35.0,,,75-85,,Defensive rebound by M. Williams
5:25.0,,,75-85,,M. Williams misses 3-pt shot from 25 ft
5:24.0,Defensive rebound by B. Biyombo,,75-85,,
5:03.0,D. DeRozan misses 2-pt shot from 7 ft,,75-85,,
5:01.0,,,75-85,,Defensive rebound by F. Kaminsky
4:55.0,,,75-85,,Charlotte full timeout
4:55.0,C. Joseph enters the game for P. Patterson,,75-85,,
4:55.0,,,75-85,,P. Hairston enters the game for F. Kaminsky
4:43.0,,,75-87,2,J. Lin makes 2-pt shot from 19 ft (assist by C. Zeller)
4:29.0,D. DeRozan makes 2-pt shot from 18 ft,2,77-87,,
3:58.0,,,77-87,,J. Lin misses 2-pt shot from 1 ft
3:57.0,Defensive rebound by D. DeRozan,,77-87,,
3:55.0,K. Lowry makes 2-pt shot from 14 ft,2,79-87,,
3:55.0,Shooting foul by P. Hairston (drawn by K. Lowry),,79-87,,
3:55.0,K. Lowry makes free throw 1 of 1,1,80-87,,
3:47.0,,,80-87,,Offensive foul by C. Zeller
3:47.0,,,80-87,,Turnover by C. Zeller (offensive foul)
3:33.0,K. Lowry makes 3-pt shot from 24 ft (assist by D. DeRozan),3,83-87,,
3:11.0,,,83-87,,P. Hairston misses 2-pt shot from 12 ft
3:11.0,Defensive rebound by Team,,83-87,,
2:58.0,D. DeRozan misses 2-pt shot from 6 ft,,83-87,,
2:58.0,,,83-87,,Defensive rebound by Team
2:58.0,Loose ball foul by B. Biyombo (drawn by J. Lin),,83-87,,
2:58.0,Toronto full timeout,,83-87,,
2:58.0,,,83-88,1,J. Lin makes free throw 1 of 2
2:58.0,,,83-89,1,J. Lin makes free throw 2 of 2
2:44.0,K. Lowry misses 3-pt shot from 25 ft,,83-89,,
