time,Milwaukee,pts.away,score,pts.home,Golden State
6:55.0,,,15-14,,K. Thompson misses 3-pt shot from 27 ft
6:54.0,,,15-14,,Offensive rebound by B. Rush
6:48.0,,,15-16,2,S. Curry makes 2-pt shot from 10 ft (assist by B. Rush)
6:40.0,J. Parker misses 2-pt shot from 3 ft (block by K. Thompson),,15-16,,
6:40.0,Offensive rebound by G. Antetokounmpo,,15-16,,
6:40.0,Shooting foul by A. Bogut (drawn by G. Antetokounmpo),,15-16,,
6:40.0,G. Antetokounmpo makes free throw 1 of 2,1,16-16,,
6:40.0,,,16-16,,F. Ezeli enters the game for A. Bogut
6:40.0,G. Antetokounmpo misses free throw 2 of 2,,16-16,,
6:39.0,,,16-16,,Defensive rebound by B. Rush
6:28.0,,,16-19,3,B. Rush makes 3-pt shot from 23 ft (assist by D. Green)
6:13.0,M. Carter-Williams makes 2-pt shot from 6 ft,2,18-19,,
6:06.0,,,18-19,,F. Ezeli misses 2-pt shot from 1 ft
6:06.0,Defensive rebound by G. Monroe,,18-19,,
5:55.0,K. Middleton makes 2-pt shot from 1 ft (assist by G. Monroe),2,20-19,,
5:39.0,,,20-19,,B. Rush misses 3-pt shot from 22 ft
5:39.0,,,20-19,,Offensive rebound by S. Curry
5:28.0,,,20-21,2,K. Thompson makes 2-pt shot from 1 ft
5:07.0,G. Monroe misses 2-pt shot from 9 ft,,20-21,,
5:06.0,Offensive rebound by M. Carter-Williams,,20-21,,
5:06.0,M. Carter-Williams makes 2-pt shot from 1 ft,2,22-21,,
5:00.0,,,22-21,,Golden State full timeout
5:00.0,,,22-21,,A. Iguodala enters the game for B. Rush
5:00.0,J. O'Bryant enters the game for J. Parker,,22-21,,
5:00.0,J. Henson enters the game for G. Monroe,,22-21,,
4:52.0,,,22-24,3,S. Curry makes 3-pt shot from 26 ft (assist by A. Iguodala)
4:39.0,Shooting foul by D. Green (drawn by M. Carter-Williams),,22-24,,
4:39.0,M. Carter-Williams makes free throw 1 of 2,1,23-24,,
4:39.0,M. Carter-Williams makes free throw 2 of 2,1,24-24,,
4:31.0,,,24-26,2,D. Green makes 2-pt shot from 1 ft (assist by S. Curry)
4:31.0,,,24-26,,Shooting foul by J. Henson (drawn by D. Green)
4:31.0,,,24-27,1,D. Green makes free throw 1 of 1
4:18.0,,,24-27,,Personal foul by K. Thompson (drawn by G. Antetokounmpo)
4:13.0,Turnover by M. Carter-Williams (back court),,24-27,,
4:02.0,,,24-27,,F. Ezeli misses 2-pt shot from 2 ft
4:01.0,Defensive rebound by K. Middleton,,24-27,,
3:56.0,G. Antetokounmpo misses 2-pt shot from 2 ft,,24-27,,
3:56.0,,,24-27,,Defensive rebound by Team
3:56.0,Loose ball foul by J. Henson (drawn by F. Ezeli),,24-27,,
3:46.0,,,24-27,,Turnover by K. Thompson (bad pass)
3:33.0,M. Carter-Williams misses 2-pt shot from 8 ft,,24-27,,
3:33.0,,,24-27,,Defensive rebound by F. Ezeli
3:22.0,,,24-27,,D. Green misses 2-pt shot from 10 ft
3:21.0,,,24-27,,Offensive rebound by F. Ezeli
3:21.0,,,24-29,2,F. Ezeli makes 2-pt shot at rim
3:02.0,K. Middleton makes 2-pt shot from 14 ft (assist by M. Carter-Williams),2,26-29,,
2:54.0,Personal foul by J. Henson (drawn by S. Curry),,26-29,,
2:54.0,Milwaukee full timeout,,26-29,,
2:54.0,M. Plumlee enters the game for G. Antetokounmpo,,26-29,,
2:54.0,O. Mayo enters the game for J. Henson,,26-29,,
2:51.0,,,26-29,,Turnover by S. Curry (traveling)
2:36.0,O. Mayo misses 3-pt shot from 24 ft,,26-29,,
2:35.0,,,26-29,,Defensive rebound by S. Curry
2:15.0,,,26-29,,A. Iguodala misses 3-pt shot from 23 ft
2:14.0,Defensive rebound by M. Carter-Williams,,26-29,,
2:06.0,Shooting foul by F. Ezeli (drawn by M. Plumlee),,26-29,,
2:06.0,M. Plumlee makes free throw 1 of 2,1,27-29,,
2:06.0,,,27-29,,S. Livingston enters the game for K. Thompson
2:06.0,M. Plumlee makes free throw 2 of 2,1,28-29,,
1:55.0,Personal foul by O. Mayo (drawn by S. Curry),,28-29,,
1:55.0,,,28-30,1,S. Curry makes free throw 1 of 2
1:55.0,,,28-31,1,S. Curry makes free throw 2 of 2
1:34.0,M. Plumlee makes 2-pt shot from 7 ft,2,30-31,,
1:27.0,,,30-31,,Turnover by D. Green (bad pass; steal by K. Middleton)
1:22.0,K. Middleton makes 2-pt shot from 3 ft,2,32-31,,
1:22.0,,,32-31,,Shooting block foul by S. Curry (drawn by K. Middleton)
1:22.0,K. Middleton makes free throw 1 of 1,1,33-31,,
1:08.0,,,33-31,,S. Livingston misses 2-pt shot from 15 ft
1:08.0,Defensive rebound by J. O'Bryant,,33-31,,
0:52.0,M. Carter-Williams misses 2-pt shot from 8 ft,,33-31,,
0:52.0,Offensive rebound by M. Plumlee,,33-31,,
0:37.0,Shooting foul by S. Curry (drawn by M. Carter-Williams),,33-31,,
0:37.0,M. Carter-Williams misses free throw 1 of 2,,33-31,,
0:37.0,Offensive rebound by Team,,33-31,,
0:37.0,M. Carter-Williams makes free throw 2 of 2,1,34-31,,
0:31.0,,,34-33,2,S. Livingston makes 2-pt shot at rim (assist by S. Curry)
0:06.0,M. Plumlee makes 2-pt shot from 2 ft (assist by K. Middleton),2,36-33,,
0:02.0,,,36-33,,S. Curry misses 3-pt shot from 27 ft
0:00.0,,,36-33,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,G. Antetokounmpo makes 2-pt shot from 6 ft (assist by O. Mayo),2,38-33,,
11:42.0,,,38-33,,Offensive foul by L. Barbosa
11:42.0,,,38-33,,Turnover by L. Barbosa (offensive foul)
11:30.0,G. Antetokounmpo makes 2-pt shot from 3 ft,2,40-33,,
11:30.0,Shooting foul by A. Iguodala (drawn by G. Antetokounmpo),,40-33,,
11:30.0,G. Antetokounmpo makes free throw 1 of 1,1,41-33,,
11:23.0,Personal foul by O. Mayo (drawn by S. Livingston),,41-33,,
11:15.0,,,41-33,,M. Speights misses 2-pt shot from 4 ft
11:14.0,,,41-33,,Offensive rebound by F. Ezeli
10:58.0,,,41-33,,M. Speights misses 2-pt shot from 7 ft
10:58.0,Defensive rebound by M. Plumlee,,41-33,,
10:42.0,G. Antetokounmpo misses 2-pt shot from 8 ft,,41-33,,
10:41.0,,,41-33,,Defensive rebound by M. Speights
10:34.0,,,41-33,,L. Barbosa misses 2-pt shot from 1 ft
10:33.0,,,41-33,,Offensive rebound by F. Ezeli
10:33.0,,,41-35,2,F. Ezeli makes 2-pt shot at rim
10:15.0,Shooting foul by F. Ezeli (drawn by M. Plumlee),,41-35,,
10:15.0,M. Plumlee misses free throw 1 of 2,,41-35,,
10:15.0,Offensive rebound by Team,,41-35,,
10:15.0,M. Plumlee makes free throw 2 of 2,1,42-35,,
9:57.0,,,42-35,,M. Speights misses 2-pt shot at rim
9:56.0,,,42-35,,Offensive rebound by Team
9:52.0,,,42-37,2,L. Barbosa makes 2-pt shot from 1 ft (assist by S. Livingston)
9:34.0,Offensive foul by G. Antetokounmpo,,42-37,,
9:34.0,Turnover by G. Antetokounmpo (offensive foul),,42-37,,
9:19.0,,,42-39,2,S. Livingston makes 2-pt shot from 12 ft
9:06.0,O. Mayo misses 2-pt shot from 8 ft,,42-39,,
9:04.0,Offensive rebound by O. Mayo,,42-39,,
9:00.0,O. Mayo makes 2-pt shot from 14 ft,2,44-39,,
8:40.0,,,44-39,,S. Livingston misses 3-pt shot from 24 ft
8:39.0,Defensive rebound by O. Mayo,,44-39,,
8:36.0,,,44-39,,Personal foul by M. Speights (drawn by O. Mayo)
8:36.0,Official timeout,,44-39,,
8:29.0,,,44-39,,Personal foul by F. Ezeli (drawn by M. Plumlee)
8:29.0,M. Plumlee makes free throw 1 of 2,1,45-39,,
8:29.0,,,45-39,,K. Thompson enters the game for F. Ezeli
8:29.0,M. Plumlee makes free throw 2 of 2,1,46-39,,
8:20.0,Personal foul by O. Mayo (drawn by K. Thompson),,46-39,,
8:20.0,G. Monroe enters the game for M. Plumlee,,46-39,,
8:20.0,M. Carter-Williams enters the game for O. Mayo,,46-39,,
8:18.0,Violation by G. Antetokounmpo (kicked ball),,46-39,,
8:11.0,,,46-41,2,M. Speights makes 2-pt shot from 8 ft (assist by S. Livingston)
7:57.0,Turnover by J. O'Bryant (3 sec),,46-41,,
7:45.0,,,46-41,,A. Iguodala misses 3-pt shot from 24 ft
7:45.0,Defensive rebound by G. Monroe,,46-41,,
7:33.0,R. Vaughn makes 3-pt shot from 25 ft (assist by G. Antetokounmpo),3,49-41,,
7:23.0,,,49-41,,Shooting foul by J. O'Bryant (drawn by L. Barbosa)
7:23.0,,,49-42,1,L. Barbosa makes free throw 1 of 2
7:23.0,,,49-42,,D. Green enters the game for A. Iguodala
7:23.0,,,49-43,1,L. Barbosa makes free throw 2 of 2
7:14.0,M. Carter-Williams misses 2-pt shot from 10 ft,,49-43,,
7:13.0,,,49-43,,Defensive rebound by D. Green
7:05.0,,,49-43,,L. Barbosa misses 2-pt shot from 12 ft
7:04.0,Defensive rebound by G. Antetokounmpo,,49-43,,
6:49.0,Turnover by R. Vaughn (step out of bounds),,49-43,,
6:35.0,,,49-43,,Turnover by L. Barbosa (lost ball; steal by J. O'Bryant)
6:31.0,Turnover by G. Monroe (lost ball; steal by K. Thompson),,49-43,,
6:26.0,,,49-45,2,L. Barbosa makes 2-pt shot from 1 ft (assist by S. Livingston)
6:26.0,Milwaukee full timeout,,49-45,,
6:26.0,,,49-45,,S. Curry enters the game for L. Barbosa
6:26.0,K. Middleton enters the game for J. O'Bryant,,49-45,,
6:26.0,J. Parker enters the game for R. Vaughn,,49-45,,
6:08.0,J. Parker makes 2-pt shot from 18 ft (assist by G. Monroe),2,51-45,,
5:52.0,,,51-45,,K. Thompson misses 3-pt shot from 26 ft
5:52.0,Defensive rebound by G. Monroe,,51-45,,
5:38.0,G. Antetokounmpo makes 2-pt shot from 8 ft,2,53-45,,
5:26.0,,,53-45,,S. Livingston misses 2-pt shot from 8 ft
5:25.0,Defensive rebound by G. Monroe,,53-45,,
5:12.0,G. Antetokounmpo misses 2-pt shot from 3 ft,,53-45,,
5:10.0,Offensive rebound by G. Monroe,,53-45,,
5:10.0,G. Monroe makes 2-pt shot from 1 ft,2,55-45,,
4:57.0,,,55-47,2,K. Thompson makes 2-pt shot from 18 ft (assist by D. Green)
4:33.0,J. Parker makes 2-pt shot from 10 ft (assist by M. Carter-Williams),2,57-47,,
4:25.0,,,57-47,,B. Rush enters the game for S. Livingston
4:17.0,,,57-47,,S. Curry misses 2-pt shot from 9 ft
4:16.0,Defensive rebound by G. Monroe,,57-47,,
4:10.0,J. Parker misses 2-pt shot from 2 ft,,57-47,,
4:07.0,Offensive rebound by G. Antetokounmpo,,57-47,,
4:07.0,G. Antetokounmpo misses 2-pt shot from 1 ft,,57-47,,
4:04.0,,,57-47,,Defensive rebound by M. Speights
4:04.0,,,57-47,,Shooting foul by G. Monroe (drawn by K. Thompson)
4:04.0,,,57-48,1,K. Thompson makes free throw 1 of 2
4:04.0,,,57-48,,J. Thompson enters the game for M. Speights
4:04.0,,,57-49,1,K. Thompson makes free throw 2 of 2
3:44.0,G. Antetokounmpo makes 2-pt shot from 1 ft,2,59-49,,
3:33.0,,,59-49,,D. Green misses 2-pt shot from 6 ft
3:31.0,,,59-49,,Offensive rebound by D. Green
3:31.0,,,59-49,,D. Green misses 2-pt shot from 1 ft
3:29.0,Defensive rebound by G. Monroe,,59-49,,
3:13.0,K. Middleton makes 3-pt shot from 26 ft (assist by G. Monroe),3,62-49,,
2:56.0,,,62-52,3,K. Thompson makes 3-pt shot from 24 ft (assist by S. Curry)
2:34.0,G. Monroe makes 2-pt shot from 2 ft (assist by G. Antetokounmpo),2,64-52,,
2:19.0,,,64-52,,Shooting foul by G. Monroe (drawn by K. Thompson)
2:19.0,,,64-52,,Golden State full timeout
2:19.0,M. Plumlee enters the game for G. Monroe,,64-52,,
2:19.0,,,64-53,1,K. Thompson makes free throw 1 of 2
2:19.0,,,64-54,1,K. Thompson makes free throw 2 of 2
2:01.0,Shooting foul by J. Thompson (drawn by J. Parker),,64-54,,
2:01.0,J. Parker makes free throw 1 of 2,1,65-54,,
2:01.0,J. Parker makes free throw 2 of 2,1,66-54,,
1:52.0,,,66-56,2,K. Thompson makes 2-pt shot at rim (assist by D. Green)
1:29.0,J. Parker makes 2-pt shot from 11 ft (assist by G. Antetokounmpo),2,68-56,,
1:17.0,,,68-58,2,J. Thompson makes 2-pt shot at rim (assist by S. Curry)
1:00.0,Turnover by G. Antetokounmpo (bad pass; steal by D. Green),,68-58,,
0:52.0,,,68-58,,K. Thompson misses 3-pt shot from 25 ft
0:51.0,Defensive rebound by K. Middleton,,68-58,,
0:32.0,J. Parker misses 2-pt shot from 14 ft,,68-58,,
0:31.0,,,68-58,,Defensive rebound by S. Curry
0:27.0,,,68-58,,S. Curry misses 3-pt shot from 25 ft
0:26.0,Defensive rebound by Team,,68-58,,
0:25.0,,,68-58,,Loose ball foul by J. Thompson (drawn by M. Plumlee)
0:25.0,M. Plumlee makes free throw 1 of 2,1,69-58,,
0:25.0,,,69-58,,A. Iguodala enters the game for J. Thompson
0:25.0,M. Plumlee makes free throw 2 of 2,1,70-58,,
0:06.0,,,70-58,,S. Curry misses 3-pt shot from 25 ft
0:04.0,,,70-58,,Offensive rebound by B. Rush
0:04.0,,,70-58,,B. Rush misses 2-pt shot from 1 ft
0:02.0,Defensive rebound by J. Parker,,70-58,,
0:00.0,J. Parker misses 3-pt shot from 28 ft,,70-58,,
0:00.0,Offensive rebound by Team,,70-58,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,M. Carter-Williams makes 2-pt shot from 1 ft,2,72-58,,
11:34.0,Personal foul by G. Antetokounmpo (drawn by D. Green),,72-58,,
11:30.0,,,72-60,2,F. Ezeli makes 2-pt shot at rim (assist by K. Thompson)
11:09.0,K. Middleton makes 3-pt shot from 24 ft (assist by M. Carter-Williams),3,75-60,,
10:53.0,,,75-60,,Shooting foul by G. Antetokounmpo (drawn by F. Ezeli)
10:53.0,,,75-60,,F. Ezeli misses free throw 1 of 2
10:53.0,,,75-60,,Offensive rebound by Team
10:53.0,,,75-60,,F. Ezeli misses free throw 2 of 2
10:52.0,Defensive rebound by G. Monroe,,75-60,,
10:37.0,Turnover by J. Parker (bad pass; steal by F. Ezeli),,75-60,,
10:27.0,,,75-60,,Turnover by D. Green (bad pass)
10:05.0,G. Monroe misses 2-pt shot from 14 ft,,75-60,,
10:05.0,,,75-60,,Defensive rebound by D. Green
9:58.0,,,75-62,2,F. Ezeli makes 2-pt shot at rim (assist by D. Green)
9:36.0,G. Monroe makes 2-pt shot from 2 ft (assist by M. Carter-Williams),2,77-62,,
9:23.0,,,77-65,3,B. Rush makes 3-pt shot from 23 ft (assist by F. Ezeli)
8:55.0,K. Middleton misses 3-pt shot from 22 ft,,77-65,,
8:55.0,,,77-65,,Defensive rebound by D. Green
8:49.0,,,77-67,2,B. Rush makes 2-pt shot from 21 ft (assist by F. Ezeli)
8:23.0,K. Middleton misses 3-pt shot from 25 ft,,77-67,,
8:23.0,,,77-67,,Defensive rebound by D. Green
8:17.0,,,77-67,,D. Green misses 2-pt shot from 2 ft (block by G. Monroe)
8:16.0,,,77-67,,Offensive rebound by F. Ezeli
8:15.0,,,77-67,,Turnover by F. Ezeli (lost ball; steal by M. Carter-Williams)
8:09.0,M. Carter-Williams makes 2-pt shot from 2 ft (assist by G. Monroe),2,79-67,,
8:01.0,,,79-67,,Shooting foul by G. Antetokounmpo (drawn by D. Green)
8:01.0,,,79-68,1,D. Green makes free throw 1 of 2
8:01.0,O. Mayo enters the game for G. Antetokounmpo,,79-68,,
8:01.0,,,79-69,1,D. Green makes free throw 2 of 2
7:48.0,Turnover by O. Mayo (lost ball; steal by F. Ezeli),,79-69,,
7:41.0,,,79-69,,B. Rush misses 2-pt shot from 1 ft
7:39.0,,,79-69,,Offensive rebound by D. Green
7:39.0,,,79-71,2,D. Green makes 2-pt shot from 1 ft
7:39.0,Milwaukee full timeout,,79-71,,
7:24.0,Turnover by O. Mayo (bad pass; steal by S. Curry),,79-71,,
7:18.0,,,79-71,,Turnover by S. Curry (bad pass; steal by G. Monroe)
7:12.0,G. Monroe misses 2-pt shot from 4 ft,,79-71,,
7:12.0,Offensive rebound by G. Monroe,,79-71,,
7:08.0,G. Monroe misses 2-pt shot from 5 ft,,79-71,,
7:06.0,,,79-71,,Defensive rebound by F. Ezeli
6:48.0,,,79-73,2,K. Thompson makes 2-pt shot from 4 ft (assist by D. Green)
6:28.0,G. Monroe makes 2-pt shot from 3 ft (assist by K. Middleton),2,81-73,,
6:11.0,,,81-73,,Turnover by S. Curry (traveling)
5:46.0,M. Carter-Williams misses 2-pt shot from 3 ft,,81-73,,
5:45.0,Offensive rebound by G. Monroe,,81-73,,
5:41.0,Offensive foul by G. Monroe,,81-73,,
5:41.0,Turnover by G. Monroe (offensive foul),,81-73,,
5:28.0,,,81-76,3,K. Thompson makes 3-pt shot from 25 ft (assist by S. Curry)
5:06.0,O. Mayo misses 3-pt shot from 26 ft,,81-76,,
5:05.0,,,81-76,,Defensive rebound by K. Thompson
4:57.0,,,81-76,,K. Thompson misses 3-pt shot from 26 ft
4:57.0,Defensive rebound by Team,,81-76,,
4:57.0,M. Plumlee enters the game for G. Monroe,,81-76,,
4:41.0,K. Middleton misses 2-pt shot from 9 ft,,81-76,,
4:40.0,,,81-76,,Defensive rebound by S. Curry
4:33.0,,,81-78,2,S. Curry makes 2-pt shot from 21 ft
4:24.0,,,81-78,,Personal foul by K. Thompson (drawn by O. Mayo)
4:24.0,O. Mayo makes free throw 1 of 2,1,82-78,,
4:24.0,,,82-78,,A. Iguodala enters the game for B. Rush
4:24.0,O. Mayo makes free throw 2 of 2,1,83-78,,
4:11.0,,,83-78,,K. Thompson misses 3-pt shot from 24 ft
4:11.0,Defensive rebound by Team,,83-78,,
4:11.0,,,83-78,,J. McAdoo enters the game for F. Ezeli
3:59.0,M. Carter-Williams misses 2-pt shot from 9 ft,,83-78,,
3:58.0,,,83-78,,Defensive rebound by J. McAdoo
3:52.0,,,83-78,,Offensive foul by J. McAdoo
3:52.0,,,83-78,,Turnover by J. McAdoo (offensive foul)
3:34.0,J. Parker misses 2-pt shot from 16 ft,,83-78,,
3:32.0,,,83-78,,Defensive rebound by S. Curry
3:27.0,,,83-80,2,J. McAdoo makes 2-pt shot at rim (assist by S. Curry)
3:26.0,Milwaukee full timeout,,83-80,,
3:07.0,M. Carter-Williams makes 3-pt shot from 25 ft,3,86-80,,
2:50.0,,,86-80,,S. Curry misses 2-pt shot from 1 ft (block by J. Parker)
2:47.0,Defensive rebound by M. Plumlee,,86-80,,
2:39.0,K. Middleton misses 2-pt shot from 16 ft,,86-80,,
2:38.0,,,86-80,,Defensive rebound by S. Curry
2:32.0,,,86-80,,K. Thompson misses 3-pt shot from 25 ft
2:31.0,,,86-80,,Offensive rebound by Team
2:30.0,,,86-80,,S. Livingston enters the game for K. Thompson
2:15.0,,,86-80,,Turnover by A. Iguodala (traveling)
2:06.0,Shooting foul by S. Livingston (drawn by O. Mayo),,86-80,,
2:06.0,O. Mayo makes free throw 1 of 3,1,87-80,,
2:06.0,O. Mayo makes free throw 2 of 3,1,88-80,,
2:06.0,O. Mayo makes free throw 3 of 3,1,89-80,,
1:54.0,,,89-83,3,D. Green makes 3-pt shot from 24 ft (assist by A. Iguodala)
1:32.0,M. Carter-Williams misses 2-pt shot from 2 ft (block by J. McAdoo),,89-83,,
1:30.0,,,89-83,,Defensive rebound by S. Livingston
1:27.0,,,89-83,,Shooting foul by O. Mayo (drawn by D. Green)
1:27.0,,,89-83,,D. Green misses free throw 1 of 2
1:27.0,,,89-83,,Offensive rebound by Team
1:27.0,,,89-83,,D. Green misses free throw 2 of 2
1:26.0,Defensive rebound by J. Parker,,89-83,,
1:02.0,Turnover by J. Parker (bad pass; steal by J. McAdoo),,89-83,,
0:48.0,,,89-83,,A. Iguodala misses 2-pt shot from 2 ft
0:47.0,Defensive rebound by M. Plumlee,,89-83,,
0:43.0,J. Parker makes 2-pt shot at rim (assist by O. Mayo),2,91-83,,
0:43.0,Shooting foul by J. McAdoo (drawn by J. Parker),,91-83,,
0:43.0,J. Parker misses free throw 1 of 1,,91-83,,
0:41.0,,,91-83,,Defensive rebound by D. Green
0:33.0,,,91-83,,D. Green misses 2-pt shot from 3 ft (block by M. Plumlee)
0:31.0,Defensive rebound by M. Carter-Williams,,91-83,,
0:11.0,M. Carter-Williams makes 2-pt shot from 3 ft,2,93-83,,
0:04.0,,,93-83,,Shooting foul by M. Carter-Williams (drawn by S. Curry)
0:04.0,,,93-84,1,S. Curry makes free throw 1 of 2
0:04.0,,,93-85,1,S. Curry makes free throw 2 of 2
0:00.0,K. Middleton misses 3-pt shot from 26 ft,,93-85,,
0:00.0,Offensive rebound by Team,,93-85,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,,,93-85,,L. Barbosa misses 3-pt shot from 26 ft
11:39.0,,,93-85,,Offensive rebound by M. Speights
11:39.0,,,93-85,,M. Speights misses 2-pt shot at rim
11:38.0,,,93-85,,Offensive rebound by J. McAdoo
11:21.0,,,93-85,,S. Livingston misses 2-pt shot from 2 ft (block by M. Plumlee)
11:20.0,Defensive rebound by M. Plumlee,,93-85,,
11:10.0,M. Plumlee makes 2-pt shot at rim (assist by O. Mayo),2,95-85,,
11:08.0,,,95-85,,Technical foul by M. Speights
11:08.0,O. Mayo makes technical free throw,1,96-85,,
10:53.0,,,96-85,,L. Barbosa misses 2-pt shot from 9 ft
10:52.0,,,96-85,,Offensive rebound by Team
10:46.0,,,96-87,2,J. McAdoo makes 2-pt shot from 10 ft (assist by S. Livingston)
10:29.0,G. Antetokounmpo makes 2-pt shot from 9 ft (assist by R. Vaughn),2,98-87,,
10:17.0,,,98-87,,A. Iguodala misses 2-pt shot from 2 ft (block by M. Plumlee)
10:15.0,,,98-87,,Offensive rebound by J. McAdoo
10:12.0,Personal foul by M. Plumlee (drawn by M. Speights),,98-87,,
10:03.0,,,98-89,2,M. Speights makes 2-pt shot from 5 ft
9:42.0,G. Antetokounmpo misses 2-pt shot from 8 ft,,98-89,,
9:40.0,Offensive rebound by O. Mayo,,98-89,,
9:34.0,O. Mayo misses 3-pt shot from 25 ft,,98-89,,
9:33.0,Offensive rebound by M. Plumlee,,98-89,,
9:19.0,O. Mayo makes 2-pt shot from 11 ft,2,100-89,,
9:07.0,,,100-89,,M. Speights misses 2-pt shot from 17 ft
9:06.0,Defensive rebound by G. Antetokounmpo,,100-89,,
8:54.0,,,100-89,,Personal foul by L. Barbosa (drawn by G. Antetokounmpo)
8:54.0,Official timeout,,100-89,,
8:54.0,,,100-89,,S. Curry enters the game for A. Iguodala
8:54.0,,,100-89,,D. Green enters the game for L. Barbosa
8:54.0,,,100-89,,K. Thompson enters the game for M. Speights
8:54.0,,,100-89,,F. Ezeli enters the game for J. McAdoo
8:45.0,G. Antetokounmpo misses 2-pt shot from 5 ft,,100-89,,
8:44.0,Offensive rebound by J. O'Bryant,,100-89,,
8:44.0,J. O'Bryant misses 2-pt shot from 1 ft,,100-89,,
8:43.0,Offensive rebound by M. Plumlee,,100-89,,
8:40.0,,,100-89,,Personal foul by D. Green (drawn by R. Vaughn)
8:23.0,G. Antetokounmpo misses 2-pt shot from 8 ft,,100-89,,
8:23.0,,,100-89,,Defensive rebound by F. Ezeli
8:09.0,,,100-89,,K. Thompson misses 3-pt shot from 25 ft
8:08.0,Defensive rebound by J. O'Bryant,,100-89,,
7:54.0,O. Mayo misses 3-pt shot from 23 ft,,100-89,,
7:54.0,,,100-89,,Defensive rebound by S. Livingston
7:44.0,,,100-91,2,D. Green makes 2-pt shot from 3 ft (assist by S. Livingston)
7:44.0,,,100-91,,Shooting foul by J. O'Bryant (drawn by D. Green)
7:44.0,,,100-91,,B. Rush enters the game for S. Livingston
7:44.0,K. Middleton enters the game for J. O'Bryant,,100-91,,
7:44.0,,,100-92,1,D. Green makes free throw 1 of 1
7:20.0,G. Antetokounmpo misses 2-pt shot from 4 ft,,100-92,,
7:18.0,,,100-92,,Defensive rebound by S. Curry
7:12.0,,,100-94,2,D. Green makes 2-pt shot from 1 ft (assist by S. Curry)
