time,Utah,pts.away,score,pts.home,San Antonio
5:07.0,,,14-21,,Defensive rebound by D. West
4:58.0,,,14-23,2,D. West makes 2-pt shot from 18 ft (assist by K. Leonard)
4:34.0,R. Hood misses 3-pt shot from 24 ft,,14-23,,
4:34.0,,,14-23,,Defensive rebound by D. West
4:24.0,Def 3 sec tech foul by T. Pleiss,,14-23,,
4:24.0,,,14-24,1,K. Leonard makes technical free throw
4:24.0,,,14-24,,B. Diaw enters the game for D. West
4:24.0,,,14-24,,J. Simmons enters the game for K. Leonard
4:24.0,T. Booker enters the game for T. Lyles,,14-24,,
4:14.0,,,14-24,,Turnover by J. Simmons (lost ball)
3:57.0,G. Hayward misses 2-pt shot at rim,,14-24,,
3:56.0,,,14-24,,Defensive rebound by B. Diaw
3:34.0,,,14-24,,T. Duncan misses 2-pt shot from 8 ft
3:34.0,Defensive rebound by T. Booker,,14-24,,
3:34.0,,,14-24,,Loose ball foul by M. Ginobili (drawn by R. Hood)
3:34.0,C. Johnson enters the game for G. Hayward,,14-24,,
3:17.0,T. Burke makes 2-pt shot from 14 ft,2,16-24,,
3:17.0,,,16-24,,San Antonio full timeout
3:17.0,,,16-24,,P. Mills enters the game for R. McCallum
3:00.0,,,16-26,2,B. Diaw makes 2-pt shot at rim
2:42.0,T. Burke misses 2-pt shot from 15 ft,,16-26,,
2:41.0,,,16-26,,Defensive rebound by T. Duncan
2:29.0,,,16-29,3,M. Ginobili makes 3-pt shot from 24 ft
2:11.0,T. Pleiss misses 2-pt shot at rim,,16-29,,
2:10.0,,,16-29,,Defensive rebound by T. Duncan
2:07.0,,,16-29,,Offensive charge foul by J. Simmons
2:07.0,,,16-29,,Turnover by J. Simmons (offensive foul)
2:07.0,,,16-29,,B. Marjanovic enters the game for T. Duncan
1:57.0,,,16-29,,Personal foul by J. Simmons (drawn by R. Hood)
1:44.0,T. Burke makes 2-pt shot from 10 ft,2,18-29,,
1:32.0,Personal foul by C. Johnson (drawn by B. Diaw),,18-29,,
1:32.0,J. Ingles enters the game for R. Hood,,18-29,,
1:20.0,,,18-29,,B. Diaw misses 3-pt shot from 23 ft
1:19.0,Defensive rebound by C. Johnson,,18-29,,
1:02.0,T. Burke makes 2-pt shot from 14 ft (assist by C. Johnson),2,20-29,,
0:43.0,,,20-32,3,J. Simmons makes 3-pt shot from 24 ft (assist by B. Diaw)
0:34.0,Turnover by T. Booker (bad pass),,20-32,,
0:29.0,,,20-32,,M. Ginobili misses 3-pt shot from 24 ft
0:28.0,Defensive rebound by T. Booker,,20-32,,
0:14.0,T. Pleiss makes 2-pt shot at rim (assist by T. Burke),2,22-32,,
0:02.0,,,22-32,,P. Mills misses 2-pt shot at rim
0:01.0,Defensive rebound by T. Burke,,22-32,,
0:00.0,T. Burke misses 3-pt shot from 45 ft,,22-32,,
0:00.0,Offensive rebound by Team,,22-32,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,,,22-32,,Turnover by M. Ginobili (bad pass; steal by T. Pleiss)
11:41.0,,,22-32,,Violation by J. Simmons (def goaltending)
11:41.0,J. Ingles makes 2-pt shot from 1 ft,2,24-32,,
11:41.0,Shooting foul by J. Simmons (drawn by J. Ingles),,24-32,,
11:41.0,J. Ingles makes free throw 1 of 1,1,25-32,,
11:29.0,,,25-34,2,J. Simmons makes 2-pt shot from 1 ft (assist by B. Diaw)
11:29.0,,,25-34,,Shooting foul by T. Pleiss (drawn by J. Simmons)
11:29.0,G. Hayward enters the game for C. Johnson,,25-34,,
11:29.0,,,25-35,1,J. Simmons makes free throw 1 of 1
11:11.0,Turnover by J. Ingles (discontinued dribble),,25-35,,
10:55.0,,,25-35,,M. Ginobili misses 2-pt shot at rim
10:55.0,,,25-35,,Offensive rebound by B. Marjanovic
10:51.0,,,25-37,2,B. Marjanovic makes 2-pt shot at rim
10:32.0,T. Burke makes 2-pt shot from 12 ft,2,27-37,,
10:20.0,,,27-37,,P. Mills misses 3-pt shot from 26 ft
10:20.0,Defensive rebound by J. Ingles,,27-37,,
10:14.0,T. Burke misses 2-pt shot from 15 ft,,27-37,,
10:13.0,,,27-37,,Defensive rebound by B. Marjanovic
10:04.0,,,27-39,2,M. Ginobili makes 2-pt shot at rim
9:55.0,,,27-39,,Personal foul by J. Simmons (drawn by G. Hayward)
9:55.0,J. Withey enters the game for T. Pleiss,,27-39,,
9:55.0,,,27-39,,R. McCallum enters the game for P. Mills
9:42.0,Turnover by G. Hayward (lost ball; steal by J. Simmons),,27-39,,
9:40.0,Personal foul by T. Burke (drawn by B. Diaw),,27-39,,
9:33.0,,,27-39,,M. Ginobili misses 2-pt shot from 11 ft
9:31.0,Defensive rebound by J. Withey,,27-39,,
9:26.0,Turnover by T. Booker (bad pass),,27-39,,
9:26.0,,,27-39,,K. Leonard enters the game for J. Simmons
9:26.0,C. Johnson enters the game for J. Ingles,,27-39,,
9:11.0,,,27-42,3,K. Leonard makes 3-pt shot from 23 ft (assist by M. Ginobili)
8:50.0,T. Booker misses 2-pt shot from 19 ft,,27-42,,
8:49.0,,,27-42,,Defensive rebound by B. Marjanovic
8:41.0,,,27-44,2,B. Marjanovic makes 2-pt shot at rim (assist by B. Diaw)
8:34.0,Utah full timeout,,27-44,,
8:34.0,,,27-44,,D. West enters the game for B. Diaw
8:34.0,,,27-44,,D. Green enters the game for M. Ginobili
8:34.0,T. Lyles enters the game for T. Booker,,27-44,,
8:20.0,T. Lyles makes 2-pt shot from 8 ft (assist by G. Hayward),2,29-44,,
8:04.0,,,29-44,,Shooting foul by C. Johnson (drawn by B. Marjanovic)
8:04.0,,,29-44,,B. Marjanovic misses free throw 1 of 2
8:04.0,,,29-44,,Offensive rebound by Team
8:04.0,,,29-45,1,B. Marjanovic makes free throw 2 of 2
7:43.0,Turnover by C. Johnson (lost ball; steal by R. McCallum),,29-45,,
7:36.0,,,29-45,,R. McCallum misses 2-pt shot from 1 ft (block by C. Johnson)
7:33.0,,,29-45,,Offensive rebound by B. Marjanovic
7:27.0,,,29-45,,B. Marjanovic misses 2-pt shot at rim (block by J. Withey)
7:25.0,Defensive rebound by G. Hayward,,29-45,,
7:18.0,G. Hayward makes 3-pt shot from 25 ft (assist by T. Burke),3,32-45,,
7:10.0,Personal foul by T. Lyles (drawn by D. West),,32-45,,
7:10.0,,,32-45,,T. Duncan enters the game for B. Marjanovic
7:10.0,R. Hood enters the game for C. Johnson,,32-45,,
7:10.0,R. Neto enters the game for T. Burke,,32-45,,
7:04.0,,,32-47,2,R. McCallum makes 2-pt shot from 17 ft
6:43.0,R. Neto misses 2-pt shot from 10 ft,,32-47,,
6:42.0,,,32-47,,Defensive rebound by D. West
6:33.0,,,32-49,2,D. West makes 2-pt shot from 6 ft
6:17.0,G. Hayward makes 2-pt shot from 19 ft (assist by T. Lyles),2,34-49,,
5:58.0,,,34-49,,K. Leonard misses 2-pt shot from 15 ft
5:56.0,,,34-49,,Offensive rebound by T. Duncan
5:50.0,,,34-51,2,D. West makes 2-pt shot from 18 ft (assist by D. Green)
5:27.0,T. Lyles misses 2-pt shot from 7 ft,,34-51,,
5:26.0,,,34-51,,Defensive rebound by D. West
5:14.0,,,34-51,,T. Duncan misses 2-pt shot from 8 ft
5:14.0,Defensive rebound by J. Withey,,34-51,,
5:02.0,Turnover by R. Neto (bad pass; steal by K. Leonard),,34-51,,
4:56.0,,,34-54,3,D. Green makes 3-pt shot from 22 ft (assist by K. Leonard)
4:56.0,Utah full timeout,,34-54,,
4:56.0,Official timeout,,34-54,,
4:56.0,,,34-54,,K. Anderson enters the game for K. Leonard
4:42.0,J. Withey makes 2-pt shot at rim (assist by G. Hayward),2,36-54,,
4:33.0,,,36-56,2,R. McCallum makes 2-pt shot from 2 ft (assist by D. West)
4:20.0,Shooting foul by T. Duncan (drawn by G. Hayward),,36-56,,
4:20.0,G. Hayward makes 2-pt shot at rim (assist by J. Withey),2,38-56,,
4:20.0,G. Hayward makes free throw 1 of 1,1,39-56,,
4:02.0,,,39-58,2,R. McCallum makes 2-pt shot from 14 ft (assist by T. Duncan)
3:45.0,G. Hayward misses 3-pt shot from 24 ft,,39-58,,
3:44.0,,,39-58,,Defensive rebound by D. West
3:34.0,,,39-58,,R. McCallum misses 2-pt shot from 14 ft
3:32.0,Defensive rebound by R. Hood,,39-58,,
3:27.0,Shooting foul by D. Green (drawn by G. Hayward),,39-58,,
3:27.0,G. Hayward makes free throw 1 of 2,1,40-58,,
3:27.0,,,40-58,,San Antonio full timeout
3:27.0,,,40-58,,M. Ginobili enters the game for D. Green
3:27.0,J. Ingles enters the game for R. Hood,,40-58,,
3:27.0,G. Hayward makes free throw 2 of 2,1,41-58,,
3:22.0,Personal foul by R. Neto (drawn by R. McCallum),,41-58,,
3:22.0,,,41-59,1,R. McCallum makes free throw 1 of 2
3:22.0,,,41-60,1,R. McCallum makes free throw 2 of 2
3:08.0,J. Withey makes 2-pt shot from 7 ft (assist by G. Hayward),2,43-60,,
2:55.0,T. Burke enters the game for R. Neto,,43-60,,
2:49.0,,,43-62,2,D. West makes 2-pt shot from 4 ft (assist by M. Ginobili)
2:36.0,G. Hayward misses 2-pt shot at rim,,43-62,,
2:35.0,Offensive rebound by G. Hayward,,43-62,,
2:34.0,G. Hayward misses 2-pt shot at rim,,43-62,,
2:33.0,Offensive rebound by J. Withey,,43-62,,
2:33.0,J. Withey makes 2-pt shot from 2 ft,2,45-62,,
2:33.0,Shooting foul by D. West (drawn by J. Withey),,45-62,,
2:33.0,T. Booker enters the game for T. Lyles,,45-62,,
2:33.0,J. Withey makes free throw 1 of 1,1,46-62,,
2:22.0,,,46-64,2,M. Ginobili makes 2-pt shot from 7 ft (assist by R. McCallum)
1:56.0,G. Hayward misses 2-pt shot from 13 ft,,46-64,,
1:56.0,,,46-64,,Defensive rebound by T. Duncan
1:45.0,,,46-64,,T. Duncan misses 2-pt shot from 13 ft
1:44.0,Defensive rebound by T. Booker,,46-64,,
1:34.0,T. Burke makes 2-pt shot from 11 ft (assist by T. Booker),2,48-64,,
1:12.0,,,48-66,2,T. Duncan makes 2-pt shot from 3 ft (assist by M. Ginobili)
1:00.0,G. Hayward misses 2-pt shot from 14 ft,,48-66,,
1:00.0,Offensive rebound by J. Withey,,48-66,,
0:58.0,J. Withey misses 2-pt shot from 2 ft,,48-66,,
0:57.0,,,48-66,,Defensive rebound by D. West
0:54.0,,,48-66,,K. Anderson misses 2-pt shot from 9 ft
0:54.0,Defensive rebound by Team,,48-66,,
0:54.0,,,48-66,,Loose ball foul by T. Duncan (drawn by J. Withey)
0:54.0,J. Withey misses free throw 1 of 2,,48-66,,
0:54.0,Offensive rebound by Team,,48-66,,
0:54.0,R. Hood enters the game for J. Ingles,,48-66,,
0:54.0,J. Withey makes free throw 2 of 2,1,49-66,,
0:35.0,,,49-68,2,M. Ginobili makes 2-pt shot at rim
0:20.0,T. Burke makes 2-pt shot from 17 ft,2,51-68,,
0:00.0,,,51-68,,R. McCallum misses 3-pt shot from 22 ft
0:00.0,,,51-68,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,,,51-68,,D. West misses 2-pt shot from 4 ft
11:42.0,Defensive rebound by G. Hayward,,51-68,,
11:23.0,Turnover by R. Hood (traveling),,51-68,,
11:03.0,,,51-70,2,T. Duncan makes 2-pt shot from 2 ft (assist by K. Anderson)
10:42.0,R. Neto makes 3-pt shot from 24 ft (assist by R. Hood),3,54-70,,
10:26.0,,,54-72,2,K. Anderson makes 2-pt shot from 5 ft (assist by D. West)
10:26.0,,,54-72,,Shooting foul by R. Hood (drawn by K. Anderson)
10:26.0,,,54-72,,P. Mills enters the game for R. McCallum
10:26.0,,,54-73,1,K. Anderson makes free throw 1 of 1
10:10.0,R. Neto misses 3-pt shot from 26 ft,,54-73,,
10:09.0,,,54-73,,Defensive rebound by T. Duncan
9:59.0,,,54-75,2,K. Anderson makes 2-pt shot from 14 ft
9:52.0,G. Hayward misses 2-pt shot from 15 ft,,54-75,,
9:51.0,,,54-75,,Defensive rebound by T. Duncan
9:42.0,,,54-77,2,J. Simmons makes 2-pt shot from 1 ft
9:30.0,Offensive foul by G. Hayward,,54-77,,
9:30.0,Turnover by G. Hayward (offensive foul),,54-77,,
9:10.0,,,54-79,2,K. Anderson makes 2-pt shot from 5 ft (assist by T. Duncan)
8:53.0,R. Hood makes 3-pt shot from 22 ft (assist by R. Neto),3,57-79,,
8:40.0,,,57-79,,P. Mills misses 2-pt shot from 2 ft
8:38.0,,,57-79,,Offensive rebound by D. West
8:38.0,,,57-81,2,D. West makes 2-pt shot at rim
8:25.0,J. Withey misses 2-pt shot from 11 ft,,57-81,,
8:24.0,,,57-81,,Defensive rebound by D. West
8:08.0,,,57-83,2,D. West makes 2-pt shot from 17 ft (assist by P. Mills)
7:56.0,Shooting foul by T. Duncan (drawn by R. Hood),,57-83,,
7:56.0,R. Hood makes free throw 1 of 2,1,58-83,,
7:56.0,T. Pleiss enters the game for J. Withey,,58-83,,
7:56.0,T. Booker enters the game for R. Neto,,58-83,,
7:56.0,T. Burke enters the game for T. Lyles,,58-83,,
7:56.0,R. Hood makes free throw 2 of 2,1,59-83,,
7:45.0,Personal foul by T. Booker (drawn by D. West),,59-83,,
7:39.0,,,59-86,3,J. Simmons makes 3-pt shot from 24 ft (assist by T. Duncan)
7:23.0,R. Hood makes 2-pt shot from 16 ft,2,61-86,,
7:14.0,Personal foul by G. Hayward (drawn by J. Simmons),,61-86,,
7:09.0,,,61-86,,Turnover by J. Simmons (bad pass; steal by G. Hayward)
6:58.0,Turnover by Team (back court),,61-86,,
6:48.0,,,61-86,,Turnover by K. Anderson (3 sec)
6:26.0,T. Burke misses 2-pt shot from 8 ft,,61-86,,
6:25.0,Offensive rebound by T. Booker,,61-86,,
6:25.0,T. Booker makes 2-pt shot from 1 ft,2,63-86,,
6:25.0,,,63-86,,San Antonio full timeout
6:25.0,,,63-86,,K. Leonard enters the game for K. Anderson
6:25.0,,,63-86,,M. Ginobili enters the game for J. Simmons
6:25.0,C. Johnson enters the game for R. Hood,,63-86,,
6:09.0,,,63-88,2,T. Duncan makes 2-pt shot from 1 ft (assist by D. West)
5:50.0,Turnover by T. Booker (bad pass; steal by M. Ginobili),,63-88,,
5:30.0,,,63-88,,Turnover by M. Ginobili (bad pass; steal by T. Booker)
5:13.0,G. Hayward makes 2-pt shot from 7 ft,2,65-88,,
4:58.0,,,65-88,,M. Ginobili misses 3-pt shot from 25 ft
4:57.0,,,65-88,,Offensive rebound by D. West
4:41.0,J. Withey enters the game for T. Pleiss,,65-88,,
4:36.0,,,65-88,,T. Duncan misses 2-pt shot from 18 ft
4:35.0,Defensive rebound by J. Withey,,65-88,,
4:14.0,T. Burke misses 3-pt shot from 25 ft,,65-88,,
4:13.0,,,65-88,,Defensive rebound by M. Ginobili
4:02.0,,,65-90,2,T. Duncan makes 2-pt shot from 5 ft (assist by M. Ginobili)
3:47.0,C. Johnson misses 3-pt shot from 24 ft,,65-90,,
3:46.0,,,65-90,,Defensive rebound by D. West
3:35.0,,,65-92,2,T. Duncan makes 2-pt shot from 17 ft (assist by M. Ginobili)
3:24.0,C. Johnson misses 3-pt shot from 22 ft,,65-92,,
3:23.0,,,65-92,,Defensive rebound by D. West
3:11.0,,,65-92,,T. Duncan misses 2-pt shot from 6 ft (block by C. Johnson)
3:10.0,Defensive rebound by G. Hayward,,65-92,,
3:10.0,,,65-92,,Personal foul by D. West (drawn by G. Hayward)
3:10.0,,,65-92,,B. Marjanovic enters the game for T. Duncan
3:10.0,,,65-92,,B. Diaw enters the game for D. West
3:10.0,Utah full timeout,,65-92,,
3:10.0,J. Ingles enters the game for G. Hayward,,65-92,,
3:10.0,T. Pleiss enters the game for J. Withey,,65-92,,
2:56.0,,,65-92,,Personal foul by M. Ginobili (drawn by T. Booker)
2:55.0,Turnover by C. Johnson (bad pass),,65-92,,
2:45.0,,,65-92,,P. Mills misses 3-pt shot from 24 ft
2:44.0,Defensive rebound by T. Booker,,65-92,,
2:30.0,J. Ingles misses 2-pt shot from 19 ft,,65-92,,
2:29.0,,,65-92,,Defensive rebound by K. Leonard
2:20.0,,,65-92,,Turnover by K. Leonard (lost ball; steal by C. Johnson)
2:11.0,T. Burke makes 2-pt shot from 18 ft,2,67-92,,
1:59.0,,,67-92,,Turnover by M. Ginobili (bad pass; steal by C. Johnson)
1:54.0,T. Burke makes 3-pt shot from 24 ft (assist by T. Booker),3,70-92,,
1:27.0,,,70-95,3,K. Leonard makes 3-pt shot from 24 ft (assist by B. Diaw)
1:13.0,C. Johnson makes 2-pt shot from 1 ft (assist by T. Pleiss),2,72-95,,
0:58.0,,,72-95,,Turnover by M. Ginobili (bad pass; steal by J. Ingles)
0:36.0,T. Burke misses 2-pt shot from 17 ft,,72-95,,
0:35.0,,,72-95,,Defensive rebound by K. Leonard
0:17.0,,,72-95,,K. Leonard misses 2-pt shot from 10 ft
0:16.0,Defensive rebound by T. Booker,,72-95,,
0:11.0,,,72-95,,Personal foul by M. Ginobili (drawn by T. Burke)
0:11.0,T. Lyles enters the game for T. Pleiss,,72-95,,
0:00.0,T. Burke misses 2-pt shot from 2 ft,,72-95,,
0:00.0,Offensive rebound by T. Booker,,72-95,,
0:00.0,T. Booker makes 2-pt shot from 1 ft,2,74-95,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,C. Johnson makes 3-pt shot from 24 ft (assist by T. Burke),3,77-95,,
11:28.0,Personal foul by J. Ingles (drawn by K. Leonard),,77-95,,
11:15.0,,,77-97,2,M. Ginobili makes 2-pt shot from 4 ft
10:54.0,T. Burke makes 2-pt shot from 17 ft,2,79-97,,
10:40.0,,,79-100,3,M. Ginobili makes 3-pt shot from 25 ft (assist by B. Diaw)
10:18.0,T. Lyles misses 2-pt shot from 3 ft,,79-100,,
10:17.0,,,79-100,,Defensive rebound by K. Leonard
10:06.0,,,79-102,2,K. Leonard makes 2-pt shot at rim
9:42.0,T. Burke makes 2-pt shot from 19 ft,2,81-102,,
9:31.0,,,81-102,,Turnover by B. Diaw (bad pass; steal by C. Johnson)
9:29.0,,,81-102,,R. McCallum enters the game for P. Mills
9:29.0,R. Neto enters the game for T. Burke,,81-102,,
9:29.0,T. Pleiss enters the game for J. Withey,,81-102,,
9:28.0,Jump ball: C. Johnson vs. K. Leonard (J. Ingles gains possession),,,,Jump ball: C. Johnson vs. K. Leonard (J. Ingles gains possession)
9:14.0,J. Ingles makes 3-pt shot from 24 ft,3,84-102,,
9:01.0,,,84-102,,Offensive foul by R. McCallum
9:01.0,,,84-102,,Turnover by R. McCallum (offensive foul)
8:45.0,C. Johnson misses 3-pt shot from 22 ft,,84-102,,
8:45.0,,,84-102,,Defensive rebound by M. Ginobili
8:36.0,,,84-104,2,B. Marjanovic makes 2-pt shot from 3 ft (assist by B. Diaw)
8:36.0,,,84-104,,Shooting foul by J. Ingles (drawn by B. Marjanovic)
8:36.0,Official timeout,,84-104,,
8:36.0,,,84-104,,K. Anderson enters the game for M. Ginobili
8:36.0,,,84-105,1,B. Marjanovic makes free throw 1 of 1
8:17.0,J. Ingles misses 3-pt shot from 24 ft,,84-105,,
8:16.0,,,84-105,,Defensive rebound by K. Leonard
8:10.0,,,84-105,,K. Leonard misses 3-pt shot from 23 ft
8:09.0,Defensive rebound by R. Neto,,84-105,,
7:48.0,T. Pleiss makes 2-pt shot at rim (assist by J. Ingles),2,86-105,,
7:25.0,,,86-105,,K. Leonard misses 3-pt shot from 24 ft
7:24.0,Defensive rebound by J. Ingles,,86-105,,
7:19.0,,,86-105,,Personal foul by K. Anderson (drawn by J. Ingles)
7:19.0,,,86-105,,J. Simmons enters the game for K. Leonard
7:04.0,Turnover by J. Ingles (bad pass; steal by R. McCallum),,86-105,,
6:45.0,,,86-107,2,J. Simmons makes 2-pt shot from 2 ft (assist by R. McCallum)
6:36.0,Turnover by R. Neto (bad pass; steal by K. Anderson),,86-107,,
6:35.0,Personal foul by J. Ingles (drawn by K. Anderson),,86-107,,
6:35.0,,,86-107,,M. Bonner enters the game for B. Diaw
6:25.0,,,86-107,,J. Simmons misses 3-pt shot from 24 ft
6:24.0,,,86-107,,Offensive rebound by B. Marjanovic
6:23.0,,,86-109,2,B. Marjanovic makes 2-pt shot from 1 ft
6:23.0,,,86-109,,Shooting foul by T. Pleiss (drawn by B. Marjanovic)
6:23.0,,,86-109,,B. Marjanovic misses free throw 1 of 1
6:22.0,Defensive rebound by T. Lyles,,86-109,,
6:06.0,T. Pleiss makes 2-pt shot from 14 ft (assist by T. Lyles),2,88-109,,
5:49.0,,,88-109,,B. Marjanovic misses 2-pt shot from 7 ft
5:47.0,Defensive rebound by C. Johnson,,88-109,,
5:41.0,J. Ingles makes 2-pt shot from 1 ft (assist by R. Neto),2,90-109,,
5:41.0,,,90-109,,San Antonio full timeout
5:41.0,,,90-109,,R. Butler enters the game for B. Marjanovic
5:24.0,,,90-109,,K. Anderson misses 2-pt shot from 15 ft
5:21.0,Defensive rebound by Team,,90-109,,
5:10.0,R. Neto misses 2-pt shot from 2 ft,,90-109,,
5:07.0,,,90-109,,Defensive rebound by K. Anderson
4:53.0,,,90-112,3,M. Bonner makes 3-pt shot from 25 ft (assist by J. Simmons)
4:38.0,Shooting foul by R. McCallum (drawn by R. Neto),,90-112,,
4:38.0,R. Neto makes free throw 1 of 2,1,91-112,,
4:38.0,R. Neto makes free throw 2 of 2,1,92-112,,
4:21.0,,,92-112,,J. Simmons misses 3-pt shot from 22 ft
4:20.0,Defensive rebound by T. Lyles,,92-112,,
4:14.0,,,92-112,,Violation by J. Simmons (def goaltending)
4:14.0,R. Neto makes 2-pt shot from 2 ft (assist by J. Ingles),2,94-112,,
3:55.0,,,94-112,,R. Butler misses 3-pt shot from 24 ft
3:54.0,Defensive rebound by J. Ingles,,94-112,,
3:48.0,Turnover by C. Johnson (bad pass),,94-112,,
3:30.0,,,94-112,,M. Bonner misses 2-pt shot from 7 ft
3:29.0,,,94-112,,Offensive rebound by Team
3:26.0,,,94-114,2,K. Anderson makes 2-pt shot from 14 ft (assist by R. McCallum)
3:11.0,Turnover by J. Ingles (bad pass),,94-114,,
3:03.0,,,94-114,,M. Bonner misses 3-pt shot from 26 ft
3:02.0,,,94-114,,Offensive rebound by K. Anderson
3:01.0,,,94-116,2,K. Anderson makes 2-pt shot from 2 ft
2:43.0,J. Ingles misses 3-pt shot from 24 ft,,94-116,,
2:40.0,Offensive rebound by R. Neto,,94-116,,
2:38.0,T. Pleiss misses 2-pt shot from 2 ft (block by R. McCallum),,94-116,,
2:37.0,Offensive rebound by T. Pleiss,,94-116,,
2:37.0,Shooting foul by M. Bonner (drawn by T. Pleiss),,94-116,,
2:37.0,Utah full timeout,,94-116,,
2:37.0,,,94-116,,B. Marjanovic enters the game for J. Simmons
2:37.0,T. Pleiss makes free throw 1 of 2,1,95-116,,
2:37.0,T. Pleiss makes free throw 2 of 2,1,96-116,,
2:23.0,Personal foul by T. Pleiss (drawn by B. Marjanovic),,96-116,,
2:23.0,,,96-117,1,B. Marjanovic makes free throw 1 of 2
2:23.0,,,96-117,,B. Marjanovic misses free throw 2 of 2
2:23.0,Defensive rebound by T. Lyles,,96-117,,
2:05.0,R. Neto misses 2-pt shot from 3 ft,,96-117,,
2:03.0,,,96-117,,Defensive rebound by B. Marjanovic
1:52.0,,,96-119,2,R. Butler makes 2-pt shot from 1 ft
1:36.0,R. Neto misses 2-pt shot from 18 ft,,96-119,,
1:35.0,,,96-119,,Defensive rebound by K. Anderson
1:27.0,,,96-121,2,K. Anderson makes 2-pt shot from 2 ft
1:17.0,,,96-121,,Personal foul by K. Anderson (drawn by J. Ingles)
1:05.0,Shooting foul by R. McCallum (drawn by C. Johnson),,96-121,,
