time,LA Lakers,pts.away,score,pts.home,Sacramento
9:12.0,K. Bryant makes 2-pt shot from 19 ft (assist by L. Williams),2,59-79,,
8:58.0,Personal foul by R. Hibbert (drawn by D. Cousins),,59-79,,
8:54.0,Personal foul by R. Hibbert (drawn by D. Cousins),,59-79,,
8:54.0,B. Bass enters the game for R. Hibbert,,59-79,,
8:43.0,,,59-79,,R. Rondo misses 2-pt shot at rim
8:42.0,Defensive rebound by J. Clarkson,,59-79,,
8:35.0,L. Williams misses 3-pt shot from 25 ft,,59-79,,
8:35.0,,,59-79,,Defensive rebound by D. Cousins
8:35.0,Personal foul by K. Bryant (drawn by D. Cousins),,59-79,,
8:22.0,,,59-81,2,Q. Acy makes 2-pt shot at rim (assist by R. Rondo)
8:09.0,Shooting foul by D. Cousins (drawn by B. Bass),,59-81,,
8:09.0,B. Bass makes free throw 1 of 2,1,60-81,,
8:09.0,B. Bass makes free throw 2 of 2,1,61-81,,
7:55.0,,,61-84,3,B. McLemore makes 3-pt shot from 24 ft (assist by D. Cousins)
7:42.0,K. Bryant misses 3-pt shot from 24 ft,,61-84,,
7:41.0,,,61-84,,Defensive rebound by D. Cousins
7:34.0,,,61-86,2,Q. Acy makes 2-pt shot at rim (assist by R. Rondo)
7:33.0,LA Lakers full timeout,,61-86,,
7:27.0,Turnover by K. Bryant (traveling),,61-86,,
7:12.0,,,61-88,2,B. McLemore makes 2-pt shot from 3 ft (assist by D. Cousins)
7:04.0,Shooting foul by R. Gay (drawn by K. Bryant),,61-88,,
7:04.0,K. Bryant makes free throw 1 of 2,1,62-88,,
7:04.0,K. Bryant makes free throw 2 of 2,1,63-88,,
6:47.0,,,63-88,,B. McLemore misses 3-pt shot from 25 ft
6:47.0,Defensive rebound by B. Bass,,63-88,,
6:37.0,K. Bryant misses 2-pt shot from 22 ft,,63-88,,
6:36.0,,,63-88,,Defensive rebound by Q. Acy
6:31.0,Personal foul by J. Clarkson (drawn by R. Gay),,63-88,,
6:19.0,,,63-88,,B. McLemore misses 2-pt shot from 4 ft (block by L. Williams)
6:17.0,,,63-88,,Offensive rebound by B. McLemore
6:14.0,,,63-90,2,R. Rondo makes 2-pt shot from 2 ft (assist by B. McLemore)
6:04.0,L. Williams makes 2-pt shot from 4 ft,2,65-90,,
5:52.0,,,65-90,,Shooting foul by B. Bass (drawn by R. Gay)
5:52.0,,,65-90,,R. Gay misses free throw 1 of 2
5:52.0,,,65-90,,Offensive rebound by Team
5:52.0,D. Russell enters the game for J. Clarkson,,65-90,,
5:52.0,,,65-90,,R. Gay misses free throw 2 of 2
5:51.0,,,65-90,,Offensive rebound by Team
5:48.0,,,65-90,,B. McLemore misses 2-pt shot from 18 ft
5:48.0,Defensive rebound by Team,,65-90,,
5:48.0,,,65-90,,Loose ball foul by D. Cousins (drawn by B. Bass)
5:48.0,,,65-90,,K. Koufos enters the game for D. Cousins
5:34.0,L. Nance makes 2-pt shot from 4 ft (assist by B. Bass),2,67-90,,
5:22.0,,,67-90,,R. Gay misses 2-pt shot from 7 ft
5:18.0,Defensive rebound by L. Nance,,67-90,,
5:06.0,D. Russell makes 3-pt shot from 24 ft (assist by L. Williams),3,70-90,,
4:48.0,,,70-90,,Turnover by B. McLemore (bad pass; steal by L. Nance)
4:45.0,D. Russell makes 2-pt shot from 2 ft,2,72-90,,
4:45.0,,,72-90,,Sacramento full timeout
4:45.0,,,72-90,,J. Anderson enters the game for R. Gay
4:45.0,,,72-90,,M. Belinelli enters the game for B. McLemore
4:30.0,,,72-92,2,K. Koufos makes 2-pt shot from 6 ft (assist by R. Rondo)
4:12.0,L. Williams makes 3-pt shot from 24 ft (assist by B. Bass),3,75-92,,
4:07.0,,,75-92,,Sacramento full timeout
4:07.0,J. Randle enters the game for L. Nance,,75-92,,
3:52.0,,,75-94,2,M. Belinelli makes 2-pt shot from 18 ft
3:33.0,J. Randle makes 2-pt shot from 20 ft (assist by D. Russell),2,77-94,,
3:22.0,,,77-94,,Shooting foul by L. Williams (drawn by M. Belinelli)
3:22.0,,,77-94,,M. Belinelli misses free throw 1 of 2
3:22.0,,,77-94,,Offensive rebound by Team
3:22.0,,,77-94,,D. Collison enters the game for R. Rondo
3:22.0,,,77-95,1,M. Belinelli makes free throw 2 of 2
3:15.0,,,77-95,,Personal foul by M. Belinelli
3:15.0,L. Williams makes free throw 1 of 2,1,78-95,,
3:15.0,L. Williams makes free throw 2 of 2,1,79-95,,
2:58.0,,,79-95,,Q. Acy misses 2-pt shot from 7 ft
2:56.0,,,79-95,,Offensive rebound by K. Koufos
2:55.0,,,79-97,2,K. Koufos makes 2-pt shot from 3 ft
2:42.0,D. Russell makes 3-pt shot from 25 ft,3,82-97,,
2:30.0,,,82-97,,M. Belinelli misses 3-pt shot from 25 ft
2:29.0,Defensive rebound by J. Randle,,82-97,,
2:19.0,Turnover by J. Randle (lost ball),,82-97,,
2:06.0,,,82-99,2,Q. Acy makes 2-pt shot from 19 ft (assist by D. Collison)
1:59.0,L. Williams makes 2-pt shot from 14 ft,2,84-99,,
1:44.0,,,84-99,,D. Collison misses 2-pt shot from 16 ft
1:43.0,,,84-99,,Offensive rebound by K. Koufos
1:29.0,,,84-99,,Turnover by J. Anderson (bad pass; steal by D. Russell)
1:23.0,Turnover by D. Russell (lost ball; steal by Q. Acy),,84-99,,
1:21.0,,,84-101,2,Q. Acy makes 2-pt shot at rim
0:55.0,D. Russell misses 3-pt shot from 24 ft,,84-101,,
0:55.0,,,84-101,,Defensive rebound by Team
0:55.0,Loose ball foul by J. Randle (drawn by Q. Acy),,84-101,,
0:55.0,,,84-101,,Q. Acy misses free throw 1 of 2
0:55.0,,,84-101,,Offensive rebound by Team
0:55.0,,,84-102,1,Q. Acy makes free throw 2 of 2
0:41.0,B. Bass makes 2-pt shot from 3 ft (assist by D. Russell),2,86-102,,
0:25.0,,,86-102,,K. Koufos misses 2-pt shot from 4 ft (block by B. Bass)
0:24.0,,,86-102,,Offensive rebound by Q. Acy
0:17.0,,,86-102,,M. Belinelli misses 3-pt shot from 27 ft
0:16.0,Defensive rebound by J. Randle,,86-102,,
0:00.0,K. Bryant misses 2-pt shot from 1 ft,,86-102,,
0:00.0,Offensive rebound by Team,,86-102,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,B. Bass makes 2-pt shot at rim (assist by J. Clarkson),2,88-102,,
11:25.0,,,88-102,,Turnover by D. Collison (traveling)
11:25.0,,,88-102,,S. Curry enters the game for J. Anderson
11:09.0,J. Randle misses 2-pt shot from 20 ft,,88-102,,
11:09.0,,,88-102,,Defensive rebound by M. Belinelli
10:55.0,,,88-104,2,R. Gay makes 2-pt shot from 18 ft
10:36.0,Shooting foul by M. Belinelli (drawn by J. Clarkson),,88-104,,
10:36.0,J. Clarkson makes free throw 1 of 2,1,89-104,,
10:36.0,J. Clarkson makes free throw 2 of 2,1,90-104,,
10:24.0,,,90-104,,Turnover by D. Collison (bad pass; steal by B. Bass)
10:10.0,,,90-104,,Personal foul by S. Curry (drawn by J. Randle)
9:53.0,J. Randle misses 2-pt shot from 16 ft,,90-104,,
9:51.0,Offensive rebound by J. Clarkson,,90-104,,
9:51.0,J. Clarkson makes 2-pt shot from 3 ft,2,92-104,,
9:41.0,,,92-104,,R. Gay misses 3-pt shot from 25 ft
9:40.0,Defensive rebound by B. Bass,,92-104,,
9:32.0,Shooting foul by K. Koufos (drawn by D. Russell),,92-104,,
9:32.0,D. Russell makes free throw 1 of 2,1,93-104,,
9:32.0,,,93-104,,R. Rondo enters the game for K. Koufos
9:32.0,,,93-104,,D. Cousins enters the game for D. Collison
9:32.0,D. Russell misses free throw 2 of 2,,93-104,,
9:27.0,,,93-104,,Defensive rebound by R. Rondo
9:14.0,,,93-104,,S. Curry misses 2-pt shot from 3 ft
9:13.0,Defensive rebound by J. Randle,,93-104,,
9:03.0,J. Clarkson makes 2-pt shot from 1 ft,2,95-104,,
9:01.0,,,95-104,,Sacramento full timeout
8:36.0,,,95-104,,Turnover by S. Curry (bad pass; steal by B. Bass)
8:28.0,D. Russell makes 2-pt shot from 20 ft (assist by J. Clarkson),2,97-104,,
8:11.0,,,97-106,2,R. Rondo makes 2-pt shot from 1 ft (assist by D. Cousins)
7:55.0,J. Clarkson makes 2-pt shot from 8 ft,2,99-106,,
7:32.0,,,99-106,,R. Rondo misses 2-pt shot from 6 ft
7:31.0,Defensive rebound by B. Bass,,99-106,,
7:17.0,D. Russell makes 2-pt shot from 9 ft,2,101-106,,
7:17.0,Shooting foul by S. Curry (drawn by D. Russell),,101-106,,
7:17.0,,,101-106,,B. McLemore enters the game for S. Curry
7:17.0,D. Russell makes free throw 1 of 1,1,102-106,,
7:03.0,,,102-106,,Turnover by R. Rondo (bad pass; steal by J. Clarkson)
6:48.0,D. Russell misses 3-pt shot from 24 ft,,102-106,,
6:48.0,,,102-106,,Defensive rebound by Team
6:48.0,Loose ball foul by J. Randle (drawn by R. Gay),,102-106,,
6:36.0,,,102-106,,R. Rondo misses 2-pt shot from 1 ft (block by B. Bass)
6:35.0,Defensive rebound by J. Randle,,102-106,,
6:31.0,Turnover by J. Randle (bad pass),,102-106,,
6:18.0,Personal foul by A. Brown (drawn by D. Cousins),,102-106,,
6:11.0,Personal foul by B. Bass (drawn by D. Cousins),,102-106,,
6:00.0,,,102-108,2,D. Cousins makes 2-pt shot from 3 ft (assist by R. Rondo)
5:41.0,J. Clarkson misses 2-pt shot from 8 ft,,102-108,,
5:40.0,Offensive rebound by J. Randle,,102-108,,
5:39.0,Shooting foul by R. Gay (drawn by J. Randle),,102-108,,
5:39.0,Official timeout,,102-108,,
5:39.0,J. Randle makes free throw 1 of 2,1,103-108,,
5:39.0,J. Randle makes free throw 2 of 2,1,104-108,,
5:19.0,,,104-108,,D. Cousins misses 2-pt shot from 2 ft
5:17.0,Defensive rebound by J. Randle,,104-108,,
4:56.0,J. Clarkson misses 2-pt shot from 18 ft,,104-108,,
4:55.0,Offensive rebound by J. Clarkson,,104-108,,
4:38.0,A. Brown misses 3-pt shot from 24 ft,,104-108,,
4:37.0,,,104-108,,Defensive rebound by M. Belinelli
4:29.0,,,104-108,,Turnover by B. McLemore (lost ball; steal by J. Randle)
4:24.0,D. Russell makes 3-pt shot from 24 ft (assist by J. Randle),3,107-108,,
4:05.0,,,107-108,,M. Belinelli misses 2-pt shot from 20 ft
4:04.0,Defensive rebound by J. Randle,,107-108,,
3:49.0,J. Clarkson makes 2-pt shot from 7 ft,2,109-108,,
3:48.0,,,109-108,,Sacramento full timeout
3:48.0,,,109-108,,Q. Acy enters the game for B. McLemore
3:29.0,,,109-108,,R. Gay misses 3-pt shot from 25 ft
3:28.0,,,109-108,,Offensive rebound by R. Rondo
3:25.0,,,109-108,,Turnover by D. Cousins (lost ball; steal by B. Bass)
3:08.0,Turnover by J. Clarkson (lost ball; steal by R. Rondo),,109-108,,
3:03.0,,,109-110,2,R. Gay makes 2-pt shot at rim (assist by R. Rondo)
2:54.0,Turnover by D. Russell (back court),,109-110,,
2:44.0,,,109-110,,Turnover by R. Rondo (bad pass; steal by B. Bass)
2:37.0,D. Russell makes 2-pt shot from 2 ft,2,111-110,,
2:30.0,Personal foul by A. Brown (drawn by R. Rondo),,111-110,,
2:30.0,LA Lakers full timeout,,111-110,,
2:18.0,,,111-110,,R. Gay misses 3-pt shot from 24 ft
2:16.0,,,111-110,,Offensive rebound by D. Cousins
2:11.0,,,111-112,2,R. Gay makes 2-pt shot from 7 ft (assist by D. Cousins)
