time,Miami,pts.away,score,pts.home,Houston
3:25.0,,,74-81,3,M. Thornton makes 3-pt shot from 23 ft (assist by J. Harden)
2:56.0,B. Udrih misses 3-pt shot from 24 ft,,74-81,,
2:55.0,,,74-81,,Defensive rebound by M. Thornton
2:43.0,,,74-81,,T. Ariza misses 3-pt shot from 23 ft
2:42.0,Defensive rebound by J. Winslow,,74-81,,
2:31.0,Turnover by L. Deng (bad pass; steal by J. Harden),,74-81,,
2:24.0,,,74-83,2,T. Jones makes 2-pt shot at rim (assist by J. Harden)
2:24.0,Miami full timeout,,74-83,,
2:24.0,G. Dragic enters the game for L. Deng,,74-83,,
2:24.0,G. Green enters the game for A. Stoudemire,,74-83,,
2:24.0,C. Bosh enters the game for D. Wade,,74-83,,
2:24.0,,,74-83,,T. Lawson enters the game for T. Ariza
2:24.0,,,74-83,,C. Brewer enters the game for P. Beverley
2:07.0,Shooting foul by T. Jones (drawn by C. Bosh),,74-83,,
2:07.0,C. Bosh makes free throw 1 of 2,1,75-83,,
2:07.0,C. Bosh makes free throw 2 of 2,1,76-83,,
1:53.0,,,76-83,,Shooting foul by G. Green (drawn by T. Jones)
1:53.0,,,76-84,1,T. Jones makes free throw 1 of 2
1:53.0,,,76-84,,T. Jones misses free throw 2 of 2
1:53.0,Defensive rebound by C. Bosh,,76-84,,
1:37.0,C. Bosh misses 3-pt shot from 25 ft,,76-84,,
1:36.0,,,76-84,,Defensive rebound by M. Thornton
1:16.0,,,76-84,,J. Harden misses 2-pt shot from 2 ft (block by G. Green)
1:15.0,Defensive rebound by B. Udrih,,76-84,,
1:09.0,G. Dragic makes 2-pt shot from 2 ft (assist by B. Udrih),2,78-84,,
0:50.0,,,78-84,,C. Brewer misses 2-pt shot from 20 ft
0:49.0,Defensive rebound by J. Winslow,,78-84,,
0:42.0,C. Bosh makes 2-pt shot from 15 ft (assist by G. Dragic),2,80-84,,
0:31.0,,,80-87,3,J. Harden makes 3-pt shot from 24 ft
0:06.0,C. Bosh misses 2-pt shot from 19 ft,,80-87,,
0:05.0,,,80-87,,Defensive rebound by C. Brewer
0:00.0,,,80-87,,C. Brewer misses 3-pt shot from 47 ft
0:00.0,,,80-87,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,B. Udrih misses 3-pt shot from 24 ft,,80-87,,
11:41.0,,,80-87,,Defensive rebound by T. Jones
11:23.0,,,80-89,2,T. Jones makes 2-pt shot from 2 ft (assist by M. Thornton)
11:08.0,J. Winslow misses 2-pt shot from 2 ft (block by C. Brewer),,80-89,,
11:07.0,,,80-89,,Defensive rebound by T. Jones
10:58.0,,,80-91,2,M. Thornton makes 2-pt shot from 1 ft (assist by T. Lawson)
10:42.0,,,80-91,,Personal foul by C. Brewer (drawn by G. Green)
10:36.0,G. Dragic misses 2-pt shot from 17 ft,,80-91,,
10:35.0,,,80-91,,Defensive rebound by M. Thornton
10:24.0,,,80-91,,Shooting foul by J. Winslow (drawn by T. Jones)
10:24.0,,,80-92,1,T. Jones makes free throw 1 of 2
10:24.0,,,80-93,1,T. Jones makes free throw 2 of 2
10:21.0,Miami full timeout,,80-93,,
10:07.0,C. Bosh misses 2-pt shot from 2 ft,,80-93,,
10:07.0,Offensive rebound by Team,,80-93,,
9:59.0,Shooting foul by T. Jones (drawn by C. Bosh),,80-93,,
9:59.0,C. Bosh misses free throw 1 of 2,,80-93,,
9:59.0,Offensive rebound by Team,,80-93,,
9:59.0,,,80-93,,J. Smith enters the game for T. Jones
9:59.0,C. Bosh makes free throw 2 of 2,1,81-93,,
9:43.0,,,81-93,,J. Smith misses 2-pt shot from 20 ft
9:43.0,Defensive rebound by J. Winslow,,81-93,,
9:27.0,C. Bosh makes 3-pt shot from 24 ft (assist by G. Dragic),3,84-93,,
