time,Orlando,pts.away,score,pts.home,Cleveland
5:49.0,E. Payton misses 3-pt shot from 24 ft,,10-19,,
5:48.0,,,10-19,,Defensive rebound by T. Thompson
5:37.0,,,10-21,2,K. Love makes 2-pt shot from 5 ft (assist by L. James)
5:31.0,Orlando full timeout,,10-21,,
5:31.0,,,10-21,,J. Cunningham enters the game for M. Dellavedova
5:16.0,V. Oladipo misses 3-pt shot from 25 ft,,10-21,,
5:15.0,,,10-21,,Defensive rebound by K. Love
5:13.0,,,10-21,,Shooting foul by V. Oladipo (drawn by L. James)
5:13.0,,,10-21,,L. James misses free throw 1 of 2
5:13.0,,,10-21,,Offensive rebound by Team
5:13.0,,,10-22,1,L. James makes free throw 2 of 2
5:01.0,E. Fournier makes 3-pt shot from 25 ft (assist by E. Payton),3,13-22,,
4:43.0,,,13-22,,T. Thompson misses 2-pt shot from 5 ft
4:42.0,Defensive rebound by E. Fournier,,13-22,,
4:34.0,E. Fournier makes 2-pt shot from 6 ft,2,15-22,,
4:12.0,,,15-24,2,K. Love makes 2-pt shot from 7 ft
3:58.0,T. Harris makes 2-pt shot from 8 ft (assist by E. Payton),2,17-24,,
3:58.0,Shooting foul by T. Thompson (drawn by T. Harris),,17-24,,
3:58.0,A. Nicholson enters the game for V. Oladipo,,17-24,,
3:58.0,T. Harris misses free throw 1 of 1,,17-24,,
3:56.0,,,17-24,,Defensive rebound by T. Thompson
3:46.0,,,17-27,3,J. Smith makes 3-pt shot from 24 ft (assist by L. James)
3:23.0,N. Vucevic misses 2-pt shot from 8 ft,,17-27,,
3:23.0,,,17-27,,Defensive rebound by Team
3:16.0,,,17-27,,Turnover by L. James (bad pass; steal by A. Nicholson)
3:13.0,T. Harris makes 2-pt shot from 1 ft,2,19-27,,
3:13.0,Shooting foul by K. Love (drawn by T. Harris),,19-27,,
3:13.0,,,19-27,,R. Jefferson enters the game for L. James
3:13.0,J. Smith enters the game for N. Vucevic,,19-27,,
3:13.0,S. Napier enters the game for E. Payton,,19-27,,
3:13.0,T. Harris makes free throw 1 of 1,1,20-27,,
2:53.0,,,20-27,,Turnover by R. Jefferson (lost ball; steal by J. Smith)
2:48.0,Offensive foul by A. Nicholson,,20-27,,
2:48.0,Turnover by A. Nicholson (offensive foul),,20-27,,
2:48.0,,,20-27,,Cleveland full timeout
2:38.0,,,20-27,,Turnover by J. Cunningham (lost ball; steal by S. Napier)
2:30.0,A. Nicholson makes 2-pt shot at rim (assist by T. Harris),2,22-27,,
2:19.0,,,22-27,,J. Jones enters the game for K. Love
2:19.0,,,22-27,,A. Varejao enters the game for T. Thompson
2:08.0,,,22-27,,Turnover by J. Smith (bad pass)
1:56.0,E. Fournier makes 3-pt shot from 24 ft (assist by T. Harris),3,25-27,,
1:33.0,,,25-29,2,A. Varejao makes 2-pt shot from 16 ft (assist by R. Jefferson)
1:13.0,S. Napier misses 2-pt shot from 5 ft,,25-29,,
1:11.0,,,25-29,,Defensive rebound by A. Varejao
1:00.0,,,25-29,,J. Cunningham misses 3-pt shot from 26 ft
1:00.0,,,25-29,,Offensive rebound by Team
1:00.0,Loose ball foul by J. Smith (drawn by A. Varejao),,25-29,,
1:00.0,A. Gordon enters the game for T. Harris,,25-29,,
1:00.0,V. Oladipo enters the game for E. Fournier,,25-29,,
0:51.0,,,25-29,,J. Jones misses 2-pt shot from 17 ft
0:49.0,Defensive rebound by A. Gordon,,25-29,,
0:43.0,,,25-29,,Personal foul by J. Jones (drawn by A. Gordon)
0:43.0,,,25-29,,M. Dellavedova enters the game for J. Smith
0:37.0,S. Napier misses 3-pt shot from 25 ft,,25-29,,
0:36.0,,,25-29,,Defensive rebound by A. Varejao
0:14.0,,,25-29,,R. Jefferson misses 2-pt shot at rim
0:12.0,,,25-29,,Offensive rebound by J. Cunningham
0:09.0,,,25-29,,R. Jefferson misses 2-pt shot from 12 ft (block by A. Gordon)
0:06.0,Defensive rebound by V. Oladipo,,25-29,,
0:00.0,V. Oladipo makes 2-pt shot from 1 ft,2,27-29,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,,,27-29,,J. Jones misses 3-pt shot from 24 ft
11:46.0,Defensive rebound by J. Smith,,27-29,,
11:25.0,Turnover by A. Nicholson (bad pass; steal by J. Cunningham),,27-29,,
11:23.0,,,27-29,,Shooting foul by V. Oladipo (drawn by J. Cunningham)
11:23.0,,,27-29,,J. Cunningham misses free throw 1 of 2
11:23.0,,,27-29,,Offensive rebound by Team
11:23.0,,,27-30,1,J. Cunningham makes free throw 2 of 2
11:08.0,A. Nicholson makes 3-pt shot from 25 ft (assist by S. Napier),3,30-30,,
10:53.0,,,30-32,2,R. Jefferson makes 2-pt shot at rim (assist by M. Dellavedova)
10:40.0,A. Nicholson misses 3-pt shot from 24 ft,,30-32,,
10:40.0,,,30-32,,Defensive rebound by J. Cunningham
10:30.0,,,30-32,,J. Jones misses 3-pt shot from 23 ft
10:30.0,Defensive rebound by J. Smith,,30-32,,
10:23.0,A. Gordon makes 3-pt shot from 22 ft (assist by V. Oladipo),3,33-32,,
10:12.0,Personal foul by S. Napier (drawn by J. Jones),,33-32,,
10:03.0,,,33-34,2,M. Dellavedova makes 2-pt shot from 10 ft
9:49.0,V. Oladipo misses 2-pt shot from 4 ft,,33-34,,
9:47.0,Offensive rebound by A. Nicholson,,33-34,,
9:47.0,A. Nicholson makes 2-pt shot at rim,2,35-34,,
9:35.0,,,35-34,,Offensive charge foul by J. Cunningham
9:35.0,,,35-34,,Turnover by J. Cunningham (offensive foul)
9:35.0,,,35-34,,J. Smith enters the game for J. Cunningham
9:24.0,,,35-34,,Violation by J. Smith (kicked ball)
9:17.0,A. Nicholson makes 3-pt shot from 24 ft (assist by S. Napier),3,38-34,,
9:02.0,,,38-34,,J. Smith misses 2-pt shot from 13 ft
9:01.0,,,38-34,,Offensive rebound by A. Varejao
8:57.0,,,38-34,,M. Dellavedova misses 3-pt shot from 24 ft
8:56.0,Defensive rebound by J. Smith,,38-34,,
8:45.0,V. Oladipo makes 2-pt shot from 1 ft (assist by J. Smith),2,40-34,,
8:45.0,,,40-34,,Cleveland full timeout
8:45.0,,,40-34,,K. Love enters the game for J. Jones
8:45.0,,,40-34,,T. Thompson enters the game for A. Varejao
8:38.0,,,40-34,,Turnover by T. Thompson (lost ball; steal by V. Oladipo)
8:29.0,A. Nicholson makes 2-pt shot at rim (assist by V. Oladipo),2,42-34,,
8:10.0,,,42-36,2,K. Love makes 2-pt shot from 7 ft
7:56.0,S. Napier makes 2-pt shot from 19 ft,2,44-36,,
7:34.0,,,44-38,2,K. Love makes 2-pt shot from 16 ft (assist by R. Jefferson)
7:14.0,,,44-38,,Personal foul by M. Dellavedova (drawn by S. Napier)
7:14.0,N. Vucevic enters the game for J. Smith,,44-38,,
7:14.0,,,44-38,,L. James enters the game for R. Jefferson
7:00.0,N. Vucevic makes 2-pt shot from 14 ft (assist by A. Gordon),2,46-38,,
6:47.0,,,46-38,,K. Love misses 2-pt shot from 17 ft
6:46.0,Defensive rebound by A. Gordon,,46-38,,
6:27.0,S. Napier makes 2-pt shot from 11 ft,2,48-38,,
6:12.0,,,48-41,3,K. Love makes 3-pt shot from 24 ft (assist by M. Dellavedova)
5:44.0,A. Gordon misses 3-pt shot from 24 ft,,48-41,,
5:44.0,,,48-41,,Defensive rebound by L. James
5:31.0,,,48-44,3,K. Love makes 3-pt shot from 26 ft (assist by M. Dellavedova)
5:08.0,A. Gordon misses 2-pt shot from 2 ft (block by J. Smith),,48-44,,
5:07.0,,,48-44,,Defensive rebound by T. Thompson
5:00.0,,,48-47,3,K. Love makes 3-pt shot from 22 ft (assist by L. James)
4:37.0,V. Oladipo makes 2-pt shot from 1 ft,2,50-47,,
4:21.0,,,50-47,,L. James misses 2-pt shot from 14 ft
4:20.0,Defensive rebound by A. Nicholson,,50-47,,
4:15.0,Turnover by A. Gordon (traveling),,50-47,,
4:15.0,Official timeout,,50-47,,
4:15.0,E. Payton enters the game for V. Oladipo,,50-47,,
4:15.0,E. Fournier enters the game for A. Nicholson,,50-47,,
4:15.0,T. Harris enters the game for S. Napier,,50-47,,
4:03.0,Personal foul by A. Gordon (drawn by K. Love),,50-47,,
3:49.0,,,50-47,,Shooting foul by T. Harris (drawn by K. Love)
3:49.0,,,50-48,1,K. Love makes free throw 1 of 3
3:49.0,,,50-48,,K. Love misses free throw 2 of 3
3:49.0,,,50-48,,Offensive rebound by Team
3:49.0,,,50-49,1,K. Love makes free throw 3 of 3
3:28.0,A. Gordon misses 2-pt shot from 1 ft,,50-49,,
3:27.0,,,50-49,,Defensive rebound by L. James
3:21.0,,,50-49,,Turnover by K. Love (bad pass; steal by E. Fournier)
3:15.0,A. Gordon makes 2-pt shot at rim (assist by T. Harris),2,52-49,,
2:50.0,,,52-51,2,K. Love makes 2-pt shot from 9 ft
2:37.0,A. Gordon misses 2-pt shot from 20 ft,,52-51,,
2:35.0,,,52-51,,Defensive rebound by K. Love
2:27.0,,,52-51,,Shooting foul by A. Gordon (drawn by L. James)
2:27.0,Orlando full timeout,,52-51,,
2:27.0,,,52-51,,L. James misses free throw 1 of 2
2:27.0,,,52-51,,Offensive rebound by Team
2:27.0,A. Nicholson enters the game for A. Gordon,,52-51,,
2:27.0,,,52-51,,J. Cunningham enters the game for M. Dellavedova
2:27.0,,,52-51,,L. James misses free throw 2 of 2
2:22.0,Defensive rebound by N. Vucevic,,52-51,,
2:13.0,Turnover by E. Fournier (lost ball),,52-51,,
1:57.0,,,52-53,2,J. Smith makes 2-pt shot at rim (assist by L. James)
1:42.0,N. Vucevic misses 2-pt shot from 17 ft,,52-53,,
1:42.0,,,52-53,,Defensive rebound by Team
1:42.0,Loose ball foul by A. Nicholson (drawn by T. Thompson),,52-53,,
1:42.0,,,52-54,1,T. Thompson makes free throw 1 of 2
1:42.0,,,52-54,,T. Thompson misses free throw 2 of 2
1:41.0,Defensive rebound by A. Nicholson,,52-54,,
1:27.0,Turnover by T. Harris (bad pass; steal by L. James),,52-54,,
1:20.0,,,52-54,,J. Smith misses 3-pt shot from 25 ft
1:19.0,Defensive rebound by T. Harris,,52-54,,
1:11.0,E. Payton misses 2-pt shot from 3 ft (block by K. Love),,52-54,,
1:10.0,,,52-54,,Defensive rebound by T. Thompson
1:06.0,,,52-56,2,J. Smith makes 2-pt shot from 2 ft (assist by L. James)
0:51.0,A. Nicholson makes 3-pt shot from 25 ft (assist by N. Vucevic),3,55-56,,
0:28.0,,,55-59,3,K. Love makes 3-pt shot from 22 ft (assist by L. James)
0:09.0,E. Payton misses 2-pt shot from 18 ft,,55-59,,
0:09.0,,,55-59,,Defensive rebound by T. Thompson
0:02.0,,,55-59,,J. Cunningham misses 3-pt shot from 26 ft (block by T. Harris)
0:00.0,Defensive rebound by A. Nicholson,,55-59,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:32.0,,,55-62,3,J. Smith makes 3-pt shot from 23 ft (assist by M. Dellavedova)
11:20.0,E. Fournier makes 3-pt shot from 25 ft (assist by T. Harris),3,58-62,,
11:05.0,,,58-62,,K. Love misses 3-pt shot from 25 ft
11:04.0,Defensive rebound by E. Payton,,58-62,,
10:58.0,T. Harris makes 2-pt shot at rim (assist by E. Fournier),2,60-62,,
10:31.0,,,60-64,2,L. James makes 2-pt shot from 5 ft (assist by M. Dellavedova)
10:14.0,V. Oladipo misses 2-pt shot at rim,,60-64,,
10:13.0,,,60-64,,Defensive rebound by T. Thompson
9:56.0,,,60-64,,J. Smith misses 3-pt shot from 26 ft
9:55.0,Defensive rebound by N. Vucevic,,60-64,,
9:45.0,E. Payton misses 2-pt shot from 13 ft,,60-64,,
9:44.0,Offensive rebound by N. Vucevic,,60-64,,
9:39.0,T. Harris misses 3-pt shot from 23 ft,,60-64,,
9:38.0,,,60-64,,Defensive rebound by K. Love
9:17.0,,,60-66,2,L. James makes 2-pt shot from 2 ft (assist by J. Smith)
8:54.0,V. Oladipo misses 3-pt shot from 25 ft,,60-66,,
8:54.0,,,60-66,,Defensive rebound by K. Love
8:41.0,,,60-66,,M. Dellavedova misses 3-pt shot from 23 ft
8:41.0,Defensive rebound by Team,,60-66,,
8:26.0,E. Payton misses 2-pt shot from 8 ft,,60-66,,
8:25.0,,,60-66,,Defensive rebound by T. Thompson
8:16.0,,,60-68,2,T. Thompson makes 2-pt shot at rim (assist by M. Dellavedova)
8:00.0,Shooting foul by J. Smith (drawn by E. Fournier),,60-68,,
8:00.0,E. Fournier makes free throw 1 of 2,1,61-68,,
8:00.0,E. Fournier makes free throw 2 of 2,1,62-68,,
7:41.0,,,62-70,2,L. James makes 2-pt shot from 3 ft
7:41.0,,,62-70,,Shooting foul by E. Fournier (drawn by L. James)
7:41.0,,,62-70,,L. James misses free throw 1 of 1
7:40.0,Defensive rebound by V. Oladipo,,62-70,,
7:19.0,E. Payton misses 2-pt shot from 10 ft,,62-70,,
7:17.0,,,62-70,,Defensive rebound by K. Love
7:10.0,,,62-70,,L. James misses 3-pt shot from 25 ft
7:09.0,Defensive rebound by E. Payton,,62-70,,
6:59.0,N. Vucevic makes 2-pt shot from 18 ft (assist by T. Harris),2,64-70,,
6:42.0,,,64-73,3,M. Dellavedova makes 3-pt shot from 25 ft (assist by K. Love)
6:17.0,T. Harris misses 2-pt shot from 12 ft,,64-73,,
6:15.0,,,64-73,,Defensive rebound by T. Thompson
6:12.0,,,64-73,,Cleveland full timeout
6:12.0,S. Napier enters the game for E. Payton,,64-73,,
6:02.0,,,64-76,3,M. Dellavedova makes 3-pt shot from 22 ft (assist by J. Smith)
5:42.0,N. Vucevic makes 2-pt shot from 14 ft,2,66-76,,
5:23.0,,,66-79,3,J. Smith makes 3-pt shot from 22 ft (assist by L. James)
4:58.0,S. Napier misses 3-pt shot from 24 ft,,66-79,,
4:57.0,,,66-79,,Defensive rebound by L. James
4:54.0,Personal foul by E. Fournier (drawn by L. James),,66-79,,
4:54.0,,,66-79,,J. Cunningham enters the game for M. Dellavedova
4:54.0,A. Nicholson enters the game for V. Oladipo,,66-79,,
4:47.0,,,66-81,2,J. Smith makes 2-pt shot from 6 ft (assist by K. Love)
4:23.0,E. Fournier misses 2-pt shot from 10 ft,,66-81,,
4:22.0,,,66-81,,Defensive rebound by T. Thompson
4:15.0,Personal foul by E. Fournier (drawn by T. Thompson),,66-81,,
4:15.0,V. Oladipo enters the game for E. Fournier,,66-81,,
4:08.0,,,66-83,2,T. Thompson makes 2-pt shot at rim (assist by K. Love)
3:46.0,N. Vucevic makes 2-pt shot from 19 ft (assist by S. Napier),2,68-83,,
3:33.0,,,68-83,,Shooting foul by N. Vucevic (drawn by T. Thompson)
3:33.0,,,68-84,1,T. Thompson makes free throw 1 of 2
3:33.0,,,68-85,1,T. Thompson makes free throw 2 of 2
3:15.0,V. Oladipo misses 2-pt shot from 15 ft,,68-85,,
3:14.0,,,68-85,,Defensive rebound by T. Thompson
3:08.0,,,68-85,,K. Love misses 3-pt shot from 24 ft
3:07.0,Defensive rebound by A. Nicholson,,68-85,,
2:59.0,Turnover by N. Vucevic (bad pass),,68-85,,
2:59.0,Orlando full timeout,,68-85,,
2:59.0,,,68-85,,R. Jefferson enters the game for L. James
2:42.0,,,68-85,,Shooting foul by N. Vucevic (drawn by K. Love)
2:42.0,,,68-86,1,K. Love makes free throw 1 of 2
2:42.0,,,68-87,1,K. Love makes free throw 2 of 2
2:22.0,N. Vucevic misses 2-pt shot from 8 ft,,68-87,,
2:21.0,,,68-87,,Defensive rebound by J. Cunningham
2:17.0,,,68-87,,Shooting foul by A. Nicholson (drawn by K. Love)
2:17.0,,,68-88,1,K. Love makes free throw 1 of 2
2:17.0,A. Gordon enters the game for T. Harris,,68-88,,
2:17.0,J. Smith enters the game for N. Vucevic,,68-88,,
2:17.0,M. Hezonja enters the game for V. Oladipo,,68-88,,
2:17.0,,,68-89,1,K. Love makes free throw 2 of 2
1:54.0,J. Smith makes 2-pt shot from 20 ft (assist by S. Napier),2,70-89,,
1:37.0,,,70-89,,K. Love misses 2-pt shot from 17 ft
1:36.0,Defensive rebound by A. Nicholson,,70-89,,
1:23.0,Shooting foul by T. Thompson (drawn by S. Napier),,70-89,,
1:23.0,S. Napier misses free throw 1 of 2,,70-89,,
1:23.0,Offensive rebound by Team,,70-89,,
1:23.0,,,70-89,,J. Jones enters the game for K. Love
1:23.0,S. Napier makes free throw 2 of 2,1,71-89,,
1:02.0,,,71-89,,J. Cunningham misses 2-pt shot at rim
1:01.0,Defensive rebound by A. Nicholson,,71-89,,
1:01.0,,,71-89,,Personal foul by T. Thompson (drawn by A. Nicholson)
1:01.0,A. Nicholson makes free throw 1 of 2,1,72-89,,
1:01.0,,,72-89,,A. Varejao enters the game for T. Thompson
1:01.0,A. Nicholson makes free throw 2 of 2,1,73-89,,
0:51.0,,,73-92,3,J. Smith makes 3-pt shot from 24 ft (assist by J. Cunningham)
0:47.0,S. Napier misses 2-pt shot from 3 ft (block by J. Cunningham),,73-92,,
0:45.0,,,73-92,,Defensive rebound by A. Varejao
0:32.0,,,73-92,,J. Cunningham misses 2-pt shot from 5 ft (block by S. Napier)
0:31.0,,,73-92,,Offensive rebound by A. Varejao
0:29.0,,,73-92,,J. Jones misses 2-pt shot at rim (block by A. Gordon)
0:28.0,Defensive rebound by M. Hezonja,,73-92,,
0:23.0,A. Nicholson makes free throw 1 of 1,1,74-92,,
0:23.0,M. Hezonja makes 2-pt shot from 3 ft (assist by S. Napier),2,76-92,,
0:23.0,,,76-92,,Loose ball foul by R. Jefferson (drawn by A. Nicholson)
0:00.0,,,76-92,,J. Smith misses 3-pt shot from 22 ft
0:00.0,,,76-92,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:40.0,A. Nicholson misses 2-pt shot from 9 ft,,76-92,,
11:39.0,,,76-92,,Defensive rebound by A. Varejao
11:33.0,Personal foul by A. Gordon (drawn by A. Varejao),,76-92,,
11:23.0,,,76-92,,L. James misses 2-pt shot from 16 ft
11:21.0,Defensive rebound by A. Nicholson,,76-92,,
11:18.0,Shooting foul by J. Cunningham (drawn by S. Napier),,76-92,,
11:18.0,S. Napier makes free throw 1 of 2,1,77-92,,
11:18.0,S. Napier misses free throw 2 of 2,,77-92,,
11:17.0,,,77-92,,Defensive rebound by R. Jefferson
10:54.0,,,77-94,2,L. James makes 2-pt shot from 3 ft
10:44.0,M. Hezonja misses 2-pt shot from 22 ft,,77-94,,
10:43.0,,,77-94,,Defensive rebound by L. James
10:22.0,,,77-94,,J. Cunningham misses 2-pt shot at rim (block by J. Smith)
10:21.0,,,77-94,,Offensive rebound by A. Varejao
10:08.0,,,77-97,3,J. Cunningham makes 3-pt shot from 23 ft (assist by L. James)
9:51.0,A. Nicholson misses 3-pt shot from 25 ft,,77-97,,
9:51.0,,,77-97,,Defensive rebound by L. James
9:49.0,,,77-97,,Shooting foul by A. Nicholson (drawn by A. Varejao)
9:49.0,,,77-97,,A. Varejao misses free throw 1 of 2
9:49.0,,,77-97,,Offensive rebound by Team
9:49.0,,,77-97,,A. Varejao misses free throw 2 of 2
9:47.0,Defensive rebound by S. Napier,,77-97,,
9:24.0,J. Smith misses 2-pt shot from 13 ft,,77-97,,
9:22.0,Offensive rebound by A. Gordon,,77-97,,
9:22.0,A. Gordon makes 2-pt shot at rim,2,79-97,,
9:08.0,,,79-99,2,A. Varejao makes 2-pt shot at rim (assist by L. James)
8:49.0,J. Smith misses 2-pt shot from 8 ft,,79-99,,
8:47.0,,,79-99,,Defensive rebound by A. Varejao
8:34.0,,,79-101,2,R. Jefferson makes 2-pt shot from 2 ft (assist by J. Jones)
8:16.0,J. Smith makes 2-pt shot at rim (assist by S. Napier),2,81-101,,
7:54.0,,,81-104,3,J. Jones makes 3-pt shot from 25 ft (assist by L. James)
7:39.0,S. Napier makes 2-pt shot from 20 ft,2,83-104,,
7:13.0,,,83-104,,L. James misses 2-pt shot from 3 ft (block by A. Gordon)
7:11.0,Defensive rebound by M. Hezonja,,83-104,,
7:07.0,S. Napier misses 2-pt shot from 2 ft,,83-104,,
7:05.0,Offensive rebound by M. Hezonja,,83-104,,
7:05.0,M. Hezonja misses 2-pt shot from 1 ft,,83-104,,
7:02.0,Offensive rebound by A. Gordon,,83-104,,
7:00.0,A. Gordon makes 2-pt shot at rim,2,85-104,,
6:49.0,,,85-106,2,R. Jefferson makes 2-pt shot at rim (assist by L. James)
6:49.0,,,85-106,,Shooting foul by J. Smith (drawn by R. Jefferson)
6:49.0,Official timeout,,85-106,,
6:49.0,D. Dedmon enters the game for A. Nicholson,,85-106,,
6:49.0,C. Frye enters the game for J. Smith,,85-106,,
6:49.0,,,85-107,1,R. Jefferson makes free throw 1 of 1
6:34.0,Shooting foul by J. Jones (drawn by D. Dedmon),,85-107,,
6:34.0,D. Dedmon misses free throw 1 of 2,,85-107,,
6:34.0,Offensive rebound by Team,,85-107,,
6:34.0,D. Dedmon misses free throw 2 of 2,,85-107,,
6:30.0,Offensive rebound by A. Gordon,,85-107,,
6:30.0,A. Gordon makes 2-pt shot at rim,2,87-107,,
6:11.0,,,87-107,,L. James misses 2-pt shot from 15 ft
6:10.0,Defensive rebound by M. Hezonja,,87-107,,
6:07.0,,,87-107,,Personal foul by J. Jones (drawn by D. Dedmon)
6:07.0,D. Dedmon makes free throw 1 of 2,1,88-107,,
6:07.0,D. Dedmon misses free throw 2 of 2,,88-107,,
6:05.0,,,88-107,,Defensive rebound by Team
5:57.0,,,88-107,,Turnover by L. James (bad pass)
5:57.0,,,88-107,,Cleveland full timeout
5:57.0,,,88-107,,J. Smith enters the game for R. Jefferson
5:57.0,,,88-107,,T. Thompson enters the game for J. Jones
5:57.0,,,88-107,,K. Love enters the game for A. Varejao
5:43.0,C. Frye makes 3-pt shot from 24 ft (assist by S. Napier),3,91-107,,
5:08.0,,,91-107,,L. James misses 3-pt shot from 23 ft
5:08.0,Defensive rebound by Team,,91-107,,
4:53.0,C. Frye makes 3-pt shot from 25 ft (assist by S. Napier),3,94-107,,
4:27.0,,,94-107,,J. Smith misses 2-pt shot at rim
4:27.0,Defensive rebound by S. Napier,,94-107,,
4:14.0,A. Gordon misses 2-pt shot from 16 ft,,94-107,,
4:13.0,,,94-107,,Defensive rebound by K. Love
4:09.0,,,94-109,2,L. James makes 2-pt shot at rim (assist by K. Love)
3:51.0,S. Napier misses 3-pt shot from 26 ft,,94-109,,
3:51.0,,,94-109,,Defensive rebound by T. Thompson
3:51.0,,,94-109,,Cleveland full timeout
3:36.0,,,94-109,,J. Smith misses 3-pt shot from 24 ft
3:36.0,Defensive rebound by S. Napier,,94-109,,
3:19.0,C. Frye makes 3-pt shot from 24 ft (assist by S. Napier),3,97-109,,
2:49.0,,,97-112,3,J. Smith makes 3-pt shot from 27 ft (assist by T. Thompson)
2:42.0,Shooting foul by J. Cunningham (drawn by S. Napier),,97-112,,
2:42.0,S. Napier makes free throw 1 of 2,1,98-112,,
2:42.0,S. Napier makes free throw 2 of 2,1,99-112,,
2:19.0,,,99-115,3,K. Love makes 3-pt shot from 25 ft (assist by J. Cunningham)
2:04.0,Shooting foul by T. Thompson (drawn by S. Napier),,99-115,,
2:04.0,S. Napier misses free throw 1 of 2,,99-115,,
2:04.0,Offensive rebound by Team,,99-115,,
2:04.0,,,99-115,,R. Jefferson enters the game for L. James
2:04.0,S. Napier makes free throw 2 of 2,1,100-115,,
1:46.0,,,100-115,,J. Cunningham misses 3-pt shot from 26 ft
1:45.0,Defensive rebound by M. Hezonja,,100-115,,
1:36.0,Offensive foul by M. Hezonja,,100-115,,
1:36.0,Turnover by M. Hezonja (offensive foul),,100-115,,
1:23.0,,,100-117,2,J. Smith makes 2-pt shot from 12 ft
1:03.0,D. Dedmon makes 2-pt shot from 5 ft,2,102-117,,
1:03.0,,,102-117,,Cleveland full timeout
1:03.0,,,102-117,,J. Harris enters the game for K. Love
1:03.0,,,102-117,,S. Kaun enters the game for T. Thompson
1:03.0,,,102-117,,J. Jones enters the game for J. Smith
0:45.0,,,102-117,,Turnover by J. Harris (bad pass)
0:33.0,S. Napier misses 3-pt shot from 24 ft,,102-117,,
0:32.0,Offensive rebound by M. Hezonja,,102-117,,
0:32.0,,,102-117,,Personal foul by J. Harris (drawn by M. Hezonja)
0:32.0,M. Hezonja misses free throw 1 of 2,,102-117,,
0:32.0,Offensive rebound by Team,,102-117,,
0:32.0,M. Hezonja makes free throw 2 of 2,1,103-117,,
0:19.0,,,103-117,,J. Harris misses 3-pt shot from 26 ft
0:18.0,,,103-117,,Offensive rebound by S. Kaun
