time,Utah,pts.away,score,pts.home,Portland
6:56.0,,,8-3,,C. McCollum misses 2-pt shot from 4 ft
6:56.0,,,8-3,,Offensive rebound by C. McCollum
6:50.0,,,8-3,,D. Lillard misses 2-pt shot from 13 ft
6:50.0,,,8-3,,Offensive rebound by Team
6:50.0,Loose ball foul by R. Hood (drawn by N. Vonleh),,8-3,,
6:42.0,Personal foul by J. Ingles (drawn by A. Aminu),,8-3,,
6:42.0,G. Hayward enters the game for J. Ingles,,8-3,,
6:34.0,,,8-5,2,C. McCollum makes 2-pt shot from 16 ft (assist by A. Aminu)
6:07.0,R. Hood makes 3-pt shot from 26 ft (assist by G. Hayward),3,11-5,,
5:38.0,,,11-5,,C. McCollum misses 3-pt shot from 28 ft
5:37.0,Defensive rebound by R. Hood,,11-5,,
5:28.0,R. Hood misses 3-pt shot from 26 ft,,11-5,,
5:28.0,,,11-5,,Defensive rebound by M. Plumlee
5:14.0,,,11-7,2,A. Aminu makes 2-pt shot from 20 ft (assist by D. Lillard)
4:51.0,R. Neto misses 2-pt shot from 16 ft (block by D. Lillard),,11-7,,
4:50.0,,,11-7,,Defensive rebound by N. Vonleh
4:48.0,,,11-7,,Shooting foul by R. Hood (drawn by C. McCollum)
4:48.0,Technical foul by R. Hood (drawn by C. McCollum),,11-7,,
4:48.0,,,11-8,1,D. Lillard makes technical free throw
4:48.0,C. Johnson enters the game for R. Neto,,11-8,,
4:48.0,T. Burke enters the game for R. Hood,,11-8,,
4:48.0,,,11-8,,M. Leonard enters the game for N. Vonleh
4:48.0,,,11-9,1,C. McCollum makes free throw 1 of 2
4:48.0,,,11-10,1,C. McCollum makes free throw 2 of 2
4:35.0,Turnover by C. Johnson (bad pass),,11-10,,
4:35.0,,,11-10,,A. Crabbe enters the game for C. McCollum
4:35.0,J. Withey enters the game for R. Gobert,,11-10,,
4:35.0,T. Booker enters the game for T. Lyles,,11-10,,
4:35.0,,,11-10,,E. Davis enters the game for M. Plumlee
4:27.0,,,11-10,,Turnover by D. Lillard (bad pass)
4:07.0,G. Hayward misses 2-pt shot from 12 ft,,11-10,,
4:05.0,,,11-10,,Defensive rebound by D. Lillard
3:57.0,,,11-10,,M. Leonard misses 3-pt shot from 24 ft
3:57.0,,,11-10,,Offensive rebound by E. Davis
3:51.0,,,11-12,2,D. Lillard makes 2-pt shot from 1 ft
3:32.0,T. Burke makes 2-pt shot from 2 ft (assist by T. Booker),2,13-12,,
3:16.0,,,13-14,2,E. Davis makes 2-pt shot at rim (assist by D. Lillard)
2:56.0,Turnover by C. Johnson (bad pass; steal by D. Lillard),,13-14,,
2:51.0,,,13-16,2,A. Aminu makes 2-pt shot at rim (assist by D. Lillard)
2:23.0,G. Hayward makes 2-pt shot from 5 ft,2,15-16,,
2:22.0,,,15-16,,Portland full timeout
2:06.0,,,15-16,,A. Crabbe misses 2-pt shot from 4 ft
2:06.0,,,15-16,,Offensive rebound by E. Davis
1:57.0,,,15-16,,E. Davis misses 2-pt shot from 2 ft (block by J. Withey)
1:55.0,Defensive rebound by T. Booker,,15-16,,
1:38.0,C. Johnson misses 3-pt shot from 24 ft,,15-16,,
1:37.0,,,15-16,,Defensive rebound by M. Leonard
1:35.0,,,15-16,,Turnover by D. Lillard (bad pass; steal by T. Burke)
1:29.0,T. Booker makes 2-pt shot at rim (assist by T. Burke),2,17-16,,
1:07.0,,,17-18,2,M. Leonard makes 2-pt shot from 14 ft (assist by A. Crabbe)
0:50.0,T. Booker makes 2-pt shot from 1 ft (assist by T. Burke),2,19-18,,
0:35.0,,,19-18,,D. Lillard misses 3-pt shot from 25 ft
0:34.0,Defensive rebound by G. Hayward,,19-18,,
0:21.0,T. Burke misses 2-pt shot from 20 ft,,19-18,,
0:20.0,,,19-18,,Defensive rebound by A. Aminu
0:00.0,,,19-18,,M. Leonard misses 2-pt shot from 13 ft
0:00.0,Defensive rebound by J. Withey,,19-18,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,Personal foul by T. Booker (drawn by M. Leonard),,19-18,,
11:39.0,,,19-18,,C. McCollum misses 2-pt shot from 14 ft
11:39.0,Defensive rebound by J. Withey,,19-18,,
11:17.0,T. Burke makes 2-pt shot from 20 ft,2,21-18,,
11:05.0,,,21-21,3,M. Leonard makes 3-pt shot from 23 ft (assist by C. McCollum)
10:42.0,T. Booker makes 2-pt shot from 3 ft (assist by J. Ingles),2,23-21,,
10:42.0,Shooting foul by M. Leonard (drawn by T. Booker),,23-21,,
10:42.0,T. Booker makes free throw 1 of 1,1,24-21,,
10:31.0,,,24-23,2,C. McCollum makes 2-pt shot from 15 ft
10:06.0,Turnover by C. Johnson (lost ball; steal by A. Crabbe),,24-23,,
9:55.0,,,24-23,,Turnover by E. Davis (3 sec)
9:42.0,J. Withey misses 2-pt shot from 15 ft,,24-23,,
9:41.0,,,24-23,,Defensive rebound by A. Crabbe
9:26.0,,,24-25,2,M. Harkless makes 2-pt shot from 2 ft (assist by C. McCollum)
9:00.0,C. Johnson misses 2-pt shot from 20 ft (block by A. Crabbe),,24-25,,
8:58.0,,,24-25,,Defensive rebound by E. Davis
8:55.0,,,24-25,,Turnover by C. McCollum (bad pass; steal by C. Johnson)
8:51.0,C. Johnson misses 2-pt shot from 1 ft,,24-25,,
8:51.0,Offensive rebound by T. Booker,,24-25,,
8:51.0,Turnover by T. Booker (step out of bounds),,24-25,,
8:51.0,Official timeout,,24-25,,
8:51.0,R. Hood enters the game for C. Johnson,,24-25,,
8:51.0,R. Gobert enters the game for J. Withey,,24-25,,
8:29.0,,,24-25,,A. Crabbe misses 3-pt shot from 22 ft
8:28.0,Defensive rebound by J. Ingles,,24-25,,
8:11.0,T. Burke misses 2-pt shot from 12 ft,,24-25,,
8:10.0,Offensive rebound by T. Booker,,24-25,,
8:10.0,T. Booker misses 2-pt shot at rim,,24-25,,
8:09.0,Offensive rebound by T. Booker,,24-25,,
8:01.0,Turnover by T. Burke (bad pass; steal by A. Crabbe),,24-25,,
7:56.0,,,24-25,,A. Crabbe misses 2-pt shot from 1 ft
7:56.0,,,24-25,,Offensive rebound by M. Harkless
7:56.0,,,24-27,2,M. Harkless makes 2-pt shot at rim
7:37.0,,,24-27,,Personal foul by E. Davis (drawn by R. Gobert)
7:37.0,,,24-27,,G. Henderson enters the game for A. Crabbe
7:27.0,J. Ingles misses 2-pt shot from 3 ft,,24-27,,
7:27.0,Offensive rebound by Team,,24-27,,
7:27.0,,,24-27,,Loose ball foul by E. Davis (drawn by R. Gobert)
7:12.0,Turnover by R. Hood (bad pass; steal by M. Harkless),,24-27,,
6:57.0,,,24-27,,C. McCollum misses 2-pt shot from 20 ft
6:56.0,Defensive rebound by T. Booker,,24-27,,
6:46.0,T. Burke makes 2-pt shot from 15 ft,2,26-27,,
6:31.0,,,26-27,,M. Leonard misses 2-pt shot from 18 ft
6:31.0,Defensive rebound by J. Ingles,,26-27,,
6:23.0,J. Ingles misses 3-pt shot from 24 ft,,26-27,,
6:22.0,,,26-27,,Defensive rebound by E. Davis
6:13.0,,,26-27,,Shooting foul by J. Ingles (drawn by G. Henderson)
6:13.0,,,26-27,,G. Henderson misses free throw 1 of 2
6:13.0,,,26-27,,Offensive rebound by Team
6:13.0,G. Hayward enters the game for J. Ingles,,26-27,,
6:13.0,R. Neto enters the game for T. Burke,,26-27,,
6:13.0,T. Lyles enters the game for T. Booker,,26-27,,
6:13.0,,,26-28,1,G. Henderson makes free throw 2 of 2
5:53.0,R. Neto misses 3-pt shot from 24 ft,,26-28,,
5:52.0,,,26-28,,Defensive rebound by M. Leonard
5:39.0,,,26-28,,G. Henderson misses 2-pt shot from 21 ft
5:38.0,Defensive rebound by T. Lyles,,26-28,,
5:27.0,T. Lyles makes 2-pt shot from 15 ft (assist by G. Hayward),2,28-28,,
5:12.0,,,28-31,3,G. Henderson makes 3-pt shot from 25 ft (assist by C. McCollum)
4:56.0,Turnover by R. Gobert (lost ball),,28-31,,
4:56.0,,,28-31,,Portland full timeout
4:56.0,,,28-31,,D. Lillard enters the game for C. McCollum
4:56.0,,,28-31,,A. Aminu enters the game for M. Leonard
4:38.0,,,28-31,,M. Plumlee enters the game for E. Davis
4:35.0,,,28-31,,Turnover by M. Harkless (bad pass; steal by R. Gobert)
4:20.0,R. Hood misses 2-pt shot from 16 ft,,28-31,,
4:18.0,,,28-31,,Defensive rebound by D. Lillard
4:09.0,,,28-33,2,D. Lillard makes 2-pt shot from 16 ft
3:59.0,,,28-33,,Personal foul by G. Henderson (drawn by R. Hood)
3:57.0,Flagrant foul type 1 by R. Gobert (drawn by M. Plumlee),,28-33,,
3:57.0,Turnover by R. Gobert (offensive foul),,28-33,,
3:57.0,J. Withey enters the game for R. Gobert,,28-33,,
3:57.0,,,28-34,1,M. Plumlee makes flagrant free throw 1 of 2
3:57.0,,,28-34,,M. Plumlee misses flagrant free throw 2 of 2
3:57.0,,,28-34,,Offensive rebound by Team
3:50.0,,,28-34,,Turnover by D. Lillard (bad pass)
3:34.0,J. Withey misses 2-pt shot from 2 ft,,28-34,,
3:33.0,Offensive rebound by T. Lyles,,28-34,,
3:30.0,T. Lyles misses 2-pt shot from 1 ft (block by A. Aminu),,28-34,,
3:29.0,,,28-34,,Defensive rebound by D. Lillard
3:25.0,,,28-34,,Turnover by A. Aminu (bad pass)
3:08.0,R. Hood makes 2-pt shot from 5 ft (assist by G. Hayward),2,30-34,,
2:43.0,,,30-37,3,G. Henderson makes 3-pt shot from 24 ft (assist by D. Lillard)
2:28.0,Shooting foul by M. Harkless (drawn by G. Hayward),,30-37,,
2:28.0,Utah full timeout,,30-37,,
2:28.0,T. Burke enters the game for T. Lyles,,30-37,,
2:28.0,G. Hayward makes free throw 1 of 2,1,31-37,,
2:28.0,T. Booker enters the game for R. Neto,,31-37,,
2:28.0,G. Hayward makes free throw 2 of 2,1,32-37,,
2:10.0,,,32-37,,A. Aminu misses 2-pt shot from 6 ft
2:10.0,Defensive rebound by Team,,32-37,,
2:01.0,,,32-37,,Personal foul by A. Aminu (drawn by G. Hayward)
2:01.0,G. Hayward makes free throw 1 of 2,1,33-37,,
2:01.0,,,33-37,,C. McCollum enters the game for M. Harkless
2:01.0,G. Hayward makes free throw 2 of 2,1,34-37,,
1:45.0,,,34-37,,C. McCollum misses 3-pt shot from 25 ft
1:44.0,,,34-37,,Offensive rebound by M. Plumlee
1:39.0,,,34-37,,A. Aminu misses 2-pt shot from 1 ft (block by J. Withey)
1:38.0,,,34-37,,Offensive rebound by A. Aminu
1:38.0,,,34-37,,Shooting foul by J. Withey (drawn by A. Aminu)
1:38.0,,,34-38,1,A. Aminu makes free throw 1 of 2
1:38.0,,,34-38,,A. Aminu misses free throw 2 of 2
1:38.0,Defensive rebound by J. Withey,,34-38,,
1:15.0,G. Hayward misses 3-pt shot from 22 ft,,34-38,,
1:14.0,,,34-38,,Defensive rebound by D. Lillard
1:07.0,,,34-38,,Turnover by G. Henderson (bad pass; steal by G. Hayward)
1:03.0,G. Hayward makes 2-pt shot from 2 ft,2,36-38,,
1:03.0,Shooting foul by C. McCollum (drawn by G. Hayward),,36-38,,
1:03.0,J. Ingles enters the game for R. Hood,,36-38,,
1:03.0,G. Hayward makes free throw 1 of 1,1,37-38,,
0:49.0,,,37-41,3,G. Henderson makes 3-pt shot from 22 ft (assist by D. Lillard)
0:33.0,Turnover by T. Burke (bad pass; steal by D. Lillard),,37-41,,
0:30.0,,,37-43,2,M. Plumlee makes 2-pt shot at rim (assist by G. Henderson)
0:17.0,Offensive charge foul by G. Hayward,,37-43,,
0:17.0,Turnover by G. Hayward (offensive foul),,37-43,,
0:02.0,,,37-43,,Portland full timeout
0:02.0,R. Gobert enters the game for J. Ingles,,37-43,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,,,37-46,3,D. Lillard makes 3-pt shot from 25 ft (assist by M. Plumlee)
11:25.0,R. Neto misses 2-pt shot from 2 ft,,37-46,,
11:24.0,Offensive rebound by R. Neto,,37-46,,
11:19.0,R. Neto misses 3-pt shot from 24 ft,,37-46,,
11:18.0,,,37-46,,Defensive rebound by A. Aminu
11:09.0,,,37-48,2,M. Plumlee makes 2-pt shot at rim (assist by D. Lillard)
10:56.0,,,37-48,,Personal foul by D. Lillard (drawn by R. Neto)
10:46.0,R. Hood makes 2-pt shot from 6 ft,2,39-48,,
10:28.0,,,39-51,3,D. Lillard makes 3-pt shot from 22 ft (assist by C. McCollum)
10:14.0,Shooting foul by C. McCollum (drawn by R. Hood),,39-51,,
10:14.0,R. Hood makes free throw 1 of 2,1,40-51,,
10:14.0,R. Hood makes free throw 2 of 2,1,41-51,,
9:59.0,,,41-51,,D. Lillard misses 3-pt shot from 26 ft
9:58.0,,,41-51,,Offensive rebound by N. Vonleh
9:50.0,,,41-51,,Turnover by D. Lillard (bad pass; steal by G. Hayward)
9:45.0,T. Lyles makes 2-pt shot at rim (assist by G. Hayward),2,43-51,,
9:21.0,,,43-53,2,N. Vonleh makes 2-pt shot at rim (assist by D. Lillard)
9:00.0,R. Neto makes 3-pt shot from 24 ft (assist by G. Hayward),3,46-53,,
8:53.0,,,46-53,,Offensive charge foul by C. McCollum
8:53.0,,,46-53,,Turnover by C. McCollum (offensive foul)
8:53.0,T. Booker enters the game for T. Lyles,,46-53,,
8:53.0,T. Burke enters the game for R. Neto,,46-53,,
8:40.0,R. Hood makes 2-pt shot from 12 ft,2,48-53,,
8:27.0,,,48-53,,Shooting foul by R. Gobert (drawn by M. Plumlee)
8:27.0,,,48-54,1,M. Plumlee makes free throw 1 of 2
8:27.0,,,48-54,,M. Plumlee misses free throw 2 of 2
8:25.0,,,48-54,,Offensive rebound by A. Aminu
8:20.0,,,48-57,3,C. McCollum makes 3-pt shot from 24 ft (assist by A. Aminu)
7:53.0,T. Booker misses 2-pt shot from 17 ft,,48-57,,
7:52.0,,,48-57,,Defensive rebound by A. Aminu
7:35.0,,,48-57,,C. McCollum misses 2-pt shot from 22 ft
7:35.0,Defensive rebound by G. Hayward,,48-57,,
7:24.0,R. Hood misses 2-pt shot from 4 ft (block by M. Plumlee),,48-57,,
7:23.0,Offensive rebound by T. Burke,,48-57,,
7:14.0,G. Hayward misses 2-pt shot from 10 ft,,48-57,,
7:13.0,,,48-57,,Defensive rebound by D. Lillard
7:04.0,,,48-57,,C. McCollum misses 2-pt shot from 3 ft (block by R. Gobert)
7:03.0,Defensive rebound by R. Hood,,48-57,,
6:53.0,T. Burke makes 2-pt shot from 12 ft,2,50-57,,
6:25.0,,,50-60,3,D. Lillard makes 3-pt shot from 24 ft (assist by N. Vonleh)
6:16.0,Utah full timeout,,50-60,,
6:02.0,R. Gobert misses 2-pt shot from 1 ft,,50-60,,
6:02.0,,,50-60,,Defensive rebound by N. Vonleh
5:42.0,,,50-60,,A. Aminu misses 3-pt shot from 24 ft
5:41.0,Defensive rebound by R. Gobert,,50-60,,
5:25.0,G. Hayward misses 3-pt shot from 24 ft,,50-60,,
5:23.0,Offensive rebound by R. Gobert,,50-60,,
5:18.0,G. Hayward makes 2-pt shot at rim (assist by T. Booker),2,52-60,,
5:02.0,,,52-60,,C. McCollum misses 2-pt shot from 16 ft (block by R. Gobert)
5:02.0,,,52-60,,Offensive rebound by Team
5:02.0,T. Lyles enters the game for R. Gobert,,52-60,,
4:57.0,,,52-60,,D. Lillard misses 2-pt shot from 2 ft
4:56.0,,,52-60,,Offensive rebound by A. Aminu
4:56.0,,,52-62,2,A. Aminu makes 2-pt shot from 1 ft
4:39.0,G. Hayward misses 2-pt shot from 3 ft (block by A. Aminu),,52-62,,
4:38.0,,,52-62,,Defensive rebound by A. Aminu
4:33.0,,,52-64,2,A. Aminu makes 2-pt shot at rim (assist by C. McCollum)
4:11.0,T. Burke makes 2-pt shot from 5 ft,2,54-64,,
3:54.0,,,54-64,,N. Vonleh misses 2-pt shot from 5 ft
3:54.0,Defensive rebound by G. Hayward,,54-64,,
3:49.0,T. Burke misses 2-pt shot from 2 ft (block by A. Aminu),,54-64,,
3:48.0,,,54-64,,Defensive rebound by D. Lillard
3:38.0,,,54-64,,A. Aminu misses 2-pt shot from 20 ft
3:37.0,,,54-64,,Offensive rebound by M. Plumlee
3:34.0,,,54-64,,Shooting foul by T. Lyles (drawn by A. Aminu)
3:34.0,,,54-65,1,A. Aminu makes free throw 1 of 2
3:34.0,R. Neto enters the game for R. Hood,,54-65,,
3:34.0,R. Gobert enters the game for T. Booker,,54-65,,
3:34.0,,,54-65,,A. Crabbe enters the game for C. McCollum
3:34.0,,,54-65,,M. Leonard enters the game for N. Vonleh
3:34.0,,,54-65,,E. Davis enters the game for M. Plumlee
3:34.0,,,54-65,,A. Aminu misses free throw 2 of 2
3:33.0,,,54-65,,Offensive rebound by Team
3:23.0,,,54-68,3,M. Leonard makes 3-pt shot from 24 ft (assist by D. Lillard)
3:08.0,T. Burke misses 3-pt shot from 26 ft,,54-68,,
3:07.0,,,54-68,,Defensive rebound by E. Davis
2:58.0,Violation by R. Gobert (kicked ball),,54-68,,
2:58.0,,,54-68,,Portland full timeout
2:53.0,,,54-70,2,M. Leonard makes 2-pt shot from 18 ft (assist by D. Lillard)
2:42.0,,,54-70,,Personal foul by A. Crabbe (drawn by T. Burke)
2:30.0,G. Hayward makes 2-pt shot from 1 ft,2,56-70,,
2:09.0,,,56-70,,A. Crabbe misses 2-pt shot from 16 ft
2:08.0,Defensive rebound by R. Gobert,,56-70,,
1:58.0,,,56-70,,Personal foul by M. Leonard (drawn by T. Burke)
1:58.0,,,56-70,,M. Harkless enters the game for A. Aminu
1:45.0,T. Lyles makes 2-pt shot from 16 ft (assist by G. Hayward),2,58-70,,
1:33.0,Personal foul by T. Lyles (drawn by D. Lillard),,58-70,,
1:25.0,,,58-72,2,D. Lillard makes 2-pt shot from 8 ft
1:15.0,Shooting foul by M. Harkless (drawn by R. Gobert),,58-72,,
1:15.0,R. Gobert makes free throw 1 of 2,1,59-72,,
1:15.0,J. Ingles enters the game for G. Hayward,,59-72,,
1:15.0,R. Gobert misses free throw 2 of 2,,59-72,,
1:14.0,,,59-72,,Defensive rebound by M. Leonard
1:01.0,,,59-74,2,D. Lillard makes 2-pt shot from 1 ft
0:45.0,T. Lyles makes 3-pt shot from 22 ft (assist by R. Neto),3,62-74,,
0:33.0,,,62-74,,D. Lillard misses 3-pt shot from 24 ft
0:32.0,Defensive rebound by T. Burke,,62-74,,
0:16.0,Turnover by J. Ingles (bad pass),,62-74,,
0:16.0,J. Withey enters the game for R. Gobert,,62-74,,
0:16.0,,,62-74,,C. McCollum enters the game for E. Davis
0:04.0,,,62-77,3,A. Crabbe makes 3-pt shot from 22 ft (assist by D. Lillard)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,J. Withey makes 2-pt shot from 2 ft (assist by J. Ingles),2,64-77,,
11:25.0,,,64-79,2,A. Crabbe makes 2-pt shot from 18 ft (assist by C. McCollum)
10:57.0,J. Withey misses 2-pt shot from 3 ft,,64-79,,
10:57.0,Offensive rebound by J. Withey,,64-79,,
10:54.0,J. Withey misses 2-pt shot from 2 ft,,64-79,,
10:52.0,,,64-79,,Defensive rebound by M. Harkless
10:46.0,,,64-79,,C. McCollum misses 2-pt shot from 14 ft
10:45.0,Defensive rebound by J. Withey,,64-79,,
10:25.0,T. Lyles makes 3-pt shot from 24 ft (assist by R. Neto),3,67-79,,
10:07.0,,,67-81,2,C. McCollum makes 2-pt shot from 1 ft
9:49.0,Shooting foul by M. Leonard (drawn by T. Lyles),,67-81,,
9:49.0,T. Lyles makes free throw 1 of 2,1,68-81,,
9:49.0,T. Booker enters the game for J. Withey,,68-81,,
9:49.0,T. Lyles misses free throw 2 of 2,,68-81,,
9:48.0,,,68-81,,Defensive rebound by M. Leonard
9:39.0,Personal foul by J. Ingles (drawn by M. Harkless),,68-81,,
9:25.0,,,68-83,2,A. Crabbe makes 2-pt shot from 7 ft
9:15.0,J. Ingles misses 3-pt shot from 25 ft,,68-83,,
9:14.0,,,68-83,,Defensive rebound by A. Crabbe
9:12.0,,,68-83,,Turnover by A. Crabbe (lost ball; steal by T. Booker)
9:00.0,R. Hood misses 2-pt shot from 2 ft,,68-83,,
9:00.0,,,68-83,,Defensive rebound by E. Davis
8:49.0,,,68-85,2,C. McCollum makes 2-pt shot from 6 ft
8:49.0,Utah full timeout,,68-85,,
8:49.0,R. Gobert enters the game for T. Lyles,,68-85,,
8:49.0,,,68-85,,G. Henderson enters the game for M. Harkless
8:33.0,Shooting foul by M. Leonard (drawn by R. Gobert),,68-85,,
8:33.0,R. Gobert makes free throw 1 of 2,1,69-85,,
8:33.0,R. Gobert misses free throw 2 of 2,,69-85,,
8:32.0,,,69-85,,Defensive rebound by A. Crabbe
8:14.0,,,69-85,,C. McCollum misses 2-pt shot from 18 ft
8:13.0,,,69-85,,Offensive rebound by E. Davis
8:12.0,G. Hayward enters the game for J. Ingles,,69-85,,
8:03.0,,,69-85,,C. McCollum misses 3-pt shot from 23 ft
8:01.0,,,69-85,,Offensive rebound by E. Davis
7:59.0,,,69-85,,Shooting foul by R. Hood (drawn by A. Crabbe)
7:59.0,,,69-86,1,A. Crabbe makes free throw 1 of 2
7:59.0,,,69-87,1,A. Crabbe makes free throw 2 of 2
7:51.0,,,69-87,,Personal foul by C. McCollum (drawn by R. Neto)
7:49.0,Turnover by R. Gobert (bad pass),,69-87,,
7:33.0,,,69-87,,A. Crabbe misses 3-pt shot from 23 ft
7:32.0,Defensive rebound by T. Booker,,69-87,,
7:22.0,Turnover by R. Neto (bad pass; steal by A. Crabbe),,69-87,,
7:17.0,,,69-89,2,A. Crabbe makes 2-pt shot at rim
7:02.0,R. Hood misses 2-pt shot from 4 ft (block by A. Crabbe),,69-89,,
7:02.0,Offensive rebound by Team,,69-89,,
7:02.0,T. Burke enters the game for R. Neto,,69-89,,
7:02.0,J. Withey enters the game for R. Gobert,,69-89,,
6:52.0,T. Burke misses 2-pt shot from 15 ft,,69-89,,
6:52.0,,,69-89,,Defensive rebound by E. Davis
6:43.0,,,69-89,,G. Henderson misses 2-pt shot from 20 ft
6:42.0,Defensive rebound by R. Hood,,69-89,,
6:29.0,G. Hayward makes 3-pt shot from 22 ft (assist by R. Hood),3,72-89,,
6:08.0,,,72-89,,C. McCollum misses 2-pt shot from 2 ft
6:07.0,,,72-89,,Offensive rebound by E. Davis
6:07.0,,,72-89,,E. Davis misses 2-pt shot at rim
6:06.0,Defensive rebound by G. Hayward,,72-89,,
5:57.0,Shooting foul by M. Leonard (drawn by G. Hayward),,72-89,,
5:57.0,Official timeout,,72-89,,
5:57.0,G. Hayward makes free throw 1 of 2,1,73-89,,
5:57.0,G. Hayward misses free throw 2 of 2,,73-89,,
5:56.0,,,73-89,,Defensive rebound by E. Davis
5:34.0,,,73-89,,G. Henderson misses 2-pt shot from 17 ft
5:33.0,Defensive rebound by T. Booker,,73-89,,
5:17.0,R. Hood misses 2-pt shot from 7 ft (block by M. Leonard),,73-89,,
5:16.0,,,73-89,,Defensive rebound by E. Davis
5:08.0,,,73-91,2,M. Leonard makes 2-pt shot at rim (assist by C. McCollum)
4:58.0,T. Burke misses 2-pt shot from 2 ft,,73-91,,
4:58.0,,,73-91,,Defensive rebound by G. Henderson
4:50.0,,,73-93,2,G. Henderson makes 2-pt shot from 1 ft (assist by C. McCollum)
4:25.0,R. Hood makes 3-pt shot from 24 ft (assist by G. Hayward),3,76-93,,
4:13.0,,,76-93,,Turnover by M. Leonard (lost ball; steal by T. Booker)
4:08.0,T. Booker misses 2-pt shot from 2 ft,,76-93,,
4:08.0,Offensive rebound by G. Hayward,,76-93,,
4:08.0,G. Hayward makes 2-pt shot at rim,2,78-93,,
3:55.0,,,78-95,2,C. McCollum makes 2-pt shot from 15 ft
3:43.0,J. Withey misses 2-pt shot from 16 ft,,78-95,,
3:42.0,,,78-95,,Defensive rebound by C. McCollum
3:31.0,,,78-95,,C. McCollum misses 2-pt shot from 1 ft (block by J. Withey)
3:31.0,Defensive rebound by J. Withey,,78-95,,
3:20.0,R. Hood misses 3-pt shot from 22 ft,,78-95,,
3:19.0,,,78-95,,Defensive rebound by G. Henderson
3:16.0,Personal take foul by R. Hood (drawn by G. Henderson),,78-95,,
3:16.0,,,78-95,,Portland full timeout
3:16.0,,,78-95,,P. Connaughton enters the game for C. McCollum
3:16.0,,,78-95,,N. Vonleh enters the game for A. Crabbe
3:16.0,,,78-95,,T. Frazier enters the game for E. Davis
3:16.0,R. Neto enters the game for G. Hayward,,78-95,,
3:16.0,J. Ingles enters the game for R. Hood,,78-95,,
