time,LA Lakers,pts.away,score,pts.home,Washington
7:09.0,,,11-14,,B. Beal misses 2-pt shot from 13 ft
7:08.0,Defensive rebound by J. Randle,,11-14,,
7:01.0,D. Russell misses 3-pt shot from 24 ft,,11-14,,
6:59.0,,,11-14,,Defensive rebound by M. Gortat
6:54.0,,,11-14,,Turnover by J. Wall (lost ball; steal by D. Russell)
6:45.0,K. Bryant makes 3-pt shot from 24 ft (assist by D. Russell),3,14-14,,
6:30.0,,,14-14,,Turnover by B. Beal (lost ball; steal by K. Bryant)
6:24.0,J. Clarkson makes 2-pt shot from 1 ft (assist by K. Bryant),2,16-14,,
6:20.0,,,16-14,,Turnover by J. Wall (lost ball; steal by D. Russell)
6:17.0,D. Russell makes 3-pt shot from 25 ft,3,19-14,,
6:17.0,,,19-14,,Technical foul by J. Wall
6:17.0,,,19-14,,Washington full timeout
6:17.0,K. Bryant makes technical free throw,1,20-14,,
5:56.0,,,20-14,,O. Porter misses 3-pt shot from 24 ft
5:55.0,Defensive rebound by J. Randle,,20-14,,
5:36.0,Turnover by R. Hibbert (bad pass),,20-14,,
5:25.0,,,20-14,,O. Porter misses 3-pt shot from 24 ft
5:23.0,Defensive rebound by J. Randle,,20-14,,
5:14.0,J. Clarkson misses 3-pt shot from 22 ft,,20-14,,
5:13.0,,,20-14,,Defensive rebound by O. Porter
4:58.0,,,20-16,2,M. Gortat makes 2-pt shot from 3 ft (assist by J. Wall)
4:36.0,K. Bryant misses 3-pt shot from 25 ft,,20-16,,
4:34.0,Offensive rebound by J. Randle,,20-16,,
4:24.0,J. Randle misses 2-pt shot from 3 ft,,20-16,,
4:23.0,,,20-16,,Defensive rebound by O. Porter
4:23.0,Loose ball foul by J. Randle (drawn by O. Porter),,20-16,,
4:23.0,L. Williams enters the game for K. Bryant,,20-16,,
4:23.0,M. World Peace enters the game for D. Russell,,20-16,,
4:10.0,,,20-16,,B. Beal misses 3-pt shot from 25 ft
4:09.0,Defensive rebound by J. Randle,,20-16,,
4:00.0,J. Clarkson misses 3-pt shot from 24 ft,,20-16,,
3:58.0,Offensive rebound by J. Randle,,20-16,,
3:50.0,J. Randle makes 2-pt shot from 4 ft (assist by L. Williams),2,22-16,,
3:27.0,,,22-18,2,M. Gortat makes 2-pt shot from 12 ft (assist by J. Dudley)
3:04.0,M. World Peace misses 2-pt shot from 5 ft,,22-18,,
3:03.0,Offensive rebound by M. World Peace,,22-18,,
2:57.0,M. World Peace makes 2-pt shot from 1 ft,2,24-18,,
2:47.0,,,24-20,2,M. Gortat makes 2-pt shot at rim (assist by J. Wall)
2:26.0,R. Hibbert misses 2-pt shot from 2 ft,,24-20,,
2:25.0,Offensive rebound by R. Hibbert,,24-20,,
2:23.0,R. Hibbert misses 2-pt shot from 5 ft,,24-20,,
2:19.0,Offensive rebound by J. Randle,,24-20,,
2:19.0,J. Randle misses 2-pt shot from 1 ft (block by M. Gortat),,24-20,,
2:17.0,,,24-20,,Defensive rebound by J. Dudley
2:17.0,,,24-20,,J. Wall misses 2-pt shot from 15 ft (block by M. World Peace)
2:17.0,Defensive rebound by Team,,24-20,,
2:17.0,LA Lakers full timeout,,24-20,,
2:17.0,,,24-20,,G. Temple enters the game for O. Porter
2:17.0,,,24-20,,R. Sessions enters the game for J. Wall
2:17.0,L. Nance enters the game for J. Randle,,24-20,,
2:17.0,B. Bass enters the game for R. Hibbert,,24-20,,
2:17.0,Violation by Team (delay of game),,24-20,,
2:02.0,L. Williams makes 3-pt shot from 24 ft (assist by B. Bass),3,27-20,,
1:47.0,,,27-20,,R. Sessions misses 2-pt shot from 3 ft
1:46.0,Defensive rebound by J. Clarkson,,27-20,,
1:32.0,B. Bass makes 2-pt shot from 12 ft (assist by L. Williams),2,29-20,,
1:22.0,,,29-20,,Offensive foul by M. Gortat
1:22.0,,,29-20,,Turnover by M. Gortat (offensive foul)
1:22.0,,,29-20,,R. Hollins enters the game for M. Gortat
1:11.0,J. Clarkson makes 2-pt shot from 8 ft (assist by M. World Peace),2,31-20,,
0:57.0,,,31-20,,G. Temple misses 3-pt shot from 23 ft
0:56.0,Defensive rebound by M. World Peace,,31-20,,
0:37.0,M. World Peace makes 3-pt shot from 24 ft,3,34-20,,
0:25.0,,,34-22,2,B. Beal makes 2-pt shot from 19 ft
0:05.0,M. World Peace misses 2-pt shot from 14 ft,,34-22,,
0:04.0,,,34-22,,Defensive rebound by Team
0:04.0,,,34-22,,J. Wall enters the game for G. Temple
0:02.0,Personal take foul by M. World Peace (drawn by R. Sessions),,34-22,,
0:00.0,,,34-22,,J. Wall misses 2-pt shot from 13 ft
0:00.0,,,34-22,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,,,34-22,,O. Porter misses 2-pt shot from 16 ft
11:42.0,Defensive rebound by Team,,34-22,,
11:42.0,,,34-22,,Loose ball foul by R. Hollins (drawn by L. Nance)
11:28.0,K. Bryant misses 3-pt shot from 23 ft,,34-22,,
11:27.0,Offensive rebound by B. Bass,,34-22,,
11:21.0,D. Russell enters the game for J. Clarkson,,34-22,,
11:06.0,K. Bryant misses 2-pt shot from 18 ft,,34-22,,
11:05.0,,,34-22,,Defensive rebound by O. Porter
10:58.0,,,34-22,,Shooting foul by D. Russell (drawn by G. Neal)
10:58.0,,,34-23,1,G. Neal makes free throw 1 of 2
10:58.0,,,34-24,1,G. Neal makes free throw 2 of 2
10:38.0,D. Russell misses 3-pt shot from 24 ft,,34-24,,
10:37.0,,,34-24,,Defensive rebound by R. Sessions
10:33.0,,,34-24,,Shooting foul by L. Nance (drawn by O. Porter)
10:33.0,,,34-24,,O. Porter misses free throw 1 of 2
10:33.0,,,34-24,,Offensive rebound by Team
10:33.0,,,34-25,1,O. Porter makes free throw 2 of 2
10:14.0,K. Bryant makes 2-pt shot from 16 ft,2,36-25,,
10:07.0,,,36-25,,R. Sessions misses 2-pt shot from 1 ft
10:05.0,,,36-25,,Offensive rebound by G. Temple
10:03.0,,,36-25,,Turnover by G. Neal (lost ball; steal by L. Williams)
10:03.0,Jump ball: G. Neal vs. L. Williams (B. Bass gains possession),,,,Jump ball: G. Neal vs. L. Williams (B. Bass gains possession)
9:47.0,B. Bass misses 2-pt shot from 2 ft,,36-25,,
9:46.0,Offensive rebound by B. Bass,,36-25,,
9:43.0,B. Bass makes 2-pt shot from 1 ft,2,38-25,,
9:37.0,,,38-25,,Turnover by R. Sessions (bad pass; steal by B. Bass)
9:31.0,B. Bass makes 2-pt shot at rim (assist by L. Nance),2,40-25,,
9:31.0,,,40-25,,Washington full timeout
9:31.0,,,40-25,,J. Wall enters the game for R. Sessions
9:31.0,,,40-25,,M. Gortat enters the game for R. Hollins
9:20.0,,,40-25,,M. Gortat misses 2-pt shot from 10 ft
9:19.0,Defensive rebound by L. Nance,,40-25,,
9:02.0,K. Bryant makes 3-pt shot from 25 ft (assist by L. Nance),3,43-25,,
8:50.0,,,43-27,2,J. Wall makes 2-pt shot from 1 ft
8:39.0,D. Russell misses 2-pt shot from 14 ft,,43-27,,
8:39.0,,,43-27,,Defensive rebound by Team
8:39.0,,,43-27,,B. Beal enters the game for G. Neal
8:28.0,,,43-29,2,M. Gortat makes 2-pt shot from 4 ft (assist by J. Wall)
8:17.0,K. Bryant misses 3-pt shot from 26 ft,,43-29,,
8:15.0,,,43-29,,Defensive rebound by J. Wall
8:15.0,Personal foul by K. Bryant (drawn by J. Wall),,43-29,,
8:01.0,,,43-29,,B. Beal misses 2-pt shot from 12 ft
7:59.0,Defensive rebound by D. Russell,,43-29,,
7:40.0,K. Bryant makes 2-pt shot from 17 ft,2,45-29,,
7:36.0,,,45-29,,Shooting foul by L. Williams (drawn by G. Temple)
7:36.0,,,45-29,,G. Temple misses free throw 1 of 2
7:36.0,,,45-29,,Offensive rebound by Team
7:36.0,M. World Peace enters the game for K. Bryant,,45-29,,
7:36.0,J. Randle enters the game for L. Nance,,45-29,,
7:36.0,,,45-30,1,G. Temple makes free throw 2 of 2
7:21.0,J. Randle misses 3-pt shot from 24 ft,,45-30,,
7:18.0,,,45-30,,Defensive rebound by O. Porter
7:14.0,,,45-32,2,M. Gortat makes 2-pt shot from 3 ft (assist by O. Porter)
6:52.0,M. World Peace misses 2-pt shot from 21 ft,,45-32,,
6:50.0,Offensive rebound by Team,,45-32,,
6:50.0,,,45-32,,J. Dudley enters the game for G. Temple
6:50.0,R. Hibbert enters the game for B. Bass,,45-32,,
6:42.0,M. World Peace misses 2-pt shot from 11 ft,,45-32,,
6:41.0,,,45-32,,Defensive rebound by J. Wall
6:34.0,,,45-32,,Shooting foul by R. Hibbert (drawn by O. Porter)
6:34.0,,,45-33,1,O. Porter makes free throw 1 of 2
6:34.0,,,45-34,1,O. Porter makes free throw 2 of 2
6:22.0,Turnover by D. Russell (step out of bounds),,45-34,,
6:08.0,,,45-34,,Turnover by B. Beal (lost ball; steal by L. Williams)
6:03.0,L. Williams misses 2-pt shot from 2 ft (block by B. Beal),,45-34,,
6:03.0,Offensive rebound by J. Randle,,45-34,,
6:03.0,Shooting foul by J. Wall (drawn by L. Williams),,45-34,,
6:03.0,L. Williams makes free throw 1 of 2,1,46-34,,
6:03.0,L. Williams makes free throw 2 of 2,1,47-34,,
5:49.0,,,47-34,,Turnover by O. Porter (lost ball; steal by D. Russell)
5:43.0,J. Randle makes 2-pt shot at rim (assist by D. Russell),2,49-34,,
5:22.0,,,49-34,,Turnover by O. Porter (bad pass)
5:22.0,Official timeout,,49-34,,
5:22.0,,,49-34,,K. Oubre enters the game for O. Porter
5:22.0,J. Clarkson enters the game for L. Williams,,49-34,,
5:00.0,M. World Peace makes 2-pt shot from 18 ft (assist by R. Hibbert),2,51-34,,
4:45.0,,,51-34,,M. Gortat misses 2-pt shot from 10 ft
4:44.0,Defensive rebound by D. Russell,,51-34,,
4:37.0,D. Russell misses 2-pt shot from 10 ft,,51-34,,
4:36.0,Offensive rebound by J. Randle,,51-34,,
4:32.0,J. Randle makes 2-pt shot at rim,2,53-34,,
4:30.0,,,53-36,2,K. Oubre makes 2-pt shot from 2 ft (assist by B. Beal)
4:13.0,R. Hibbert misses 2-pt shot from 8 ft,,53-36,,
4:12.0,,,53-36,,Defensive rebound by M. Gortat
4:08.0,,,53-36,,Shooting foul by D. Russell (drawn by J. Wall)
4:08.0,,,53-37,1,J. Wall makes free throw 1 of 2
4:08.0,,,53-37,,K. Humphries enters the game for J. Dudley
4:08.0,,,53-37,,J. Wall misses free throw 2 of 2
4:08.0,Defensive rebound by J. Randle,,53-37,,
3:48.0,M. World Peace misses 3-pt shot from 23 ft,,53-37,,
3:47.0,,,53-37,,Defensive rebound by B. Beal
3:41.0,,,53-39,2,B. Beal makes 2-pt shot from 9 ft
3:34.0,LA Lakers full timeout,,53-39,,
3:34.0,K. Bryant enters the game for M. World Peace,,53-39,,
3:28.0,D. Russell misses 2-pt shot from 12 ft,,53-39,,
3:27.0,,,53-39,,Defensive rebound by K. Humphries
3:09.0,,,53-39,,Shooting foul by R. Hibbert (drawn by K. Humphries)
3:09.0,,,53-40,1,K. Humphries makes free throw 1 of 2
3:09.0,,,53-41,1,K. Humphries makes free throw 2 of 2
2:52.0,Shooting foul by K. Oubre (drawn by K. Bryant),,53-41,,
2:52.0,K. Bryant makes free throw 1 of 2,1,54-41,,
2:52.0,K. Bryant makes free throw 2 of 2,1,55-41,,
2:49.0,Personal foul by D. Russell (drawn by J. Wall),,55-41,,
2:49.0,,,55-41,,J. Wall misses free throw 1 of 2
2:49.0,,,55-41,,Offensive rebound by Team
2:49.0,L. Williams enters the game for D. Russell,,55-41,,
2:49.0,,,55-42,1,J. Wall makes free throw 2 of 2
2:34.0,K. Bryant misses 2-pt shot from 16 ft,,55-42,,
2:33.0,,,55-42,,Defensive rebound by J. Wall
2:22.0,,,55-42,,K. Oubre misses 2-pt shot from 18 ft
2:21.0,Defensive rebound by J. Randle,,55-42,,
2:21.0,,,55-42,,Loose ball foul by K. Humphries (drawn by J. Randle)
2:06.0,J. Randle misses 2-pt shot from 15 ft,,55-42,,
2:05.0,,,55-42,,Defensive rebound by M. Gortat
1:56.0,,,55-45,3,K. Humphries makes 3-pt shot from 23 ft (assist by J. Wall)
1:39.0,Offensive charge foul by J. Clarkson,,55-45,,
1:39.0,Turnover by J. Clarkson (offensive foul),,55-45,,
1:26.0,,,55-47,2,M. Gortat makes 2-pt shot from 4 ft (assist by J. Wall)
1:12.0,K. Bryant misses 3-pt shot from 25 ft,,55-47,,
1:11.0,Offensive rebound by R. Hibbert,,55-47,,
0:50.0,J. Clarkson misses 2-pt shot from 11 ft,,55-47,,
0:49.0,,,55-47,,Defensive rebound by M. Gortat
0:38.0,,,55-49,2,J. Wall makes 2-pt shot from 15 ft
0:30.0,Shooting foul by K. Humphries (drawn by K. Bryant),,55-49,,
0:30.0,K. Bryant makes free throw 1 of 2,1,56-49,,
0:30.0,K. Bryant makes free throw 2 of 2,1,57-49,,
0:21.0,,,57-49,,K. Humphries misses 3-pt shot from 24 ft
0:20.0,,,57-49,,Offensive rebound by M. Gortat
0:02.0,,,57-49,,K. Oubre misses 2-pt shot at rim
0:01.0,,,57-49,,Offensive rebound by K. Humphries
0:01.0,,,57-51,2,K. Humphries makes 2-pt shot from 1 ft
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,,,57-51,,M. Gortat misses 2-pt shot from 2 ft (block by R. Hibbert)
11:44.0,Defensive rebound by J. Randle,,57-51,,
11:39.0,Turnover by D. Russell (bad pass; steal by M. Gortat),,57-51,,
11:33.0,,,57-54,3,B. Beal makes 3-pt shot from 24 ft (assist by J. Wall)
11:07.0,D. Russell makes 2-pt shot from 1 ft,2,59-54,,
10:57.0,,,59-57,3,J. Dudley makes 3-pt shot from 25 ft (assist by B. Beal)
10:37.0,Turnover by J. Randle (bad pass; steal by J. Dudley),,59-57,,
10:32.0,,,59-57,,Turnover by J. Dudley (lost ball; steal by J. Clarkson)
10:12.0,K. Bryant misses 2-pt shot from 18 ft,,59-57,,
10:11.0,,,59-57,,Defensive rebound by O. Porter
10:05.0,,,59-59,2,O. Porter makes 2-pt shot at rim (assist by B. Beal)
9:38.0,Turnover by Team (shot clock),,59-59,,
9:28.0,,,59-59,,B. Beal misses 2-pt shot from 21 ft
9:27.0,Defensive rebound by J. Randle,,59-59,,
9:20.0,,,59-59,,Personal foul by B. Beal (drawn by D. Russell)
9:12.0,J. Clarkson makes 2-pt shot from 14 ft,2,61-59,,
9:00.0,,,61-62,3,J. Wall makes 3-pt shot from 25 ft (assist by B. Beal)
8:47.0,J. Randle misses 2-pt shot from 14 ft,,61-62,,
8:46.0,,,61-62,,Defensive rebound by J. Wall
8:40.0,,,61-62,,B. Beal misses 3-pt shot from 24 ft
8:39.0,Defensive rebound by J. Randle,,61-62,,
8:24.0,D. Russell makes 2-pt shot from 7 ft,2,63-62,,
8:10.0,,,63-62,,B. Beal misses 3-pt shot from 24 ft
8:08.0,Defensive rebound by J. Clarkson,,63-62,,
7:58.0,D. Russell misses 3-pt shot from 23 ft,,63-62,,
7:57.0,,,63-62,,Defensive rebound by J. Wall
7:45.0,,,63-62,,O. Porter misses 3-pt shot from 24 ft
7:44.0,Defensive rebound by K. Bryant,,63-62,,
7:36.0,D. Russell makes 2-pt shot from 3 ft (assist by K. Bryant),2,65-62,,
7:13.0,,,65-65,3,J. Dudley makes 3-pt shot from 23 ft (assist by B. Beal)
6:53.0,J. Clarkson misses 2-pt shot from 3 ft,,65-65,,
6:52.0,Offensive rebound by J. Randle,,65-65,,
6:52.0,J. Randle misses 2-pt shot from 1 ft,,65-65,,
6:52.0,,,65-65,,Defensive rebound by M. Gortat
6:45.0,,,65-65,,Washington full timeout
6:45.0,L. Williams enters the game for D. Russell,,65-65,,
6:31.0,,,65-65,,J. Wall misses 2-pt shot from 17 ft
6:31.0,Defensive rebound by Team,,65-65,,
6:31.0,,,65-65,,Loose ball foul by M. Gortat (drawn by J. Randle)
6:18.0,J. Randle makes 2-pt shot from 4 ft (assist by K. Bryant),2,67-65,,
6:00.0,,,67-65,,Turnover by J. Dudley (lost ball; steal by J. Clarkson)
5:56.0,J. Clarkson makes 2-pt shot at rim,2,69-65,,
5:39.0,,,69-65,,Turnover by M. Gortat (lost ball; steal by L. Williams)
5:33.0,J. Randle makes 2-pt shot at rim (assist by L. Williams),2,71-65,,
5:22.0,,,71-65,,M. Gortat misses 2-pt shot from 3 ft (block by R. Hibbert)
5:21.0,Jump ball: M. Gortat vs. R. Hibbert (J. Wall gains possession),,,,Jump ball: M. Gortat vs. R. Hibbert (J. Wall gains possession)
5:21.0,,,71-65,,Offensive rebound by Team
5:13.0,,,71-65,,J. Dudley misses 3-pt shot from 25 ft
5:12.0,,,71-65,,Offensive rebound by J. Wall
5:08.0,,,71-68,3,J. Wall makes 3-pt shot from 25 ft
4:50.0,,,71-68,,Def 3 sec tech foul by M. Gortat
4:50.0,K. Bryant makes technical free throw,1,72-68,,
4:41.0,K. Bryant misses 3-pt shot from 24 ft,,72-68,,
4:40.0,,,72-68,,Defensive rebound by M. Gortat
4:38.0,Personal foul by J. Randle (drawn by M. Gortat),,72-68,,
4:24.0,,,72-70,2,J. Wall makes 2-pt shot from 8 ft
4:05.0,Turnover by J. Randle (lost ball; steal by M. Gortat),,72-70,,
4:01.0,,,72-70,,Shooting foul by L. Williams (drawn by J. Wall)
4:01.0,,,72-70,,J. Wall misses free throw 1 of 2
4:01.0,,,72-70,,Offensive rebound by Team
4:01.0,M. World Peace enters the game for K. Bryant,,72-70,,
4:01.0,,,72-70,,G. Temple enters the game for O. Porter
4:01.0,L. Nance enters the game for J. Randle,,72-70,,
4:01.0,,,72-71,1,J. Wall makes free throw 2 of 2
3:48.0,Turnover by L. Williams (lost ball; steal by J. Wall),,72-71,,
3:44.0,,,72-71,,J. Wall misses 2-pt shot from 2 ft
3:41.0,Defensive rebound by R. Hibbert,,72-71,,
3:29.0,R. Hibbert makes 2-pt shot from 1 ft (assist by J. Clarkson),2,74-71,,
3:14.0,,,74-71,,B. Beal misses 2-pt shot from 18 ft
3:12.0,Defensive rebound by L. Williams,,74-71,,
3:09.0,Offensive foul by L. Nance,,74-71,,
3:09.0,Turnover by L. Nance (offensive foul),,74-71,,
3:09.0,B. Bass enters the game for R. Hibbert,,74-71,,
3:09.0,,,74-71,,G. Neal enters the game for B. Beal
2:58.0,Personal foul by J. Clarkson (drawn by J. Wall),,74-71,,
2:58.0,LA Lakers full timeout,,74-71,,
2:46.0,,,74-71,,M. Gortat misses 2-pt shot from 8 ft
2:44.0,Defensive rebound by B. Bass,,74-71,,
2:25.0,B. Bass makes 2-pt shot from 1 ft (assist by L. Williams),2,76-71,,
2:04.0,,,76-71,,G. Neal misses 2-pt shot from 18 ft
2:02.0,Defensive rebound by M. World Peace,,76-71,,
1:49.0,J. Clarkson misses 2-pt shot from 9 ft,,76-71,,
1:48.0,,,76-71,,Defensive rebound by M. Gortat
1:32.0,,,76-73,2,M. Gortat makes 2-pt shot from 1 ft (assist by J. Wall)
1:19.0,L. Williams misses 3-pt shot from 24 ft,,76-73,,
1:18.0,,,76-73,,Defensive rebound by G. Temple
1:06.0,,,76-73,,J. Wall misses 2-pt shot from 17 ft
1:05.0,Defensive rebound by J. Clarkson,,76-73,,
1:00.0,Turnover by J. Clarkson (lost ball; steal by G. Temple),,76-73,,
0:55.0,,,76-73,,Shooting foul by M. World Peace (drawn by G. Temple)
0:55.0,,,76-73,,G. Temple misses free throw 1 of 2
0:55.0,,,76-73,,Offensive rebound by Team
0:55.0,,,76-73,,K. Humphries enters the game for J. Dudley
0:55.0,,,76-73,,R. Hollins enters the game for M. Gortat
0:55.0,,,76-73,,R. Sessions enters the game for J. Wall
0:55.0,,,76-73,,G. Temple misses free throw 2 of 2
0:53.0,,,76-73,,Offensive rebound by R. Hollins
0:46.0,,,76-73,,Turnover by G. Temple (lost ball; steal by J. Clarkson)
0:41.0,L. Williams makes 2-pt shot from 14 ft,2,78-73,,
0:29.0,,,78-73,,K. Humphries misses 2-pt shot from 21 ft
0:26.0,,,78-73,,Offensive rebound by G. Temple
0:09.0,,,78-73,,R. Sessions misses 2-pt shot from 11 ft
0:07.0,,,78-73,,Offensive rebound by K. Humphries
0:04.0,,,78-73,,K. Humphries misses 2-pt shot from 11 ft
0:04.0,,,78-73,,Offensive rebound by Team
0:04.0,Loose ball foul by J. Clarkson (drawn by G. Temple),,78-73,,
0:04.0,,,78-74,1,G. Temple makes free throw 1 of 2
0:04.0,,,78-75,1,G. Temple makes free throw 2 of 2
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,K. Bryant misses 3-pt shot from 24 ft,,78-75,,
11:40.0,,,78-75,,Defensive rebound by K. Humphries
11:28.0,,,78-77,2,G. Neal makes 2-pt shot from 17 ft
11:10.0,L. Williams misses 2-pt shot from 9 ft,,78-77,,
11:09.0,Offensive rebound by B. Bass,,78-77,,
11:05.0,B. Bass misses 2-pt shot from 2 ft,,78-77,,
11:03.0,,,78-77,,Defensive rebound by G. Temple
10:59.0,,,78-79,2,R. Sessions makes 2-pt shot from 2 ft (assist by G. Temple)
10:55.0,Turnover by D. Russell (bad pass; steal by G. Temple),,78-79,,
10:52.0,,,78-79,,Shooting foul by L. Nance (drawn by G. Temple)
10:52.0,,,78-79,,G. Temple misses free throw 1 of 2
10:52.0,,,78-79,,Offensive rebound by Team
10:52.0,,,78-80,1,G. Temple makes free throw 2 of 2
10:33.0,K. Bryant misses 2-pt shot from 12 ft,,78-80,,
10:32.0,Offensive rebound by B. Bass,,78-80,,
10:30.0,B. Bass makes 2-pt shot from 3 ft,2,80-80,,
10:19.0,,,80-80,,Turnover by G. Temple (bad pass; steal by L. Williams)
9:57.0,D. Russell misses 3-pt shot from 25 ft,,80-80,,
9:56.0,,,80-80,,Defensive rebound by G. Neal
9:46.0,,,80-80,,G. Neal misses 2-pt shot from 17 ft
9:45.0,Defensive rebound by L. Nance,,80-80,,
9:40.0,Turnover by B. Bass (bad pass; steal by R. Sessions),,80-80,,
9:34.0,,,80-82,2,K. Humphries makes 2-pt shot at rim (assist by R. Sessions)
9:10.0,K. Bryant makes 2-pt shot from 5 ft,2,82-82,,
8:48.0,,,82-84,2,G. Neal makes 2-pt shot from 15 ft (assist by G. Temple)
8:25.0,D. Russell misses 2-pt shot from 21 ft,,82-84,,
8:24.0,,,82-84,,Defensive rebound by G. Neal
8:14.0,,,82-86,2,R. Sessions makes 2-pt shot from 1 ft (assist by K. Humphries)
8:13.0,LA Lakers full timeout,,82-86,,
8:13.0,,,82-86,,B. Beal enters the game for G. Temple
8:00.0,L. Williams makes 3-pt shot from 25 ft,3,85-86,,
7:59.0,Violation by Team (delay of game),,85-86,,
7:59.0,Technical foul by Team,,85-86,,
7:59.0,,,85-87,1,G. Neal makes technical free throw
7:47.0,,,85-87,,Turnover by B. Beal (bad pass; steal by D. Russell)
7:41.0,L. Williams misses 3-pt shot from 25 ft,,85-87,,
7:40.0,Offensive rebound by L. Nance,,85-87,,
7:36.0,K. Bryant misses 3-pt shot from 24 ft,,85-87,,
7:35.0,,,85-87,,Defensive rebound by Team
7:22.0,,,85-87,,Turnover by R. Hollins (3 sec)
7:06.0,Turnover by L. Williams (bad pass; steal by R. Sessions),,85-87,,
6:52.0,,,85-87,,K. Humphries misses 2-pt shot from 18 ft
6:51.0,Defensive rebound by D. Russell,,85-87,,
6:40.0,D. Russell makes 2-pt shot from 2 ft,2,87-87,,
6:25.0,,,87-87,,B. Beal misses 2-pt shot from 19 ft
6:24.0,Defensive rebound by D. Russell,,87-87,,
6:16.0,Turnover by D. Russell (bad pass; steal by B. Beal),,87-87,,
6:13.0,,,87-87,,Turnover by B. Beal (bad pass; steal by L. Williams)
6:07.0,B. Bass misses 2-pt shot from 10 ft,,87-87,,
6:07.0,,,87-87,,Defensive rebound by G. Neal
6:03.0,,,87-87,,Turnover by G. Neal (bad pass; steal by L. Williams)
5:56.0,K. Bryant makes 3-pt shot from 25 ft (assist by D. Russell),3,90-87,,
5:56.0,,,90-87,,Washington full timeout
5:56.0,,,90-87,,O. Porter enters the game for K. Humphries
5:56.0,,,90-87,,M. Gortat enters the game for R. Hollins
5:56.0,,,90-87,,J. Dudley enters the game for R. Sessions
5:56.0,R. Hibbert enters the game for B. Bass,,90-87,,
5:56.0,,,90-87,,J. Wall enters the game for G. Neal
5:56.0,J. Clarkson enters the game for L. Nance,,90-87,,
5:56.0,J. Randle enters the game for D. Russell,,90-87,,
5:44.0,,,90-87,,O. Porter misses 3-pt shot from 24 ft
5:40.0,Defensive rebound by J. Randle,,90-87,,
5:28.0,L. Williams misses 2-pt shot from 18 ft,,90-87,,
5:27.0,,,90-87,,Defensive rebound by Team
5:07.0,,,90-87,,Turnover by M. Gortat (bad pass; steal by J. Randle)
4:50.0,K. Bryant misses 2-pt shot from 18 ft,,90-87,,
