time,Charlotte,pts.away,score,pts.home,Indiana
4:01.0,,,24-20,,M. Turner misses 2-pt shot from 19 ft
4:00.0,Defensive rebound by Team,,24-20,,
3:49.0,Turnover by K. Walker (bad pass; steal by P. George),,24-20,,
3:38.0,,,24-20,,G. Hill misses 2-pt shot from 14 ft
3:38.0,,,24-20,,Offensive rebound by Team
3:38.0,,,24-20,,L. Allen enters the game for M. Turner
3:27.0,,,24-20,,G. Hill misses 2-pt shot from 21 ft
3:26.0,Defensive rebound by N. Batum,,24-20,,
3:04.0,A. Jefferson makes 2-pt shot from 17 ft (assist by N. Batum),2,26-20,,
2:48.0,,,26-22,2,P. George makes 2-pt shot from 19 ft
2:31.0,K. Walker misses 3-pt shot from 25 ft,,26-22,,
2:30.0,Offensive rebound by M. Williams,,26-22,,
2:25.0,K. Walker misses 3-pt shot from 26 ft,,26-22,,
2:25.0,,,26-22,,Defensive rebound by R. Stuckey
2:19.0,,,26-22,,G. Hill misses 3-pt shot from 25 ft
2:18.0,Defensive rebound by M. Williams,,26-22,,
2:11.0,N. Batum misses 2-pt shot from 5 ft,,26-22,,
2:10.0,,,26-22,,Defensive rebound by R. Stuckey
2:03.0,,,26-24,2,R. Stuckey makes 2-pt shot from 17 ft
1:54.0,Turnover by M. Williams (bad pass),,26-24,,
1:54.0,Charlotte full timeout,,26-24,,
1:54.0,F. Kaminsky enters the game for M. Williams,,26-24,,
1:54.0,,,26-24,,J. Hill enters the game for I. Mahinmi
1:41.0,,,26-24,,R. Stuckey misses 2-pt shot from 15 ft
1:40.0,Defensive rebound by K. Walker,,26-24,,
1:30.0,A. Jefferson makes 2-pt shot from 12 ft (assist by K. Walker),2,28-24,,
1:15.0,,,28-26,2,P. George makes 2-pt shot from 20 ft (assist by G. Hill)
0:58.0,A. Jefferson misses 2-pt shot from 7 ft,,28-26,,
0:57.0,,,28-26,,Defensive rebound by L. Allen
0:42.0,,,28-26,,P. George misses 2-pt shot from 16 ft
0:41.0,Defensive rebound by F. Kaminsky,,28-26,,
0:36.0,Shooting foul by G. Hill (drawn by K. Walker),,28-26,,
0:36.0,K. Walker makes free throw 1 of 2,1,29-26,,
0:36.0,K. Walker misses free throw 2 of 2,,29-26,,
0:36.0,,,29-26,,Defensive rebound by P. George
0:25.0,,,29-26,,P. George misses 2-pt shot from 23 ft
0:24.0,Defensive rebound by K. Walker,,29-26,,
0:02.0,J. Lin misses 2-pt shot from 14 ft (block by P. George),,29-26,,
0:01.0,,,29-26,,Defensive rebound by G. Hill
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,A. Jefferson misses 2-pt shot from 7 ft,,29-26,,
11:48.0,Offensive rebound by F. Kaminsky,,29-26,,
11:32.0,F. Kaminsky misses 3-pt shot from 26 ft,,29-26,,
11:32.0,,,29-26,,Defensive rebound by J. Hill
11:11.0,,,29-26,,M. Ellis misses 3-pt shot from 26 ft
11:11.0,Defensive rebound by J. Lin,,29-26,,
10:55.0,F. Kaminsky misses 2-pt shot from 12 ft,,29-26,,
10:54.0,,,29-26,,Defensive rebound by J. Hill
10:45.0,Def 3 sec tech foul by A. Jefferson,,29-26,,
10:45.0,,,29-27,1,R. Stuckey makes technical free throw
10:35.0,,,29-27,,L. Allen misses 2-pt shot from 5 ft
10:35.0,Defensive rebound by J. Lin,,29-27,,
10:28.0,J. Lin misses 2-pt shot from 4 ft (block by L. Allen),,29-27,,
10:27.0,,,29-27,,Defensive rebound by M. Ellis
10:23.0,,,29-27,,R. Stuckey misses 2-pt shot from 1 ft (block by F. Kaminsky)
10:22.0,Defensive rebound by J. Lamb,,29-27,,
10:13.0,J. Lin makes 3-pt shot from 23 ft (assist by K. Walker),3,32-27,,
10:00.0,,,32-27,,Turnover by M. Ellis (bad pass; steal by K. Walker)
9:55.0,J. Lin makes 2-pt shot from 2 ft (assist by K. Walker),2,34-27,,
9:36.0,C. Lee enters the game for K. Walker,,34-27,,
9:36.0,,,34-27,,C. Budinger enters the game for R. Stuckey
9:29.0,,,34-27,,M. Ellis misses 2-pt shot from 9 ft (block by A. Jefferson)
9:28.0,,,34-27,,Offensive rebound by L. Allen
9:26.0,,,34-29,2,L. Allen makes 2-pt shot from 1 ft
9:12.0,A. Jefferson makes 2-pt shot from 4 ft,2,36-29,,
8:54.0,,,36-31,2,C. Budinger makes 2-pt shot from 3 ft (assist by J. Hill)
8:42.0,J. Lin misses 2-pt shot from 19 ft,,36-31,,
8:42.0,,,36-31,,Defensive rebound by L. Allen
8:35.0,Personal foul by J. Lin (drawn by M. Ellis),,36-31,,
8:35.0,Official timeout,,36-31,,
8:18.0,,,36-31,,J. Hill misses 2-pt shot from 6 ft
8:17.0,Defensive rebound by C. Lee,,36-31,,
8:03.0,C. Lee misses 2-pt shot from 10 ft (block by L. Allen),,36-31,,
8:02.0,,,36-31,,Defensive rebound by L. Allen
7:55.0,,,36-31,,M. Ellis misses 2-pt shot from 16 ft
7:55.0,,,36-31,,Offensive rebound by J. Hill
7:55.0,Loose ball foul by J. Lamb (drawn by J. Hill),,36-31,,
7:44.0,,,36-31,,Turnover by J. Hill (bad pass; steal by F. Kaminsky)
7:35.0,A. Jefferson makes 2-pt shot from 17 ft (assist by C. Lee),2,38-31,,
7:19.0,,,38-31,,M. Ellis misses 3-pt shot from 26 ft
7:18.0,Defensive rebound by J. Lamb,,38-31,,
7:11.0,Turnover by J. Lamb (traveling),,38-31,,
7:00.0,,,38-31,,C. Budinger misses 2-pt shot from 19 ft
6:59.0,Defensive rebound by F. Kaminsky,,38-31,,
6:58.0,,,38-31,,Personal foul by J. Hill (drawn by F. Kaminsky)
6:45.0,A. Jefferson misses 2-pt shot from 7 ft,,38-31,,
6:45.0,,,38-31,,Defensive rebound by L. Allen
6:34.0,,,38-31,,Shooting foul by C. Lee (drawn by C. Budinger)
6:34.0,,,38-32,1,C. Budinger makes free throw 1 of 2
6:34.0,C. Zeller enters the game for A. Jefferson,,38-32,,
6:34.0,,,38-33,1,C. Budinger makes free throw 2 of 2
6:25.0,J. Lamb makes 3-pt shot from 24 ft (assist by J. Lin),3,41-33,,
6:04.0,,,41-35,2,J. Hill makes 2-pt shot from 18 ft
5:47.0,,,41-35,,Indiana full timeout
5:47.0,,,41-35,,M. Turner enters the game for L. Allen
5:47.0,M. Williams enters the game for F. Kaminsky,,41-35,,
5:41.0,J. Lamb misses 2-pt shot from 18 ft,,41-35,,
5:41.0,,,41-35,,Defensive rebound by M. Turner
5:26.0,,,41-35,,Turnover by M. Ellis (bad pass; steal by C. Lee)
5:21.0,J. Lamb makes 2-pt shot from 3 ft (assist by J. Lin),2,43-35,,
5:07.0,,,43-37,2,M. Ellis makes 2-pt shot from 20 ft
4:50.0,C. Lee misses 2-pt shot from 20 ft,,43-37,,
4:48.0,Offensive rebound by Team,,43-37,,
4:48.0,,,43-37,,P. George enters the game for S. Hill
4:48.0,,,43-37,,G. Hill enters the game for C. Budinger
4:48.0,N. Batum enters the game for J. Lin,,43-37,,
4:48.0,K. Walker enters the game for J. Lamb,,43-37,,
4:48.0,,,43-37,,Inbound foul by M. Turner
4:48.0,M. Williams makes free throw 1 of 2,1,44-37,,
4:48.0,M. Williams misses free throw 2 of 2,,44-37,,
4:47.0,,,44-37,,Defensive rebound by P. George
4:39.0,,,44-37,,Offensive foul by M. Turner
4:39.0,,,44-37,,Turnover by M. Turner (offensive foul)
4:25.0,Shooting foul by J. Hill (drawn by C. Zeller),,44-37,,
4:25.0,C. Zeller misses free throw 1 of 2,,44-37,,
4:25.0,Offensive rebound by Team,,44-37,,
4:25.0,,,44-37,,I. Mahinmi enters the game for J. Hill
4:25.0,C. Zeller misses free throw 2 of 2,,44-37,,
4:25.0,,,44-37,,Defensive rebound by I. Mahinmi
4:17.0,Personal foul by N. Batum (drawn by P. George),,44-37,,
4:15.0,Personal foul by N. Batum (drawn by P. George),,44-37,,
4:15.0,,,44-38,1,P. George makes free throw 1 of 2
4:15.0,,,44-39,1,P. George makes free throw 2 of 2
4:07.0,K. Walker misses 2-pt shot from 19 ft,,44-39,,
4:06.0,,,44-39,,Defensive rebound by M. Turner
3:51.0,,,44-41,2,P. George makes 2-pt shot from 20 ft
3:25.0,M. Williams makes 3-pt shot from 25 ft (assist by K. Walker),3,47-41,,
3:06.0,,,47-43,2,P. George makes 2-pt shot from 15 ft
2:51.0,Turnover by N. Batum (lost ball; steal by P. George),,47-43,,
2:46.0,,,47-43,,Turnover by P. George (bad pass; steal by C. Lee)
2:32.0,N. Batum makes 2-pt shot from 16 ft,2,49-43,,
2:14.0,,,49-43,,Turnover by P. George (lost ball; steal by M. Williams)
2:14.0,Turnover by N. Batum (step out of bounds),,49-43,,
2:14.0,Charlotte full timeout,,49-43,,
2:14.0,J. Lin enters the game for N. Batum,,49-43,,
2:06.0,Personal foul by J. Lin (drawn by M. Ellis),,49-43,,
2:06.0,,,49-44,1,M. Ellis makes free throw 1 of 2
2:06.0,,,49-45,1,M. Ellis makes free throw 2 of 2
1:43.0,Turnover by C. Zeller (bad pass; steal by G. Hill),,49-45,,
1:28.0,,,49-45,,Turnover by G. Hill (bad pass)
1:28.0,,,49-45,,L. Allen enters the game for M. Turner
1:22.0,,,49-45,,Personal foul by L. Allen (drawn by M. Williams)
1:17.0,,,49-45,,Personal foul by L. Allen (drawn by M. Williams)
1:17.0,M. Williams makes free throw 1 of 2,1,50-45,,
1:17.0,M. Williams makes free throw 2 of 2,1,51-45,,
1:05.0,,,51-45,,M. Ellis misses 2-pt shot from 18 ft
1:05.0,Defensive rebound by Team,,51-45,,
0:55.0,K. Walker misses 2-pt shot from 3 ft,,51-45,,
0:54.0,,,51-45,,Defensive rebound by I. Mahinmi
0:43.0,,,51-45,,P. George misses 2-pt shot from 3 ft
0:42.0,,,51-45,,Offensive rebound by P. George
0:41.0,,,51-47,2,P. George makes 2-pt shot from 4 ft
0:26.0,K. Walker misses 3-pt shot from 25 ft,,51-47,,
0:25.0,Offensive rebound by Team,,51-47,,
0:25.0,,,51-47,,S. Hill enters the game for L. Allen
0:02.0,Shooting foul by M. Ellis (drawn by C. Zeller),,51-47,,
0:02.0,C. Zeller makes free throw 1 of 2,1,52-47,,
0:02.0,,,52-47,,J. Hill enters the game for I. Mahinmi
0:02.0,C. Zeller makes free throw 2 of 2,1,53-47,,
0:00.0,,,53-50,3,P. George makes 3-pt shot from 38 ft
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,M. Williams misses 3-pt shot from 26 ft,,53-50,,
11:43.0,,,53-50,,Defensive rebound by M. Ellis
11:24.0,,,53-50,,M. Ellis misses 2-pt shot from 5 ft
11:24.0,Defensive rebound by M. Williams,,53-50,,
11:13.0,Offensive charge foul by C. Zeller,,53-50,,
11:13.0,Turnover by C. Zeller (offensive foul),,53-50,,
10:59.0,,,53-52,2,P. George makes 2-pt shot from 17 ft (assist by I. Mahinmi)
10:43.0,C. Lee makes 2-pt shot from 10 ft (assist by M. Williams),2,55-52,,
10:25.0,,,55-52,,I. Mahinmi misses 2-pt shot from 1 ft
10:24.0,Defensive rebound by M. Williams,,55-52,,
10:11.0,M. Williams makes 3-pt shot from 24 ft (assist by K. Walker),3,58-52,,
10:02.0,,,58-52,,P. George misses 2-pt shot from 20 ft
10:02.0,Defensive rebound by C. Lee,,58-52,,
9:48.0,K. Walker misses 2-pt shot from 4 ft,,58-52,,
9:47.0,,,58-52,,Defensive rebound by M. Ellis
9:39.0,,,58-52,,G. Hill misses 3-pt shot from 25 ft
9:38.0,,,58-52,,Offensive rebound by P. George
9:38.0,,,58-52,,Shooting foul by K. Walker (drawn by P. George)
9:38.0,,,58-53,1,P. George makes free throw 1 of 2
9:38.0,,,58-54,1,P. George makes free throw 2 of 2
9:13.0,C. Lee misses 3-pt shot from 27 ft,,58-54,,
9:12.0,,,58-54,,Defensive rebound by I. Mahinmi
9:02.0,,,58-54,,Turnover by M. Turner (3 sec)
8:54.0,,,58-54,,Personal foul by P. George (drawn by C. Zeller)
8:46.0,N. Batum misses 3-pt shot from 26 ft,,58-54,,
8:45.0,,,58-54,,Defensive rebound by M. Ellis
8:36.0,,,58-54,,G. Hill misses 2-pt shot from 4 ft (block by M. Williams)
8:35.0,Defensive rebound by M. Williams,,58-54,,
8:24.0,M. Williams makes 2-pt shot from 3 ft (assist by N. Batum),2,60-54,,
8:12.0,,,60-54,,M. Ellis misses 2-pt shot from 19 ft
8:11.0,,,60-54,,Offensive rebound by I. Mahinmi
8:06.0,Personal foul by K. Walker (drawn by M. Turner),,60-54,,
7:57.0,,,60-54,,M. Turner misses 2-pt shot from 13 ft
7:57.0,Defensive rebound by C. Zeller,,60-54,,
7:46.0,M. Williams makes 3-pt shot from 25 ft (assist by K. Walker),3,63-54,,
7:31.0,Violation by M. Williams (kicked ball),,63-54,,
7:22.0,,,63-56,2,P. George makes 2-pt shot from 4 ft
7:07.0,C. Lee makes 2-pt shot from 16 ft,2,65-56,,
7:07.0,,,65-56,,Indiana full timeout
6:55.0,,,65-58,2,P. George makes 2-pt shot from 16 ft (assist by G. Hill)
6:33.0,M. Williams makes 3-pt shot from 25 ft (assist by N. Batum),3,68-58,,
6:23.0,,,68-60,2,M. Turner makes 2-pt shot from 2 ft (assist by M. Ellis)
6:23.0,,,68-60,,Shooting foul by M. Williams (drawn by M. Turner)
6:23.0,,,68-61,1,M. Turner makes free throw 1 of 1
6:18.0,,,68-61,,Personal foul by M. Turner (drawn by M. Williams)
6:02.0,K. Walker makes 3-pt shot from 26 ft,3,71-61,,
5:50.0,,,71-61,,M. Ellis misses 3-pt shot from 25 ft
5:49.0,Defensive rebound by K. Walker,,71-61,,
5:37.0,M. Williams misses 3-pt shot from 26 ft,,71-61,,
5:36.0,,,71-61,,Defensive rebound by I. Mahinmi
5:27.0,,,71-61,,P. George misses 3-pt shot from 25 ft
5:26.0,Defensive rebound by M. Williams,,71-61,,
5:12.0,K. Walker makes 2-pt shot from 1 ft,2,73-61,,
4:59.0,,,73-61,,Offensive foul by P. George
4:59.0,,,73-61,,Turnover by P. George (offensive foul)
4:59.0,A. Jefferson enters the game for C. Zeller,,73-61,,
4:59.0,,,73-61,,S. Hill enters the game for M. Turner
4:35.0,A. Jefferson misses 2-pt shot from 11 ft,,73-61,,
4:34.0,,,73-61,,Defensive rebound by P. George
4:27.0,,,73-63,2,I. Mahinmi makes 2-pt shot from 20 ft (assist by M. Ellis)
4:09.0,M. Williams makes 2-pt shot from 20 ft (assist by C. Lee),2,75-63,,
3:58.0,,,75-63,,I. Mahinmi misses 2-pt shot from 4 ft (block by A. Jefferson)
3:58.0,,,75-63,,Offensive rebound by Team
3:50.0,,,75-63,,P. George misses 3-pt shot from 24 ft (block by N. Batum)
3:50.0,Defensive rebound by Team,,75-63,,
3:50.0,,,75-63,,Loose ball foul by P. George (drawn by K. Walker)
3:50.0,,,75-63,,Indiana full timeout
3:30.0,N. Batum misses 3-pt shot from 24 ft,,75-63,,
3:30.0,,,75-63,,Defensive rebound by G. Hill
3:14.0,,,75-63,,G. Hill misses 3-pt shot from 26 ft
3:13.0,,,75-63,,Offensive rebound by S. Hill
3:09.0,,,75-63,,P. George misses 3-pt shot from 25 ft
3:09.0,Defensive rebound by Team,,75-63,,
3:09.0,J. Lin enters the game for C. Lee,,75-63,,
2:55.0,K. Walker misses 3-pt shot from 23 ft,,75-63,,
2:54.0,Offensive rebound by M. Williams,,75-63,,
2:53.0,M. Williams makes 2-pt shot from 2 ft,2,77-63,,
2:25.0,,,77-63,,Turnover by Team (shot clock)
2:25.0,Charlotte full timeout,,77-63,,
2:25.0,,,77-63,,R. Stuckey enters the game for P. George
2:25.0,,,77-63,,C. Budinger enters the game for M. Ellis
2:25.0,J. Lamb enters the game for N. Batum,,77-63,,
2:14.0,A. Jefferson misses 2-pt shot from 15 ft,,77-63,,
2:14.0,,,77-63,,Defensive rebound by R. Stuckey
1:54.0,Personal foul by J. Lamb (drawn by C. Budinger),,77-63,,
1:54.0,,,77-63,,J. Hill enters the game for I. Mahinmi
1:44.0,,,77-65,2,S. Hill makes 2-pt shot from 2 ft (assist by C. Budinger)
1:25.0,Turnover by A. Jefferson (traveling),,77-65,,
1:09.0,,,77-65,,G. Hill misses 2-pt shot from 12 ft
1:09.0,,,77-65,,Offensive rebound by Team
1:09.0,Loose ball foul by A. Jefferson (drawn by J. Hill),,77-65,,
1:09.0,,,77-66,1,J. Hill makes free throw 1 of 2
1:09.0,,,77-67,1,J. Hill makes free throw 2 of 2
0:55.0,A. Jefferson misses 2-pt shot from 6 ft,,77-67,,
0:54.0,,,77-67,,Defensive rebound by J. Hill
0:48.0,Shooting block foul by K. Walker (drawn by R. Stuckey),,77-67,,
0:48.0,,,77-67,,R. Stuckey misses free throw 1 of 2
0:48.0,,,77-67,,Offensive rebound by Team
0:48.0,C. Lee enters the game for K. Walker,,77-67,,
0:48.0,,,77-68,1,R. Stuckey makes free throw 2 of 2
0:30.0,J. Lamb misses 3-pt shot from 23 ft,,77-68,,
0:29.0,,,77-68,,Defensive rebound by J. Hill
0:08.0,,,77-70,2,J. Hill makes 2-pt shot from 1 ft (assist by G. Hill)
0:06.0,,,77-70,,Personal foul by G. Hill (drawn by J. Lin)
0:01.0,J. Lin misses 2-pt shot from 20 ft,,77-70,,
0:01.0,,,77-70,,Defensive rebound by C. Budinger
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,,,77-70,,R. Stuckey misses 2-pt shot from 17 ft
11:42.0,Defensive rebound by A. Jefferson,,77-70,,
11:27.0,J. Lamb misses 2-pt shot from 13 ft,,77-70,,
11:26.0,,,77-70,,Defensive rebound by C. Budinger
11:17.0,,,77-70,,Turnover by J. Hill (bad pass)
10:59.0,Shooting foul by J. Hill (drawn by A. Jefferson),,77-70,,
10:59.0,A. Jefferson makes free throw 1 of 2,1,78-70,,
10:59.0,A. Jefferson misses free throw 2 of 2,,78-70,,
10:58.0,,,78-70,,Defensive rebound by C. Budinger
10:45.0,,,78-70,,Turnover by M. Ellis (bad pass)
10:27.0,A. Jefferson misses 2-pt shot from 7 ft,,78-70,,
10:27.0,,,78-70,,Defensive rebound by S. Hill
10:13.0,,,78-70,,R. Stuckey misses 3-pt shot from 25 ft
10:13.0,Defensive rebound by J. Lin,,78-70,,
10:00.0,Turnover by J. Lin (lost ball; steal by R. Stuckey),,78-70,,
10:00.0,Jump ball: J. Lin vs. R. Stuckey (M. Ellis gains possession),,,,Jump ball: J. Lin vs. R. Stuckey (M. Ellis gains possession)
9:55.0,,,78-70,,Shooting foul by J. Lamb (drawn by R. Stuckey)
9:55.0,,,78-71,1,M. Ellis makes free throw 1 of 2
9:55.0,,,78-71,,M. Turner enters the game for S. Hill
9:55.0,,,78-72,1,M. Ellis makes free throw 2 of 2
9:50.0,,,78-72,,Personal foul by M. Turner (drawn by F. Kaminsky)
9:37.0,A. Jefferson misses 2-pt shot from 12 ft,,78-72,,
9:37.0,,,78-72,,Defensive rebound by R. Stuckey
9:28.0,,,78-72,,R. Stuckey misses 2-pt shot from 16 ft
9:27.0,Defensive rebound by A. Jefferson,,78-72,,
9:16.0,Turnover by F. Kaminsky (traveling),,78-72,,
9:01.0,,,78-72,,C. Budinger misses 2-pt shot from 19 ft
9:00.0,Defensive rebound by C. Lee,,78-72,,
8:49.0,J. Lamb misses 2-pt shot from 3 ft,,78-72,,
8:49.0,,,78-72,,Defensive rebound by R. Stuckey
8:41.0,,,78-72,,J. Hill misses 2-pt shot from 19 ft
8:40.0,,,78-72,,Offensive rebound by C. Budinger
8:39.0,Personal block foul by J. Lamb (drawn by C. Budinger),,78-72,,
8:39.0,Official timeout,,78-72,,
8:39.0,N. Batum enters the game for J. Lamb,,78-72,,
8:39.0,,,78-72,,P. George enters the game for R. Stuckey
8:27.0,,,78-72,,P. George misses 3-pt shot from 23 ft
8:26.0,Defensive rebound by C. Lee,,78-72,,
8:06.0,J. Lin misses 2-pt shot from 21 ft,,78-72,,
8:05.0,Offensive rebound by A. Jefferson,,78-72,,
7:54.0,J. Lin makes 2-pt shot from 22 ft (assist by A. Jefferson),2,80-72,,
7:39.0,Personal foul by F. Kaminsky (drawn by M. Turner),,80-72,,
7:39.0,,,80-72,,I. Mahinmi enters the game for J. Hill
7:39.0,,,80-72,,G. Hill enters the game for C. Budinger
7:32.0,,,80-74,2,G. Hill makes 2-pt shot from 12 ft (assist by I. Mahinmi)
7:22.0,,,80-74,,Personal foul by G. Hill (drawn by J. Lin)
7:14.0,Turnover by N. Batum (lost ball; steal by P. George),,80-74,,
7:08.0,,,80-74,,M. Turner misses 2-pt shot from 3 ft
7:08.0,,,80-74,,Offensive rebound by G. Hill
7:00.0,,,80-77,3,G. Hill makes 3-pt shot from 26 ft (assist by P. George)
7:00.0,Charlotte full timeout,,80-77,,
7:00.0,M. Williams enters the game for J. Lin,,80-77,,
7:00.0,K. Walker enters the game for F. Kaminsky,,80-77,,
6:49.0,N. Batum misses 3-pt shot from 26 ft,,80-77,,
6:48.0,,,80-77,,Defensive rebound by I. Mahinmi
6:31.0,,,80-79,2,M. Ellis makes 2-pt shot from 9 ft
6:10.0,K. Walker misses 2-pt shot from 19 ft,,80-79,,
6:10.0,,,80-79,,Defensive rebound by M. Ellis
6:03.0,,,80-79,,G. Hill misses 3-pt shot from 23 ft
6:02.0,Defensive rebound by Team,,80-79,,
6:02.0,C. Zeller enters the game for A. Jefferson,,80-79,,
5:43.0,C. Zeller makes 2-pt shot from 4 ft (assist by K. Walker),2,82-79,,
5:32.0,,,82-81,2,M. Turner makes 2-pt shot from 2 ft (assist by G. Hill)
5:20.0,Turnover by N. Batum (bad pass; steal by G. Hill),,82-81,,
5:17.0,,,82-81,,Shooting foul by K. Walker (drawn by G. Hill)
5:17.0,,,82-82,1,G. Hill makes free throw 1 of 2
5:17.0,,,82-83,1,G. Hill makes free throw 2 of 2
5:07.0,K. Walker makes 2-pt shot from 3 ft,2,84-83,,
4:51.0,,,84-85,2,P. George makes 2-pt shot from 13 ft
4:28.0,K. Walker misses 2-pt shot from 17 ft,,84-85,,
4:27.0,,,84-85,,Defensive rebound by M. Ellis
4:19.0,,,84-85,,M. Turner misses 2-pt shot from 10 ft
4:18.0,Defensive rebound by M. Williams,,84-85,,
4:08.0,C. Lee misses 2-pt shot from 10 ft,,84-85,,
4:07.0,,,84-85,,Defensive rebound by M. Turner
4:00.0,,,84-85,,P. George misses 3-pt shot from 25 ft
3:59.0,,,84-85,,Offensive rebound by G. Hill
3:53.0,,,84-85,,P. George misses 3-pt shot from 24 ft
3:51.0,Defensive rebound by M. Williams,,84-85,,
3:42.0,K. Walker misses 2-pt shot from 4 ft,,84-85,,
3:42.0,Offensive rebound by C. Zeller,,84-85,,
3:42.0,Shooting foul by P. George (drawn by C. Zeller),,84-85,,
3:42.0,C. Zeller misses free throw 1 of 2,,84-85,,
3:42.0,Offensive rebound by Team,,84-85,,
3:42.0,C. Zeller makes free throw 2 of 2,1,85-85,,
3:28.0,,,85-87,2,M. Turner makes 2-pt shot from 3 ft (assist by P. George)
3:02.0,K. Walker makes 3-pt shot from 26 ft,3,88-87,,
