time,Chicago,pts.away,score,pts.home,Charlotte
5:16.0,Offensive rebound by Team,,28-48,,
5:16.0,,,28-48,,Loose ball foul by M. Williams (drawn by T. Gibson)
5:16.0,E. Moore enters the game for T. Snell,,28-48,,
5:16.0,,,28-48,,K. Walker enters the game for J. Lin
5:16.0,,,28-48,,M. Kidd-Gilchrist enters the game for J. Lamb
5:03.0,T. Gibson makes 2-pt shot at rim (assist by K. Hinrich),2,30-48,,
4:42.0,,,30-48,,K. Walker misses 2-pt shot from 18 ft
4:41.0,Defensive rebound by E. Moore,,30-48,,
4:31.0,E. Moore makes 3-pt shot from 23 ft (assist by K. Hinrich),3,33-48,,
4:31.0,,,33-48,,Charlotte full timeout
4:13.0,,,33-50,2,N. Batum makes 2-pt shot from 15 ft
3:55.0,K. Hinrich makes 3-pt shot from 24 ft,3,36-50,,
3:29.0,,,36-50,,M. Kidd-Gilchrist misses 2-pt shot from 2 ft
3:29.0,,,36-50,,Offensive rebound by C. Zeller
3:29.0,,,36-50,,Shooting foul by E. Moore (drawn by C. Zeller)
3:29.0,,,36-50,,C. Zeller misses free throw 1 of 2
3:29.0,,,36-50,,Offensive rebound by Team
3:29.0,,,36-50,,C. Zeller misses free throw 2 of 2
3:27.0,Defensive rebound by P. Gasol,,36-50,,
3:17.0,Turnover by K. Hinrich (lost ball; steal by K. Walker),,36-50,,
3:17.0,Clear path foul by K. Hinrich,,36-50,,
3:17.0,,,36-50,,K. Walker misses clear path free throw 1 of 2
3:17.0,,,36-50,,Offensive rebound by Team
3:17.0,,,36-51,1,K. Walker makes clear path free throw 2 of 2
3:04.0,,,36-51,,Shooting foul by K. Hinrich (drawn by K. Walker)
3:04.0,,,36-52,1,K. Walker makes free throw 1 of 3
3:04.0,,,36-53,1,K. Walker makes free throw 2 of 3
3:04.0,,,36-54,1,K. Walker makes free throw 3 of 3
2:47.0,P. Gasol makes 2-pt shot from 1 ft (assist by K. Hinrich),2,38-54,,
2:47.0,Shooting foul by C. Zeller (drawn by P. Gasol),,38-54,,
2:47.0,,,38-54,,S. Hawes enters the game for C. Zeller
2:47.0,P. Gasol makes free throw 1 of 1,1,39-54,,
2:29.0,,,39-54,,M. Williams misses 2-pt shot from 6 ft
2:28.0,Defensive rebound by P. Gasol,,39-54,,
2:23.0,K. Hinrich misses 3-pt shot from 25 ft,,39-54,,
2:20.0,Offensive rebound by T. Gibson,,39-54,,
2:20.0,T. Gibson misses 2-pt shot from 1 ft (block by M. Kidd-Gilchrist),,39-54,,
2:20.0,,,39-54,,Defensive rebound by Team
2:05.0,,,39-54,,K. Walker misses 3-pt shot from 24 ft
2:03.0,Defensive rebound by Team,,39-54,,
1:41.0,T. Gibson misses 2-pt shot from 8 ft,,39-54,,
1:39.0,,,39-54,,Defensive rebound by N. Batum
1:36.0,,,39-54,,Turnover by N. Batum (bad pass; steal by P. Gasol)
1:29.0,E. Moore misses 3-pt shot from 23 ft,,39-54,,
1:27.0,,,39-54,,Defensive rebound by M. Williams
1:05.0,,,39-57,3,K. Walker makes 3-pt shot from 26 ft (assist by N. Batum)
0:46.0,K. Hinrich misses 3-pt shot from 23 ft,,39-57,,
0:45.0,,,39-57,,Defensive rebound by M. Kidd-Gilchrist
0:37.0,,,39-57,,M. Williams misses 3-pt shot from 28 ft
0:36.0,Defensive rebound by E. Moore,,39-57,,
0:29.0,M. Dunleavy misses 2-pt shot from 20 ft,,39-57,,
0:28.0,,,39-57,,Defensive rebound by M. Kidd-Gilchrist
0:07.0,,,39-57,,K. Walker misses 3-pt shot from 25 ft
0:05.0,Defensive rebound by T. Gibson,,39-57,,
0:00.0,P. Gasol makes 3-pt shot from 25 ft (assist by M. Dunleavy),3,42-57,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,Turnover by M. Dunleavy (bad pass; steal by K. Walker),,42-57,,
11:41.0,,,42-59,2,N. Batum makes 2-pt shot at rim (assist by K. Walker)
11:19.0,K. Hinrich misses 3-pt shot from 26 ft,,42-59,,
11:18.0,,,42-59,,Defensive rebound by C. Zeller
10:59.0,,,42-62,3,K. Walker makes 3-pt shot from 25 ft (assist by N. Batum)
10:43.0,P. Gasol makes 2-pt shot from 16 ft (assist by K. Hinrich),2,44-62,,
10:22.0,,,44-62,,M. Williams misses 3-pt shot from 25 ft
10:21.0,Defensive rebound by M. Dunleavy,,44-62,,
10:06.0,M. Dunleavy makes 3-pt shot from 24 ft (assist by P. Gasol),3,47-62,,
9:45.0,,,47-62,,Offensive foul by K. Walker
9:45.0,,,47-62,,Turnover by K. Walker (offensive foul)
9:32.0,Turnover by P. Gasol (bad pass; steal by M. Williams),,47-62,,
9:29.0,,,47-62,,Turnover by N. Batum (bad pass)
9:06.0,K. Hinrich misses 2-pt shot from 18 ft,,47-62,,
9:04.0,,,47-62,,Defensive rebound by N. Batum
8:49.0,,,47-65,3,N. Batum makes 3-pt shot from 27 ft
8:34.0,T. Gibson makes 2-pt shot at rim (assist by P. Gasol),2,49-65,,
8:22.0,,,49-65,,K. Walker misses 3-pt shot from 25 ft
8:21.0,Defensive rebound by P. Gasol,,49-65,,
7:59.0,M. Dunleavy makes 2-pt shot from 1 ft (assist by E. Moore),2,51-65,,
7:49.0,Personal foul by T. Gibson (drawn by M. Williams),,51-65,,
7:49.0,D. McDermott enters the game for M. Dunleavy,,51-65,,
7:40.0,,,51-65,,Turnover by C. Zeller (lost ball; steal by K. Hinrich)
7:33.0,K. Hinrich misses 2-pt shot from 1 ft (block by M. Williams),,51-65,,
7:32.0,Offensive rebound by P. Gasol,,51-65,,
7:28.0,D. McDermott misses 2-pt shot from 1 ft,,51-65,,
7:27.0,,,51-65,,Defensive rebound by C. Zeller
7:27.0,Clear path foul by E. Moore,,51-65,,
7:27.0,,,51-66,1,K. Walker makes clear path free throw 1 of 2
7:27.0,,,51-66,,K. Walker misses clear path free throw 2 of 2
7:22.0,,,51-66,,Offensive rebound by C. Zeller
7:22.0,,,51-66,,Turnover by C. Zeller (lost ball)
7:12.0,P. Gasol misses 3-pt shot from 23 ft,,51-66,,
7:11.0,,,51-66,,Defensive rebound by N. Batum
6:54.0,,,51-66,,N. Batum misses 2-pt shot from 16 ft
6:53.0,Defensive rebound by T. Gibson,,51-66,,
6:38.0,T. Gibson misses 2-pt shot at rim (block by M. Kidd-Gilchrist),,51-66,,
6:36.0,,,51-66,,Defensive rebound by M. Williams
6:34.0,,,51-66,,M. Kidd-Gilchrist misses 2-pt shot from 2 ft (block by E. Moore)
6:31.0,,,51-66,,Offensive rebound by K. Walker
6:31.0,,,51-68,2,K. Walker makes 2-pt shot from 1 ft
6:16.0,T. Gibson misses 2-pt shot from 1 ft (block by C. Zeller),,51-68,,
6:14.0,,,51-68,,Defensive rebound by C. Zeller
6:14.0,Personal foul by K. Hinrich (drawn by K. Walker),,51-68,,
6:14.0,B. Portis enters the game for T. Gibson,,51-68,,
6:08.0,,,51-70,2,K. Walker makes 2-pt shot from 6 ft
5:48.0,B. Portis misses 2-pt shot from 15 ft,,51-70,,
5:47.0,,,51-70,,Defensive rebound by C. Zeller
5:33.0,,,51-70,,K. Walker misses 3-pt shot from 23 ft
5:31.0,,,51-70,,Offensive rebound by M. Kidd-Gilchrist
5:22.0,,,51-73,3,C. Zeller makes 3-pt shot from 23 ft (assist by N. Batum)
5:21.0,Chicago full timeout,,51-73,,
5:21.0,A. Brooks enters the game for K. Hinrich,,51-73,,
5:02.0,E. Moore misses 2-pt shot from 10 ft,,51-73,,
4:59.0,Offensive rebound by P. Gasol,,51-73,,
4:59.0,P. Gasol makes 2-pt shot at rim,2,53-73,,
4:33.0,,,53-76,3,M. Kidd-Gilchrist makes 3-pt shot from 24 ft (assist by K. Walker)
4:15.0,E. Moore misses 2-pt shot from 11 ft,,53-76,,
4:14.0,,,53-76,,Defensive rebound by M. Williams
4:08.0,Personal foul by B. Portis (drawn by M. Williams),,53-76,,
4:08.0,T. Snell enters the game for E. Moore,,53-76,,
4:03.0,,,53-76,,Turnover by K. Walker (lost ball; steal by P. Gasol)
3:47.0,B. Portis misses 2-pt shot from 2 ft (block by C. Zeller),,53-76,,
3:46.0,,,53-76,,Defensive rebound by C. Zeller
3:42.0,Personal foul by A. Brooks (drawn by M. Kidd-Gilchrist),,53-76,,
3:42.0,,,53-77,1,M. Kidd-Gilchrist makes free throw 1 of 2
3:42.0,,,53-78,1,M. Kidd-Gilchrist makes free throw 2 of 2
3:32.0,A. Brooks makes 2-pt shot from 14 ft,2,55-78,,
3:23.0,,,55-78,,Turnover by C. Zeller (offensive foul)
3:23.0,,,55-78,,Offensive foul by C. Zeller
3:23.0,,,55-78,,J. Lin enters the game for M. Kidd-Gilchrist
3:23.0,C. Bairstow enters the game for P. Gasol,,55-78,,
3:23.0,,,55-78,,F. Kaminsky enters the game for M. Williams
3:13.0,A. Brooks misses 2-pt shot from 1 ft,,55-78,,
3:09.0,,,55-78,,Defensive rebound by K. Walker
3:02.0,,,55-78,,Offensive foul by F. Kaminsky
3:02.0,,,55-78,,Turnover by F. Kaminsky (offensive foul)
3:02.0,,,55-78,,S. Hawes enters the game for C. Zeller
2:48.0,A. Brooks misses 2-pt shot from 9 ft,,55-78,,
2:46.0,Offensive rebound by T. Snell,,55-78,,
2:35.0,C. Bairstow makes 2-pt shot from 7 ft,2,57-78,,
2:16.0,Personal foul by B. Portis (drawn by F. Kaminsky),,57-78,,
2:16.0,,,57-78,,Charlotte full timeout
2:16.0,,,57-79,1,F. Kaminsky makes free throw 1 of 2
2:16.0,,,57-80,1,F. Kaminsky makes free throw 2 of 2
2:01.0,D. McDermott makes 2-pt shot from 1 ft (assist by C. Bairstow),2,59-80,,
1:47.0,,,59-80,,N. Batum misses 3-pt shot from 25 ft
1:46.0,Defensive rebound by T. Snell,,59-80,,
1:37.0,T. Snell misses 2-pt shot from 2 ft (block by S. Hawes),,59-80,,
1:34.0,,,59-80,,Defensive rebound by J. Lin
1:22.0,,,59-80,,Shooting foul by A. Brooks (drawn by K. Walker)
1:22.0,,,59-81,1,K. Walker makes free throw 1 of 2
1:22.0,,,59-81,,J. Lamb enters the game for N. Batum
1:22.0,,,59-82,1,K. Walker makes free throw 2 of 2
1:04.0,D. McDermott makes 2-pt shot from 16 ft,2,61-82,,
0:49.0,,,61-84,2,S. Hawes makes 2-pt shot from 7 ft (assist by J. Lin)
0:38.0,C. Bairstow misses 2-pt shot from 13 ft,,61-84,,
0:38.0,Offensive rebound by B. Portis,,61-84,,
0:38.0,B. Portis makes 2-pt shot at rim,2,63-84,,
0:30.0,,,63-87,3,K. Walker makes 3-pt shot from 24 ft
0:23.0,Shooting foul by S. Hawes (drawn by C. Bairstow),,63-87,,
0:23.0,C. Bairstow makes free throw 1 of 2,1,64-87,,
0:23.0,C. Bairstow makes free throw 2 of 2,1,65-87,,
0:00.0,,,65-87,,K. Walker misses 2-pt shot from 9 ft (block by C. Bairstow)
0:00.0,,,65-87,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,,,65-87,,Turnover by J. Lin (bad pass)
11:33.0,D. McDermott makes 2-pt shot from 1 ft (assist by B. Portis),2,67-87,,
11:10.0,,,67-87,,J. Lin misses 3-pt shot from 25 ft
11:09.0,Defensive rebound by C. Bairstow,,67-87,,
10:59.0,B. Portis makes 3-pt shot from 25 ft (assist by A. Brooks),3,70-87,,
10:40.0,,,70-87,,N. Batum misses 3-pt shot from 26 ft
10:39.0,Defensive rebound by T. Snell,,70-87,,
10:31.0,A. Brooks misses 2-pt shot at rim,,70-87,,
10:30.0,,,70-87,,Defensive rebound by S. Hawes
10:21.0,,,70-87,,J. Lamb misses 2-pt shot from 10 ft
10:20.0,Defensive rebound by B. Portis,,70-87,,
10:16.0,D. McDermott makes 2-pt shot from 2 ft,2,72-87,,
10:16.0,Shooting foul by S. Hawes (drawn by D. McDermott),,72-87,,
10:16.0,D. McDermott makes free throw 1 of 1,1,73-87,,
10:00.0,,,73-87,,Offensive foul by N. Batum
10:00.0,,,73-87,,Turnover by N. Batum (offensive foul)
9:47.0,,,73-87,,Personal foul by J. Lin (drawn by A. Brooks)
9:32.0,A. Brooks misses 2-pt shot from 7 ft (block by J. Lin),,73-87,,
9:30.0,,,73-87,,Defensive rebound by F. Kaminsky
9:19.0,,,73-87,,F. Kaminsky misses 3-pt shot from 25 ft
9:18.0,Defensive rebound by T. Snell,,73-87,,
9:00.0,C. Bairstow misses 2-pt shot from 9 ft,,73-87,,
8:58.0,,,73-87,,Defensive rebound by N. Batum
8:48.0,,,73-89,2,S. Hawes makes 2-pt shot from 11 ft (assist by N. Batum)
8:31.0,T. Snell misses 3-pt shot from 25 ft,,73-89,,
8:30.0,,,73-89,,Defensive rebound by F. Kaminsky
8:24.0,Personal foul by A. Brooks (drawn by J. Lin),,73-89,,
8:24.0,Official timeout,,73-89,,
8:24.0,E. Moore enters the game for A. Brooks,,73-89,,
8:17.0,,,73-89,,Turnover by S. Hawes (bad pass; steal by E. Moore)
8:04.0,C. Bairstow misses 3-pt shot from 25 ft,,73-89,,
8:03.0,,,73-89,,Defensive rebound by N. Batum
7:41.0,,,73-89,,Offensive foul by S. Hawes
7:41.0,,,73-89,,Turnover by S. Hawes (offensive foul)
7:23.0,C. Bairstow makes 2-pt shot at rim (assist by T. Snell),2,75-89,,
7:07.0,,,75-89,,Shooting foul by B. Portis (drawn by F. Kaminsky)
7:07.0,,,75-89,,F. Kaminsky misses free throw 1 of 2
7:07.0,,,75-89,,Offensive rebound by Team
7:07.0,P. Gasol enters the game for B. Portis,,75-89,,
7:07.0,,,75-89,,M. Kidd-Gilchrist enters the game for S. Hawes
7:07.0,,,75-89,,K. Walker enters the game for J. Lamb
7:07.0,,,75-89,,C. Zeller enters the game for J. Lin
7:07.0,,,75-90,1,F. Kaminsky makes free throw 2 of 2
6:55.0,D. McDermott makes 3-pt shot from 25 ft (assist by P. Gasol),3,78-90,,
6:41.0,,,78-90,,K. Walker misses 2-pt shot from 11 ft (block by P. Gasol)
6:39.0,,,78-90,,Offensive rebound by K. Walker
6:30.0,,,78-90,,C. Zeller misses 2-pt shot from 7 ft
6:30.0,,,78-90,,Offensive rebound by M. Kidd-Gilchrist
6:30.0,,,78-92,2,M. Kidd-Gilchrist makes 2-pt shot at rim
6:30.0,,,78-92,,Shooting foul by C. Bairstow (drawn by M. Kidd-Gilchrist)
6:30.0,,,78-93,1,M. Kidd-Gilchrist makes free throw 1 of 1
6:09.0,Shooting foul by C. Zeller (drawn by P. Gasol),,78-93,,
6:09.0,P. Gasol makes free throw 1 of 2,1,79-93,,
6:09.0,,,79-93,,M. Williams enters the game for F. Kaminsky
6:09.0,P. Gasol makes free throw 2 of 2,1,80-93,,
5:55.0,,,80-93,,N. Batum misses 2-pt shot from 16 ft
5:54.0,Defensive rebound by P. Gasol,,80-93,,
5:40.0,C. Bairstow misses 2-pt shot from 2 ft (block by M. Williams),,80-93,,
5:37.0,,,80-93,,Defensive rebound by M. Williams
5:34.0,,,80-93,,M. Kidd-Gilchrist misses 2-pt shot from 1 ft
5:31.0,,,80-93,,Offensive rebound by K. Walker
5:26.0,,,80-95,2,K. Walker makes 2-pt shot at rim
5:26.0,Chicago full timeout,,80-95,,
5:26.0,K. Hinrich enters the game for T. Snell,,80-95,,
5:06.0,E. Moore misses 2-pt shot from 22 ft,,80-95,,
5:04.0,,,80-95,,Defensive rebound by N. Batum
4:46.0,,,80-98,3,M. Williams makes 3-pt shot from 23 ft (assist by K. Walker)
4:33.0,P. Gasol makes 3-pt shot from 24 ft (assist by E. Moore),3,83-98,,
4:14.0,,,83-98,,M. Williams misses 3-pt shot from 25 ft
