time,Memphis,pts.away,score,pts.home,Portland
0:20.0,,,44-50,2,M. Plumlee makes 2-pt shot at rim
0:01.0,Shooting foul by M. Plumlee (drawn by M. Conley),,44-50,,
0:01.0,M. Conley makes free throw 1 of 2,1,45-50,,
0:01.0,M. Conley makes free throw 2 of 2,1,46-50,,
0:01.0,,,46-50,,Portland full timeout
0:01.0,,,46-50,,P. Connaughton enters the game for M. Plumlee
0:00.0,,,46-50,,Turnover by P. Connaughton (bad pass; steal by J. Green)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,Z. Randolph misses 2-pt shot from 17 ft,,46-50,,
11:44.0,,,46-50,,Defensive rebound by M. Plumlee
11:32.0,,,46-50,,D. Lillard misses 3-pt shot from 25 ft
11:30.0,Defensive rebound by Team,,46-50,,
11:18.0,C. Lee misses 3-pt shot from 24 ft,,46-50,,
11:17.0,Offensive rebound by C. Lee,,46-50,,
11:15.0,C. Lee makes 2-pt shot from 21 ft,2,48-50,,
11:00.0,,,48-50,,Shooting foul by T. Allen (drawn by M. Leonard)
11:00.0,,,48-51,1,M. Leonard makes free throw 1 of 3
11:00.0,,,48-52,1,M. Leonard makes free throw 2 of 3
11:00.0,,,48-53,1,M. Leonard makes free throw 3 of 3
10:44.0,T. Allen makes 2-pt shot from 21 ft (assist by M. Conley),2,50-53,,
10:27.0,,,50-53,,Turnover by C. McCollum (back court)
10:09.0,M. Gasol misses 2-pt shot from 12 ft,,50-53,,
10:08.0,,,50-53,,Defensive rebound by M. Plumlee
10:00.0,,,50-55,2,C. McCollum makes 2-pt shot from 3 ft
10:00.0,,,50-55,,Shooting foul by T. Allen (drawn by C. McCollum)
10:00.0,,,50-56,1,C. McCollum makes free throw 1 of 1
9:45.0,Z. Randolph makes 2-pt shot from 18 ft (assist by T. Allen),2,52-56,,
9:25.0,,,52-58,2,M. Leonard makes 2-pt shot from 18 ft (assist by A. Aminu)
9:10.0,T. Allen makes 2-pt shot from 1 ft,2,54-58,,
8:50.0,,,54-58,,M. Plumlee misses 2-pt shot from 2 ft
8:50.0,Defensive rebound by M. Gasol,,54-58,,
8:47.0,,,54-58,,Personal foul by M. Leonard (drawn by Z. Randolph)
8:36.0,Z. Randolph makes 2-pt shot from 5 ft,2,56-58,,
8:28.0,,,56-60,2,C. McCollum makes 2-pt shot from 10 ft
8:07.0,Z. Randolph makes 2-pt shot from 5 ft,2,58-60,,
7:52.0,,,58-60,,C. McCollum misses 2-pt shot from 16 ft
7:51.0,Defensive rebound by Z. Randolph,,58-60,,
7:42.0,M. Gasol misses 2-pt shot from 1 ft,,58-60,,
7:41.0,Offensive rebound by M. Gasol,,58-60,,
7:41.0,M. Gasol makes 2-pt shot from 1 ft,2,60-60,,
7:26.0,,,60-62,2,M. Plumlee makes 2-pt shot at rim (assist by D. Lillard)
7:04.0,Shooting foul by A. Aminu (drawn by M. Gasol),,60-62,,
7:04.0,M. Gasol makes free throw 1 of 2,1,61-62,,
7:04.0,M. Gasol makes free throw 2 of 2,1,62-62,,
6:43.0,,,62-65,3,D. Lillard makes 3-pt shot from 24 ft (assist by M. Leonard)
6:25.0,M. Gasol misses 2-pt shot from 19 ft,,62-65,,
6:25.0,,,62-65,,Defensive rebound by A. Aminu
6:18.0,,,62-65,,Shooting foul by Z. Randolph (drawn by A. Aminu)
6:18.0,,,62-66,1,A. Aminu makes free throw 1 of 2
6:18.0,,,62-67,1,A. Aminu makes free throw 2 of 2
6:00.0,Shooting foul by M. Plumlee (drawn by M. Gasol),,62-67,,
6:00.0,,,62-67,,Portland full timeout
6:00.0,J. Green enters the game for Z. Randolph,,62-67,,
6:00.0,,,62-67,,A. Crabbe enters the game for A. Aminu
6:00.0,,,62-67,,M. Harkless enters the game for M. Plumlee
6:00.0,,,62-67,,E. Davis enters the game for C. McCollum
6:00.0,,,62-67,,A. Aminu enters the game for M. Leonard
6:00.0,M. Gasol misses free throw 1 of 2,,62-67,,
6:00.0,Offensive rebound by Team,,62-67,,
6:00.0,M. Gasol makes free throw 2 of 2,1,63-67,,
5:42.0,,,63-67,,D. Lillard misses 3-pt shot from 24 ft
5:39.0,,,63-67,,Offensive rebound by M. Harkless
5:28.0,,,63-69,2,A. Crabbe makes 2-pt shot from 17 ft
5:10.0,,,63-69,,Personal foul by A. Crabbe (drawn by M. Conley)
4:55.0,M. Gasol misses 2-pt shot from 13 ft,,63-69,,
4:54.0,,,63-69,,Defensive rebound by A. Aminu
4:43.0,,,63-71,2,M. Harkless makes 2-pt shot at rim (assist by A. Aminu)
4:43.0,Memphis full timeout,,63-71,,
4:43.0,M. Barnes enters the game for T. Allen,,63-71,,
4:21.0,Turnover by M. Conley (bad pass; steal by A. Aminu),,63-71,,
4:11.0,,,63-71,,D. Lillard misses 2-pt shot from 1 ft (block by M. Gasol)
4:08.0,Defensive rebound by M. Barnes,,63-71,,
4:03.0,C. Lee misses 3-pt shot from 23 ft,,63-71,,
4:03.0,,,63-71,,Defensive rebound by A. Aminu
4:03.0,Personal foul by M. Barnes (drawn by A. Aminu),,63-71,,
3:47.0,,,63-74,3,D. Lillard makes 3-pt shot from 24 ft (assist by M. Harkless)
3:23.0,J. Green misses 3-pt shot from 23 ft,,63-74,,
3:21.0,Offensive rebound by M. Barnes,,63-74,,
3:17.0,M. Barnes makes 2-pt shot from 3 ft,2,65-74,,
3:02.0,,,65-77,3,A. Aminu makes 3-pt shot from 24 ft (assist by D. Lillard)
2:45.0,C. Lee makes 2-pt shot from 2 ft (assist by M. Gasol),2,67-77,,
2:28.0,,,67-77,,Shooting foul by M. Barnes (drawn by E. Davis)
2:28.0,,,67-77,,E. Davis misses free throw 1 of 2
2:28.0,,,67-77,,Offensive rebound by Team
2:28.0,B. Udrih enters the game for M. Conley,,67-77,,
2:28.0,Z. Randolph enters the game for C. Lee,,67-77,,
2:28.0,,,67-78,1,E. Davis makes free throw 2 of 2
2:09.0,M. Gasol misses 2-pt shot from 10 ft,,67-78,,
2:08.0,,,67-78,,Defensive rebound by A. Aminu
2:00.0,,,67-80,2,A. Aminu makes 2-pt shot from 3 ft (assist by A. Crabbe)
1:46.0,B. Udrih makes 2-pt shot from 18 ft (assist by M. Gasol),2,69-80,,
1:38.0,,,69-80,,Shooting foul by B. Udrih (drawn by D. Lillard)
1:38.0,,,69-81,1,D. Lillard makes free throw 1 of 2
1:38.0,B. Wright enters the game for M. Gasol,,69-81,,
1:38.0,T. Allen enters the game for J. Green,,69-81,,
1:38.0,,,69-81,,M. Leonard enters the game for A. Aminu
1:38.0,,,69-82,1,D. Lillard makes free throw 2 of 2
1:22.0,B. Wright misses 2-pt shot from 6 ft,,69-82,,
1:21.0,,,69-82,,Defensive rebound by E. Davis
1:09.0,,,69-85,3,D. Lillard makes 3-pt shot from 27 ft
0:51.0,Z. Randolph makes 2-pt shot from 2 ft,2,71-85,,
0:34.0,,,71-88,3,D. Lillard makes 3-pt shot from 24 ft
0:11.0,M. Barnes misses 3-pt shot from 24 ft,,71-88,,
0:11.0,Offensive rebound by B. Wright,,71-88,,
0:03.0,Turnover by Z. Randolph (3 sec),,71-88,,
0:00.0,,,71-90,2,E. Davis makes 2-pt shot from 5 ft (assist by M. Harkless)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,,,71-92,2,M. Harkless makes 2-pt shot at rim (assist by D. Lillard)
11:23.0,M. Barnes misses 2-pt shot from 18 ft,,71-92,,
11:22.0,,,71-92,,Defensive rebound by E. Davis
11:05.0,,,71-95,3,D. Lillard makes 3-pt shot from 24 ft (assist by A. Crabbe)
10:50.0,Z. Randolph misses 2-pt shot from 19 ft,,71-95,,
10:49.0,,,71-95,,Defensive rebound by M. Harkless
10:37.0,,,71-95,,M. Leonard misses 3-pt shot from 25 ft
10:37.0,Defensive rebound by M. Barnes,,71-95,,
10:27.0,Shooting foul by M. Leonard (drawn by B. Wright),,71-95,,
10:27.0,B. Wright makes 2-pt shot from 2 ft (assist by M. Barnes),2,73-95,,
10:27.0,B. Wright makes free throw 1 of 1,1,74-95,,
10:05.0,,,74-95,,M. Leonard misses 3-pt shot from 24 ft
10:04.0,,,74-95,,Offensive rebound by M. Harkless
10:02.0,,,74-97,2,M. Harkless makes 2-pt shot at rim
9:42.0,Shooting foul by M. Leonard (drawn by B. Wright),,74-97,,
9:42.0,B. Wright misses free throw 1 of 2,,74-97,,
9:42.0,Offensive rebound by Team,,74-97,,
9:42.0,,,74-97,,A. Aminu enters the game for M. Leonard
9:42.0,,,74-97,,C. McCollum enters the game for D. Lillard
9:42.0,B. Wright makes free throw 2 of 2,1,75-97,,
9:24.0,,,75-99,2,C. McCollum makes 2-pt shot from 18 ft (assist by E. Davis)
9:09.0,Shooting foul by A. Aminu (drawn by M. Conley),,75-99,,
9:09.0,M. Conley makes free throw 1 of 2,1,76-99,,
9:09.0,M. Conley misses free throw 2 of 2,,76-99,,
9:08.0,,,76-99,,Defensive rebound by A. Crabbe
8:45.0,,,76-101,2,A. Crabbe makes 2-pt shot from 21 ft (assist by E. Davis)
8:31.0,M. Conley misses 3-pt shot from 23 ft,,76-101,,
8:31.0,Offensive rebound by Team,,76-101,,
8:31.0,Official timeout,,76-101,,
8:20.0,,,76-101,,Personal foul by C. McCollum (drawn by M. Conley)
8:12.0,M. Conley makes 2-pt shot from 13 ft,2,78-101,,
7:46.0,,,78-101,,C. McCollum misses 2-pt shot from 18 ft
7:45.0,,,78-101,,Offensive rebound by C. McCollum
7:41.0,,,78-104,3,A. Crabbe makes 3-pt shot from 24 ft (assist by A. Aminu)
7:24.0,M. Barnes makes 3-pt shot from 23 ft (assist by M. Conley),3,81-104,,
7:04.0,,,81-104,,E. Davis misses 2-pt shot from 2 ft
7:04.0,Defensive rebound by Z. Randolph,,81-104,,
6:59.0,,,81-104,,Violation by A. Aminu (def goaltending)
6:59.0,T. Allen makes 2-pt shot from 1 ft (assist by M. Barnes),2,83-104,,
6:38.0,,,83-104,,A. Aminu misses 2-pt shot from 2 ft
6:37.0,Defensive rebound by B. Wright,,83-104,,
6:24.0,T. Allen misses 3-pt shot from 22 ft,,83-104,,
6:24.0,,,83-104,,Defensive rebound by E. Davis
6:07.0,,,83-104,,C. McCollum misses 2-pt shot from 3 ft
6:06.0,,,83-104,,Offensive rebound by E. Davis
6:02.0,,,83-104,,A. Aminu misses 3-pt shot from 24 ft
6:01.0,,,83-104,,Offensive rebound by C. McCollum
5:59.0,,,83-104,,C. McCollum misses 2-pt shot from 1 ft (block by T. Allen)
5:59.0,,,83-104,,Offensive rebound by Team
5:59.0,,,83-104,,Portland full timeout
5:59.0,C. Lee enters the game for T. Allen,,83-104,,
5:59.0,M. Gasol enters the game for B. Wright,,83-104,,
5:59.0,,,83-104,,M. Leonard enters the game for A. Crabbe
5:52.0,,,83-106,2,E. Davis makes 2-pt shot from 1 ft (assist by A. Aminu)
5:52.0,,,83-106,,Shooting foul by M. Gasol (drawn by E. Davis)
5:52.0,,,83-106,,E. Davis misses free throw 1 of 1
5:51.0,Defensive rebound by Z. Randolph,,83-106,,
5:34.0,C. Lee misses 3-pt shot from 23 ft,,83-106,,
5:33.0,,,83-106,,Defensive rebound by A. Aminu
5:30.0,,,83-106,,Offensive foul by A. Aminu
5:30.0,,,83-106,,Turnover by A. Aminu (offensive foul)
5:30.0,,,83-106,,Violation by Team (delay of game)
5:19.0,Z. Randolph misses 2-pt shot from 6 ft,,83-106,,
5:18.0,,,83-106,,Defensive rebound by E. Davis
5:04.0,,,83-106,,M. Harkless misses 3-pt shot from 23 ft
5:03.0,Defensive rebound by Z. Randolph,,83-106,,
4:53.0,Shooting foul by M. Harkless (drawn by C. Lee),,83-106,,
4:53.0,C. Lee makes free throw 1 of 2,1,84-106,,
4:53.0,C. Lee makes free throw 2 of 2,1,85-106,,
4:41.0,Personal foul by M. Barnes (drawn by A. Aminu),,85-106,,
4:41.0,,,85-106,,D. Lillard enters the game for M. Harkless
4:28.0,,,85-109,3,C. McCollum makes 3-pt shot from 24 ft
4:11.0,M. Gasol makes 2-pt shot from 1 ft (assist by Z. Randolph),2,87-109,,
3:53.0,,,87-112,3,D. Lillard makes 3-pt shot from 26 ft
3:34.0,,,87-112,,Personal foul by E. Davis (drawn by M. Gasol)
3:34.0,M. Gasol makes free throw 1 of 2,1,88-112,,
3:34.0,,,88-112,,P. Connaughton enters the game for A. Aminu
3:34.0,J. Green enters the game for Z. Randolph,,88-112,,
3:34.0,R. Smith enters the game for M. Conley,,88-112,,
3:34.0,,,88-112,,C. Kaman enters the game for M. Leonard
3:34.0,,,88-112,,L. Montero enters the game for C. McCollum
3:34.0,,,88-112,,N. Vonleh enters the game for D. Lillard
3:34.0,,,88-112,,T. Frazier enters the game for E. Davis
3:34.0,M. Gasol misses free throw 2 of 2,,88-112,,
3:33.0,,,88-112,,Defensive rebound by N. Vonleh
3:18.0,Personal foul by J. Green (drawn by T. Frazier),,88-112,,
3:18.0,J. Stokes enters the game for M. Gasol,,88-112,,
3:08.0,,,88-112,,P. Connaughton misses 2-pt shot from 2 ft
3:08.0,Defensive rebound by J. Green,,88-112,,
2:58.0,M. Barnes misses 3-pt shot from 25 ft,,88-112,,
2:57.0,,,88-112,,Defensive rebound by N. Vonleh
2:44.0,,,88-112,,N. Vonleh misses 3-pt shot from 23 ft
2:44.0,Defensive rebound by J. Green,,88-112,,
2:35.0,Turnover by R. Smith (lost ball),,88-112,,
2:35.0,Memphis full timeout,,88-112,,
2:35.0,B. Udrih enters the game for M. Barnes,,88-112,,
2:35.0,B. Wright enters the game for C. Lee,,88-112,,
2:23.0,,,88-112,,Offensive foul by N. Vonleh
2:23.0,,,88-112,,Turnover by N. Vonleh (offensive foul)
2:07.0,J. Green makes 3-pt shot from 24 ft (assist by B. Udrih),3,91-112,,
1:49.0,,,91-112,,C. Kaman misses 2-pt shot from 3 ft
1:48.0,Defensive rebound by J. Stokes,,91-112,,
1:45.0,B. Udrih makes 2-pt shot from 13 ft (assist by R. Smith),2,93-112,,
1:30.0,,,93-115,3,L. Montero makes 3-pt shot from 26 ft
1:05.0,R. Smith misses 3-pt shot from 25 ft,,93-115,,
1:05.0,Offensive rebound by Team,,93-115,,
1:05.0,Turnover by Team (shot clock),,93-115,,
0:47.0,,,93-115,,C. Kaman misses 2-pt shot from 15 ft
