time,New Orleans,pts.away,score,pts.home,Minnesota
8:37.0,,,69-53,,G. Dieng misses 3-pt shot from 22 ft
8:35.0,,,69-53,,Offensive rebound by K. Towns
8:33.0,,,69-53,,Turnover by K. Towns (lost ball; steal by D. Cunningham)
8:23.0,J. Holiday misses 2-pt shot from 3 ft (block by T. Prince),,69-53,,
8:22.0,Offensive rebound by Team,,69-53,,
8:22.0,,,69-53,,D. Rudez enters the game for G. Dieng
8:19.0,A. Davis makes 2-pt shot from 20 ft (assist by D. Cunningham),2,71-53,,
8:06.0,,,71-53,,K. Towns misses 2-pt shot from 19 ft
8:05.0,Defensive rebound by A. Davis,,71-53,,
7:47.0,A. Davis makes 2-pt shot from 10 ft,2,73-53,,
7:28.0,,,73-53,,G. Dieng enters the game for D. Rudez
7:28.0,,,73-53,,Z. LaVine enters the game for T. Prince
7:23.0,,,73-53,,Shooting foul by D. Cunningham (drawn by A. Wiggins)
7:23.0,,,73-54,1,A. Wiggins makes free throw 1 of 2
7:23.0,,,73-55,1,A. Wiggins makes free throw 2 of 2
7:10.0,Turnover by J. Holiday (lost ball),,73-55,,
6:55.0,,,73-57,2,R. Rubio makes 2-pt shot from 19 ft
6:36.0,J. Holiday makes 2-pt shot from 16 ft,2,75-57,,
6:23.0,,,75-57,,Shooting foul by N. Cole (drawn by R. Rubio)
6:23.0,,,75-58,1,R. Rubio makes free throw 1 of 2
6:23.0,,,75-59,1,R. Rubio makes free throw 2 of 2
6:01.0,A. Davis misses 3-pt shot from 24 ft,,75-59,,
6:00.0,Offensive rebound by Team,,75-59,,
5:53.0,J. Holiday misses 2-pt shot from 10 ft (block by Z. LaVine),,75-59,,
5:51.0,,,75-59,,Defensive rebound by K. Towns
5:44.0,,,75-62,3,Z. LaVine makes 3-pt shot from 24 ft (assist by R. Rubio)
5:43.0,New Orleans full timeout,,75-62,,
5:33.0,Shooting foul by K. Towns (drawn by A. Davis),,75-62,,
5:33.0,A. Davis misses free throw 1 of 2,,75-62,,
5:33.0,Offensive rebound by Team,,75-62,,
5:33.0,R. Anderson enters the game for O. Asik,,75-62,,
5:33.0,A. Davis makes free throw 2 of 2,1,76-62,,
5:20.0,,,76-64,2,G. Dieng makes 2-pt shot at rim (assist by R. Rubio)
5:08.0,A. Davis misses 2-pt shot from 9 ft,,76-64,,
5:07.0,,,76-64,,Defensive rebound by Team
4:59.0,,,76-64,,A. Wiggins misses 3-pt shot from 25 ft
4:58.0,Defensive rebound by A. Davis,,76-64,,
4:45.0,Shooting foul by A. Wiggins (drawn by A. Davis),,76-64,,
4:45.0,A. Davis makes free throw 1 of 2,1,77-64,,
4:45.0,A. Davis misses free throw 2 of 2,,77-64,,
4:44.0,,,77-64,,Defensive rebound by K. Towns
4:29.0,,,77-64,,Z. LaVine misses 3-pt shot from 25 ft
4:28.0,,,77-64,,Offensive rebound by G. Dieng
4:26.0,,,77-64,,G. Dieng misses 2-pt shot from 2 ft (block by R. Anderson)
4:25.0,Defensive rebound by Team,,77-64,,
4:06.0,A. Davis makes 2-pt shot from 7 ft,2,79-64,,
3:50.0,,,79-66,2,A. Wiggins makes 2-pt shot from 1 ft (assist by R. Rubio)
3:50.0,,,79-66,,Shooting foul by D. Cunningham (drawn by A. Wiggins)
3:50.0,,,79-67,1,A. Wiggins makes free throw 1 of 1
3:37.0,R. Anderson makes 2-pt shot from 22 ft (assist by N. Cole),2,81-67,,
3:21.0,,,81-67,,A. Wiggins misses 2-pt shot from 15 ft
3:19.0,,,81-67,,Offensive rebound by G. Dieng
3:10.0,,,81-67,,Offensive charge foul by G. Dieng
3:10.0,,,81-67,,Turnover by G. Dieng (offensive foul)
3:10.0,,,81-67,,Technical foul by G. Dieng
3:10.0,R. Anderson makes technical free throw,1,82-67,,
3:10.0,,,82-67,,S. Muhammad enters the game for G. Dieng
3:10.0,A. Gee enters the game for D. Cunningham,,82-67,,
3:01.0,J. Holiday makes 2-pt shot from 1 ft,2,84-67,,
2:47.0,,,84-67,,Shooting foul by A. Davis (drawn by K. Towns)
2:47.0,,,84-67,,K. Towns misses free throw 1 of 2
2:47.0,,,84-67,,Offensive rebound by Team
2:47.0,,,84-68,1,K. Towns makes free throw 2 of 2
2:35.0,J. Holiday makes 3-pt shot from 24 ft,3,87-68,,
2:20.0,,,87-68,,R. Rubio misses 2-pt shot from 11 ft
2:19.0,Defensive rebound by J. Holiday,,87-68,,
2:07.0,Shooting foul by Z. LaVine (drawn by R. Anderson),,87-68,,
2:07.0,R. Anderson makes free throw 1 of 2,1,88-68,,
2:07.0,R. Anderson makes free throw 2 of 2,1,89-68,,
1:55.0,,,89-68,,A. Wiggins misses 2-pt shot from 12 ft
1:53.0,Defensive rebound by A. Davis,,89-68,,
1:44.0,Shooting foul by S. Muhammad (drawn by R. Anderson),,89-68,,
1:44.0,R. Anderson makes free throw 1 of 2,1,90-68,,
1:44.0,R. Anderson misses free throw 2 of 2,,90-68,,
1:43.0,,,90-68,,Defensive rebound by K. Towns
1:33.0,,,90-68,,Turnover by K. Towns (lost ball; steal by J. Holiday)
1:27.0,R. Anderson makes 3-pt shot from 25 ft (assist by J. Holiday),3,93-68,,
1:26.0,,,93-68,,Minnesota full timeout
