time,Charlotte,pts.away,score,pts.home,Cleveland
9:31.0,Turnover by F. Kaminsky (lost ball; steal by L. James),,23-36,,
9:28.0,,,23-38,2,L. James makes 2-pt shot from 1 ft
9:10.0,F. Kaminsky makes 2-pt shot at rim (assist by J. Lin),2,25-38,,
8:59.0,,,25-38,,C. Frye misses 3-pt shot from 26 ft
8:58.0,Defensive rebound by S. Hawes,,25-38,,
8:49.0,C. Lee makes 2-pt shot from 1 ft (assist by N. Batum),2,27-38,,
8:36.0,,,27-38,,Offensive foul by C. Frye
8:36.0,,,27-38,,Turnover by C. Frye (offensive foul)
8:36.0,,,27-38,,M. Dellavedova enters the game for M. Williams
8:17.0,C. Lee misses 2-pt shot from 1 ft,,27-38,,
8:16.0,Offensive rebound by S. Hawes,,27-38,,
8:16.0,S. Hawes misses 2-pt shot from 1 ft,,27-38,,
8:15.0,Offensive rebound by S. Hawes,,27-38,,
8:12.0,N. Batum misses 3-pt shot from 25 ft,,27-38,,
8:10.0,,,27-38,,Defensive rebound by C. Frye
7:48.0,,,27-41,3,C. Frye makes 3-pt shot from 23 ft (assist by M. Dellavedova)
7:39.0,Charlotte full timeout,,27-41,,
7:28.0,C. Lee misses 2-pt shot from 6 ft,,27-41,,
7:27.0,Offensive rebound by S. Hawes,,27-41,,
7:27.0,S. Hawes misses 2-pt shot from 1 ft,,27-41,,
7:26.0,,,27-41,,Defensive rebound by M. Dellavedova
7:13.0,,,27-41,,Turnover by I. Shumpert (lost ball; steal by C. Lee)
7:12.0,,,27-41,,Personal foul by L. James
7:12.0,C. Zeller enters the game for S. Hawes,,27-41,,
6:56.0,C. Lee misses 3-pt shot from 24 ft,,27-41,,
6:55.0,,,27-41,,Defensive rebound by L. James
6:48.0,,,27-44,3,M. Dellavedova makes 3-pt shot from 24 ft (assist by L. James)
6:36.0,J. Lin misses 2-pt shot from 11 ft,,27-44,,
6:34.0,,,27-44,,Defensive rebound by T. Thompson
6:19.0,,,27-44,,C. Frye misses 3-pt shot from 22 ft
6:18.0,,,27-44,,Offensive rebound by L. James
6:18.0,,,27-44,,L. James misses 2-pt shot at rim
6:16.0,,,27-44,,Offensive rebound by L. James
6:16.0,,,27-46,2,L. James makes 2-pt shot at rim
5:56.0,F. Kaminsky misses 3-pt shot from 25 ft,,27-46,,
5:55.0,,,27-46,,Defensive rebound by C. Frye
5:46.0,,,27-46,,M. Dellavedova misses 2-pt shot at rim
5:44.0,,,27-46,,Offensive rebound by M. Dellavedova
5:36.0,,,27-46,,Turnover by M. Dellavedova (lost ball; steal by F. Kaminsky)
5:31.0,C. Lee misses 2-pt shot from 1 ft,,27-46,,
5:30.0,Offensive rebound by F. Kaminsky,,27-46,,
5:30.0,F. Kaminsky misses 2-pt shot from 1 ft,,27-46,,
5:29.0,,,27-46,,Defensive rebound by C. Frye
5:22.0,,,27-46,,I. Shumpert misses 2-pt shot from 16 ft
5:20.0,,,27-46,,Offensive rebound by I. Shumpert
5:17.0,,,27-48,2,T. Thompson makes 2-pt shot at rim (assist by I. Shumpert)
5:09.0,Charlotte full timeout,,27-48,,
5:09.0,K. Walker enters the game for J. Lin,,27-48,,
5:09.0,M. Williams enters the game for F. Kaminsky,,27-48,,
5:09.0,,,27-48,,K. Love enters the game for C. Frye
4:56.0,M. Williams makes 2-pt shot from 5 ft (assist by N. Batum),2,29-48,,
4:36.0,,,29-48,,Turnover by M. Dellavedova (lost ball; steal by C. Zeller)
4:31.0,N. Batum makes 2-pt shot from 1 ft (assist by K. Walker),2,31-48,,
4:18.0,,,31-48,,I. Shumpert misses 3-pt shot from 24 ft
4:18.0,,,31-48,,Offensive rebound by T. Thompson
4:14.0,,,31-48,,T. Thompson misses 2-pt shot from 1 ft
4:11.0,Defensive rebound by K. Walker,,31-48,,
4:05.0,K. Walker makes 2-pt shot from 18 ft,2,33-48,,
3:42.0,,,33-48,,M. Dellavedova misses 3-pt shot from 29 ft
3:41.0,,,33-48,,Offensive rebound by T. Thompson
3:26.0,,,33-48,,K. Love misses 2-pt shot from 12 ft (block by M. Williams)
3:25.0,Defensive rebound by M. Williams,,33-48,,
3:21.0,Turnover by N. Batum (lost ball; steal by T. Thompson),,33-48,,
3:03.0,,,33-48,,Shooting foul by C. Zeller (drawn by T. Thompson)
3:03.0,,,33-49,1,T. Thompson makes free throw 1 of 2
3:03.0,,,33-49,,J. Smith enters the game for L. James
3:03.0,J. Lamb enters the game for N. Batum,,33-49,,
3:03.0,,,33-49,,T. Thompson misses free throw 2 of 2
3:02.0,Defensive rebound by C. Zeller,,33-49,,
2:47.0,Turnover by K. Walker (traveling),,33-49,,
2:47.0,Official timeout,,33-49,,
2:31.0,,,33-52,3,K. Love makes 3-pt shot from 23 ft (assist by M. Dellavedova)
2:11.0,M. Williams makes 3-pt shot from 27 ft (assist by K. Walker),3,36-52,,
1:44.0,,,36-52,,K. Love misses 2-pt shot from 17 ft
1:41.0,,,36-52,,Offensive rebound by T. Thompson
1:34.0,,,36-52,,Turnover by M. Dellavedova (lost ball; steal by K. Walker)
1:28.0,C. Lee makes 2-pt shot at rim (assist by M. Williams),2,38-52,,
1:06.0,,,38-52,,Shooting foul by J. Lamb (drawn by T. Thompson)
1:06.0,,,38-53,1,T. Thompson makes free throw 1 of 2
1:06.0,,,38-53,,L. James enters the game for M. Dellavedova
1:06.0,N. Batum enters the game for J. Lamb,,38-53,,
1:06.0,,,38-53,,T. Thompson misses free throw 2 of 2
1:05.0,Defensive rebound by C. Zeller,,38-53,,
0:53.0,K. Walker misses 3-pt shot from 24 ft,,38-53,,
0:52.0,Offensive rebound by K. Walker,,38-53,,
0:47.0,K. Walker makes 2-pt shot from 3 ft,2,40-53,,
0:36.0,,,40-56,3,J. Smith makes 3-pt shot from 26 ft (assist by L. James)
0:28.0,Shooting foul by K. Love (drawn by K. Walker),,40-56,,
0:28.0,K. Walker makes free throw 1 of 2,1,41-56,,
0:28.0,,,41-56,,M. Dellavedova enters the game for K. Love
0:28.0,K. Walker makes free throw 2 of 2,1,42-56,,
0:05.0,,,42-58,2,L. James makes 2-pt shot from 15 ft
0:00.0,Turnover by K. Walker (lost ball; steal by J. Smith),,42-58,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,,,42-60,2,K. Love makes 2-pt shot from 1 ft (assist by L. James)
11:34.0,Turnover by M. Williams (step out of bounds),,42-60,,
11:21.0,,,42-60,,Shooting foul by C. Lee (drawn by T. Mozgov)
11:21.0,,,42-60,,T. Mozgov misses free throw 1 of 2
11:21.0,,,42-60,,Offensive rebound by Team
11:21.0,,,42-60,,T. Mozgov misses free throw 2 of 2
11:21.0,Defensive rebound by M. Williams,,42-60,,
11:02.0,K. Walker misses 2-pt shot from 18 ft,,42-60,,
11:01.0,,,42-60,,Defensive rebound by M. Dellavedova
10:54.0,,,42-62,2,T. Mozgov makes 2-pt shot at rim (assist by M. Dellavedova)
10:54.0,Charlotte full timeout,,42-62,,
10:41.0,C. Lee misses 2-pt shot from 21 ft,,42-62,,
10:41.0,,,42-62,,Defensive rebound by L. James
10:32.0,,,42-62,,Turnover by K. Love (lost ball; steal by C. Zeller)
10:29.0,Shooting foul by M. Dellavedova (drawn by K. Walker),,42-62,,
10:29.0,K. Walker makes free throw 1 of 3,1,43-62,,
10:29.0,K. Walker makes free throw 2 of 3,1,44-62,,
10:29.0,K. Walker misses free throw 3 of 3,,44-62,,
10:29.0,,,44-62,,Defensive rebound by K. Love
10:11.0,,,44-65,3,J. Smith makes 3-pt shot from 24 ft (assist by K. Love)
9:58.0,Offensive foul by M. Williams,,44-65,,
9:58.0,Turnover by M. Williams (offensive foul),,44-65,,
9:40.0,,,44-65,,K. Love misses 3-pt shot from 27 ft
9:40.0,Defensive rebound by K. Walker,,44-65,,
9:23.0,F. Kaminsky makes 3-pt shot from 27 ft (assist by C. Lee),3,47-65,,
8:57.0,,,47-67,2,L. James makes 2-pt shot from 22 ft
8:44.0,C. Lee misses 3-pt shot from 25 ft,,47-67,,
8:44.0,,,47-67,,Defensive rebound by M. Dellavedova
8:27.0,,,47-67,,Turnover by K. Love (lost ball; steal by K. Walker)
8:21.0,Shooting foul by T. Mozgov (drawn by C. Zeller),,47-67,,
8:21.0,C. Zeller makes free throw 1 of 2,1,48-67,,
8:21.0,C. Zeller makes free throw 2 of 2,1,49-67,,
8:12.0,,,49-67,,K. Love misses 3-pt shot from 25 ft
8:11.0,,,49-67,,Offensive rebound by T. Mozgov
8:05.0,,,49-67,,K. Love misses 2-pt shot from 2 ft (block by F. Kaminsky)
8:04.0,,,49-67,,Offensive rebound by K. Love
8:03.0,,,49-69,2,K. Love makes 2-pt shot at rim
7:53.0,Turnover by K. Walker (lost ball; steal by L. James),,49-69,,
7:47.0,,,49-69,,L. James misses 2-pt shot at rim (block by C. Lee)
7:44.0,Defensive rebound by K. Walker,,49-69,,
7:41.0,K. Walker makes 2-pt shot from 2 ft,2,51-69,,
7:41.0,Shooting foul by T. Mozgov (drawn by K. Walker),,51-69,,
7:41.0,K. Walker makes free throw 1 of 1,1,52-69,,
7:26.0,,,52-69,,J. Smith misses 3-pt shot from 25 ft
7:25.0,Defensive rebound by F. Kaminsky,,52-69,,
7:06.0,K. Walker makes 3-pt shot from 26 ft,3,55-69,,
7:06.0,,,55-69,,Cleveland full timeout
6:56.0,Personal foul by M. Williams,,55-69,,
6:45.0,,,55-69,,K. Love misses 2-pt shot from 16 ft
6:44.0,Defensive rebound by K. Walker,,55-69,,
6:37.0,K. Walker misses 3-pt shot from 27 ft,,55-69,,
6:36.0,,,55-69,,Defensive rebound by L. James
6:17.0,,,55-69,,K. Love misses 2-pt shot from 6 ft
6:16.0,Defensive rebound by C. Zeller,,55-69,,
6:00.0,C. Zeller misses 2-pt shot from 15 ft,,55-69,,
5:59.0,,,55-69,,Defensive rebound by K. Love
5:35.0,,,55-69,,L. James misses 2-pt shot from 14 ft
5:33.0,Defensive rebound by M. Williams,,55-69,,
5:20.0,C. Lee makes 3-pt shot from 23 ft (assist by M. Williams),3,58-69,,
4:52.0,,,58-71,2,K. Love makes 2-pt shot from 7 ft (assist by J. Smith)
4:29.0,Shooting foul by M. Dellavedova (drawn by K. Walker),,58-71,,
4:29.0,J. Lin enters the game for C. Lee,,58-71,,
4:29.0,K. Walker makes free throw 1 of 2,1,59-71,,
4:29.0,S. Hawes enters the game for C. Zeller,,59-71,,
4:29.0,,,59-71,,T. Thompson enters the game for T. Mozgov
4:29.0,K. Walker makes free throw 2 of 2,1,60-71,,
4:18.0,,,60-71,,Turnover by L. James (lost ball; steal by K. Walker)
4:14.0,K. Walker makes 2-pt shot from 5 ft,2,62-71,,
4:14.0,Shooting foul by M. Dellavedova (drawn by K. Walker),,62-71,,
4:14.0,,,62-71,,I. Shumpert enters the game for M. Dellavedova
4:14.0,K. Walker makes free throw 1 of 1,1,63-71,,
4:03.0,,,63-74,3,J. Smith makes 3-pt shot from 25 ft (assist by L. James)
3:43.0,J. Lin misses 2-pt shot from 14 ft,,63-74,,
3:42.0,,,63-74,,Defensive rebound by K. Love
3:31.0,,,63-74,,L. James misses 2-pt shot from 11 ft
3:30.0,Defensive rebound by K. Walker,,63-74,,
3:20.0,K. Walker makes 2-pt shot from 18 ft,2,65-74,,
2:59.0,,,65-77,3,J. Smith makes 3-pt shot from 24 ft (assist by L. James)
2:36.0,S. Hawes misses 2-pt shot from 19 ft,,65-77,,
2:35.0,,,65-77,,Defensive rebound by K. Love
2:23.0,,,65-77,,Turnover by L. James (lost ball; steal by S. Hawes)
2:09.0,S. Hawes makes 2-pt shot from 6 ft (assist by K. Walker),2,67-77,,
1:53.0,,,67-77,,Shooting foul by S. Hawes (drawn by L. James)
1:53.0,Charlotte full timeout,,67-77,,
1:53.0,,,67-77,,C. Frye enters the game for K. Love
1:53.0,C. Lee enters the game for M. Williams,,67-77,,
1:53.0,,,67-78,1,L. James makes free throw 1 of 2
1:53.0,,,67-79,1,L. James makes free throw 2 of 2
1:45.0,,,67-79,,Personal foul by J. Smith
1:45.0,J. Lin makes free throw 1 of 2,1,68-79,,
1:45.0,J. Lin makes free throw 2 of 2,1,69-79,,
1:32.0,,,69-82,3,J. Smith makes 3-pt shot from 26 ft (assist by L. James)
1:13.0,Turnover by J. Lin (bad pass),,69-82,,
1:04.0,Personal foul by J. Lin,,69-82,,
1:04.0,,,69-83,1,J. Smith makes free throw 1 of 2
1:04.0,,,69-83,,M. Williams enters the game for L. James
1:04.0,,,69-83,,J. Smith misses free throw 2 of 2
1:03.0,Defensive rebound by F. Kaminsky,,69-83,,
0:48.0,S. Hawes misses 2-pt shot from 10 ft,,69-83,,
0:45.0,,,69-83,,Defensive rebound by C. Frye
0:35.0,,,69-86,3,M. Williams makes 3-pt shot from 24 ft
0:18.0,C. Lee makes 2-pt shot from 1 ft (assist by K. Walker),2,71-86,,
0:00.0,,,71-86,,J. Smith misses 3-pt shot from 25 ft
0:00.0,,,71-86,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:50.0,,,71-86,,Violation by J. Smith (kicked ball)
11:38.0,C. Lee misses 2-pt shot from 5 ft,,71-86,,
11:36.0,,,71-86,,Defensive rebound by C. Frye
11:22.0,,,71-86,,C. Frye misses 2-pt shot from 19 ft
11:21.0,,,71-86,,Offensive rebound by Team
11:16.0,,,71-86,,J. Smith misses 3-pt shot from 22 ft
11:15.0,,,71-86,,Offensive rebound by T. Thompson
10:58.0,,,71-86,,C. Frye misses 2-pt shot from 9 ft
10:56.0,Defensive rebound by J. Lin,,71-86,,
10:42.0,K. Walker misses 3-pt shot from 25 ft,,71-86,,
10:41.0,Offensive rebound by S. Hawes,,71-86,,
10:37.0,K. Walker makes 2-pt shot from 17 ft (assist by S. Hawes),2,73-86,,
10:18.0,,,73-86,,M. Williams misses 2-pt shot from 17 ft
10:17.0,Defensive rebound by J. Lin,,73-86,,
10:04.0,J. Lin misses 3-pt shot from 24 ft,,73-86,,
10:02.0,Offensive rebound by S. Hawes,,73-86,,
10:00.0,S. Hawes makes 2-pt shot from 1 ft,2,75-86,,
10:00.0,,,75-86,,Cleveland full timeout
10:00.0,,,75-86,,L. James enters the game for J. Smith
9:48.0,,,75-88,2,L. James makes 2-pt shot from 2 ft
9:48.0,,,75-88,,Shooting foul by C. Lee (drawn by L. James)
9:48.0,,,75-89,1,L. James makes free throw 1 of 1
9:30.0,,,75-89,,Personal foul by L. James
9:23.0,Shooting foul by I. Shumpert (drawn by K. Walker),,75-89,,
9:23.0,K. Walker makes free throw 1 of 2,1,76-89,,
9:23.0,F. Kaminsky enters the game for C. Lee,,76-89,,
9:23.0,K. Walker makes free throw 2 of 2,1,77-89,,
9:10.0,,,77-89,,Turnover by L. James (lost ball; steal by M. Williams)
9:06.0,Shooting foul by L. James (drawn by J. Lin),,77-89,,
9:06.0,J. Lin makes free throw 1 of 2,1,78-89,,
9:06.0,J. Lin makes free throw 2 of 2,1,79-89,,
8:46.0,,,79-89,,L. James misses 2-pt shot from 21 ft
8:44.0,Defensive rebound by M. Williams,,79-89,,
8:38.0,Turnover by K. Walker (lost ball; steal by I. Shumpert),,79-89,,
8:38.0,Personal foul by F. Kaminsky,,79-89,,
8:18.0,,,79-89,,L. James misses 2-pt shot from 13 ft
8:16.0,Defensive rebound by F. Kaminsky,,79-89,,
8:03.0,J. Lin makes 2-pt shot from 1 ft (assist by F. Kaminsky),2,81-89,,
7:44.0,,,81-89,,C. Frye misses 3-pt shot from 24 ft
7:43.0,Defensive rebound by S. Hawes,,81-89,,
7:33.0,J. Lin misses 2-pt shot at rim,,81-89,,
7:32.0,,,81-89,,Defensive rebound by C. Frye
7:20.0,,,81-91,2,I. Shumpert makes 2-pt shot from 16 ft (assist by L. James)
6:56.0,K. Walker misses 3-pt shot from 24 ft,,81-91,,
6:56.0,,,81-91,,Defensive rebound by L. James
6:51.0,,,81-91,,K. Love enters the game for C. Frye
6:51.0,,,81-91,,M. Dellavedova enters the game for M. Williams
6:43.0,,,81-91,,M. Dellavedova misses 2-pt shot from 6 ft
6:42.0,Defensive rebound by S. Hawes,,81-91,,
6:32.0,S. Hawes makes 3-pt shot from 23 ft (assist by K. Walker),3,84-91,,
6:07.0,,,84-94,3,K. Love makes 3-pt shot from 23 ft (assist by M. Dellavedova)
5:41.0,M. Williams makes 2-pt shot from 3 ft (assist by S. Hawes),2,86-94,,
5:31.0,Personal foul by M. Williams,,86-94,,
5:31.0,Official timeout,,86-94,,
5:31.0,,,86-94,,J. Smith enters the game for T. Thompson
5:31.0,C. Lee enters the game for F. Kaminsky,,86-94,,
5:31.0,C. Zeller enters the game for S. Hawes,,86-94,,
5:16.0,,,86-94,,L. James misses 2-pt shot from 7 ft
5:16.0,,,86-94,,Offensive rebound by K. Love
5:11.0,,,86-94,,L. James misses 2-pt shot from 2 ft
5:08.0,,,86-94,,Offensive rebound by L. James
5:08.0,,,86-96,2,L. James makes 2-pt shot at rim
4:49.0,J. Lin makes 3-pt shot from 27 ft (assist by M. Williams),3,89-96,,
4:30.0,,,89-96,,Turnover by J. Smith (lost ball; steal by C. Lee)
4:25.0,C. Lee makes 2-pt shot from 22 ft (assist by K. Walker),2,91-96,,
4:25.0,,,91-96,,Loose ball foul by K. Love
4:25.0,J. Lin makes free throw 1 of 1,1,92-96,,
4:06.0,,,92-99,3,J. Smith makes 3-pt shot from 23 ft (assist by K. Love)
3:47.0,J. Lin makes 2-pt shot from 16 ft,2,94-99,,
3:27.0,,,94-101,2,L. James makes 2-pt shot at rim (assist by M. Dellavedova)
3:05.0,Turnover by J. Lin (bad pass),,94-101,,
2:46.0,,,94-104,3,K. Love makes 3-pt shot from 24 ft (assist by I. Shumpert)
2:46.0,Charlotte full timeout,,94-104,,
2:32.0,M. Williams makes 3-pt shot from 26 ft (assist by K. Walker),3,97-104,,
2:09.0,,,97-106,2,L. James makes 2-pt shot at rim (assist by M. Dellavedova)
1:44.0,J. Lin misses 3-pt shot from 26 ft,,97-106,,
1:43.0,Offensive rebound by C. Lee,,97-106,,
1:39.0,K. Walker misses 3-pt shot from 24 ft,,97-106,,
1:38.0,,,97-106,,Defensive rebound by M. Dellavedova
1:22.0,,,97-108,2,L. James makes 2-pt shot from 2 ft (assist by M. Dellavedova)
1:05.0,,,97-108,,Shooting block foul by K. Love (drawn by C. Zeller)
1:05.0,C. Zeller makes free throw 1 of 2,1,98-108,,
1:05.0,C. Zeller makes free throw 2 of 2,1,99-108,,
0:49.0,,,99-108,,M. Dellavedova misses 2-pt shot from 1 ft (block by K. Walker)
0:48.0,,,99-108,,Offensive rebound by Team
0:46.0,,,99-108,,K. Love misses 3-pt shot from 23 ft
0:45.0,Defensive rebound by Team,,99-108,,
0:45.0,,,99-108,,Loose ball foul by L. James
0:45.0,M. Williams makes free throw 1 of 2,1,100-108,,
0:45.0,M. Williams makes free throw 2 of 2,1,101-108,,
0:45.0,,,101-108,,Cleveland full timeout
0:45.0,,,101-108,,Cleveland full timeout
0:44.0,Personal foul by J. Lin,,101-108,,
0:41.0,,,101-110,2,J. Smith makes 2-pt shot at rim (assist by K. Love)
0:33.0,K. Walker makes 2-pt shot from 1 ft,2,103-110,,
0:28.0,,,103-112,2,J. Smith makes 2-pt shot from 1 ft (assist by L. James)
0:28.0,Charlotte full timeout,,103-112,,
0:22.0,K. Walker misses 3-pt shot from 27 ft,,103-112,,
0:21.0,,,103-112,,Defensive rebound by L. James
0:00.0,End of 4th quarter,,,,End of 4th quarter
