time,New York,pts.away,score,pts.home,Houston
7:35.0,J. Calderon makes free throw 2 of 2,1,8-6,,
7:23.0,,,8-8,2,J. Terry makes 2-pt shot from 12 ft
7:07.0,Turnover by C. Anthony (lost ball; steal by J. Harden),,8-8,,
7:03.0,,,8-10,2,J. Harden makes 2-pt shot at rim
6:44.0,A. Afflalo misses 2-pt shot from 20 ft,,8-10,,
6:43.0,Offensive rebound by R. Lopez,,8-10,,
6:24.0,A. Afflalo misses 3-pt shot from 23 ft,,8-10,,
6:22.0,,,8-10,,Defensive rebound by C. Capela
6:14.0,,,8-13,3,J. Harden makes 3-pt shot from 25 ft (assist by T. Ariza)
5:54.0,J. Calderon misses 3-pt shot from 26 ft,,8-13,,
5:53.0,,,8-13,,Defensive rebound by T. Ariza
5:47.0,,,8-15,2,C. Capela makes 2-pt shot at rim (assist by J. Harden)
5:43.0,New York full timeout,,8-15,,
5:43.0,,,8-15,,T. Lawson enters the game for C. Capela
5:43.0,,,8-15,,M. Harrell enters the game for J. Terry
5:29.0,C. Anthony makes 2-pt shot from 17 ft (assist by K. Porzingis),2,10-15,,
5:06.0,,,10-17,2,J. Harden makes 2-pt shot from 17 ft
4:43.0,Shooting foul by T. Jones (drawn by R. Lopez),,10-17,,
4:43.0,R. Lopez makes free throw 1 of 2,1,11-17,,
4:43.0,R. Lopez makes free throw 2 of 2,1,12-17,,
4:25.0,,,12-17,,T. Jones misses 2-pt shot from 2 ft
4:24.0,Defensive rebound by R. Lopez,,12-17,,
4:14.0,K. Porzingis makes 2-pt shot from 14 ft (assist by J. Calderon),2,14-17,,
4:02.0,,,14-17,,J. Harden misses 2-pt shot from 13 ft
4:01.0,Defensive rebound by A. Afflalo,,14-17,,
3:52.0,J. Calderon makes 3-pt shot from 25 ft (assist by R. Lopez),3,17-17,,
3:38.0,Personal foul by J. Calderon (drawn by T. Jones),,17-17,,
3:38.0,L. Galloway enters the game for J. Calderon,,17-17,,
3:38.0,K. Seraphin enters the game for R. Lopez,,17-17,,
3:38.0,,,17-17,,C. Brewer enters the game for T. Ariza
3:38.0,L. Thomas enters the game for K. Porzingis,,17-17,,
3:31.0,,,17-17,,J. Harden misses 2-pt shot from 2 ft
3:31.0,Defensive rebound by Team,,17-17,,
3:17.0,,,17-17,,Personal foul by C. Brewer (drawn by C. Anthony)
3:08.0,C. Anthony misses 2-pt shot from 17 ft,,17-17,,
3:06.0,Offensive rebound by Team,,17-17,,
3:06.0,J. Grant enters the game for A. Afflalo,,17-17,,
3:06.0,,,17-17,,Houston full timeout
3:06.0,,,17-17,,C. Capela enters the game for T. Jones
3:06.0,,,17-17,,M. Thornton enters the game for J. Harden
2:49.0,K. Seraphin misses 2-pt shot from 6 ft,,17-17,,
2:48.0,,,17-17,,Defensive rebound by M. Thornton
2:37.0,,,17-17,,C. Capela misses 2-pt shot from 4 ft
2:36.0,,,17-17,,Offensive rebound by M. Harrell
2:31.0,,,17-19,2,M. Thornton makes 2-pt shot from 1 ft (assist by T. Lawson)
2:18.0,Offensive charge foul by C. Anthony,,17-19,,
2:18.0,Turnover by C. Anthony (offensive foul),,17-19,,
2:18.0,D. Williams enters the game for C. Anthony,,17-19,,
2:06.0,,,17-19,,Shooting foul by D. Williams (drawn by M. Harrell)
2:06.0,,,17-20,1,M. Harrell makes free throw 1 of 2
2:06.0,,,17-20,,M. Harrell misses free throw 2 of 2
2:04.0,,,17-20,,Offensive rebound by C. Brewer
1:55.0,,,17-22,2,M. Thornton makes 2-pt shot from 7 ft
1:33.0,L. Galloway makes 2-pt shot from 4 ft (assist by K. Seraphin),2,19-22,,
1:26.0,,,19-22,,Turnover by T. Lawson (lost ball; steal by J. Grant)
1:18.0,L. Thomas misses 2-pt shot from 1 ft,,19-22,,
1:17.0,,,19-22,,Defensive rebound by C. Capela
1:04.0,,,19-24,2,M. Harrell makes 2-pt shot from 5 ft (assist by C. Brewer)
0:48.0,K. Seraphin makes 2-pt shot from 13 ft (assist by L. Galloway),2,21-24,,
0:38.0,,,21-24,,M. Harrell misses 2-pt shot from 12 ft
0:37.0,,,21-24,,Offensive rebound by C. Capela
0:36.0,,,21-26,2,C. Capela makes 2-pt shot from 2 ft
0:27.0,,,21-26,,Def 3 sec tech foul by C. Capela
0:27.0,L. Galloway makes technical free throw,1,22-26,,
0:23.0,Shooting foul by M. Harrell (drawn by D. Williams),,22-26,,
0:23.0,D. Williams makes free throw 1 of 2,1,23-26,,
0:23.0,,,23-26,,J. Harden enters the game for M. Harrell
0:23.0,A. Afflalo enters the game for J. Grant,,23-26,,
0:23.0,D. Williams makes free throw 2 of 2,1,24-26,,
0:04.0,Personal take foul by L. Thomas (drawn by J. Harden),,24-26,,
0:00.0,,,24-26,,J. Harden misses 2-pt shot from 11 ft
0:00.0,,,24-26,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,D. Williams misses 2-pt shot from 12 ft,,24-26,,
11:44.0,Offensive rebound by K. Seraphin,,24-26,,
11:38.0,L. Thomas misses 3-pt shot from 24 ft,,24-26,,
11:37.0,,,24-26,,Defensive rebound by C. Capela
11:26.0,,,24-26,,M. Thornton misses 2-pt shot from 2 ft
11:25.0,,,24-26,,Offensive rebound by C. Capela
11:25.0,,,24-26,,Shooting foul by L. Galloway (drawn by C. Capela)
11:25.0,,,24-27,1,C. Capela makes free throw 1 of 2
11:25.0,,,24-27,,C. Capela misses free throw 2 of 2
11:25.0,Defensive rebound by D. Williams,,24-27,,
11:16.0,J. Grant misses 2-pt shot from 1 ft (block by M. Harrell),,24-27,,
11:14.0,,,24-27,,Defensive rebound by T. Lawson
11:11.0,,,24-27,,T. Lawson misses 2-pt shot from 2 ft
11:08.0,Defensive rebound by L. Galloway,,24-27,,
11:06.0,,,24-27,,Shooting block foul by C. Capela (drawn by D. Williams)
11:06.0,D. Williams makes free throw 1 of 2,1,25-27,,
11:06.0,D. Williams makes free throw 2 of 2,1,26-27,,
10:52.0,,,26-27,,Turnover by T. Lawson (turnover)
10:42.0,L. Galloway misses 2-pt shot from 3 ft,,26-27,,
10:41.0,Offensive rebound by K. Seraphin,,26-27,,
10:41.0,K. Seraphin misses 2-pt shot at rim,,26-27,,
10:40.0,Offensive rebound by K. Seraphin,,26-27,,
10:26.0,L. Galloway misses 3-pt shot from 25 ft,,26-27,,
10:26.0,,,26-27,,Defensive rebound by M. Thornton
10:23.0,Personal foul by J. Grant (drawn by M. Thornton),,26-27,,
10:23.0,,,26-27,,T. Jones enters the game for M. Harrell
10:18.0,,,26-27,,Turnover by T. Lawson (turnover)
10:05.0,J. Grant misses 2-pt shot from 8 ft,,26-27,,
10:04.0,,,26-27,,Defensive rebound by C. Capela
9:57.0,,,26-27,,Offensive foul by C. Capela
9:57.0,,,26-27,,Turnover by C. Capela (offensive foul)
9:43.0,K. Seraphin misses 2-pt shot from 9 ft,,26-27,,
9:42.0,,,26-27,,Defensive rebound by T. Jones
9:26.0,,,26-27,,T. Jones misses 2-pt shot from 4 ft
9:25.0,,,26-27,,Offensive rebound by C. Capela
9:25.0,,,26-29,2,C. Capela makes 2-pt shot at rim
9:25.0,,,26-29,,Shooting foul by K. Seraphin (drawn by C. Capela)
9:25.0,R. Lopez enters the game for K. Seraphin,,26-29,,
9:25.0,K. Porzingis enters the game for D. Williams,,26-29,,
9:25.0,,,26-30,1,C. Capela makes free throw 1 of 1
9:05.0,L. Thomas misses 3-pt shot from 24 ft,,26-30,,
9:04.0,Offensive rebound by R. Lopez,,26-30,,
8:45.0,J. Grant misses 2-pt shot from 10 ft,,26-30,,
8:44.0,Offensive rebound by L. Galloway,,26-30,,
8:44.0,L. Galloway makes 2-pt shot from 1 ft,2,28-30,,
8:26.0,,,28-32,2,M. Thornton makes 2-pt shot from 18 ft
8:11.0,K. Porzingis makes 3-pt shot from 24 ft (assist by L. Galloway),3,31-32,,
7:48.0,,,31-32,,Turnover by M. Thornton (bad pass; steal by L. Thomas)
7:41.0,K. Porzingis misses 2-pt shot from 3 ft,,31-32,,
7:40.0,,,31-32,,Defensive rebound by T. Jones
7:33.0,,,31-32,,C. Brewer misses 3-pt shot from 25 ft
7:33.0,,,31-32,,Offensive rebound by T. Jones
7:33.0,,,31-34,2,T. Jones makes 2-pt shot at rim
7:33.0,,,31-34,,Shooting foul by R. Lopez (drawn by T. Jones)
7:33.0,,,31-34,,Houston full timeout
7:33.0,C. Anthony enters the game for L. Galloway,,31-34,,
7:33.0,A. Afflalo enters the game for L. Thomas,,31-34,,
7:33.0,J. Calderon enters the game for J. Grant,,31-34,,
7:33.0,,,31-34,,J. Harden enters the game for C. Capela
7:33.0,,,31-34,,T. Ariza enters the game for T. Lawson
7:33.0,,,31-34,,M. Harrell enters the game for C. Brewer
7:33.0,,,31-34,,J. Terry enters the game for M. Thornton
7:33.0,,,31-35,1,T. Jones makes free throw 1 of 1
7:10.0,K. Porzingis makes 2-pt shot from 7 ft,2,33-35,,
6:52.0,,,33-35,,T. Jones misses 2-pt shot from 2 ft
6:51.0,,,33-35,,Offensive rebound by T. Jones
6:51.0,,,33-35,,Shooting foul by J. Calderon (drawn by T. Jones)
6:51.0,,,33-35,,T. Jones misses free throw 1 of 2
6:51.0,,,33-35,,Offensive rebound by Team
6:51.0,,,33-36,1,T. Jones makes free throw 2 of 2
6:35.0,K. Porzingis makes 3-pt shot from 26 ft (assist by R. Lopez),3,36-36,,
6:25.0,Def 3 sec tech foul by R. Lopez,,36-36,,
6:25.0,,,36-37,1,J. Harden makes technical free throw
6:13.0,,,36-39,2,T. Ariza makes 2-pt shot from 12 ft
5:55.0,A. Afflalo misses 2-pt shot from 2 ft (block by M. Harrell),,36-39,,
5:55.0,Offensive rebound by Team,,36-39,,
5:55.0,,,36-39,,Houston full timeout
5:55.0,Turnover by Team (5 sec inbounds),,36-39,,
5:46.0,Violation by K. Porzingis (kicked ball),,36-39,,
5:31.0,,,36-39,,J. Terry misses 3-pt shot from 25 ft
5:30.0,Defensive rebound by A. Afflalo,,36-39,,
5:18.0,A. Afflalo makes 3-pt shot from 24 ft (assist by J. Calderon),3,39-39,,
5:07.0,,,39-39,,J. Harden misses 2-pt shot from 17 ft
5:06.0,Defensive rebound by R. Lopez,,39-39,,
5:01.0,Shooting foul by M. Harrell (drawn by A. Afflalo),,39-39,,
5:01.0,A. Afflalo misses free throw 1 of 2,,39-39,,
5:01.0,Offensive rebound by Team,,39-39,,
5:01.0,,,39-39,,C. Capela enters the game for M. Harrell
5:01.0,A. Afflalo misses free throw 2 of 2,,39-39,,
5:01.0,,,39-39,,Defensive rebound by C. Capela
4:44.0,Personal foul by R. Lopez (drawn by C. Capela),,39-39,,
4:44.0,,,39-39,,C. Capela misses free throw 1 of 2
4:44.0,,,39-39,,Offensive rebound by Team
4:44.0,Violation by K. Porzingis (lane),,39-39,,
4:44.0,,,39-39,,C. Capela misses free throw 2 of 2
4:44.0,Defensive rebound by K. Porzingis,,39-39,,
4:27.0,C. Anthony makes 2-pt shot from 1 ft,2,41-39,,
4:12.0,,,41-41,2,C. Capela makes 2-pt shot at rim (assist by J. Harden)
3:57.0,Offensive foul by C. Anthony,,41-41,,
3:57.0,Turnover by C. Anthony (offensive foul),,41-41,,
3:36.0,,,41-41,,Shooting foul by C. Anthony (drawn by T. Ariza)
3:36.0,,,41-41,,T. Ariza misses free throw 1 of 2
3:36.0,,,41-41,,Offensive rebound by Team
3:36.0,L. Thomas enters the game for C. Anthony,,41-41,,
3:36.0,,,41-42,1,T. Ariza makes free throw 2 of 2
3:20.0,K. Porzingis makes 2-pt shot from 19 ft,2,43-42,,
3:08.0,,,43-45,3,T. Ariza makes 3-pt shot from 23 ft (assist by J. Harden)
2:53.0,L. Thomas makes 2-pt shot from 16 ft (assist by J. Calderon),2,45-45,,
2:34.0,,,45-45,,J. Harden misses 2-pt shot from 2 ft
2:33.0,Defensive rebound by A. Afflalo,,45-45,,
2:24.0,A. Afflalo makes 2-pt shot from 10 ft,2,47-45,,
2:12.0,,,47-45,,Houston full timeout
2:12.0,New York full timeout,,47-45,,
1:52.0,,,47-48,3,J. Terry makes 3-pt shot from 24 ft
1:30.0,R. Lopez makes 2-pt shot from 1 ft,2,49-48,,
1:30.0,Shooting foul by C. Capela (drawn by R. Lopez),,49-48,,
1:30.0,L. Galloway enters the game for J. Calderon,,49-48,,
1:30.0,,,49-48,,M. Harrell enters the game for C. Capela
1:30.0,R. Lopez misses free throw 1 of 1,,49-48,,
1:30.0,Offensive rebound by L. Thomas,,49-48,,
1:11.0,L. Galloway makes 3-pt shot from 24 ft (assist by L. Thomas),3,52-48,,
1:03.0,,,52-48,,Offensive foul by T. Jones
1:03.0,,,52-48,,Turnover by T. Jones (offensive foul)
0:49.0,A. Afflalo makes 3-pt shot from 24 ft (assist by L. Thomas),3,55-48,,
0:37.0,,,55-51,3,J. Harden makes 3-pt shot from 24 ft
0:29.0,,,55-51,,Personal foul by J. Terry (drawn by L. Galloway)
0:29.0,L. Galloway makes free throw 1 of 2,1,56-51,,
0:29.0,K. Seraphin enters the game for R. Lopez,,56-51,,
0:29.0,,,56-51,,M. Thornton enters the game for T. Jones
0:29.0,J. Grant enters the game for K. Porzingis,,56-51,,
0:29.0,L. Galloway misses free throw 2 of 2,,56-51,,
0:29.0,,,56-51,,Defensive rebound by T. Ariza
0:09.0,Personal foul by L. Thomas (drawn by J. Harden),,56-51,,
0:09.0,,,56-52,1,J. Harden makes free throw 1 of 2
0:09.0,,,56-52,,C. Brewer enters the game for J. Terry
0:09.0,K. Porzingis enters the game for K. Seraphin,,56-52,,
0:09.0,,,56-53,1,J. Harden makes free throw 2 of 2
0:01.0,Shooting foul by C. Brewer (drawn by J. Grant),,56-53,,
0:01.0,J. Grant makes free throw 1 of 2,1,57-53,,
0:01.0,J. Grant makes free throw 2 of 2,1,58-53,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,J. Calderon misses 3-pt shot from 23 ft,,58-53,,
11:44.0,Offensive rebound by C. Anthony,,58-53,,
11:41.0,C. Anthony makes 2-pt shot from 17 ft,2,60-53,,
11:25.0,,,60-53,,J. Terry misses 3-pt shot from 24 ft
11:25.0,Defensive rebound by A. Afflalo,,60-53,,
11:01.0,A. Afflalo misses 3-pt shot from 29 ft,,60-53,,
11:00.0,,,60-53,,Defensive rebound by T. Ariza
10:53.0,,,60-53,,T. Ariza misses 3-pt shot from 24 ft
10:52.0,,,60-53,,Offensive rebound by C. Capela
10:49.0,,,60-55,2,T. Jones makes 2-pt shot at rim (assist by C. Capela)
10:29.0,Turnover by R. Lopez (lost ball),,60-55,,
10:29.0,Loose ball foul by R. Lopez (drawn by J. Harden),,60-55,,
10:14.0,,,60-57,2,J. Harden makes 2-pt shot from 11 ft
9:53.0,A. Afflalo misses 2-pt shot from 5 ft,,60-57,,
9:52.0,Offensive rebound by R. Lopez,,60-57,,
9:52.0,R. Lopez misses 2-pt shot from 1 ft,,60-57,,
9:51.0,,,60-57,,Defensive rebound by C. Capela
9:33.0,,,60-57,,Turnover by T. Ariza (3 sec)
9:18.0,J. Calderon makes 3-pt shot from 24 ft (assist by A. Afflalo),3,63-57,,
9:09.0,Personal foul by C. Anthony (drawn by J. Harden),,63-57,,
9:09.0,L. Thomas enters the game for C. Anthony,,63-57,,
8:56.0,,,63-57,,T. Jones misses 2-pt shot from 2 ft (block by K. Porzingis)
8:55.0,,,63-57,,Offensive rebound by C. Capela
8:54.0,,,63-59,2,C. Capela makes 2-pt shot at rim
8:26.0,A. Afflalo misses 2-pt shot from 18 ft,,63-59,,
8:24.0,,,63-59,,Defensive rebound by T. Ariza
8:11.0,,,63-59,,T. Ariza misses 3-pt shot from 23 ft
8:10.0,Defensive rebound by K. Porzingis,,63-59,,
8:05.0,Turnover by L. Thomas (traveling),,63-59,,
7:54.0,,,63-59,,J. Terry misses 3-pt shot from 24 ft
7:53.0,Defensive rebound by K. Porzingis,,63-59,,
7:36.0,K. Porzingis makes 2-pt shot from 9 ft (assist by A. Afflalo),2,65-59,,
7:29.0,,,65-61,2,T. Jones makes 2-pt shot at rim (assist by J. Harden)
7:29.0,New York full timeout,,65-61,,
7:10.0,A. Afflalo makes 2-pt shot from 1 ft,2,67-61,,
6:52.0,Violation by L. Thomas (kicked ball),,67-61,,
6:38.0,,,67-61,,J. Terry misses 2-pt shot from 11 ft
6:36.0,,,67-61,,Offensive rebound by T. Jones
6:28.0,,,67-63,2,C. Capela makes 2-pt shot at rim (assist by J. Harden)
5:58.0,J. Calderon makes 3-pt shot from 24 ft (assist by K. Porzingis),3,70-63,,
5:40.0,,,70-63,,T. Jones misses 2-pt shot from 4 ft
5:39.0,Defensive rebound by K. Porzingis,,70-63,,
5:29.0,Turnover by K. Porzingis (lost ball; steal by C. Capela),,70-63,,
5:14.0,,,70-63,,Turnover by J. Harden (back court)
5:14.0,,,70-63,,T. Lawson enters the game for J. Terry
5:14.0,,,70-63,,C. Brewer enters the game for T. Jones
4:54.0,Turnover by A. Afflalo (lost ball; steal by J. Harden),,70-63,,
4:46.0,,,70-66,3,C. Brewer makes 3-pt shot from 22 ft (assist by T. Lawson)
4:25.0,,,70-66,,Personal foul by T. Ariza (drawn by K. Porzingis)
4:25.0,L. Amundson enters the game for R. Lopez,,70-66,,
4:09.0,L. Thomas misses 2-pt shot from 2 ft,,70-66,,
4:08.0,,,70-66,,Defensive rebound by J. Harden
3:52.0,,,70-66,,T. Ariza misses 3-pt shot from 23 ft
3:51.0,,,70-66,,Offensive rebound by C. Capela
3:49.0,,,70-69,3,J. Harden makes 3-pt shot from 24 ft
3:26.0,L. Thomas makes 2-pt shot from 17 ft (assist by L. Amundson),2,72-69,,
3:10.0,,,72-69,,C. Capela misses 2-pt shot from 5 ft (block by K. Porzingis)
3:10.0,,,72-69,,Offensive rebound by C. Brewer
3:10.0,,,72-72,3,C. Brewer makes 3-pt shot from 23 ft
2:46.0,A. Afflalo makes 3-pt shot from 24 ft,3,75-72,,
2:32.0,,,75-72,,J. Harden misses 2-pt shot from 12 ft (block by K. Porzingis)
2:32.0,Defensive rebound by Team,,75-72,,
2:32.0,,,75-72,,Loose ball foul by J. Harden (drawn by L. Thomas)
2:32.0,,,75-72,,Houston full timeout
2:32.0,,,75-72,,M. Thornton enters the game for C. Capela
2:32.0,,,75-72,,T. Jones enters the game for J. Harden
2:32.0,J. Grant enters the game for K. Porzingis,,75-72,,
2:32.0,L. Galloway enters the game for A. Afflalo,,75-72,,
2:32.0,D. Williams enters the game for J. Calderon,,75-72,,
2:11.0,D. Williams misses 3-pt shot from 23 ft,,75-72,,
2:10.0,,,75-72,,Defensive rebound by T. Ariza
2:04.0,,,75-72,,C. Brewer misses 3-pt shot from 22 ft
2:04.0,,,75-72,,Offensive rebound by Team
1:50.0,,,75-72,,Shooting foul by L. Amundson (drawn by T. Jones)
1:50.0,,,75-73,1,T. Jones makes free throw 1 of 2
1:50.0,,,75-74,1,T. Jones makes free throw 2 of 2
1:39.0,Shooting foul by M. Thornton (drawn by J. Grant),,75-74,,
1:39.0,J. Grant makes free throw 1 of 2,1,76-74,,
1:39.0,J. Grant makes free throw 2 of 2,1,77-74,,
1:23.0,,,77-74,,C. Brewer misses 2-pt shot from 4 ft
1:20.0,,,77-74,,Offensive rebound by T. Jones
1:17.0,,,77-74,,T. Jones misses 2-pt shot from 3 ft (block by L. Galloway)
1:16.0,Defensive rebound by L. Thomas,,77-74,,
1:07.0,L. Thomas misses 2-pt shot from 4 ft,,77-74,,
1:07.0,,,77-74,,Defensive rebound by Team
1:02.0,,,77-77,3,M. Thornton makes 3-pt shot from 24 ft
0:47.0,Shooting foul by M. Thornton (drawn by J. Grant),,77-77,,
0:47.0,J. Grant makes free throw 1 of 2,1,78-77,,
0:47.0,J. Grant makes free throw 2 of 2,1,79-77,,
0:35.0,,,79-77,,Turnover by T. Lawson (turnover)
0:27.0,J. Grant misses 2-pt shot from 11 ft,,79-77,,
0:25.0,Offensive rebound by L. Galloway,,79-77,,
0:10.0,L. Galloway misses 3-pt shot from 23 ft,,79-77,,
0:09.0,,,79-77,,Defensive rebound by T. Lawson
0:04.0,,,79-77,,M. Thornton misses 3-pt shot from 25 ft
0:02.0,Defensive rebound by D. Williams,,79-77,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:40.0,,,79-77,,J. Harden misses 2-pt shot from 17 ft
11:39.0,Defensive rebound by D. Williams,,79-77,,
11:29.0,Turnover by L. Amundson (bad pass),,79-77,,
11:15.0,,,79-77,,J. Harden misses 2-pt shot from 16 ft
11:13.0,,,79-77,,Offensive rebound by Team
11:12.0,Personal foul by J. Grant (drawn by C. Capela),,79-77,,
11:04.0,,,79-77,,C. Brewer misses 3-pt shot from 23 ft
11:04.0,Defensive rebound by L. Thomas,,79-77,,
10:48.0,L. Thomas makes 2-pt shot from 20 ft,2,81-77,,
10:35.0,,,81-77,,Turnover by J. Harden (lost ball; steal by L. Galloway)
10:35.0,,,81-77,,Personal foul by C. Capela (drawn by L. Thomas)
10:35.0,,,81-77,,J. Terry enters the game for T. Lawson
10:25.0,D. Williams misses 3-pt shot from 23 ft,,81-77,,
10:25.0,Offensive rebound by Team,,81-77,,
10:25.0,,,81-77,,Loose ball foul by C. Capela
10:25.0,,,81-77,,T. Jones enters the game for C. Capela
10:17.0,D. Williams misses 2-pt shot from 1 ft,,81-77,,
10:16.0,Offensive rebound by D. Williams,,81-77,,
10:15.0,D. Williams makes 2-pt shot from 1 ft,2,83-77,,
9:53.0,,,83-80,3,J. Terry makes 3-pt shot from 23 ft (assist by J. Harden)
9:33.0,Turnover by J. Grant (bad pass; steal by J. Harden),,83-80,,
9:29.0,,,83-82,2,J. Harden makes 2-pt shot at rim
9:09.0,Shooting foul by J. Terry (drawn by L. Amundson),,83-82,,
9:09.0,L. Amundson misses free throw 1 of 2,,83-82,,
9:09.0,Offensive rebound by Team,,83-82,,
9:09.0,C. Anthony enters the game for L. Thomas,,83-82,,
9:09.0,L. Amundson misses free throw 2 of 2,,83-82,,
9:09.0,,,83-82,,Defensive rebound by J. Harden
8:53.0,,,83-82,,Shooting foul by L. Amundson (drawn by T. Jones)
8:53.0,,,83-82,,Houston full timeout
8:53.0,J. Calderon enters the game for J. Grant,,83-82,,
8:53.0,A. Afflalo enters the game for D. Williams,,83-82,,
8:53.0,K. Porzingis enters the game for L. Amundson,,83-82,,
8:53.0,,,83-82,,T. Ariza enters the game for M. Thornton
8:53.0,,,83-82,,T. Jones misses free throw 1 of 2
8:53.0,,,83-82,,Offensive rebound by Team
8:53.0,,,83-83,1,T. Jones makes free throw 2 of 2
8:33.0,C. Anthony misses 2-pt shot from 4 ft,,83-83,,
8:32.0,Offensive rebound by K. Porzingis,,83-83,,
8:32.0,,,83-83,,Loose ball foul by T. Ariza (drawn by K. Porzingis)
8:18.0,L. Galloway makes 3-pt shot from 23 ft (assist by J. Calderon),3,86-83,,
8:02.0,,,86-83,,J. Terry misses 3-pt shot from 24 ft
8:01.0,Defensive rebound by C. Anthony,,86-83,,
7:48.0,A. Afflalo misses 2-pt shot from 3 ft (block by J. Harden),,86-83,,
7:46.0,,,86-83,,Defensive rebound by T. Jones
7:41.0,,,86-85,2,J. Harden makes 2-pt shot from 2 ft (assist by J. Terry)
7:31.0,Shooting foul by T. Jones (drawn by K. Porzingis),,86-85,,
7:31.0,K. Porzingis makes free throw 1 of 2,1,87-85,,
7:31.0,K. Porzingis makes free throw 2 of 2,1,88-85,,
7:09.0,,,88-85,,C. Brewer misses 3-pt shot from 24 ft
7:08.0,Defensive rebound by A. Afflalo,,88-85,,
6:45.0,L. Galloway misses 2-pt shot from 10 ft,,88-85,,
6:44.0,Offensive rebound by C. Anthony,,88-85,,
6:43.0,C. Anthony misses 2-pt shot from 2 ft,,88-85,,
6:43.0,Offensive rebound by Team,,88-85,,
6:43.0,,,88-85,,C. Capela enters the game for T. Jones
6:43.0,,,88-85,,Houston full timeout
6:43.0,,,88-85,,M. Thornton enters the game for C. Brewer
6:27.0,K. Porzingis misses 3-pt shot from 24 ft,,88-85,,
6:26.0,,,88-85,,Defensive rebound by C. Capela
6:19.0,,,88-88,3,M. Thornton makes 3-pt shot from 23 ft (assist by J. Harden)
5:53.0,A. Afflalo makes 3-pt shot from 23 ft (assist by J. Calderon),3,91-88,,
5:32.0,,,91-88,,M. Thornton misses 2-pt shot from 6 ft
5:30.0,,,91-88,,Offensive rebound by J. Harden
5:26.0,,,91-91,3,J. Terry makes 3-pt shot from 25 ft (assist by T. Ariza)
5:04.0,K. Porzingis misses 2-pt shot from 5 ft,,91-91,,
5:03.0,Offensive rebound by K. Porzingis,,91-91,,
5:03.0,Shooting foul by C. Capela (drawn by K. Porzingis),,91-91,,
5:03.0,,,91-91,,T. Jones enters the game for C. Capela
5:03.0,K. Porzingis makes free throw 1 of 2,1,92-91,,
5:03.0,K. Porzingis makes free throw 2 of 2,1,93-91,,
4:52.0,,,93-91,,Shooting foul by K. Porzingis (drawn by T. Jones)
4:52.0,,,93-92,1,T. Jones makes free throw 1 of 2
4:52.0,,,93-93,1,T. Jones makes free throw 2 of 2
4:36.0,A. Afflalo misses 3-pt shot from 25 ft,,93-93,,
4:35.0,Offensive rebound by K. Porzingis,,93-93,,
4:17.0,K. Porzingis makes 2-pt shot from 19 ft (assist by J. Calderon),2,95-93,,
