time,Boston,pts.away,score,pts.home,Charlotte
6:00.0,J. Crowder misses 3-pt shot from 25 ft,,58-55,,
5:58.0,Offensive rebound by Team,,58-55,,
5:51.0,J. Crowder makes 3-pt shot from 24 ft (assist by I. Thomas),3,61-55,,
5:37.0,Personal foul by A. Bradley (drawn by K. Walker),,61-55,,
5:26.0,,,61-55,,K. Walker misses 2-pt shot from 2 ft
5:25.0,,,61-55,,Offensive rebound by K. Walker
5:25.0,,,61-55,,K. Walker misses 2-pt shot from 2 ft
5:24.0,Defensive rebound by K. Olynyk,,61-55,,
5:24.0,,,61-55,,Technical foul by K. Walker
5:24.0,I. Thomas makes technical free throw,1,62-55,,
5:10.0,I. Thomas makes 2-pt shot from 15 ft (assist by A. Johnson),2,64-55,,
4:50.0,,,64-57,2,N. Batum makes 2-pt shot from 15 ft
4:39.0,,,64-57,,J. Lin enters the game for P. Hairston
4:39.0,,,64-57,,F. Kaminsky enters the game for M. Williams
4:28.0,I. Thomas makes 3-pt shot from 28 ft,3,67-57,,
4:20.0,,,67-57,,Turnover by J. Lin (traveling)
4:08.0,K. Olynyk makes 2-pt shot from 1 ft (assist by I. Thomas),2,69-57,,
4:02.0,,,69-57,,Charlotte full timeout
3:56.0,,,69-57,,N. Batum misses 3-pt shot from 25 ft
3:54.0,Defensive rebound by A. Johnson,,69-57,,
3:40.0,A. Bradley misses 2-pt shot from 17 ft,,69-57,,
3:38.0,,,69-57,,Defensive rebound by F. Kaminsky
3:20.0,,,69-57,,K. Walker misses 2-pt shot from 2 ft
3:19.0,,,69-57,,Offensive rebound by C. Zeller
3:19.0,,,69-59,2,C. Zeller makes 2-pt shot at rim
3:05.0,A. Bradley makes 2-pt shot at rim (assist by A. Johnson),2,71-59,,
2:46.0,,,71-59,,J. Lin misses 2-pt shot from 18 ft
2:45.0,Defensive rebound by K. Olynyk,,71-59,,
2:37.0,J. Crowder misses 3-pt shot from 25 ft,,71-59,,
2:35.0,,,71-59,,Defensive rebound by F. Kaminsky
2:28.0,Boston full timeout,,71-59,,
2:28.0,E. Turner enters the game for J. Crowder,,71-59,,
2:28.0,J. Young enters the game for A. Johnson,,71-59,,
2:28.0,D. Lee enters the game for I. Thomas,,71-59,,
2:28.0,,,71-59,,S. Hawes enters the game for C. Zeller
2:28.0,,,71-59,,J. Lamb enters the game for K. Walker
2:19.0,,,71-62,3,J. Lamb makes 3-pt shot from 25 ft (assist by J. Lin)
1:58.0,E. Turner makes 2-pt shot at rim,2,73-62,,
1:42.0,,,73-62,,J. Lamb misses 2-pt shot from 1 ft
1:41.0,Defensive rebound by D. Lee,,73-62,,
1:22.0,J. Young misses 3-pt shot from 22 ft,,73-62,,
1:21.0,,,73-62,,Defensive rebound by F. Kaminsky
1:11.0,,,73-64,2,N. Batum makes 2-pt shot from 1 ft
0:48.0,D. Lee misses 2-pt shot from 4 ft,,73-64,,
0:46.0,,,73-64,,Defensive rebound by F. Kaminsky
0:39.0,Personal foul by E. Turner (drawn by N. Batum),,73-64,,
0:33.0,,,73-66,2,N. Batum makes 2-pt shot from 11 ft
0:29.0,E. Turner misses 2-pt shot from 15 ft,,73-66,,
0:28.0,,,73-66,,Defensive rebound by N. Batum
0:07.0,,,73-69,3,N. Batum makes 3-pt shot from 24 ft
0:02.0,K. Olynyk misses 2-pt shot from 19 ft,,73-69,,
0:00.0,Offensive rebound by Team,,73-69,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:49.0,D. Lee misses 2-pt shot from 1 ft,,73-69,,
11:47.0,,,73-69,,Defensive rebound by J. Lamb
11:33.0,,,73-69,,J. Lamb misses 2-pt shot from 18 ft
11:32.0,Defensive rebound by D. Lee,,73-69,,
11:20.0,E. Turner makes 2-pt shot at rim (assist by D. Lee),2,75-69,,
11:08.0,,,75-71,2,J. Lin makes 2-pt shot from 20 ft (assist by S. Hawes)
10:51.0,K. Olynyk misses 2-pt shot from 18 ft,,75-71,,
10:49.0,,,75-71,,Defensive rebound by J. Lamb
10:38.0,,,75-73,2,J. Lin makes 2-pt shot from 17 ft (assist by S. Hawes)
10:20.0,D. Lee misses 2-pt shot from 2 ft,,75-73,,
10:18.0,,,75-73,,Defensive rebound by S. Hawes
10:03.0,,,75-73,,Turnover by J. Lamb (bad pass; steal by J. Young)
9:51.0,Shooting foul by S. Hawes (drawn by D. Lee),,75-73,,
9:51.0,D. Lee makes free throw 1 of 2,1,76-73,,
9:51.0,D. Lee makes free throw 2 of 2,1,77-73,,
9:41.0,,,77-75,2,J. Lamb makes 2-pt shot from 1 ft (assist by M. Williams)
9:41.0,,,77-75,,Shooting foul by E. Turner (drawn by J. Lamb)
9:41.0,,,77-76,1,J. Lamb makes free throw 1 of 1
9:27.0,E. Turner makes 2-pt shot from 17 ft (assist by D. Lee),2,79-76,,
9:17.0,Personal foul by I. Thomas (drawn by J. Lin),,79-76,,
9:05.0,,,79-76,,S. Hawes misses 2-pt shot from 6 ft
9:04.0,Defensive rebound by J. Young,,79-76,,
8:43.0,I. Thomas misses 3-pt shot from 25 ft,,79-76,,
8:43.0,,,79-76,,Defensive rebound by Team
8:43.0,Official timeout,,79-76,,
8:43.0,J. Crowder enters the game for J. Young,,79-76,,
8:35.0,,,79-76,,Shooting foul by D. Lee (drawn by J. Lin)
8:35.0,,,79-77,1,J. Lin makes free throw 1 of 2
8:35.0,,,79-77,,N. Batum enters the game for M. Williams
8:35.0,,,79-78,1,J. Lin makes free throw 2 of 2
8:18.0,K. Olynyk makes 2-pt shot from 1 ft,2,81-78,,
8:04.0,,,81-81,3,J. Lamb makes 3-pt shot from 24 ft (assist by S. Hawes)
7:48.0,D. Lee misses 2-pt shot from 2 ft,,81-81,,
7:47.0,,,81-81,,Defensive rebound by S. Hawes
7:38.0,,,81-81,,J. Lin misses 2-pt shot from 16 ft
7:37.0,Defensive rebound by I. Thomas,,81-81,,
7:19.0,E. Turner misses 2-pt shot from 8 ft,,81-81,,
7:18.0,,,81-81,,Defensive rebound by S. Hawes
7:04.0,,,81-81,,J. Lamb misses 2-pt shot from 13 ft
7:03.0,Defensive rebound by D. Lee,,81-81,,
6:54.0,Turnover by I. Thomas (bad pass; steal by J. Lamb),,81-81,,
6:54.0,,,81-81,,Turnover by N. Batum (bad pass; steal by D. Lee)
6:54.0,,,81-81,,Personal foul by J. Lin (drawn by J. Crowder)
6:54.0,Technical foul by I. Thomas,,81-81,,
6:54.0,,,81-82,1,N. Batum makes technical free throw
6:54.0,A. Johnson enters the game for D. Lee,,81-82,,
6:43.0,K. Olynyk misses 2-pt shot from 11 ft,,81-82,,
6:42.0,,,81-82,,Defensive rebound by J. Lin
6:35.0,,,81-82,,J. Lamb misses 3-pt shot from 25 ft
6:33.0,Defensive rebound by I. Thomas,,81-82,,
6:31.0,,,81-82,,Personal foul by J. Lin (drawn by I. Thomas)
6:31.0,A. Bradley enters the game for I. Thomas,,81-82,,
6:31.0,,,81-82,,K. Walker enters the game for J. Lamb
6:23.0,K. Olynyk makes 2-pt shot from 1 ft (assist by E. Turner),2,83-82,,
6:06.0,,,83-84,2,S. Hawes makes 2-pt shot from 1 ft
5:45.0,A. Bradley misses 2-pt shot from 21 ft,,83-84,,
5:43.0,,,83-84,,Defensive rebound by K. Walker
5:23.0,,,83-84,,N. Batum misses 3-pt shot from 29 ft
5:21.0,Defensive rebound by A. Bradley,,83-84,,
5:10.0,A. Johnson misses 3-pt shot from 25 ft,,83-84,,
5:07.0,,,83-84,,Defensive rebound by F. Kaminsky
4:55.0,,,83-84,,S. Hawes misses 3-pt shot from 24 ft
4:53.0,,,83-84,,Offensive rebound by K. Walker
4:51.0,,,83-84,,Turnover by K. Walker (traveling)
4:51.0,,,83-84,,Charlotte full timeout
4:51.0,I. Thomas enters the game for K. Olynyk,,83-84,,
4:51.0,,,83-84,,M. Williams enters the game for F. Kaminsky
4:40.0,J. Crowder misses 3-pt shot from 23 ft,,83-84,,
4:38.0,,,83-84,,Defensive rebound by N. Batum
4:24.0,,,83-86,2,N. Batum makes 2-pt shot from 17 ft
4:10.0,A. Bradley makes 3-pt shot from 24 ft (assist by I. Thomas),3,86-86,,
3:45.0,,,86-89,3,K. Walker makes 3-pt shot from 26 ft (assist by N. Batum)
3:24.0,A. Johnson makes 2-pt shot at rim (assist by A. Bradley),2,88-89,,
3:04.0,,,88-89,,N. Batum misses 2-pt shot from 13 ft (block by A. Johnson)
3:04.0,,,88-89,,Offensive rebound by Team
3:04.0,,,88-89,,C. Zeller enters the game for S. Hawes
2:57.0,,,88-89,,K. Walker misses 2-pt shot from 1 ft
2:54.0,Defensive rebound by J. Crowder,,88-89,,
2:52.0,I. Thomas makes 2-pt shot at rim (assist by A. Bradley),2,90-89,,
2:25.0,,,90-89,,K. Walker misses 3-pt shot from 24 ft
2:24.0,,,90-89,,Offensive rebound by J. Lin
2:21.0,,,90-89,,M. Williams misses 3-pt shot from 25 ft
2:20.0,Defensive rebound by A. Johnson,,90-89,,
2:09.0,,,90-89,,Personal foul by K. Walker (drawn by I. Thomas)
2:09.0,Boston full timeout,,90-89,,
2:04.0,A. Bradley makes 2-pt shot at rim,2,92-89,,
1:42.0,,,92-91,2,J. Lin makes 2-pt shot at rim
1:29.0,J. Crowder misses 3-pt shot from 24 ft,,92-91,,
1:27.0,,,92-91,,Defensive rebound by M. Williams
1:09.0,,,92-91,,K. Walker misses 2-pt shot from 1 ft (block by A. Johnson)
1:07.0,Defensive rebound by I. Thomas,,92-91,,
1:01.0,I. Thomas misses 2-pt shot from 2 ft (block by J. Lin),,92-91,,
1:01.0,Offensive rebound by I. Thomas,,92-91,,
1:01.0,,,92-91,,Personal foul by C. Zeller (drawn by I. Thomas)
1:01.0,I. Thomas makes free throw 1 of 2,1,93-91,,
1:01.0,I. Thomas makes free throw 2 of 2,1,94-91,,
0:49.0,,,94-91,,N. Batum misses 3-pt shot from 25 ft
0:47.0,,,94-91,,Offensive rebound by K. Walker
0:43.0,,,94-91,,K. Walker misses 3-pt shot from 24 ft
0:41.0,Defensive rebound by J. Crowder,,94-91,,
0:30.0,Boston full timeout,,94-91,,
0:23.0,A. Bradley misses 2-pt shot from 18 ft,,94-91,,
0:22.0,,,94-91,,Defensive rebound by M. Williams
0:21.0,,,94-91,,Charlotte full timeout
0:21.0,,,94-91,,S. Hawes enters the game for C. Zeller
0:14.0,,,94-93,2,K. Walker makes 2-pt shot from 15 ft
0:07.0,,,94-93,,Personal foul by K. Walker (drawn by J. Crowder)
0:07.0,J. Crowder makes free throw 1 of 2,1,95-93,,
0:07.0,,,95-93,,C. Zeller enters the game for S. Hawes
0:07.0,J. Crowder makes free throw 2 of 2,1,96-93,,
0:07.0,,,96-93,,Charlotte full timeout
0:07.0,J. Jerebko enters the game for A. Johnson,,96-93,,
0:07.0,,,96-93,,S. Hawes enters the game for C. Zeller
0:04.0,,,96-93,,N. Batum misses 3-pt shot from 29 ft
0:04.0,Defensive rebound by Team,,96-93,,
0:04.0,Boston full timeout,,96-93,,
0:04.0,K. Olynyk enters the game for J. Jerebko,,96-93,,
0:04.0,,,96-93,,C. Zeller enters the game for S. Hawes
0:02.0,Shooting foul by N. Batum (drawn by E. Turner),,96-93,,
0:02.0,E. Turner makes 2-pt shot at rim (assist by J. Crowder),2,98-93,,
0:02.0,E. Turner misses free throw 1 of 1,,98-93,,
