time,Houston,pts.away,score,pts.home,New Orleans
8:34.0,Defensive rebound by C. Capela,,38-42,,
8:27.0,M. Thornton makes 3-pt shot from 24 ft (assist by J. Harden),3,41-42,,
8:05.0,,,41-44,2,R. Anderson makes 2-pt shot from 15 ft (assist by T. Douglas)
7:58.0,,,41-44,,Shooting block foul by A. Ajinca (drawn by J. Harden)
7:58.0,J. Harden makes free throw 1 of 2,1,42-44,,
7:58.0,,,42-44,,A. Davis enters the game for A. Ajinca
7:58.0,T. Ariza enters the game for J. Smith,,42-44,,
7:58.0,J. Harden makes free throw 2 of 2,1,43-44,,
7:50.0,,,43-46,2,A. Davis makes 2-pt shot at rim (assist by J. Holiday)
7:37.0,C. Capela makes 2-pt shot at rim (assist by M. Thornton),2,45-46,,
7:22.0,,,45-46,,T. Douglas misses 3-pt shot from 23 ft
7:22.0,Defensive rebound by P. Beverley,,45-46,,
7:11.0,M. Thornton makes 3-pt shot from 23 ft (assist by T. Ariza),3,48-46,,
6:54.0,,,48-46,,A. Davis misses 2-pt shot at rim
6:51.0,,,48-46,,Offensive rebound by R. Anderson
6:51.0,,,48-46,,R. Anderson misses 2-pt shot from 2 ft
6:48.0,,,48-46,,Offensive rebound by R. Anderson
6:48.0,,,48-48,2,R. Anderson makes 2-pt shot from 2 ft
6:41.0,J. Harden makes 2-pt shot from 2 ft,2,50-48,,
6:30.0,,,50-48,,J. Holiday misses 3-pt shot from 24 ft
6:30.0,,,50-48,,Offensive rebound by R. Anderson
6:30.0,Personal foul by M. Thornton (drawn by R. Anderson),,50-48,,
6:30.0,,,50-48,,N. Cole enters the game for J. Holiday
6:30.0,,,50-48,,T. Evans enters the game for D. Cunningham
6:30.0,C. Brewer enters the game for M. Thornton,,50-48,,
6:21.0,,,50-48,,A. Davis misses 2-pt shot from 8 ft
6:21.0,Defensive rebound by P. Beverley,,50-48,,
5:56.0,Turnover by Team (shot clock),,50-48,,
5:56.0,Official timeout,,50-48,,
5:56.0,J. Smith enters the game for C. Capela,,50-48,,
5:56.0,,,50-48,,J. Holiday enters the game for T. Douglas
5:47.0,,,50-48,,Turnover by A. Davis (lost ball)
5:35.0,Turnover by C. Brewer (bad pass; steal by A. Davis),,50-48,,
5:32.0,,,50-48,,Turnover by N. Cole (lost ball; steal by P. Beverley)
5:25.0,T. Ariza misses 2-pt shot from 22 ft,,50-48,,
5:23.0,,,50-48,,Defensive rebound by R. Anderson
5:08.0,,,50-48,,Shooting foul by J. Smith (drawn by R. Anderson)
5:08.0,,,50-49,1,R. Anderson makes free throw 1 of 2
5:08.0,,,50-50,1,R. Anderson makes free throw 2 of 2
4:53.0,,,50-50,,Violation by A. Davis (kicked ball)
4:35.0,J. Smith misses 3-pt shot from 23 ft,,50-50,,
4:34.0,Offensive rebound by T. Ariza,,50-50,,
4:29.0,J. Harden makes 3-pt shot from 25 ft (assist by J. Smith),3,53-50,,
4:12.0,,,53-50,,N. Cole misses 2-pt shot from 20 ft
4:11.0,,,53-50,,Offensive rebound by A. Davis
4:11.0,,,53-50,,A. Davis misses 2-pt shot from 1 ft
4:08.0,Defensive rebound by J. Smith,,53-50,,
4:03.0,P. Beverley misses 3-pt shot from 25 ft,,53-50,,
4:03.0,,,53-50,,Defensive rebound by A. Davis
3:52.0,,,53-53,3,R. Anderson makes 3-pt shot from 27 ft (assist by T. Evans)
3:32.0,Turnover by J. Harden (lost ball; steal by J. Holiday),,53-53,,
3:26.0,,,53-55,2,J. Holiday makes 2-pt shot from 1 ft (assist by A. Davis)
2:58.0,Shooting foul by A. Davis (drawn by J. Harden),,53-55,,
2:58.0,,,53-55,,New Orleans full timeout
2:58.0,,,53-55,,D. Cunningham enters the game for R. Anderson
2:58.0,,,53-55,,A. Gee enters the game for J. Holiday
2:58.0,J. Harden makes free throw 1 of 2,1,54-55,,
2:58.0,J. Harden makes free throw 2 of 2,1,55-55,,
2:42.0,,,55-55,,T. Evans misses 2-pt shot from 21 ft
2:42.0,Defensive rebound by J. Smith,,55-55,,
2:24.0,Shooting foul by D. Cunningham (drawn by T. Ariza),,55-55,,
2:24.0,T. Ariza misses free throw 1 of 2,,55-55,,
2:24.0,Offensive rebound by Team,,55-55,,
2:24.0,T. Ariza makes free throw 2 of 2,1,56-55,,
2:07.0,Def 3 sec tech foul by J. Harden,,56-55,,
2:07.0,,,56-56,1,A. Davis makes technical free throw
2:04.0,,,56-56,,Shooting foul by J. Smith (drawn by T. Evans)
2:04.0,,,56-56,,T. Evans misses free throw 1 of 2
2:04.0,,,56-56,,Offensive rebound by Team
2:04.0,,,56-56,,R. Anderson enters the game for D. Cunningham
2:04.0,,,56-56,,T. Evans misses free throw 2 of 2
2:02.0,,,56-56,,Offensive rebound by A. Davis
1:46.0,,,56-56,,T. Evans misses 2-pt shot from 2 ft
1:44.0,,,56-56,,Offensive rebound by T. Evans
1:33.0,,,56-58,2,A. Davis makes 2-pt shot from 5 ft (assist by N. Cole)
1:10.0,J. Smith misses 2-pt shot from 15 ft,,56-58,,
1:06.0,,,56-58,,Defensive rebound by A. Davis
1:06.0,,,56-58,,Turnover by A. Davis (lost ball)
1:00.0,J. Smith makes 2-pt shot from 1 ft (assist by J. Harden),2,58-58,,
1:00.0,,,58-58,,New Orleans full timeout
1:00.0,,,58-58,,D. Cunningham enters the game for A. Davis
0:49.0,,,58-58,,Turnover by N. Cole (bad pass; steal by T. Ariza)
0:29.0,J. Harden misses 3-pt shot from 24 ft,,58-58,,
0:28.0,,,58-58,,Defensive rebound by A. Gee
0:05.0,,,58-58,,Shooting foul by P. Beverley (drawn by T. Evans)
0:05.0,,,58-60,2,T. Evans makes 2-pt shot from 2 ft
0:05.0,,,58-60,,T. Douglas enters the game for R. Anderson
0:05.0,,,58-60,,T. Evans misses free throw 1 of 1
0:04.0,Defensive rebound by Team,,58-60,,
0:04.0,Houston full timeout,,58-60,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,T. Ariza makes 3-pt shot from 24 ft (assist by P. Beverley),3,61-60,,
11:28.0,,,61-60,,T. Evans misses 3-pt shot from 24 ft
11:28.0,Defensive rebound by C. Capela,,61-60,,
11:15.0,T. Ariza makes 3-pt shot from 22 ft,3,64-60,,
10:56.0,Personal foul by T. Ariza (drawn by R. Anderson),,64-60,,
10:45.0,,,64-60,,N. Cole misses 2-pt shot from 18 ft
10:44.0,Defensive rebound by J. Harden,,64-60,,
10:32.0,J. Harden makes 2-pt shot from 9 ft,2,66-60,,
10:08.0,,,66-60,,R. Anderson misses 2-pt shot from 13 ft
10:07.0,Defensive rebound by C. Capela,,66-60,,
9:58.0,C. Capela makes 2-pt shot from 2 ft (assist by J. Harden),2,68-60,,
9:58.0,,,68-60,,New Orleans full timeout
9:58.0,,,68-60,,J. Holiday enters the game for D. Cunningham
9:48.0,,,68-60,,Turnover by J. Holiday (bad pass; steal by T. Ariza)
9:43.0,J. Harden makes 2-pt shot from 2 ft,2,70-60,,
9:28.0,,,70-60,,N. Cole misses 2-pt shot from 1 ft
9:26.0,Defensive rebound by J. Harden,,70-60,,
9:10.0,P. Beverley makes 3-pt shot from 25 ft (assist by J. Harden),3,73-60,,
8:56.0,,,73-60,,A. Gee misses 2-pt shot from 2 ft (block by J. Harden)
8:50.0,Defensive rebound by P. Beverley,,73-60,,
8:47.0,Shooting foul by T. Evans (drawn by J. Harden),,73-60,,
8:47.0,J. Harden makes free throw 1 of 3,1,74-60,,
8:47.0,J. Harden makes free throw 2 of 3,1,75-60,,
8:47.0,,,75-60,,T. Douglas enters the game for T. Evans
8:47.0,J. Harden makes free throw 3 of 3,1,76-60,,
8:27.0,,,76-60,,R. Anderson misses 2-pt shot from 2 ft
8:25.0,,,76-60,,Offensive rebound by R. Anderson
8:25.0,,,76-60,,R. Anderson misses 2-pt shot from 2 ft
8:23.0,,,76-60,,Offensive rebound by R. Anderson
8:23.0,,,76-60,,Shooting foul by C. Capela (drawn by R. Anderson)
8:23.0,,,76-61,1,R. Anderson makes free throw 1 of 2
8:23.0,,,76-62,1,R. Anderson makes free throw 2 of 2
8:09.0,P. Beverley misses 3-pt shot from 23 ft,,76-62,,
8:06.0,Offensive rebound by P. Beverley,,76-62,,
8:03.0,C. Capela makes 2-pt shot from 1 ft (assist by P. Beverley),2,78-62,,
7:37.0,,,78-65,3,R. Anderson makes 3-pt shot from 22 ft (assist by T. Douglas)
7:29.0,J. Harden makes 2-pt shot from 1 ft,2,80-65,,
7:15.0,,,80-65,,R. Anderson misses 3-pt shot from 24 ft
7:13.0,Defensive rebound by T. Ariza,,80-65,,
7:04.0,T. Ariza misses 3-pt shot from 24 ft,,80-65,,
6:59.0,,,80-65,,Defensive rebound by N. Cole
6:56.0,,,80-67,2,T. Douglas makes 2-pt shot from 1 ft (assist by N. Cole)
6:35.0,J. Harden misses 2-pt shot from 16 ft,,80-67,,
6:33.0,,,80-67,,Defensive rebound by A. Gee
6:29.0,Personal foul by P. Beverley (drawn by N. Cole),,80-67,,
6:29.0,T. Jones enters the game for C. Brewer,,80-67,,
6:29.0,M. Thornton enters the game for C. Capela,,80-67,,
6:18.0,,,80-67,,R. Anderson misses 2-pt shot from 1 ft (block by T. Jones)
6:15.0,,,80-67,,Offensive rebound by Team
6:11.0,,,80-69,2,N. Cole makes 2-pt shot from 15 ft
5:40.0,Turnover by Team (shot clock),,80-69,,
5:33.0,,,80-72,3,A. Gee makes 3-pt shot from 23 ft (assist by J. Holiday)
5:29.0,Houston full timeout,,80-72,,
5:15.0,J. Harden makes 3-pt shot from 24 ft,3,83-72,,
4:58.0,,,83-72,,Shooting foul by J. Harden (drawn by R. Anderson)
4:58.0,,,83-72,,R. Anderson misses free throw 1 of 2
4:58.0,,,83-72,,Offensive rebound by Team
4:58.0,,,83-73,1,R. Anderson makes free throw 2 of 2
4:42.0,J. Harden misses 2-pt shot from 1 ft (block by R. Anderson),,83-73,,
4:38.0,Offensive rebound by T. Ariza,,83-73,,
4:36.0,T. Ariza makes 2-pt shot at rim,2,85-73,,
4:27.0,,,85-76,3,T. Douglas makes 3-pt shot from 25 ft
4:18.0,M. Thornton misses 3-pt shot from 25 ft,,85-76,,
4:14.0,,,85-76,,Defensive rebound by T. Douglas
4:10.0,,,85-76,,Shooting foul by M. Thornton (drawn by N. Cole)
4:10.0,,,85-76,,N. Cole misses free throw 1 of 2
4:10.0,,,85-76,,Offensive rebound by Team
4:10.0,T. Lawson enters the game for P. Beverley,,85-76,,
4:10.0,,,85-76,,N. Cole misses free throw 2 of 2
4:09.0,Defensive rebound by T. Jones,,85-76,,
3:58.0,Shooting foul by N. Cole (drawn by T. Lawson),,85-76,,
3:58.0,T. Lawson makes free throw 1 of 2,1,86-76,,
3:58.0,T. Lawson makes free throw 2 of 2,1,87-76,,
3:45.0,,,87-76,,Turnover by R. Anderson (step out of bounds)
3:21.0,Turnover by T. Ariza (step out of bounds),,87-76,,
3:05.0,,,87-76,,A. Gee misses 3-pt shot from 22 ft
3:02.0,Defensive rebound by J. Harden,,87-76,,
2:58.0,T. Lawson misses 2-pt shot from 1 ft,,87-76,,
2:52.0,,,87-76,,Defensive rebound by N. Cole
2:43.0,,,87-79,3,T. Douglas makes 3-pt shot from 23 ft (assist by J. Holiday)
2:22.0,T. Ariza makes 3-pt shot from 23 ft (assist by T. Lawson),3,90-79,,
2:13.0,,,90-82,3,J. Holiday makes 3-pt shot from 25 ft
1:45.0,J. Harden misses 2-pt shot from 10 ft,,90-82,,
1:44.0,,,90-82,,Defensive rebound by A. Gee
1:37.0,Violation by T. Jones (def goaltending),,90-82,,
1:37.0,,,90-84,2,J. Holiday makes 2-pt shot from 2 ft
1:19.0,M. Thornton misses 2-pt shot from 7 ft,,90-84,,
1:18.0,,,90-84,,Defensive rebound by J. Holiday
1:14.0,,,90-84,,Shooting foul by J. Harden (drawn by T. Douglas)
1:14.0,,,90-85,1,T. Douglas makes free throw 1 of 2
1:14.0,C. Brewer enters the game for J. Harden,,90-85,,
1:14.0,,,90-85,,D. Cunningham enters the game for R. Anderson
1:14.0,,,90-86,1,T. Douglas makes free throw 2 of 2
0:58.0,C. Brewer makes 3-pt shot from 23 ft (assist by T. Ariza),3,93-86,,
0:50.0,,,93-89,3,J. Holiday makes 3-pt shot from 24 ft (assist by N. Cole)
0:33.0,T. Lawson misses 2-pt shot from 2 ft (block by D. Cunningham),,93-89,,
0:31.0,,,93-89,,Defensive rebound by N. Cole
0:28.0,,,93-89,,Turnover by J. Holiday (bad pass; steal by T. Ariza)
0:24.0,Turnover by T. Ariza (lost ball; steal by A. Gee),,93-89,,
0:17.0,,,93-89,,N. Cole misses 3-pt shot from 25 ft
0:16.0,Defensive rebound by M. Thornton,,93-89,,
0:03.0,M. Thornton misses 2-pt shot from 4 ft,,93-89,,
0:03.0,,,93-89,,Defensive rebound by N. Cole
0:00.0,,,93-92,3,N. Cole makes 3-pt shot from 27 ft
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:40.0,,,93-92,,T. Douglas misses 2-pt shot from 2 ft
11:39.0,,,93-92,,Offensive rebound by D. Cunningham
11:39.0,,,93-92,,D. Cunningham misses 2-pt shot at rim
11:39.0,Defensive rebound by Team,,93-92,,
11:13.0,M. Thornton misses 3-pt shot from 24 ft (block by T. Douglas),,93-92,,
11:13.0,Offensive rebound by Team,,93-92,,
11:13.0,Turnover by Team (shot clock),,93-92,,
11:03.0,,,93-92,,J. Holiday misses 3-pt shot from 24 ft
11:01.0,Defensive rebound by C. Brewer,,93-92,,
10:53.0,J. Smith misses 3-pt shot from 24 ft,,93-92,,
10:52.0,,,93-92,,Defensive rebound by J. Holiday
10:48.0,,,93-92,,Shooting foul by J. Harden (drawn by A. Gee)
10:48.0,,,93-92,,A. Gee misses free throw 1 of 2
10:48.0,,,93-92,,Offensive rebound by Team
10:48.0,,,93-92,,B. Dejean-Jones enters the game for N. Cole
10:48.0,,,93-92,,A. Gee misses free throw 2 of 2
10:46.0,Defensive rebound by J. Harden,,93-92,,
10:30.0,J. Smith misses 2-pt shot from 4 ft,,93-92,,
10:30.0,,,93-92,,Defensive rebound by A. Gee
10:23.0,,,93-92,,A. Gee misses 2-pt shot from 1 ft
10:22.0,,,93-92,,Offensive rebound by D. Cunningham
10:08.0,,,93-92,,J. Holiday misses 2-pt shot from 12 ft
10:07.0,Defensive rebound by J. Smith,,93-92,,
9:58.0,M. Thornton misses 2-pt shot from 2 ft (block by D. Cunningham),,93-92,,
9:57.0,,,93-92,,Defensive rebound by J. Holiday
9:51.0,,,93-92,,D. Cunningham misses 3-pt shot from 24 ft
9:50.0,Defensive rebound by C. Brewer,,93-92,,
9:45.0,,,93-92,,Personal foul by A. Gee (drawn by C. Brewer)
9:45.0,,,93-92,,R. Anderson enters the game for A. Gee
9:45.0,P. Beverley enters the game for M. Thornton,,93-92,,
9:31.0,J. Harden misses 2-pt shot from 13 ft,,93-92,,
9:30.0,,,93-92,,Defensive rebound by B. Dejean-Jones
9:20.0,,,93-94,2,T. Douglas makes 2-pt shot from 1 ft
9:00.0,J. Smith misses 2-pt shot from 2 ft,,93-94,,
8:59.0,,,93-94,,Defensive rebound by J. Holiday
8:51.0,,,93-94,,B. Dejean-Jones misses 3-pt shot from 25 ft
8:50.0,Defensive rebound by J. Harden,,93-94,,
8:43.0,,,93-94,,Personal foul by J. Holiday (drawn by J. Harden)
8:43.0,Official timeout,,93-94,,
8:43.0,T. Ariza enters the game for C. Brewer,,93-94,,
8:28.0,T. Ariza misses 3-pt shot from 24 ft,,93-94,,
8:26.0,,,93-94,,Defensive rebound by T. Douglas
8:10.0,,,93-94,,D. Cunningham misses 3-pt shot from 24 ft
8:08.0,Defensive rebound by J. Harden,,93-94,,
8:01.0,P. Beverley misses 3-pt shot from 23 ft,,93-94,,
7:57.0,Offensive rebound by Team,,93-94,,
7:41.0,P. Beverley misses 3-pt shot from 23 ft,,93-94,,
7:40.0,,,93-94,,Defensive rebound by B. Dejean-Jones
7:31.0,,,93-94,,Shooting foul by J. Harden (drawn by J. Holiday)
7:31.0,,,93-95,1,J. Holiday makes free throw 1 of 2
7:31.0,,,93-96,1,J. Holiday makes free throw 2 of 2
7:18.0,,,93-96,,Personal foul by B. Dejean-Jones (drawn by J. Smith)
7:09.0,J. Smith makes 2-pt shot from 1 ft,2,95-96,,
6:50.0,,,95-98,2,J. Holiday makes 2-pt shot from 1 ft
6:41.0,J. Harden misses 2-pt shot from 2 ft,,95-98,,
6:40.0,,,95-98,,Defensive rebound by B. Dejean-Jones
6:33.0,Personal take foul by P. Beverley (drawn by T. Douglas),,95-98,,
6:33.0,Houston full timeout,,95-98,,
6:33.0,C. Brewer enters the game for T. Lawson,,95-98,,
6:26.0,,,95-98,,J. Holiday misses 2-pt shot from 14 ft
6:24.0,Defensive rebound by J. Harden,,95-98,,
6:07.0,T. Ariza makes 3-pt shot from 25 ft (assist by J. Harden),3,98-98,,
5:47.0,,,98-98,,R. Anderson misses 2-pt shot at rim
5:46.0,Defensive rebound by J. Harden,,98-98,,
5:40.0,J. Harden makes 2-pt shot from 3 ft,2,100-98,,
5:40.0,Shooting foul by D. Cunningham (drawn by J. Harden),,100-98,,
5:40.0,,,100-98,,New Orleans full timeout
5:40.0,,,100-98,,N. Cole enters the game for T. Douglas
5:40.0,J. Harden makes free throw 1 of 1,1,101-98,,
5:24.0,,,101-101,3,D. Cunningham makes 3-pt shot from 23 ft (assist by J. Holiday)
5:01.0,J. Smith misses 3-pt shot from 25 ft,,101-101,,
5:01.0,,,101-101,,Defensive rebound by B. Dejean-Jones
4:51.0,,,101-101,,Shooting foul by J. Smith (drawn by J. Holiday)
4:51.0,,,101-101,,J. Holiday misses free throw 1 of 2
4:51.0,,,101-101,,Offensive rebound by Team
4:51.0,,,101-101,,A. Gee enters the game for B. Dejean-Jones
4:51.0,,,101-102,1,J. Holiday makes free throw 2 of 2
4:38.0,Shooting foul by A. Gee (drawn by J. Smith),,101-102,,
4:38.0,J. Smith misses free throw 1 of 2,,101-102,,
4:38.0,Offensive rebound by Team,,101-102,,
4:38.0,J. Smith makes free throw 2 of 2,1,102-102,,
4:24.0,,,102-102,,R. Anderson misses 2-pt shot from 1 ft
4:24.0,,,102-102,,Offensive rebound by R. Anderson
