time,Atlanta,pts.away,score,pts.home,Toronto
5:47.0,K. Korver misses 2-pt shot from 18 ft,,12-9,,
5:47.0,,,12-9,,Defensive rebound by L. Scola
5:35.0,,,12-9,,Turnover by D. DeRozan (lost ball; steal by K. Bazemore)
5:20.0,A. Horford misses 2-pt shot from 3 ft,,12-9,,
5:20.0,,,12-9,,Defensive rebound by J. Valanciunas
5:13.0,,,12-9,,Turnover by K. Lowry (lost ball; steal by J. Teague)
5:07.0,K. Korver misses 3-pt shot from 26 ft,,12-9,,
5:06.0,Offensive rebound by K. Bazemore,,12-9,,
5:01.0,K. Korver makes 3-pt shot from 27 ft (assist by K. Bazemore),3,15-9,,
4:46.0,Personal foul by A. Horford,,15-9,,
4:46.0,T. Sefolosha enters the game for K. Bazemore,,15-9,,
4:46.0,K. Humphries enters the game for A. Horford,,15-9,,
4:46.0,,,15-9,,T. Ross enters the game for N. Powell
4:46.0,,,15-9,,P. Patterson enters the game for L. Scola
4:37.0,,,15-9,,D. DeRozan misses 2-pt shot from 16 ft
4:37.0,,,15-9,,Offensive rebound by Team
4:31.0,,,15-11,2,D. DeRozan makes 2-pt shot from 14 ft
4:15.0,K. Humphries misses 2-pt shot from 9 ft,,15-11,,
4:15.0,,,15-11,,Defensive rebound by J. Valanciunas
4:05.0,,,15-13,2,K. Lowry makes 2-pt shot from 10 ft
3:48.0,Turnover by Team (back court),,15-13,,
3:48.0,T. Hardaway enters the game for K. Korver,,15-13,,
3:48.0,D. Schroder enters the game for J. Teague,,15-13,,
3:39.0,Personal foul by K. Humphries,,15-13,,
3:25.0,,,15-13,,T. Ross misses 2-pt shot from 15 ft
3:24.0,Defensive rebound by T. Sefolosha,,15-13,,
3:12.0,T. Hardaway makes 2-pt shot from 19 ft (assist by D. Schroder),2,17-13,,
2:58.0,,,17-15,2,K. Lowry makes 2-pt shot from 2 ft
2:58.0,Atlanta full timeout,,17-15,,
2:58.0,,,17-15,,C. Joseph enters the game for K. Lowry
2:46.0,P. Millsap misses 2-pt shot from 2 ft (block by P. Patterson),,17-15,,
2:45.0,,,17-15,,Defensive rebound by J. Valanciunas
2:34.0,,,17-15,,Turnover by J. Valanciunas (lost ball)
2:26.0,P. Millsap misses 3-pt shot from 25 ft,,17-15,,
2:25.0,Offensive rebound by Team,,17-15,,
2:25.0,,,17-15,,Loose ball foul by P. Patterson
2:12.0,K. Humphries misses 3-pt shot from 23 ft,,17-15,,
2:12.0,,,17-15,,Defensive rebound by J. Valanciunas
2:00.0,,,17-18,3,P. Patterson makes 3-pt shot from 25 ft (assist by C. Joseph)
1:40.0,P. Millsap misses 2-pt shot from 7 ft,,17-18,,
1:39.0,,,17-18,,Defensive rebound by D. DeRozan
1:16.0,,,17-18,,D. DeRozan misses 3-pt shot from 25 ft
1:15.0,Defensive rebound by P. Millsap,,17-18,,
1:08.0,K. Humphries makes 2-pt shot from 15 ft (assist by D. Schroder),2,19-18,,
0:49.0,,,19-20,2,D. DeRozan makes 2-pt shot from 3 ft
0:25.0,T. Hardaway makes 2-pt shot from 16 ft,2,21-20,,
0:08.0,Personal foul by D. Schroder,,21-20,,
0:08.0,M. Muscala enters the game for P. Millsap,,21-20,,
0:08.0,A. Horford enters the game for K. Humphries,,21-20,,
0:08.0,,,21-20,,B. Biyombo enters the game for J. Valanciunas
0:02.0,,,21-20,,D. DeRozan misses 2-pt shot from 11 ft
0:01.0,Defensive rebound by T. Sefolosha,,21-20,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,,,21-20,,Turnover by C. Joseph (lost ball; steal by D. Schroder)
11:45.0,D. Schroder makes 2-pt shot from 1 ft,2,23-20,,
11:45.0,Shooting foul by B. Biyombo (drawn by D. Schroder),,23-20,,
11:45.0,D. Schroder makes free throw 1 of 1,1,24-20,,
11:28.0,,,24-20,,Turnover by C. Joseph (lost ball)
11:12.0,Turnover by T. Sefolosha (lost ball; steal by C. Joseph),,24-20,,
11:08.0,,,24-22,2,C. Joseph makes 2-pt shot from 1 ft
10:44.0,T. Hardaway makes 3-pt shot from 28 ft (assist by D. Schroder),3,27-22,,
10:26.0,,,27-25,3,T. Ross makes 3-pt shot from 27 ft (assist by K. Lowry)
10:12.0,M. Muscala misses 2-pt shot from 4 ft,,27-25,,
10:10.0,Offensive rebound by T. Sefolosha,,27-25,,
10:10.0,T. Sefolosha makes 2-pt shot from 1 ft,2,29-25,,
9:57.0,,,29-27,2,K. Lowry makes 2-pt shot from 1 ft
9:47.0,T. Hardaway makes 2-pt shot from 21 ft,2,31-27,,
9:36.0,Personal block foul by D. Schroder,,31-27,,
9:30.0,,,31-27,,T. Ross misses 2-pt shot from 18 ft
9:29.0,Defensive rebound by T. Sefolosha,,31-27,,
9:17.0,T. Sefolosha misses 2-pt shot from 2 ft (block by B. Biyombo),,31-27,,
9:16.0,,,31-27,,Defensive rebound by B. Biyombo
8:57.0,,,31-27,,C. Joseph misses 2-pt shot from 4 ft
8:56.0,,,31-27,,Offensive rebound by P. Patterson
8:54.0,,,31-29,2,P. Patterson makes 2-pt shot at rim
8:36.0,T. Hardaway misses 2-pt shot from 16 ft,,31-29,,
8:36.0,,,31-29,,Defensive rebound by C. Joseph
8:21.0,,,31-29,,Shooting foul by M. Muscala (drawn by B. Biyombo)
8:21.0,Official timeout,,31-29,,
8:21.0,K. Bazemore enters the game for T. Sefolosha,,31-29,,
8:21.0,,,31-29,,B. Biyombo misses free throw 1 of 2
8:21.0,,,31-29,,Offensive rebound by Team
8:21.0,,,31-30,1,B. Biyombo makes free throw 2 of 2
8:10.0,M. Muscala makes 2-pt shot from 1 ft (assist by A. Horford),2,33-30,,
7:57.0,Personal foul by K. Bazemore,,33-30,,
7:46.0,,,33-32,2,P. Patterson makes 2-pt shot from 3 ft
7:22.0,A. Horford misses 2-pt shot from 16 ft,,33-32,,
7:22.0,,,33-32,,Defensive rebound by B. Biyombo
7:15.0,,,33-34,2,K. Lowry makes 2-pt shot from 3 ft
7:06.0,Offensive foul by A. Horford,,33-34,,
7:06.0,Turnover by A. Horford (offensive foul),,33-34,,
7:06.0,J. Teague enters the game for D. Schroder,,33-34,,
7:06.0,P. Millsap enters the game for A. Horford,,33-34,,
6:43.0,,,33-36,2,P. Patterson makes 2-pt shot from 18 ft (assist by B. Biyombo)
6:12.0,J. Teague makes 2-pt shot from 12 ft,2,35-36,,
6:07.0,,,35-36,,Shooting foul by M. Muscala (drawn by K. Lowry)
6:07.0,,,35-37,1,K. Lowry makes free throw 1 of 2
6:07.0,,,35-38,1,K. Lowry makes free throw 2 of 2
5:49.0,K. Bazemore misses 3-pt shot from 23 ft,,35-38,,
5:48.0,,,35-38,,Defensive rebound by P. Patterson
5:40.0,,,35-38,,K. Lowry misses 3-pt shot from 25 ft
5:39.0,,,35-38,,Offensive rebound by B. Biyombo
5:38.0,,,35-38,,B. Biyombo misses 2-pt shot from 2 ft
5:38.0,Defensive rebound by Team,,35-38,,
5:38.0,,,35-38,,Toronto full timeout
5:38.0,K. Humphries enters the game for T. Hardaway,,35-38,,
5:38.0,K. Korver enters the game for M. Muscala,,35-38,,
5:38.0,,,35-38,,L. Scola enters the game for P. Patterson
5:28.0,Shooting foul by K. Lowry (drawn by P. Millsap),,35-38,,
5:28.0,P. Millsap makes free throw 1 of 2,1,36-38,,
5:28.0,P. Millsap makes free throw 2 of 2,1,37-38,,
5:13.0,,,37-38,,T. Ross misses 2-pt shot from 15 ft
5:13.0,,,37-38,,Offensive rebound by L. Scola
5:07.0,,,37-38,,K. Lowry misses 3-pt shot from 26 ft
5:07.0,,,37-38,,Offensive rebound by L. Scola
5:01.0,,,37-38,,Shooting foul by P. Millsap (drawn by K. Lowry)
5:01.0,,,37-39,1,K. Lowry makes free throw 1 of 2
5:01.0,,,37-39,,D. DeRozan enters the game for C. Joseph
5:01.0,,,37-39,,K. Lowry misses free throw 2 of 2
5:01.0,Defensive rebound by K. Bazemore,,37-39,,
4:48.0,J. Teague misses 2-pt shot from 5 ft,,37-39,,
4:47.0,,,37-39,,Defensive rebound by T. Ross
4:43.0,Personal foul by J. Teague,,37-39,,
4:43.0,,,37-39,,K. Lowry misses free throw 1 of 2
4:43.0,,,37-39,,Offensive rebound by Team
4:43.0,,,37-39,,J. Valanciunas enters the game for B. Biyombo
4:43.0,,,37-40,1,K. Lowry makes free throw 2 of 2
4:31.0,K. Humphries misses 2-pt shot from 13 ft,,37-40,,
4:30.0,,,37-40,,Defensive rebound by J. Valanciunas
4:22.0,,,37-42,2,J. Valanciunas makes 2-pt shot at rim (assist by K. Lowry)
4:20.0,Atlanta full timeout,,37-42,,
4:20.0,Technical foul by K. Bazemore,,37-42,,
4:20.0,,,37-43,1,D. DeRozan makes technical free throw
4:13.0,Shooting foul by K. Lowry (drawn by P. Millsap),,37-43,,
4:13.0,P. Millsap makes free throw 1 of 2,1,38-43,,
4:13.0,,,38-43,,C. Joseph enters the game for K. Lowry
4:13.0,P. Millsap makes free throw 2 of 2,1,39-43,,
3:56.0,,,39-45,2,D. DeRozan makes 2-pt shot from 1 ft
3:44.0,J. Teague misses 2-pt shot from 20 ft,,39-45,,
3:43.0,,,39-45,,Defensive rebound by J. Valanciunas
3:31.0,,,39-45,,L. Scola misses 2-pt shot from 3 ft (block by P. Millsap)
3:28.0,Defensive rebound by K. Bazemore,,39-45,,
3:24.0,K. Bazemore makes 2-pt shot from 1 ft,2,41-45,,
3:07.0,,,41-45,,C. Joseph misses 2-pt shot from 3 ft
3:07.0,Defensive rebound by K. Korver,,41-45,,
3:00.0,J. Teague makes 2-pt shot from 12 ft,2,43-45,,
3:00.0,Shooting foul by C. Joseph (drawn by J. Teague),,43-45,,
3:00.0,A. Horford enters the game for P. Millsap,,43-45,,
3:00.0,J. Teague misses free throw 1 of 1,,43-45,,
2:59.0,,,43-45,,Defensive rebound by L. Scola
2:42.0,,,43-45,,C. Joseph misses 3-pt shot from 26 ft
2:42.0,Defensive rebound by Team,,43-45,,
2:42.0,,,43-45,,Personal foul by J. Valanciunas
2:42.0,K. Humphries makes free throw 1 of 2,1,44-45,,
2:42.0,K. Humphries makes free throw 2 of 2,1,45-45,,
2:25.0,,,45-47,2,T. Ross makes 2-pt shot at rim
2:03.0,A. Horford makes 2-pt shot from 1 ft (assist by J. Teague),2,47-47,,
1:49.0,,,47-47,,D. DeRozan misses 2-pt shot from 11 ft
1:48.0,,,47-47,,Offensive rebound by J. Valanciunas
1:46.0,,,47-47,,J. Valanciunas misses 2-pt shot from 1 ft
1:45.0,Defensive rebound by J. Teague,,47-47,,
1:39.0,K. Korver misses 2-pt shot from 22 ft,,47-47,,
1:38.0,Offensive rebound by K. Humphries,,47-47,,
1:37.0,K. Humphries misses 2-pt shot from 2 ft,,47-47,,
1:37.0,,,47-47,,Defensive rebound by Team
1:37.0,Loose ball foul by K. Humphries,,47-47,,
1:37.0,,,47-47,,J. Valanciunas misses free throw 1 of 2
1:37.0,,,47-47,,Offensive rebound by Team
1:37.0,P. Millsap enters the game for K. Humphries,,47-47,,
1:37.0,,,47-48,1,J. Valanciunas makes free throw 2 of 2
1:29.0,A. Horford misses 3-pt shot from 26 ft,,47-48,,
1:29.0,,,47-48,,Defensive rebound by D. DeRozan
1:16.0,,,47-48,,Offensive charge foul by L. Scola
1:16.0,,,47-48,,Turnover by L. Scola (offensive foul)
1:16.0,,,47-48,,B. Biyombo enters the game for J. Valanciunas
1:06.0,J. Teague misses 2-pt shot from 3 ft,,47-48,,
1:06.0,Offensive rebound by Team,,47-48,,
1:06.0,,,47-48,,Personal foul by C. Joseph
1:06.0,A. Horford makes free throw 1 of 2,1,48-48,,
1:06.0,T. Sefolosha enters the game for K. Korver,,48-48,,
1:06.0,A. Horford misses free throw 2 of 2,,48-48,,
1:04.0,,,48-48,,Defensive rebound by B. Biyombo
0:50.0,,,48-50,2,D. DeRozan makes 2-pt shot from 2 ft
0:40.0,Shooting foul by C. Joseph (drawn by P. Millsap),,48-50,,
0:40.0,P. Millsap misses free throw 1 of 2,,48-50,,
0:40.0,Offensive rebound by Team,,48-50,,
0:40.0,M. Muscala enters the game for A. Horford,,48-50,,
0:40.0,P. Millsap misses free throw 2 of 2,,48-50,,
0:40.0,,,48-50,,Defensive rebound by D. DeRozan
0:33.0,,,48-52,2,D. DeRozan makes 2-pt shot at rim
0:27.0,J. Teague misses 2-pt shot from 8 ft,,48-52,,
0:27.0,,,48-52,,Defensive rebound by C. Joseph
0:19.0,,,48-52,,Toronto full timeout
0:19.0,D. Schroder enters the game for J. Teague,,48-52,,
0:19.0,,,48-52,,P. Patterson enters the game for B. Biyombo
0:04.0,,,48-52,,P. Patterson misses 2-pt shot from 19 ft
0:03.0,,,48-52,,Offensive rebound by Team
0:03.0,,,48-52,,Turnover by Team (shot clock)
0:03.0,Atlanta full timeout,,48-52,,
0:03.0,A. Horford enters the game for T. Sefolosha,,48-52,,
0:03.0,K. Korver enters the game for D. Schroder,,48-52,,
0:03.0,J. Teague enters the game for M. Muscala,,48-52,,
0:03.0,,,48-52,,N. Powell enters the game for L. Scola
0:03.0,,,48-52,,B. Biyombo enters the game for C. Joseph
0:00.0,J. Teague misses 3-pt shot from 36 ft,,48-52,,
0:00.0,Offensive rebound by Team,,48-52,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,,,48-52,,N. Powell misses 3-pt shot from 24 ft
11:43.0,Defensive rebound by K. Bazemore,,48-52,,
11:24.0,A. Horford makes 3-pt shot from 25 ft (assist by J. Teague),3,51-52,,
11:09.0,,,51-52,,D. DeRozan misses 2-pt shot from 8 ft (block by P. Millsap)
11:09.0,Defensive rebound by A. Horford,,51-52,,
11:09.0,,,51-52,,Personal foul by D. DeRozan
10:55.0,J. Teague misses 2-pt shot from 17 ft,,51-52,,
10:54.0,,,51-52,,Defensive rebound by L. Scola
10:43.0,,,51-52,,Shooting foul by P. Millsap (drawn by J. Valanciunas)
10:43.0,,,51-52,,J. Valanciunas misses free throw 1 of 2
10:43.0,,,51-52,,Offensive rebound by Team
10:43.0,,,51-53,1,J. Valanciunas makes free throw 2 of 2
10:33.0,K. Bazemore makes 3-pt shot from 23 ft (assist by J. Teague),3,54-53,,
10:17.0,,,54-53,,L. Scola misses 3-pt shot from 25 ft
10:16.0,,,54-53,,Offensive rebound by J. Valanciunas
10:13.0,,,54-55,2,J. Valanciunas makes 2-pt shot at rim
10:02.0,A. Horford makes 3-pt shot from 26 ft (assist by J. Teague),3,57-55,,
9:40.0,,,57-57,2,N. Powell makes 2-pt shot from 4 ft
9:23.0,Shooting foul by D. DeRozan (drawn by J. Teague),,57-57,,
9:23.0,J. Teague makes free throw 1 of 2,1,58-57,,
9:23.0,J. Teague makes free throw 2 of 2,1,59-57,,
8:59.0,,,59-57,,N. Powell misses 2-pt shot from 13 ft
8:58.0,,,59-57,,Offensive rebound by J. Valanciunas
8:54.0,,,59-57,,K. Lowry misses 3-pt shot from 26 ft
8:53.0,Defensive rebound by P. Millsap,,59-57,,
8:42.0,J. Teague misses 2-pt shot from 3 ft,,59-57,,
8:42.0,,,59-57,,Defensive rebound by K. Lowry
8:36.0,,,59-57,,Shooting foul by J. Teague (drawn by L. Scola)
8:36.0,,,59-58,1,L. Scola makes free throw 1 of 2
8:36.0,,,59-59,1,L. Scola makes free throw 2 of 2
8:24.0,Turnover by A. Horford (lost ball; steal by N. Powell),,59-59,,
8:13.0,,,59-59,,Turnover by K. Lowry (lost ball; steal by A. Horford)
8:09.0,Turnover by A. Horford (lost ball; steal by N. Powell),,59-59,,
8:06.0,,,59-59,,Shooting foul by P. Millsap (drawn by L. Scola)
8:06.0,,,59-59,,L. Scola misses free throw 1 of 2
8:06.0,,,59-59,,Offensive rebound by Team
8:06.0,,,59-60,1,L. Scola makes free throw 2 of 2
7:54.0,Turnover by A. Horford (lost ball; steal by K. Lowry),,59-60,,
7:46.0,,,59-62,2,D. DeRozan makes 2-pt shot from 2 ft
7:33.0,P. Millsap misses 3-pt shot from 25 ft,,59-62,,
7:32.0,,,59-62,,Defensive rebound by L. Scola
7:26.0,,,59-64,2,L. Scola makes 2-pt shot at rim (assist by N. Powell)
7:25.0,Atlanta full timeout,,59-64,,
7:12.0,A. Horford makes 2-pt shot at rim (assist by J. Teague),2,61-64,,
6:52.0,,,61-66,2,D. DeRozan makes 2-pt shot from 1 ft (assist by K. Lowry)
6:28.0,P. Millsap misses 2-pt shot from 17 ft,,61-66,,
6:28.0,,,61-66,,Defensive rebound by Team
6:08.0,,,61-66,,D. DeRozan misses 2-pt shot from 15 ft (block by K. Bazemore)
6:07.0,Defensive rebound by K. Bazemore,,61-66,,
6:07.0,,,61-66,,Personal foul by D. DeRozan
6:07.0,K. Humphries enters the game for A. Horford,,61-66,,
6:07.0,T. Sefolosha enters the game for K. Bazemore,,61-66,,
5:57.0,,,61-66,,Personal foul by L. Scola
5:45.0,J. Teague makes 2-pt shot from 9 ft,2,63-66,,
5:35.0,Personal block foul by K. Humphries,,63-66,,
5:28.0,,,63-66,,D. DeRozan misses 2-pt shot from 20 ft
5:28.0,Defensive rebound by Team,,63-66,,
5:28.0,,,63-66,,Loose ball foul by J. Valanciunas
5:28.0,K. Humphries misses free throw 1 of 2,,63-66,,
5:28.0,Offensive rebound by Team,,63-66,,
5:28.0,K. Humphries makes free throw 2 of 2,1,64-66,,
5:16.0,,,64-66,,K. Lowry misses 3-pt shot from 26 ft
5:16.0,,,64-66,,Offensive rebound by J. Valanciunas
5:11.0,,,64-66,,J. Valanciunas misses 2-pt shot from 1 ft (block by P. Millsap)
5:11.0,Defensive rebound by J. Teague,,64-66,,
5:04.0,,,64-66,,Personal foul by K. Lowry
5:04.0,T. Sefolosha makes free throw 1 of 2,1,65-66,,
5:04.0,A. Horford enters the game for P. Millsap,,65-66,,
5:04.0,T. Sefolosha misses free throw 2 of 2,,65-66,,
5:04.0,,,65-66,,Defensive rebound by N. Powell
4:46.0,,,65-69,3,L. Scola makes 3-pt shot from 23 ft (assist by K. Lowry)
4:37.0,J. Teague misses 3-pt shot from 24 ft,,65-69,,
4:36.0,,,65-69,,Defensive rebound by Team
4:36.0,T. Hardaway enters the game for K. Korver,,65-69,,
4:23.0,,,65-69,,Shooting foul by T. Sefolosha (drawn by J. Valanciunas)
4:23.0,,,65-70,1,J. Valanciunas makes free throw 1 of 2
4:23.0,D. Schroder enters the game for J. Teague,,65-70,,
4:23.0,,,65-71,1,J. Valanciunas makes free throw 2 of 2
4:06.0,D. Schroder misses 2-pt shot from 10 ft,,65-71,,
4:06.0,,,65-71,,Defensive rebound by L. Scola
3:54.0,,,65-73,2,D. DeRozan makes 2-pt shot from 7 ft
3:45.0,,,65-73,,Personal foul by N. Powell
3:45.0,K. Humphries makes free throw 1 of 2,1,66-73,,
3:45.0,,,66-73,,B. Biyombo enters the game for J. Valanciunas
3:45.0,K. Humphries makes free throw 2 of 2,1,67-73,,
3:28.0,,,67-73,,B. Biyombo misses 2-pt shot from 14 ft
3:28.0,Defensive rebound by K. Humphries,,67-73,,
3:15.0,D. Schroder misses 3-pt shot from 25 ft,,67-73,,
3:14.0,,,67-73,,Defensive rebound by L. Scola
3:05.0,,,67-73,,Turnover by K. Lowry (lost ball; steal by A. Horford)
2:59.0,T. Sefolosha misses 2-pt shot at rim,,67-73,,
2:58.0,Offensive rebound by K. Humphries,,67-73,,
2:56.0,K. Humphries makes 2-pt shot at rim,2,69-73,,
2:52.0,,,69-73,,Toronto full timeout
2:52.0,,,69-73,,C. Joseph enters the game for L. Scola
2:52.0,,,69-73,,P. Patterson enters the game for K. Lowry
2:40.0,,,69-73,,Shooting foul by T. Sefolosha (drawn by D. DeRozan)
2:40.0,,,69-74,1,D. DeRozan makes free throw 1 of 2
2:40.0,,,69-74,,T. Ross enters the game for N. Powell
2:40.0,,,69-74,,D. DeRozan misses free throw 2 of 2
2:39.0,Defensive rebound by A. Horford,,69-74,,
2:30.0,D. Schroder misses 2-pt shot from 20 ft,,69-74,,
2:30.0,,,69-74,,Defensive rebound by T. Ross
2:13.0,,,69-76,2,T. Ross makes 2-pt shot from 20 ft
1:58.0,T. Hardaway misses 2-pt shot from 2 ft,,69-76,,
1:57.0,,,69-76,,Defensive rebound by D. DeRozan
1:37.0,,,69-76,,B. Biyombo misses 2-pt shot from 19 ft
1:36.0,,,69-76,,Offensive rebound by P. Patterson
1:30.0,,,69-76,,T. Ross misses 3-pt shot from 25 ft
1:30.0,Defensive rebound by K. Humphries,,69-76,,
1:19.0,A. Horford makes 2-pt shot from 2 ft,2,71-76,,
0:58.0,,,71-78,2,D. DeRozan makes 2-pt shot from 2 ft
0:47.0,T. Hardaway makes 2-pt shot from 21 ft (assist by D. Schroder),2,73-78,,
0:27.0,,,73-80,2,B. Biyombo makes 2-pt shot from 1 ft (assist by C. Joseph)
0:06.0,A. Horford makes 2-pt shot from 23 ft (assist by D. Schroder),2,75-80,,
0:00.0,Personal foul by A. Horford,,75-80,,
0:00.0,,,75-81,1,D. DeRozan makes free throw 1 of 2
0:00.0,P. Millsap enters the game for T. Hardaway,,75-81,,
0:00.0,,,75-82,1,D. DeRozan makes free throw 2 of 2
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:51.0,D. Schroder makes 2-pt shot at rim,2,77-82,,
11:30.0,,,77-85,3,T. Ross makes 3-pt shot from 25 ft (assist by P. Patterson)
11:20.0,D. Schroder misses 2-pt shot from 18 ft,,77-85,,
11:19.0,,,77-85,,Defensive rebound by C. Joseph
11:07.0,Personal foul by K. Bazemore,,77-85,,
10:53.0,,,77-85,,T. Ross misses 2-pt shot from 17 ft
10:52.0,Defensive rebound by K. Bazemore,,77-85,,
10:33.0,D. Schroder makes 2-pt shot from 1 ft,2,79-85,,
10:14.0,,,79-88,3,P. Patterson makes 3-pt shot from 25 ft (assist by C. Joseph)
10:03.0,,,79-88,,Personal foul by P. Patterson
9:52.0,K. Bazemore makes 3-pt shot from 24 ft (assist by A. Horford),3,82-88,,
9:33.0,,,82-91,3,K. Lowry makes 3-pt shot from 26 ft
9:18.0,T. Hardaway misses 3-pt shot from 25 ft,,82-91,,
9:17.0,,,82-91,,Defensive rebound by T. Ross
9:04.0,,,82-91,,C. Joseph misses 2-pt shot from 19 ft
9:02.0,Defensive rebound by P. Millsap,,82-91,,
8:55.0,D. Schroder makes 2-pt shot from 2 ft,2,84-91,,
8:42.0,,,84-91,,Shooting foul by P. Millsap (drawn by K. Lowry)
8:42.0,Official timeout,,84-91,,
8:42.0,,,84-92,1,K. Lowry makes free throw 1 of 2
8:42.0,,,84-93,1,K. Lowry makes free throw 2 of 2
8:28.0,Offensive charge foul by D. Schroder,,84-93,,
8:28.0,Turnover by D. Schroder (offensive foul),,84-93,,
8:16.0,,,84-93,,K. Lowry misses 2-pt shot from 13 ft
8:16.0,Defensive rebound by Team,,84-93,,
8:16.0,,,84-93,,Loose ball foul by B. Biyombo
8:16.0,T. Sefolosha enters the game for A. Horford,,84-93,,
8:00.0,K. Bazemore makes 2-pt shot from 4 ft,2,86-93,,
8:00.0,Shooting foul by B. Biyombo (drawn by K. Bazemore),,86-93,,
8:00.0,K. Bazemore makes free throw 1 of 1,1,87-93,,
7:46.0,,,87-95,2,T. Ross makes 2-pt shot from 19 ft (assist by K. Lowry)
7:28.0,P. Millsap makes 2-pt shot from 1 ft,2,89-95,,
7:10.0,,,89-95,,T. Ross misses 3-pt shot from 23 ft
7:09.0,,,89-95,,Offensive rebound by B. Biyombo
7:06.0,,,89-95,,B. Biyombo misses 2-pt shot from 1 ft (block by K. Bazemore)
7:06.0,,,89-95,,Offensive rebound by Team
6:48.0,,,89-95,,K. Lowry misses 3-pt shot from 28 ft
6:48.0,Defensive rebound by Team,,89-95,,
6:39.0,Turnover by D. Schroder (lost ball; steal by C. Joseph),,89-95,,
6:34.0,,,89-97,2,C. Joseph makes 2-pt shot at rim (assist by T. Ross)
6:13.0,K. Bazemore misses 2-pt shot from 2 ft,,89-97,,
6:12.0,,,89-97,,Defensive rebound by B. Biyombo
6:03.0,,,89-97,,P. Patterson misses 3-pt shot from 22 ft
6:03.0,Defensive rebound by D. Schroder,,89-97,,
5:50.0,K. Bazemore misses 2-pt shot from 12 ft,,89-97,,
5:50.0,,,89-97,,Defensive rebound by P. Patterson
5:36.0,,,89-97,,T. Ross misses 3-pt shot from 24 ft
5:35.0,Defensive rebound by P. Millsap,,89-97,,
5:34.0,,,89-97,,Personal foul by K. Lowry
5:34.0,,,89-97,,Toronto full timeout
5:34.0,,,89-97,,D. DeRozan enters the game for T. Ross
5:34.0,J. Teague enters the game for K. Bazemore,,89-97,,
5:34.0,K. Korver enters the game for P. Millsap,,89-97,,
5:34.0,A. Horford enters the game for T. Hardaway,,89-97,,
5:09.0,J. Teague misses 3-pt shot from 24 ft,,89-97,,
