time,Milwaukee,pts.away,score,pts.home,Dallas
7:33.0,Defensive rebound by J. O'Bryant,,37-44,,
7:23.0,O. Mayo makes 2-pt shot from 12 ft,2,39-44,,
7:15.0,,,39-44,,Dallas full timeout
7:15.0,,,39-44,,D. Harris enters the game for C. Parsons
7:15.0,,,39-44,,C. Villanueva enters the game for D. Nowitzki
7:15.0,,,39-44,,W. Matthews enters the game for J. Barea
7:15.0,J. Parker enters the game for J. Bayless,,39-44,,
7:15.0,M. Carter-Williams enters the game for J. O'Bryant,,39-44,,
6:58.0,,,39-44,,J. McGee misses 2-pt shot from 17 ft
6:57.0,Defensive rebound by J. Parker,,39-44,,
6:40.0,J. Parker makes 2-pt shot from 13 ft,2,41-44,,
6:23.0,,,41-46,2,R. Felton makes 2-pt shot from 7 ft
6:08.0,M. Carter-Williams makes 2-pt shot from 6 ft,2,43-46,,
5:51.0,,,43-46,,C. Villanueva misses 2-pt shot at rim (block by M. Plumlee)
5:50.0,,,43-46,,Offensive rebound by C. Villanueva
5:50.0,,,43-48,2,C. Villanueva makes 2-pt shot at rim
5:40.0,,,43-48,,Personal foul by R. Felton (drawn by M. Carter-Williams)
5:32.0,,,43-48,,Personal foul by R. Felton (drawn by M. Carter-Williams)
5:32.0,,,43-48,,Z. Pachulia enters the game for J. McGee
5:32.0,G. Monroe enters the game for M. Plumlee,,43-48,,
5:32.0,K. Middleton enters the game for O. Mayo,,43-48,,
5:23.0,K. Middleton makes 2-pt shot from 10 ft,2,45-48,,
5:06.0,,,45-48,,C. Villanueva misses 2-pt shot from 7 ft
5:05.0,Defensive rebound by M. Carter-Williams,,45-48,,
4:54.0,M. Carter-Williams misses 2-pt shot from 17 ft,,45-48,,
4:53.0,,,45-48,,Defensive rebound by C. Villanueva
4:38.0,,,45-48,,W. Matthews misses 2-pt shot from 12 ft
4:36.0,Defensive rebound by G. Monroe,,45-48,,
4:20.0,G. Monroe misses 2-pt shot from 7 ft,,45-48,,
4:18.0,,,45-48,,Defensive rebound by C. Villanueva
4:01.0,,,45-51,3,C. Villanueva makes 3-pt shot from 23 ft (assist by W. Matthews)
3:43.0,Turnover by J. Parker (lost ball),,45-51,,
3:29.0,,,45-53,2,C. Villanueva makes 2-pt shot from 19 ft (assist by Z. Pachulia)
3:12.0,Shooting foul by C. Villanueva (drawn by J. Parker),,45-53,,
3:12.0,J. Parker makes free throw 1 of 2,1,46-53,,
3:12.0,,,46-53,,J. Barea enters the game for D. Harris
3:12.0,,,46-53,,C. Parsons enters the game for R. Felton
3:12.0,,,46-53,,D. Nowitzki enters the game for C. Villanueva
3:12.0,G. Antetokounmpo enters the game for R. Vaughn,,46-53,,
3:12.0,J. Parker makes free throw 2 of 2,1,47-53,,
3:00.0,,,47-53,,Z. Pachulia misses 2-pt shot from 15 ft
2:59.0,Defensive rebound by M. Carter-Williams,,47-53,,
2:43.0,G. Monroe misses 2-pt shot from 6 ft,,47-53,,
2:42.0,,,47-53,,Defensive rebound by C. Parsons
2:31.0,,,47-53,,Shooting foul by K. Middleton (drawn by W. Matthews)
2:31.0,Official timeout,,47-53,,
2:31.0,,,47-54,1,W. Matthews makes free throw 1 of 2
2:31.0,,,47-55,1,W. Matthews makes free throw 2 of 2
2:11.0,J. Parker misses 2-pt shot from 17 ft,,47-55,,
2:09.0,,,47-55,,Defensive rebound by W. Matthews
2:00.0,Personal foul by J. Parker (drawn by D. Nowitzki),,47-55,,
1:56.0,,,47-55,,Z. Pachulia misses 2-pt shot from 2 ft (block by G. Monroe)
1:55.0,,,47-55,,Offensive rebound by Z. Pachulia
1:54.0,,,47-57,2,Z. Pachulia makes 2-pt shot at rim
1:45.0,,,47-57,,Personal foul by J. Barea
1:37.0,G. Monroe misses 2-pt shot from 5 ft,,47-57,,
1:36.0,,,47-57,,Defensive rebound by Z. Pachulia
1:29.0,,,47-57,,W. Matthews misses 3-pt shot from 24 ft
1:28.0,Defensive rebound by G. Monroe,,47-57,,
1:23.0,Turnover by K. Middleton (step out of bounds),,47-57,,
1:13.0,,,47-59,2,Z. Pachulia makes 2-pt shot from 1 ft (assist by C. Parsons)
1:01.0,M. Carter-Williams makes 2-pt shot from 8 ft,2,49-59,,
0:55.0,,,49-59,,J. Barea misses 2-pt shot from 1 ft
0:53.0,Defensive rebound by K. Middleton,,49-59,,
0:49.0,K. Middleton makes 2-pt shot from 1 ft,2,51-59,,
0:36.0,Personal foul by M. Carter-Williams,,51-59,,
0:36.0,,,51-59,,Technical foul by J. Barea
0:36.0,Technical foul by M. Carter-Williams,,51-59,,
0:36.0,,,51-59,,J. Barea misses free throw 1 of 2
0:36.0,,,51-59,,Offensive rebound by Team
0:36.0,,,51-60,1,J. Barea makes free throw 2 of 2
0:25.0,Offensive foul by K. Middleton,,51-60,,
0:25.0,Turnover by K. Middleton (offensive foul),,51-60,,
0:25.0,,,51-60,,R. Felton enters the game for J. Barea
0:01.0,,,51-60,,D. Nowitzki misses 3-pt shot from 23 ft
0:01.0,Defensive rebound by G. Antetokounmpo,,51-60,,
0:00.0,G. Antetokounmpo misses 3-pt shot from 58 ft,,51-60,,
0:00.0,Offensive rebound by Team,,51-60,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,G. Antetokounmpo makes 2-pt shot from 12 ft,2,53-60,,
11:22.0,,,53-63,3,D. Nowitzki makes 3-pt shot from 26 ft (assist by J. Barea)
11:10.0,Shooting foul by C. Parsons (drawn by G. Antetokounmpo),,53-63,,
11:10.0,G. Antetokounmpo misses free throw 1 of 2,,53-63,,
11:10.0,Offensive rebound by Team,,53-63,,
11:10.0,G. Antetokounmpo makes free throw 2 of 2,1,54-63,,
10:55.0,,,54-63,,D. Nowitzki misses 3-pt shot from 23 ft
10:54.0,Defensive rebound by G. Monroe,,54-63,,
10:34.0,G. Antetokounmpo misses 2-pt shot from 18 ft,,54-63,,
10:32.0,,,54-63,,Defensive rebound by W. Matthews
10:17.0,,,54-63,,Turnover by W. Matthews (bad pass; steal by G. Antetokounmpo)
10:12.0,Turnover by G. Antetokounmpo (palming),,54-63,,
9:47.0,,,54-63,,D. Nowitzki misses 2-pt shot from 18 ft
9:45.0,,,54-63,,Offensive rebound by Z. Pachulia
9:34.0,,,54-66,3,W. Matthews makes 3-pt shot from 24 ft (assist by D. Nowitzki)
9:18.0,,,54-66,,Def 3 sec tech foul by Z. Pachulia
9:18.0,K. Middleton makes technical free throw,1,55-66,,
9:12.0,M. Carter-Williams makes 2-pt shot at rim,2,57-66,,
8:49.0,,,57-68,2,W. Matthews makes 2-pt shot from 14 ft
8:25.0,G. Antetokounmpo misses 2-pt shot from 16 ft,,57-68,,
8:24.0,,,57-68,,Defensive rebound by D. Nowitzki
8:11.0,,,57-68,,Z. Pachulia misses 2-pt shot from 8 ft
8:11.0,Defensive rebound by M. Carter-Williams,,57-68,,
8:06.0,J. Parker misses 2-pt shot at rim,,57-68,,
8:04.0,Offensive rebound by J. Parker,,57-68,,
8:02.0,J. Parker makes 2-pt shot from 2 ft,2,59-68,,
7:53.0,,,59-68,,D. Nowitzki misses 2-pt shot from 15 ft
7:49.0,Defensive rebound by J. Parker,,59-68,,
7:43.0,J. Parker misses 2-pt shot from 2 ft (block by D. Nowitzki),,59-68,,
7:41.0,,,59-68,,Defensive rebound by Z. Pachulia
7:33.0,,,59-68,,D. Nowitzki misses 3-pt shot from 24 ft
7:33.0,Defensive rebound by G. Monroe,,59-68,,
7:17.0,Turnover by K. Middleton (bad pass; steal by Z. Pachulia),,59-68,,
7:08.0,,,59-71,3,J. Barea makes 3-pt shot from 25 ft
7:08.0,Milwaukee full timeout,,59-71,,
7:08.0,,,59-71,,D. Harris enters the game for D. Nowitzki
7:08.0,,,59-71,,D. Powell enters the game for W. Matthews
7:08.0,O. Mayo enters the game for J. Parker,,59-71,,
6:53.0,M. Carter-Williams misses 2-pt shot from 13 ft,,59-71,,
6:51.0,,,59-71,,Defensive rebound by C. Parsons
6:32.0,,,59-71,,J. Barea misses 3-pt shot from 27 ft
6:31.0,Defensive rebound by K. Middleton,,59-71,,
6:16.0,K. Middleton misses 2-pt shot from 13 ft,,59-71,,
6:15.0,,,59-71,,Defensive rebound by Z. Pachulia
5:56.0,,,59-71,,D. Harris misses 2-pt shot from 2 ft
5:54.0,Defensive rebound by O. Mayo,,59-71,,
5:50.0,Offensive charge foul by K. Middleton,,59-71,,
5:50.0,Turnover by K. Middleton (offensive foul),,59-71,,
5:38.0,,,59-71,,C. Parsons misses 2-pt shot from 22 ft
5:37.0,Defensive rebound by M. Carter-Williams,,59-71,,
5:31.0,Turnover by M. Carter-Williams (bad pass; steal by C. Parsons),,59-71,,
5:28.0,,,59-71,,Shooting foul by O. Mayo (drawn by C. Parsons)
5:28.0,,,59-71,,C. Parsons misses free throw 1 of 2
5:28.0,,,59-71,,Offensive rebound by Team
5:28.0,,,59-71,,R. Felton enters the game for J. Barea
5:28.0,J. Bayless enters the game for M. Carter-Williams,,59-71,,
5:28.0,,,59-71,,C. Parsons misses free throw 2 of 2
5:27.0,Defensive rebound by G. Antetokounmpo,,59-71,,
5:10.0,G. Monroe makes 2-pt shot from 6 ft,2,61-71,,
4:51.0,,,61-71,,Shooting foul by K. Middleton (drawn by Z. Pachulia)
4:51.0,,,61-72,1,Z. Pachulia makes free throw 1 of 2
4:51.0,,,61-72,,W. Matthews enters the game for C. Parsons
4:51.0,,,61-72,,Z. Pachulia misses free throw 2 of 2
4:50.0,Defensive rebound by G. Antetokounmpo,,61-72,,
4:32.0,G. Monroe misses 2-pt shot from 6 ft,,61-72,,
4:28.0,,,61-72,,Defensive rebound by D. Harris
4:12.0,,,61-74,2,R. Felton makes 2-pt shot from 4 ft
3:57.0,J. Bayless misses 3-pt shot from 25 ft,,61-74,,
3:56.0,,,61-74,,Defensive rebound by Z. Pachulia
3:45.0,,,61-74,,Z. Pachulia misses 2-pt shot from 17 ft
3:44.0,Defensive rebound by G. Antetokounmpo,,61-74,,
3:37.0,O. Mayo makes 3-pt shot from 22 ft (assist by G. Antetokounmpo),3,64-74,,
3:17.0,Personal foul by G. Antetokounmpo (drawn by D. Powell),,64-74,,
3:06.0,,,64-74,,Z. Pachulia misses 2-pt shot from 15 ft
3:05.0,Defensive rebound by G. Antetokounmpo,,64-74,,
2:52.0,K. Middleton misses 2-pt shot from 2 ft,,64-74,,
2:51.0,Offensive rebound by G. Monroe,,64-74,,
2:50.0,G. Monroe makes 2-pt shot from 2 ft,2,66-74,,
2:45.0,,,66-74,,Dallas full timeout
2:45.0,J. O'Bryant enters the game for K. Middleton,,66-74,,
2:37.0,,,66-74,,Shooting foul by G. Antetokounmpo (drawn by Z. Pachulia)
2:37.0,,,66-74,,Z. Pachulia misses free throw 1 of 2
2:37.0,,,66-74,,Offensive rebound by Team
2:37.0,R. Vaughn enters the game for G. Antetokounmpo,,66-74,,
2:37.0,,,66-75,1,Z. Pachulia makes free throw 2 of 2
2:24.0,,,66-75,,Personal foul by Z. Pachulia (drawn by G. Monroe)
2:15.0,Turnover by O. Mayo (bad pass; steal by R. Felton),,66-75,,
2:01.0,,,66-75,,D. Powell misses 2-pt shot from 6 ft
2:00.0,Defensive rebound by Team,,66-75,,
1:43.0,Turnover by J. Bayless (bad pass; steal by D. Powell),,66-75,,
1:38.0,,,66-77,2,D. Powell makes 2-pt shot at rim
1:16.0,R. Vaughn misses 2-pt shot from 3 ft,,66-77,,
1:14.0,Offensive rebound by J. O'Bryant,,66-77,,
1:12.0,J. O'Bryant misses 2-pt shot from 1 ft,,66-77,,
1:10.0,Offensive rebound by G. Monroe,,66-77,,
1:10.0,G. Monroe makes 2-pt shot from 1 ft,2,68-77,,
0:58.0,,,68-77,,D. Powell misses 2-pt shot from 20 ft
0:58.0,Defensive rebound by R. Vaughn,,68-77,,
0:42.0,,,68-77,,C. Parsons enters the game for Z. Pachulia
0:42.0,,,68-77,,D. Nowitzki enters the game for W. Matthews
0:42.0,,,68-77,,J. Barea enters the game for R. Felton
0:42.0,M. Plumlee enters the game for G. Monroe,,68-77,,
0:38.0,Shooting foul by D. Harris (drawn by J. Bayless),,68-77,,
0:38.0,J. Bayless makes free throw 1 of 2,1,69-77,,
0:38.0,J. Bayless makes free throw 2 of 2,1,70-77,,
0:28.0,Personal foul by J. Bayless (drawn by D. Powell),,70-77,,
0:28.0,,,70-78,1,D. Powell makes free throw 1 of 2
0:28.0,,,70-79,1,D. Powell makes free throw 2 of 2
0:12.0,M. Plumlee makes 2-pt shot at rim (assist by J. Bayless),2,72-79,,
0:01.0,,,72-79,,D. Powell misses 2-pt shot from 6 ft
0:00.0,Defensive rebound by M. Plumlee,,72-79,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:50.0,,,72-79,,Turnover by C. Parsons (lost ball; steal by J. Bayless)
11:44.0,R. Vaughn misses 2-pt shot from 3 ft,,72-79,,
11:43.0,,,72-79,,Defensive rebound by J. McGee
11:35.0,,,72-81,2,J. McGee makes 2-pt shot at rim (assist by D. Harris)
11:08.0,Turnover by J. Bayless (bad pass; steal by D. Harris),,72-81,,
11:05.0,,,72-83,2,J. McGee makes 2-pt shot at rim (assist by D. Harris)
10:41.0,J. Bayless makes 2-pt shot from 14 ft (assist by M. Plumlee),2,74-83,,
10:18.0,,,74-83,,D. Harris misses 2-pt shot from 17 ft
10:16.0,Defensive rebound by O. Mayo,,74-83,,
10:07.0,J. Bayless makes 2-pt shot from 20 ft,2,76-83,,
9:42.0,,,76-83,,J. Barea misses 3-pt shot from 25 ft
9:39.0,Defensive rebound by M. Plumlee,,76-83,,
9:30.0,O. Mayo misses 2-pt shot from 13 ft,,76-83,,
9:29.0,,,76-83,,Defensive rebound by J. McGee
9:08.0,,,76-83,,D. Nowitzki misses 2-pt shot from 17 ft
9:06.0,Defensive rebound by O. Mayo,,76-83,,
8:53.0,J. O'Bryant makes 2-pt shot from 2 ft (assist by J. Bayless),2,78-83,,
8:53.0,,,78-83,,Dallas full timeout
8:53.0,,,78-83,,R. Felton enters the game for D. Harris
8:53.0,K. Middleton enters the game for R. Vaughn,,78-83,,
8:36.0,,,78-83,,D. Nowitzki misses 3-pt shot from 25 ft
8:35.0,Defensive rebound by O. Mayo,,78-83,,
8:24.0,O. Mayo makes 3-pt shot from 24 ft (assist by J. Bayless),3,81-83,,
8:13.0,Personal foul by J. Bayless (drawn by R. Felton),,81-83,,
8:13.0,,,81-83,,Z. Pachulia enters the game for J. McGee
8:13.0,,,81-83,,W. Matthews enters the game for J. Barea
8:06.0,Personal foul by J. O'Bryant (drawn by D. Nowitzki),,81-83,,
7:56.0,,,81-83,,Shooting foul by O. Mayo (drawn by R. Felton)
7:56.0,,,81-84,1,R. Felton makes free throw 1 of 2
7:56.0,,,81-84,,C. Villanueva enters the game for D. Nowitzki
7:56.0,,,81-84,,R. Felton misses free throw 2 of 2
7:55.0,Defensive rebound by M. Plumlee,,81-84,,
7:38.0,M. Plumlee makes 2-pt shot from 2 ft (assist by J. O'Bryant),2,83-84,,
7:29.0,,,83-86,2,C. Parsons makes 2-pt shot from 2 ft (assist by R. Felton)
7:15.0,,,83-86,,Personal foul by C. Parsons (drawn by M. Plumlee)
7:05.0,J. Bayless makes 2-pt shot from 16 ft (assist by K. Middleton),2,85-86,,
6:44.0,,,85-88,2,C. Parsons makes 2-pt shot from 7 ft
6:25.0,J. Bayless makes 2-pt shot from 8 ft,2,87-88,,
6:05.0,,,87-88,,C. Parsons misses 2-pt shot from 11 ft
6:03.0,Defensive rebound by M. Plumlee,,87-88,,
5:48.0,J. O'Bryant misses 2-pt shot from 1 ft (block by C. Parsons),,87-88,,
5:47.0,,,87-88,,Defensive rebound by Team
5:47.0,Official timeout,,87-88,,
5:47.0,G. Antetokounmpo enters the game for J. O'Bryant,,87-88,,
5:31.0,,,87-88,,Turnover by C. Parsons (lost ball; steal by M. Plumlee)
5:19.0,Offensive foul by J. Bayless,,87-88,,
5:19.0,Turnover by J. Bayless (offensive foul),,87-88,,
5:19.0,G. Monroe enters the game for M. Plumlee,,87-88,,
5:05.0,,,87-88,,Shooting foul by G. Monroe (drawn by W. Matthews)
5:05.0,,,87-89,1,W. Matthews makes free throw 1 of 2
5:05.0,,,87-89,,D. Nowitzki enters the game for C. Villanueva
5:05.0,,,87-89,,W. Matthews misses free throw 2 of 2
5:03.0,Defensive rebound by J. Bayless,,87-89,,
4:49.0,K. Middleton makes 2-pt shot from 6 ft,2,89-89,,
4:25.0,,,89-92,3,W. Matthews makes 3-pt shot from 26 ft (assist by C. Parsons)
4:07.0,G. Antetokounmpo makes 2-pt shot from 7 ft (assist by J. Bayless),2,91-92,,
3:50.0,,,91-95,3,W. Matthews makes 3-pt shot from 25 ft (assist by R. Felton)
3:50.0,Milwaukee full timeout,,91-95,,
3:37.0,O. Mayo misses 3-pt shot from 25 ft,,91-95,,
3:34.0,,,91-95,,Defensive rebound by D. Nowitzki
3:13.0,,,91-95,,Turnover by D. Nowitzki (bad pass; steal by O. Mayo)
2:49.0,G. Monroe misses 2-pt shot from 5 ft,,91-95,,
2:48.0,Offensive rebound by Team,,91-95,,
2:48.0,Turnover by Team (shot clock),,91-95,,
2:36.0,,,91-97,2,R. Felton makes 2-pt shot from 4 ft (assist by D. Nowitzki)
2:18.0,G. Antetokounmpo misses 2-pt shot from 19 ft,,91-97,,
2:17.0,,,91-97,,Defensive rebound by W. Matthews
2:00.0,,,91-97,,R. Felton misses 2-pt shot from 20 ft
1:59.0,Defensive rebound by G. Antetokounmpo,,91-97,,
1:52.0,J. Bayless misses 3-pt shot from 25 ft,,91-97,,
1:51.0,Offensive rebound by G. Monroe,,91-97,,
1:48.0,K. Middleton misses 3-pt shot from 24 ft,,91-97,,
1:47.0,,,91-97,,Defensive rebound by D. Nowitzki
1:29.0,,,91-97,,D. Nowitzki misses 2-pt shot from 18 ft
