time,New York,pts.away,score,pts.home,Portland
2:03.0,,,15-24,,Turnover by A. Aminu (lost ball; steal by C. Anthony)
1:41.0,C. Anthony makes 2-pt shot from 11 ft,2,17-24,,
1:21.0,,,17-26,2,A. Crabbe makes 2-pt shot from 19 ft (assist by A. Aminu)
1:01.0,Turnover by K. O'Quinn (bad pass),,17-26,,
1:01.0,New York full timeout,,17-26,,
1:01.0,S. Vujacic enters the game for A. Afflalo,,17-26,,
0:47.0,,,17-26,,A. Aminu misses 2-pt shot from 21 ft
0:46.0,Defensive rebound by K. O'Quinn,,17-26,,
0:38.0,K. O'Quinn makes 2-pt shot from 11 ft (assist by L. Galloway),2,19-26,,
0:33.0,,,19-29,3,D. Lillard makes 3-pt shot from 26 ft
0:17.0,S. Vujacic makes 2-pt shot from 2 ft (assist by K. O'Quinn),2,21-29,,
0:01.0,Personal foul by S. Vujacic (drawn by A. Crabbe),,21-29,,
0:00.0,,,21-29,,A. Crabbe misses 3-pt shot from 23 ft
0:00.0,,,21-29,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,,,21-29,,M. Leonard misses 2-pt shot from 19 ft
11:41.0,Defensive rebound by K. O'Quinn,,21-29,,
11:34.0,Shooting foul by M. Leonard (drawn by L. Thomas),,21-29,,
11:34.0,L. Thomas makes free throw 1 of 2,1,22-29,,
11:34.0,L. Thomas makes free throw 2 of 2,1,23-29,,
11:18.0,,,23-31,2,C. McCollum makes 2-pt shot from 17 ft (assist by M. Leonard)
11:01.0,K. O'Quinn makes 2-pt shot from 18 ft (assist by L. Galloway),2,25-31,,
10:44.0,,,25-33,2,C. McCollum makes 2-pt shot from 15 ft
10:25.0,D. Williams misses 2-pt shot from 20 ft,,25-33,,
10:25.0,Offensive rebound by Team,,25-33,,
10:25.0,,,25-33,,Loose ball foul by E. Davis (drawn by K. O'Quinn)
10:12.0,D. Williams makes 3-pt shot from 23 ft (assist by S. Vujacic),3,28-33,,
10:01.0,,,28-33,,Offensive foul by M. Harkless
10:01.0,,,28-33,,Turnover by M. Harkless (offensive foul)
9:36.0,L. Galloway misses 2-pt shot from 18 ft,,28-33,,
9:35.0,,,28-33,,Defensive rebound by E. Davis
9:30.0,Personal foul by D. Williams (drawn by M. Leonard),,28-33,,
9:24.0,,,28-33,,M. Leonard misses 3-pt shot from 25 ft
9:23.0,,,28-33,,Offensive rebound by E. Davis
9:22.0,,,28-33,,E. Davis misses 2-pt shot from 2 ft
9:22.0,,,28-33,,Offensive rebound by Team
9:22.0,Jump ball: E. Davis vs. S. Vujacic,,,,Jump ball: E. Davis vs. S. Vujacic
9:21.0,Loose ball foul by S. Vujacic (drawn by M. Leonard),,28-33,,
9:10.0,,,28-33,,M. Leonard misses 2-pt shot from 14 ft
9:09.0,Defensive rebound by K. O'Quinn,,28-33,,
9:04.0,,,28-33,,Violation by A. Crabbe (kicked ball)
8:51.0,L. Thomas makes 2-pt shot from 6 ft (assist by S. Vujacic),2,30-33,,
8:38.0,,,30-35,2,A. Crabbe makes 2-pt shot from 19 ft (assist by M. Leonard)
8:38.0,,,30-35,,Shooting foul by S. Vujacic (drawn by A. Crabbe)
8:38.0,Official timeout,,30-35,,
8:38.0,,,30-36,1,A. Crabbe makes free throw 1 of 1
8:27.0,L. Galloway misses 3-pt shot from 25 ft,,30-36,,
8:26.0,,,30-36,,Defensive rebound by M. Leonard
8:16.0,,,30-36,,A. Crabbe misses 2-pt shot from 5 ft
8:14.0,,,30-36,,Offensive rebound by A. Crabbe
8:09.0,,,30-38,2,A. Crabbe makes 2-pt shot from 6 ft
7:59.0,D. Williams misses 3-pt shot from 25 ft,,30-38,,
7:59.0,,,30-38,,Defensive rebound by A. Crabbe
7:49.0,,,30-40,2,C. McCollum makes 2-pt shot from 17 ft
7:34.0,Turnover by S. Vujacic (lost ball; steal by A. Crabbe),,30-40,,
7:26.0,,,30-40,,C. McCollum misses 3-pt shot from 26 ft
7:25.0,Defensive rebound by D. Williams,,30-40,,
7:20.0,Shooting foul by M. Leonard (drawn by D. Williams),,30-40,,
7:20.0,D. Williams misses free throw 1 of 2,,30-40,,
7:20.0,Offensive rebound by Team,,30-40,,
7:20.0,,,30-40,,G. Henderson enters the game for A. Crabbe
7:20.0,A. Afflalo enters the game for L. Thomas,,30-40,,
7:20.0,C. Anthony enters the game for K. O'Quinn,,30-40,,
7:20.0,K. Porzingis enters the game for S. Vujacic,,30-40,,
7:20.0,D. Williams makes free throw 2 of 2,1,31-40,,
7:02.0,,,31-42,2,M. Leonard makes 2-pt shot from 9 ft (assist by C. McCollum)
6:42.0,D. Williams makes 3-pt shot from 24 ft,3,34-42,,
6:21.0,,,34-42,,Shooting foul by K. Porzingis (drawn by M. Harkless)
6:21.0,,,34-43,1,M. Harkless makes free throw 1 of 2
6:21.0,,,34-44,1,M. Harkless makes free throw 2 of 2
6:03.0,C. Anthony makes 2-pt shot from 2 ft,2,36-44,,
6:03.0,Shooting foul by M. Harkless (drawn by C. Anthony),,36-44,,
6:03.0,,,36-44,,M. Plumlee enters the game for E. Davis
6:03.0,,,36-44,,A. Aminu enters the game for M. Leonard
6:03.0,C. Anthony makes free throw 1 of 1,1,37-44,,
5:43.0,,,37-44,,G. Henderson misses 2-pt shot at rim
5:41.0,Defensive rebound by D. Williams,,37-44,,
5:34.0,C. Anthony makes 3-pt shot from 26 ft (assist by D. Williams),3,40-44,,
5:34.0,,,40-44,,Portland full timeout
5:34.0,,,40-44,,D. Lillard enters the game for C. McCollum
5:16.0,,,40-44,,D. Lillard misses 2-pt shot from 19 ft
5:16.0,Defensive rebound by C. Anthony,,40-44,,
5:05.0,L. Galloway makes 3-pt shot from 25 ft (assist by D. Williams),3,43-44,,
4:48.0,,,43-44,,M. Harkless misses 2-pt shot from 20 ft
4:48.0,,,43-44,,Offensive rebound by A. Aminu
4:44.0,,,43-46,2,A. Aminu makes 2-pt shot from 2 ft
4:25.0,Turnover by K. Porzingis (lost ball),,43-46,,
4:18.0,,,43-46,,Shooting foul by K. Porzingis (drawn by G. Henderson)
4:18.0,,,43-46,,G. Henderson misses free throw 1 of 2
4:18.0,,,43-46,,Offensive rebound by Team
4:18.0,R. Lopez enters the game for K. Porzingis,,43-46,,
4:18.0,,,43-47,1,G. Henderson makes free throw 2 of 2
3:59.0,R. Lopez misses 2-pt shot from 9 ft,,43-47,,
3:57.0,Offensive rebound by C. Anthony,,43-47,,
3:54.0,C. Anthony misses 2-pt shot from 1 ft,,43-47,,
3:52.0,Offensive rebound by C. Anthony,,43-47,,
3:52.0,C. Anthony makes 2-pt shot from 1 ft,2,45-47,,
3:45.0,,,45-47,,Offensive foul by D. Lillard
3:45.0,,,45-47,,Turnover by D. Lillard (offensive foul)
3:24.0,,,45-47,,Personal foul by M. Plumlee (drawn by R. Lopez)
3:24.0,R. Lopez makes free throw 1 of 2,1,46-47,,
3:24.0,L. Thomas enters the game for D. Williams,,46-47,,
3:24.0,,,46-47,,C. McCollum enters the game for M. Harkless
3:24.0,R. Lopez makes free throw 2 of 2,1,47-47,,
3:00.0,,,47-47,,Turnover by Team (shot clock)
2:50.0,C. Anthony misses 3-pt shot from 24 ft,,47-47,,
2:49.0,,,47-47,,Defensive rebound by C. McCollum
2:38.0,,,47-50,3,G. Henderson makes 3-pt shot from 23 ft (assist by D. Lillard)
2:31.0,New York full timeout,,47-50,,
2:31.0,J. Calderon enters the game for L. Galloway,,47-50,,
2:12.0,A. Afflalo makes 2-pt shot from 8 ft,2,49-50,,
1:52.0,,,49-53,3,A. Aminu makes 3-pt shot from 22 ft (assist by G. Henderson)
1:40.0,,,49-53,,Personal foul by C. McCollum (drawn by C. Anthony)
1:40.0,C. Anthony makes free throw 1 of 2,1,50-53,,
1:40.0,C. Anthony makes free throw 2 of 2,1,51-53,,
1:18.0,,,51-55,2,G. Henderson makes 2-pt shot from 16 ft
0:56.0,A. Afflalo misses 2-pt shot from 12 ft,,51-55,,
0:55.0,,,51-55,,Defensive rebound by G. Henderson
0:52.0,Personal block foul by J. Calderon (drawn by G. Henderson),,51-55,,
0:52.0,,,51-55,,G. Henderson misses free throw 1 of 2
0:52.0,,,51-55,,Offensive rebound by Team
0:52.0,,,51-55,,A. Crabbe enters the game for C. McCollum
0:52.0,,,51-56,1,G. Henderson makes free throw 2 of 2
0:35.0,Shooting foul by G. Henderson (drawn by L. Thomas),,51-56,,
0:35.0,L. Thomas makes free throw 1 of 2,1,52-56,,
0:35.0,,,52-56,,C. McCollum enters the game for A. Crabbe
0:35.0,,,52-56,,Portland full timeout
0:35.0,L. Thomas makes free throw 2 of 2,1,53-56,,
0:27.0,,,53-56,,D. Lillard misses 2-pt shot from 3 ft
0:25.0,Defensive rebound by R. Lopez,,53-56,,
0:03.0,C. Anthony makes 2-pt shot from 12 ft,2,55-56,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:40.0,,,55-56,,A. Aminu misses 3-pt shot from 25 ft
11:39.0,Defensive rebound by R. Lopez,,55-56,,
11:15.0,K. Porzingis misses 2-pt shot from 8 ft,,55-56,,
11:15.0,Offensive rebound by R. Lopez,,55-56,,
11:07.0,A. Afflalo misses 2-pt shot from 7 ft,,55-56,,
11:06.0,,,55-56,,Defensive rebound by D. Lillard
10:56.0,,,55-59,3,D. Lillard makes 3-pt shot from 25 ft (assist by M. Plumlee)
10:34.0,C. Anthony makes 2-pt shot from 17 ft (assist by J. Calderon),2,57-59,,
10:12.0,,,57-59,,D. Lillard misses 3-pt shot from 24 ft
10:11.0,Defensive rebound by K. Porzingis,,57-59,,
9:58.0,R. Lopez makes 2-pt shot from 7 ft (assist by J. Calderon),2,59-59,,
9:47.0,,,59-59,,C. McCollum misses 2-pt shot at rim
9:46.0,Defensive rebound by A. Afflalo,,59-59,,
9:40.0,C. Anthony makes 3-pt shot from 26 ft,3,62-59,,
9:25.0,Personal foul by J. Calderon (drawn by N. Vonleh),,62-59,,
9:16.0,,,62-59,,M. Plumlee misses 2-pt shot from 1 ft
9:15.0,Defensive rebound by K. Porzingis,,62-59,,
9:06.0,C. Anthony misses 2-pt shot from 13 ft,,62-59,,
9:04.0,,,62-59,,Defensive rebound by Team
8:46.0,,,62-59,,D. Lillard misses 2-pt shot from 18 ft
8:45.0,Defensive rebound by C. Anthony,,62-59,,
8:45.0,,,62-59,,Personal foul by M. Plumlee (drawn by C. Anthony)
8:34.0,J. Calderon misses 3-pt shot from 25 ft,,62-59,,
8:34.0,,,62-59,,Defensive rebound by Team
8:18.0,,,62-59,,A. Aminu misses 2-pt shot from 4 ft (block by C. Anthony)
8:17.0,Jump ball: A. Aminu vs. C. Anthony (J. Calderon gains possession),,,,Jump ball: A. Aminu vs. C. Anthony (J. Calderon gains possession)
8:17.0,Defensive rebound by Team,,62-59,,
7:52.0,Shooting foul by M. Plumlee (drawn by R. Lopez),,62-59,,
7:52.0,R. Lopez makes free throw 1 of 2,1,63-59,,
7:52.0,R. Lopez makes free throw 2 of 2,1,64-59,,
7:30.0,,,64-61,2,D. Lillard makes 2-pt shot at rim
7:18.0,R. Lopez misses 2-pt shot from 1 ft,,64-61,,
7:16.0,Offensive rebound by R. Lopez,,64-61,,
7:15.0,R. Lopez makes 2-pt shot from 1 ft,2,66-61,,
7:02.0,,,66-64,3,N. Vonleh makes 3-pt shot from 23 ft (assist by M. Plumlee)
6:45.0,Turnover by A. Afflalo (lost ball; steal by N. Vonleh),,66-64,,
6:41.0,,,66-66,2,A. Aminu makes 2-pt shot at rim (assist by D. Lillard)
6:41.0,New York full timeout,,66-66,,
6:22.0,K. Porzingis misses 2-pt shot from 9 ft,,66-66,,
6:21.0,,,66-66,,Defensive rebound by C. McCollum
6:08.0,,,66-66,,C. McCollum misses 2-pt shot from 16 ft
6:07.0,Defensive rebound by K. Porzingis,,66-66,,
5:46.0,C. Anthony misses 3-pt shot from 25 ft,,66-66,,
5:44.0,,,66-66,,Defensive rebound by Team
5:32.0,,,66-66,,Shooting foul by A. Afflalo (drawn by C. McCollum)
5:32.0,,,66-68,2,C. McCollum makes 2-pt shot from 18 ft
5:32.0,,,66-69,1,C. McCollum makes free throw 1 of 1
5:12.0,C. Anthony makes 2-pt shot from 13 ft,2,68-69,,
4:58.0,,,68-71,2,C. McCollum makes 2-pt shot at rim (assist by N. Vonleh)
4:39.0,K. Porzingis misses 2-pt shot from 20 ft,,68-71,,
4:39.0,Offensive rebound by Team,,68-71,,
4:39.0,,,68-71,,Loose ball foul by M. Plumlee (drawn by R. Lopez)
4:39.0,,,68-71,,A. Crabbe enters the game for C. McCollum
4:39.0,,,68-71,,E. Davis enters the game for M. Plumlee
4:39.0,K. O'Quinn enters the game for K. Porzingis,,68-71,,
4:35.0,Turnover by C. Anthony (illegal screen),,68-71,,
4:15.0,,,68-71,,A. Aminu misses 3-pt shot from 23 ft
4:14.0,,,68-71,,Offensive rebound by N. Vonleh
4:13.0,,,68-71,,Shooting foul by R. Lopez (drawn by N. Vonleh)
4:13.0,,,68-72,1,N. Vonleh makes free throw 1 of 2
4:13.0,,,68-73,1,N. Vonleh makes free throw 2 of 2
3:56.0,A. Afflalo makes 2-pt shot from 12 ft,2,70-73,,
3:45.0,,,70-73,,Offensive foul by N. Vonleh
3:45.0,,,70-73,,Turnover by N. Vonleh (offensive foul)
3:27.0,C. Anthony makes 2-pt shot from 2 ft,2,72-73,,
3:24.0,,,72-73,,Portland full timeout
3:24.0,,,72-73,,M. Leonard enters the game for A. Aminu
3:24.0,,,72-73,,M. Harkless enters the game for N. Vonleh
3:24.0,L. Galloway enters the game for A. Afflalo,,72-73,,
3:09.0,,,72-73,,D. Lillard misses 2-pt shot from 21 ft
3:09.0,,,72-73,,Offensive rebound by M. Leonard
3:09.0,Personal foul by K. O'Quinn (drawn by M. Leonard),,72-73,,
3:06.0,,,72-75,2,A. Crabbe makes 2-pt shot from 21 ft (assist by M. Leonard)
3:06.0,Shooting block foul by L. Galloway (drawn by A. Crabbe),,72-75,,
3:06.0,,,72-76,1,A. Crabbe makes free throw 1 of 1
2:42.0,K. O'Quinn makes 2-pt shot from 20 ft,2,74-76,,
2:30.0,,,74-78,2,D. Lillard makes 2-pt shot from 1 ft
2:08.0,J. Calderon misses 3-pt shot from 22 ft,,74-78,,
2:07.0,Offensive rebound by R. Lopez,,74-78,,
1:53.0,K. O'Quinn misses 3-pt shot from 25 ft,,74-78,,
1:52.0,,,74-78,,Defensive rebound by M. Leonard
1:46.0,,,74-78,,Shooting foul by K. O'Quinn (drawn by D. Lillard)
1:46.0,Technical foul by K. O'Quinn (drawn by D. Lillard),,74-78,,
1:46.0,,,74-79,1,D. Lillard makes technical free throw
1:46.0,,,74-80,1,D. Lillard makes free throw 1 of 2
1:46.0,L. Thomas enters the game for R. Lopez,,74-80,,
1:46.0,,,74-81,1,D. Lillard makes free throw 2 of 2
1:21.0,L. Galloway misses 2-pt shot from 3 ft,,74-81,,
1:20.0,,,74-81,,Defensive rebound by E. Davis
1:15.0,Personal foul by L. Thomas (drawn by A. Crabbe),,74-81,,
1:15.0,,,74-82,1,A. Crabbe makes free throw 1 of 2
1:15.0,A. Afflalo enters the game for J. Calderon,,74-82,,
1:15.0,,,74-82,,A. Crabbe misses free throw 2 of 2
1:14.0,,,74-82,,Offensive rebound by Team
1:14.0,Loose ball foul by L. Galloway (drawn by A. Crabbe),,74-82,,
1:14.0,,,74-83,1,A. Crabbe makes free throw 1 of 2
1:14.0,,,74-84,1,A. Crabbe makes free throw 2 of 2
0:56.0,C. Anthony makes 2-pt shot from 2 ft,2,76-84,,
0:36.0,,,76-84,,D. Lillard misses 2-pt shot from 3 ft
0:35.0,,,76-84,,Offensive rebound by E. Davis
0:35.0,,,76-86,2,E. Davis makes 2-pt shot at rim
0:17.0,C. Anthony misses 2-pt shot from 17 ft,,76-86,,
0:16.0,,,76-86,,Defensive rebound by E. Davis
0:00.0,,,76-86,,D. Lillard misses 3-pt shot from 25 ft
0:00.0,Defensive rebound by L. Thomas,,76-86,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,A. Afflalo makes 3-pt shot from 24 ft (assist by L. Galloway),3,79-86,,
11:18.0,,,79-88,2,C. McCollum makes 2-pt shot from 21 ft
10:58.0,L. Thomas makes 3-pt shot from 24 ft (assist by D. Williams),3,82-88,,
10:31.0,,,82-88,,E. Davis misses 2-pt shot from 1 ft
10:31.0,Defensive rebound by K. O'Quinn,,82-88,,
10:26.0,Shooting foul by M. Leonard (drawn by L. Thomas),,82-88,,
10:26.0,L. Thomas makes free throw 1 of 2,1,83-88,,
10:26.0,L. Thomas makes free throw 2 of 2,1,84-88,,
10:17.0,Personal foul by A. Afflalo (drawn by E. Davis),,84-88,,
10:12.0,,,84-88,,C. McCollum misses 2-pt shot from 18 ft
10:11.0,,,84-88,,Offensive rebound by E. Davis
9:59.0,,,84-88,,A. Crabbe misses 3-pt shot from 25 ft
9:58.0,Defensive rebound by D. Williams,,84-88,,
9:49.0,K. O'Quinn makes 2-pt shot from 2 ft (assist by D. Williams),2,86-88,,
9:49.0,,,86-88,,Portland full timeout
9:33.0,,,86-88,,C. McCollum misses 2-pt shot from 12 ft
9:31.0,Defensive rebound by K. O'Quinn,,86-88,,
9:10.0,A. Afflalo misses 2-pt shot from 1 ft,,86-88,,
9:08.0,,,86-88,,Defensive rebound by M. Leonard
8:58.0,,,86-88,,C. McCollum misses 2-pt shot from 16 ft
8:57.0,Defensive rebound by L. Galloway,,86-88,,
8:52.0,Shooting foul by C. McCollum (drawn by L. Galloway),,86-88,,
8:52.0,L. Galloway makes free throw 1 of 2,1,87-88,,
8:52.0,,,87-88,,D. Lillard enters the game for M. Harkless
8:52.0,L. Galloway makes free throw 2 of 2,1,88-88,,
8:30.0,,,88-88,,D. Lillard misses 2-pt shot from 17 ft
8:29.0,Defensive rebound by D. Williams,,88-88,,
8:25.0,D. Williams misses 2-pt shot from 2 ft,,88-88,,
8:22.0,,,88-88,,Defensive rebound by M. Leonard
8:16.0,,,88-90,2,M. Leonard makes 2-pt shot from 13 ft
8:03.0,D. Williams makes 3-pt shot from 24 ft,3,91-90,,
7:44.0,,,91-92,2,A. Crabbe makes 2-pt shot from 5 ft
7:22.0,A. Afflalo misses 3-pt shot from 25 ft,,91-92,,
7:22.0,,,91-92,,Defensive rebound by D. Lillard
7:18.0,,,91-92,,D. Lillard misses 2-pt shot from 3 ft
7:17.0,Defensive rebound by K. O'Quinn,,91-92,,
7:08.0,,,91-92,,Violation by E. Davis (def goaltending)
7:08.0,K. O'Quinn makes 2-pt shot from 1 ft,2,93-92,,
7:08.0,Shooting foul by A. Crabbe (drawn by K. O'Quinn),,93-92,,
7:08.0,C. Anthony enters the game for D. Williams,,93-92,,
7:08.0,K. O'Quinn misses free throw 1 of 1,,93-92,,
7:06.0,,,93-92,,Defensive rebound by M. Leonard
6:57.0,,,93-92,,D. Lillard misses 2-pt shot from 11 ft (block by K. O'Quinn)
6:54.0,Defensive rebound by C. Anthony,,93-92,,
6:49.0,K. O'Quinn makes 2-pt shot at rim,2,95-92,,
6:22.0,,,95-94,2,A. Crabbe makes 2-pt shot from 10 ft
6:04.0,L. Thomas makes 2-pt shot from 20 ft (assist by K. O'Quinn),2,97-94,,
5:45.0,,,97-94,,D. Lillard misses 3-pt shot from 29 ft
5:44.0,Defensive rebound by L. Galloway,,97-94,,
5:40.0,L. Galloway makes 2-pt shot at rim,2,99-94,,
5:39.0,,,99-94,,Portland full timeout
5:39.0,,,99-94,,M. Plumlee enters the game for M. Leonard
5:39.0,,,99-94,,A. Aminu enters the game for E. Davis
5:39.0,R. Lopez enters the game for K. O'Quinn,,99-94,,
5:22.0,,,99-96,2,D. Lillard makes 2-pt shot from 2 ft (assist by M. Plumlee)
5:11.0,Offensive foul by L. Thomas,,99-96,,
5:11.0,Turnover by L. Thomas (offensive foul),,99-96,,
4:49.0,,,99-96,,A. Aminu misses 3-pt shot from 25 ft
4:48.0,Defensive rebound by L. Galloway,,99-96,,
4:29.0,A. Afflalo makes 3-pt shot from 24 ft (assist by C. Anthony),3,102-96,,
4:10.0,,,102-98,2,D. Lillard makes 2-pt shot from 15 ft
3:55.0,L. Galloway misses 2-pt shot from 6 ft,,102-98,,
3:52.0,,,102-98,,Defensive rebound by M. Plumlee
3:40.0,,,102-98,,A. Aminu misses 3-pt shot from 25 ft
3:39.0,Defensive rebound by R. Lopez,,102-98,,
3:27.0,Shooting foul by A. Crabbe (drawn by A. Afflalo),,102-98,,
3:27.0,A. Afflalo makes free throw 1 of 2,1,103-98,,
3:27.0,A. Afflalo makes free throw 2 of 2,1,104-98,,
3:15.0,,,104-98,,C. McCollum misses 3-pt shot from 25 ft
3:15.0,Defensive rebound by Team,,104-98,,
3:03.0,New York full timeout,,104-98,,
2:49.0,C. Anthony misses 2-pt shot from 18 ft,,104-98,,
2:49.0,,,104-98,,Defensive rebound by D. Lillard
2:34.0,,,104-98,,Shooting foul by R. Lopez (drawn by C. McCollum)
2:34.0,,,104-99,1,C. McCollum makes free throw 1 of 2
2:34.0,,,104-100,1,C. McCollum makes free throw 2 of 2
2:12.0,L. Galloway misses 3-pt shot from 25 ft,,104-100,,
2:11.0,Offensive rebound by R. Lopez,,104-100,,
2:09.0,R. Lopez makes 2-pt shot from 1 ft,2,106-100,,
1:54.0,,,106-102,2,A. Aminu makes 2-pt shot from 17 ft (assist by D. Lillard)
1:38.0,A. Afflalo misses 3-pt shot from 25 ft,,106-102,,
1:37.0,,,106-102,,Defensive rebound by D. Lillard
1:30.0,,,106-104,2,D. Lillard makes 2-pt shot from 21 ft
1:30.0,New York full timeout,,106-104,,
1:10.0,Turnover by C. Anthony (lost ball),,106-104,,
0:52.0,,,106-104,,M. Plumlee misses 2-pt shot from 1 ft
0:51.0,,,106-104,,Offensive rebound by Team
