time,LA Lakers,pts.away,score,pts.home,San Antonio
0:32.0,,,18-27,3,P. Mills makes 3-pt shot from 23 ft (assist by J. Simmons)
0:13.0,Shooting foul by P. Mills (drawn by D. Russell),,18-27,,
0:13.0,D. Russell makes free throw 1 of 2,1,19-27,,
0:13.0,D. Russell makes free throw 2 of 2,1,20-27,,
0:07.0,Personal foul by B. Bass (drawn by P. Mills),,20-27,,
0:01.0,,,20-29,2,J. Simmons makes 2-pt shot from 4 ft
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,B. Bass misses 2-pt shot at rim (block by D. West),,20-29,,
11:41.0,,,20-29,,Defensive rebound by D. Green
11:26.0,,,20-29,,D. Green misses 3-pt shot from 23 ft
11:25.0,,,20-29,,Offensive rebound by D. West
11:21.0,,,20-31,2,D. West makes 2-pt shot from 1 ft
11:08.0,L. Williams misses 2-pt shot from 15 ft (block by D. Green),,20-31,,
11:07.0,Offensive rebound by T. Black,,20-31,,
11:03.0,T. Black misses 2-pt shot from 1 ft,,20-31,,
11:02.0,Offensive rebound by T. Black,,20-31,,
10:59.0,T. Black makes 2-pt shot at rim,2,22-31,,
10:45.0,,,22-31,,L. Aldridge misses 2-pt shot from 14 ft
10:41.0,Defensive rebound by B. Bass,,22-31,,
10:35.0,Shooting foul by L. Aldridge (drawn by T. Black),,22-31,,
10:35.0,T. Black misses free throw 1 of 2,,22-31,,
10:35.0,Offensive rebound by Team,,22-31,,
10:35.0,T. Black misses free throw 2 of 2,,22-31,,
10:34.0,,,22-31,,Defensive rebound by L. Aldridge
10:07.0,,,22-33,2,L. Aldridge makes 2-pt shot from 17 ft (assist by T. Parker)
9:53.0,D. Russell misses 3-pt shot from 24 ft,,22-33,,
9:52.0,,,22-33,,Defensive rebound by L. Aldridge
9:43.0,Personal foul by T. Black (drawn by L. Aldridge),,22-33,,
9:28.0,,,22-33,,Turnover by T. Parker (bad pass)
9:09.0,N. Young misses 2-pt shot from 21 ft,,22-33,,
9:08.0,,,22-33,,Defensive rebound by K. Anderson
8:59.0,,,22-35,2,L. Aldridge makes 2-pt shot from 2 ft (assist by K. Anderson)
8:47.0,N. Young makes 3-pt shot from 24 ft (assist by L. Williams),3,25-35,,
8:46.0,,,25-35,,San Antonio full timeout
8:46.0,Personal foul by D. Russell (drawn by T. Parker),,25-35,,
8:46.0,,,25-35,,B. Marjanovic enters the game for D. West
8:38.0,Personal foul by D. Russell (drawn by T. Parker),,25-35,,
8:38.0,J. Clarkson enters the game for D. Russell,,25-35,,
8:28.0,,,25-35,,Turnover by T. Parker (bad pass; steal by B. Bass)
8:23.0,B. Bass makes 2-pt shot at rim,2,27-35,,
8:02.0,,,27-37,2,T. Parker makes 2-pt shot from 18 ft (assist by L. Aldridge)
7:36.0,Shooting foul by B. Marjanovic (drawn by B. Bass),,27-37,,
7:36.0,B. Bass makes free throw 1 of 2,1,28-37,,
7:36.0,B. Bass makes free throw 2 of 2,1,29-37,,
7:18.0,,,29-37,,K. Anderson misses 2-pt shot from 8 ft
7:14.0,Defensive rebound by J. Clarkson,,29-37,,
7:05.0,Turnover by L. Williams (bad pass; steal by B. Marjanovic),,29-37,,
7:02.0,Personal foul by L. Williams,,29-37,,
7:02.0,J. Randle enters the game for B. Bass,,29-37,,
7:02.0,K. Bryant enters the game for N. Young,,29-37,,
7:02.0,,,29-37,,K. Leonard enters the game for K. Anderson
6:50.0,,,29-39,2,L. Aldridge makes 2-pt shot from 8 ft
6:37.0,Shooting foul by T. Parker (drawn by J. Clarkson),,29-39,,
6:37.0,J. Clarkson makes free throw 1 of 2,1,30-39,,
6:37.0,J. Clarkson makes free throw 2 of 2,1,31-39,,
6:25.0,,,31-39,,T. Parker misses 2-pt shot at rim
6:24.0,Defensive rebound by L. Williams,,31-39,,
6:18.0,,,31-39,,Violation by B. Marjanovic (kicked ball)
6:18.0,R. Sacre enters the game for T. Black,,31-39,,
6:17.0,,,31-39,,Personal foul by D. Green (drawn by J. Randle)
6:17.0,,,31-39,,J. Simmons enters the game for D. Green
6:08.0,R. Sacre misses 2-pt shot from 11 ft,,31-39,,
6:08.0,,,31-39,,Defensive rebound by Team
5:48.0,,,31-39,,J. Simmons misses 3-pt shot from 25 ft
5:47.0,Defensive rebound by J. Clarkson,,31-39,,
5:35.0,J. Randle makes 2-pt shot from 4 ft (assist by J. Clarkson),2,33-39,,
5:18.0,,,33-39,,Shooting foul by K. Bryant (drawn by K. Leonard)
5:18.0,Official timeout,,33-39,,
5:18.0,Violation by Team (delay of game),,33-39,,
5:18.0,,,33-40,1,K. Leonard makes free throw 1 of 2
5:18.0,,,33-41,1,K. Leonard makes free throw 2 of 2
5:09.0,K. Bryant misses 2-pt shot from 19 ft,,33-41,,
5:09.0,Offensive rebound by Team,,33-41,,
5:09.0,,,33-41,,Loose ball foul by L. Aldridge (drawn by J. Randle)
5:09.0,J. Randle makes free throw 1 of 2,1,34-41,,
5:09.0,,,34-41,,P. Mills enters the game for T. Parker
5:09.0,J. Randle makes free throw 2 of 2,1,35-41,,
4:43.0,,,35-41,,J. Simmons misses 2-pt shot from 15 ft
4:42.0,Defensive rebound by J. Randle,,35-41,,
4:30.0,J. Clarkson makes 3-pt shot from 25 ft,3,38-41,,
4:06.0,,,38-41,,Shooting foul by K. Bryant (drawn by K. Leonard)
4:06.0,,,38-42,1,K. Leonard makes free throw 1 of 2
4:06.0,,,38-42,,B. Diaw enters the game for L. Aldridge
4:06.0,,,38-42,,K. Leonard misses free throw 2 of 2
4:05.0,Defensive rebound by R. Sacre,,38-42,,
3:50.0,J. Clarkson makes 2-pt shot at rim (assist by L. Williams),2,40-42,,
3:33.0,,,40-42,,B. Diaw misses 2-pt shot from 13 ft
3:32.0,,,40-42,,Offensive rebound by J. Simmons
3:29.0,,,40-42,,J. Simmons misses 2-pt shot at rim (block by R. Sacre)
3:29.0,,,40-42,,Offensive rebound by B. Marjanovic
3:29.0,,,40-44,2,B. Marjanovic makes 2-pt shot from 2 ft
3:29.0,,,40-44,,Shooting foul by J. Randle (drawn by B. Marjanovic)
3:29.0,,,40-45,1,B. Marjanovic makes free throw 1 of 1
3:17.0,L. Williams misses 3-pt shot from 25 ft,,40-45,,
3:16.0,,,40-45,,Defensive rebound by B. Marjanovic
3:07.0,,,40-45,,K. Leonard misses 2-pt shot from 12 ft
3:06.0,Defensive rebound by J. Randle,,40-45,,
2:59.0,J. Randle makes 2-pt shot at rim,2,42-45,,
2:43.0,,,42-47,2,K. Leonard makes 2-pt shot from 1 ft (assist by B. Marjanovic)
2:25.0,K. Bryant misses 3-pt shot from 25 ft,,42-47,,
2:24.0,,,42-47,,Defensive rebound by K. Leonard
2:17.0,,,42-47,,P. Mills misses 3-pt shot from 23 ft
2:15.0,Defensive rebound by J. Randle,,42-47,,
2:08.0,K. Bryant makes 2-pt shot from 1 ft (assist by J. Randle),2,44-47,,
1:52.0,,,44-47,,P. Mills misses 3-pt shot from 23 ft
1:52.0,,,44-47,,Offensive rebound by B. Marjanovic
1:44.0,,,44-50,3,P. Mills makes 3-pt shot from 22 ft (assist by B. Diaw)
1:33.0,Shooting foul by J. Simmons (drawn by L. Williams),,44-50,,
1:33.0,LA Lakers full timeout,,44-50,,
1:33.0,L. Williams makes free throw 1 of 3,1,45-50,,
1:33.0,L. Williams makes free throw 2 of 3,1,46-50,,
1:33.0,L. Williams makes free throw 3 of 3,1,47-50,,
1:19.0,,,47-50,,K. Leonard misses 3-pt shot from 24 ft
1:19.0,Defensive rebound by Team,,47-50,,
1:19.0,,,47-50,,Loose ball foul by B. Marjanovic (drawn by R. Sacre)
1:19.0,R. Sacre makes free throw 1 of 2,1,48-50,,
1:19.0,R. Sacre makes free throw 2 of 2,1,49-50,,
1:07.0,,,49-50,,Turnover by B. Marjanovic (bad pass; steal by J. Randle)
0:48.0,J. Randle makes 2-pt shot at rim,2,51-50,,
0:36.0,,,51-50,,Shooting foul by R. Sacre (drawn by K. Leonard)
0:36.0,,,51-52,2,K. Leonard makes 2-pt shot at rim
0:36.0,,,51-52,,K. Leonard misses free throw 1 of 1
0:35.0,Defensive rebound by J. Randle,,51-52,,
0:26.0,K. Bryant misses 3-pt shot from 25 ft,,51-52,,
0:26.0,,,51-52,,Defensive rebound by B. Marjanovic
0:09.0,,,51-52,,Shooting foul by L. Williams (drawn by K. Leonard)
0:09.0,,,51-53,1,K. Leonard makes free throw 1 of 2
0:09.0,,,51-54,1,K. Leonard makes free throw 2 of 2
0:02.0,K. Bryant misses 3-pt shot from 23 ft,,51-54,,
0:01.0,,,51-54,,Defensive rebound by B. Marjanovic
0:00.0,,,51-54,,P. Mills misses 3-pt shot from 50 ft
0:00.0,,,51-54,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,K. Bryant makes 2-pt shot from 14 ft (assist by J. Randle),2,53-54,,
11:26.0,,,53-56,2,L. Aldridge makes 2-pt shot from 17 ft (assist by T. Parker)
11:07.0,J. Randle misses 2-pt shot from 19 ft,,53-56,,
11:06.0,,,53-56,,Defensive rebound by K. Leonard
10:52.0,,,53-58,2,L. Aldridge makes 2-pt shot from 16 ft (assist by D. Green)
10:31.0,K. Bryant misses 2-pt shot from 9 ft,,53-58,,
10:30.0,Offensive rebound by R. Sacre,,53-58,,
10:30.0,,,53-58,,Personal foul by D. West (drawn by R. Sacre)
10:23.0,J. Clarkson makes 2-pt shot from 12 ft (assist by K. Bryant),2,55-58,,
10:11.0,,,55-58,,D. Green misses 3-pt shot from 23 ft
10:10.0,Defensive rebound by J. Randle,,55-58,,
9:59.0,K. Bryant misses 3-pt shot from 25 ft,,55-58,,
9:58.0,,,55-58,,Defensive rebound by D. West
9:38.0,,,55-60,2,L. Aldridge makes 2-pt shot from 9 ft (assist by D. West)
9:24.0,Turnover by J. Randle (3 sec),,55-60,,
9:09.0,,,55-60,,L. Aldridge misses 2-pt shot from 12 ft
9:08.0,Defensive rebound by J. Clarkson,,55-60,,
9:03.0,K. Bryant misses 3-pt shot from 25 ft,,55-60,,
9:01.0,,,55-60,,Defensive rebound by K. Leonard
8:57.0,,,55-60,,Shooting foul by J. Clarkson (drawn by K. Leonard)
8:57.0,,,55-61,1,K. Leonard makes free throw 1 of 2
8:57.0,,,55-62,1,K. Leonard makes free throw 2 of 2
8:47.0,,,55-62,,Personal foul by K. Leonard (drawn by K. Bryant)
8:38.0,J. Clarkson makes 2-pt shot from 9 ft (assist by K. Bryant),2,57-62,,
8:23.0,,,57-64,2,T. Parker makes 2-pt shot from 2 ft (assist by K. Leonard)
8:12.0,K. Bryant makes 2-pt shot at rim,2,59-64,,
8:02.0,Personal foul by K. Bryant (drawn by K. Leonard),,59-64,,
7:59.0,,,59-64,,T. Parker misses 2-pt shot from 16 ft
7:58.0,Defensive rebound by J. Randle,,59-64,,
7:44.0,Turnover by K. Bryant (bad pass; steal by T. Parker),,59-64,,
7:38.0,,,59-64,,T. Parker misses 2-pt shot from 1 ft
7:37.0,,,59-64,,Offensive rebound by K. Leonard
7:35.0,,,59-66,2,K. Leonard makes 2-pt shot from 1 ft
7:22.0,J. Randle misses 2-pt shot from 5 ft,,59-66,,
7:21.0,,,59-66,,Defensive rebound by D. West
7:21.0,Personal foul by J. Randle (drawn by D. West),,59-66,,
7:07.0,,,59-66,,K. Leonard misses 3-pt shot from 25 ft
7:06.0,Defensive rebound by J. Randle,,59-66,,
6:55.0,J. Randle makes 2-pt shot from 9 ft (assist by J. Clarkson),2,61-66,,
6:39.0,,,61-68,2,T. Parker makes 2-pt shot from 1 ft
6:34.0,Turnover by J. Clarkson (bad pass; steal by D. Green),,61-68,,
6:26.0,,,61-70,2,T. Parker makes 2-pt shot from 18 ft
6:26.0,LA Lakers full timeout,,61-70,,
6:17.0,,,61-70,,Def 3 sec tech foul by D. West
6:17.0,L. Williams makes technical free throw,1,62-70,,
6:11.0,Shooting foul by K. Leonard (drawn by J. Randle),,62-70,,
6:11.0,J. Randle makes free throw 1 of 2,1,63-70,,
6:11.0,J. Randle makes free throw 2 of 2,1,64-70,,
5:58.0,,,64-70,,T. Parker misses 2-pt shot from 17 ft
5:57.0,,,64-70,,Offensive rebound by L. Aldridge
5:51.0,,,64-70,,L. Aldridge misses 2-pt shot from 5 ft (block by K. Bryant)
5:50.0,Defensive rebound by J. Clarkson,,64-70,,
5:43.0,K. Bryant makes 2-pt shot from 13 ft (assist by L. Williams),2,66-70,,
5:27.0,,,66-70,,K. Leonard misses 2-pt shot at rim
5:25.0,Defensive rebound by J. Randle,,66-70,,
5:09.0,J. Randle misses 2-pt shot from 18 ft,,66-70,,
5:08.0,,,66-70,,Defensive rebound by T. Parker
5:03.0,,,66-70,,Turnover by T. Parker (bad pass; steal by J. Randle)
4:55.0,R. Sacre misses 2-pt shot from 3 ft (block by D. West),,66-70,,
4:54.0,,,66-70,,Defensive rebound by T. Parker
4:49.0,,,66-72,2,K. Leonard makes 2-pt shot from 2 ft (assist by T. Parker)
4:49.0,,,66-72,,Shooting foul by L. Williams (drawn by K. Leonard)
4:49.0,,,66-72,,P. Mills enters the game for D. Green
4:49.0,B. Bass enters the game for R. Sacre,,66-72,,
4:49.0,,,66-72,,J. Simmons enters the game for T. Parker
4:49.0,D. Russell enters the game for L. Williams,,66-72,,
4:49.0,,,66-72,,B. Diaw enters the game for D. West
4:49.0,,,66-73,1,K. Leonard makes free throw 1 of 1
4:28.0,K. Bryant misses 2-pt shot from 12 ft,,66-73,,
4:28.0,,,66-73,,Defensive rebound by K. Leonard
4:19.0,,,66-73,,P. Mills misses 3-pt shot from 22 ft
4:18.0,,,66-73,,Offensive rebound by K. Leonard
4:15.0,,,66-73,,P. Mills misses 3-pt shot from 23 ft
4:13.0,Defensive rebound by J. Randle,,66-73,,
4:06.0,K. Bryant makes 3-pt shot from 25 ft (assist by J. Clarkson),3,69-73,,
3:43.0,,,69-73,,P. Mills misses 3-pt shot from 25 ft
3:41.0,,,69-73,,Offensive rebound by L. Aldridge
3:28.0,,,69-75,2,J. Simmons makes 2-pt shot from 2 ft (assist by K. Leonard)
3:08.0,K. Bryant makes 3-pt shot from 24 ft (assist by J. Randle),3,72-75,,
2:52.0,,,72-77,2,L. Aldridge makes 2-pt shot from 16 ft (assist by P. Mills)
2:36.0,K. Bryant makes 3-pt shot from 25 ft (assist by J. Randle),3,75-77,,
2:36.0,Shooting foul by P. Mills (drawn by K. Bryant),,75-77,,
2:36.0,,,75-77,,San Antonio full timeout
2:36.0,T. Black enters the game for J. Randle,,75-77,,
2:36.0,K. Bryant makes free throw 1 of 1,1,76-77,,
2:18.0,,,76-77,,Shooting foul by T. Black (drawn by J. Simmons)
2:18.0,,,76-78,1,J. Simmons makes free throw 1 of 2
2:18.0,,,76-79,1,J. Simmons makes free throw 2 of 2
2:00.0,K. Bryant misses 3-pt shot from 24 ft,,76-79,,
1:59.0,,,76-79,,Defensive rebound by P. Mills
1:49.0,,,76-79,,K. Leonard misses 2-pt shot from 2 ft
1:48.0,Defensive rebound by T. Black,,76-79,,
1:26.0,J. Clarkson misses 3-pt shot from 25 ft,,76-79,,
1:25.0,,,76-79,,Defensive rebound by K. Leonard
1:17.0,,,76-79,,L. Aldridge misses 2-pt shot from 16 ft
1:16.0,Defensive rebound by B. Bass,,76-79,,
0:55.0,K. Bryant misses 2-pt shot from 17 ft,,76-79,,
0:53.0,Offensive rebound by T. Black,,76-79,,
0:52.0,T. Black misses 2-pt shot from 6 ft,,76-79,,
0:51.0,Offensive rebound by J. Clarkson,,76-79,,
0:51.0,J. Clarkson makes 2-pt shot at rim,2,78-79,,
0:34.0,,,78-79,,P. Mills misses 2-pt shot from 17 ft
0:32.0,Defensive rebound by T. Black,,78-79,,
0:14.0,D. Russell makes 3-pt shot from 24 ft,3,81-79,,
0:01.0,,,81-79,,K. Leonard misses 3-pt shot from 25 ft
0:00.0,,,81-79,,Offensive rebound by L. Aldridge
0:00.0,,,81-79,,L. Aldridge misses 2-pt shot from 2 ft
0:00.0,,,81-79,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,,,81-79,,P. Mills misses 3-pt shot from 24 ft
11:42.0,,,81-79,,Offensive rebound by D. West
11:42.0,,,81-79,,D. West misses 2-pt shot from 2 ft
11:40.0,Defensive rebound by B. Bass,,81-79,,
11:20.0,D. Russell misses 2-pt shot from 14 ft,,81-79,,
11:19.0,,,81-79,,Defensive rebound by D. West
11:05.0,Def 3 sec tech foul by T. Black,,81-79,,
11:05.0,,,81-79,,K. Leonard misses technical free throw
11:05.0,,,81-79,,Offensive rebound by Team
11:05.0,,,81-79,,D. Green enters the game for K. Leonard
10:54.0,,,81-81,2,P. Mills makes 2-pt shot from 11 ft (assist by D. West)
10:37.0,Shooting foul by B. Diaw (drawn by D. Russell),,81-81,,
10:37.0,D. Russell makes free throw 1 of 2,1,82-81,,
10:37.0,D. Russell makes free throw 2 of 2,1,83-81,,
10:14.0,,,83-81,,B. Diaw misses 2-pt shot from 8 ft
10:13.0,Defensive rebound by D. Russell,,83-81,,
10:03.0,L. Williams makes 3-pt shot from 25 ft,3,86-81,,
9:42.0,,,86-84,3,J. Simmons makes 3-pt shot from 24 ft (assist by B. Diaw)
9:25.0,T. Black makes 2-pt shot at rim (assist by D. Russell),2,88-84,,
9:25.0,,,88-84,,San Antonio full timeout
9:07.0,,,88-87,3,D. Green makes 3-pt shot from 24 ft (assist by B. Diaw)
8:53.0,D. Russell makes 2-pt shot from 16 ft,2,90-87,,
8:31.0,,,90-90,3,D. Green makes 3-pt shot from 25 ft (assist by D. West)
8:07.0,B. Bass misses 2-pt shot from 10 ft,,90-90,,
8:06.0,,,90-90,,Defensive rebound by D. West
7:53.0,,,90-90,,J. Simmons misses 2-pt shot from 3 ft
7:52.0,Defensive rebound by T. Black,,90-90,,
7:45.0,N. Young misses 3-pt shot from 25 ft,,90-90,,
7:43.0,,,90-90,,Defensive rebound by B. Diaw
7:18.0,,,90-90,,D. West misses 2-pt shot from 17 ft
7:16.0,,,90-90,,Offensive rebound by D. Green
7:02.0,,,90-90,,J. Simmons misses 2-pt shot from 8 ft (block by B. Bass)
7:00.0,,,90-90,,Offensive rebound by J. Simmons
6:50.0,,,90-90,,J. Simmons misses 2-pt shot from 2 ft
6:48.0,Defensive rebound by T. Black,,90-90,,
6:42.0,D. Russell misses 3-pt shot from 25 ft,,90-90,,
6:41.0,,,90-90,,Defensive rebound by D. Green
6:21.0,,,90-92,2,D. West makes 2-pt shot from 3 ft
6:07.0,L. Williams misses 3-pt shot from 24 ft,,90-92,,
6:05.0,Offensive rebound by L. Williams,,90-92,,
5:58.0,D. Russell makes 3-pt shot from 24 ft (assist by N. Young),3,93-92,,
5:45.0,,,93-92,,Turnover by D. Green (bad pass; steal by D. Russell)
5:45.0,,,93-92,,Personal foul by D. West (drawn by D. Russell)
5:45.0,Official timeout,,93-92,,
5:45.0,,,93-92,,T. Parker enters the game for B. Diaw
5:45.0,,,93-92,,K. Leonard enters the game for J. Simmons
5:45.0,,,93-92,,L. Aldridge enters the game for P. Mills
5:45.0,K. Bryant enters the game for N. Young,,93-92,,
5:45.0,J. Randle enters the game for T. Black,,93-92,,
5:23.0,K. Bryant misses 3-pt shot from 22 ft,,93-92,,
5:22.0,,,93-92,,Defensive rebound by D. Green
5:14.0,,,93-92,,D. Green misses 3-pt shot from 24 ft
5:13.0,Defensive rebound by J. Randle,,93-92,,
4:53.0,L. Williams misses 3-pt shot from 24 ft (block by D. Green),,93-92,,
4:51.0,Offensive rebound by B. Bass,,93-92,,
4:47.0,B. Bass misses 2-pt shot from 16 ft,,93-92,,
4:47.0,,,93-92,,Defensive rebound by L. Aldridge
4:36.0,,,93-92,,Shooting foul by J. Randle (drawn by L. Aldridge)
4:36.0,,,93-93,1,L. Aldridge makes free throw 1 of 2
4:36.0,,,93-94,1,L. Aldridge makes free throw 2 of 2
4:25.0,K. Bryant misses 2-pt shot from 16 ft,,93-94,,
4:24.0,,,93-94,,Defensive rebound by L. Aldridge
4:15.0,,,93-96,2,T. Parker makes 2-pt shot from 17 ft
3:50.0,J. Randle misses 2-pt shot from 10 ft (block by D. West),,93-96,,
3:49.0,Offensive rebound by Team,,93-96,,
3:49.0,Turnover by Team (shot clock),,93-96,,
3:34.0,,,93-96,,L. Aldridge misses 2-pt shot from 6 ft
3:32.0,Defensive rebound by D. Russell,,93-96,,
3:23.0,J. Clarkson enters the game for D. Russell,,93-96,,
3:12.0,K. Bryant makes 3-pt shot from 23 ft,3,96-96,,
2:53.0,,,96-99,3,D. Green makes 3-pt shot from 24 ft (assist by K. Leonard)
2:39.0,K. Bryant misses 3-pt shot from 25 ft,,96-99,,
2:38.0,Offensive rebound by J. Randle,,96-99,,
2:25.0,L. Williams makes 3-pt shot from 25 ft (assist by J. Clarkson),3,99-99,,
