time,Milwaukee,pts.away,score,pts.home,Memphis
9:25.0,J. Bayless misses 3-pt shot from 25 ft,,29-35,,
9:24.0,Offensive rebound by Team,,29-35,,
9:10.0,R. Vaughn misses 3-pt shot from 27 ft,,29-35,,
9:09.0,Offensive rebound by G. Monroe,,29-35,,
9:06.0,,,29-35,,Personal foul by M. Gasol (drawn by G. Monroe)
8:54.0,G. Antetokounmpo makes 2-pt shot at rim (assist by G. Monroe),2,31-35,,
8:30.0,,,31-35,,V. Carter misses 3-pt shot from 26 ft
8:30.0,Defensive rebound by J. Bayless,,31-35,,
8:22.0,G. Monroe makes 2-pt shot from 7 ft (assist by J. Bayless),2,33-35,,
7:57.0,,,33-35,,M. Conley misses 3-pt shot from 24 ft
7:55.0,Defensive rebound by G. Antetokounmpo,,33-35,,
7:48.0,R. Vaughn misses 3-pt shot from 25 ft,,33-35,,
7:45.0,,,33-35,,Defensive rebound by J. Green
7:28.0,,,33-37,2,M. Gasol makes 2-pt shot from 11 ft
7:13.0,Turnover by J. Bayless (bad pass; steal by M. Gasol),,33-37,,
7:06.0,,,33-37,,J. Green misses 2-pt shot at rim
7:03.0,Defensive rebound by G. Antetokounmpo,,33-37,,
6:58.0,R. Vaughn misses 3-pt shot from 23 ft,,33-37,,
6:57.0,Offensive rebound by J. O'Bryant,,33-37,,
6:55.0,J. O'Bryant misses 2-pt shot from 1 ft (block by M. Barnes),,33-37,,
6:54.0,Offensive rebound by Team,,33-37,,
6:54.0,,,33-37,,Violation by J. Green (kicked ball)
6:54.0,Official timeout,,33-37,,
6:54.0,,,33-37,,T. Allen enters the game for M. Barnes
6:34.0,G. Antetokounmpo misses 2-pt shot from 1 ft (block by T. Allen),,33-37,,
6:32.0,,,33-37,,Defensive rebound by T. Allen
6:17.0,,,33-37,,J. Green misses 3-pt shot from 26 ft
6:16.0,Defensive rebound by G. Monroe,,33-37,,
5:59.0,G. Monroe makes 2-pt shot from 12 ft (assist by J. Bayless),2,35-37,,
5:40.0,,,35-39,2,M. Gasol makes 2-pt shot from 12 ft (assist by M. Conley)
5:21.0,G. Monroe makes 2-pt shot at rim (assist by J. Bayless),2,37-39,,
5:01.0,,,37-39,,M. Gasol misses 2-pt shot from 20 ft
5:00.0,,,37-39,,Offensive rebound by V. Carter
4:56.0,,,37-39,,M. Conley misses 3-pt shot from 25 ft
4:55.0,,,37-39,,Offensive rebound by T. Allen
4:54.0,,,37-41,2,T. Allen makes 2-pt shot at rim
4:54.0,,,37-41,,Shooting foul by G. Antetokounmpo (drawn by T. Allen)
4:54.0,,,37-41,,Memphis full timeout
4:54.0,,,37-41,,Z. Randolph enters the game for V. Carter
4:54.0,K. Middleton enters the game for J. Bayless,,37-41,,
4:54.0,J. Parker enters the game for R. Vaughn,,37-41,,
4:54.0,M. Carter-Williams enters the game for J. O'Bryant,,37-41,,
4:54.0,,,37-42,1,T. Allen makes free throw 1 of 1
4:38.0,Turnover by G. Monroe (lost ball; steal by M. Gasol),,37-42,,
4:15.0,,,37-42,,M. Gasol misses 2-pt shot from 19 ft
4:15.0,Defensive rebound by M. Carter-Williams,,37-42,,
4:06.0,G. Antetokounmpo misses 2-pt shot from 5 ft,,37-42,,
4:03.0,,,37-42,,Defensive rebound by M. Gasol
3:59.0,,,37-44,2,T. Allen makes 2-pt shot from 1 ft (assist by M. Gasol)
3:38.0,G. Antetokounmpo misses 2-pt shot from 18 ft,,37-44,,
3:37.0,Offensive rebound by G. Monroe,,37-44,,
3:31.0,G. Monroe makes 2-pt shot from 1 ft,2,39-44,,
3:12.0,,,39-44,,T. Allen misses 3-pt shot from 23 ft
3:11.0,,,39-44,,Offensive rebound by M. Gasol
3:09.0,,,39-46,2,M. Gasol makes 2-pt shot at rim
2:50.0,Turnover by G. Monroe (bad pass; steal by Z. Randolph),,39-46,,
2:45.0,,,39-48,2,M. Conley makes 2-pt shot at rim
2:44.0,Milwaukee full timeout,,39-48,,
2:44.0,M. Plumlee enters the game for G. Monroe,,39-48,,
2:36.0,J. Parker makes 2-pt shot at rim (assist by K. Middleton),2,41-48,,
2:13.0,,,41-50,2,Z. Randolph makes 2-pt shot from 7 ft (assist by M. Conley)
1:49.0,G. Antetokounmpo misses 2-pt shot from 15 ft,,41-50,,
1:47.0,,,41-50,,Defensive rebound by Z. Randolph
1:27.0,,,41-50,,T. Allen misses 2-pt shot from 19 ft
1:26.0,Defensive rebound by J. Parker,,41-50,,
1:15.0,K. Middleton misses 3-pt shot from 22 ft,,41-50,,
1:13.0,Offensive rebound by J. Parker,,41-50,,
1:13.0,J. Parker misses 2-pt shot from 1 ft,,41-50,,
1:10.0,,,41-50,,Defensive rebound by M. Gasol
1:00.0,,,41-50,,Z. Randolph misses 2-pt shot at rim
1:00.0,Defensive rebound by G. Antetokounmpo,,41-50,,
0:57.0,,,41-50,,Personal foul by M. Conley (drawn by K. Middleton)
0:42.0,G. Antetokounmpo misses 2-pt shot from 1 ft,,41-50,,
0:40.0,,,41-50,,Defensive rebound by M. Gasol
0:28.0,,,41-50,,M. Conley misses 2-pt shot at rim
0:26.0,Defensive rebound by M. Plumlee,,41-50,,
0:07.0,K. Middleton misses 2-pt shot from 13 ft,,41-50,,
0:06.0,Offensive rebound by Team,,41-50,,
0:06.0,Milwaukee full timeout,,41-50,,
0:06.0,Turnover by Team (5 sec inbounds),,41-50,,
0:06.0,,,41-50,,M. Chalmers enters the game for T. Allen
0:04.0,,,41-50,,Memphis full timeout
0:04.0,,,41-50,,C. Lee enters the game for M. Chalmers
0:01.0,,,41-50,,M. Conley misses 3-pt shot from 24 ft
0:00.0,,,41-50,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:40.0,,,41-50,,M. Conley misses 3-pt shot from 24 ft
11:39.0,Defensive rebound by G. Antetokounmpo,,41-50,,
11:29.0,Turnover by M. Carter-Williams (bad pass; steal by M. Gasol),,41-50,,
11:25.0,,,41-50,,Shooting foul by J. Parker (drawn by T. Allen)
11:25.0,,,41-51,1,T. Allen makes free throw 1 of 2
11:25.0,,,41-52,1,T. Allen makes free throw 2 of 2
11:16.0,Turnover by G. Monroe (bad pass),,41-52,,
10:59.0,,,41-52,,Shooting foul by M. Carter-Williams (drawn by M. Conley)
10:59.0,,,41-53,1,M. Conley makes free throw 1 of 2
10:59.0,,,41-54,1,M. Conley makes free throw 2 of 2
10:53.0,Turnover by M. Carter-Williams (lost ball),,41-54,,
10:41.0,,,41-56,2,Z. Randolph makes 2-pt shot from 16 ft (assist by M. Conley)
10:40.0,Milwaukee full timeout,,41-56,,
10:23.0,K. Middleton makes 2-pt shot from 4 ft (assist by G. Antetokounmpo),2,43-56,,
10:03.0,,,43-56,,Shooting foul by J. Parker (drawn by Z. Randolph)
10:03.0,,,43-57,1,Z. Randolph makes free throw 1 of 2
10:03.0,,,43-58,1,Z. Randolph makes free throw 2 of 2
9:44.0,G. Monroe misses 2-pt shot at rim,,43-58,,
9:43.0,Offensive rebound by J. Parker,,43-58,,
9:36.0,M. Carter-Williams misses 3-pt shot from 23 ft,,43-58,,
9:35.0,,,43-58,,Defensive rebound by T. Allen
9:16.0,,,43-58,,Z. Randolph misses 2-pt shot from 2 ft
9:15.0,Defensive rebound by M. Carter-Williams,,43-58,,
9:10.0,K. Middleton misses 2-pt shot from 1 ft,,43-58,,
9:07.0,Offensive rebound by G. Antetokounmpo,,43-58,,
9:07.0,G. Antetokounmpo misses 2-pt shot at rim,,43-58,,
9:05.0,,,43-58,,Defensive rebound by M. Gasol
8:58.0,,,43-61,3,C. Lee makes 3-pt shot from 25 ft (assist by M. Conley)
8:40.0,G. Monroe makes 2-pt shot from 6 ft (assist by K. Middleton),2,45-61,,
8:15.0,,,45-61,,M. Gasol misses 2-pt shot from 18 ft
8:15.0,Defensive rebound by K. Middleton,,45-61,,
8:03.0,G. Monroe makes 2-pt shot from 4 ft (assist by G. Antetokounmpo),2,47-61,,
7:45.0,,,47-61,,M. Conley misses 2-pt shot from 2 ft
7:43.0,Defensive rebound by J. Parker,,47-61,,
7:42.0,,,47-61,,Personal take foul by T. Allen (drawn by M. Carter-Williams)
7:37.0,Shooting foul by T. Allen (drawn by G. Antetokounmpo),,47-61,,
7:37.0,G. Antetokounmpo misses free throw 1 of 2,,47-61,,
7:37.0,Offensive rebound by Team,,47-61,,
7:37.0,,,47-61,,M. Chalmers enters the game for M. Conley
7:37.0,G. Antetokounmpo makes free throw 2 of 2,1,48-61,,
7:18.0,,,48-61,,C. Lee misses 3-pt shot from 25 ft
7:17.0,Defensive rebound by G. Monroe,,48-61,,
6:56.0,G. Monroe misses 2-pt shot from 1 ft,,48-61,,
6:54.0,,,48-61,,Defensive rebound by M. Gasol
6:44.0,,,48-61,,Turnover by M. Gasol (bad pass; steal by J. Parker)
6:40.0,Turnover by G. Antetokounmpo (lost ball),,48-61,,
6:27.0,,,48-63,2,C. Lee makes 2-pt shot from 5 ft (assist by M. Gasol)
6:11.0,Shooting foul by Z. Randolph (drawn by J. Parker),,48-63,,
6:11.0,J. Parker makes free throw 1 of 2,1,49-63,,
6:11.0,J. Parker makes free throw 2 of 2,1,50-63,,
5:53.0,,,50-63,,M. Chalmers misses 3-pt shot from 24 ft
5:52.0,Defensive rebound by J. Parker,,50-63,,
5:45.0,Offensive charge foul by G. Antetokounmpo,,50-63,,
5:45.0,Turnover by G. Antetokounmpo (offensive foul),,50-63,,
5:26.0,,,50-63,,Z. Randolph misses 2-pt shot from 7 ft
5:24.0,Defensive rebound by G. Monroe,,50-63,,
5:14.0,K. Middleton misses 2-pt shot from 1 ft,,50-63,,
5:14.0,Offensive rebound by G. Antetokounmpo,,50-63,,
5:14.0,G. Antetokounmpo makes 2-pt shot at rim,2,52-63,,
5:14.0,,,52-63,,Memphis full timeout
5:14.0,,,52-63,,J. Green enters the game for M. Gasol
4:52.0,,,52-63,,Z. Randolph misses 2-pt shot from 1 ft
4:51.0,,,52-63,,Offensive rebound by Z. Randolph
4:51.0,,,52-63,,Z. Randolph misses 2-pt shot from 1 ft
4:48.0,,,52-63,,Offensive rebound by J. Green
4:48.0,,,52-65,2,J. Green makes 2-pt shot at rim
4:25.0,M. Carter-Williams makes 2-pt shot from 10 ft,2,54-65,,
4:09.0,,,54-65,,Turnover by J. Green (lost ball; steal by K. Middleton)
4:04.0,M. Carter-Williams makes 2-pt shot at rim (assist by K. Middleton),2,56-65,,
3:39.0,,,56-68,3,J. Green makes 3-pt shot from 25 ft
3:14.0,K. Middleton misses 2-pt shot from 10 ft (block by C. Lee),,56-68,,
3:12.0,Offensive rebound by K. Middleton,,56-68,,
3:09.0,G. Antetokounmpo misses 2-pt shot from 5 ft,,56-68,,
3:09.0,,,56-68,,Defensive rebound by Team
3:09.0,,,56-68,,R. Hollins enters the game for Z. Randolph
3:09.0,,,56-68,,M. Barnes enters the game for T. Allen
3:09.0,M. Plumlee enters the game for G. Monroe,,56-68,,
2:55.0,,,56-70,2,C. Lee makes 2-pt shot from 22 ft (assist by M. Chalmers)
2:38.0,J. Parker misses 2-pt shot from 12 ft,,56-70,,
2:38.0,,,56-70,,Defensive rebound by M. Barnes
2:30.0,,,56-70,,J. Green misses 3-pt shot from 23 ft
2:28.0,Defensive rebound by M. Carter-Williams,,56-70,,
2:17.0,,,56-70,,Personal foul by R. Hollins (drawn by J. Parker)
2:17.0,J. Bayless enters the game for J. Parker,,56-70,,
2:08.0,Shooting foul by M. Barnes (drawn by G. Antetokounmpo),,56-70,,
2:08.0,G. Antetokounmpo makes free throw 1 of 2,1,57-70,,
2:08.0,G. Antetokounmpo makes free throw 2 of 2,1,58-70,,
1:51.0,,,58-70,,R. Hollins misses 2-pt shot at rim (block by M. Plumlee)
1:49.0,Defensive rebound by M. Carter-Williams,,58-70,,
1:40.0,,,58-70,,Personal foul by M. Chalmers (drawn by J. Bayless)
1:40.0,J. Bayless makes free throw 1 of 2,1,59-70,,
1:40.0,J. Bayless makes free throw 2 of 2,1,60-70,,
1:24.0,Violation by M. Plumlee (kicked ball),,60-70,,
1:11.0,,,60-73,3,M. Chalmers makes 3-pt shot from 26 ft (assist by C. Lee)
0:58.0,M. Plumlee makes 2-pt shot at rim (assist by K. Middleton),2,62-73,,
0:43.0,,,62-73,,C. Lee misses 3-pt shot from 22 ft
0:42.0,Defensive rebound by J. Bayless,,62-73,,
0:33.0,K. Middleton misses 2-pt shot from 18 ft,,62-73,,
0:33.0,,,62-73,,Defensive rebound by Team
0:32.0,Loose ball foul by G. Antetokounmpo (drawn by R. Hollins),,62-73,,
0:32.0,J. O'Bryant enters the game for G. Antetokounmpo,,62-73,,
0:21.0,,,62-76,3,C. Lee makes 3-pt shot from 22 ft (assist by J. Green)
0:04.0,Turnover by K. Middleton (lost ball),,62-76,,
0:01.0,,,62-76,,C. Lee misses 3-pt shot from 24 ft
0:00.0,,,62-76,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:37.0,M. Plumlee misses 2-pt shot from 15 ft,,62-76,,
11:36.0,,,62-76,,Defensive rebound by M. Chalmers
11:21.0,,,62-76,,J. Green misses 2-pt shot from 1 ft (block by M. Plumlee)
11:19.0,Defensive rebound by J. O'Bryant,,62-76,,
11:01.0,K. Middleton misses 3-pt shot from 25 ft,,62-76,,
11:00.0,,,62-76,,Defensive rebound by M. Chalmers
10:52.0,,,62-79,3,M. Barnes makes 3-pt shot from 25 ft (assist by M. Chalmers)
10:30.0,M. Plumlee makes 2-pt shot from 4 ft (assist by K. Middleton),2,64-79,,
10:16.0,,,64-82,3,J. Green makes 3-pt shot from 22 ft (assist by M. Chalmers)
10:06.0,,,64-82,,Personal foul by J. Green (drawn by J. Bayless)
10:06.0,,,64-82,,T. Allen enters the game for C. Lee
9:55.0,J. Bayless misses 2-pt shot from 21 ft,,64-82,,
9:52.0,,,64-82,,Defensive rebound by T. Allen
9:42.0,,,64-84,2,J. Green makes 2-pt shot from 1 ft (assist by M. Chalmers)
9:30.0,,,64-84,,Def 3 sec tech foul by M. Barnes
9:30.0,K. Middleton makes technical free throw,1,65-84,,
9:24.0,R. Vaughn misses 3-pt shot from 25 ft,,65-84,,
9:23.0,Offensive rebound by M. Plumlee,,65-84,,
9:23.0,,,65-84,,Loose ball foul by M. Chalmers (drawn by M. Plumlee)
9:14.0,J. O'Bryant misses 2-pt shot from 1 ft (block by R. Hollins),,65-84,,
9:12.0,,,65-84,,Defensive rebound by T. Allen
9:12.0,,,65-84,,Memphis full timeout
9:12.0,J. Parker enters the game for K. Middleton,,65-84,,
9:12.0,G. Antetokounmpo enters the game for M. Plumlee,,65-84,,
8:57.0,,,65-84,,Turnover by J. Green (bad pass; steal by R. Vaughn)
8:39.0,Shooting foul by J. Green (drawn by J. Parker),,65-84,,
8:39.0,J. Parker misses free throw 1 of 2,,65-84,,
8:39.0,Offensive rebound by Team,,65-84,,
8:39.0,,,65-84,,M. Gasol enters the game for R. Hollins
8:39.0,,,65-84,,M. Conley enters the game for J. Green
8:39.0,J. Parker makes free throw 2 of 2,1,66-84,,
8:25.0,,,66-84,,M. Chalmers misses 2-pt shot from 1 ft
8:24.0,Defensive rebound by J. Bayless,,66-84,,
8:16.0,J. Bayless makes 2-pt shot from 22 ft (assist by G. Antetokounmpo),2,68-84,,
7:52.0,,,68-87,3,M. Barnes makes 3-pt shot from 22 ft (assist by M. Chalmers)
7:30.0,J. Bayless makes 2-pt shot from 1 ft,2,70-87,,
7:30.0,Shooting foul by M. Barnes (drawn by J. Bayless),,70-87,,
7:30.0,J. Bayless makes free throw 1 of 1,1,71-87,,
7:14.0,,,71-89,2,T. Allen makes 2-pt shot at rim (assist by M. Barnes)
7:01.0,J. O'Bryant misses 2-pt shot from 18 ft,,71-89,,
7:01.0,,,71-89,,Defensive rebound by M. Chalmers
6:51.0,,,71-92,3,M. Barnes makes 3-pt shot from 24 ft (assist by M. Chalmers)
6:32.0,G. Antetokounmpo misses 2-pt shot at rim,,71-92,,
6:31.0,,,71-92,,Defensive rebound by M. Gasol
6:30.0,Technical foul by G. Antetokounmpo,,71-92,,
6:30.0,C. Copeland enters the game for G. Antetokounmpo,,71-92,,
6:30.0,,,71-93,1,M. Conley makes technical free throw
6:17.0,,,71-95,2,M. Gasol makes 2-pt shot from 12 ft (assist by M. Chalmers)
5:56.0,J. O'Bryant misses 2-pt shot at rim,,71-95,,
5:54.0,Offensive rebound by J. Parker,,71-95,,
5:53.0,J. Parker makes 2-pt shot at rim,2,73-95,,
5:29.0,,,73-98,3,M. Barnes makes 3-pt shot from 22 ft (assist by M. Conley)
5:28.0,Milwaukee full timeout,,73-98,,
5:28.0,,,73-98,,J. Green enters the game for T. Allen
5:28.0,,,73-98,,R. Hollins enters the game for M. Gasol
5:28.0,,,73-98,,J. Green enters the game for M. Conley
5:28.0,T. Ennis enters the game for J. Parker,,73-98,,
5:28.0,M. Plumlee enters the game for J. Bayless,,73-98,,
5:12.0,T. Ennis makes 2-pt shot from 6 ft,2,75-98,,
4:54.0,,,75-98,,M. Barnes misses 3-pt shot from 23 ft
4:54.0,,,75-98,,Offensive rebound by M. Chalmers
4:51.0,,,75-98,,Turnover by M. Chalmers (bad pass; steal by M. Plumlee)
4:51.0,,,75-98,,Personal foul by M. Chalmers (drawn by T. Ennis)
4:51.0,T. Ennis makes free throw 1 of 2,1,76-98,,
4:51.0,T. Ennis makes free throw 2 of 2,1,77-98,,
4:36.0,,,77-98,,J. Green misses 3-pt shot from 25 ft
4:35.0,Defensive rebound by T. Ennis,,77-98,,
4:26.0,C. Copeland misses 3-pt shot from 24 ft,,77-98,,
4:24.0,,,77-98,,Defensive rebound by R. Hollins
4:15.0,,,77-98,,J. Green misses 2-pt shot from 22 ft
4:15.0,Defensive rebound by M. Plumlee,,77-98,,
3:57.0,R. Vaughn makes 2-pt shot from 20 ft (assist by M. Plumlee),2,79-98,,
3:35.0,,,79-100,2,R. Hollins makes 2-pt shot from 5 ft (assist by M. Barnes)
3:17.0,R. Vaughn misses 3-pt shot from 25 ft,,79-100,,
3:17.0,,,79-100,,Defensive rebound by M. Barnes
3:12.0,,,79-100,,Turnover by M. Barnes (bad pass)
3:04.0,Shooting foul by R. Hollins (drawn by C. Copeland),,79-100,,
3:04.0,C. Copeland makes free throw 1 of 2,1,80-100,,
3:04.0,C. Copeland makes free throw 2 of 2,1,81-100,,
2:54.0,Personal foul by T. Ennis (drawn by M. Chalmers),,81-100,,
