time,LA Lakers,pts.away,score,pts.home,Charlotte
6:40.0,L. Nance makes 2-pt shot from 18 ft (assist by L. Williams),2,11-10,,
6:25.0,,,11-13,3,P. Hairston makes 3-pt shot from 22 ft (assist by C. Zeller)
6:14.0,Turnover by K. Bryant (bad pass; steal by K. Walker),,11-13,,
5:57.0,,,11-16,3,P. Hairston makes 3-pt shot from 24 ft (assist by N. Batum)
5:42.0,L. Williams makes 3-pt shot from 24 ft,3,14-16,,
5:21.0,,,14-18,2,K. Walker makes 2-pt shot from 12 ft (assist by M. Williams)
5:05.0,L. Williams misses 2-pt shot from 8 ft,,14-18,,
5:04.0,,,14-18,,Defensive rebound by C. Zeller
5:00.0,,,14-18,,Shooting foul by R. Hibbert (drawn by C. Zeller)
5:00.0,,,14-18,,Charlotte full timeout
5:00.0,D. Russell enters the game for L. Williams,,14-18,,
5:00.0,,,14-18,,J. Lin enters the game for P. Hairston
5:00.0,,,14-18,,C. Zeller misses free throw 1 of 2
5:00.0,,,14-18,,Offensive rebound by Team
5:00.0,,,14-18,,C. Zeller misses free throw 2 of 2
4:59.0,Defensive rebound by R. Hibbert,,14-18,,
4:47.0,L. Nance makes 2-pt shot at rim (assist by K. Bryant),2,16-18,,
4:34.0,,,16-18,,C. Zeller misses 2-pt shot from 1 ft (block by R. Hibbert)
4:32.0,,,16-18,,Offensive rebound by N. Batum
4:28.0,,,16-18,,J. Lin misses 2-pt shot from 1 ft (block by R. Hibbert)
4:28.0,,,16-18,,Offensive rebound by Team
4:26.0,,,16-18,,N. Batum misses 3-pt shot from 25 ft
4:23.0,,,16-18,,Offensive rebound by M. Williams
4:20.0,,,16-21,3,K. Walker makes 3-pt shot from 24 ft
3:53.0,K. Bryant misses 3-pt shot from 24 ft,,16-21,,
3:52.0,,,16-21,,Defensive rebound by M. Williams
3:48.0,,,16-23,2,N. Batum makes 2-pt shot at rim (assist by K. Walker)
3:38.0,Shooting foul by M. Williams (drawn by K. Bryant),,16-23,,
3:38.0,K. Bryant makes free throw 1 of 2,1,17-23,,
3:38.0,J. Randle enters the game for L. Nance,,17-23,,
3:38.0,B. Bass enters the game for R. Hibbert,,17-23,,
3:38.0,,,17-23,,F. Kaminsky enters the game for M. Williams
3:38.0,K. Bryant makes free throw 2 of 2,1,18-23,,
3:16.0,,,18-23,,N. Batum misses 3-pt shot from 24 ft
3:15.0,Defensive rebound by J. Randle,,18-23,,
3:07.0,J. Clarkson misses 2-pt shot from 6 ft (block by J. Lin),,18-23,,
3:07.0,,,18-23,,Defensive rebound by J. Lin
3:07.0,Personal foul by J. Clarkson (drawn by J. Lin),,18-23,,
3:07.0,N. Young enters the game for K. Bryant,,18-23,,
2:53.0,,,18-23,,Shooting foul by J. Randle (drawn by F. Kaminsky)
2:53.0,LA Lakers full timeout,,18-23,,
2:53.0,,,18-23,,A. Jefferson enters the game for C. Zeller
2:53.0,,,18-24,1,F. Kaminsky makes free throw 1 of 2
2:53.0,,,18-25,1,F. Kaminsky makes free throw 2 of 2
2:31.0,B. Bass makes 2-pt shot from 2 ft (assist by N. Young),2,20-25,,
2:14.0,,,20-25,,Turnover by K. Walker (bad pass; steal by B. Bass)
2:08.0,J. Randle makes 2-pt shot from 1 ft (assist by B. Bass),2,22-25,,
1:49.0,,,22-25,,F. Kaminsky misses 3-pt shot from 25 ft
1:48.0,Defensive rebound by Team,,22-25,,
1:46.0,,,22-25,,J. Lamb enters the game for N. Batum
1:27.0,B. Bass makes 2-pt shot from 3 ft (assist by J. Clarkson),2,24-25,,
1:15.0,,,24-27,2,K. Walker makes 2-pt shot from 6 ft
0:55.0,B. Bass makes 2-pt shot from 12 ft (assist by D. Russell),2,26-27,,
0:35.0,,,26-29,2,K. Walker makes 2-pt shot from 13 ft
0:11.0,J. Clarkson misses 2-pt shot from 16 ft (block by J. Lin),,26-29,,
0:11.0,Offensive rebound by Team,,26-29,,
0:10.0,Turnover by D. Russell (bad pass; steal by J. Lamb),,26-29,,
0:07.0,,,26-29,,Shooting foul by J. Clarkson (drawn by J. Lamb)
0:07.0,,,26-31,2,J. Lamb makes 2-pt shot from 1 ft
0:07.0,,,26-31,,J. Lamb misses free throw 1 of 1
0:05.0,Defensive rebound by N. Young,,26-31,,
0:00.0,N. Young misses 2-pt shot from 20 ft,,26-31,,
0:00.0,Offensive rebound by Team,,26-31,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,,,26-31,,A. Jefferson misses 2-pt shot from 1 ft
11:44.0,Defensive rebound by D. Russell,,26-31,,
11:35.0,Shooting foul by F. Kaminsky (drawn by B. Bass),,26-31,,
11:35.0,B. Bass makes free throw 1 of 2,1,27-31,,
11:35.0,B. Bass makes free throw 2 of 2,1,28-31,,
11:20.0,,,28-31,,Turnover by J. Lin (bad pass; steal by L. Williams)
11:14.0,J. Randle makes 2-pt shot at rim (assist by L. Williams),2,30-31,,
10:56.0,,,30-33,2,J. Lin makes 2-pt shot from 21 ft (assist by F. Kaminsky)
10:43.0,Shooting foul by J. Lamb (drawn by N. Young),,30-33,,
10:43.0,N. Young makes free throw 1 of 3,1,31-33,,
10:43.0,N. Young misses free throw 2 of 3,,31-33,,
10:43.0,Offensive rebound by Team,,31-33,,
10:43.0,N. Young makes free throw 3 of 3,1,32-33,,
10:28.0,,,32-33,,Shooting foul by B. Bass (drawn by A. Jefferson)
10:28.0,,,32-33,,A. Jefferson misses free throw 1 of 2
10:28.0,,,32-33,,Offensive rebound by Team
10:28.0,K. Bryant enters the game for N. Young,,32-33,,
10:28.0,,,32-34,1,A. Jefferson makes free throw 2 of 2
10:12.0,Turnover by L. Williams (lost ball; steal by J. Lamb),,32-34,,
10:04.0,,,32-34,,J. Lamb misses 3-pt shot from 25 ft
10:01.0,Defensive rebound by J. Randle,,32-34,,
9:48.0,L. Williams misses 2-pt shot from 15 ft,,32-34,,
9:46.0,,,32-34,,Defensive rebound by A. Jefferson
9:36.0,,,32-34,,Turnover by J. Lin (lost ball; steal by D. Russell)
9:32.0,Shooting foul by J. Lamb (drawn by J. Randle),,32-34,,
9:32.0,J. Randle makes free throw 1 of 2,1,33-34,,
9:32.0,J. Randle makes free throw 2 of 2,1,34-34,,
9:18.0,,,34-34,,J. Lamb misses 2-pt shot from 5 ft
9:17.0,Defensive rebound by B. Bass,,34-34,,
9:04.0,D. Russell makes 2-pt shot from 2 ft (assist by L. Williams),2,36-34,,
8:57.0,,,36-34,,Charlotte full timeout
8:45.0,,,36-34,,P. Hairston misses 3-pt shot from 26 ft
8:44.0,Defensive rebound by B. Bass,,36-34,,
8:28.0,L. Williams misses 3-pt shot from 24 ft,,36-34,,
8:27.0,,,36-34,,Defensive rebound by A. Jefferson
8:24.0,,,36-34,,Turnover by A. Jefferson (bad pass; steal by D. Russell)
8:19.0,K. Bryant misses 3-pt shot from 24 ft,,36-34,,
8:18.0,,,36-34,,Defensive rebound by J. Lamb
8:13.0,,,36-36,2,P. Hairston makes 2-pt shot from 1 ft (assist by J. Lamb)
8:13.0,,,36-36,,Shooting foul by L. Williams (drawn by P. Hairston)
8:13.0,,,36-36,,C. Zeller enters the game for A. Jefferson
8:13.0,,,36-36,,N. Batum enters the game for J. Lamb
8:13.0,,,36-37,1,P. Hairston makes free throw 1 of 1
7:57.0,B. Bass makes 2-pt shot at rim,2,38-37,,
7:44.0,,,38-39,2,J. Lin makes 2-pt shot from 1 ft
7:31.0,Offensive foul by B. Bass,,38-39,,
7:31.0,Turnover by B. Bass (offensive foul),,38-39,,
7:19.0,,,38-41,2,F. Kaminsky makes 2-pt shot from 1 ft
6:59.0,L. Williams makes 2-pt shot from 1 ft,2,40-41,,
6:41.0,,,40-43,2,P. Hairston makes 2-pt shot from 15 ft (assist by J. Lin)
6:23.0,Turnover by D. Russell (lost ball; steal by J. Lin),,40-43,,
6:14.0,,,40-43,,P. Hairston misses 3-pt shot from 24 ft
6:12.0,Defensive rebound by K. Bryant,,40-43,,
6:06.0,Shooting foul by P. Hairston (drawn by K. Bryant),,40-43,,
6:06.0,K. Bryant makes free throw 1 of 2,1,41-43,,
6:06.0,R. Hibbert enters the game for D. Russell,,41-43,,
6:06.0,J. Clarkson enters the game for J. Randle,,41-43,,
6:06.0,,,41-43,,K. Walker enters the game for J. Lin
6:06.0,K. Bryant makes free throw 2 of 2,1,42-43,,
5:49.0,,,42-43,,F. Kaminsky misses 2-pt shot from 11 ft
5:48.0,,,42-43,,Offensive rebound by Team
5:48.0,Official timeout,,42-43,,
5:48.0,,,42-43,,M. Williams enters the game for F. Kaminsky
5:45.0,,,42-45,2,N. Batum makes 2-pt shot from 17 ft (assist by P. Hairston)
5:26.0,K. Bryant misses 3-pt shot from 24 ft,,42-45,,
5:25.0,,,42-45,,Defensive rebound by C. Zeller
5:14.0,,,42-47,2,K. Walker makes 2-pt shot from 15 ft
4:57.0,K. Bryant makes 2-pt shot from 1 ft,2,44-47,,
4:35.0,,,44-49,2,C. Zeller makes 2-pt shot at rim (assist by N. Batum)
4:22.0,LA Lakers full timeout,,44-49,,
4:22.0,L. Nance enters the game for B. Bass,,44-49,,
4:12.0,J. Clarkson misses 3-pt shot from 24 ft,,44-49,,
4:10.0,,,44-49,,Defensive rebound by M. Williams
4:02.0,,,44-49,,Offensive foul by C. Zeller
4:02.0,,,44-49,,Turnover by C. Zeller (offensive foul)
3:41.0,Shooting foul by P. Hairston (drawn by K. Bryant),,44-49,,
3:41.0,K. Bryant makes free throw 1 of 2,1,45-49,,
3:41.0,,,45-49,,J. Lin enters the game for P. Hairston
3:41.0,K. Bryant makes free throw 2 of 2,1,46-49,,
3:31.0,,,46-49,,Shooting foul by L. Nance (drawn by K. Walker)
3:31.0,,,46-50,1,K. Walker makes free throw 1 of 2
3:31.0,,,46-51,1,K. Walker makes free throw 2 of 2
3:18.0,R. Hibbert makes 2-pt shot at rim (assist by L. Williams),2,48-51,,
2:57.0,,,48-51,,K. Walker misses 2-pt shot from 16 ft (block by R. Hibbert)
2:55.0,Defensive rebound by R. Hibbert,,48-51,,
2:44.0,K. Bryant makes 2-pt shot from 1 ft,2,50-51,,
2:28.0,,,50-53,2,C. Zeller makes 2-pt shot from 1 ft (assist by N. Batum)
2:12.0,L. Nance makes 2-pt shot from 1 ft (assist by R. Hibbert),2,52-53,,
1:56.0,,,52-53,,J. Lin misses 3-pt shot from 26 ft
1:54.0,Defensive rebound by J. Clarkson,,52-53,,
1:49.0,L. Williams makes 2-pt shot from 13 ft (assist by J. Clarkson),2,54-53,,
1:36.0,,,54-55,2,C. Zeller makes 2-pt shot from 19 ft (assist by N. Batum)
1:16.0,K. Bryant makes 3-pt shot from 25 ft,3,57-55,,
1:01.0,,,57-55,,M. Williams misses 3-pt shot from 24 ft
1:01.0,Defensive rebound by Team,,57-55,,
0:51.0,Offensive foul by R. Hibbert,,57-55,,
0:51.0,Turnover by R. Hibbert (offensive foul),,57-55,,
0:38.0,,,57-57,2,N. Batum makes 2-pt shot from 16 ft
0:29.0,K. Bryant misses 2-pt shot from 22 ft,,57-57,,
0:28.0,,,57-57,,Defensive rebound by K. Walker
0:23.0,,,57-57,,Shooting foul by K. Bryant (drawn by J. Lin)
0:23.0,,,57-58,1,J. Lin makes free throw 1 of 2
0:23.0,,,57-58,,J. Lin misses free throw 2 of 2
0:22.0,Defensive rebound by L. Nance,,57-58,,
0:01.0,Shooting foul by K. Walker (drawn by J. Clarkson),,57-58,,
0:01.0,J. Clarkson misses free throw 1 of 2,,57-58,,
0:01.0,Offensive rebound by Team,,57-58,,
0:01.0,J. Clarkson makes free throw 2 of 2,1,58-58,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:38.0,,,58-58,,P. Hairston misses 2-pt shot from 6 ft
11:37.0,,,58-58,,Offensive rebound by C. Zeller
11:25.0,,,58-58,,P. Hairston misses 2-pt shot from 11 ft
11:22.0,Defensive rebound by L. Williams,,58-58,,
11:11.0,,,58-58,,Personal foul by P. Hairston (drawn by L. Nance)
11:03.0,J. Clarkson misses 2-pt shot from 21 ft,,58-58,,
11:02.0,Offensive rebound by R. Hibbert,,58-58,,
10:57.0,K. Bryant misses 3-pt shot from 25 ft,,58-58,,
10:56.0,,,58-58,,Defensive rebound by C. Zeller
10:48.0,,,58-58,,N. Batum misses 3-pt shot from 25 ft
10:47.0,Defensive rebound by J. Clarkson,,58-58,,
10:38.0,J. Clarkson misses 2-pt shot from 6 ft (block by K. Walker),,58-58,,
10:38.0,Offensive rebound by Team,,58-58,,
10:38.0,,,58-58,,Loose ball foul by C. Zeller (drawn by J. Clarkson)
10:32.0,J. Clarkson misses 3-pt shot from 23 ft,,58-58,,
10:30.0,,,58-58,,Defensive rebound by N. Batum
10:16.0,,,58-58,,K. Walker misses 2-pt shot from 1 ft
10:15.0,Defensive rebound by L. Nance,,58-58,,
10:10.0,L. Williams misses 3-pt shot from 25 ft,,58-58,,
10:07.0,Offensive rebound by L. Nance,,58-58,,
10:07.0,L. Nance makes 2-pt shot at rim,2,60-58,,
9:50.0,,,60-60,2,C. Zeller makes 2-pt shot from 18 ft (assist by K. Walker)
9:36.0,R. Hibbert misses 2-pt shot from 17 ft,,60-60,,
9:35.0,,,60-60,,Defensive rebound by M. Williams
9:21.0,,,60-60,,P. Hairston misses 2-pt shot from 18 ft
9:20.0,Defensive rebound by L. Nance,,60-60,,
9:11.0,K. Bryant misses 2-pt shot from 1 ft,,60-60,,
9:09.0,,,60-60,,Defensive rebound by C. Zeller
9:00.0,,,60-63,3,K. Walker makes 3-pt shot from 24 ft (assist by N. Batum)
8:36.0,J. Clarkson makes 3-pt shot from 26 ft (assist by K. Bryant),3,63-63,,
8:17.0,,,63-63,,K. Walker misses 2-pt shot from 18 ft
8:16.0,Defensive rebound by R. Hibbert,,63-63,,
8:02.0,Shooting foul by P. Hairston (drawn by K. Bryant),,63-63,,
8:02.0,K. Bryant misses free throw 1 of 2,,63-63,,
8:02.0,Offensive rebound by Team,,63-63,,
8:02.0,,,63-63,,J. Lin enters the game for P. Hairston
8:02.0,K. Bryant makes free throw 2 of 2,1,64-63,,
7:44.0,,,64-63,,N. Batum misses 3-pt shot from 22 ft
7:43.0,Defensive rebound by J. Clarkson,,64-63,,
7:34.0,L. Nance makes 2-pt shot from 18 ft (assist by J. Clarkson),2,66-63,,
7:08.0,,,66-65,2,J. Lin makes 2-pt shot from 8 ft (assist by N. Batum)
6:50.0,R. Hibbert makes 2-pt shot from 8 ft,2,68-65,,
6:36.0,,,68-67,2,J. Lin makes 2-pt shot from 2 ft (assist by N. Batum)
6:36.0,,,68-67,,Shooting foul by L. Nance (drawn by J. Lin)
6:36.0,,,68-68,1,J. Lin makes free throw 1 of 1
6:25.0,J. Clarkson makes 2-pt shot at rim (assist by R. Hibbert),2,70-68,,
6:01.0,,,70-70,2,N. Batum makes 2-pt shot from 18 ft (assist by J. Lin)
5:36.0,K. Bryant misses 3-pt shot from 23 ft,,70-70,,
5:35.0,,,70-70,,Defensive rebound by M. Williams
5:28.0,,,70-72,2,C. Zeller makes 2-pt shot from 1 ft (assist by K. Walker)
5:28.0,LA Lakers full timeout,,70-72,,
5:28.0,D. Russell enters the game for K. Bryant,,70-72,,
5:28.0,N. Young enters the game for L. Williams,,70-72,,
5:09.0,Shooting foul by N. Batum (drawn by D. Russell),,70-72,,
5:09.0,D. Russell makes free throw 1 of 2,1,71-72,,
5:09.0,D. Russell misses free throw 2 of 2,,71-72,,
5:07.0,,,71-72,,Defensive rebound by M. Williams
4:42.0,,,71-72,,M. Williams misses 3-pt shot from 25 ft
4:41.0,Defensive rebound by R. Hibbert,,71-72,,
4:22.0,J. Clarkson misses 2-pt shot from 2 ft,,71-72,,
4:21.0,,,71-72,,Defensive rebound by K. Walker
4:13.0,,,71-72,,N. Batum misses 2-pt shot from 10 ft
4:11.0,,,71-72,,Offensive rebound by M. Williams
4:08.0,,,71-75,3,J. Lin makes 3-pt shot from 24 ft (assist by M. Williams)
3:49.0,N. Young makes 3-pt shot from 23 ft (assist by J. Clarkson),3,74-75,,
3:31.0,,,74-75,,Turnover by N. Batum (lost ball; steal by J. Clarkson)
3:26.0,Turnover by N. Young (lost ball),,74-75,,
3:26.0,,,74-75,,F. Kaminsky enters the game for M. Williams
3:26.0,B. Bass enters the game for L. Nance,,74-75,,
3:26.0,J. Randle enters the game for R. Hibbert,,74-75,,
3:13.0,,,74-75,,N. Batum misses 3-pt shot from 25 ft
3:12.0,Defensive rebound by J. Randle,,74-75,,
3:04.0,,,74-75,,Personal foul by J. Lin (drawn by J. Clarkson)
3:04.0,J. Clarkson makes free throw 1 of 2,1,75-75,,
3:04.0,J. Clarkson makes free throw 2 of 2,1,76-75,,
2:50.0,,,76-77,2,C. Zeller makes 2-pt shot from 1 ft (assist by N. Batum)
2:29.0,N. Young misses 2-pt shot from 20 ft,,76-77,,
2:27.0,,,76-77,,Defensive rebound by K. Walker
2:22.0,,,76-79,2,N. Batum makes 2-pt shot from 1 ft (assist by K. Walker)
2:08.0,J. Clarkson misses 2-pt shot from 9 ft (block by K. Walker),,76-79,,
2:06.0,,,76-79,,Defensive rebound by F. Kaminsky
2:00.0,,,76-79,,C. Zeller misses 2-pt shot from 1 ft
1:57.0,Defensive rebound by D. Russell,,76-79,,
1:51.0,N. Young makes 3-pt shot from 28 ft (assist by D. Russell),3,79-79,,
1:49.0,,,79-79,,Charlotte full timeout
1:49.0,,,79-79,,A. Jefferson enters the game for C. Zeller
1:49.0,,,79-79,,J. Lamb enters the game for N. Batum
1:34.0,,,79-79,,Shooting foul by J. Randle (drawn by F. Kaminsky)
1:34.0,,,79-80,1,F. Kaminsky makes free throw 1 of 2
1:34.0,,,79-81,1,F. Kaminsky makes free throw 2 of 2
1:12.0,B. Bass makes 2-pt shot at rim (assist by N. Young),2,81-81,,
1:03.0,,,81-81,,A. Jefferson misses 2-pt shot from 10 ft
1:01.0,,,81-81,,Offensive rebound by K. Walker
1:01.0,,,81-83,2,K. Walker makes 2-pt shot at rim
0:46.0,J. Clarkson misses 2-pt shot from 19 ft,,81-83,,
0:45.0,Offensive rebound by J. Clarkson,,81-83,,
0:39.0,D. Russell misses 3-pt shot from 25 ft,,81-83,,
0:38.0,,,81-83,,Defensive rebound by K. Walker
0:30.0,,,81-85,2,K. Walker makes 2-pt shot from 1 ft
0:09.0,N. Young misses 3-pt shot from 22 ft,,81-85,,
0:08.0,,,81-85,,Defensive rebound by J. Lin
0:01.0,,,81-85,,K. Walker misses 3-pt shot from 29 ft
0:00.0,,,81-85,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,,,81-85,,Personal foul by J. Lin
11:43.0,J. Randle misses 2-pt shot from 19 ft,,81-85,,
11:42.0,,,81-85,,Defensive rebound by J. Lin
11:31.0,,,81-85,,Turnover by K. Walker (lost ball; steal by D. Russell)
11:22.0,Turnover by D. Russell (bad pass; steal by K. Walker),,81-85,,
11:16.0,,,81-87,2,K. Walker makes 2-pt shot from 1 ft
10:57.0,L. Williams misses 2-pt shot from 2 ft,,81-87,,
10:55.0,,,81-87,,Defensive rebound by J. Lamb
10:44.0,,,81-87,,A. Jefferson misses 2-pt shot from 6 ft
10:42.0,,,81-87,,Offensive rebound by F. Kaminsky
10:37.0,,,81-87,,K. Walker misses 3-pt shot from 24 ft
10:36.0,Defensive rebound by J. Randle,,81-87,,
10:17.0,J. Randle misses 2-pt shot from 6 ft (block by F. Kaminsky),,81-87,,
10:17.0,Offensive rebound by Team,,81-87,,
10:14.0,J. Randle makes 3-pt shot from 25 ft (assist by D. Russell),3,84-87,,
9:44.0,,,84-87,,F. Kaminsky misses 2-pt shot from 10 ft
9:42.0,Defensive rebound by B. Bass,,84-87,,
9:35.0,J. Randle makes 2-pt shot from 1 ft (assist by D. Russell),2,86-87,,
9:15.0,,,86-89,2,K. Walker makes 2-pt shot from 14 ft (assist by J. Lin)
8:56.0,L. Williams misses 3-pt shot from 24 ft,,86-89,,
8:55.0,,,86-89,,Defensive rebound by F. Kaminsky
8:46.0,,,86-89,,K. Walker misses 2-pt shot from 20 ft
8:44.0,Defensive rebound by J. Randle,,86-89,,
8:37.0,J. Randle misses 2-pt shot from 2 ft,,86-89,,
8:36.0,,,86-89,,Defensive rebound by A. Jefferson
8:30.0,,,86-91,2,K. Walker makes 2-pt shot from 1 ft
8:17.0,Turnover by N. Young (traveling),,86-91,,
8:17.0,Official timeout,,86-91,,
8:05.0,,,86-91,,K. Walker misses 2-pt shot from 19 ft
8:05.0,Defensive rebound by Team,,86-91,,
7:46.0,D. Russell misses 3-pt shot from 24 ft,,86-91,,
7:45.0,,,86-91,,Defensive rebound by A. Jefferson
7:29.0,,,86-91,,Offensive foul by A. Jefferson
7:29.0,,,86-91,,Turnover by A. Jefferson (offensive foul)
7:29.0,,,86-91,,N. Batum enters the game for J. Lamb
7:18.0,Shooting foul by F. Kaminsky (drawn by L. Williams),,86-91,,
7:18.0,L. Williams makes free throw 1 of 2,1,87-91,,
7:18.0,K. Bryant enters the game for N. Young,,87-91,,
7:18.0,L. Williams makes free throw 2 of 2,1,88-91,,
6:58.0,,,88-91,,J. Lin misses 3-pt shot from 25 ft
6:57.0,Defensive rebound by J. Randle,,88-91,,
6:42.0,J. Randle misses 2-pt shot from 2 ft (block by F. Kaminsky),,88-91,,
6:40.0,,,88-91,,Defensive rebound by J. Lin
6:31.0,,,88-93,2,A. Jefferson makes 2-pt shot from 6 ft (assist by J. Lin)
6:21.0,L. Williams makes 2-pt shot from 9 ft,2,90-93,,
6:08.0,,,90-93,,Turnover by N. Batum (bad pass; steal by B. Bass)
6:02.0,D. Russell misses 3-pt shot from 25 ft,,90-93,,
5:59.0,,,90-93,,Defensive rebound by F. Kaminsky
5:53.0,,,90-95,2,K. Walker makes 2-pt shot from 1 ft
5:53.0,,,90-95,,Shooting foul by L. Williams (drawn by K. Walker)
5:53.0,,,90-95,,Charlotte full timeout
5:53.0,R. Hibbert enters the game for B. Bass,,90-95,,
5:53.0,L. Nance enters the game for J. Randle,,90-95,,
5:53.0,,,90-95,,C. Zeller enters the game for A. Jefferson
5:53.0,,,90-96,1,K. Walker makes free throw 1 of 1
5:40.0,R. Hibbert misses 2-pt shot from 17 ft,,90-96,,
5:39.0,,,90-96,,Defensive rebound by N. Batum
5:19.0,,,90-96,,N. Batum misses 2-pt shot from 14 ft
5:18.0,Defensive rebound by L. Williams,,90-96,,
5:12.0,D. Russell makes 2-pt shot from 1 ft,2,92-96,,
5:12.0,Violation by Team (delay of game),,92-96,,
4:56.0,,,92-96,,Turnover by J. Lin (step out of bounds)
4:56.0,,,92-96,,M. Williams enters the game for F. Kaminsky
4:56.0,J. Clarkson enters the game for D. Russell,,92-96,,
4:45.0,L. Williams misses 3-pt shot from 25 ft,,92-96,,
4:43.0,,,92-96,,Defensive rebound by M. Williams
4:30.0,,,92-98,2,K. Walker makes 2-pt shot from 18 ft
4:08.0,K. Bryant misses 2-pt shot from 1 ft,,92-98,,
4:07.0,,,92-98,,Defensive rebound by C. Zeller
4:03.0,,,92-100,2,N. Batum makes 2-pt shot at rim (assist by C. Zeller)
4:03.0,LA Lakers full timeout,,92-100,,
3:50.0,K. Bryant misses 2-pt shot from 16 ft,,92-100,,
3:49.0,,,92-100,,Defensive rebound by J. Lin
3:38.0,,,92-100,,J. Lin misses 2-pt shot from 15 ft
3:37.0,Defensive rebound by K. Bryant,,92-100,,
3:26.0,K. Bryant misses 2-pt shot from 7 ft,,92-100,,
3:26.0,,,92-100,,Defensive rebound by Team
3:12.0,,,92-100,,J. Lin misses 2-pt shot from 17 ft
3:11.0,Defensive rebound by K. Bryant,,92-100,,
3:00.0,L. Nance misses 2-pt shot from 18 ft,,92-100,,
2:58.0,,,92-100,,Defensive rebound by M. Williams
2:53.0,,,92-100,,K. Walker misses 2-pt shot from 1 ft
2:52.0,Defensive rebound by R. Hibbert,,92-100,,
2:33.0,K. Bryant misses 3-pt shot from 25 ft,,92-100,,
2:33.0,,,92-100,,Defensive rebound by Team
2:33.0,Loose ball foul by L. Nance (drawn by M. Williams),,92-100,,
2:23.0,,,92-100,,N. Batum misses 2-pt shot from 18 ft
2:22.0,Defensive rebound by Team,,92-100,,
2:08.0,Turnover by K. Bryant (lost ball; steal by N. Batum),,92-100,,
1:57.0,,,92-100,,Shooting foul by J. Clarkson (drawn by K. Walker)
1:57.0,,,92-101,1,K. Walker makes free throw 1 of 2
1:57.0,,,92-102,1,K. Walker makes free throw 2 of 2
1:46.0,J. Clarkson misses 2-pt shot from 19 ft,,92-102,,
1:43.0,Offensive rebound by L. Williams,,92-102,,
1:38.0,K. Bryant makes 3-pt shot from 28 ft (assist by L. Williams),3,95-102,,
1:21.0,,,95-105,3,K. Walker makes 3-pt shot from 25 ft (assist by M. Williams)
1:21.0,LA Lakers full timeout,,95-105,,
1:16.0,K. Bryant misses 3-pt shot from 27 ft,,95-105,,
