time,Atlanta,pts.away,score,pts.home,Portland
8:02.0,J. Teague makes 2-pt shot from 7 ft,2,8-11,,
7:40.0,,,8-13,2,C. McCollum makes 2-pt shot from 9 ft
7:24.0,K. Bazemore misses 2-pt shot from 20 ft,,8-13,,
7:23.0,,,8-13,,Defensive rebound by C. McCollum
7:15.0,,,8-13,,C. McCollum misses 3-pt shot from 24 ft
7:14.0,Defensive rebound by K. Bazemore,,8-13,,
7:07.0,P. Millsap makes 2-pt shot from 1 ft (assist by K. Bazemore),2,10-13,,
6:51.0,,,10-15,2,A. Aminu makes 2-pt shot from 13 ft (assist by D. Lillard)
6:36.0,,,10-15,,Personal block foul by A. Aminu (drawn by K. Bazemore)
6:36.0,T. Sefolosha enters the game for K. Bazemore,,10-15,,
6:36.0,T. Splitter enters the game for P. Millsap,,10-15,,
6:21.0,J. Teague misses 3-pt shot from 24 ft,,10-15,,
6:21.0,,,10-15,,Defensive rebound by D. Lillard
6:13.0,,,10-15,,Offensive charge foul by M. Plumlee
6:13.0,,,10-15,,Turnover by M. Plumlee (offensive foul)
6:04.0,,,10-15,,Def 3 sec tech foul by N. Vonleh
6:04.0,K. Korver makes technical free throw,1,11-15,,
6:04.0,,,11-15,,M. Leonard enters the game for N. Vonleh
6:04.0,,,11-15,,E. Davis enters the game for M. Plumlee
5:55.0,J. Teague makes 2-pt shot from 15 ft,2,13-15,,
5:36.0,,,13-17,2,D. Lillard makes 2-pt shot from 15 ft (assist by M. Leonard)
5:25.0,A. Horford makes 3-pt shot from 24 ft (assist by T. Splitter),3,16-17,,
5:12.0,,,16-17,,Shooting foul by T. Splitter (drawn by E. Davis)
5:12.0,,,16-17,,E. Davis misses free throw 1 of 2
5:12.0,,,16-17,,Offensive rebound by Team
5:12.0,,,16-17,,A. Crabbe enters the game for C. McCollum
5:12.0,,,16-17,,E. Davis misses free throw 2 of 2
5:10.0,Defensive rebound by K. Korver,,16-17,,
4:51.0,T. Splitter misses 2-pt shot from 5 ft,,16-17,,
4:51.0,,,16-17,,Defensive rebound by E. Davis
4:41.0,Personal foul by A. Horford (drawn by A. Aminu),,16-17,,
4:41.0,P. Millsap enters the game for A. Horford,,16-17,,
4:41.0,D. Schroder enters the game for J. Teague,,16-17,,
4:41.0,K. Bazemore enters the game for K. Korver,,16-17,,
4:33.0,,,16-17,,Turnover by A. Aminu (lost ball; steal by T. Sefolosha)
4:28.0,T. Sefolosha makes 2-pt shot at rim (assist by K. Bazemore),2,18-17,,
4:10.0,,,18-17,,M. Leonard misses 2-pt shot from 7 ft
4:09.0,Defensive rebound by P. Millsap,,18-17,,
4:00.0,D. Schroder misses 3-pt shot from 23 ft,,18-17,,
3:59.0,,,18-17,,Defensive rebound by M. Leonard
3:50.0,,,18-17,,M. Leonard misses 3-pt shot from 24 ft
3:49.0,Defensive rebound by T. Splitter,,18-17,,
3:44.0,Shooting foul by M. Leonard (drawn by P. Millsap),,18-17,,
3:44.0,P. Millsap misses free throw 1 of 2,,18-17,,
3:44.0,Offensive rebound by Team,,18-17,,
3:44.0,,,18-17,,M. Harkless enters the game for A. Aminu
3:44.0,P. Millsap makes free throw 2 of 2,1,19-17,,
3:30.0,,,19-17,,Shooting foul by T. Splitter (drawn by M. Harkless)
3:30.0,,,19-17,,M. Harkless misses free throw 1 of 2
3:30.0,,,19-17,,Offensive rebound by Team
3:30.0,,,19-18,1,M. Harkless makes free throw 2 of 2
3:09.0,Turnover by D. Schroder (bad pass; steal by A. Crabbe),,19-18,,
2:57.0,,,19-18,,A. Crabbe misses 2-pt shot from 18 ft
2:57.0,Defensive rebound by Team,,19-18,,
2:57.0,,,19-18,,Loose ball foul by E. Davis (drawn by K. Bazemore)
2:57.0,,,19-18,,Portland full timeout
2:45.0,K. Bazemore makes 2-pt shot from 13 ft,2,21-18,,
2:29.0,,,21-18,,D. Lillard misses 3-pt shot from 27 ft
2:29.0,Defensive rebound by Team,,21-18,,
2:17.0,T. Splitter makes 2-pt shot at rim (assist by K. Bazemore),2,23-18,,
2:01.0,,,23-18,,D. Lillard misses 2-pt shot from 3 ft (block by T. Splitter)
2:00.0,,,23-18,,Offensive rebound by E. Davis
1:57.0,,,23-18,,D. Lillard misses 2-pt shot from 19 ft
1:56.0,Defensive rebound by T. Sefolosha,,23-18,,
1:42.0,P. Millsap makes 3-pt shot from 25 ft (assist by D. Schroder),3,26-18,,
1:16.0,,,26-18,,Turnover by Team (shot clock)
1:01.0,,,26-18,,Personal block foul by E. Davis (drawn by D. Schroder)
1:01.0,D. Schroder makes free throw 1 of 2,1,27-18,,
1:01.0,D. Schroder misses free throw 2 of 2,,27-18,,
1:00.0,,,27-18,,Defensive rebound by M. Harkless
0:50.0,,,27-18,,D. Lillard misses 2-pt shot from 1 ft
0:50.0,,,27-18,,Offensive rebound by E. Davis
0:50.0,,,27-18,,E. Davis misses 2-pt shot at rim
0:49.0,Defensive rebound by K. Bazemore,,27-18,,
0:41.0,K. Bazemore misses 2-pt shot from 8 ft,,27-18,,
0:40.0,Offensive rebound by D. Schroder,,27-18,,
0:34.0,T. Sefolosha makes 2-pt shot from 2 ft (assist by D. Schroder),2,29-18,,
0:19.0,,,29-18,,M. Leonard misses 2-pt shot from 15 ft
0:17.0,Defensive rebound by T. Sefolosha,,29-18,,
0:02.0,Shooting foul by D. Lillard (drawn by T. Sefolosha),,29-18,,
0:02.0,T. Sefolosha misses free throw 1 of 2,,29-18,,
0:02.0,Offensive rebound by Team,,29-18,,
0:02.0,M. Scott enters the game for P. Millsap,,29-18,,
0:02.0,M. Muscala enters the game for T. Splitter,,29-18,,
0:02.0,,,29-18,,C. McCollum enters the game for D. Lillard
0:02.0,T. Sefolosha misses free throw 2 of 2,,29-18,,
0:02.0,,,29-18,,Defensive rebound by M. Leonard
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,,,29-20,2,E. Davis makes 2-pt shot from 1 ft (assist by C. McCollum)
11:31.0,D. Schroder misses 2-pt shot from 5 ft,,29-20,,
11:30.0,Offensive rebound by A. Horford,,29-20,,
11:27.0,T. Hardaway misses 3-pt shot from 25 ft,,29-20,,
11:26.0,,,29-20,,Defensive rebound by M. Leonard
11:16.0,,,29-20,,M. Leonard misses 3-pt shot from 24 ft
11:16.0,,,29-20,,Offensive rebound by E. Davis
11:14.0,,,29-20,,E. Davis misses 2-pt shot at rim
11:12.0,Defensive rebound by A. Horford,,29-20,,
10:56.0,A. Horford misses 2-pt shot from 15 ft,,29-20,,
10:55.0,,,29-20,,Defensive rebound by M. Leonard
10:31.0,,,29-20,,M. Harkless misses 3-pt shot from 25 ft
10:31.0,Defensive rebound by D. Schroder,,29-20,,
10:23.0,Turnover by D. Schroder (lost ball; steal by C. McCollum),,29-20,,
10:17.0,,,29-20,,M. Harkless misses 2-pt shot from 1 ft
10:17.0,Defensive rebound by T. Sefolosha,,29-20,,
9:56.0,T. Sefolosha misses 3-pt shot from 24 ft,,29-20,,
9:56.0,,,29-20,,Defensive rebound by A. Crabbe
9:47.0,,,29-20,,C. McCollum misses 2-pt shot from 11 ft
9:46.0,,,29-20,,Offensive rebound by M. Leonard
9:32.0,,,29-20,,E. Davis misses 2-pt shot from 1 ft
9:31.0,,,29-20,,Offensive rebound by E. Davis
9:25.0,,,29-20,,M. Leonard misses 3-pt shot from 24 ft
9:24.0,Defensive rebound by M. Scott,,29-20,,
9:09.0,D. Schroder misses 2-pt shot from 2 ft (block by E. Davis),,29-20,,
9:09.0,Offensive rebound by Team,,29-20,,
9:06.0,D. Schroder makes 2-pt shot from 17 ft (assist by T. Hardaway),2,31-20,,
9:00.0,Personal foul by T. Sefolosha (drawn by C. McCollum),,31-20,,
9:00.0,,,31-20,,A. Aminu enters the game for M. Leonard
8:55.0,,,31-20,,C. McCollum misses 3-pt shot from 24 ft
8:55.0,Defensive rebound by A. Horford,,31-20,,
8:36.0,M. Scott makes 2-pt shot from 12 ft (assist by A. Horford),2,33-20,,
8:35.0,,,33-20,,Portland full timeout
8:35.0,J. Teague enters the game for D. Schroder,,33-20,,
8:21.0,,,33-22,2,E. Davis makes 2-pt shot from 5 ft (assist by A. Aminu)
8:08.0,J. Teague misses 2-pt shot from 1 ft,,33-22,,
8:07.0,Offensive rebound by A. Horford,,33-22,,
8:07.0,A. Horford makes 2-pt shot at rim,2,35-22,,
7:58.0,,,35-24,2,C. McCollum makes 2-pt shot from 12 ft
7:40.0,A. Horford misses 3-pt shot from 23 ft,,35-24,,
7:40.0,,,35-24,,Defensive rebound by Team
7:40.0,,,35-24,,M. Plumlee enters the game for E. Davis
7:40.0,K. Korver enters the game for T. Sefolosha,,35-24,,
7:26.0,,,35-27,3,C. McCollum makes 3-pt shot from 22 ft (assist by A. Crabbe)
7:16.0,J. Teague misses 2-pt shot from 4 ft,,35-27,,
7:16.0,,,35-27,,Defensive rebound by C. McCollum
7:10.0,,,35-29,2,C. McCollum makes 2-pt shot from 1 ft
6:50.0,J. Teague makes 2-pt shot from 10 ft,2,37-29,,
6:38.0,,,37-29,,A. Crabbe misses 3-pt shot from 24 ft
6:37.0,Defensive rebound by M. Scott,,37-29,,
6:25.0,A. Horford makes 2-pt shot from 2 ft (assist by K. Korver),2,39-29,,
6:06.0,,,39-29,,Turnover by M. Harkless (bad pass; steal by M. Scott)
5:58.0,J. Teague misses 2-pt shot from 2 ft,,39-29,,
5:57.0,Offensive rebound by M. Scott,,39-29,,
5:57.0,M. Scott makes 2-pt shot at rim,2,41-29,,
5:57.0,,,41-29,,Portland full timeout
5:57.0,Official timeout,,41-29,,
5:57.0,,,41-29,,D. Lillard enters the game for M. Harkless
5:57.0,,,41-29,,G. Henderson enters the game for A. Crabbe
5:41.0,,,41-32,3,A. Aminu makes 3-pt shot from 22 ft (assist by G. Henderson)
5:17.0,M. Scott misses 3-pt shot from 24 ft,,41-32,,
5:17.0,,,41-32,,Defensive rebound by D. Lillard
5:08.0,,,41-34,2,C. McCollum makes 2-pt shot from 22 ft
4:47.0,J. Teague misses 3-pt shot from 24 ft,,41-34,,
4:46.0,,,41-34,,Defensive rebound by A. Aminu
4:30.0,,,41-36,2,G. Henderson makes 2-pt shot at rim (assist by M. Plumlee)
4:30.0,Atlanta full timeout,,41-36,,
4:30.0,P. Millsap enters the game for A. Horford,,41-36,,
4:30.0,K. Bazemore enters the game for M. Scott,,41-36,,
4:30.0,T. Splitter enters the game for T. Hardaway,,41-36,,
4:08.0,K. Bazemore makes 2-pt shot from 20 ft,2,43-36,,
3:50.0,,,43-36,,Shooting foul by T. Splitter (drawn by C. McCollum)
3:50.0,,,43-37,1,C. McCollum makes free throw 1 of 2
3:50.0,,,43-38,1,C. McCollum makes free throw 2 of 2
3:39.0,J. Teague misses 2-pt shot from 1 ft,,43-38,,
3:39.0,,,43-38,,Defensive rebound by M. Plumlee
3:23.0,,,43-40,2,G. Henderson makes 2-pt shot from 20 ft (assist by M. Plumlee)
3:03.0,T. Splitter misses 2-pt shot from 1 ft,,43-40,,
3:02.0,,,43-40,,Defensive rebound by M. Plumlee
2:41.0,,,43-42,2,D. Lillard makes 2-pt shot from 19 ft
2:25.0,P. Millsap misses 2-pt shot from 5 ft (block by A. Aminu),,43-42,,
2:25.0,Offensive rebound by Team,,43-42,,
2:25.0,D. Schroder enters the game for J. Teague,,43-42,,
2:25.0,A. Horford enters the game for T. Splitter,,43-42,,
2:22.0,D. Schroder misses 2-pt shot from 19 ft,,43-42,,
2:19.0,,,43-42,,Defensive rebound by A. Aminu
2:11.0,,,43-42,,Turnover by C. McCollum (lost ball)
1:54.0,K. Bazemore misses 2-pt shot from 2 ft,,43-42,,
1:54.0,,,43-42,,Defensive rebound by A. Aminu
1:48.0,Personal foul by P. Millsap (drawn by D. Lillard),,43-42,,
1:29.0,,,43-42,,A. Aminu misses 3-pt shot from 23 ft
1:29.0,Defensive rebound by K. Korver,,43-42,,
1:24.0,Turnover by K. Bazemore (bad pass; steal by A. Aminu),,43-42,,
1:16.0,,,43-42,,C. McCollum misses 3-pt shot from 24 ft
1:15.0,Defensive rebound by D. Schroder,,43-42,,
1:00.0,Shooting foul by D. Lillard (drawn by P. Millsap),,43-42,,
1:00.0,P. Millsap makes free throw 1 of 2,1,44-42,,
1:00.0,P. Millsap makes free throw 2 of 2,1,45-42,,
0:47.0,,,45-42,,Turnover by C. McCollum (bad pass)
0:47.0,,,45-42,,A. Crabbe enters the game for C. McCollum
0:32.0,Shooting foul by A. Aminu (drawn by P. Millsap),,45-42,,
0:32.0,P. Millsap makes 2-pt shot from 1 ft (assist by D. Schroder),2,47-42,,
0:32.0,T. Sefolosha enters the game for K. Korver,,47-42,,
0:32.0,P. Millsap makes free throw 1 of 1,1,48-42,,
0:17.0,,,48-42,,G. Henderson misses 3-pt shot from 23 ft
0:16.0,,,48-42,,Offensive rebound by A. Aminu
0:15.0,,,48-42,,Shooting foul by P. Millsap (drawn by A. Aminu)
0:15.0,,,48-42,,A. Aminu misses free throw 1 of 2
0:15.0,,,48-42,,Offensive rebound by Team
0:15.0,,,48-42,,C. McCollum enters the game for D. Lillard
0:15.0,,,48-42,,E. Davis enters the game for M. Plumlee
0:15.0,M. Scott enters the game for T. Sefolosha,,48-42,,
0:15.0,K. Korver enters the game for P. Millsap,,48-42,,
0:15.0,,,48-43,1,A. Aminu makes free throw 2 of 2
0:03.0,A. Horford misses 2-pt shot at rim,,48-43,,
0:02.0,,,48-43,,Defensive rebound by C. McCollum
0:00.0,,,48-43,,A. Aminu misses 3-pt shot from 24 ft
0:00.0,,,48-43,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,,,48-43,,Turnover by C. McCollum (bad pass; steal by P. Millsap)
11:37.0,A. Horford misses 2-pt shot from 1 ft (block by N. Vonleh),,48-43,,
11:37.0,Offensive rebound by Team,,48-43,,
11:34.0,K. Korver misses 2-pt shot from 16 ft,,48-43,,
11:33.0,,,48-43,,Defensive rebound by N. Vonleh
11:25.0,,,48-43,,D. Lillard misses 3-pt shot from 26 ft
11:25.0,Defensive rebound by K. Bazemore,,48-43,,
11:16.0,J. Teague makes 3-pt shot from 24 ft,3,51-43,,
10:55.0,,,51-45,2,N. Vonleh makes 2-pt shot from 2 ft (assist by D. Lillard)
10:41.0,Turnover by K. Bazemore (bad pass; steal by M. Plumlee),,51-45,,
10:31.0,,,51-47,2,C. McCollum makes 2-pt shot from 20 ft
10:12.0,K. Bazemore makes 2-pt shot from 1 ft (assist by J. Teague),2,53-47,,
9:49.0,,,53-47,,C. McCollum misses 2-pt shot at rim
9:49.0,,,53-47,,Offensive rebound by M. Plumlee
9:44.0,,,53-50,3,C. McCollum makes 3-pt shot from 24 ft (assist by M. Plumlee)
9:34.0,K. Bazemore makes 3-pt shot from 24 ft (assist by J. Teague),3,56-50,,
9:18.0,,,56-50,,C. McCollum misses 3-pt shot from 24 ft
9:17.0,,,56-50,,Offensive rebound by M. Plumlee
9:13.0,,,56-50,,D. Lillard misses 3-pt shot from 24 ft
9:13.0,Defensive rebound by P. Millsap,,56-50,,
8:56.0,K. Bazemore misses 3-pt shot from 24 ft,,56-50,,
8:55.0,Offensive rebound by P. Millsap,,56-50,,
8:53.0,P. Millsap misses 2-pt shot from 1 ft,,56-50,,
8:53.0,,,56-50,,Defensive rebound by N. Vonleh
8:44.0,,,56-50,,N. Vonleh misses 3-pt shot from 24 ft
8:43.0,Defensive rebound by J. Teague,,56-50,,
8:38.0,,,56-50,,Personal foul by N. Vonleh (drawn by P. Millsap)
8:30.0,P. Millsap misses 2-pt shot from 2 ft,,56-50,,
8:29.0,,,56-50,,Defensive rebound by M. Plumlee
8:16.0,,,56-52,2,D. Lillard makes 2-pt shot from 1 ft
8:00.0,A. Horford makes 2-pt shot from 16 ft (assist by J. Teague),2,58-52,,
7:43.0,Personal foul by K. Korver (drawn by M. Plumlee),,58-52,,
7:33.0,,,58-54,2,A. Aminu makes 2-pt shot from 11 ft
7:19.0,Shooting foul by D. Lillard (drawn by J. Teague),,58-54,,
7:19.0,J. Teague misses free throw 1 of 2,,58-54,,
7:19.0,Offensive rebound by Team,,58-54,,
7:19.0,T. Splitter enters the game for P. Millsap,,58-54,,
7:19.0,T. Sefolosha enters the game for K. Bazemore,,58-54,,
7:19.0,J. Teague makes free throw 2 of 2,1,59-54,,
6:59.0,,,59-54,,A. Aminu misses 2-pt shot from 18 ft
6:58.0,Defensive rebound by T. Sefolosha,,59-54,,
6:50.0,Turnover by J. Teague (bad pass),,59-54,,
6:35.0,,,59-54,,M. Plumlee misses 2-pt shot at rim
6:34.0,Defensive rebound by T. Sefolosha,,59-54,,
6:17.0,Shooting foul by M. Plumlee (drawn by A. Horford),,59-54,,
6:17.0,A. Horford makes free throw 1 of 2,1,60-54,,
6:17.0,A. Horford misses free throw 2 of 2,,60-54,,
6:16.0,,,60-54,,Defensive rebound by M. Plumlee
6:03.0,,,60-56,2,D. Lillard makes 2-pt shot from 3 ft
5:52.0,J. Teague misses 3-pt shot from 24 ft,,60-56,,
5:51.0,Offensive rebound by A. Horford,,60-56,,
5:46.0,T. Splitter makes 2-pt shot from 2 ft (assist by K. Korver),2,62-56,,
5:46.0,Shooting foul by N. Vonleh (drawn by T. Splitter),,62-56,,
5:46.0,,,62-56,,Portland full timeout
5:46.0,T. Splitter misses free throw 1 of 1,,62-56,,
5:45.0,Offensive rebound by K. Korver,,62-56,,
5:36.0,J. Teague makes 2-pt shot at rim,2,64-56,,
5:36.0,Violation by Team (delay of game),,64-56,,
5:12.0,,,64-56,,D. Lillard misses 2-pt shot from 11 ft
5:12.0,Defensive rebound by A. Horford,,64-56,,
4:53.0,,,64-56,,Personal foul by D. Lillard (drawn by T. Splitter)
4:53.0,T. Splitter makes free throw 1 of 2,1,65-56,,
4:53.0,D. Schroder enters the game for K. Korver,,65-56,,
4:53.0,,,65-56,,G. Henderson enters the game for A. Aminu
4:53.0,,,65-56,,A. Crabbe enters the game for D. Lillard
4:53.0,T. Splitter makes free throw 2 of 2,1,66-56,,
4:28.0,,,66-56,,M. Plumlee misses 2-pt shot from 5 ft
4:27.0,,,66-56,,Offensive rebound by N. Vonleh
4:27.0,,,66-58,2,N. Vonleh makes 2-pt shot from 1 ft
4:15.0,D. Schroder misses 2-pt shot from 21 ft,,66-58,,
4:14.0,,,66-58,,Defensive rebound by M. Plumlee
3:54.0,,,66-58,,Turnover by G. Henderson (bad pass; steal by T. Sefolosha)
3:50.0,Turnover by T. Sefolosha (traveling),,66-58,,
3:50.0,P. Millsap enters the game for J. Teague,,66-58,,
3:50.0,K. Bazemore enters the game for A. Horford,,66-58,,
3:39.0,,,66-60,2,C. McCollum makes 2-pt shot from 18 ft
3:24.0,Offensive foul by D. Schroder,,66-60,,
3:24.0,Turnover by D. Schroder (offensive foul),,66-60,,
3:24.0,,,66-60,,M. Leonard enters the game for N. Vonleh
3:24.0,,,66-60,,E. Davis enters the game for M. Plumlee
3:13.0,,,66-60,,Turnover by M. Leonard (lost ball; steal by D. Schroder)
3:06.0,K. Bazemore makes 3-pt shot from 23 ft (assist by D. Schroder),3,69-60,,
2:45.0,,,69-63,3,M. Leonard makes 3-pt shot from 24 ft (assist by G. Henderson)
2:42.0,Atlanta full timeout,,69-63,,
2:33.0,D. Schroder makes 2-pt shot from 6 ft,2,71-63,,
2:16.0,,,71-65,2,M. Leonard makes 2-pt shot from 15 ft (assist by A. Crabbe)
1:58.0,K. Bazemore misses 3-pt shot from 23 ft,,71-65,,
1:57.0,,,71-65,,Defensive rebound by M. Leonard
1:44.0,,,71-65,,Turnover by G. Henderson (bad pass; steal by D. Schroder)
1:39.0,K. Bazemore misses 2-pt shot at rim (block by G. Henderson),,71-65,,
1:39.0,,,71-65,,Defensive rebound by Team
1:28.0,,,71-65,,Shooting foul by D. Schroder (drawn by E. Davis)
1:28.0,,,71-66,1,E. Davis makes free throw 1 of 2
1:28.0,,,71-67,1,E. Davis makes free throw 2 of 2
1:18.0,Turnover by D. Schroder (bad pass),,71-67,,
1:18.0,A. Horford enters the game for T. Splitter,,71-67,,
1:09.0,,,71-67,,C. McCollum misses 2-pt shot from 4 ft
1:07.0,Defensive rebound by P. Millsap,,71-67,,
1:01.0,D. Schroder makes 3-pt shot from 24 ft (assist by P. Millsap),3,74-67,,
0:41.0,,,74-70,3,A. Crabbe makes 3-pt shot from 22 ft (assist by E. Davis)
0:29.0,D. Schroder misses 3-pt shot from 24 ft,,74-70,,
0:28.0,,,74-70,,Defensive rebound by E. Davis
0:05.0,,,74-72,2,C. McCollum makes 2-pt shot from 19 ft
0:00.0,Turnover by D. Schroder (bad pass; steal by C. McCollum),,74-72,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:49.0,D. Schroder misses 2-pt shot from 15 ft,,74-72,,
11:48.0,,,74-72,,Defensive rebound by G. Henderson
11:33.0,,,74-72,,G. Henderson misses 2-pt shot from 19 ft
11:32.0,Defensive rebound by T. Sefolosha,,74-72,,
11:20.0,A. Horford misses 2-pt shot from 16 ft,,74-72,,
11:19.0,,,74-72,,Defensive rebound by M. Leonard
11:00.0,,,74-72,,A. Crabbe misses 2-pt shot from 1 ft
11:00.0,Defensive rebound by Team,,74-72,,
10:46.0,P. Millsap makes 3-pt shot from 24 ft (assist by D. Schroder),3,77-72,,
10:36.0,,,77-72,,D. Lillard misses 2-pt shot from 2 ft (block by T. Hardaway)
10:34.0,Defensive rebound by P. Millsap,,77-72,,
10:30.0,P. Millsap makes 2-pt shot from 1 ft,2,79-72,,
10:12.0,,,79-75,3,A. Crabbe makes 3-pt shot from 24 ft (assist by D. Lillard)
9:50.0,D. Schroder misses 3-pt shot from 24 ft,,79-75,,
9:49.0,,,79-75,,Defensive rebound by M. Leonard
9:42.0,,,79-75,,Shooting foul by T. Sefolosha (drawn by D. Lillard)
9:42.0,,,79-78,3,D. Lillard makes 3-pt shot from 23 ft (assist by M. Leonard)
9:42.0,T. Splitter enters the game for P. Millsap,,79-78,,
9:42.0,,,79-79,1,D. Lillard makes free throw 1 of 1
9:19.0,D. Schroder misses 2-pt shot from 2 ft,,79-79,,
9:18.0,,,79-79,,Defensive rebound by E. Davis
9:08.0,,,79-79,,D. Lillard misses 3-pt shot from 24 ft
9:07.0,Defensive rebound by A. Horford,,79-79,,
8:57.0,T. Splitter misses 2-pt shot from 6 ft,,79-79,,
8:57.0,,,79-79,,Defensive rebound by M. Leonard
8:51.0,,,79-81,2,D. Lillard makes 2-pt shot from 1 ft
8:50.0,Atlanta full timeout,,79-81,,
8:50.0,K. Bazemore enters the game for A. Horford,,79-81,,
8:50.0,K. Korver enters the game for T. Sefolosha,,79-81,,
8:50.0,P. Millsap enters the game for T. Hardaway,,79-81,,
8:26.0,D. Schroder misses 2-pt shot from 2 ft,,79-81,,
8:26.0,Offensive rebound by T. Splitter,,79-81,,
8:26.0,T. Splitter misses 2-pt shot at rim,,79-81,,
8:25.0,,,79-81,,Defensive rebound by D. Lillard
8:10.0,,,79-84,3,M. Leonard makes 3-pt shot from 24 ft (assist by D. Lillard)
7:50.0,K. Bazemore makes 2-pt shot from 19 ft (assist by K. Korver),2,81-84,,
7:33.0,,,81-84,,M. Leonard misses 3-pt shot from 24 ft
7:33.0,,,81-84,,Offensive rebound by Team
7:33.0,Loose ball foul by T. Splitter (drawn by E. Davis),,81-84,,
7:33.0,J. Teague enters the game for D. Schroder,,81-84,,
7:33.0,,,81-84,,C. McCollum enters the game for A. Crabbe
7:17.0,,,81-84,,C. McCollum misses 2-pt shot from 14 ft
7:16.0,,,81-84,,Offensive rebound by E. Davis
7:04.0,,,81-84,,M. Leonard misses 2-pt shot from 17 ft
7:04.0,Defensive rebound by K. Korver,,81-84,,
6:56.0,K. Bazemore makes 3-pt shot from 22 ft (assist by P. Millsap),3,84-84,,
6:27.0,,,84-84,,M. Leonard misses 2-pt shot from 6 ft
6:25.0,Defensive rebound by Team,,84-84,,
6:25.0,A. Horford enters the game for T. Splitter,,84-84,,
6:25.0,,,84-84,,M. Plumlee enters the game for M. Leonard
6:25.0,,,84-84,,A. Aminu enters the game for E. Davis
6:16.0,K. Korver makes 3-pt shot from 24 ft (assist by J. Teague),3,87-84,,
6:13.0,,,87-84,,Portland full timeout
6:13.0,,,87-84,,A. Crabbe enters the game for G. Henderson
5:54.0,,,87-86,2,M. Plumlee makes 2-pt shot at rim (assist by A. Aminu)
5:39.0,Turnover by P. Millsap (bad pass),,87-86,,
5:22.0,,,87-88,2,D. Lillard makes 2-pt shot from 1 ft
5:12.0,A. Horford misses 3-pt shot from 24 ft,,87-88,,
5:11.0,,,87-88,,Defensive rebound by A. Crabbe
5:06.0,,,87-88,,D. Lillard misses 3-pt shot from 25 ft
5:04.0,Defensive rebound by K. Bazemore,,87-88,,
4:56.0,A. Horford makes 2-pt shot at rim (assist by K. Bazemore),2,89-88,,
4:35.0,,,89-88,,M. Plumlee misses 2-pt shot from 3 ft (block by K. Korver)
4:34.0,Defensive rebound by K. Korver,,89-88,,
4:28.0,K. Bazemore misses 3-pt shot from 23 ft,,89-88,,
4:27.0,Offensive rebound by P. Millsap,,89-88,,
4:27.0,P. Millsap makes 2-pt shot at rim,2,91-88,,
4:06.0,,,91-88,,C. McCollum misses 3-pt shot from 24 ft
4:05.0,Defensive rebound by J. Teague,,91-88,,
3:54.0,A. Horford misses 2-pt shot from 1 ft,,91-88,,
