time,Phoenix,pts.away,score,pts.home,Oklahoma City
0:07.0,Jump ball: A. Len vs. M. McGary (A. Goodwin gains possession),,,,Jump ball: A. Len vs. M. McGary (A. Goodwin gains possession)
0:07.0,Defensive rebound by Team,,26-29,,
0:01.0,E. Bledsoe makes 3-pt shot from 24 ft (assist by A. Goodwin),3,29-29,,
0:00.0,,,29-29,,K. Singler misses 3-pt shot from 63 ft
0:00.0,Defensive rebound by Team,,29-29,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,Turnover by T. Warren (bad pass; steal by D. Augustin),,29-29,,
11:36.0,,,29-29,,K. Singler misses 2-pt shot at rim
11:36.0,Defensive rebound by A. Len,,29-29,,
11:26.0,Turnover by B. Knight (bad pass; steal by D. Augustin),,29-29,,
11:22.0,,,29-29,,Shooting foul by J. Leuer (drawn by D. Waiters)
11:22.0,,,29-30,1,D. Waiters makes free throw 1 of 2
11:22.0,,,29-31,1,D. Waiters makes free throw 2 of 2
11:11.0,J. Leuer makes 3-pt shot from 24 ft (assist by A. Goodwin),3,32-31,,
10:50.0,,,32-31,,E. Kanter misses 2-pt shot from 9 ft
10:50.0,Defensive rebound by A. Len,,32-31,,
10:40.0,Turnover by A. Goodwin (lost ball; steal by D. Waiters),,32-31,,
10:37.0,Personal foul by B. Knight (drawn by D. Waiters),,32-31,,
10:37.0,,,32-31,,S. Ibaka enters the game for M. McGary
10:22.0,,,32-33,2,D. Waiters makes 2-pt shot from 16 ft
10:07.0,A. Len makes 2-pt shot from 2 ft (assist by B. Knight),2,34-33,,
9:47.0,,,34-33,,K. Singler misses 3-pt shot from 22 ft
9:46.0,,,34-33,,Offensive rebound by E. Kanter
9:46.0,,,34-35,2,E. Kanter makes 2-pt shot at rim
9:25.0,Shooting foul by E. Kanter (drawn by A. Len),,34-35,,
9:25.0,A. Len makes free throw 1 of 2,1,35-35,,
9:25.0,,,35-35,,S. Adams enters the game for E. Kanter
9:25.0,A. Len makes free throw 2 of 2,1,36-35,,
9:13.0,,,36-37,2,D. Waiters makes 2-pt shot from 15 ft (assist by D. Augustin)
9:00.0,J. Leuer misses 2-pt shot from 3 ft (block by S. Adams),,36-37,,
9:00.0,,,36-37,,Defensive rebound by Team
8:43.0,,,36-37,,Shooting foul by J. Leuer (drawn by D. Waiters)
8:43.0,Official timeout,,36-37,,
8:43.0,,,36-38,1,D. Waiters makes free throw 1 of 2
8:43.0,,,36-39,1,D. Waiters makes free throw 2 of 2
8:25.0,Turnover by A. Goodwin (lost ball; steal by D. Waiters),,36-39,,
8:20.0,,,36-41,2,D. Waiters makes 2-pt shot at rim
8:07.0,B. Knight makes 2-pt shot from 14 ft,2,38-41,,
7:53.0,,,38-41,,Offensive foul by D. Waiters
7:53.0,,,38-41,,Turnover by S. Adams (offensive foul)
7:53.0,T. Chandler enters the game for A. Len,,38-41,,
7:53.0,,,38-41,,A. Roberson enters the game for K. Singler
7:53.0,E. Bledsoe enters the game for A. Goodwin,,38-41,,
7:53.0,,,38-41,,R. Westbrook enters the game for D. Augustin
7:43.0,B. Knight makes 2-pt shot from 16 ft,2,40-41,,
7:22.0,,,40-41,,S. Adams misses 2-pt shot from 1 ft
7:18.0,Defensive rebound by E. Bledsoe,,40-41,,
7:11.0,J. Leuer makes 2-pt shot from 1 ft (assist by E. Bledsoe),2,42-41,,
6:59.0,,,42-41,,R. Westbrook misses 2-pt shot from 23 ft
6:58.0,,,42-41,,Offensive rebound by S. Ibaka
6:52.0,,,42-43,2,S. Ibaka makes 2-pt shot from 17 ft
6:42.0,B. Knight misses 2-pt shot from 17 ft,,42-43,,
6:41.0,,,42-43,,Defensive rebound by A. Roberson
6:37.0,Shooting block foul by J. Leuer (drawn by R. Westbrook),,42-43,,
6:37.0,,,42-44,1,R. Westbrook makes free throw 1 of 2
6:37.0,,,42-44,,K. Durant enters the game for D. Waiters
6:37.0,,,42-45,1,R. Westbrook makes free throw 2 of 2
6:20.0,Shooting foul by S. Adams (drawn by E. Bledsoe),,42-45,,
6:20.0,E. Bledsoe misses free throw 1 of 2,,42-45,,
6:20.0,Offensive rebound by Team,,42-45,,
6:20.0,E. Bledsoe makes free throw 2 of 2,1,43-45,,
6:14.0,,,43-47,2,K. Durant makes 2-pt shot at rim (assist by R. Westbrook)
5:59.0,T. Warren makes 2-pt shot from 16 ft,2,45-47,,
5:38.0,,,45-47,,K. Durant misses 2-pt shot from 16 ft
5:37.0,,,45-47,,Offensive rebound by S. Adams
5:32.0,,,45-47,,S. Ibaka misses 3-pt shot from 23 ft
5:32.0,Defensive rebound by T. Chandler,,45-47,,
5:24.0,Turnover by B. Knight (bad pass),,45-47,,
5:24.0,,,45-47,,Oklahoma City full timeout
5:24.0,M. Morris enters the game for T. Warren,,45-47,,
5:24.0,P. Tucker enters the game for J. Leuer,,45-47,,
5:07.0,,,45-47,,R. Westbrook misses 2-pt shot from 11 ft
5:06.0,,,45-47,,Offensive rebound by S. Ibaka
4:56.0,,,45-47,,Shooting foul by P. Tucker (drawn by K. Durant)
4:56.0,,,45-48,1,K. Durant makes free throw 1 of 2
4:56.0,,,45-49,1,K. Durant makes free throw 2 of 2
4:50.0,Turnover by E. Bledsoe (lost ball),,45-49,,
4:40.0,,,45-51,2,R. Westbrook makes 2-pt shot from 18 ft
4:28.0,P. Tucker makes 3-pt shot from 22 ft (assist by E. Bledsoe),3,48-51,,
4:04.0,,,48-51,,R. Westbrook misses 2-pt shot from 10 ft
4:04.0,,,48-51,,Offensive rebound by R. Westbrook
4:00.0,,,48-53,2,R. Westbrook makes 2-pt shot from 9 ft
3:48.0,Shooting foul by R. Westbrook (drawn by E. Bledsoe),,48-53,,
3:48.0,E. Bledsoe makes free throw 1 of 2,1,49-53,,
3:48.0,E. Bledsoe makes free throw 2 of 2,1,50-53,,
3:26.0,,,50-53,,Turnover by K. Durant (bad pass; steal by T. Chandler)
3:15.0,M. Morris misses 2-pt shot from 3 ft,,50-53,,
3:14.0,,,50-53,,Defensive rebound by K. Durant
3:06.0,,,50-53,,S. Ibaka misses 2-pt shot from 1 ft
3:05.0,,,50-53,,Offensive rebound by S. Adams
3:05.0,,,50-53,,S. Adams misses 2-pt shot from 2 ft
3:03.0,,,50-53,,Offensive rebound by S. Ibaka
2:59.0,,,50-55,2,S. Ibaka makes 2-pt shot from 4 ft
2:48.0,Offensive foul by M. Morris,,50-55,,
2:48.0,Turnover by M. Morris (offensive foul),,50-55,,
2:48.0,Phoenix full timeout,,50-55,,
2:48.0,,,50-55,,D. Waiters enters the game for A. Roberson
2:37.0,,,50-55,,K. Durant misses 2-pt shot from 14 ft
2:37.0,Defensive rebound by B. Knight,,50-55,,
2:16.0,B. Knight misses 2-pt shot from 22 ft,,50-55,,
2:16.0,,,50-55,,Defensive rebound by S. Ibaka
2:06.0,,,50-55,,R. Westbrook misses 2-pt shot from 17 ft
2:06.0,Defensive rebound by T. Chandler,,50-55,,
1:55.0,E. Bledsoe makes 2-pt shot from 12 ft,2,52-55,,
1:47.0,,,52-55,,K. Durant misses 3-pt shot from 25 ft
1:46.0,Defensive rebound by M. Morris,,52-55,,
1:37.0,Turnover by T. Chandler (lost ball; steal by D. Waiters),,52-55,,
1:30.0,,,52-57,2,S. Adams makes 2-pt shot at rim (assist by R. Westbrook)
1:26.0,Phoenix full timeout,,52-57,,
1:26.0,A. Len enters the game for T. Chandler,,52-57,,
1:11.0,M. Morris makes 2-pt shot from 1 ft,2,54-57,,
0:58.0,,,54-57,,K. Durant misses 2-pt shot from 2 ft
0:57.0,Defensive rebound by M. Morris,,54-57,,
0:53.0,Turnover by B. Knight (traveling),,54-57,,
0:42.0,,,54-57,,Shooting foul by E. Bledsoe (drawn by R. Westbrook)
0:42.0,,,54-57,,R. Westbrook misses free throw 1 of 2
0:42.0,,,54-57,,Offensive rebound by Team
0:42.0,T. Warren enters the game for E. Bledsoe,,54-57,,
0:42.0,,,54-58,1,R. Westbrook makes free throw 2 of 2
0:28.0,Turnover by A. Len (lost ball; steal by S. Ibaka),,54-58,,
0:21.0,,,54-60,2,S. Ibaka makes 2-pt shot at rim (assist by R. Westbrook)
0:05.0,,,54-60,,Personal take foul by D. Waiters (drawn by B. Knight)
0:05.0,,,54-60,,A. Roberson enters the game for R. Westbrook
0:05.0,E. Bledsoe enters the game for A. Len,,54-60,,
0:00.0,E. Bledsoe misses 2-pt shot from 7 ft (block by S. Adams),,54-60,,
0:00.0,Offensive rebound by Team,,54-60,,
0:00.0,Turnover by T. Warren (bad pass),,54-60,,
0:00.0,,,54-60,,Oklahoma City full timeout
0:00.0,,,54-60,,R. Westbrook enters the game for A. Roberson
0:00.0,R. Price enters the game for B. Knight,,54-60,,
0:00.0,T. Chandler enters the game for E. Bledsoe,,54-60,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,Turnover by M. Morris (lost ball; steal by K. Durant),,54-60,,
11:46.0,Personal foul by M. Morris (drawn by K. Durant),,54-60,,
11:39.0,,,54-60,,K. Durant misses 3-pt shot from 23 ft
11:38.0,Defensive rebound by P. Tucker,,54-60,,
11:32.0,B. Knight misses 3-pt shot from 24 ft,,54-60,,
11:31.0,,,54-60,,Defensive rebound by K. Durant
11:11.0,,,54-60,,R. Westbrook misses 3-pt shot from 25 ft
11:10.0,Defensive rebound by B. Knight,,54-60,,
10:50.0,M. Morris makes 2-pt shot from 15 ft,2,56-60,,
10:30.0,,,56-60,,Turnover by S. Adams (bad pass; steal by P. Tucker)
10:30.0,Turnover by P. Tucker (bad pass),,56-60,,
10:16.0,,,56-60,,S. Adams misses 2-pt shot from 1 ft (block by B. Knight)
10:15.0,Defensive rebound by T. Chandler,,56-60,,
9:51.0,E. Bledsoe misses 2-pt shot from 2 ft (block by S. Adams),,56-60,,
9:50.0,,,56-60,,Defensive rebound by A. Roberson
9:44.0,,,56-62,2,A. Roberson makes 2-pt shot at rim
9:31.0,B. Knight makes 2-pt shot from 15 ft (assist by E. Bledsoe),2,58-62,,
9:19.0,,,58-62,,R. Westbrook misses 2-pt shot from 1 ft
9:18.0,Defensive rebound by P. Tucker,,58-62,,
9:05.0,E. Bledsoe misses 2-pt shot from 6 ft (block by S. Adams),,58-62,,
9:05.0,Offensive rebound by M. Morris,,58-62,,
9:05.0,M. Morris misses 2-pt shot from 3 ft (block by A. Roberson),,58-62,,
9:05.0,Offensive rebound by Team,,58-62,,
9:02.0,M. Morris misses 2-pt shot from 18 ft,,58-62,,
9:01.0,,,58-62,,Defensive rebound by K. Durant
8:49.0,,,58-64,2,S. Adams makes 2-pt shot from 1 ft (assist by K. Durant)
8:34.0,Offensive foul by T. Chandler,,58-64,,
8:34.0,Turnover by T. Chandler (offensive foul),,58-64,,
8:29.0,Personal foul by T. Chandler (drawn by S. Ibaka),,58-64,,
8:22.0,,,58-64,,K. Durant misses 2-pt shot from 11 ft
8:21.0,,,58-64,,Offensive rebound by A. Roberson
8:21.0,,,58-64,,A. Roberson misses 2-pt shot from 1 ft
8:19.0,,,58-64,,Offensive rebound by A. Roberson
8:19.0,,,58-64,,A. Roberson misses 2-pt shot from 1 ft
8:18.0,Defensive rebound by T. Chandler,,58-64,,
8:10.0,,,58-64,,Personal foul by S. Ibaka (drawn by B. Knight)
7:57.0,B. Knight misses 3-pt shot from 22 ft,,58-64,,
7:57.0,,,58-64,,Defensive rebound by R. Westbrook
7:46.0,,,58-64,,A. Roberson misses 2-pt shot from 1 ft
7:39.0,,,58-64,,E. Kanter enters the game for S. Adams
7:39.0,Jump ball: M. Morris vs. A. Roberson (P. Tucker gains possession),,,,Jump ball: M. Morris vs. A. Roberson (P. Tucker gains possession)
7:37.0,Defensive rebound by M. Morris,,58-64,,
7:37.0,,,58-64,,Personal foul by A. Roberson (drawn by P. Tucker)
7:19.0,P. Tucker misses 2-pt shot from 2 ft,,58-64,,
7:18.0,,,58-64,,Defensive rebound by S. Ibaka
7:12.0,,,58-66,2,K. Durant makes 2-pt shot at rim (assist by R. Westbrook)
7:06.0,P. Tucker misses 3-pt shot from 23 ft,,58-66,,
7:05.0,,,58-66,,Defensive rebound by S. Ibaka
6:55.0,,,58-66,,S. Ibaka misses 2-pt shot from 19 ft
6:54.0,Defensive rebound by P. Tucker,,58-66,,
6:54.0,,,58-66,,Personal foul by R. Westbrook (drawn by P. Tucker)
6:28.0,M. Morris makes 2-pt shot from 14 ft (assist by E. Bledsoe),2,60-66,,
6:16.0,,,60-66,,R. Westbrook misses 2-pt shot from 19 ft
6:15.0,,,60-66,,Offensive rebound by R. Westbrook
6:12.0,,,60-69,3,K. Durant makes 3-pt shot from 24 ft (assist by S. Ibaka)
5:44.0,M. Morris misses 2-pt shot from 11 ft,,60-69,,
5:44.0,,,60-69,,Defensive rebound by K. Durant
5:30.0,,,60-71,2,S. Ibaka makes 2-pt shot from 12 ft (assist by K. Durant)
5:30.0,Phoenix full timeout,,60-71,,
5:12.0,M. Morris misses 2-pt shot from 1 ft,,60-71,,
5:11.0,,,60-71,,Defensive rebound by E. Kanter
4:57.0,,,60-73,2,R. Westbrook makes 2-pt shot from 4 ft
4:49.0,B. Knight makes 3-pt shot from 22 ft (assist by E. Bledsoe),3,63-73,,
4:30.0,,,63-73,,S. Ibaka misses 2-pt shot from 17 ft
4:30.0,Defensive rebound by B. Knight,,63-73,,
4:21.0,Turnover by B. Knight (bad pass; steal by K. Durant),,63-73,,
4:18.0,,,63-73,,Shooting foul by E. Bledsoe (drawn by A. Roberson)
4:18.0,,,63-73,,A. Roberson misses free throw 1 of 2
4:18.0,,,63-73,,Offensive rebound by Team
4:18.0,T. Warren enters the game for T. Chandler,,63-73,,
4:18.0,A. Len enters the game for P. Tucker,,63-73,,
4:18.0,,,63-74,1,A. Roberson makes free throw 2 of 2
4:03.0,T. Warren misses 2-pt shot from 7 ft,,63-74,,
4:02.0,,,63-74,,Defensive rebound by A. Roberson
3:52.0,,,63-76,2,A. Roberson makes 2-pt shot from 2 ft
3:38.0,M. Morris makes 2-pt shot from 2 ft (assist by E. Bledsoe),2,65-76,,
3:38.0,Shooting foul by K. Durant (drawn by M. Morris),,65-76,,
3:38.0,D. Booker enters the game for B. Knight,,65-76,,
3:38.0,,,65-76,,D. Waiters enters the game for A. Roberson
3:38.0,M. Morris makes free throw 1 of 1,1,66-76,,
3:28.0,,,66-76,,Turnover by R. Westbrook (bad pass)
3:15.0,E. Bledsoe makes 3-pt shot from 24 ft,3,69-76,,
3:01.0,,,69-78,2,R. Westbrook makes 2-pt shot from 1 ft
2:54.0,T. Warren makes 2-pt shot at rim (assist by E. Bledsoe),2,71-78,,
2:33.0,,,71-80,2,K. Durant makes 2-pt shot from 6 ft
2:21.0,A. Len misses 2-pt shot from 18 ft,,71-80,,
2:20.0,,,71-80,,Defensive rebound by K. Durant
2:06.0,,,71-80,,Shooting foul by E. Bledsoe (drawn by K. Durant)
2:06.0,,,71-80,,Oklahoma City full timeout
2:06.0,,,71-80,,M. McGary enters the game for S. Ibaka
2:06.0,R. Price enters the game for E. Bledsoe,,71-80,,
2:06.0,,,71-81,1,K. Durant makes free throw 1 of 2
2:06.0,,,71-82,1,K. Durant makes free throw 2 of 2
2:00.0,,,71-82,,Personal foul by D. Waiters (drawn by M. Morris)
2:00.0,M. Morris makes free throw 1 of 2,1,72-82,,
2:00.0,,,72-82,,K. Singler enters the game for K. Durant
2:00.0,M. Morris makes free throw 2 of 2,1,73-82,,
1:46.0,,,73-82,,Turnover by M. McGary (lost ball)
1:46.0,,,73-82,,D. Augustin enters the game for R. Westbrook
1:29.0,M. Morris makes 2-pt shot from 2 ft,2,75-82,,
1:26.0,Personal foul by R. Price (drawn by D. Augustin),,75-82,,
1:26.0,,,75-82,,D. Augustin misses free throw 1 of 2
1:26.0,,,75-82,,Offensive rebound by Team
1:26.0,,,75-83,1,D. Augustin makes free throw 2 of 2
1:13.0,M. Morris misses 2-pt shot from 2 ft,,75-83,,
1:13.0,,,75-83,,Defensive rebound by K. Singler
1:01.0,Shooting block foul by R. Price (drawn by D. Waiters),,75-83,,
1:01.0,,,75-84,1,D. Waiters makes free throw 1 of 2
1:01.0,,,75-84,,D. Waiters misses free throw 2 of 2
1:01.0,,,75-84,,Offensive rebound by M. McGary
0:54.0,,,75-86,2,K. Singler makes 2-pt shot from 2 ft (assist by D. Waiters)
0:54.0,,,75-86,,Shooting foul by M. Morris (drawn by K. Singler)
0:54.0,,,75-86,,K. Singler misses free throw 1 of 1
0:54.0,Defensive rebound by T. Warren,,75-86,,
0:38.0,D. Booker misses 2-pt shot from 2 ft,,75-86,,
0:37.0,,,75-86,,Defensive rebound by E. Kanter
0:33.0,,,75-88,2,E. Kanter makes 2-pt shot from 3 ft (assist by D. Augustin)
0:33.0,,,75-88,,Shooting foul by D. Booker (drawn by E. Kanter)
0:33.0,,,75-89,1,E. Kanter makes free throw 1 of 1
0:16.0,M. Morris makes 2-pt shot from 1 ft,2,77-89,,
0:00.0,,,77-89,,D. Waiters misses 2-pt shot from 19 ft
0:00.0,,,77-89,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,,,77-89,,Shooting foul by D. Booker (drawn by M. McGary)
11:43.0,,,77-89,,M. McGary misses free throw 1 of 2
11:43.0,,,77-89,,Offensive rebound by Team
11:43.0,,,77-90,1,M. McGary makes free throw 2 of 2
11:30.0,T. Warren makes 2-pt shot from 2 ft (assist by R. Price),2,79-90,,
11:22.0,,,79-90,,Turnover by D. Augustin (bad pass; steal by R. Price)
11:16.0,T. Warren misses 2-pt shot from 2 ft,,79-90,,
11:15.0,,,79-90,,Defensive rebound by K. Singler
11:00.0,,,79-92,2,E. Kanter makes 2-pt shot from 1 ft (assist by D. Augustin)
10:43.0,T. Warren makes 2-pt shot from 14 ft (assist by R. Price),2,81-92,,
10:33.0,,,81-92,,Offensive foul by E. Kanter
10:33.0,,,81-92,,Turnover by E. Kanter (offensive foul)
10:23.0,D. Booker misses 2-pt shot from 2 ft (block by D. Waiters),,81-92,,
10:23.0,Offensive rebound by Team,,81-92,,
10:23.0,Offensive foul by A. Len,,81-92,,
10:23.0,Turnover by A. Len (offensive foul),,81-92,,
10:09.0,,,81-94,2,D. Waiters makes 2-pt shot from 14 ft
9:58.0,Turnover by R. Price (bad pass; steal by D. Augustin),,81-94,,
9:55.0,,,81-96,2,M. McGary makes 2-pt shot at rim (assist by D. Augustin)
9:54.0,Phoenix full timeout,,81-96,,
9:54.0,B. Knight enters the game for M. Morris,,81-96,,
9:54.0,E. Bledsoe enters the game for R. Price,,81-96,,
9:54.0,M. Teletovic enters the game for D. Booker,,81-96,,
9:41.0,E. Bledsoe misses 2-pt shot from 23 ft,,81-96,,
9:40.0,,,81-96,,Defensive rebound by M. McGary
9:22.0,,,81-96,,Turnover by M. McGary (traveling)
9:04.0,Shooting foul by E. Kanter (drawn by A. Len),,81-96,,
9:04.0,A. Len makes free throw 1 of 2,1,82-96,,
9:04.0,A. Len makes free throw 2 of 2,1,83-96,,
