time,Golden State,pts.away,score,pts.home,Detroit
7:31.0,,,6-11,2,A. Drummond makes 2-pt shot from 6 ft (assist by R. Jackson)
7:18.0,Turnover by S. Curry (bad pass; steal by R. Jackson),,6-11,,
7:10.0,,,6-13,2,R. Jackson makes 2-pt shot from 5 ft
6:56.0,K. Thompson misses 2-pt shot from 17 ft,,6-13,,
6:55.0,Offensive rebound by A. Bogut,,6-13,,
6:54.0,A. Bogut makes 2-pt shot at rim,2,8-13,,
6:37.0,,,8-16,3,K. Caldwell-Pope makes 3-pt shot from 27 ft (assist by R. Jackson)
6:25.0,A. Bogut misses 2-pt shot at rim,,8-16,,
6:24.0,,,8-16,,Defensive rebound by M. Morris
6:18.0,,,8-18,2,M. Morris makes 2-pt shot from 16 ft
6:05.0,Golden State full timeout,,8-18,,
6:05.0,A. Iguodala enters the game for H. Barnes,,8-18,,
5:53.0,Shooting foul by E. Ilyasova (drawn by K. Thompson),,8-18,,
5:53.0,K. Thompson makes free throw 1 of 2,1,9-18,,
5:53.0,K. Thompson makes free throw 2 of 2,1,10-18,,
5:38.0,,,10-18,,M. Morris misses 3-pt shot from 26 ft
5:37.0,,,10-18,,Offensive rebound by A. Drummond
5:36.0,,,10-18,,A. Drummond misses 2-pt shot from 4 ft (block by A. Bogut)
5:35.0,Defensive rebound by K. Thompson,,10-18,,
5:19.0,Shooting foul by R. Jackson (drawn by D. Green),,10-18,,
5:19.0,D. Green makes free throw 1 of 2,1,11-18,,
5:19.0,D. Green misses free throw 2 of 2,,11-18,,
5:18.0,,,11-18,,Defensive rebound by E. Ilyasova
5:02.0,,,11-21,3,E. Ilyasova makes 3-pt shot from 26 ft (assist by K. Caldwell-Pope)
4:49.0,S. Curry makes 2-pt shot from 1 ft,2,13-21,,
4:34.0,,,13-21,,K. Caldwell-Pope misses 3-pt shot from 25 ft
4:34.0,Defensive rebound by A. Iguodala,,13-21,,
4:26.0,F. Ezeli enters the game for A. Bogut,,13-21,,
4:26.0,,,13-21,,S. Johnson enters the game for M. Morris
4:23.0,K. Thompson misses 3-pt shot from 24 ft,,13-21,,
4:21.0,,,13-21,,Defensive rebound by A. Drummond
4:07.0,Violation by F. Ezeli (kicked ball),,13-21,,
3:50.0,,,13-21,,R. Jackson misses 2-pt shot from 16 ft
3:50.0,Defensive rebound by F. Ezeli,,13-21,,
3:44.0,S. Curry makes 3-pt shot from 29 ft (assist by D. Green),3,16-21,,
3:20.0,,,16-23,2,K. Caldwell-Pope makes 2-pt shot from 18 ft
3:15.0,,,16-23,,Personal foul by S. Johnson (drawn by F. Ezeli)
3:09.0,F. Ezeli makes 2-pt shot from 5 ft (assist by A. Iguodala),2,18-23,,
2:51.0,,,18-23,,R. Jackson misses 2-pt shot at rim (block by F. Ezeli)
2:48.0,Defensive rebound by A. Iguodala,,18-23,,
2:45.0,Shooting foul by S. Johnson (drawn by D. Green),,18-23,,
2:45.0,,,18-23,,Detroit full timeout
2:45.0,,,18-23,,B. Jennings enters the game for R. Jackson
2:45.0,S. Livingston enters the game for K. Thompson,,18-23,,
2:45.0,D. Green misses free throw 1 of 2,,18-23,,
2:45.0,Offensive rebound by Team,,18-23,,
2:45.0,D. Green makes free throw 2 of 2,1,19-23,,
2:27.0,,,19-23,,E. Ilyasova misses 2-pt shot from 5 ft (block by F. Ezeli)
2:27.0,,,19-23,,Offensive rebound by Team
2:21.0,,,19-23,,K. Caldwell-Pope misses 3-pt shot from 25 ft
2:19.0,,,19-23,,Offensive rebound by Team
2:19.0,,,19-23,,Turnover by Team (shot clock)
2:15.0,A. Iguodala misses 2-pt shot at rim,,19-23,,
2:12.0,Offensive rebound by F. Ezeli,,19-23,,
2:02.0,F. Ezeli makes 2-pt shot at rim,2,21-23,,
1:52.0,,,21-25,2,K. Caldwell-Pope makes 2-pt shot from 1 ft
1:45.0,S. Curry makes 3-pt shot from 26 ft,3,24-25,,
1:25.0,,,24-27,2,K. Caldwell-Pope makes 2-pt shot from 17 ft
1:12.0,F. Ezeli makes 2-pt shot at rim (assist by D. Green),2,26-27,,
0:57.0,,,26-27,,E. Ilyasova misses 2-pt shot from 16 ft
0:57.0,,,26-27,,Offensive rebound by A. Drummond
0:52.0,,,26-27,,Offensive foul by A. Drummond
0:52.0,,,26-27,,Turnover by A. Drummond (offensive foul)
0:52.0,,,26-27,,A. Baynes enters the game for A. Drummond
0:35.0,D. Green makes 3-pt shot from 26 ft (assist by S. Curry),3,29-27,,
0:18.0,,,29-27,,K. Caldwell-Pope misses 2-pt shot from 16 ft
0:18.0,Defensive rebound by S. Curry,,29-27,,
0:03.0,Shooting foul by A. Baynes (drawn by S. Curry),,29-27,,
0:03.0,S. Curry misses free throw 1 of 2,,29-27,,
0:03.0,Offensive rebound by Team,,29-27,,
0:03.0,S. Curry makes free throw 2 of 2,1,30-27,,
0:01.0,,,30-27,,B. Jennings misses 3-pt shot from 41 ft
0:00.0,,,30-27,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,Personal foul by A. Iguodala (drawn by M. Morris),,30-27,,
11:49.0,,,30-27,,S. Johnson misses 2-pt shot from 19 ft
11:49.0,Defensive rebound by H. Barnes,,30-27,,
11:37.0,S. Livingston misses 2-pt shot from 5 ft,,30-27,,
11:36.0,Offensive rebound by F. Ezeli,,30-27,,
11:19.0,H. Barnes misses 2-pt shot from 1 ft,,30-27,,
11:10.0,,,30-27,,Defensive rebound by Team
10:52.0,,,30-29,2,A. Baynes makes 2-pt shot from 6 ft
10:37.0,L. Barbosa misses 3-pt shot from 25 ft,,30-29,,
10:37.0,,,30-29,,Defensive rebound by M. Morris
10:28.0,,,30-29,,M. Morris misses 2-pt shot from 5 ft
10:27.0,,,30-29,,Offensive rebound by A. Baynes
10:24.0,,,30-31,2,A. Baynes makes 2-pt shot at rim
10:19.0,S. Livingston makes 2-pt shot at rim,2,32-31,,
10:19.0,Shooting foul by B. Jennings (drawn by S. Livingston),,32-31,,
10:19.0,S. Livingston makes free throw 1 of 1,1,33-31,,
10:12.0,Personal foul by A. Iguodala (drawn by M. Morris),,33-31,,
9:59.0,,,33-31,,B. Jennings misses 2-pt shot from 3 ft (block by F. Ezeli)
9:58.0,,,33-31,,Offensive rebound by A. Tolliver
9:55.0,,,33-31,,B. Jennings misses 3-pt shot from 24 ft
9:55.0,Defensive rebound by S. Livingston,,33-31,,
9:47.0,F. Ezeli misses 2-pt shot from 5 ft,,33-31,,
9:45.0,Offensive rebound by L. Barbosa,,33-31,,
9:38.0,L. Barbosa misses 2-pt shot from 5 ft (block by M. Morris),,33-31,,
9:37.0,,,33-31,,Defensive rebound by M. Morris
9:36.0,Personal foul by L. Barbosa (drawn by M. Morris),,33-31,,
9:25.0,,,33-31,,S. Johnson misses 2-pt shot at rim
9:25.0,Defensive rebound by L. Barbosa,,33-31,,
9:13.0,S. Livingston misses 2-pt shot from 12 ft,,33-31,,
9:13.0,,,33-31,,Defensive rebound by A. Baynes
9:05.0,,,33-31,,Shooting foul by S. Livingston (drawn by A. Tolliver)
9:05.0,,,33-32,1,A. Tolliver makes free throw 1 of 3
9:05.0,,,33-33,1,A. Tolliver makes free throw 2 of 3
9:05.0,Golden State full timeout,,33-33,,
9:05.0,,,33-34,1,A. Tolliver makes free throw 3 of 3
8:52.0,Turnover by S. Livingston (bad pass; steal by B. Jennings),,33-34,,
8:45.0,,,33-36,2,A. Baynes makes 2-pt shot at rim (assist by M. Morris)
8:26.0,H. Barnes misses 2-pt shot from 11 ft,,33-36,,
8:26.0,,,33-36,,Defensive rebound by B. Jennings
8:12.0,,,33-38,2,A. Baynes makes 2-pt shot from 10 ft (assist by B. Jennings)
8:04.0,L. Barbosa misses 2-pt shot from 3 ft (block by A. Baynes),,33-38,,
8:03.0,,,33-38,,Defensive rebound by A. Tolliver
7:48.0,,,33-40,2,A. Baynes makes 2-pt shot at rim (assist by S. Johnson)
7:24.0,F. Ezeli misses 2-pt shot from 5 ft,,33-40,,
7:23.0,,,33-40,,Defensive rebound by S. Johnson
7:11.0,,,33-42,2,S. Johnson makes 2-pt shot from 16 ft
7:07.0,Golden State full timeout,,33-42,,
7:07.0,A. Bogut enters the game for A. Iguodala,,33-42,,
7:07.0,D. Green enters the game for F. Ezeli,,33-42,,
7:07.0,S. Curry enters the game for S. Livingston,,33-42,,
7:07.0,K. Thompson enters the game for L. Barbosa,,33-42,,
6:59.0,Turnover by A. Bogut (bad pass; steal by S. Johnson),,33-42,,
6:53.0,,,33-44,2,B. Jennings makes 2-pt shot at rim (assist by S. Johnson)
6:38.0,S. Curry misses 3-pt shot from 27 ft,,33-44,,
6:38.0,,,33-44,,Defensive rebound by A. Baynes
6:23.0,,,33-44,,B. Jennings misses 2-pt shot from 6 ft
6:23.0,Defensive rebound by A. Bogut,,33-44,,
6:20.0,K. Thompson makes 2-pt shot at rim (assist by D. Green),2,35-44,,
6:20.0,Shooting foul by A. Tolliver (drawn by K. Thompson),,35-44,,
6:20.0,,,35-44,,R. Jackson enters the game for B. Jennings
6:20.0,,,35-44,,A. Drummond enters the game for A. Baynes
6:20.0,,,35-44,,K. Caldwell-Pope enters the game for S. Johnson
6:20.0,K. Thompson makes free throw 1 of 1,1,36-44,,
6:05.0,,,36-46,2,M. Morris makes 2-pt shot at rim
5:50.0,H. Barnes misses 2-pt shot from 5 ft (block by M. Morris),,36-46,,
5:49.0,,,36-46,,Defensive rebound by A. Drummond
5:44.0,,,36-46,,M. Morris misses 2-pt shot at rim
5:44.0,,,36-46,,Offensive rebound by M. Morris
5:42.0,Loose ball foul by A. Bogut (drawn by M. Morris),,36-46,,
5:42.0,Official timeout,,36-46,,
5:42.0,,,36-46,,E. Ilyasova enters the game for A. Tolliver
5:42.0,,,36-46,,M. Morris misses free throw 1 of 2
5:42.0,,,36-46,,Offensive rebound by Team
5:42.0,,,36-47,1,M. Morris makes free throw 2 of 2
5:30.0,S. Curry makes 2-pt shot from 16 ft,2,38-47,,
5:13.0,,,38-49,2,M. Morris makes 2-pt shot from 16 ft (assist by R. Jackson)
5:00.0,S. Curry misses 3-pt shot from 27 ft,,38-49,,
5:00.0,Offensive rebound by D. Green,,38-49,,
4:57.0,D. Green misses 2-pt shot at rim,,38-49,,
4:56.0,Offensive rebound by A. Bogut,,38-49,,
4:53.0,A. Bogut makes 2-pt shot at rim,2,40-49,,
4:37.0,,,40-51,2,R. Jackson makes 2-pt shot at rim
4:17.0,H. Barnes misses 2-pt shot from 18 ft,,40-51,,
4:17.0,,,40-51,,Defensive rebound by M. Morris
4:04.0,,,40-51,,M. Morris misses 2-pt shot from 15 ft
4:03.0,Defensive rebound by S. Curry,,40-51,,
3:47.0,H. Barnes makes 3-pt shot from 25 ft (assist by D. Green),3,43-51,,
3:19.0,,,43-53,2,K. Caldwell-Pope makes 2-pt shot from 18 ft
3:07.0,Turnover by K. Thompson (lost ball),,43-53,,
3:07.0,B. Rush enters the game for H. Barnes,,43-53,,
2:50.0,,,43-55,2,K. Caldwell-Pope makes 2-pt shot from 18 ft (assist by R. Jackson)
2:35.0,K. Thompson makes 2-pt shot from 19 ft (assist by D. Green),2,45-55,,
2:19.0,Personal foul by S. Curry (drawn by K. Caldwell-Pope),,45-55,,
2:19.0,,,45-55,,Detroit full timeout
2:19.0,,,45-55,,A. Baynes enters the game for A. Drummond
2:19.0,,,45-55,,K. Caldwell-Pope misses free throw 1 of 2
2:19.0,,,45-55,,Offensive rebound by Team
2:19.0,,,45-56,1,K. Caldwell-Pope makes free throw 2 of 2
1:58.0,S. Curry makes 2-pt shot at rim,2,47-56,,
1:57.0,Technical foul by S. Curry,,47-56,,
1:57.0,,,47-56,,R. Jackson misses technical free throw
1:57.0,,,47-56,,Offensive rebound by Team
1:41.0,,,47-56,,Turnover by K. Caldwell-Pope (bad pass; steal by B. Rush)
1:33.0,S. Curry misses 3-pt shot from 27 ft,,47-56,,
1:33.0,,,47-56,,Defensive rebound by E. Ilyasova
1:23.0,Technical foul by D. Green,,47-56,,
1:23.0,,,47-56,,R. Jackson misses technical free throw
1:23.0,,,47-56,,Offensive rebound by Team
1:23.0,,,47-56,,Shooting foul by D. Green (drawn by M. Morris)
1:23.0,,,47-57,1,M. Morris makes free throw 1 of 2
1:23.0,,,47-58,1,M. Morris makes free throw 2 of 2
1:06.0,B. Rush misses 3-pt shot from 23 ft,,47-58,,
1:06.0,,,47-58,,Defensive rebound by A. Baynes
0:55.0,,,47-60,2,A. Baynes makes 2-pt shot from 14 ft (assist by R. Jackson)
0:46.0,S. Curry misses 2-pt shot from 6 ft (block by K. Caldwell-Pope),,47-60,,
0:45.0,,,47-60,,Defensive rebound by K. Caldwell-Pope
0:42.0,,,47-62,2,M. Morris makes 2-pt shot at rim (assist by K. Caldwell-Pope)
0:26.0,K. Thompson misses 3-pt shot from 23 ft,,47-62,,
0:26.0,Offensive rebound by Team,,47-62,,
0:08.0,K. Thompson makes 2-pt shot from 12 ft (assist by S. Curry),2,49-62,,
0:02.0,,,49-65,3,R. Jackson makes 3-pt shot from 26 ft
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,,,49-67,2,K. Caldwell-Pope makes 2-pt shot from 14 ft (assist by M. Morris)
11:27.0,K. Thompson misses 2-pt shot from 14 ft,,49-67,,
11:26.0,Offensive rebound by A. Bogut,,49-67,,
11:14.0,H. Barnes misses 3-pt shot from 22 ft,,49-67,,
11:14.0,,,49-67,,Defensive rebound by K. Caldwell-Pope
11:08.0,,,49-67,,Shooting foul by A. Bogut (drawn by A. Drummond)
11:08.0,,,49-68,1,A. Drummond makes free throw 1 of 2
11:08.0,,,49-68,,A. Drummond misses free throw 2 of 2
11:07.0,Defensive rebound by H. Barnes,,49-68,,
10:55.0,S. Curry misses 2-pt shot from 15 ft,,49-68,,
10:55.0,,,49-68,,Defensive rebound by E. Ilyasova
10:42.0,,,49-68,,Offensive charge foul by A. Drummond
10:42.0,,,49-68,,Turnover by A. Drummond (offensive foul)
10:31.0,S. Curry makes 2-pt shot at rim (assist by D. Green),2,51-68,,
10:11.0,,,51-68,,A. Drummond misses 2-pt shot at rim
10:11.0,Defensive rebound by Team,,51-68,,
10:11.0,,,51-68,,Loose ball foul by E. Ilyasova (drawn by H. Barnes)
9:49.0,S. Curry misses 2-pt shot from 18 ft,,51-68,,
9:48.0,,,51-68,,Defensive rebound by M. Morris
9:42.0,,,51-68,,A. Drummond misses 2-pt shot from 5 ft
9:39.0,Defensive rebound by A. Bogut,,51-68,,
9:35.0,D. Green misses 2-pt shot at rim,,51-68,,
9:33.0,,,51-68,,Defensive rebound by A. Drummond
9:33.0,Personal foul by H. Barnes (drawn by M. Morris),,51-68,,
9:23.0,,,51-68,,R. Jackson misses 3-pt shot from 26 ft
9:23.0,Defensive rebound by Team,,51-68,,
9:12.0,D. Green misses 2-pt shot from 4 ft (block by A. Drummond),,51-68,,
9:11.0,,,51-68,,Defensive rebound by K. Caldwell-Pope
9:07.0,,,51-68,,K. Caldwell-Pope misses 3-pt shot from 26 ft
9:06.0,,,51-68,,Offensive rebound by R. Jackson
9:00.0,,,51-70,2,R. Jackson makes 2-pt shot from 10 ft
8:40.0,K. Thompson makes 2-pt shot from 14 ft (assist by S. Curry),2,53-70,,
8:27.0,,,53-70,,A. Drummond misses 2-pt shot at rim
8:24.0,Defensive rebound by H. Barnes,,53-70,,
8:21.0,S. Curry misses 2-pt shot from 6 ft (block by E. Ilyasova),,53-70,,
8:18.0,Offensive rebound by S. Curry,,53-70,,
8:14.0,K. Thompson misses 2-pt shot from 14 ft,,53-70,,
8:14.0,,,53-70,,Defensive rebound by A. Drummond
8:05.0,,,53-70,,E. Ilyasova misses 2-pt shot from 6 ft
8:04.0,Defensive rebound by A. Bogut,,53-70,,
8:00.0,,,53-70,,Personal foul by K. Caldwell-Pope (drawn by S. Curry)
7:51.0,H. Barnes misses 2-pt shot from 5 ft (block by E. Ilyasova),,53-70,,
7:49.0,,,53-70,,Defensive rebound by A. Drummond
7:45.0,,,53-70,,R. Jackson misses 2-pt shot at rim
7:44.0,,,53-70,,Offensive rebound by A. Drummond
7:43.0,,,53-70,,A. Drummond misses 2-pt shot from 2 ft
7:43.0,,,53-70,,Offensive rebound by A. Drummond
7:43.0,,,53-70,,A. Drummond misses 2-pt shot from 2 ft
7:38.0,Defensive rebound by K. Thompson,,53-70,,
7:30.0,Turnover by A. Bogut (bad pass; steal by A. Drummond),,53-70,,
7:20.0,,,53-70,,M. Morris misses 2-pt shot from 13 ft
7:20.0,Defensive rebound by D. Green,,53-70,,
7:05.0,S. Curry makes 3-pt shot from 25 ft (assist by H. Barnes),3,56-70,,
6:54.0,,,56-70,,Shooting foul by A. Bogut (drawn by A. Drummond)
6:54.0,,,56-71,1,A. Drummond makes free throw 1 of 2
6:54.0,F. Ezeli enters the game for A. Bogut,,56-71,,
6:54.0,,,56-71,,A. Drummond misses free throw 2 of 2
6:53.0,,,56-71,,Offensive rebound by E. Ilyasova
6:43.0,,,56-71,,K. Caldwell-Pope misses 2-pt shot from 17 ft
6:43.0,,,56-71,,Offensive rebound by Team
6:43.0,Loose ball foul by H. Barnes (drawn by A. Drummond),,56-71,,
6:40.0,,,56-71,,Turnover by M. Morris (bad pass; steal by S. Curry)
6:26.0,,,56-71,,Personal foul by K. Caldwell-Pope (drawn by S. Curry)
6:17.0,S. Curry makes 3-pt shot from 26 ft (assist by D. Green),3,59-71,,
6:01.0,,,59-73,2,R. Jackson makes 2-pt shot from 5 ft
5:50.0,K. Thompson misses 2-pt shot from 11 ft,,59-73,,
5:50.0,,,59-73,,Defensive rebound by M. Morris
5:38.0,,,59-73,,A. Drummond misses 2-pt shot from 4 ft
5:37.0,,,59-73,,Offensive rebound by A. Drummond
5:33.0,,,59-73,,A. Drummond misses 2-pt shot from 1 ft
5:32.0,,,59-73,,Offensive rebound by A. Drummond
5:30.0,,,59-73,,A. Drummond misses 2-pt shot at rim
5:29.0,Defensive rebound by K. Thompson,,59-73,,
5:28.0,Shooting foul by R. Jackson (drawn by K. Thompson),,59-73,,
5:28.0,,,59-73,,Detroit full timeout
5:28.0,A. Iguodala enters the game for H. Barnes,,59-73,,
5:28.0,K. Thompson makes free throw 1 of 3,1,60-73,,
5:28.0,K. Thompson misses free throw 2 of 3,,60-73,,
5:28.0,Offensive rebound by Team,,60-73,,
5:28.0,K. Thompson makes free throw 3 of 3,1,61-73,,
5:07.0,,,61-75,2,M. Morris makes 2-pt shot from 16 ft (assist by R. Jackson)
4:47.0,F. Ezeli makes 2-pt shot at rim (assist by K. Thompson),2,63-75,,
4:34.0,,,63-75,,R. Jackson misses 2-pt shot from 4 ft (block by F. Ezeli)
4:33.0,Defensive rebound by S. Curry,,63-75,,
4:30.0,Turnover by D. Green (bad pass; steal by K. Caldwell-Pope),,63-75,,
4:18.0,,,63-78,3,E. Ilyasova makes 3-pt shot from 25 ft (assist by R. Jackson)
3:57.0,S. Curry makes 3-pt shot from 26 ft (assist by D. Green),3,66-78,,
3:57.0,,,66-78,,Detroit full timeout
3:57.0,,,66-78,,S. Johnson enters the game for M. Morris
3:35.0,,,66-78,,Turnover by K. Caldwell-Pope (bad pass; steal by D. Green)
3:18.0,S. Curry misses 3-pt shot from 25 ft,,66-78,,
3:17.0,,,66-78,,Defensive rebound by R. Jackson
3:05.0,,,66-80,2,A. Drummond makes 2-pt shot from 9 ft (assist by S. Johnson)
2:55.0,K. Thompson makes 2-pt shot at rim,2,68-80,,
2:41.0,,,68-80,,R. Jackson misses 2-pt shot from 6 ft
2:41.0,Defensive rebound by F. Ezeli,,68-80,,
2:35.0,D. Green misses 2-pt shot from 1 ft (block by A. Drummond),,68-80,,
2:35.0,,,68-80,,Defensive rebound by Team
2:35.0,L. Barbosa enters the game for K. Thompson,,68-80,,
2:18.0,,,68-80,,S. Johnson misses 3-pt shot from 24 ft
2:18.0,Defensive rebound by S. Curry,,68-80,,
2:14.0,,,68-80,,Personal foul by R. Jackson (drawn by S. Curry)
2:14.0,S. Curry makes free throw 1 of 2,1,69-80,,
2:14.0,,,69-80,,S. Blake enters the game for R. Jackson
2:14.0,S. Curry makes free throw 2 of 2,1,70-80,,
2:00.0,,,70-80,,K. Caldwell-Pope misses 2-pt shot from 15 ft
2:00.0,Defensive rebound by L. Barbosa,,70-80,,
1:58.0,Offensive foul by L. Barbosa,,70-80,,
1:58.0,Turnover by L. Barbosa (offensive foul),,70-80,,
1:40.0,,,70-83,3,S. Blake makes 3-pt shot from 24 ft (assist by E. Ilyasova)
1:30.0,S. Curry makes 3-pt shot from 26 ft,3,73-83,,
1:11.0,,,73-85,2,K. Caldwell-Pope makes 2-pt shot from 19 ft
1:04.0,Offensive foul by F. Ezeli,,73-85,,
1:04.0,Turnover by F. Ezeli (offensive foul),,73-85,,
0:46.0,,,73-85,,Turnover by K. Caldwell-Pope (bad pass; steal by A. Iguodala)
0:32.0,S. Curry misses 3-pt shot from 24 ft,,73-85,,
0:31.0,,,73-85,,Defensive rebound by E. Ilyasova
0:24.0,,,73-85,,K. Caldwell-Pope misses 3-pt shot from 25 ft
0:23.0,,,73-85,,Offensive rebound by E. Ilyasova
0:17.0,,,73-85,,E. Ilyasova misses 2-pt shot from 10 ft (block by D. Green)
0:15.0,Defensive rebound by F. Ezeli,,73-85,,
0:02.0,S. Curry misses 2-pt shot from 7 ft,,73-85,,
0:02.0,Offensive rebound by F. Ezeli,,73-85,,
0:02.0,Shooting foul by E. Ilyasova (drawn by F. Ezeli),,73-85,,
0:02.0,F. Ezeli misses free throw 1 of 2,,73-85,,
0:02.0,Offensive rebound by Team,,73-85,,
0:02.0,F. Ezeli makes free throw 2 of 2,1,74-85,,
0:02.0,Loose ball foul by D. Green (drawn by A. Drummond),,74-85,,
0:02.0,,,74-85,,A. Drummond misses free throw 1 of 2
0:02.0,,,74-85,,Offensive rebound by Team
0:02.0,,,74-85,,A. Drummond misses free throw 2 of 2
0:02.0,Defensive rebound by A. Iguodala,,74-85,,
0:01.0,Turnover by A. Iguodala (lost ball; steal by E. Ilyasova),,74-85,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,L. Barbosa misses 2-pt shot from 1 ft,,74-85,,
11:46.0,,,74-85,,Defensive rebound by S. Blake
11:37.0,,,74-88,3,M. Morris makes 3-pt shot from 26 ft (assist by S. Blake)
11:23.0,L. Barbosa misses 2-pt shot from 4 ft (block by A. Baynes),,74-88,,
11:23.0,Offensive rebound by Team,,74-88,,
11:23.0,,,74-88,,A. Drummond enters the game for A. Baynes
11:11.0,Turnover by Team (shot clock),,74-88,,
10:57.0,,,74-88,,S. Johnson misses 2-pt shot from 16 ft
10:57.0,Defensive rebound by A. Iguodala,,74-88,,
10:49.0,A. Iguodala misses 2-pt shot from 7 ft,,74-88,,
10:48.0,,,74-88,,Defensive rebound by S. Johnson
10:32.0,,,74-91,3,S. Johnson makes 3-pt shot from 25 ft (assist by M. Morris)
10:16.0,S. Livingston misses 2-pt shot from 16 ft,,74-91,,
10:16.0,,,74-91,,Defensive rebound by S. Blake
10:11.0,,,74-91,,Turnover by S. Blake (bad pass; steal by S. Livingston)
10:02.0,H. Barnes misses 2-pt shot from 3 ft (block by S. Johnson),,74-91,,
10:01.0,,,74-91,,Defensive rebound by M. Morris
9:59.0,,,74-93,2,A. Drummond makes 2-pt shot at rim (assist by M. Morris)
9:59.0,Technical foul by Team,,74-93,,
9:59.0,Golden State full timeout,,74-93,,
9:59.0,K. Thompson enters the game for L. Barbosa,,74-93,,
9:59.0,,,74-94,1,S. Johnson makes technical free throw
9:46.0,Shooting foul by S. Johnson (drawn by K. Thompson),,74-94,,
9:46.0,K. Thompson makes free throw 1 of 2,1,75-94,,
9:46.0,K. Thompson makes free throw 2 of 2,1,76-94,,
9:25.0,,,76-94,,M. Morris misses 2-pt shot from 8 ft
9:25.0,Defensive rebound by A. Iguodala,,76-94,,
9:08.0,H. Barnes misses 2-pt shot from 5 ft,,76-94,,
9:06.0,,,76-94,,Defensive rebound by A. Drummond
8:50.0,,,76-96,2,S. Johnson makes 2-pt shot at rim
8:37.0,S. Livingston misses 2-pt shot from 13 ft,,76-96,,
8:37.0,Offensive rebound by Team,,76-96,,
8:37.0,,,76-96,,Violation by S. Blake (kicked ball)
8:37.0,S. Curry enters the game for H. Barnes,,76-96,,
8:37.0,D. Green enters the game for F. Ezeli,,76-96,,
8:37.0,,,76-96,,K. Caldwell-Pope enters the game for S. Johnson
8:30.0,,,76-96,,Personal foul by M. Morris (drawn by K. Thompson)
8:30.0,K. Thompson misses 2-pt shot from 2 ft,,76-96,,
8:28.0,Offensive rebound by Team,,76-96,,
8:28.0,Turnover by D. Green (offensive goaltending),,76-96,,
8:28.0,,,76-96,,Violation by Team (delay of game)
8:00.0,,,76-99,3,S. Blake makes 3-pt shot from 26 ft
