time,LA Lakers,pts.away,score,pts.home,New York
5:06.0,,,60-61,2,J. Calderon makes 2-pt shot at rim (assist by L. Galloway)
4:45.0,J. Clarkson makes 3-pt shot from 25 ft (assist by K. Bryant),3,63-61,,
4:34.0,,,63-63,2,C. Anthony makes 2-pt shot at rim
4:18.0,D. Russell makes 2-pt shot from 18 ft,2,65-63,,
4:06.0,,,65-63,,C. Anthony misses 3-pt shot from 25 ft
4:05.0,Defensive rebound by D. Russell,,65-63,,
4:01.0,Turnover by D. Russell (bad pass),,65-63,,
4:01.0,,,65-63,,L. Thomas enters the game for K. Porzingis
4:01.0,T. Black enters the game for K. Bryant,,65-63,,
4:01.0,L. Williams enters the game for R. Hibbert,,65-63,,
4:01.0,M. World Peace enters the game for D. Russell,,65-63,,
3:49.0,Personal foul by M. World Peace (drawn by J. Calderon),,65-63,,
3:49.0,L. Nance enters the game for J. Randle,,65-63,,
3:40.0,,,65-63,,L. Galloway misses 2-pt shot from 13 ft
3:39.0,Defensive rebound by L. Nance,,65-63,,
3:37.0,Turnover by L. Williams (offensive foul),,65-63,,
3:37.0,Offensive foul by L. Williams,,65-63,,
3:27.0,,,65-63,,J. Calderon misses 3-pt shot from 25 ft
3:26.0,,,65-63,,Offensive rebound by K. O'Quinn
3:17.0,,,65-63,,Shooting foul by L. Nance (drawn by K. O'Quinn)
3:17.0,,,65-63,,K. O'Quinn misses free throw 1 of 2
3:17.0,,,65-63,,Offensive rebound by Team
3:17.0,,,65-63,,J. Grant enters the game for J. Calderon
3:17.0,,,65-64,1,K. O'Quinn makes free throw 2 of 2
3:07.0,L. Williams makes 2-pt shot from 17 ft,2,67-64,,
2:45.0,,,67-64,,Shooting foul by L. Nance (drawn by L. Thomas)
2:45.0,LA Lakers full timeout,,67-64,,
2:45.0,N. Young enters the game for J. Clarkson,,67-64,,
2:45.0,,,67-64,,D. Williams enters the game for C. Anthony
2:45.0,,,67-65,1,L. Thomas makes free throw 1 of 2
2:45.0,,,67-66,1,L. Thomas makes free throw 2 of 2
2:33.0,L. Williams misses 3-pt shot from 24 ft,,67-66,,
2:32.0,,,67-66,,Defensive rebound by K. O'Quinn
2:17.0,,,67-68,2,L. Thomas makes 2-pt shot from 15 ft (assist by J. Grant)
1:57.0,Turnover by T. Black (traveling),,67-68,,
1:36.0,,,67-68,,J. Grant misses 3-pt shot from 25 ft
1:35.0,Defensive rebound by L. Nance,,67-68,,
1:27.0,L. Williams misses 2-pt shot from 6 ft,,67-68,,
1:26.0,,,67-68,,Defensive rebound by Team
1:13.0,,,67-68,,D. Williams misses 2-pt shot from 8 ft
1:12.0,Defensive rebound by T. Black,,67-68,,
1:02.0,,,67-68,,Def 3 sec tech foul by K. O'Quinn
1:02.0,L. Williams makes technical free throw,1,68-68,,
0:54.0,N. Young misses 3-pt shot from 24 ft,,68-68,,
0:54.0,,,68-68,,Defensive rebound by J. Grant
0:45.0,,,68-71,3,L. Galloway makes 3-pt shot from 23 ft (assist by J. Grant)
0:29.0,N. Young makes 2-pt shot from 1 ft,2,70-71,,
0:07.0,,,70-71,,J. Grant misses 2-pt shot from 15 ft
0:06.0,Defensive rebound by L. Nance,,70-71,,
0:01.0,N. Young misses 3-pt shot from 33 ft,,70-71,,
0:00.0,Offensive rebound by Team,,70-71,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,,,70-71,,Shooting foul by L. Nance (drawn by D. Williams)
11:45.0,,,70-71,,D. Williams misses free throw 1 of 2
11:45.0,,,70-71,,Offensive rebound by Team
11:45.0,,,70-71,,J. Calderon enters the game for L. Galloway
11:45.0,,,70-72,1,D. Williams makes free throw 2 of 2
11:28.0,T. Black makes 2-pt shot from 2 ft (assist by L. Williams),2,72-72,,
11:16.0,,,72-72,,Turnover by D. Williams (lost ball)
10:56.0,K. Bryant makes 2-pt shot from 18 ft (assist by T. Black),2,74-72,,
10:36.0,,,74-72,,K. O'Quinn misses 3-pt shot from 24 ft
10:35.0,Defensive rebound by L. Williams,,74-72,,
10:19.0,T. Black makes 2-pt shot from 13 ft (assist by L. Williams),2,76-72,,
10:01.0,,,76-74,2,J. Grant makes 2-pt shot from 1 ft (assist by K. O'Quinn)
9:43.0,K. Bryant makes 2-pt shot from 11 ft,2,78-74,,
9:38.0,,,78-74,,Shooting foul by T. Black (drawn by D. Williams)
9:38.0,,,78-74,,D. Williams misses free throw 1 of 2
9:38.0,,,78-74,,Offensive rebound by Team
9:38.0,,,78-74,,R. Lopez enters the game for K. O'Quinn
9:38.0,,,78-75,1,D. Williams makes free throw 2 of 2
9:28.0,Shooting foul by R. Lopez (drawn by T. Black),,78-75,,
9:28.0,T. Black misses free throw 1 of 2,,78-75,,
9:28.0,Offensive rebound by Team,,78-75,,
9:28.0,,,78-75,,C. Anthony enters the game for D. Williams
9:28.0,T. Black misses free throw 2 of 2,,78-75,,
9:27.0,,,78-75,,Defensive rebound by C. Anthony
9:07.0,,,78-78,3,J. Calderon makes 3-pt shot from 25 ft (assist by J. Grant)
8:56.0,,,78-78,,Personal foul by J. Grant
8:56.0,Official timeout,,78-78,,
8:56.0,R. Hibbert enters the game for K. Bryant,,78-78,,
8:56.0,M. World Peace enters the game for T. Black,,78-78,,
8:44.0,L. Williams makes 3-pt shot from 25 ft (assist by M. World Peace),3,81-78,,
8:28.0,,,81-78,,Turnover by R. Lopez (lost ball; steal by M. World Peace)
8:21.0,N. Young misses 2-pt shot from 19 ft,,81-78,,
8:20.0,Offensive rebound by L. Nance,,81-78,,
8:01.0,M. World Peace makes 2-pt shot from 15 ft,2,83-78,,
7:36.0,,,83-78,,Shooting foul by R. Hibbert (drawn by C. Anthony)
7:36.0,,,83-79,1,C. Anthony makes free throw 1 of 2
7:36.0,D. Russell enters the game for N. Young,,83-79,,
7:36.0,,,83-79,,K. Porzingis enters the game for L. Thomas
7:36.0,,,83-80,1,C. Anthony makes free throw 2 of 2
7:18.0,M. World Peace makes 3-pt shot from 24 ft (assist by R. Hibbert),3,86-80,,
7:02.0,,,86-83,3,C. Anthony makes 3-pt shot from 25 ft (assist by J. Grant)
6:38.0,L. Williams misses 3-pt shot from 22 ft,,86-83,,
6:38.0,,,86-83,,Defensive rebound by C. Anthony
6:28.0,,,86-83,,C. Anthony misses 3-pt shot from 24 ft
6:28.0,Defensive rebound by R. Hibbert,,86-83,,
6:12.0,M. World Peace misses 2-pt shot from 14 ft,,86-83,,
6:12.0,,,86-83,,Defensive rebound by R. Lopez
6:02.0,,,86-83,,Turnover by J. Grant (bad pass; steal by D. Russell)
6:01.0,,,86-83,,Personal foul by C. Anthony (drawn by D. Russell)
6:01.0,,,86-83,,L. Galloway enters the game for J. Grant
6:01.0,J. Randle enters the game for L. Williams,,86-83,,
6:01.0,K. Bryant enters the game for M. World Peace,,86-83,,
6:01.0,J. Clarkson enters the game for L. Nance,,86-83,,
5:45.0,K. Bryant misses 2-pt shot from 14 ft,,86-83,,
5:44.0,,,86-83,,Defensive rebound by L. Galloway
5:34.0,,,86-83,,R. Lopez misses 2-pt shot from 8 ft
5:33.0,,,86-83,,Offensive rebound by Team
5:33.0,,,86-83,,New York full timeout
5:24.0,,,86-83,,K. Porzingis misses 3-pt shot from 25 ft
5:23.0,Defensive rebound by R. Hibbert,,86-83,,
5:10.0,K. Bryant misses 2-pt shot from 4 ft,,86-83,,
5:09.0,,,86-83,,Defensive rebound by K. Porzingis
5:05.0,,,86-83,,C. Anthony misses 3-pt shot from 25 ft
5:04.0,,,86-83,,Offensive rebound by R. Lopez
4:58.0,,,86-83,,J. Calderon misses 3-pt shot from 24 ft
4:57.0,Defensive rebound by Team,,86-83,,
4:42.0,J. Clarkson misses 2-pt shot from 14 ft,,86-83,,
4:42.0,,,86-83,,Defensive rebound by K. Porzingis
4:36.0,Personal foul by D. Russell (drawn by J. Calderon),,86-83,,
4:26.0,,,86-85,2,C. Anthony makes 2-pt shot from 14 ft (assist by R. Lopez)
4:07.0,J. Clarkson misses 2-pt shot from 1 ft,,86-85,,
4:06.0,Offensive rebound by R. Hibbert,,86-85,,
4:06.0,Shooting foul by K. Porzingis (drawn by R. Hibbert),,86-85,,
4:06.0,R. Hibbert makes free throw 1 of 2,1,87-85,,
4:06.0,R. Hibbert misses free throw 2 of 2,,87-85,,
