time,Charlotte,pts.away,score,pts.home,Indiana
7:11.0,,,14-10,,Offensive rebound by I. Mahinmi
7:08.0,,,14-13,3,P. George makes 3-pt shot from 26 ft (assist by I. Mahinmi)
6:44.0,M. Williams misses 3-pt shot from 26 ft,,14-13,,
6:43.0,,,14-13,,Defensive rebound by I. Mahinmi
6:36.0,,,14-13,,M. Turner misses 2-pt shot from 11 ft
6:35.0,Defensive rebound by C. Zeller,,14-13,,
6:20.0,C. Zeller misses 2-pt shot from 19 ft,,14-13,,
6:19.0,,,14-13,,Defensive rebound by P. George
6:12.0,,,14-13,,I. Mahinmi misses 2-pt shot from 8 ft
6:11.0,Defensive rebound by K. Walker,,14-13,,
6:02.0,K. Walker makes 2-pt shot from 2 ft,2,16-13,,
6:02.0,,,16-13,,Indiana full timeout
6:02.0,F. Kaminsky enters the game for M. Williams,,16-13,,
5:41.0,,,16-13,,M. Turner misses 2-pt shot from 13 ft (block by K. Walker)
5:40.0,Defensive rebound by M. Kidd-Gilchrist,,16-13,,
5:39.0,Turnover by M. Kidd-Gilchrist (lost ball),,16-13,,
5:22.0,,,16-15,2,G. Hill makes 2-pt shot from 18 ft
5:04.0,N. Batum misses 2-pt shot from 19 ft,,16-15,,
5:03.0,,,16-15,,Defensive rebound by G. Hill
5:00.0,,,16-15,,Shooting foul by F. Kaminsky (drawn by P. George)
5:00.0,,,16-16,1,P. George makes free throw 1 of 2
5:00.0,,,16-17,1,P. George makes free throw 2 of 2
4:45.0,N. Batum misses 3-pt shot from 25 ft,,16-17,,
4:44.0,,,16-17,,Defensive rebound by I. Mahinmi
4:36.0,,,16-17,,I. Mahinmi misses 2-pt shot at rim
4:35.0,Defensive rebound by C. Zeller,,16-17,,
4:25.0,C. Zeller misses 2-pt shot at rim (block by P. George),,16-17,,
4:23.0,,,16-17,,Defensive rebound by I. Mahinmi
4:15.0,,,16-17,,M. Ellis misses 2-pt shot from 18 ft
4:14.0,Defensive rebound by N. Batum,,16-17,,
4:09.0,Shooting foul by P. George (drawn by M. Kidd-Gilchrist),,16-17,,
4:09.0,M. Kidd-Gilchrist makes 2-pt shot from 6 ft,2,18-17,,
4:09.0,J. Lin enters the game for N. Batum,,18-17,,
4:09.0,,,18-17,,J. Hill enters the game for I. Mahinmi
4:09.0,M. Kidd-Gilchrist makes free throw 1 of 1,1,19-17,,
3:55.0,,,19-17,,P. George misses 2-pt shot from 19 ft
3:55.0,Defensive rebound by F. Kaminsky,,19-17,,
3:41.0,M. Kidd-Gilchrist makes 2-pt shot at rim,2,21-17,,
3:26.0,,,21-17,,M. Turner misses 2-pt shot from 17 ft
3:25.0,Defensive rebound by C. Zeller,,21-17,,
3:18.0,C. Zeller misses 2-pt shot at rim,,21-17,,
3:17.0,,,21-17,,Defensive rebound by J. Hill
3:09.0,Violation by M. Kidd-Gilchrist (kicked ball),,21-17,,
3:09.0,,,21-17,,L. Allen enters the game for M. Turner
3:09.0,S. Hawes enters the game for C. Zeller,,21-17,,
2:57.0,,,21-19,2,P. George makes 2-pt shot from 16 ft
2:40.0,Turnover by F. Kaminsky (traveling),,21-19,,
2:40.0,Charlotte full timeout,,21-19,,
2:40.0,,,21-19,,J. Young enters the game for M. Ellis
2:17.0,,,21-19,,J. Hill misses 2-pt shot at rim
2:16.0,Defensive rebound by F. Kaminsky,,21-19,,
2:07.0,F. Kaminsky misses 3-pt shot from 27 ft,,21-19,,
2:06.0,Offensive rebound by M. Kidd-Gilchrist,,21-19,,
1:55.0,F. Kaminsky misses 2-pt shot from 2 ft,,21-19,,
1:53.0,,,21-19,,Defensive rebound by L. Allen
1:38.0,,,21-21,2,J. Hill makes 2-pt shot at rim (assist by P. George)
1:38.0,,,21-21,,Shooting foul by S. Hawes (drawn by J. Hill)
1:38.0,,,21-22,1,J. Hill makes free throw 1 of 1
1:16.0,K. Walker makes 2-pt shot from 1 ft,2,23-22,,
1:04.0,,,23-25,3,P. George makes 3-pt shot from 25 ft (assist by J. Young)
0:46.0,F. Kaminsky misses 3-pt shot from 26 ft,,23-25,,
0:45.0,,,23-25,,Defensive rebound by P. George
0:30.0,,,23-25,,G. Hill misses 3-pt shot from 24 ft
0:29.0,Defensive rebound by S. Hawes,,23-25,,
0:09.0,K. Walker makes 2-pt shot from 12 ft,2,25-25,,
0:01.0,,,25-25,,J. Young misses 2-pt shot from 17 ft
0:01.0,Defensive rebound by F. Kaminsky,,25-25,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,J. Lin misses 2-pt shot from 1 ft (block by C. Miles),,25-25,,
11:43.0,,,25-25,,Defensive rebound by J. Hill
11:38.0,,,25-25,,C. Miles misses 2-pt shot from 1 ft
11:37.0,Defensive rebound by F. Kaminsky,,25-25,,
11:22.0,J. Lin makes 3-pt shot from 24 ft (assist by F. Kaminsky),3,28-25,,
10:57.0,,,28-27,2,J. Hill makes 2-pt shot from 7 ft (assist by J. Young)
10:37.0,S. Hawes misses 3-pt shot from 24 ft,,28-27,,
10:36.0,,,28-27,,Defensive rebound by J. Hill
10:31.0,,,28-27,,G. Robinson misses 2-pt shot from 16 ft
10:30.0,Defensive rebound by J. Lamb,,28-27,,
10:16.0,J. Lin makes 2-pt shot from 16 ft,2,30-27,,
10:01.0,,,30-27,,J. Young misses 3-pt shot from 26 ft
10:00.0,Defensive rebound by Team,,30-27,,
9:49.0,F. Kaminsky makes 3-pt shot from 24 ft (assist by N. Batum),3,33-27,,
9:34.0,,,33-29,2,C. Miles makes 2-pt shot from 18 ft
9:10.0,Shooting foul by L. Allen (drawn by S. Hawes),,33-29,,
9:10.0,S. Hawes makes free throw 1 of 2,1,34-29,,
9:10.0,S. Hawes makes free throw 2 of 2,1,35-29,,
8:55.0,,,35-29,,Turnover by J. Young (lost ball; steal by J. Lin)
8:50.0,J. Lin makes 2-pt shot at rim (assist by N. Batum),2,37-29,,
8:30.0,Official timeout,,37-29,,
8:30.0,,,37-29,,M. Ellis enters the game for J. Young
8:21.0,,,37-29,,C. Miles misses 3-pt shot from 25 ft
8:18.0,Defensive rebound by N. Batum,,37-29,,
8:12.0,J. Lamb makes 3-pt shot from 26 ft (assist by J. Lin),3,40-29,,
7:56.0,,,40-29,,Turnover by C. Miles (bad pass; steal by J. Lin)
7:50.0,F. Kaminsky makes 2-pt shot at rim (assist by J. Lin),2,42-29,,
7:50.0,,,42-29,,Indiana full timeout
7:50.0,,,42-29,,I. Mahinmi enters the game for J. Hill
7:43.0,,,42-31,2,G. Robinson makes 2-pt shot at rim (assist by M. Ellis)
7:23.0,Turnover by J. Lin (bad pass),,42-31,,
7:13.0,,,42-33,2,M. Ellis makes 2-pt shot from 18 ft
6:58.0,N. Batum misses 2-pt shot from 20 ft,,42-33,,
6:57.0,,,42-33,,Defensive rebound by C. Miles
6:46.0,,,42-33,,G. Robinson misses 2-pt shot from 1 ft (block by S. Hawes)
6:44.0,,,42-33,,Offensive rebound by I. Mahinmi
6:41.0,,,42-33,,Turnover by G. Robinson (step out of bounds)
6:30.0,Turnover by S. Hawes (lost ball; steal by M. Ellis),,42-33,,
6:16.0,,,42-33,,Shooting foul by J. Lin (drawn by C. Miles)
6:16.0,,,42-33,,C. Miles misses free throw 1 of 2
6:16.0,,,42-33,,Offensive rebound by Team
6:16.0,,,42-34,1,C. Miles makes free throw 2 of 2
5:57.0,J. Lamb makes 2-pt shot from 10 ft,2,44-34,,
5:44.0,,,44-36,2,C. Miles makes 2-pt shot from 8 ft (assist by M. Ellis)
5:30.0,J. Lin misses 2-pt shot from 20 ft,,44-36,,
5:29.0,,,44-36,,Defensive rebound by G. Robinson
5:24.0,,,44-36,,Turnover by I. Mahinmi (bad pass)
5:24.0,,,44-36,,M. Turner enters the game for L. Allen
5:24.0,C. Zeller enters the game for J. Lin,,44-36,,
5:24.0,K. Walker enters the game for S. Hawes,,44-36,,
5:11.0,J. Lamb makes 3-pt shot from 25 ft (assist by F. Kaminsky),3,47-36,,
5:02.0,,,47-38,2,M. Ellis makes 2-pt shot from 18 ft
4:38.0,Turnover by F. Kaminsky (lost ball; steal by C. Miles),,47-38,,
4:28.0,,,47-38,,C. Miles misses 2-pt shot from 12 ft
4:27.0,Defensive rebound by C. Zeller,,47-38,,
4:15.0,F. Kaminsky makes 3-pt shot from 26 ft (assist by N. Batum),3,50-38,,
3:57.0,,,50-38,,M. Turner misses 2-pt shot from 19 ft
3:56.0,Defensive rebound by C. Zeller,,50-38,,
3:46.0,K. Walker misses 3-pt shot from 27 ft,,50-38,,
3:44.0,Offensive rebound by C. Zeller,,50-38,,
3:38.0,F. Kaminsky misses 2-pt shot at rim,,50-38,,
3:37.0,Offensive rebound by F. Kaminsky,,50-38,,
3:34.0,C. Zeller makes 2-pt shot at rim (assist by N. Batum),2,52-38,,
3:34.0,Shooting foul by M. Turner (drawn by C. Zeller),,52-38,,
3:34.0,,,52-38,,P. George enters the game for G. Robinson
3:34.0,,,52-38,,G. Hill enters the game for C. Miles
3:34.0,M. Kidd-Gilchrist enters the game for J. Lamb,,52-38,,
3:34.0,C. Zeller makes free throw 1 of 1,1,53-38,,
3:20.0,,,53-38,,I. Mahinmi misses 2-pt shot from 6 ft (block by F. Kaminsky)
3:18.0,,,53-38,,Offensive rebound by M. Turner
3:17.0,,,53-38,,M. Turner misses 2-pt shot from 6 ft
3:16.0,Defensive rebound by C. Zeller,,53-38,,
3:12.0,K. Walker makes 2-pt shot from 1 ft,2,55-38,,
3:12.0,,,55-38,,Indiana full timeout
2:54.0,,,55-40,2,I. Mahinmi makes 2-pt shot from 8 ft
2:36.0,Turnover by K. Walker (bad pass; steal by I. Mahinmi),,55-40,,
2:32.0,,,55-42,2,G. Hill makes 2-pt shot at rim
2:05.0,K. Walker makes 2-pt shot from 5 ft,2,57-42,,
1:54.0,,,57-42,,Shooting foul by F. Kaminsky (drawn by G. Hill)
1:54.0,Charlotte full timeout,,57-42,,
1:54.0,,,57-42,,G. Hill misses free throw 1 of 2
1:54.0,,,57-42,,Offensive rebound by Team
1:54.0,,,57-43,1,G. Hill makes free throw 2 of 2
1:41.0,M. Kidd-Gilchrist makes 2-pt shot from 1 ft (assist by K. Walker),2,59-43,,
1:41.0,Shooting foul by G. Hill (drawn by M. Kidd-Gilchrist),,59-43,,
1:41.0,M. Kidd-Gilchrist makes free throw 1 of 1,1,60-43,,
1:20.0,,,60-43,,Offensive charge foul by P. George
1:20.0,,,60-43,,Turnover by P. George (offensive foul)
1:00.0,F. Kaminsky misses 3-pt shot from 24 ft,,60-43,,
1:00.0,,,60-43,,Defensive rebound by M. Ellis
0:50.0,,,60-43,,G. Hill misses 2-pt shot from 11 ft (block by N. Batum)
0:48.0,Defensive rebound by K. Walker,,60-43,,
0:39.0,F. Kaminsky misses 3-pt shot from 28 ft,,60-43,,
0:38.0,,,60-43,,Defensive rebound by M. Turner
0:21.0,,,60-43,,P. George misses 2-pt shot from 10 ft
0:21.0,Defensive rebound by K. Walker,,60-43,,
0:04.0,K. Walker misses 3-pt shot from 24 ft,,60-43,,
0:03.0,,,60-43,,Defensive rebound by P. George
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,M. Williams makes 2-pt shot from 6 ft,2,62-43,,
11:22.0,,,62-45,2,M. Turner makes 2-pt shot from 1 ft (assist by P. George)
11:09.0,Turnover by M. Kidd-Gilchrist (step out of bounds),,62-45,,
10:53.0,,,62-47,2,P. George makes 2-pt shot from 16 ft
10:26.0,M. Williams misses 2-pt shot from 17 ft,,62-47,,
10:26.0,Offensive rebound by Team,,62-47,,
10:26.0,Turnover by Team (shot clock),,62-47,,
10:14.0,,,62-47,,P. George misses 2-pt shot from 16 ft
10:13.0,Defensive rebound by C. Zeller,,62-47,,
10:04.0,N. Batum misses 3-pt shot from 24 ft,,62-47,,
10:03.0,,,62-47,,Defensive rebound by P. George
9:56.0,,,62-47,,P. George misses 3-pt shot from 25 ft
9:55.0,Defensive rebound by C. Zeller,,62-47,,
9:45.0,K. Walker misses 2-pt shot from 18 ft,,62-47,,
9:44.0,Offensive rebound by M. Kidd-Gilchrist,,62-47,,
9:41.0,,,62-47,,Personal foul by M. Ellis (drawn by M. Kidd-Gilchrist)
9:31.0,Turnover by K. Walker (lost ball; steal by G. Hill),,62-47,,
9:26.0,,,62-47,,Turnover by G. Hill (bad pass)
9:11.0,C. Zeller makes 2-pt shot from 3 ft (assist by N. Batum),2,64-47,,
8:55.0,,,64-47,,M. Turner misses 2-pt shot from 21 ft
8:54.0,Defensive rebound by N. Batum,,64-47,,
8:46.0,C. Zeller makes 2-pt shot at rim,2,66-47,,
8:39.0,Personal take foul by C. Zeller (drawn by G. Hill),,66-47,,
8:39.0,Charlotte full timeout,,66-47,,
8:39.0,,,66-47,,S. Hill enters the game for M. Turner
8:39.0,J. Lin enters the game for M. Kidd-Gilchrist,,66-47,,
8:30.0,,,66-49,2,P. George makes 2-pt shot from 23 ft (assist by I. Mahinmi)
8:13.0,K. Walker misses 2-pt shot from 10 ft,,66-49,,
8:12.0,Offensive rebound by C. Zeller,,66-49,,
8:08.0,J. Lin makes 3-pt shot from 25 ft (assist by C. Zeller),3,69-49,,
7:53.0,,,69-51,2,I. Mahinmi makes 2-pt shot from 1 ft
7:30.0,K. Walker misses 2-pt shot from 13 ft,,69-51,,
7:29.0,,,69-51,,Defensive rebound by Team
7:20.0,,,69-53,2,I. Mahinmi makes 2-pt shot from 4 ft
7:20.0,Charlotte full timeout,,69-53,,
7:09.0,N. Batum misses 2-pt shot from 18 ft,,69-53,,
7:09.0,,,69-53,,Defensive rebound by S. Hill
6:53.0,,,69-53,,P. George misses 2-pt shot from 1 ft (block by M. Williams)
6:52.0,,,69-53,,Offensive rebound by P. George
6:49.0,,,69-53,,G. Hill misses 3-pt shot from 24 ft
6:48.0,,,69-53,,Offensive rebound by P. George
6:45.0,,,69-56,3,G. Hill makes 3-pt shot from 23 ft (assist by P. George)
6:30.0,M. Williams makes 3-pt shot from 25 ft (assist by K. Walker),3,72-56,,
6:18.0,,,72-58,2,I. Mahinmi makes 2-pt shot at rim (assist by G. Hill)
5:58.0,M. Williams makes 3-pt shot from 23 ft (assist by C. Zeller),3,75-58,,
5:42.0,,,75-60,2,G. Hill makes 2-pt shot from 18 ft
5:23.0,N. Batum misses 2-pt shot from 16 ft,,75-60,,
5:20.0,Offensive rebound by K. Walker,,75-60,,
5:16.0,K. Walker misses 2-pt shot from 8 ft,,75-60,,
5:16.0,,,75-60,,Defensive rebound by G. Hill
5:10.0,,,75-60,,G. Hill misses 2-pt shot from 7 ft
5:09.0,Defensive rebound by J. Lin,,75-60,,
4:51.0,K. Walker misses 2-pt shot from 6 ft (block by G. Hill),,75-60,,
4:51.0,Offensive rebound by Team,,75-60,,
4:47.0,N. Batum misses 3-pt shot from 26 ft,,75-60,,
4:47.0,,,75-60,,Defensive rebound by I. Mahinmi
4:34.0,,,75-62,2,S. Hill makes 2-pt shot at rim (assist by P. George)
4:19.0,F. Kaminsky enters the game for M. Williams,,75-62,,
4:07.0,K. Walker misses 2-pt shot from 19 ft,,75-62,,
4:07.0,Offensive rebound by Team,,75-62,,
4:07.0,Turnover by Team (shot clock),,75-62,,
3:53.0,,,75-64,2,S. Hill makes 2-pt shot at rim (assist by I. Mahinmi)
3:36.0,F. Kaminsky misses 3-pt shot from 27 ft,,75-64,,
3:35.0,,,75-64,,Defensive rebound by P. George
3:28.0,,,75-64,,Turnover by P. George (lost ball; steal by J. Lin)
3:24.0,N. Batum makes 2-pt shot at rim (assist by C. Zeller),2,77-64,,
3:16.0,,,77-64,,Indiana full timeout
3:16.0,S. Hawes enters the game for C. Zeller,,77-64,,
3:16.0,,,77-64,,M. Turner enters the game for I. Mahinmi
3:07.0,,,77-64,,M. Turner misses 2-pt shot at rim
3:05.0,Defensive rebound by N. Batum,,77-64,,
2:53.0,F. Kaminsky makes 2-pt shot from 1 ft,2,79-64,,
2:31.0,,,79-64,,M. Ellis misses 3-pt shot from 26 ft
2:30.0,Defensive rebound by S. Hawes,,79-64,,
2:28.0,Turnover by S. Hawes (traveling),,79-64,,
2:15.0,,,79-64,,S. Hill misses 2-pt shot from 4 ft
2:14.0,Defensive rebound by F. Kaminsky,,79-64,,
2:06.0,N. Batum makes 3-pt shot from 23 ft (assist by J. Lin),3,82-64,,
1:50.0,,,82-66,2,P. George makes 2-pt shot from 14 ft
1:29.0,J. Lin makes 2-pt shot at rim,2,84-66,,
1:17.0,,,84-68,2,P. George makes 2-pt shot at rim
0:55.0,K. Walker makes 2-pt shot from 2 ft,2,86-68,,
0:45.0,,,86-70,2,G. Hill makes 2-pt shot from 9 ft
0:36.0,Shooting foul by M. Ellis (drawn by S. Hawes),,86-70,,
0:36.0,S. Hawes misses free throw 1 of 2,,86-70,,
0:36.0,Offensive rebound by Team,,86-70,,
0:36.0,,,86-70,,L. Allen enters the game for S. Hill
0:36.0,,,86-70,,C. Miles enters the game for G. Hill
0:36.0,S. Hawes makes free throw 2 of 2,1,87-70,,
0:23.0,,,87-70,,P. George misses 2-pt shot from 20 ft
0:23.0,Defensive rebound by K. Walker,,87-70,,
0:02.0,N. Batum misses 3-pt shot from 26 ft,,87-70,,
0:01.0,Offensive rebound by K. Walker,,87-70,,
0:00.0,Shooting foul by P. George (drawn by K. Walker),,87-70,,
0:00.0,K. Walker misses free throw 1 of 3,,87-70,,
0:00.0,Offensive rebound by Team,,87-70,,
0:00.0,K. Walker makes free throw 2 of 3,1,88-70,,
0:00.0,K. Walker makes free throw 3 of 3,1,89-70,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,,,89-70,,C. Miles misses 3-pt shot from 22 ft
11:47.0,Defensive rebound by Team,,89-70,,
11:47.0,,,89-70,,Loose ball foul by G. Robinson (drawn by J. Lin)
11:36.0,J. Lin misses 2-pt shot at rim,,89-70,,
11:35.0,,,89-70,,Defensive rebound by M. Turner
11:20.0,,,89-70,,C. Miles misses 2-pt shot from 14 ft
11:20.0,,,89-70,,Offensive rebound by L. Allen
11:19.0,,,89-70,,Shooting foul by F. Kaminsky (drawn by L. Allen)
11:19.0,,,89-71,1,L. Allen makes free throw 1 of 2
11:19.0,,,89-71,,L. Allen misses free throw 2 of 2
11:19.0,Defensive rebound by K. Walker,,89-71,,
10:58.0,J. Lamb misses 3-pt shot from 23 ft,,89-71,,
10:57.0,,,89-71,,Defensive rebound by L. Allen
10:49.0,,,89-73,2,L. Allen makes 2-pt shot at rim (assist by M. Ellis)
10:35.0,K. Walker misses 3-pt shot from 24 ft,,89-73,,
10:35.0,,,89-73,,Defensive rebound by L. Allen
10:24.0,,,89-75,2,L. Allen makes 2-pt shot at rim (assist by C. Miles)
10:24.0,Charlotte full timeout,,89-75,,
10:12.0,J. Lamb makes 2-pt shot from 5 ft (assist by S. Hawes),2,91-75,,
9:55.0,,,91-75,,C. Miles misses 3-pt shot from 23 ft
9:52.0,,,91-75,,Offensive rebound by Team
9:52.0,,,91-75,,I. Mahinmi enters the game for M. Turner
9:44.0,,,91-75,,G. Robinson misses 2-pt shot from 6 ft (block by J. Lin)
9:42.0,Defensive rebound by Team,,91-75,,
9:20.0,J. Lamb makes 2-pt shot from 17 ft,2,93-75,,
9:07.0,,,93-77,2,M. Ellis makes 2-pt shot from 18 ft
8:41.0,K. Walker makes 2-pt shot from 18 ft,2,95-77,,
8:28.0,,,95-77,,M. Ellis misses 2-pt shot from 20 ft
8:26.0,,,95-77,,Offensive rebound by L. Allen
8:24.0,,,95-79,2,L. Allen makes 2-pt shot from 3 ft
8:07.0,J. Lin misses 2-pt shot from 12 ft (block by G. Robinson),,95-79,,
8:06.0,Offensive rebound by J. Lin,,95-79,,
8:01.0,J. Lamb makes 2-pt shot from 13 ft,2,97-79,,
8:01.0,,,97-79,,Indiana full timeout
8:01.0,,,97-79,,C. Budinger enters the game for I. Mahinmi
8:01.0,,,97-79,,P. George enters the game for M. Ellis
8:01.0,,,97-79,,G. Hill enters the game for L. Allen
8:01.0,,,97-79,,S. Hill enters the game for G. Robinson
8:01.0,N. Batum enters the game for J. Lin,,97-79,,
7:53.0,,,97-79,,Turnover by P. George (bad pass)
7:41.0,J. Lamb makes 2-pt shot from 19 ft (assist by K. Walker),2,99-79,,
7:27.0,,,99-79,,G. Hill misses 3-pt shot from 26 ft
7:26.0,Defensive rebound by S. Hawes,,99-79,,
7:14.0,Turnover by K. Walker (lost ball; steal by C. Miles),,99-79,,
7:09.0,,,99-81,2,C. Miles makes 2-pt shot at rim (assist by G. Hill)
6:47.0,,,99-81,,Shooting block foul by C. Miles (drawn by K. Walker)
6:47.0,K. Walker misses free throw 1 of 2,,99-81,,
6:47.0,Offensive rebound by Team,,99-81,,
6:47.0,K. Walker makes free throw 2 of 2,1,100-81,,
6:32.0,,,100-81,,C. Miles misses 2-pt shot from 10 ft
6:30.0,,,100-81,,Offensive rebound by C. Miles
6:30.0,,,100-81,,C. Miles misses 2-pt shot at rim
6:29.0,Defensive rebound by F. Kaminsky,,100-81,,
6:17.0,S. Hawes misses 2-pt shot from 11 ft,,100-81,,
6:16.0,,,100-81,,Defensive rebound by P. George
6:12.0,Personal foul by J. Lamb (drawn by S. Hill),,100-81,,
6:12.0,,,100-81,,M. Ellis enters the game for C. Miles
6:02.0,M. Williams enters the game for F. Kaminsky,,100-81,,
6:02.0,J. Lin enters the game for J. Lamb,,100-81,,
6:00.0,,,100-81,,P. George misses 2-pt shot from 1 ft (block by J. Lin)
5:59.0,,,100-81,,Offensive rebound by Team
5:57.0,,,100-81,,Shooting foul by N. Batum (drawn by P. George)
5:57.0,,,100-82,1,P. George makes free throw 1 of 2
5:57.0,,,100-83,1,P. George makes free throw 2 of 2
5:38.0,M. Williams misses 2-pt shot from 9 ft,,100-83,,
5:37.0,Offensive rebound by S. Hawes,,100-83,,
5:36.0,S. Hawes misses 2-pt shot from 7 ft,,100-83,,
5:35.0,,,100-83,,Defensive rebound by Team
5:30.0,,,100-83,,Turnover by G. Hill (lost ball; steal by K. Walker)
5:26.0,K. Walker makes 2-pt shot at rim,2,102-83,,
5:15.0,,,102-83,,G. Hill misses 3-pt shot from 26 ft
5:14.0,Defensive rebound by J. Lin,,102-83,,
4:54.0,Turnover by J. Lin (lost ball; steal by S. Hill),,102-83,,
4:49.0,,,102-83,,P. George misses 3-pt shot from 27 ft
4:46.0,,,102-83,,Offensive rebound by C. Budinger
4:43.0,,,102-83,,C. Budinger misses 2-pt shot from 5 ft
4:42.0,Defensive rebound by Team,,102-83,,
4:27.0,Charlotte full timeout,,102-83,,
4:17.0,K. Walker misses 2-pt shot from 18 ft,,102-83,,
4:16.0,Offensive rebound by N. Batum,,102-83,,
3:56.0,K. Walker misses 2-pt shot from 11 ft,,102-83,,
3:56.0,,,102-83,,Defensive rebound by Team
3:56.0,Loose ball foul by S. Hawes (drawn by C. Budinger),,102-83,,
3:46.0,,,102-85,2,P. George makes 2-pt shot at rim (assist by M. Ellis)
3:28.0,Shooting foul by C. Budinger (drawn by J. Lin),,102-85,,
3:28.0,J. Lin makes free throw 1 of 2,1,103-85,,
3:28.0,J. Lin makes free throw 2 of 2,1,104-85,,
3:09.0,,,104-87,2,M. Ellis makes 2-pt shot from 19 ft
2:58.0,Charlotte full timeout,,104-87,,
2:48.0,K. Walker makes 2-pt shot at rim (assist by S. Hawes),2,106-87,,
2:47.0,,,106-87,,Indiana full timeout
2:47.0,,,106-87,,J. Young enters the game for P. George
2:47.0,,,106-87,,L. Allen enters the game for M. Ellis
2:47.0,,,106-87,,G. Robinson enters the game for G. Hill
2:31.0,,,106-87,,S. Hill misses 2-pt shot from 15 ft
2:30.0,Defensive rebound by J. Lin,,106-87,,
2:11.0,Turnover by N. Batum (bad pass; steal by C. Budinger),,106-87,,
2:07.0,,,106-87,,G. Robinson misses 2-pt shot from 1 ft (block by N. Batum)
2:05.0,Defensive rebound by J. Lin,,106-87,,
1:52.0,S. Hawes makes 3-pt shot from 25 ft (assist by J. Lin),3,109-87,,
1:37.0,,,109-87,,G. Robinson misses 3-pt shot from 25 ft
1:37.0,Defensive rebound by Team,,109-87,,
1:37.0,T. Daniels enters the game for M. Williams,,109-87,,
1:37.0,P. Hairston enters the game for N. Batum,,109-87,,
1:37.0,B. Roberts enters the game for K. Walker,,109-87,,
1:37.0,F. Kaminsky enters the game for J. Lin,,109-87,,
1:37.0,T. Hansbrough enters the game for S. Hawes,,109-87,,
1:26.0,T. Hansbrough makes 2-pt shot at rim (assist by T. Daniels),2,111-87,,
1:17.0,,,111-89,2,C. Budinger makes 2-pt shot from 1 ft
1:05.0,T. Daniels makes 2-pt shot from 19 ft (assist by B. Roberts),2,113-89,,
1:00.0,,,113-89,,Shooting foul by B. Roberts (drawn by J. Young)
1:00.0,,,113-90,1,J. Young makes free throw 1 of 2
1:00.0,,,113-90,,J. Young misses free throw 2 of 2
1:00.0,Defensive rebound by F. Kaminsky,,113-90,,
