time,Cleveland,pts.away,score,pts.home,Minnesota
1:53.0,K. Love misses free throw 2 of 2,,29-24,,
1:53.0,,,29-24,,Defensive rebound by N. Pekovic
1:37.0,,,29-26,2,S. Muhammad makes 2-pt shot from 22 ft (assist by N. Pekovic)
1:28.0,M. Dellavedova makes 2-pt shot from 1 ft (assist by L. James),2,31-26,,
1:07.0,Personal foul by I. Shumpert (drawn by A. Wiggins),,31-26,,
1:07.0,,,31-26,,A. Wiggins misses free throw 1 of 2
1:07.0,,,31-26,,Offensive rebound by Team
1:07.0,T. Thompson enters the game for K. Love,,31-26,,
1:07.0,,,31-27,1,A. Wiggins makes free throw 2 of 2
0:47.0,I. Shumpert makes 2-pt shot from 18 ft,2,33-27,,
0:36.0,,,33-27,,Z. LaVine misses 2-pt shot from 21 ft
0:34.0,Defensive rebound by T. Mozgov,,33-27,,
0:25.0,I. Shumpert makes 2-pt shot from 20 ft,2,35-27,,
0:04.0,,,35-27,,S. Muhammad misses 2-pt shot from 1 ft (block by L. James)
0:03.0,Defensive rebound by L. James,,35-27,,
0:00.0,L. James misses 3-pt shot from 32 ft,,35-27,,
0:00.0,Offensive rebound by Team,,35-27,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,K. Irving misses 3-pt shot from 24 ft,,35-27,,
11:44.0,,,35-27,,Defensive rebound by N. Pekovic
11:25.0,,,35-27,,Z. LaVine misses 2-pt shot from 19 ft
11:24.0,Defensive rebound by T. Mozgov,,35-27,,
11:08.0,I. Shumpert misses 2-pt shot from 6 ft,,35-27,,
11:07.0,Offensive rebound by T. Mozgov,,35-27,,
11:00.0,I. Shumpert misses 2-pt shot from 13 ft,,35-27,,
10:59.0,,,35-27,,Defensive rebound by G. Dieng
10:54.0,,,35-27,,Turnover by S. Muhammad (lost ball; steal by I. Shumpert)
10:50.0,Shooting foul by G. Dieng (drawn by I. Shumpert),,35-27,,
10:50.0,I. Shumpert makes free throw 1 of 2,1,36-27,,
10:50.0,I. Shumpert makes free throw 2 of 2,1,37-27,,
10:37.0,,,37-27,,Shooting foul by R. Jefferson (drawn by S. Muhammad)
10:37.0,,,37-28,1,S. Muhammad makes free throw 1 of 2
10:37.0,,,37-29,1,S. Muhammad makes free throw 2 of 2
10:25.0,K. Irving misses 2-pt shot from 6 ft,,37-29,,
10:24.0,,,37-29,,Defensive rebound by Team
10:14.0,,,37-29,,K. Martin misses 2-pt shot from 15 ft
10:13.0,Defensive rebound by I. Shumpert,,37-29,,
10:07.0,,,37-29,,Personal foul by K. Martin (drawn by I. Shumpert)
10:02.0,K. Irving misses 2-pt shot from 20 ft,,37-29,,
10:01.0,,,37-29,,Defensive rebound by Z. LaVine
9:53.0,,,37-29,,K. Towns enters the game for N. Pekovic
9:48.0,,,37-31,2,K. Towns makes 2-pt shot from 2 ft (assist by K. Martin)
9:34.0,,,37-31,,Personal foul by K. Martin (drawn by I. Shumpert)
9:25.0,I. Shumpert misses 3-pt shot from 23 ft,,37-31,,
9:24.0,,,37-31,,Defensive rebound by G. Dieng
9:15.0,,,37-31,,K. Martin misses 2-pt shot from 5 ft
9:14.0,Defensive rebound by T. Thompson,,37-31,,
9:05.0,K. Irving misses 2-pt shot at rim,,37-31,,
9:04.0,Offensive rebound by T. Thompson,,37-31,,
8:59.0,Shooting foul by K. Towns (drawn by R. Jefferson),,37-31,,
8:59.0,Cleveland full timeout,,37-31,,
8:59.0,R. Jefferson makes free throw 1 of 2,1,38-31,,
8:59.0,R. Jefferson makes free throw 2 of 2,1,39-31,,
8:42.0,,,39-33,2,S. Muhammad makes 2-pt shot at rim (assist by G. Dieng)
8:19.0,T. Mozgov makes 2-pt shot from 16 ft (assist by R. Jefferson),2,41-33,,
8:04.0,,,41-33,,Shooting foul by R. Jefferson (drawn by S. Muhammad)
8:04.0,,,41-33,,S. Muhammad misses free throw 1 of 2
8:04.0,,,41-33,,Offensive rebound by Team
8:04.0,K. Love enters the game for T. Thompson,,41-33,,
8:04.0,,,41-34,1,S. Muhammad makes free throw 2 of 2
7:50.0,K. Love makes 2-pt shot from 20 ft,2,43-34,,
7:37.0,,,43-34,,Shooting foul by R. Jefferson (drawn by S. Muhammad)
7:37.0,,,43-34,,S. Muhammad misses free throw 1 of 2
7:37.0,,,43-34,,Offensive rebound by Team
7:37.0,L. James enters the game for R. Jefferson,,43-34,,
7:37.0,,,43-35,1,S. Muhammad makes free throw 2 of 2
7:26.0,K. Love misses 3-pt shot from 24 ft,,43-35,,
7:25.0,,,43-35,,Defensive rebound by Z. LaVine
7:16.0,,,43-35,,S. Muhammad misses 2-pt shot from 22 ft
7:15.0,Defensive rebound by T. Mozgov,,43-35,,
6:58.0,I. Shumpert misses 2-pt shot at rim,,43-35,,
6:57.0,,,43-35,,Defensive rebound by K. Martin
6:50.0,,,43-35,,K. Martin misses 2-pt shot from 16 ft
6:49.0,Defensive rebound by T. Mozgov,,43-35,,
6:47.0,Turnover by T. Mozgov (bad pass; steal by K. Martin),,43-35,,
6:45.0,,,43-35,,Shooting foul by T. Mozgov (drawn by K. Martin)
6:45.0,,,43-36,1,K. Martin makes free throw 1 of 2
6:45.0,,,43-37,1,K. Martin makes free throw 2 of 2
6:23.0,L. James misses 2-pt shot from 15 ft,,43-37,,
6:21.0,,,43-37,,Defensive rebound by G. Dieng
6:11.0,,,43-37,,Z. LaVine misses 2-pt shot from 12 ft
6:09.0,,,43-37,,Offensive rebound by S. Muhammad
6:09.0,,,43-37,,S. Muhammad misses 2-pt shot at rim
6:08.0,Defensive rebound by L. James,,43-37,,
6:06.0,I. Shumpert makes 2-pt shot at rim (assist by L. James),2,45-37,,
5:58.0,,,45-37,,Minnesota full timeout
5:58.0,M. Dellavedova enters the game for K. Irving,,45-37,,
5:58.0,J. Smith enters the game for I. Shumpert,,45-37,,
5:58.0,,,45-37,,A. Wiggins enters the game for K. Martin
5:58.0,,,45-37,,T. Prince enters the game for S. Muhammad
5:58.0,,,45-37,,R. Rubio enters the game for Z. LaVine
5:51.0,,,45-37,,Turnover by K. Towns (lost ball; steal by J. Smith)
5:46.0,J. Smith makes 2-pt shot from 1 ft (assist by K. Love),2,47-37,,
5:31.0,,,47-39,2,A. Wiggins makes 2-pt shot from 18 ft
5:13.0,Shooting foul by G. Dieng (drawn by K. Love),,47-39,,
5:13.0,K. Love makes free throw 1 of 2,1,48-39,,
5:13.0,,,48-39,,N. Bjelica enters the game for G. Dieng
5:13.0,K. Love makes free throw 2 of 2,1,49-39,,
4:53.0,,,49-39,,T. Prince misses 2-pt shot from 19 ft
4:52.0,Defensive rebound by K. Love,,49-39,,
4:39.0,J. Smith makes 3-pt shot from 24 ft (assist by L. James),3,52-39,,
4:21.0,,,52-39,,Shooting foul by J. Smith (drawn by A. Wiggins)
4:21.0,,,52-40,1,A. Wiggins makes free throw 1 of 2
4:21.0,,,52-41,1,A. Wiggins makes free throw 2 of 2
4:01.0,K. Love misses 2-pt shot from 8 ft,,52-41,,
4:00.0,,,52-41,,Defensive rebound by K. Towns
3:52.0,,,52-41,,R. Rubio misses 2-pt shot from 20 ft
3:51.0,Defensive rebound by L. James,,52-41,,
3:36.0,K. Love misses 2-pt shot from 3 ft,,52-41,,
3:35.0,,,52-41,,Defensive rebound by N. Bjelica
3:28.0,,,52-41,,Shooting foul by T. Mozgov (drawn by A. Wiggins)
3:28.0,,,52-42,1,A. Wiggins makes free throw 1 of 2
3:28.0,T. Thompson enters the game for T. Mozgov,,52-42,,
3:28.0,,,52-42,,A. Wiggins misses free throw 2 of 2
3:27.0,Defensive rebound by K. Love,,52-42,,
3:11.0,J. Smith misses 3-pt shot from 24 ft,,52-42,,
3:10.0,,,52-42,,Defensive rebound by K. Towns
2:52.0,,,52-44,2,A. Wiggins makes 2-pt shot from 13 ft
2:34.0,J. Smith makes 3-pt shot from 25 ft (assist by K. Love),3,55-44,,
2:17.0,,,55-44,,R. Rubio misses 2-pt shot from 20 ft
2:15.0,Defensive rebound by K. Love,,55-44,,
2:01.0,J. Smith makes 3-pt shot from 26 ft (assist by K. Love),3,58-44,,
1:52.0,,,58-44,,Minnesota full timeout
1:52.0,Cleveland full timeout,,58-44,,
1:52.0,,,58-44,,N. Pekovic enters the game for K. Towns
1:43.0,,,58-44,,N. Pekovic misses 2-pt shot from 8 ft
1:42.0,Defensive rebound by K. Love,,58-44,,
1:33.0,,,58-44,,Personal foul by N. Bjelica (drawn by K. Love)
1:33.0,K. Love makes free throw 1 of 2,1,59-44,,
1:33.0,I. Shumpert enters the game for J. Smith,,59-44,,
1:33.0,K. Love makes free throw 2 of 2,1,60-44,,
1:18.0,,,60-44,,N. Pekovic misses 2-pt shot from 7 ft
1:17.0,Defensive rebound by L. James,,60-44,,
0:56.0,L. James misses 2-pt shot from 1 ft (block by N. Bjelica),,60-44,,
0:54.0,Offensive rebound by T. Thompson,,60-44,,
0:53.0,T. Thompson misses 2-pt shot from 2 ft,,60-44,,
0:51.0,Offensive rebound by K. Love,,60-44,,
0:27.0,I. Shumpert misses 2-pt shot from 8 ft,,60-44,,
0:26.0,,,60-44,,Defensive rebound by R. Rubio
0:16.0,,,60-46,2,A. Wiggins makes 2-pt shot at rim
0:03.0,L. James makes 2-pt shot from 1 ft,2,62-46,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:49.0,J. Smith makes 2-pt shot at rim (assist by L. James),2,64-46,,
11:37.0,,,64-46,,A. Wiggins misses 2-pt shot from 1 ft
11:36.0,Defensive rebound by K. Love,,64-46,,
11:29.0,Jump ball: K. Love vs. R. Rubio (K. Irving gains possession),,,,Jump ball: K. Love vs. R. Rubio (K. Irving gains possession)
11:17.0,Turnover by K. Irving (bad pass; steal by K. Garnett),,64-46,,
11:09.0,,,64-46,,A. Wiggins misses 3-pt shot from 24 ft
11:08.0,Defensive rebound by L. James,,64-46,,
10:45.0,L. James makes 2-pt shot from 2 ft,2,66-46,,
10:30.0,Personal foul by J. Smith (drawn by A. Wiggins),,66-46,,
10:16.0,,,66-46,,K. Garnett misses 2-pt shot from 12 ft
10:15.0,Defensive rebound by L. James,,66-46,,
10:02.0,K. Love misses 2-pt shot from 9 ft,,66-46,,
10:01.0,,,66-46,,Defensive rebound by R. Rubio
9:55.0,Personal foul by K. Irving (drawn by R. Rubio),,66-46,,
9:48.0,,,66-48,2,K. Towns makes 2-pt shot from 21 ft (assist by A. Wiggins)
9:29.0,J. Smith makes 2-pt shot from 5 ft (assist by L. James),2,68-48,,
9:16.0,,,68-50,2,K. Garnett makes 2-pt shot from 21 ft (assist by R. Rubio)
8:57.0,Shooting foul by R. Rubio (drawn by J. Smith),,68-50,,
8:57.0,J. Smith makes free throw 1 of 2,1,69-50,,
8:57.0,J. Smith makes free throw 2 of 2,1,70-50,,
8:44.0,,,70-52,2,K. Towns makes 2-pt shot from 21 ft (assist by K. Garnett)
8:26.0,,,70-52,,Personal foul by R. Rubio (drawn by J. Smith)
8:26.0,,,70-52,,G. Dieng enters the game for K. Garnett
8:21.0,L. James misses 2-pt shot from 21 ft,,70-52,,
8:19.0,,,70-52,,Defensive rebound by G. Dieng
8:05.0,,,70-54,2,K. Towns makes 2-pt shot at rim (assist by R. Rubio)
7:42.0,J. Smith misses 2-pt shot from 2 ft,,70-54,,
7:41.0,Offensive rebound by T. Thompson,,70-54,,
7:40.0,T. Thompson makes 2-pt shot at rim,2,72-54,,
7:26.0,,,72-54,,Shooting foul by J. Smith (drawn by A. Wiggins)
7:26.0,,,72-55,1,A. Wiggins makes free throw 1 of 2
7:26.0,I. Shumpert enters the game for J. Smith,,72-55,,
7:26.0,,,72-55,,A. Wiggins misses free throw 2 of 2
7:24.0,Defensive rebound by L. James,,72-55,,
7:12.0,L. James makes 2-pt shot from 1 ft,2,74-55,,
6:49.0,,,74-55,,T. Prince misses 3-pt shot from 23 ft
6:48.0,Defensive rebound by K. Love,,74-55,,
6:45.0,,,74-55,,Shooting block foul by T. Prince (drawn by K. Love)
6:45.0,,,74-55,,Minnesota full timeout
6:45.0,K. Love makes free throw 1 of 2,1,75-55,,
6:45.0,K. Love makes free throw 2 of 2,1,76-55,,
6:34.0,,,76-58,3,A. Wiggins makes 3-pt shot from 25 ft
6:20.0,T. Thompson makes 2-pt shot at rim (assist by L. James),2,78-58,,
6:05.0,,,78-58,,G. Dieng misses 2-pt shot from 15 ft
6:04.0,,,78-58,,Offensive rebound by Team
6:04.0,,,78-58,,S. Muhammad enters the game for T. Prince
5:56.0,,,78-58,,A. Wiggins misses 2-pt shot from 6 ft
5:55.0,Defensive rebound by T. Thompson,,78-58,,
5:51.0,Turnover by L. James (lost ball; steal by R. Rubio),,78-58,,
5:45.0,,,78-60,2,S. Muhammad makes 2-pt shot at rim (assist by R. Rubio)
5:38.0,Turnover by K. Irving (bad pass; steal by R. Rubio),,78-60,,
5:33.0,,,78-60,,S. Muhammad misses 2-pt shot from 2 ft (block by K. Love)
5:31.0,Defensive rebound by K. Love,,78-60,,
5:17.0,K. Irving makes 2-pt shot from 2 ft,2,80-60,,
4:59.0,,,80-60,,K. Towns misses 2-pt shot from 7 ft
4:58.0,Defensive rebound by T. Thompson,,80-60,,
4:44.0,Turnover by K. Irving (bad pass),,80-60,,
4:44.0,M. Dellavedova enters the game for K. Irving,,80-60,,
4:44.0,,,80-60,,N. Pekovic enters the game for K. Towns
4:31.0,,,80-63,3,S. Muhammad makes 3-pt shot from 24 ft (assist by G. Dieng)
4:12.0,Offensive foul by T. Thompson,,80-63,,
4:12.0,Turnover by T. Thompson (offensive foul),,80-63,,
3:55.0,,,80-66,3,S. Muhammad makes 3-pt shot from 23 ft (assist by N. Pekovic)
3:37.0,I. Shumpert misses 3-pt shot from 23 ft,,80-66,,
3:36.0,,,80-66,,Defensive rebound by G. Dieng
3:31.0,,,80-66,,Shooting foul by L. James (drawn by A. Wiggins)
3:31.0,,,80-66,,A. Wiggins misses free throw 1 of 2
3:31.0,,,80-66,,Offensive rebound by Team
3:31.0,,,80-67,1,A. Wiggins makes free throw 2 of 2
3:21.0,M. Dellavedova makes 3-pt shot from 25 ft,3,83-67,,
3:01.0,,,83-70,3,R. Rubio makes 3-pt shot from 24 ft (assist by S. Muhammad)
2:52.0,Cleveland full timeout,,83-70,,
2:52.0,R. Jefferson enters the game for L. James,,83-70,,
2:47.0,Shooting foul by G. Dieng (drawn by K. Love),,83-70,,
2:47.0,K. Love makes free throw 1 of 2,1,84-70,,
2:47.0,K. Love makes free throw 2 of 2,1,85-70,,
2:39.0,Personal foul by R. Jefferson (drawn by S. Muhammad),,85-70,,
2:39.0,,,85-71,1,S. Muhammad makes free throw 1 of 2
2:39.0,,,85-72,1,S. Muhammad makes free throw 2 of 2
2:20.0,,,85-72,,Personal foul by R. Rubio (drawn by T. Thompson)
2:20.0,T. Thompson makes free throw 1 of 2,1,86-72,,
2:20.0,,,86-72,,Z. LaVine enters the game for R. Rubio
2:20.0,T. Thompson makes free throw 2 of 2,1,87-72,,
1:59.0,,,87-74,2,G. Dieng makes 2-pt shot at rim (assist by S. Muhammad)
1:43.0,I. Shumpert misses 2-pt shot from 22 ft,,87-74,,
1:41.0,,,87-74,,Defensive rebound by Z. LaVine
1:33.0,,,87-74,,Offensive foul by N. Pekovic
1:33.0,,,87-74,,Turnover by N. Pekovic (offensive foul)
1:33.0,T. Mozgov enters the game for T. Thompson,,87-74,,
1:23.0,K. Love makes 3-pt shot from 24 ft (assist by T. Mozgov),3,90-74,,
1:03.0,,,90-76,2,A. Wiggins makes 2-pt shot from 20 ft (assist by N. Pekovic)
0:49.0,I. Shumpert makes 3-pt shot from 23 ft (assist by M. Dellavedova),3,93-76,,
0:27.0,,,93-76,,G. Dieng misses 2-pt shot from 19 ft
0:25.0,Defensive rebound by I. Shumpert,,93-76,,
0:05.0,T. Mozgov misses 2-pt shot from 4 ft (block by A. Wiggins),,93-76,,
0:04.0,Offensive rebound by Team,,93-76,,
0:03.0,M. Dellavedova makes 2-pt shot at rim (assist by R. Jefferson),2,95-76,,
0:00.0,,,95-76,,A. Wiggins misses 3-pt shot from 46 ft
0:00.0,,,95-76,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:40.0,,,95-78,2,K. Towns makes 2-pt shot from 15 ft (assist by Z. LaVine)
11:15.0,K. Irving misses 2-pt shot from 4 ft,,95-78,,
11:14.0,,,95-78,,Defensive rebound by G. Dieng
11:03.0,,,95-78,,S. Muhammad misses 2-pt shot from 9 ft
11:02.0,Defensive rebound by T. Mozgov,,95-78,,
10:54.0,K. Irving makes 2-pt shot from 18 ft (assist by I. Shumpert),2,97-78,,
10:37.0,,,97-78,,Turnover by G. Dieng (3 sec)
10:37.0,L. James enters the game for R. Jefferson,,97-78,,
10:16.0,L. James misses 3-pt shot from 24 ft,,97-78,,
10:14.0,Offensive rebound by T. Mozgov,,97-78,,
10:13.0,Turnover by T. Mozgov (bad pass; steal by G. Dieng),,97-78,,
10:09.0,,,97-80,2,K. Towns makes 2-pt shot at rim (assist by Z. LaVine)
9:44.0,I. Shumpert makes 2-pt shot from 1 ft,2,99-80,,
9:31.0,,,99-80,,Shooting foul by K. Irving (drawn by S. Muhammad)
9:31.0,,,99-81,1,S. Muhammad makes free throw 1 of 2
9:31.0,,,99-81,,A. Wiggins enters the game for G. Dieng
9:31.0,,,99-82,1,S. Muhammad makes free throw 2 of 2
9:06.0,I. Shumpert makes 3-pt shot from 24 ft (assist by K. Irving),3,102-82,,
8:39.0,,,102-82,,Turnover by Team (shot clock)
8:39.0,Cleveland full timeout,,102-82,,
8:26.0,Shooting foul by Z. LaVine (drawn by K. Irving),,102-82,,
8:26.0,K. Irving makes free throw 1 of 2,1,103-82,,
8:26.0,K. Irving makes free throw 2 of 2,1,104-82,,
8:17.0,,,104-82,,Turnover by A. Wiggins (lost ball; steal by I. Shumpert)
8:01.0,L. James makes 2-pt shot from 12 ft,2,106-82,,
7:46.0,,,106-82,,S. Muhammad misses 3-pt shot from 24 ft
7:44.0,Defensive rebound by T. Mozgov,,106-82,,
7:36.0,K. Irving makes 3-pt shot from 25 ft,3,109-82,,
7:36.0,,,109-82,,Minnesota full timeout
7:27.0,,,109-82,,Turnover by Z. LaVine (bad pass)
7:09.0,K. Irving misses 3-pt shot from 25 ft,,109-82,,
7:08.0,,,109-82,,Defensive rebound by Team
7:08.0,R. Jefferson enters the game for L. James,,109-82,,
6:54.0,,,109-84,2,Z. LaVine makes 2-pt shot from 19 ft (assist by K. Towns)
6:36.0,I. Shumpert makes 2-pt shot from 20 ft,2,111-84,,
6:15.0,,,111-84,,A. Wiggins misses 3-pt shot from 24 ft
6:14.0,,,111-84,,Offensive rebound by S. Muhammad
6:12.0,,,111-86,2,S. Muhammad makes 2-pt shot at rim
5:45.0,I. Shumpert misses 2-pt shot from 17 ft,,111-86,,
5:44.0,,,111-86,,Defensive rebound by K. Martin
5:35.0,,,111-88,2,K. Towns makes 2-pt shot from 7 ft (assist by K. Martin)
5:13.0,I. Shumpert makes 3-pt shot from 24 ft (assist by M. Dellavedova),3,114-88,,
4:50.0,,,114-88,,Z. LaVine misses 2-pt shot from 1 ft (block by T. Mozgov)
4:48.0,,,114-88,,Offensive rebound by K. Martin
4:42.0,,,114-88,,K. Martin misses 3-pt shot from 38 ft
4:41.0,Defensive rebound by Team,,114-88,,
4:41.0,,,114-88,,N. Bjelica enters the game for K. Martin
4:41.0,Cleveland full timeout,,114-88,,
4:41.0,J. Cunningham enters the game for K. Irving,,114-88,,
4:41.0,J. Jones enters the game for M. Dellavedova,,114-88,,
4:25.0,J. Cunningham misses 2-pt shot from 21 ft,,114-88,,
4:24.0,,,114-88,,Defensive rebound by N. Bjelica
4:22.0,,,114-88,,Turnover by N. Bjelica (lost ball; steal by I. Shumpert)
4:16.0,I. Shumpert misses 2-pt shot from 14 ft,,114-88,,
4:15.0,Offensive rebound by T. Mozgov,,114-88,,
4:15.0,T. Mozgov makes 2-pt shot at rim,2,116-88,,
3:59.0,,,116-88,,Turnover by Z. LaVine (bad pass; steal by I. Shumpert)
3:55.0,Turnover by R. Jefferson (lost ball),,116-88,,
3:41.0,,,116-90,2,K. Towns makes 2-pt shot from 20 ft
3:22.0,I. Shumpert misses 3-pt shot from 25 ft,,116-90,,
3:21.0,,,116-90,,Defensive rebound by Z. LaVine
3:17.0,,,116-90,,Z. LaVine misses 2-pt shot from 4 ft (block by T. Mozgov)
3:17.0,,,116-90,,Offensive rebound by Team
3:05.0,,,116-92,2,A. Wiggins makes 2-pt shot from 13 ft
2:53.0,Shooting foul by K. Towns (drawn by T. Mozgov),,116-92,,
2:53.0,T. Mozgov makes free throw 1 of 2,1,117-92,,
2:53.0,T. Mozgov misses free throw 2 of 2,,117-92,,
2:53.0,,,117-92,,Defensive rebound by K. Towns
2:36.0,,,117-92,,Shooting foul by T. Mozgov (drawn by A. Wiggins)
2:36.0,,,117-93,1,A. Wiggins makes free throw 1 of 2
2:36.0,,,117-94,1,A. Wiggins makes free throw 2 of 2
2:19.0,J. Cunningham makes 2-pt shot from 2 ft,2,119-94,,
1:59.0,,,119-94,,N. Bjelica misses 3-pt shot from 25 ft
1:58.0,,,119-94,,Offensive rebound by K. Towns
1:54.0,,,119-94,,Turnover by K. Towns (bad pass; steal by R. Jefferson)
1:51.0,Shooting foul by Z. LaVine (drawn by J. Cunningham),,119-94,,
