time,Oklahoma City,pts.away,score,pts.home,Golden State
8:08.0,Offensive rebound by S. Adams,,32-36,,
8:03.0,S. Adams makes 2-pt shot at rim,2,34-36,,
7:50.0,,,34-36,,H. Barnes misses 2-pt shot from 8 ft
7:50.0,Defensive rebound by S. Adams,,34-36,,
7:43.0,Offensive foul by K. Durant,,34-36,,
7:43.0,Turnover by K. Durant (offensive foul),,34-36,,
7:43.0,,,34-36,,A. Bogut enters the game for M. Speights
7:43.0,,,34-36,,K. Thompson enters the game for L. Barbosa
7:43.0,D. Waiters enters the game for A. Morrow,,34-36,,
7:35.0,,,34-38,2,A. Bogut makes 2-pt shot at rim (assist by S. Curry)
7:19.0,S. Adams makes 2-pt shot from 1 ft (assist by R. Westbrook),2,36-38,,
7:19.0,Shooting foul by H. Barnes (drawn by S. Adams),,36-38,,
7:19.0,,,36-38,,D. Green enters the game for A. Iguodala
7:19.0,A. Roberson enters the game for S. Ibaka,,36-38,,
7:19.0,S. Adams misses free throw 1 of 1,,36-38,,
7:18.0,,,36-38,,Defensive rebound by A. Bogut
6:56.0,,,36-40,2,K. Thompson makes 2-pt shot from 12 ft (assist by D. Green)
6:42.0,R. Westbrook makes 3-pt shot from 28 ft,3,39-40,,
6:22.0,,,39-42,2,S. Curry makes 2-pt shot from 7 ft
6:07.0,K. Durant misses 2-pt shot from 11 ft,,39-42,,
6:06.0,,,39-42,,Defensive rebound by D. Green
5:59.0,,,39-45,3,S. Curry makes 3-pt shot from 26 ft (assist by D. Green)
5:36.0,A. Roberson misses 2-pt shot from 4 ft (block by A. Bogut),,39-45,,
5:35.0,Offensive rebound by D. Waiters,,39-45,,
5:31.0,R. Westbrook misses 3-pt shot from 26 ft,,39-45,,
5:30.0,,,39-45,,Defensive rebound by A. Bogut
5:24.0,,,39-47,2,S. Curry makes 2-pt shot from 1 ft
5:23.0,Oklahoma City full timeout,,39-47,,
5:23.0,,,39-47,,A. Iguodala enters the game for H. Barnes
5:23.0,S. Ibaka enters the game for S. Adams,,39-47,,
5:10.0,K. Durant makes 2-pt shot from 19 ft (assist by R. Westbrook),2,41-47,,
4:55.0,,,41-47,,S. Curry misses 3-pt shot from 27 ft
4:55.0,Defensive rebound by S. Ibaka,,41-47,,
4:43.0,R. Westbrook makes 2-pt shot from 10 ft,2,43-47,,
4:17.0,,,43-49,2,A. Bogut makes 2-pt shot from 2 ft (assist by A. Iguodala)
4:05.0,K. Durant makes 2-pt shot from 19 ft (assist by R. Westbrook),2,45-49,,
3:55.0,,,45-49,,D. Green misses 3-pt shot from 26 ft
3:54.0,Defensive rebound by K. Durant,,45-49,,
3:46.0,S. Ibaka misses 2-pt shot from 16 ft,,45-49,,
3:46.0,,,45-49,,Defensive rebound by D. Green
3:32.0,,,45-51,2,K. Thompson makes 2-pt shot from 18 ft (assist by A. Iguodala)
3:18.0,Turnover by K. Durant (lost ball; steal by A. Iguodala),,45-51,,
3:11.0,,,45-53,2,D. Green makes 2-pt shot at rim (assist by A. Iguodala)
2:57.0,Turnover by R. Westbrook (lost ball; steal by A. Bogut),,45-53,,
2:55.0,Loose ball foul by R. Westbrook,,45-53,,
2:55.0,Official timeout,,45-53,,
2:45.0,,,45-53,,Turnover by S. Curry (lost ball; steal by R. Westbrook)
2:42.0,Shooting foul by K. Thompson (drawn by R. Westbrook),,45-53,,
2:42.0,R. Westbrook makes free throw 1 of 2,1,46-53,,
2:42.0,S. Adams enters the game for A. Roberson,,46-53,,
2:42.0,R. Westbrook makes free throw 2 of 2,1,47-53,,
2:21.0,,,47-53,,K. Thompson misses 2-pt shot from 21 ft
2:20.0,Defensive rebound by K. Durant,,47-53,,
2:02.0,K. Durant misses 2-pt shot from 18 ft,,47-53,,
2:02.0,,,47-53,,Defensive rebound by D. Green
1:50.0,,,47-53,,A. Bogut misses 2-pt shot at rim
1:49.0,Defensive rebound by D. Waiters,,47-53,,
1:33.0,Shooting foul by A. Bogut (drawn by R. Westbrook),,47-53,,
1:33.0,R. Westbrook makes free throw 1 of 2,1,48-53,,
1:33.0,,,48-53,,Golden State full timeout
1:33.0,A. Roberson enters the game for D. Waiters,,48-53,,
1:33.0,R. Westbrook misses free throw 2 of 2,,48-53,,
1:31.0,,,48-53,,Defensive rebound by D. Green
1:19.0,,,48-56,3,K. Thompson makes 3-pt shot from 23 ft (assist by S. Curry)
1:03.0,Turnover by R. Westbrook (lost ball; steal by K. Thompson),,48-56,,
0:50.0,,,48-56,,D. Green misses 2-pt shot from 3 ft
0:49.0,Defensive rebound by S. Adams,,48-56,,
0:36.0,R. Westbrook makes 2-pt shot from 10 ft,2,50-56,,
0:18.0,,,50-56,,S. Curry misses 2-pt shot from 2 ft
0:18.0,,,50-56,,Offensive rebound by A. Bogut
0:18.0,,,50-58,2,A. Bogut makes 2-pt shot from 1 ft
0:03.0,K. Durant misses 3-pt shot from 32 ft,,50-58,,
0:00.0,,,50-58,,Defensive rebound by K. Thompson
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,S. Ibaka makes 3-pt shot from 25 ft (assist by K. Durant),3,53-58,,
11:26.0,,,53-60,2,A. Bogut makes 2-pt shot from 1 ft (assist by K. Thompson)
11:10.0,Shooting foul by D. Green (drawn by K. Durant),,53-60,,
11:10.0,,,53-60,,Technical foul by D. Green
11:10.0,K. Durant makes technical free throw,1,54-60,,
11:10.0,K. Durant makes free throw 1 of 3,1,55-60,,
11:10.0,K. Durant makes free throw 2 of 3,1,56-60,,
11:10.0,K. Durant makes free throw 3 of 3,1,57-60,,
10:54.0,,,57-60,,Turnover by A. Bogut (lost ball)
10:41.0,K. Durant misses 3-pt shot from 26 ft,,57-60,,
10:41.0,,,57-60,,Defensive rebound by A. Bogut
10:33.0,,,57-60,,D. Green misses 2-pt shot from 4 ft
10:33.0,Defensive rebound by S. Adams,,57-60,,
10:24.0,S. Ibaka makes 2-pt shot from 16 ft (assist by R. Westbrook),2,59-60,,
10:24.0,,,59-60,,Golden State full timeout
10:02.0,,,59-63,3,S. Curry makes 3-pt shot from 23 ft (assist by K. Thompson)
9:43.0,S. Adams misses 2-pt shot from 3 ft (block by D. Green),,59-63,,
9:41.0,,,59-63,,Defensive rebound by A. Bogut
9:37.0,,,59-63,,Turnover by S. Curry (bad pass)
9:24.0,S. Adams misses 2-pt shot from 2 ft (block by D. Green),,59-63,,
9:22.0,,,59-63,,Defensive rebound by D. Green
9:18.0,,,59-63,,H. Barnes misses 2-pt shot from 2 ft
9:16.0,Defensive rebound by S. Ibaka,,59-63,,
8:56.0,K. Durant misses 2-pt shot from 7 ft,,59-63,,
8:55.0,Offensive rebound by R. Westbrook,,59-63,,
8:48.0,R. Westbrook makes 2-pt shot from 16 ft,2,61-63,,
8:32.0,,,61-63,,S. Curry misses 2-pt shot from 18 ft
8:32.0,Defensive rebound by R. Westbrook,,61-63,,
8:16.0,K. Durant misses 3-pt shot from 25 ft,,61-63,,
8:14.0,,,61-63,,Defensive rebound by K. Thompson
8:09.0,,,61-65,2,K. Thompson makes 2-pt shot from 1 ft (assist by S. Curry)
7:51.0,R. Westbrook misses 3-pt shot from 24 ft,,61-65,,
7:50.0,,,61-65,,Defensive rebound by D. Green
7:43.0,,,61-65,,Turnover by K. Thompson (lost ball; steal by R. Westbrook)
7:43.0,,,61-65,,Personal foul by K. Thompson
7:43.0,Oklahoma City full timeout,,61-65,,
7:31.0,S. Adams makes 2-pt shot from 12 ft (assist by S. Ibaka),2,63-65,,
7:07.0,,,63-65,,K. Thompson misses 2-pt shot from 13 ft
7:07.0,Defensive rebound by K. Durant,,63-65,,
7:03.0,Turnover by R. Westbrook (lost ball; steal by S. Curry),,63-65,,
6:57.0,,,63-65,,K. Thompson misses 3-pt shot from 26 ft
6:57.0,Defensive rebound by S. Ibaka,,63-65,,
6:41.0,K. Durant makes 2-pt shot from 16 ft,2,65-65,,
6:21.0,,,65-67,2,S. Curry makes 2-pt shot from 2 ft
6:06.0,R. Westbrook makes 3-pt shot from 25 ft (assist by S. Ibaka),3,68-67,,
5:52.0,,,68-67,,Shooting foul by S. Ibaka (drawn by K. Thompson)
5:52.0,,,68-68,1,K. Thompson makes free throw 1 of 2
5:52.0,,,68-68,,A. Iguodala enters the game for H. Barnes
5:52.0,D. Waiters enters the game for A. Roberson,,68-68,,
5:52.0,,,68-69,1,K. Thompson makes free throw 2 of 2
5:41.0,R. Westbrook misses 2-pt shot from 12 ft,,68-69,,
5:40.0,,,68-69,,Defensive rebound by A. Bogut
5:33.0,,,68-69,,S. Curry misses 2-pt shot from 2 ft
5:31.0,Defensive rebound by R. Westbrook,,68-69,,
5:27.0,Turnover by R. Westbrook (lost ball; steal by A. Bogut),,68-69,,
5:20.0,,,68-71,2,D. Green makes 2-pt shot at rim (assist by A. Bogut)
5:20.0,,,68-71,,Shooting foul by S. Ibaka (drawn by D. Green)
5:20.0,,,68-72,1,D. Green makes free throw 1 of 1
5:00.0,S. Ibaka misses 3-pt shot from 27 ft,,68-72,,
4:59.0,,,68-72,,Defensive rebound by A. Bogut
4:51.0,,,68-72,,K. Thompson misses 3-pt shot from 24 ft (block by K. Durant)
4:48.0,Defensive rebound by D. Waiters,,68-72,,
4:36.0,S. Adams makes 2-pt shot at rim (assist by D. Waiters),2,70-72,,
4:13.0,,,70-72,,K. Thompson misses 2-pt shot from 2 ft (block by S. Adams)
4:11.0,Defensive rebound by R. Westbrook,,70-72,,
3:59.0,Turnover by R. Westbrook (lost ball; steal by S. Curry),,70-72,,
3:50.0,,,70-72,,K. Thompson misses 3-pt shot from 26 ft
3:49.0,,,70-72,,Offensive rebound by D. Green
3:48.0,,,70-74,2,D. Green makes 2-pt shot from 1 ft
3:46.0,Oklahoma City full timeout,,70-74,,
3:46.0,,,70-74,,S. Livingston enters the game for A. Bogut
3:46.0,,,70-74,,F. Ezeli enters the game for K. Thompson
3:46.0,A. Roberson enters the game for S. Adams,,70-74,,
3:32.0,S. Ibaka misses 2-pt shot from 21 ft,,70-74,,
3:32.0,,,70-74,,Defensive rebound by F. Ezeli
3:14.0,,,70-74,,S. Curry misses 2-pt shot from 14 ft
3:13.0,Defensive rebound by K. Durant,,70-74,,
2:59.0,R. Westbrook makes 2-pt shot from 13 ft,2,72-74,,
2:42.0,,,72-74,,Turnover by S. Livingston (lost ball)
2:42.0,R. Foye enters the game for K. Durant,,72-74,,
2:30.0,R. Westbrook misses 2-pt shot from 11 ft,,72-74,,
2:29.0,,,72-74,,Defensive rebound by S. Curry
2:13.0,,,72-76,2,A. Iguodala makes 2-pt shot from 3 ft
1:50.0,Turnover by A. Roberson (lost ball; steal by D. Green),,72-76,,
1:48.0,Personal foul by A. Roberson,,72-76,,
1:48.0,S. Adams enters the game for S. Ibaka,,72-76,,
1:36.0,,,72-79,3,S. Curry makes 3-pt shot from 25 ft (assist by D. Green)
1:28.0,,,72-79,,Personal foul by D. Green
1:28.0,K. Durant enters the game for R. Westbrook,,72-79,,
1:17.0,K. Durant makes 3-pt shot from 25 ft (assist by A. Roberson),3,75-79,,
1:05.0,,,75-79,,Shooting foul by A. Roberson (drawn by F. Ezeli)
1:05.0,,,75-80,1,F. Ezeli makes free throw 1 of 2
1:05.0,,,75-81,1,F. Ezeli makes free throw 2 of 2
0:48.0,Turnover by R. Foye (lost ball; steal by S. Curry),,75-81,,
0:30.0,,,75-81,,S. Livingston misses 2-pt shot from 13 ft
0:29.0,,,75-81,,Offensive rebound by D. Green
0:11.0,,,75-81,,Turnover by S. Curry (lost ball; steal by A. Roberson)
0:07.0,K. Durant makes 2-pt shot from 1 ft (assist by A. Roberson),2,77-81,,
0:04.0,,,77-81,,Offensive foul by A. Iguodala
0:04.0,,,77-81,,Turnover by A. Iguodala (offensive foul)
0:04.0,A. Morrow enters the game for A. Roberson,,77-81,,
0:04.0,,,77-81,,L. Barbosa enters the game for S. Curry
0:04.0,,,77-81,,H. Barnes enters the game for F. Ezeli
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:37.0,,,77-83,2,S. Livingston makes 2-pt shot from 16 ft
11:14.0,Turnover by D. Waiters (lost ball; steal by H. Barnes),,77-83,,
11:04.0,,,77-86,3,A. Iguodala makes 3-pt shot from 25 ft (assist by H. Barnes)
11:02.0,Oklahoma City full timeout,,77-86,,
11:02.0,S. Ibaka enters the game for E. Kanter,,77-86,,
10:50.0,K. Durant misses 3-pt shot from 24 ft,,77-86,,
10:50.0,Offensive rebound by Team,,77-86,,
10:50.0,,,77-86,,Loose ball foul by S. Livingston
10:45.0,D. Waiters misses 2-pt shot from 5 ft,,77-86,,
10:45.0,,,77-86,,Defensive rebound by S. Livingston
10:33.0,,,77-89,3,H. Barnes makes 3-pt shot from 25 ft (assist by S. Livingston)
10:27.0,K. Durant misses 3-pt shot from 25 ft (block by A. Iguodala),,77-89,,
10:24.0,,,77-89,,Defensive rebound by Team
10:24.0,R. Westbrook enters the game for A. Morrow,,77-89,,
10:07.0,,,77-89,,H. Barnes misses 2-pt shot from 18 ft
10:05.0,Defensive rebound by K. Durant,,77-89,,
9:56.0,K. Durant makes 2-pt shot from 13 ft,2,79-89,,
9:38.0,,,79-91,2,S. Livingston makes 2-pt shot from 12 ft
9:26.0,Offensive foul by R. Westbrook,,79-91,,
9:26.0,Turnover by R. Westbrook (offensive foul),,79-91,,
9:14.0,,,79-91,,A. Iguodala misses 3-pt shot from 26 ft
9:13.0,Defensive rebound by R. Westbrook,,79-91,,
9:07.0,R. Westbrook makes 2-pt shot from 1 ft,2,81-91,,
9:01.0,,,81-91,,Golden State full timeout
9:01.0,,,81-91,,K. Thompson enters the game for L. Barbosa
8:49.0,,,81-91,,Shooting foul by D. Waiters (drawn by M. Speights)
8:49.0,,,81-92,1,M. Speights makes free throw 1 of 2
8:49.0,,,81-93,1,M. Speights makes free throw 2 of 2
8:38.0,K. Durant misses 2-pt shot from 17 ft,,81-93,,
8:38.0,,,81-93,,Defensive rebound by A. Iguodala
8:24.0,,,81-93,,M. Speights misses 2-pt shot from 16 ft
8:24.0,Defensive rebound by S. Adams,,81-93,,
8:06.0,R. Westbrook makes 2-pt shot from 10 ft,2,83-93,,
7:57.0,,,83-95,2,M. Speights makes 2-pt shot from 2 ft (assist by S. Livingston)
7:57.0,,,83-95,,Shooting foul by K. Durant (drawn by M. Speights)
7:57.0,,,83-95,,S. Curry enters the game for S. Livingston
7:57.0,A. Roberson enters the game for D. Waiters,,83-95,,
7:57.0,,,83-95,,D. Green enters the game for H. Barnes
7:57.0,,,83-96,1,M. Speights makes free throw 1 of 1
7:46.0,R. Westbrook misses 2-pt shot from 3 ft (block by D. Green),,83-96,,
7:46.0,Offensive rebound by Team,,83-96,,
7:46.0,,,83-96,,A. Bogut enters the game for M. Speights
7:45.0,,,83-96,,Personal foul by A. Iguodala
7:40.0,Shooting foul by D. Green (drawn by R. Westbrook),,83-96,,
7:40.0,R. Westbrook makes free throw 1 of 2,1,84-96,,
7:40.0,R. Westbrook makes free throw 2 of 2,1,85-96,,
7:21.0,,,85-96,,D. Green misses 2-pt shot from 4 ft
7:20.0,,,85-96,,Offensive rebound by A. Bogut
7:17.0,,,85-98,2,A. Bogut makes 2-pt shot from 5 ft
7:01.0,S. Ibaka makes 3-pt shot from 26 ft (assist by K. Durant),3,88-98,,
6:36.0,,,88-101,3,K. Thompson makes 3-pt shot from 23 ft (assist by A. Iguodala)
6:20.0,R. Westbrook makes 2-pt shot from 12 ft,2,90-101,,
6:02.0,,,90-101,,S. Curry misses 3-pt shot from 26 ft
6:00.0,Defensive rebound by A. Roberson,,90-101,,
5:47.0,R. Westbrook misses 2-pt shot from 22 ft,,90-101,,
5:46.0,,,90-101,,Defensive rebound by S. Curry
5:41.0,,,90-101,,Shooting foul by A. Roberson (drawn by S. Curry)
5:41.0,,,90-102,1,S. Curry makes free throw 1 of 2
5:41.0,,,90-103,1,S. Curry makes free throw 2 of 2
5:26.0,S. Ibaka makes 3-pt shot from 27 ft (assist by A. Roberson),3,93-103,,
5:01.0,,,93-103,,S. Curry misses 2-pt shot from 2 ft
5:00.0,,,93-103,,Offensive rebound by D. Green
5:00.0,,,93-103,,D. Green misses 2-pt shot from 2 ft
4:59.0,,,93-103,,Offensive rebound by A. Bogut
4:59.0,,,93-103,,A. Bogut misses 2-pt shot from 1 ft
4:58.0,Defensive rebound by S. Adams,,93-103,,
4:55.0,Shooting foul by A. Bogut (drawn by K. Durant),,93-103,,
4:55.0,K. Durant makes free throw 1 of 2,1,94-103,,
4:55.0,,,94-103,,Golden State full timeout
4:55.0,K. Durant makes free throw 2 of 2,1,95-103,,
4:41.0,,,95-103,,Turnover by K. Thompson (lost ball; steal by A. Roberson)
4:34.0,K. Durant makes 3-pt shot from 25 ft (assist by S. Ibaka),3,98-103,,
4:09.0,,,98-105,2,S. Curry makes 2-pt shot from 3 ft
4:09.0,,,98-105,,Shooting foul by A. Roberson (drawn by S. Curry)
4:09.0,,,98-106,1,S. Curry makes free throw 1 of 1
3:57.0,,,98-106,,Personal foul by D. Green
3:57.0,K. Durant makes free throw 1 of 2,1,99-106,,
3:57.0,K. Durant makes free throw 2 of 2,1,100-106,,
3:51.0,Personal foul by K. Durant,,100-106,,
3:51.0,,,100-106,,A. Bogut misses free throw 1 of 2
3:51.0,,,100-106,,Offensive rebound by Team
3:51.0,,,100-107,1,A. Bogut makes free throw 2 of 2
3:28.0,R. Westbrook misses 3-pt shot from 25 ft,,100-107,,
