time,Portland,pts.away,score,pts.home,Miami
6:59.0,,,41-36,,G. Dragic enters the game for U. Haslem
6:59.0,,,41-36,,H. Whiteside enters the game for B. Udrih
6:48.0,,,41-38,2,H. Whiteside makes 2-pt shot at rim (assist by G. Green)
6:29.0,G. Henderson misses 2-pt shot from 17 ft,,41-38,,
6:28.0,,,41-38,,Defensive rebound by L. Deng
6:09.0,,,41-40,2,G. Dragic makes 2-pt shot from 1 ft
5:57.0,C. McCollum makes 2-pt shot from 8 ft,2,43-40,,
5:36.0,Personal foul by E. Davis (drawn by H. Whiteside),,43-40,,
5:36.0,,,43-40,,D. Wade enters the game for J. Winslow
5:36.0,D. Lillard enters the game for C. McCollum,,43-40,,
5:36.0,M. Plumlee enters the game for E. Davis,,43-40,,
5:27.0,A. Aminu enters the game for G. Henderson,,43-40,,
5:27.0,,,43-43,3,L. Deng makes 3-pt shot from 24 ft (assist by G. Dragic)
5:02.0,A. Aminu makes 3-pt shot from 24 ft (assist by M. Plumlee),3,46-43,,
4:43.0,,,46-43,,D. Wade misses 2-pt shot from 10 ft
4:42.0,Defensive rebound by M. Leonard,,46-43,,
4:33.0,Turnover by M. Plumlee (bad pass; steal by G. Dragic),,46-43,,
4:26.0,,,46-43,,Turnover by L. Deng (bad pass; steal by A. Aminu)
4:22.0,Turnover by A. Aminu (bad pass),,46-43,,
4:22.0,M. Harkless enters the game for M. Leonard,,46-43,,
4:10.0,,,46-45,2,G. Dragic makes 2-pt shot from 7 ft (assist by D. Wade)
3:58.0,A. Crabbe misses 3-pt shot from 24 ft,,46-45,,
3:58.0,,,46-45,,Defensive rebound by Team
3:41.0,,,46-45,,H. Whiteside misses 2-pt shot from 2 ft
3:39.0,Defensive rebound by M. Harkless,,46-45,,
3:32.0,M. Harkless makes 2-pt shot at rim (assist by D. Lillard),2,48-45,,
3:16.0,,,48-45,,G. Dragic misses 2-pt shot from 2 ft
3:15.0,Defensive rebound by M. Plumlee,,48-45,,
3:06.0,A. Aminu makes 3-pt shot from 22 ft (assist by D. Lillard),3,51-45,,
3:06.0,,,51-45,,Miami full timeout
2:45.0,,,51-47,2,D. Wade makes 2-pt shot from 8 ft
2:31.0,,,51-47,,Personal foul by G. Green (drawn by M. Plumlee)
2:31.0,Portland full timeout,,51-47,,
2:25.0,M. Plumlee misses 2-pt shot from 4 ft (block by H. Whiteside),,51-47,,
2:24.0,Offensive rebound by M. Plumlee,,51-47,,
2:21.0,A. Aminu makes 3-pt shot from 22 ft (assist by M. Harkless),3,54-47,,
2:05.0,,,54-47,,Turnover by D. Wade (lost ball; steal by D. Lillard)
2:01.0,D. Lillard makes 2-pt shot from 1 ft,2,56-47,,
1:44.0,,,56-47,,H. Whiteside misses 2-pt shot from 3 ft
1:43.0,,,56-47,,Offensive rebound by D. Wade
1:41.0,,,56-50,3,L. Deng makes 3-pt shot from 22 ft (assist by D. Wade)
1:25.0,Shooting foul by D. Wade (drawn by M. Plumlee),,56-50,,
1:25.0,M. Plumlee makes free throw 1 of 2,1,57-50,,
1:25.0,,,57-50,,C. Bosh enters the game for H. Whiteside
1:25.0,M. Plumlee makes free throw 2 of 2,1,58-50,,
1:15.0,,,58-52,2,D. Wade makes 2-pt shot from 5 ft
1:15.0,,,58-52,,Shooting foul by M. Plumlee (drawn by D. Wade)
1:15.0,,,58-52,,D. Wade misses free throw 1 of 1
1:14.0,Defensive rebound by D. Lillard,,58-52,,
1:03.0,A. Aminu misses 3-pt shot from 26 ft,,58-52,,
1:03.0,Offensive rebound by Team,,58-52,,
1:03.0,,,58-52,,Loose ball foul by C. Bosh (drawn by M. Plumlee)
1:03.0,M. Plumlee makes free throw 1 of 2,1,59-52,,
1:03.0,M. Plumlee makes free throw 2 of 2,1,60-52,,
0:50.0,,,60-52,,Turnover by C. Bosh (bad pass; steal by A. Crabbe)
0:47.0,A. Crabbe makes 2-pt shot from 1 ft,2,62-52,,
0:27.0,,,62-52,,Turnover by C. Bosh (lost ball)
0:27.0,,,62-52,,H. Whiteside enters the game for C. Bosh
0:27.0,,,62-52,,J. Winslow enters the game for D. Wade
0:27.0,C. McCollum enters the game for M. Plumlee,,62-52,,
0:04.0,C. McCollum misses 3-pt shot from 24 ft,,62-52,,
0:03.0,,,62-52,,Defensive rebound by H. Whiteside
0:00.0,,,62-52,,G. Dragic misses 3-pt shot from 42 ft
0:00.0,,,62-52,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:40.0,Turnover by C. McCollum (bad pass; steal by H. Whiteside),,62-52,,
11:26.0,,,62-52,,Shooting foul by N. Vonleh (drawn by C. Bosh)
11:26.0,,,62-53,1,C. Bosh makes free throw 1 of 2
11:26.0,,,62-54,1,C. Bosh makes free throw 2 of 2
11:11.0,C. McCollum misses 2-pt shot from 9 ft,,62-54,,
11:10.0,,,62-54,,Defensive rebound by H. Whiteside
10:53.0,,,62-54,,Turnover by H. Whiteside (3 sec)
10:36.0,Turnover by D. Lillard (bad pass; steal by C. Bosh),,62-54,,
10:19.0,,,62-56,2,H. Whiteside makes 2-pt shot from 3 ft (assist by L. Deng)
10:01.0,C. McCollum misses 3-pt shot from 24 ft,,62-56,,
10:00.0,,,62-56,,Defensive rebound by C. Bosh
9:50.0,,,62-56,,L. Deng misses 2-pt shot from 8 ft
9:49.0,Defensive rebound by Team,,62-56,,
9:49.0,,,62-56,,Loose ball foul by H. Whiteside (drawn by M. Plumlee)
9:30.0,D. Lillard makes 2-pt shot from 18 ft (assist by C. McCollum),2,64-56,,
9:14.0,,,64-59,3,C. Bosh makes 3-pt shot from 24 ft (assist by G. Dragic)
8:51.0,N. Vonleh misses 2-pt shot from 18 ft,,64-59,,
8:50.0,,,64-59,,Defensive rebound by D. Wade
8:31.0,,,64-61,2,H. Whiteside makes 2-pt shot from 3 ft (assist by G. Dragic)
8:14.0,C. McCollum misses 2-pt shot from 10 ft,,64-61,,
8:13.0,,,64-61,,Defensive rebound by H. Whiteside
7:55.0,,,64-64,3,L. Deng makes 3-pt shot from 22 ft (assist by C. Bosh)
7:53.0,Portland full timeout,,64-64,,
7:53.0,M. Leonard enters the game for N. Vonleh,,64-64,,
7:40.0,D. Lillard makes 2-pt shot at rim (assist by M. Plumlee),2,66-64,,
7:26.0,,,66-66,2,H. Whiteside makes 2-pt shot at rim (assist by D. Wade)
7:26.0,,,66-66,,Shooting foul by M. Leonard (drawn by H. Whiteside)
7:26.0,,,66-66,,H. Whiteside misses free throw 1 of 1
7:25.0,Defensive rebound by M. Leonard,,66-66,,
7:11.0,M. Leonard misses 3-pt shot from 23 ft,,66-66,,
7:10.0,,,66-66,,Defensive rebound by C. Bosh
7:00.0,,,66-66,,Shooting foul by D. Lillard (drawn by D. Wade)
7:00.0,,,66-67,1,D. Wade makes free throw 1 of 2
7:00.0,,,66-67,,D. Wade misses free throw 2 of 2
6:59.0,Defensive rebound by M. Leonard,,66-67,,
6:43.0,Turnover by M. Plumlee (bad pass; steal by H. Whiteside),,66-67,,
6:39.0,,,66-69,2,D. Wade makes 2-pt shot from 1 ft (assist by H. Whiteside)
6:21.0,M. Plumlee makes 2-pt shot from 1 ft (assist by M. Leonard),2,68-69,,
6:21.0,Shooting foul by L. Deng (drawn by M. Plumlee),,68-69,,
6:21.0,M. Plumlee makes free throw 1 of 1,1,69-69,,
6:07.0,,,69-69,,J. Winslow enters the game for C. Bosh
5:56.0,,,69-71,2,D. Wade makes 2-pt shot from 16 ft
5:42.0,D. Lillard makes 3-pt shot from 25 ft,3,72-71,,
5:12.0,,,72-71,,Turnover by Team (shot clock)
4:56.0,,,72-71,,Personal foul by L. Deng (drawn by D. Lillard)
4:50.0,D. Lillard misses 2-pt shot from 3 ft (block by H. Whiteside),,72-71,,
4:49.0,Offensive rebound by Team,,72-71,,
4:48.0,Shooting foul by G. Dragic (drawn by D. Lillard),,72-71,,
4:48.0,,,72-71,,Technical foul by G. Dragic (drawn by D. Lillard)
4:48.0,D. Lillard makes technical free throw,1,73-71,,
4:48.0,D. Lillard makes free throw 1 of 2,1,74-71,,
4:48.0,D. Lillard makes free throw 2 of 2,1,75-71,,
4:38.0,Personal foul by C. McCollum (drawn by D. Wade),,75-71,,
4:26.0,,,75-71,,Turnover by D. Wade (lost ball; steal by C. McCollum)
4:20.0,M. Plumlee makes 2-pt shot from 2 ft (assist by C. McCollum),2,77-71,,
4:20.0,,,77-71,,Miami full timeout
4:20.0,,,77-71,,Technical foul by D. Wade
4:20.0,,,77-71,,G. Green enters the game for D. Wade
4:20.0,D. Lillard makes technical free throw,1,78-71,,
4:06.0,,,78-73,2,G. Dragic makes 2-pt shot from 16 ft
3:37.0,M. Plumlee misses 3-pt shot from 24 ft,,78-73,,
3:36.0,,,78-73,,Defensive rebound by G. Dragic
3:20.0,,,78-73,,G. Dragic misses 2-pt shot from 9 ft
3:19.0,,,78-73,,Offensive rebound by H. Whiteside
3:17.0,,,78-75,2,H. Whiteside makes 2-pt shot from 1 ft
3:08.0,M. Leonard misses 2-pt shot from 19 ft,,78-75,,
3:07.0,,,78-75,,Defensive rebound by J. Winslow
3:01.0,,,78-78,3,G. Green makes 3-pt shot from 24 ft (assist by J. Winslow)
2:40.0,C. McCollum makes 3-pt shot from 23 ft (assist by D. Lillard),3,81-78,,
2:21.0,Personal foul by D. Lillard (drawn by L. Deng),,81-78,,
2:21.0,,,81-79,1,L. Deng makes free throw 1 of 2
2:21.0,E. Davis enters the game for A. Aminu,,81-79,,
2:21.0,M. Harkless enters the game for M. Plumlee,,81-79,,
2:21.0,A. Crabbe enters the game for C. McCollum,,81-79,,
2:21.0,,,81-80,1,L. Deng makes free throw 2 of 2
2:09.0,Turnover by D. Lillard (bad pass; steal by J. Winslow),,81-80,,
2:03.0,,,81-80,,L. Deng misses 3-pt shot from 25 ft
2:02.0,Defensive rebound by E. Davis,,81-80,,
1:42.0,A. Crabbe misses 3-pt shot from 23 ft,,81-80,,
1:41.0,Offensive rebound by M. Leonard,,81-80,,
1:37.0,,,81-80,,Personal foul by G. Dragic (drawn by E. Davis)
1:37.0,,,81-80,,Technical foul by G. Dragic (drawn by E. Davis)
1:37.0,,,81-80,,B. Udrih enters the game for G. Dragic
1:37.0,,,81-80,,C. Bosh enters the game for L. Deng
1:37.0,D. Lillard makes technical free throw,1,82-80,,
1:37.0,E. Davis makes free throw 1 of 2,1,83-80,,
1:37.0,E. Davis makes free throw 2 of 2,1,84-80,,
1:20.0,,,84-82,2,C. Bosh makes 2-pt shot from 17 ft (assist by B. Udrih)
1:00.0,M. Leonard makes 2-pt shot from 6 ft,2,86-82,,
0:45.0,,,86-82,,C. Bosh misses 3-pt shot from 23 ft
0:44.0,Defensive rebound by M. Harkless,,86-82,,
0:35.0,M. Harkless misses 2-pt shot from 3 ft,,86-82,,
0:34.0,,,86-82,,Defensive rebound by J. Winslow
0:28.0,,,86-82,,G. Green misses 3-pt shot from 23 ft
0:26.0,Jump ball: C. Bosh vs. E. Davis (A. Crabbe gains possession),,,,Jump ball: C. Bosh vs. E. Davis (A. Crabbe gains possession)
0:26.0,Offensive rebound by Team,,86-82,,
0:01.0,D. Lillard misses 2-pt shot from 6 ft (block by H. Whiteside),,86-82,,
0:00.0,Offensive rebound by E. Davis,,86-82,,
0:00.0,E. Davis misses 2-pt shot from 8 ft (block by H. Whiteside),,86-82,,
0:00.0,Offensive rebound by Team,,86-82,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
12:00.0,,,86-82,,Technical foul by H. Whiteside
12:00.0,D. Lillard misses technical free throw,,86-82,,
12:00.0,,,86-82,,Offensive rebound by Team
12:00.0,M. Leonard enters the game for D. Lillard,,86-82,,
11:44.0,,,86-84,2,C. Bosh makes 2-pt shot from 1 ft
11:15.0,C. McCollum makes 2-pt shot from 16 ft,2,88-84,,
10:50.0,,,88-86,2,C. Bosh makes 2-pt shot from 16 ft
10:36.0,C. McCollum misses 2-pt shot from 20 ft,,88-86,,
10:35.0,,,88-86,,Defensive rebound by Team
10:14.0,,,88-88,2,C. Bosh makes 2-pt shot from 1 ft
10:14.0,,,88-88,,Shooting foul by E. Davis (drawn by C. Bosh)
10:14.0,,,88-89,1,C. Bosh makes free throw 1 of 1
9:56.0,M. Harkless misses 3-pt shot from 22 ft,,88-89,,
9:55.0,,,88-89,,Defensive rebound by H. Whiteside
9:46.0,,,88-89,,J. Winslow misses 3-pt shot from 23 ft
9:43.0,Defensive rebound by A. Crabbe,,88-89,,
9:31.0,Turnover by C. McCollum (bad pass),,88-89,,
9:18.0,,,88-91,2,C. Bosh makes 2-pt shot from 18 ft
8:53.0,A. Crabbe misses 2-pt shot from 8 ft,,88-91,,
8:52.0,Offensive rebound by M. Harkless,,88-91,,
8:41.0,A. Crabbe makes 2-pt shot at rim (assist by E. Davis),2,90-91,,
8:17.0,,,90-91,,C. Bosh misses 3-pt shot from 25 ft
8:16.0,Defensive rebound by M. Leonard,,90-91,,
8:04.0,A. Crabbe makes 2-pt shot from 2 ft (assist by C. McCollum),2,92-91,,
7:52.0,,,92-91,,C. Bosh misses 3-pt shot from 23 ft
7:51.0,,,92-91,,Offensive rebound by H. Whiteside
7:50.0,,,92-93,2,H. Whiteside makes 2-pt shot from 1 ft
7:50.0,Portland full timeout,,92-93,,
7:50.0,D. Lillard enters the game for C. McCollum,,92-93,,
7:50.0,A. Aminu enters the game for M. Leonard,,92-93,,
7:50.0,M. Plumlee enters the game for E. Davis,,92-93,,
7:38.0,D. Lillard misses 3-pt shot from 26 ft,,92-93,,
7:37.0,Offensive rebound by A. Aminu,,92-93,,
7:27.0,D. Lillard makes 2-pt shot from 17 ft,2,94-93,,
7:11.0,,,94-95,2,C. Bosh makes 2-pt shot from 18 ft
6:49.0,D. Lillard makes 3-pt shot from 25 ft (assist by A. Aminu),3,97-95,,
6:27.0,,,97-97,2,G. Green makes 2-pt shot from 2 ft (assist by C. Bosh)
6:27.0,,,97-97,,Shooting foul by M. Plumlee (drawn by G. Green)
6:27.0,,,97-97,,D. Wade enters the game for J. Winslow
6:27.0,,,97-97,,L. Deng enters the game for C. Bosh
6:27.0,,,97-97,,G. Green misses free throw 1 of 1
6:26.0,Defensive rebound by M. Harkless,,97-97,,
6:15.0,Offensive charge foul by M. Plumlee,,97-97,,
6:15.0,Turnover by M. Plumlee (offensive foul),,97-97,,
5:56.0,,,97-97,,D. Wade misses 2-pt shot from 17 ft
5:55.0,Defensive rebound by A. Crabbe,,97-97,,
5:49.0,D. Lillard misses 3-pt shot from 24 ft,,97-97,,
5:48.0,,,97-97,,Defensive rebound by H. Whiteside
5:28.0,,,97-100,3,G. Green makes 3-pt shot from 22 ft (assist by D. Wade)
5:15.0,Turnover by M. Plumlee (bad pass),,97-100,,
5:15.0,Official timeout,,97-100,,
5:03.0,Personal foul by A. Aminu (drawn by D. Wade),,97-100,,
5:03.0,C. McCollum enters the game for M. Harkless,,97-100,,
4:48.0,,,97-103,3,G. Green makes 3-pt shot from 22 ft (assist by D. Wade)
4:25.0,Shooting foul by H. Whiteside (drawn by A. Crabbe),,97-103,,
4:25.0,A. Crabbe makes free throw 1 of 2,1,98-103,,
4:25.0,A. Crabbe makes free throw 2 of 2,1,99-103,,
4:08.0,Personal foul by A. Aminu (drawn by D. Wade),,99-103,,
4:08.0,,,99-104,1,D. Wade makes free throw 1 of 2
4:08.0,,,99-104,,D. Wade misses free throw 2 of 2
4:07.0,Defensive rebound by A. Crabbe,,99-104,,
3:50.0,D. Lillard misses 3-pt shot from 24 ft,,99-104,,
3:49.0,,,99-104,,Defensive rebound by H. Whiteside
3:39.0,,,99-104,,G. Green misses 3-pt shot from 23 ft
3:38.0,,,99-104,,Offensive rebound by H. Whiteside
3:35.0,,,99-106,2,H. Whiteside makes 2-pt shot from 4 ft
3:21.0,C. McCollum makes 3-pt shot from 25 ft (assist by D. Lillard),3,102-106,,
3:19.0,,,102-106,,Miami full timeout
3:02.0,,,102-108,2,H. Whiteside makes 2-pt shot at rim (assist by D. Wade)
2:48.0,D. Lillard misses 3-pt shot from 24 ft,,102-108,,
2:47.0,,,102-108,,Defensive rebound by H. Whiteside
2:40.0,Personal foul by A. Crabbe (drawn by H. Whiteside),,102-108,,
2:40.0,,,102-109,1,H. Whiteside makes free throw 1 of 2
2:40.0,,,102-110,1,H. Whiteside makes free throw 2 of 2
2:30.0,C. McCollum misses 3-pt shot from 24 ft,,102-110,,
2:29.0,,,102-110,,Defensive rebound by L. Deng
2:11.0,,,102-110,,B. Udrih misses 3-pt shot from 24 ft
2:10.0,Defensive rebound by A. Aminu,,102-110,,
2:01.0,,,102-110,,Violation by H. Whiteside (def goaltending)
2:01.0,D. Lillard makes 2-pt shot from 7 ft,2,104-110,,
1:45.0,,,104-110,,D. Wade misses 2-pt shot from 16 ft
1:45.0,Defensive rebound by M. Plumlee,,104-110,,
1:38.0,,,104-110,,Personal block foul by D. Wade (drawn by C. McCollum)
1:38.0,,,104-110,,C. Bosh enters the game for L. Deng
1:30.0,M. Plumlee makes 2-pt shot from 1 ft (assist by D. Lillard),2,106-110,,
1:13.0,,,106-110,,C. Bosh misses 2-pt shot from 16 ft
