time,Toronto,pts.away,score,pts.home,San Antonio
9:42.0,J. Johnson misses 2-pt shot from 1 ft (block by M. Ginobili),,26-34,,
9:41.0,,,26-34,,Defensive rebound by K. Leonard
9:35.0,,,26-34,,K. Leonard misses 3-pt shot from 25 ft
9:33.0,,,26-34,,Offensive rebound by B. Diaw
9:30.0,,,26-34,,P. Mills misses 3-pt shot from 23 ft
9:29.0,Defensive rebound by B. Biyombo,,26-34,,
9:16.0,,,26-34,,Personal foul by K. Leonard
9:01.0,Turnover by T. Ross (lost ball; steal by D. West),,26-34,,
8:51.0,Personal foul by B. Biyombo,,26-34,,
8:51.0,Official timeout,,26-34,,
8:51.0,,,26-34,,K. Anderson enters the game for M. Ginobili
8:51.0,J. Thompson enters the game for J. Johnson,,26-34,,
8:43.0,,,26-34,,K. Leonard misses 3-pt shot from 24 ft
8:43.0,,,26-34,,Offensive rebound by D. West
8:36.0,,,26-36,2,K. Leonard makes 2-pt shot from 16 ft (assist by D. West)
8:19.0,D. Wright makes 2-pt shot at rim,2,28-36,,
8:06.0,,,28-36,,P. Mills misses 2-pt shot from 18 ft
8:06.0,Defensive rebound by Team,,28-36,,
7:51.0,D. Wright makes 2-pt shot from 1 ft,2,30-36,,
7:34.0,,,30-38,2,K. Leonard makes 2-pt shot from 19 ft (assist by P. Mills)
7:23.0,,,30-38,,Personal foul by P. Mills
7:23.0,,,30-38,,T. Parker enters the game for P. Mills
7:23.0,,,30-38,,L. Aldridge enters the game for B. Diaw
7:17.0,D. Wright misses 2-pt shot from 8 ft,,30-38,,
7:17.0,Offensive rebound by P. Patterson,,30-38,,
7:06.0,J. Thompson misses 2-pt shot from 10 ft,,30-38,,
7:04.0,,,30-38,,Defensive rebound by K. Anderson
7:03.0,,,30-38,,Turnover by K. Anderson (lost ball; steal by D. Wright)
7:00.0,Turnover by D. Wright (lost ball; steal by K. Anderson),,30-38,,
6:54.0,,,30-40,2,L. Aldridge makes 2-pt shot at rim (assist by K. Anderson)
6:46.0,Toronto full timeout,,30-40,,
6:36.0,J. Thompson makes 2-pt shot at rim (assist by T. Ross),2,32-40,,
6:08.0,,,32-40,,D. West misses 2-pt shot from 20 ft
6:07.0,Defensive rebound by B. Biyombo,,32-40,,
5:55.0,T. Ross makes 3-pt shot from 23 ft (assist by J. Thompson),3,35-40,,
5:41.0,,,35-40,,Turnover by T. Parker (traveling)
5:22.0,J. Thompson makes 3-pt shot from 25 ft (assist by T. Ross),3,38-40,,
5:07.0,,,38-42,2,L. Aldridge makes 2-pt shot from 17 ft (assist by T. Parker)
4:51.0,D. Wright makes 2-pt shot at rim,2,40-42,,
4:35.0,,,40-44,2,L. Aldridge makes 2-pt shot from 1 ft (assist by D. West)
4:35.0,,,40-44,,Shooting foul by B. Biyombo (drawn by L. Aldridge)
4:35.0,J. Valanciunas enters the game for B. Biyombo,,40-44,,
4:35.0,,,40-44,,T. Duncan enters the game for D. West
4:35.0,,,40-44,,M. Ginobili enters the game for K. Anderson
4:35.0,,,40-45,1,L. Aldridge makes free throw 1 of 1
4:24.0,Turnover by D. Wright (lost ball; steal by M. Ginobili),,40-45,,
4:18.0,,,40-47,2,L. Aldridge makes 2-pt shot at rim (assist by K. Leonard)
4:11.0,Toronto full timeout,,40-47,,
4:11.0,C. Joseph enters the game for D. Wright,,40-47,,
4:02.0,T. Ross misses 3-pt shot from 25 ft,,40-47,,
4:01.0,,,40-47,,Defensive rebound by M. Ginobili
3:44.0,,,40-47,,L. Aldridge misses 2-pt shot from 9 ft
3:41.0,,,40-47,,Offensive rebound by T. Duncan
3:38.0,,,40-49,2,L. Aldridge makes 2-pt shot at rim (assist by K. Leonard)
3:16.0,C. Joseph makes 2-pt shot from 11 ft,2,42-49,,
2:55.0,Personal foul by T. Ross,,42-49,,
2:55.0,,,42-49,,San Antonio full timeout
2:55.0,N. Powell enters the game for T. Ross,,42-49,,
2:55.0,D. Wright enters the game for J. Thompson,,42-49,,
2:49.0,,,42-49,,T. Duncan misses 2-pt shot from 17 ft
2:48.0,Defensive rebound by D. Wright,,42-49,,
2:33.0,P. Patterson makes 2-pt shot from 8 ft (assist by C. Joseph),2,44-49,,
2:16.0,,,44-49,,M. Ginobili misses 3-pt shot from 24 ft
2:16.0,Defensive rebound by D. Wright,,44-49,,
2:01.0,,,44-49,,Personal foul by K. Leonard
1:56.0,Turnover by C. Joseph (lost ball; steal by M. Ginobili),,44-49,,
1:42.0,,,44-49,,Turnover by T. Parker (lost ball; steal by D. Wright)
1:27.0,Turnover by C. Joseph (lost ball; steal by M. Ginobili),,44-49,,
1:17.0,,,44-49,,K. Leonard misses 2-pt shot from 15 ft
1:16.0,,,44-49,,Offensive rebound by L. Aldridge
1:09.0,,,44-49,,Shooting foul by J. Valanciunas (drawn by L. Aldridge)
1:09.0,,,44-50,1,L. Aldridge makes free throw 1 of 2
1:09.0,,,44-51,1,L. Aldridge makes free throw 2 of 2
0:56.0,J. Valanciunas misses 2-pt shot from 1 ft,,44-51,,
0:56.0,,,44-51,,Defensive rebound by T. Duncan
0:46.0,Def 3 sec tech foul by J. Valanciunas,,44-51,,
0:46.0,,,44-52,1,K. Leonard makes technical free throw
0:38.0,,,44-52,,K. Leonard misses 2-pt shot from 17 ft
0:37.0,Defensive rebound by J. Valanciunas,,44-52,,
0:20.0,C. Joseph misses 2-pt shot at rim (block by T. Duncan),,44-52,,
0:18.0,,,44-52,,Defensive rebound by T. Duncan
0:02.0,,,44-55,3,K. Leonard makes 3-pt shot from 24 ft (assist by T. Parker)
0:01.0,,,44-55,,Personal foul by M. Ginobili
0:01.0,D. Wright makes free throw 1 of 2,1,45-55,,
0:01.0,D. Wright makes free throw 2 of 2,1,46-55,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,,,46-55,,Shooting foul by L. Scola (drawn by L. Aldridge)
11:45.0,,,46-56,1,L. Aldridge makes free throw 1 of 2
11:45.0,,,46-57,1,L. Aldridge makes free throw 2 of 2
11:19.0,J. Johnson misses 3-pt shot from 23 ft,,46-57,,
11:18.0,Offensive rebound by J. Valanciunas,,46-57,,
11:06.0,N. Powell misses 2-pt shot at rim (block by T. Duncan),,46-57,,
11:04.0,,,46-57,,Defensive rebound by K. Leonard
11:04.0,,,46-57,,Turnover by K. Leonard (lost ball)
10:56.0,Turnover by J. Valanciunas (lost ball; steal by K. Leonard),,46-57,,
10:39.0,,,46-57,,K. Leonard misses 2-pt shot from 15 ft
10:38.0,Defensive rebound by L. Scola,,46-57,,
10:35.0,Turnover by C. Joseph (step out of bounds),,46-57,,
10:18.0,,,46-57,,Shooting foul by L. Scola (drawn by L. Aldridge)
10:18.0,,,46-58,1,L. Aldridge makes free throw 1 of 2
10:18.0,,,46-59,1,L. Aldridge makes free throw 2 of 2
9:54.0,N. Powell misses 2-pt shot from 11 ft,,46-59,,
9:53.0,,,46-59,,Defensive rebound by T. Duncan
9:42.0,,,46-59,,T. Duncan misses 2-pt shot from 18 ft
9:41.0,,,46-59,,Offensive rebound by L. Aldridge
9:32.0,,,46-59,,Turnover by Team (back court)
9:24.0,L. Scola misses 3-pt shot from 24 ft,,46-59,,
9:23.0,,,46-59,,Defensive rebound by K. Leonard
9:16.0,,,46-59,,Shooting foul by J. Valanciunas (drawn by K. Leonard)
9:16.0,,,46-60,1,K. Leonard makes free throw 1 of 2
9:16.0,,,46-61,1,K. Leonard makes free throw 2 of 2
8:53.0,C. Joseph makes 2-pt shot from 20 ft,2,48-61,,
8:32.0,,,48-61,,L. Aldridge misses 2-pt shot from 14 ft
8:31.0,Defensive rebound by J. Johnson,,48-61,,
8:20.0,L. Scola misses 2-pt shot from 8 ft,,48-61,,
8:19.0,,,48-61,,Defensive rebound by K. Leonard
8:10.0,,,48-63,2,K. Leonard makes 2-pt shot from 12 ft
8:04.0,Toronto full timeout,,48-63,,
8:04.0,P. Patterson enters the game for L. Scola,,48-63,,
8:04.0,T. Ross enters the game for J. Johnson,,48-63,,
7:57.0,Turnover by N. Powell (lost ball; steal by K. Leonard),,48-63,,
7:50.0,,,48-63,,K. Leonard misses 3-pt shot from 24 ft
7:49.0,,,48-63,,Offensive rebound by D. Green
7:33.0,,,48-63,,D. Green misses 3-pt shot from 22 ft
7:32.0,Defensive rebound by P. Patterson,,48-63,,
7:17.0,P. Patterson makes 2-pt shot at rim (assist by C. Joseph),2,50-63,,
7:00.0,,,50-63,,T. Parker misses 2-pt shot from 16 ft
7:00.0,Jump ball: T. Duncan vs. J. Valanciunas (K. Leonard gains possession),,,,Jump ball: T. Duncan vs. J. Valanciunas (K. Leonard gains possession)
7:00.0,,,50-63,,Offensive rebound by Team
6:50.0,,,50-63,,Turnover by K. Leonard (lost ball; steal by T. Ross)
6:35.0,Turnover by J. Valanciunas (traveling),,50-63,,
6:21.0,,,50-63,,Turnover by L. Aldridge (lost ball; steal by C. Joseph)
6:18.0,N. Powell makes 2-pt shot from 2 ft,2,52-63,,
6:18.0,Shooting foul by D. Green (drawn by N. Powell),,52-63,,
6:18.0,N. Powell misses free throw 1 of 1,,52-63,,
6:17.0,,,52-63,,Defensive rebound by L. Aldridge
6:17.0,,,52-63,,Technical foul by Team
6:17.0,T. Ross makes technical free throw,1,53-63,,
5:56.0,,,53-63,,D. Green misses 2-pt shot at rim
5:54.0,,,53-63,,Offensive rebound by D. Green
5:54.0,,,53-63,,D. Green misses 2-pt shot from 1 ft (block by J. Valanciunas)
5:52.0,Defensive rebound by N. Powell,,53-63,,
5:47.0,N. Powell makes 2-pt shot from 1 ft,2,55-63,,
5:47.0,,,55-63,,San Antonio full timeout
5:47.0,,,55-63,,P. Mills enters the game for T. Parker
5:47.0,,,55-63,,M. Ginobili enters the game for D. Green
5:47.0,,,55-63,,D. West enters the game for T. Duncan
5:24.0,,,55-63,,M. Ginobili misses 2-pt shot from 21 ft
5:23.0,,,55-63,,Offensive rebound by L. Aldridge
5:10.0,,,55-65,2,K. Leonard makes 2-pt shot from 1 ft (assist by L. Aldridge)
4:46.0,J. Valanciunas makes 2-pt shot at rim (assist by P. Patterson),2,57-65,,
4:32.0,,,57-67,2,L. Aldridge makes 2-pt shot from 18 ft (assist by P. Mills)
4:17.0,,,57-67,,Personal foul by M. Ginobili
4:12.0,C. Joseph misses 2-pt shot from 19 ft,,57-67,,
4:11.0,,,57-67,,Defensive rebound by M. Ginobili
4:03.0,Violation by J. Valanciunas (def goaltending),,57-67,,
4:03.0,,,57-69,2,L. Aldridge makes 2-pt shot from 1 ft (assist by P. Mills)
3:46.0,P. Patterson misses 2-pt shot from 1 ft,,57-69,,
3:44.0,,,57-69,,Defensive rebound by K. Leonard
3:34.0,,,57-69,,P. Mills misses 3-pt shot from 25 ft
3:33.0,Defensive rebound by J. Valanciunas,,57-69,,
3:18.0,P. Patterson makes 3-pt shot from 22 ft (assist by C. Joseph),3,60-69,,
3:00.0,,,60-69,,K. Leonard misses 2-pt shot from 16 ft
2:59.0,Defensive rebound by P. Patterson,,60-69,,
2:45.0,Turnover by P. Patterson (lost ball; steal by K. Leonard),,60-69,,
2:36.0,,,60-71,2,L. Aldridge makes 2-pt shot from 8 ft (assist by K. Leonard)
2:14.0,,,60-71,,Personal foul by L. Aldridge
2:14.0,,,60-71,,D. Green enters the game for K. Leonard
2:14.0,B. Biyombo enters the game for J. Valanciunas,,60-71,,
2:05.0,T. Ross makes 2-pt shot from 11 ft (assist by C. Joseph),2,62-71,,
1:44.0,,,62-71,,P. Mills misses 2-pt shot from 18 ft
1:43.0,,,62-71,,Offensive rebound by D. West
1:39.0,,,62-71,,D. Green misses 3-pt shot from 25 ft
1:38.0,,,62-71,,Offensive rebound by L. Aldridge
1:31.0,,,62-71,,M. Ginobili misses 2-pt shot from 12 ft
1:30.0,,,62-71,,Offensive rebound by M. Ginobili
1:26.0,,,62-71,,P. Mills misses 3-pt shot from 25 ft
1:25.0,Defensive rebound by B. Biyombo,,62-71,,
1:01.0,T. Ross makes 2-pt shot from 21 ft (assist by N. Powell),2,64-71,,
0:41.0,,,64-71,,Turnover by P. Mills (lost ball; steal by N. Powell)
0:39.0,N. Powell makes 2-pt shot at rim,2,66-71,,
0:29.0,,,66-71,,D. Green misses 3-pt shot from 26 ft
0:28.0,Defensive rebound by B. Biyombo,,66-71,,
0:09.0,,,66-71,,Personal foul by P. Mills
0:09.0,D. Wright enters the game for N. Powell,,66-71,,
0:03.0,C. Joseph misses 2-pt shot from 18 ft,,66-71,,
0:00.0,Offensive rebound by D. Wright,,66-71,,
0:00.0,D. Wright misses 2-pt shot from 1 ft,,66-71,,
0:00.0,,,66-71,,Defensive rebound by L. Aldridge
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:39.0,T. Ross misses 3-pt shot from 24 ft,,66-71,,
11:37.0,,,66-71,,Defensive rebound by K. Anderson
11:19.0,,,66-71,,M. Ginobili misses 3-pt shot from 25 ft
11:18.0,Defensive rebound by P. Patterson,,66-71,,
11:09.0,D. Wright makes 2-pt shot at rim,2,68-71,,
10:56.0,,,68-73,2,K. Anderson makes 2-pt shot from 19 ft (assist by P. Mills)
10:39.0,D. Wright makes 2-pt shot from 1 ft,2,70-73,,
10:24.0,,,70-73,,M. Ginobili misses 2-pt shot from 1 ft
10:23.0,Defensive rebound by T. Ross,,70-73,,
10:16.0,D. Wright misses 2-pt shot from 1 ft (block by T. Duncan),,70-73,,
10:14.0,,,70-73,,Defensive rebound by K. Anderson
10:03.0,,,70-73,,Turnover by P. Mills (lost ball)
10:03.0,,,70-73,,K. Leonard enters the game for M. Ginobili
9:38.0,T. Ross misses 2-pt shot from 18 ft,,70-73,,
9:38.0,,,70-73,,Defensive rebound by Team
9:38.0,Loose ball foul by D. Wright,,70-73,,
9:26.0,,,70-75,2,D. West makes 2-pt shot from 4 ft (assist by K. Anderson)
9:26.0,,,70-75,,Shooting foul by B. Biyombo (drawn by D. West)
9:26.0,,,70-75,,D. West misses free throw 1 of 1
9:25.0,,,70-75,,Offensive rebound by T. Duncan
9:13.0,,,70-75,,Shooting foul by B. Biyombo (drawn by K. Leonard)
9:13.0,,,70-76,1,K. Leonard makes free throw 1 of 2
9:13.0,,,70-77,1,K. Leonard makes free throw 2 of 2
8:46.0,T. Ross misses 2-pt shot from 19 ft,,70-77,,
8:45.0,,,70-77,,Defensive rebound by D. West
8:29.0,,,70-77,,P. Mills misses 3-pt shot from 24 ft
8:26.0,,,70-77,,Offensive rebound by T. Duncan
8:23.0,,,70-80,3,P. Mills makes 3-pt shot from 25 ft (assist by D. West)
8:23.0,Toronto full timeout,,70-80,,
8:23.0,N. Powell enters the game for P. Patterson,,70-80,,
8:00.0,T. Ross makes 2-pt shot from 9 ft,2,72-80,,
7:45.0,,,72-80,,P. Mills misses 3-pt shot from 24 ft
7:44.0,Defensive rebound by B. Biyombo,,72-80,,
7:35.0,N. Powell makes 2-pt shot from 17 ft,2,74-80,,
7:07.0,,,74-80,,T. Duncan misses 2-pt shot from 12 ft
7:06.0,Defensive rebound by N. Powell,,74-80,,
7:03.0,Shooting foul by K. Leonard (drawn by N. Powell),,74-80,,
7:03.0,N. Powell makes free throw 1 of 2,1,75-80,,
7:03.0,,,75-80,,T. Parker enters the game for P. Mills
7:03.0,,,75-80,,L. Aldridge enters the game for D. West
7:03.0,N. Powell makes free throw 2 of 2,1,76-80,,
6:42.0,,,76-82,2,L. Aldridge makes 2-pt shot from 20 ft (assist by K. Leonard)
6:24.0,B. Biyombo misses 2-pt shot from 15 ft,,76-82,,
6:23.0,,,76-82,,Defensive rebound by L. Aldridge
6:13.0,Personal block foul by N. Powell,,76-82,,
6:09.0,,,76-82,,Turnover by L. Aldridge (bad pass)
5:52.0,Turnover by N. Powell (lost ball; steal by T. Duncan),,76-82,,
5:46.0,,,76-84,2,K. Leonard makes 2-pt shot from 1 ft (assist by K. Anderson)
5:26.0,T. Ross misses 2-pt shot from 4 ft (block by K. Leonard),,76-84,,
5:25.0,,,76-84,,Defensive rebound by K. Leonard
5:12.0,,,76-84,,Shooting foul by J. Thompson (drawn by K. Leonard)
5:12.0,Official timeout,,76-84,,
5:12.0,C. Joseph enters the game for J. Thompson,,76-84,,
5:12.0,J. Valanciunas enters the game for B. Biyombo,,76-84,,
5:12.0,P. Patterson enters the game for T. Ross,,76-84,,
5:12.0,,,76-85,1,K. Leonard makes free throw 1 of 2
5:12.0,,,76-86,1,K. Leonard makes free throw 2 of 2
5:02.0,C. Joseph makes 2-pt shot from 6 ft,2,78-86,,
4:42.0,,,78-86,,T. Parker misses 3-pt shot from 23 ft
4:41.0,,,78-86,,Offensive rebound by T. Duncan
4:28.0,,,78-86,,Turnover by L. Aldridge (lost ball; steal by D. Wright)
4:23.0,C. Joseph makes 2-pt shot from 1 ft (assist by D. Wright),2,80-86,,
4:06.0,,,80-88,2,T. Parker makes 2-pt shot from 15 ft
3:49.0,,,80-88,,Personal foul by K. Leonard
3:49.0,,,80-88,,P. Mills enters the game for K. Anderson
3:41.0,C. Joseph makes 2-pt shot from 2 ft,2,82-88,,
3:18.0,,,82-88,,T. Parker misses 2-pt shot from 16 ft
3:17.0,Defensive rebound by D. Wright,,82-88,,
2:55.0,C. Joseph misses 3-pt shot from 25 ft,,82-88,,
2:52.0,Offensive rebound by P. Patterson,,82-88,,
2:52.0,P. Patterson makes 2-pt shot at rim,2,84-88,,
2:40.0,,,84-88,,Turnover by T. Duncan (lost ball; steal by P. Patterson)
2:25.0,P. Patterson misses 2-pt shot from 9 ft,,84-88,,
2:23.0,,,84-88,,Defensive rebound by L. Aldridge
2:19.0,,,84-88,,San Antonio full timeout
2:10.0,,,84-88,,L. Aldridge misses 2-pt shot from 2 ft
2:10.0,Defensive rebound by Team,,84-88,,
1:54.0,Turnover by C. Joseph (lost ball; steal by L. Aldridge),,84-88,,
1:38.0,,,84-90,2,T. Parker makes 2-pt shot from 1 ft
1:38.0,Toronto full timeout,,84-90,,
1:38.0,T. Ross enters the game for D. Wright,,84-90,,
1:27.0,P. Patterson misses 2-pt shot from 4 ft,,84-90,,
1:24.0,,,84-90,,Defensive rebound by T. Duncan
1:06.0,,,84-92,2,K. Leonard makes 2-pt shot from 9 ft
1:00.0,J. Valanciunas makes 2-pt shot from 1 ft (assist by C. Joseph),2,86-92,,
0:40.0,,,86-94,2,K. Leonard makes 2-pt shot from 15 ft
0:40.0,Toronto full timeout,,86-94,,
0:37.0,Shooting foul by K. Leonard (drawn by N. Powell),,86-94,,
0:37.0,N. Powell makes free throw 1 of 2,1,87-94,,
0:37.0,D. Wright enters the game for T. Ross,,87-94,,
0:37.0,N. Powell makes free throw 2 of 2,1,88-94,,
0:29.0,Personal take foul by P. Patterson,,88-94,,
0:29.0,,,88-95,1,K. Leonard makes free throw 1 of 2
0:29.0,T. Ross enters the game for D. Wright,,88-95,,
0:29.0,,,88-96,1,K. Leonard makes free throw 2 of 2
0:21.0,N. Powell makes 3-pt shot from 30 ft (assist by C. Joseph),3,91-96,,
0:19.0,Personal take foul by C. Joseph,,91-96,,
0:19.0,,,91-97,1,T. Parker makes free throw 1 of 2
0:19.0,,,91-98,1,T. Parker makes free throw 2 of 2
0:19.0,Toronto full timeout,,91-98,,
0:15.0,J. Valanciunas makes 2-pt shot at rim (assist by N. Powell),2,93-98,,
0:14.0,Personal take foul by T. Ross,,93-98,,
0:14.0,,,93-99,1,K. Leonard makes free throw 1 of 2
0:14.0,,,93-99,,K. Anderson enters the game for T. Duncan
0:14.0,,,93-100,1,K. Leonard makes free throw 2 of 2
0:06.0,C. Joseph makes 2-pt shot from 1 ft,2,95-100,,
0:05.0,Personal take foul by C. Joseph,,95-100,,
0:05.0,,,95-101,1,P. Mills makes free throw 1 of 2
0:05.0,,,95-102,1,P. Mills makes free throw 2 of 2
0:01.0,T. Ross misses 3-pt shot from 26 ft,,95-102,,
0:00.0,Offensive rebound by Team,,95-102,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
