time,Oklahoma City,pts.away,score,pts.home,New York
4:41.0,K. Durant misses 2-pt shot from 9 ft,,18-20,,
4:39.0,,,18-20,,Defensive rebound by A. Afflalo
4:32.0,Personal foul by D. Waiters (drawn by A. Afflalo),,18-20,,
4:32.0,,,18-20,,D. Williams enters the game for L. Thomas
4:17.0,,,18-20,,A. Afflalo misses 2-pt shot from 14 ft
4:15.0,Defensive rebound by K. Durant,,18-20,,
4:09.0,S. Adams makes 2-pt shot at rim (assist by K. Durant),2,20-20,,
3:47.0,,,20-20,,A. Afflalo misses 2-pt shot from 8 ft
3:46.0,,,20-20,,Offensive rebound by K. Porzingis
3:46.0,,,20-22,2,K. Porzingis makes 2-pt shot at rim
3:41.0,Shooting foul by J. Calderon (drawn by R. Westbrook),,20-22,,
3:41.0,R. Westbrook misses free throw 1 of 2,,20-22,,
3:41.0,Offensive rebound by Team,,20-22,,
3:41.0,,,20-22,,L. Galloway enters the game for A. Afflalo
3:41.0,R. Westbrook makes free throw 2 of 2,1,21-22,,
3:22.0,,,21-24,2,D. Williams makes 2-pt shot from 16 ft
3:22.0,,,21-24,,Shooting foul by K. Durant (drawn by D. Williams)
3:22.0,C. Payne enters the game for D. Waiters,,21-24,,
3:22.0,,,21-24,,D. Williams misses free throw 1 of 1
3:22.0,Defensive rebound by C. Payne,,21-24,,
3:18.0,Shooting foul by J. Calderon (drawn by K. Durant),,21-24,,
3:18.0,K. Durant makes free throw 1 of 2,1,22-24,,
3:18.0,,,22-24,,J. Grant enters the game for J. Calderon
3:18.0,K. Durant makes free throw 2 of 2,1,23-24,,
3:05.0,,,23-27,3,D. Williams makes 3-pt shot from 23 ft
2:53.0,R. Westbrook makes 2-pt shot at rim,2,25-27,,
2:39.0,,,25-27,,Turnover by J. Grant (bad pass; steal by S. Adams)
2:35.0,Turnover by R. Westbrook (lost ball; steal by J. Grant),,25-27,,
2:30.0,,,25-27,,Turnover by K. Porzingis (lost ball; steal by K. Durant)
2:24.0,R. Westbrook misses 3-pt shot from 25 ft,,25-27,,
2:22.0,Offensive rebound by K. Durant,,25-27,,
2:21.0,K. Durant misses 2-pt shot from 1 ft,,25-27,,
2:19.0,Offensive rebound by S. Adams,,25-27,,
2:19.0,S. Adams misses 2-pt shot from 3 ft,,25-27,,
2:17.0,Offensive rebound by K. Durant,,25-27,,
2:17.0,Shooting foul by K. Porzingis (drawn by K. Durant),,25-27,,
2:17.0,Oklahoma City full timeout,,25-27,,
2:17.0,E. Kanter enters the game for S. Ibaka,,25-27,,
2:17.0,,,25-27,,L. Thomas enters the game for K. Porzingis
2:17.0,,,25-27,,K. Seraphin enters the game for R. Lopez
2:17.0,K. Durant makes free throw 1 of 2,1,26-27,,
2:17.0,K. Durant makes free throw 2 of 2,1,27-27,,
2:05.0,Personal foul by R. Westbrook (drawn by L. Galloway),,27-27,,
2:05.0,A. Morrow enters the game for R. Westbrook,,27-27,,
2:00.0,,,27-27,,K. Seraphin misses 2-pt shot from 1 ft
1:58.0,Defensive rebound by E. Kanter,,27-27,,
1:52.0,K. Durant makes 3-pt shot from 24 ft,3,30-27,,
1:39.0,Personal foul by S. Adams (drawn by L. Thomas),,30-27,,
1:39.0,,,30-28,1,L. Thomas makes free throw 1 of 2
1:39.0,K. Singler enters the game for S. Adams,,30-28,,
1:39.0,,,30-28,,L. Thomas misses free throw 2 of 2
1:38.0,Defensive rebound by E. Kanter,,30-28,,
1:26.0,K. Durant makes 2-pt shot from 1 ft,2,32-28,,
1:11.0,Personal foul by A. Morrow (drawn by L. Galloway),,32-28,,
1:11.0,,,32-29,1,L. Galloway makes free throw 1 of 2
1:11.0,,,32-30,1,L. Galloway makes free throw 2 of 2
0:58.0,Turnover by K. Durant (bad pass; steal by J. Grant),,32-30,,
0:55.0,,,32-32,2,J. Grant makes 2-pt shot at rim
0:35.0,C. Payne makes 3-pt shot from 25 ft (assist by A. Morrow),3,35-32,,
0:28.0,,,35-34,2,K. Seraphin makes 2-pt shot from 4 ft (assist by J. Grant)
0:06.0,A. Morrow makes 3-pt shot from 23 ft (assist by K. Durant),3,38-34,,
0:01.0,,,38-34,,D. Williams misses 2-pt shot from 17 ft
0:00.0,Defensive rebound by E. Kanter,,38-34,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,,,38-34,,D. Williams misses 2-pt shot from 2 ft
11:39.0,Defensive rebound by E. Kanter,,38-34,,
11:20.0,E. Kanter misses 2-pt shot from 3 ft (block by K. Seraphin),,38-34,,
11:18.0,,,38-34,,Defensive rebound by K. Seraphin
11:11.0,,,38-34,,Shooting foul by A. Morrow (drawn by J. Grant)
11:11.0,,,38-36,2,J. Grant makes 2-pt shot from 2 ft
11:11.0,,,38-37,1,J. Grant makes free throw 1 of 1
11:01.0,C. Payne misses 2-pt shot from 2 ft,,38-37,,
10:59.0,,,38-37,,Defensive rebound by A. Afflalo
10:42.0,,,38-37,,K. Seraphin misses 2-pt shot from 14 ft
10:41.0,Defensive rebound by S. Ibaka,,38-37,,
10:33.0,E. Kanter misses 2-pt shot from 2 ft (block by K. Seraphin),,38-37,,
10:31.0,,,38-37,,Defensive rebound by K. Seraphin
10:19.0,,,38-37,,A. Afflalo misses 2-pt shot from 16 ft
10:17.0,Defensive rebound by E. Kanter,,38-37,,
10:10.0,C. Payne misses 2-pt shot at rim,,38-37,,
10:08.0,,,38-37,,Defensive rebound by D. Williams
9:55.0,,,38-37,,Shooting foul by K. Singler (drawn by A. Afflalo)
9:55.0,,,38-38,1,A. Afflalo makes free throw 1 of 2
9:55.0,,,38-38,,K. O'Quinn enters the game for K. Seraphin
9:55.0,D. Waiters enters the game for A. Morrow,,38-38,,
9:55.0,,,38-39,1,A. Afflalo makes free throw 2 of 2
9:35.0,K. Singler misses 2-pt shot from 21 ft,,38-39,,
9:33.0,Offensive rebound by Team,,38-39,,
9:24.0,D. Waiters makes 3-pt shot from 23 ft (assist by E. Kanter),3,41-39,,
9:11.0,,,41-42,3,L. Galloway makes 3-pt shot from 23 ft (assist by J. Grant)
9:08.0,Oklahoma City full timeout,,41-42,,
9:08.0,R. Westbrook enters the game for C. Payne,,41-42,,
8:57.0,E. Kanter misses 2-pt shot from 2 ft,,41-42,,
8:55.0,,,41-42,,Defensive rebound by K. O'Quinn
8:46.0,,,41-42,,J. Grant misses 3-pt shot from 25 ft
8:44.0,Defensive rebound by D. Waiters,,41-42,,
8:38.0,D. Waiters makes 2-pt shot from 1 ft,2,43-42,,
8:24.0,,,43-45,3,K. O'Quinn makes 3-pt shot from 25 ft
8:10.0,Turnover by R. Westbrook (bad pass; steal by L. Galloway),,43-45,,
8:05.0,,,43-47,2,J. Grant makes 2-pt shot from 2 ft (assist by L. Galloway)
7:42.0,E. Kanter misses 2-pt shot from 4 ft,,43-47,,
7:40.0,,,43-47,,Defensive rebound by A. Afflalo
7:28.0,,,43-47,,K. O'Quinn misses 2-pt shot from 5 ft
7:26.0,Defensive rebound by D. Waiters,,43-47,,
7:12.0,K. Singler makes 2-pt shot from 3 ft (assist by S. Ibaka),2,45-47,,
6:51.0,,,45-47,,A. Afflalo misses 2-pt shot from 7 ft
6:49.0,Defensive rebound by E. Kanter,,45-47,,
6:44.0,R. Westbrook makes 2-pt shot from 18 ft,2,47-47,,
6:43.0,,,47-47,,New York full timeout
6:43.0,S. Adams enters the game for E. Kanter,,47-47,,
6:43.0,K. Durant enters the game for K. Singler,,47-47,,
6:43.0,,,47-47,,R. Lopez enters the game for A. Afflalo
6:43.0,,,47-47,,K. Porzingis enters the game for D. Williams
6:43.0,,,47-47,,L. Thomas enters the game for K. O'Quinn
6:26.0,,,47-47,,Shooting foul by D. Waiters (drawn by L. Thomas)
6:26.0,,,47-47,,L. Thomas misses free throw 1 of 2
6:26.0,,,47-47,,Offensive rebound by Team
6:26.0,,,47-48,1,L. Thomas makes free throw 2 of 2
6:05.0,S. Ibaka makes 2-pt shot at rim (assist by D. Waiters),2,49-48,,
5:54.0,,,49-48,,J. Grant misses 2-pt shot from 2 ft
5:52.0,,,49-48,,Offensive rebound by R. Lopez
5:50.0,,,49-50,2,R. Lopez makes 2-pt shot from 2 ft
5:32.0,K. Durant misses 2-pt shot from 8 ft,,49-50,,
5:30.0,Offensive rebound by S. Ibaka,,49-50,,
5:23.0,D. Waiters makes 2-pt shot from 21 ft,2,51-50,,
4:59.0,,,51-50,,R. Lopez misses 2-pt shot from 4 ft
4:58.0,Defensive rebound by S. Ibaka,,51-50,,
4:53.0,R. Westbrook makes 2-pt shot from 1 ft,2,53-50,,
4:33.0,,,53-53,3,K. Porzingis makes 3-pt shot from 24 ft (assist by L. Galloway)
4:16.0,K. Durant makes 2-pt shot from 9 ft (assist by R. Westbrook),2,55-53,,
3:47.0,,,55-53,,K. Porzingis misses 2-pt shot from 18 ft
3:46.0,Defensive rebound by K. Durant,,55-53,,
3:40.0,D. Waiters misses 2-pt shot from 13 ft,,55-53,,
3:39.0,,,55-53,,Defensive rebound by L. Galloway
3:33.0,,,55-55,2,L. Galloway makes 2-pt shot from 1 ft
3:20.0,S. Ibaka misses 3-pt shot from 24 ft,,55-55,,
3:18.0,,,55-55,,Defensive rebound by J. Grant
3:09.0,,,55-55,,R. Lopez misses 2-pt shot from 4 ft
3:07.0,Defensive rebound by S. Ibaka,,55-55,,
2:58.0,S. Adams makes 2-pt shot from 4 ft (assist by R. Westbrook),2,57-55,,
2:54.0,,,57-55,,New York full timeout
2:54.0,Official timeout,,57-55,,
2:54.0,,,57-55,,J. Calderon enters the game for K. Porzingis
2:54.0,,,57-55,,D. Williams enters the game for L. Galloway
2:54.0,,,57-55,,A. Afflalo enters the game for J. Grant
2:32.0,,,57-55,,J. Calderon misses 2-pt shot from 19 ft
2:30.0,Defensive rebound by S. Ibaka,,57-55,,
2:14.0,K. Durant misses 2-pt shot from 20 ft,,57-55,,
2:12.0,,,57-55,,Defensive rebound by L. Thomas
2:04.0,,,57-55,,Shooting foul by K. Durant (drawn by L. Thomas)
2:04.0,,,57-56,1,L. Thomas makes free throw 1 of 2
2:04.0,,,57-57,1,L. Thomas makes free throw 2 of 2
1:50.0,S. Adams misses 2-pt shot from 2 ft (block by R. Lopez),,57-57,,
1:48.0,,,57-57,,Defensive rebound by R. Lopez
1:42.0,,,57-59,2,L. Thomas makes 2-pt shot from 2 ft (assist by A. Afflalo)
1:42.0,,,57-59,,Shooting foul by S. Adams (drawn by L. Thomas)
1:42.0,E. Kanter enters the game for S. Adams,,57-59,,
1:42.0,,,57-60,1,L. Thomas makes free throw 1 of 1
1:31.0,R. Westbrook makes 2-pt shot from 10 ft,2,59-60,,
1:04.0,,,59-60,,A. Afflalo misses 3-pt shot from 25 ft
1:02.0,,,59-60,,Offensive rebound by L. Thomas
1:01.0,,,59-60,,L. Thomas misses 2-pt shot from 1 ft (block by S. Ibaka)
0:59.0,Defensive rebound by S. Ibaka,,59-60,,
0:56.0,R. Westbrook makes 2-pt shot from 1 ft (assist by K. Durant),2,61-60,,
0:41.0,,,61-62,2,D. Williams makes 2-pt shot from 16 ft (assist by J. Calderon)
0:41.0,,,61-62,,Shooting foul by S. Ibaka (drawn by D. Williams)
0:41.0,,,61-62,,K. Seraphin enters the game for R. Lopez
0:41.0,,,61-63,1,D. Williams makes free throw 1 of 1
0:31.0,R. Westbrook misses 2-pt shot from 2 ft (block by L. Thomas),,61-63,,
0:29.0,,,61-63,,Defensive rebound by K. Seraphin
0:11.0,,,61-63,,D. Williams misses 3-pt shot from 25 ft
0:08.0,Defensive rebound by K. Durant,,61-63,,
0:05.0,,,61-63,,Personal foul by A. Afflalo (drawn by K. Durant)
0:05.0,,,61-63,,L. Galloway enters the game for A. Afflalo
0:02.0,R. Westbrook misses 2-pt shot from 14 ft,,61-63,,
0:00.0,,,61-63,,Defensive rebound by D. Williams
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,,,61-63,,Turnover by L. Thomas (lost ball; steal by R. Westbrook)
11:45.0,R. Westbrook makes 2-pt shot at rim,2,63-63,,
11:30.0,,,63-65,2,J. Calderon makes 2-pt shot from 18 ft
11:07.0,S. Ibaka misses 2-pt shot from 17 ft,,63-65,,
11:05.0,,,63-65,,Defensive rebound by R. Lopez
10:56.0,,,63-65,,Turnover by J. Calderon (bad pass; steal by R. Westbrook)
10:53.0,K. Durant makes 2-pt shot at rim,2,65-65,,
10:35.0,,,65-65,,Shooting foul by S. Ibaka (drawn by K. Porzingis)
10:35.0,,,65-66,1,K. Porzingis makes free throw 1 of 2
10:35.0,,,65-67,1,K. Porzingis makes free throw 2 of 2
10:24.0,R. Westbrook makes 2-pt shot from 2 ft,2,67-67,,
10:08.0,,,67-67,,K. Porzingis misses 2-pt shot from 12 ft
10:06.0,,,67-67,,Offensive rebound by L. Thomas
9:53.0,,,67-69,2,J. Calderon makes 2-pt shot from 16 ft
9:30.0,Turnover by D. Waiters (bad pass),,67-69,,
9:16.0,,,67-71,2,R. Lopez makes 2-pt shot at rim (assist by J. Calderon)
8:50.0,D. Waiters misses 3-pt shot from 24 ft,,67-71,,
8:49.0,Offensive rebound by Team,,67-71,,
8:49.0,Turnover by Team (shot clock),,67-71,,
8:32.0,,,67-71,,Turnover by R. Lopez (bad pass; steal by S. Adams)
8:29.0,R. Westbrook makes 2-pt shot at rim (assist by S. Adams),2,69-71,,
8:16.0,,,69-71,,Turnover by A. Afflalo (bad pass; steal by S. Adams)
8:11.0,D. Waiters makes 2-pt shot at rim (assist by S. Adams),2,71-71,,
8:11.0,,,71-71,,New York full timeout
7:46.0,,,71-71,,A. Afflalo misses 3-pt shot from 24 ft
7:44.0,Defensive rebound by K. Durant,,71-71,,
7:39.0,,,71-71,,Personal foul by L. Thomas (drawn by S. Adams)
7:28.0,S. Ibaka misses 3-pt shot from 24 ft,,71-71,,
7:26.0,,,71-71,,Defensive rebound by K. Porzingis
7:07.0,,,71-71,,A. Afflalo misses 2-pt shot from 2 ft
7:05.0,Defensive rebound by S. Adams,,71-71,,
6:58.0,K. Durant makes 3-pt shot from 25 ft,3,74-71,,
6:45.0,,,74-71,,K. Porzingis misses 3-pt shot from 24 ft
6:43.0,,,74-71,,Offensive rebound by R. Lopez
6:24.0,,,74-71,,K. Porzingis misses 2-pt shot from 15 ft
6:23.0,,,74-71,,Offensive rebound by R. Lopez
6:23.0,,,74-71,,Shooting foul by S. Adams (drawn by R. Lopez)
6:23.0,,,74-71,,R. Lopez misses free throw 1 of 2
6:23.0,,,74-71,,Offensive rebound by Team
6:23.0,,,74-71,,D. Williams enters the game for K. Porzingis
6:23.0,E. Kanter enters the game for S. Adams,,74-71,,
6:23.0,,,74-71,,R. Lopez misses free throw 2 of 2
6:22.0,,,74-71,,Offensive rebound by R. Lopez
6:06.0,,,74-71,,Shooting foul by E. Kanter (drawn by R. Lopez)
6:06.0,,,74-72,1,R. Lopez makes free throw 1 of 2
6:06.0,,,74-73,1,R. Lopez makes free throw 2 of 2
5:52.0,R. Westbrook makes 2-pt shot from 1 ft,2,76-73,,
5:52.0,Shooting foul by D. Williams (drawn by R. Westbrook),,76-73,,
5:52.0,,,76-73,,K. Seraphin enters the game for R. Lopez
5:52.0,R. Westbrook makes free throw 1 of 1,1,77-73,,
5:33.0,Personal foul by S. Ibaka (drawn by K. Seraphin),,77-73,,
5:19.0,,,77-73,,D. Williams misses 2-pt shot from 17 ft
5:17.0,Defensive rebound by K. Durant,,77-73,,
5:10.0,D. Waiters makes 2-pt shot from 17 ft,2,79-73,,
4:54.0,,,79-75,2,K. Seraphin makes 2-pt shot from 4 ft
4:35.0,Turnover by K. Durant (step out of bounds),,79-75,,
4:18.0,,,79-77,2,A. Afflalo makes 2-pt shot from 4 ft (assist by L. Thomas)
4:05.0,Shooting foul by K. Seraphin (drawn by E. Kanter),,79-77,,
4:05.0,E. Kanter makes free throw 1 of 2,1,80-77,,
4:05.0,E. Kanter makes free throw 2 of 2,1,81-77,,
3:44.0,,,81-79,2,K. Seraphin makes 2-pt shot from 3 ft (assist by J. Calderon)
3:32.0,,,81-79,,Def 3 sec tech foul by K. Seraphin
3:32.0,K. Durant misses technical free throw,,81-79,,
3:32.0,Offensive rebound by Team,,81-79,,
3:25.0,R. Westbrook misses 2-pt shot from 7 ft,,81-79,,
3:24.0,Offensive rebound by Team,,81-79,,
3:24.0,,,81-79,,Loose ball foul by A. Afflalo (drawn by E. Kanter)
3:24.0,,,81-79,,L. Galloway enters the game for A. Afflalo
3:13.0,K. Durant misses 3-pt shot from 26 ft,,81-79,,
3:11.0,Offensive rebound by S. Ibaka,,81-79,,
3:11.0,S. Ibaka misses 2-pt shot from 1 ft,,81-79,,
3:09.0,,,81-79,,Defensive rebound by D. Williams
2:57.0,,,81-79,,K. Seraphin misses 2-pt shot from 4 ft
2:55.0,Defensive rebound by K. Durant,,81-79,,
2:48.0,Oklahoma City full timeout,,81-79,,
2:48.0,,,81-79,,J. Grant enters the game for J. Calderon
2:35.0,Turnover by R. Westbrook (lost ball; steal by L. Galloway),,81-79,,
2:14.0,,,81-81,2,L. Thomas makes 2-pt shot from 18 ft
1:53.0,K. Durant makes 2-pt shot from 15 ft,2,83-81,,
1:29.0,,,83-83,2,D. Williams makes 2-pt shot from 15 ft
1:19.0,R. Westbrook misses 2-pt shot from 2 ft (block by K. Seraphin),,83-83,,
1:19.0,K. Singler enters the game for S. Ibaka,,83-83,,
1:18.0,Jump ball: K. Seraphin vs. R. Westbrook,,,,Jump ball: K. Seraphin vs. R. Westbrook
1:18.0,Offensive rebound by Team,,83-83,,
1:18.0,C. Payne enters the game for R. Westbrook,,83-83,,
1:14.0,,,83-83,,Personal foul by L. Thomas (drawn by K. Durant)
1:14.0,K. Durant makes free throw 1 of 2,1,84-83,,
1:14.0,K. Durant makes free throw 2 of 2,1,85-83,,
0:56.0,,,85-86,3,D. Williams makes 3-pt shot from 23 ft (assist by J. Grant)
0:41.0,K. Durant misses 2-pt shot from 2 ft,,85-86,,
0:39.0,,,85-86,,Defensive rebound by D. Williams
0:34.0,,,85-86,,D. Williams misses 2-pt shot from 1 ft
0:33.0,,,85-86,,Offensive rebound by J. Grant
0:31.0,,,85-89,3,L. Galloway makes 3-pt shot from 23 ft (assist by J. Grant)
0:08.0,C. Payne makes 3-pt shot from 25 ft (assist by K. Durant),3,88-89,,
0:03.0,,,88-89,,Shooting foul by K. Singler (drawn by D. Williams)
0:03.0,,,88-90,1,D. Williams makes free throw 1 of 2
0:03.0,,,88-91,1,D. Williams makes free throw 2 of 2
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,E. Kanter misses 2-pt shot from 3 ft,,88-91,,
11:39.0,,,88-91,,Defensive rebound by D. Williams
11:31.0,,,88-93,2,K. Seraphin makes 2-pt shot from 2 ft (assist by D. Williams)
11:15.0,Offensive foul by E. Kanter,,88-93,,
11:15.0,Turnover by E. Kanter (offensive foul),,88-93,,
11:05.0,,,88-95,2,A. Afflalo makes 2-pt shot from 5 ft (assist by D. Williams)
10:50.0,D. Waiters misses 2-pt shot from 18 ft,,88-95,,
10:48.0,,,88-95,,Defensive rebound by D. Williams
10:39.0,,,88-95,,D. Williams misses 3-pt shot from 25 ft
10:37.0,Defensive rebound by E. Kanter,,88-95,,
10:36.0,Oklahoma City full timeout,,88-95,,
10:20.0,E. Kanter misses 2-pt shot from 6 ft,,88-95,,
10:19.0,,,88-95,,Defensive rebound by D. Williams
10:08.0,,,88-97,2,D. Williams makes 2-pt shot from 1 ft (assist by J. Grant)
9:43.0,A. Morrow misses 2-pt shot from 3 ft,,88-97,,
9:41.0,,,88-97,,Defensive rebound by L. Galloway
9:33.0,,,88-99,2,L. Galloway makes 2-pt shot from 1 ft
9:31.0,Oklahoma City full timeout,,88-99,,
9:31.0,S. Ibaka enters the game for D. Waiters,,88-99,,
9:31.0,S. Adams enters the game for E. Kanter,,88-99,,
9:31.0,R. Westbrook enters the game for A. Morrow,,88-99,,
9:14.0,C. Payne makes 3-pt shot from 23 ft (assist by S. Ibaka),3,91-99,,
8:48.0,,,91-99,,A. Afflalo misses 2-pt shot from 7 ft
8:46.0,Defensive rebound by C. Payne,,91-99,,
8:35.0,R. Westbrook misses 3-pt shot from 25 ft,,91-99,,
8:34.0,,,91-99,,Defensive rebound by K. Seraphin
8:19.0,,,91-101,2,A. Afflalo makes 2-pt shot from 4 ft (assist by J. Grant)
8:01.0,C. Payne makes 3-pt shot from 24 ft,3,94-101,,
7:35.0,,,94-101,,K. Seraphin misses 2-pt shot from 15 ft
7:33.0,Defensive rebound by R. Westbrook,,94-101,,
7:29.0,Shooting foul by L. Galloway (drawn by R. Westbrook),,94-101,,
7:29.0,R. Westbrook makes free throw 1 of 2,1,95-101,,
7:29.0,,,95-101,,K. Porzingis enters the game for K. Seraphin
7:29.0,,,95-101,,L. Thomas enters the game for J. Grant
7:29.0,K. Durant enters the game for K. Singler,,95-101,,
7:29.0,R. Westbrook makes free throw 2 of 2,1,96-101,,
7:05.0,,,96-101,,L. Galloway misses 3-pt shot from 25 ft
7:03.0,Defensive rebound by K. Durant,,96-101,,
7:00.0,C. Payne misses 3-pt shot from 23 ft,,96-101,,
6:58.0,,,96-101,,Defensive rebound by D. Williams
6:50.0,,,96-104,3,A. Afflalo makes 3-pt shot from 24 ft (assist by D. Williams)
6:29.0,K. Durant makes 3-pt shot from 24 ft (assist by R. Westbrook),3,99-104,,
6:15.0,,,99-104,,L. Galloway misses 2-pt shot at rim
6:14.0,,,99-104,,Offensive rebound by L. Galloway
6:14.0,,,99-104,,L. Galloway misses 2-pt shot at rim
6:12.0,Defensive rebound by S. Ibaka,,99-104,,
6:02.0,,,99-104,,Personal foul by L. Galloway (drawn by R. Westbrook)
5:53.0,R. Westbrook makes 2-pt shot from 1 ft (assist by S. Adams),2,101-104,,
5:38.0,,,101-104,,Turnover by L. Galloway (bad pass; steal by R. Westbrook)
5:35.0,Turnover by C. Payne (bad pass; steal by L. Thomas),,101-104,,
5:33.0,Personal foul by R. Westbrook (drawn by L. Thomas),,101-104,,
5:16.0,,,101-104,,A. Afflalo misses 3-pt shot from 25 ft
5:14.0,,,101-104,,Offensive rebound by Team
5:12.0,,,101-104,,New York full timeout
4:53.0,,,101-104,,K. Porzingis misses 2-pt shot from 4 ft
4:52.0,Defensive rebound by K. Durant,,101-104,,
4:41.0,K. Durant misses 2-pt shot from 15 ft,,101-104,,
4:39.0,,,101-104,,Defensive rebound by D. Williams
4:29.0,,,101-104,,Turnover by A. Afflalo (offensive foul)
4:29.0,,,101-104,,Offensive foul by A. Afflalo
4:29.0,D. Waiters enters the game for C. Payne,,101-104,,
4:19.0,,,101-104,,Personal foul by A. Afflalo (drawn by R. Westbrook)
4:19.0,,,101-104,,J. Grant enters the game for A. Afflalo
4:17.0,Shooting foul by L. Thomas (drawn by K. Durant),,101-104,,
4:17.0,K. Durant makes free throw 1 of 3,1,102-104,,
4:17.0,K. Durant makes free throw 2 of 3,1,103-104,,
4:17.0,K. Durant makes free throw 3 of 3,1,104-104,,
4:06.0,,,104-104,,Turnover by J. Grant (bad pass)
3:55.0,R. Westbrook misses 2-pt shot from 2 ft (block by K. Porzingis),,104-104,,
3:53.0,,,104-104,,Defensive rebound by K. Porzingis
