time,Detroit,pts.away,score,pts.home,Atlanta
9:57.0,Offensive rebound by Team,,32-30,,
9:57.0,A. Baynes misses free throw 2 of 2,,32-30,,
9:55.0,,,32-30,,Defensive rebound by K. Bazemore
9:47.0,,,32-30,,K. Korver misses 3-pt shot from 24 ft
9:45.0,Defensive rebound by A. Baynes,,32-30,,
9:36.0,S. Blake misses 2-pt shot from 14 ft,,32-30,,
9:35.0,Offensive rebound by A. Baynes,,32-30,,
9:35.0,A. Baynes misses 2-pt shot at rim,,32-30,,
9:34.0,Offensive rebound by M. Morris,,32-30,,
9:34.0,M. Morris misses 2-pt shot at rim (block by K. Korver),,32-30,,
9:34.0,Offensive rebound by Team,,32-30,,
9:34.0,A. Drummond enters the game for A. Baynes,,32-30,,
9:34.0,,,32-30,,J. Teague enters the game for D. Schroder
9:20.0,A. Drummond makes 2-pt shot from 10 ft (assist by S. Blake),2,34-30,,
9:02.0,,,34-30,,Shooting foul by S. Blake (drawn by M. Scott)
9:02.0,,,34-31,1,M. Scott makes free throw 1 of 2
9:02.0,,,34-32,1,M. Scott makes free throw 2 of 2
8:52.0,Turnover by S. Johnson (step out of bounds),,34-32,,
8:52.0,Official timeout,,34-32,,
8:52.0,K. Caldwell-Pope enters the game for M. Morris,,34-32,,
8:39.0,,,34-35,3,K. Bazemore makes 3-pt shot from 24 ft
8:33.0,,,34-35,,Personal take foul by M. Scott (drawn by A. Drummond)
8:33.0,A. Drummond misses free throw 1 of 2,,34-35,,
8:33.0,Offensive rebound by Team,,34-35,,
8:33.0,A. Drummond misses free throw 2 of 2,,34-35,,
8:31.0,,,34-35,,Defensive rebound by A. Horford
8:11.0,,,34-35,,M. Scott misses 2-pt shot from 11 ft
8:09.0,Defensive rebound by A. Drummond,,34-35,,
8:00.0,S. Blake misses 3-pt shot from 24 ft,,34-35,,
7:58.0,,,34-35,,Defensive rebound by K. Korver
7:56.0,,,34-35,,Turnover by K. Korver (bad pass; steal by S. Johnson)
7:44.0,K. Caldwell-Pope misses 2-pt shot from 17 ft,,34-35,,
7:42.0,,,34-35,,Defensive rebound by M. Scott
7:35.0,,,34-35,,J. Teague misses 2-pt shot from 8 ft (block by S. Blake)
7:33.0,,,34-35,,Offensive rebound by J. Teague
7:32.0,,,34-35,,Turnover by J. Teague (bad pass; steal by S. Blake)
7:29.0,K. Caldwell-Pope makes 2-pt shot at rim (assist by S. Blake),2,36-35,,
7:14.0,,,36-38,3,M. Scott makes 3-pt shot from 23 ft (assist by J. Teague)
7:04.0,,,36-38,,Personal take foul by M. Scott (drawn by A. Drummond)
7:04.0,A. Drummond makes free throw 1 of 2,1,37-38,,
7:04.0,A. Drummond misses free throw 2 of 2,,37-38,,
7:03.0,,,37-38,,Defensive rebound by A. Horford
6:51.0,,,37-38,,M. Scott misses 3-pt shot from 24 ft
6:50.0,Defensive rebound by K. Caldwell-Pope,,37-38,,
6:41.0,K. Caldwell-Pope misses 2-pt shot from 14 ft,,37-38,,
6:38.0,Offensive rebound by K. Caldwell-Pope,,37-38,,
6:35.0,S. Blake misses 3-pt shot from 23 ft,,37-38,,
6:34.0,,,37-38,,Defensive rebound by J. Teague
6:19.0,,,37-40,2,A. Horford makes 2-pt shot from 19 ft (assist by J. Teague)
6:06.0,K. Caldwell-Pope misses 3-pt shot from 22 ft,,37-40,,
6:05.0,,,37-40,,Defensive rebound by A. Horford
5:53.0,,,37-42,2,J. Teague makes 2-pt shot at rim
