time,Portland,pts.away,score,pts.home,Brooklyn
11:29.0,Defensive rebound by A. Crabbe,,24-23,,
11:15.0,M. Leonard misses 3-pt shot from 25 ft,,24-23,,
11:14.0,,,24-23,,Defensive rebound by B. Bogdanovic
11:01.0,,,24-25,2,B. Bogdanovic makes 2-pt shot from 2 ft
10:51.0,,,24-25,,Personal foul by S. Larkin (drawn by C. McCollum)
10:43.0,A. Crabbe misses 3-pt shot from 24 ft,,24-25,,
10:42.0,,,24-25,,Defensive rebound by A. Bargnani
10:34.0,,,24-25,,B. Bogdanovic misses 3-pt shot from 24 ft
10:33.0,Defensive rebound by M. Leonard,,24-25,,
10:23.0,C. McCollum makes 3-pt shot from 24 ft,3,27-25,,
10:03.0,,,27-25,,S. Larkin misses 2-pt shot from 15 ft
10:01.0,Defensive rebound by M. Harkless,,27-25,,
9:52.0,A. Crabbe makes 3-pt shot from 24 ft (assist by M. Harkless),3,30-25,,
9:37.0,,,30-27,2,S. Larkin makes 2-pt shot from 3 ft (assist by T. Robinson)
9:22.0,M. Leonard makes 3-pt shot from 26 ft (assist by C. McCollum),3,33-27,,
9:15.0,,,33-27,,Brooklyn full timeout
9:09.0,,,33-27,,Shooting foul by A. Crabbe (drawn by T. Robinson)
9:09.0,,,33-27,,T. Robinson misses free throw 1 of 2
9:09.0,,,33-27,,Offensive rebound by Team
9:09.0,,,33-28,1,T. Robinson makes free throw 2 of 2
8:58.0,E. Davis makes 2-pt shot from 2 ft (assist by M. Leonard),2,35-28,,
8:40.0,,,35-28,,Turnover by A. Bargnani (lost ball; steal by A. Crabbe)
8:36.0,M. Harkless makes 2-pt shot from 1 ft (assist by A. Crabbe),2,37-28,,
8:20.0,,,37-28,,T. Robinson misses 2-pt shot from 17 ft
8:19.0,Defensive rebound by E. Davis,,37-28,,
8:05.0,C. McCollum misses 3-pt shot from 23 ft,,37-28,,
8:04.0,,,37-28,,Defensive rebound by T. Robinson
7:49.0,,,37-28,,Shooting foul by E. Davis (drawn by B. Bogdanovic)
7:49.0,,,37-28,,B. Bogdanovic misses free throw 1 of 2
7:49.0,,,37-28,,Offensive rebound by Team
7:49.0,,,37-28,,B. Lopez enters the game for T. Robinson
7:49.0,,,37-28,,T. Young enters the game for A. Bargnani
7:49.0,G. Henderson enters the game for M. Harkless,,37-28,,
7:49.0,,,37-29,1,B. Bogdanovic makes free throw 2 of 2
7:40.0,C. McCollum makes 2-pt shot at rim,2,39-29,,
7:29.0,,,39-29,,T. Young misses 2-pt shot from 17 ft
7:28.0,Defensive rebound by A. Crabbe,,39-29,,
7:19.0,E. Davis makes 2-pt shot from 2 ft (assist by C. McCollum),2,41-29,,
7:16.0,,,41-29,,Brooklyn full timeout
7:16.0,,,41-29,,J. Johnson enters the game for S. Karasev
7:16.0,,,41-29,,D. Sloan enters the game for S. Larkin
6:59.0,,,41-31,2,B. Lopez makes 2-pt shot from 11 ft (assist by T. Young)
6:59.0,,,41-31,,Shooting foul by M. Leonard (drawn by B. Lopez)
6:59.0,,,41-32,1,B. Lopez makes free throw 1 of 1
6:47.0,C. McCollum misses 3-pt shot from 29 ft,,41-32,,
6:45.0,,,41-32,,Defensive rebound by T. Young
6:38.0,,,41-32,,Shooting foul by E. Davis (drawn by B. Lopez)
6:38.0,,,41-33,1,B. Lopez makes free throw 1 of 2
6:38.0,A. Aminu enters the game for A. Crabbe,,41-33,,
6:38.0,,,41-33,,B. Lopez misses free throw 2 of 2
6:37.0,Defensive rebound by C. McCollum,,41-33,,
6:27.0,Turnover by C. McCollum (bad pass; steal by T. Young),,41-33,,
6:14.0,,,41-33,,B. Bogdanovic misses 2-pt shot from 6 ft
6:13.0,Defensive rebound by M. Leonard,,41-33,,
6:03.0,M. Leonard makes 2-pt shot from 9 ft (assist by C. McCollum),2,43-33,,
5:51.0,Personal foul by C. McCollum (drawn by D. Sloan),,43-33,,
5:51.0,Official timeout,,43-33,,
5:51.0,,,43-33,,W. Ellington enters the game for B. Bogdanovic
5:51.0,M. Plumlee enters the game for E. Davis,,43-33,,
5:51.0,D. Lillard enters the game for C. McCollum,,43-33,,
5:51.0,,,43-33,,D. Sloan misses free throw 1 of 2
5:51.0,,,43-33,,Offensive rebound by Team
5:51.0,,,43-34,1,D. Sloan makes free throw 2 of 2
5:33.0,G. Henderson misses 2-pt shot from 19 ft,,43-34,,
5:31.0,,,43-34,,Defensive rebound by T. Young
5:16.0,,,43-36,2,T. Young makes 2-pt shot from 2 ft (assist by D. Sloan)
4:54.0,M. Leonard misses 3-pt shot from 23 ft,,43-36,,
4:53.0,,,43-36,,Defensive rebound by D. Sloan
4:42.0,,,43-36,,W. Ellington misses 3-pt shot from 22 ft
4:41.0,Defensive rebound by A. Aminu,,43-36,,
4:33.0,D. Lillard makes 3-pt shot from 24 ft,3,46-36,,
4:15.0,,,46-38,2,B. Lopez makes 2-pt shot from 4 ft
4:15.0,,,46-38,,Shooting foul by M. Leonard (drawn by B. Lopez)
4:15.0,,,46-38,,B. Lopez misses free throw 1 of 1
4:14.0,Defensive rebound by M. Leonard,,46-38,,
3:49.0,D. Lillard misses 3-pt shot from 27 ft,,46-38,,
3:48.0,,,46-38,,Defensive rebound by Team
3:34.0,,,46-38,,Offensive foul by B. Lopez
3:34.0,,,46-38,,Turnover by B. Lopez (offensive foul)
3:34.0,C. McCollum enters the game for M. Leonard,,46-38,,
3:21.0,D. Lillard misses 2-pt shot from 1 ft,,46-38,,
3:20.0,,,46-38,,Defensive rebound by J. Johnson
3:13.0,,,46-38,,Shooting foul by M. Plumlee (drawn by B. Lopez)
3:13.0,,,46-39,1,B. Lopez makes free throw 1 of 2
3:13.0,,,46-40,1,B. Lopez makes free throw 2 of 2
3:00.0,C. McCollum misses 2-pt shot from 3 ft,,46-40,,
2:59.0,,,46-40,,Defensive rebound by B. Lopez
2:57.0,,,46-40,,Turnover by B. Lopez (bad pass)
2:57.0,Portland full timeout,,46-40,,
2:48.0,A. Aminu misses 3-pt shot from 24 ft,,46-40,,
2:47.0,,,46-40,,Defensive rebound by D. Sloan
2:29.0,,,46-42,2,B. Lopez makes 2-pt shot from 5 ft (assist by T. Young)
2:10.0,G. Henderson misses 3-pt shot from 24 ft,,46-42,,
2:09.0,Offensive rebound by A. Aminu,,46-42,,
2:00.0,A. Aminu makes 2-pt shot from 1 ft (assist by M. Plumlee),2,48-42,,
1:44.0,,,48-42,,J. Johnson misses 3-pt shot from 24 ft
1:43.0,,,48-42,,Offensive rebound by T. Young
1:39.0,,,48-45,3,D. Sloan makes 3-pt shot from 24 ft (assist by T. Young)
1:25.0,,,48-45,,Personal foul by W. Ellington (drawn by M. Plumlee)
1:25.0,M. Plumlee misses free throw 1 of 2,,48-45,,
1:25.0,Offensive rebound by Team,,48-45,,
1:25.0,M. Plumlee makes free throw 2 of 2,1,49-45,,
1:11.0,,,49-47,2,D. Sloan makes 2-pt shot from 20 ft
0:59.0,G. Henderson makes 2-pt shot at rim (assist by M. Plumlee),2,51-47,,
0:53.0,,,51-47,,Offensive charge foul by D. Sloan
0:53.0,,,51-47,,Turnover by D. Sloan (offensive foul)
0:53.0,M. Leonard enters the game for M. Plumlee,,51-47,,
0:39.0,D. Lillard makes 3-pt shot from 24 ft,3,54-47,,
0:28.0,,,54-49,2,D. Sloan makes 2-pt shot from 19 ft (assist by J. Johnson)
0:16.0,D. Lillard makes 2-pt shot from 6 ft,2,56-49,,
0:01.0,,,56-49,,W. Ellington misses 2-pt shot from 21 ft
0:00.0,,,56-49,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:38.0,C. McCollum makes 2-pt shot from 18 ft (assist by M. Plumlee),2,58-49,,
11:22.0,,,58-51,2,B. Lopez makes 2-pt shot at rim (assist by J. Johnson)
11:01.0,A. Aminu makes 3-pt shot from 24 ft (assist by D. Lillard),3,61-51,,
10:43.0,,,61-51,,J. Johnson misses 2-pt shot from 12 ft (block by A. Aminu)
10:41.0,,,61-51,,Offensive rebound by J. Johnson
10:36.0,,,61-51,,B. Lopez misses 2-pt shot from 1 ft
10:35.0,Defensive rebound by M. Plumlee,,61-51,,
10:29.0,Turnover by M. Plumlee (traveling),,61-51,,
10:10.0,,,61-53,2,B. Lopez makes 2-pt shot from 7 ft
9:55.0,D. Lillard misses 2-pt shot from 19 ft,,61-53,,
9:53.0,Offensive rebound by C. McCollum,,61-53,,
9:48.0,C. McCollum misses 2-pt shot from 21 ft,,61-53,,
9:47.0,,,61-53,,Defensive rebound by D. Sloan
9:41.0,,,61-53,,Turnover by T. Young (lost ball; steal by A. Aminu)
9:33.0,Turnover by C. McCollum (bad pass; steal by T. Young),,61-53,,
9:30.0,,,61-53,,Offensive charge foul by T. Young
9:30.0,,,61-53,,Turnover by T. Young (offensive foul)
9:09.0,N. Vonleh misses 3-pt shot from 22 ft,,61-53,,
9:08.0,,,61-53,,Defensive rebound by D. Sloan
8:54.0,,,61-53,,J. Johnson misses 3-pt shot from 24 ft
8:53.0,,,61-53,,Offensive rebound by B. Lopez
8:51.0,,,61-55,2,J. Johnson makes 2-pt shot from 8 ft
8:36.0,N. Vonleh makes 2-pt shot from 20 ft,2,63-55,,
8:13.0,,,63-57,2,T. Young makes 2-pt shot from 1 ft
8:03.0,D. Lillard misses 2-pt shot from 2 ft,,63-57,,
8:02.0,Offensive rebound by D. Lillard,,63-57,,
8:01.0,D. Lillard misses 2-pt shot from 2 ft,,63-57,,
8:00.0,,,63-57,,Defensive rebound by B. Lopez
7:53.0,,,63-57,,T. Young misses 2-pt shot from 5 ft
7:50.0,Defensive rebound by C. McCollum,,63-57,,
7:46.0,Shooting foul by W. Ellington (drawn by A. Aminu),,63-57,,
7:46.0,A. Aminu makes free throw 1 of 2,1,64-57,,
7:46.0,A. Aminu makes free throw 2 of 2,1,65-57,,
7:31.0,,,65-60,3,W. Ellington makes 3-pt shot from 23 ft (assist by D. Sloan)
7:12.0,A. Aminu makes 3-pt shot from 24 ft (assist by C. McCollum),3,68-60,,
6:59.0,,,68-63,3,W. Ellington makes 3-pt shot from 24 ft
6:47.0,M. Plumlee misses 2-pt shot from 4 ft,,68-63,,
6:45.0,Offensive rebound by N. Vonleh,,68-63,,
6:44.0,N. Vonleh misses 2-pt shot from 1 ft,,68-63,,
6:43.0,,,68-63,,Defensive rebound by W. Ellington
6:31.0,,,68-65,2,B. Lopez makes 2-pt shot from 12 ft (assist by D. Sloan)
6:14.0,C. McCollum makes 2-pt shot from 1 ft (assist by D. Lillard),2,70-65,,
5:58.0,Personal foul by A. Aminu (drawn by D. Sloan),,70-65,,
5:58.0,,,70-65,,Brooklyn full timeout
5:50.0,,,70-68,3,J. Johnson makes 3-pt shot from 25 ft (assist by D. Sloan)
5:27.0,N. Vonleh makes 2-pt shot from 1 ft,2,72-68,,
5:13.0,,,72-71,3,J. Johnson makes 3-pt shot from 24 ft (assist by D. Sloan)
4:56.0,D. Lillard makes 2-pt shot from 1 ft (assist by C. McCollum),2,74-71,,
4:41.0,,,74-74,3,J. Johnson makes 3-pt shot from 24 ft (assist by D. Sloan)
4:26.0,D. Lillard misses 3-pt shot from 25 ft,,74-74,,
4:24.0,,,74-74,,Defensive rebound by W. Ellington
4:12.0,,,74-74,,W. Ellington misses 3-pt shot from 24 ft
4:11.0,Defensive rebound by Team,,74-74,,
4:11.0,M. Leonard enters the game for N. Vonleh,,74-74,,
4:11.0,A. Crabbe enters the game for C. McCollum,,74-74,,
3:57.0,D. Lillard misses 2-pt shot at rim (block by B. Lopez),,74-74,,
3:55.0,,,74-74,,Defensive rebound by D. Sloan
3:44.0,,,74-74,,J. Johnson misses 3-pt shot from 23 ft
3:43.0,,,74-74,,Offensive rebound by B. Lopez
3:42.0,,,74-74,,B. Lopez misses 2-pt shot from 1 ft
3:41.0,Defensive rebound by M. Leonard,,74-74,,
3:35.0,M. Plumlee makes 2-pt shot from 1 ft (assist by D. Lillard),2,76-74,,
3:18.0,Personal foul by M. Leonard (drawn by D. Sloan),,76-74,,
3:18.0,,,76-75,1,D. Sloan makes free throw 1 of 2
3:18.0,,,76-75,,T. Robinson enters the game for B. Lopez
3:18.0,M. Harkless enters the game for A. Aminu,,76-75,,
3:18.0,,,76-76,1,D. Sloan makes free throw 2 of 2
3:00.0,A. Crabbe misses 2-pt shot from 20 ft,,76-76,,
2:59.0,Offensive rebound by M. Leonard,,76-76,,
2:54.0,D. Lillard makes 2-pt shot from 1 ft,2,78-76,,
2:38.0,,,78-76,,T. Young misses 2-pt shot from 2 ft
2:37.0,,,78-76,,Offensive rebound by T. Robinson
2:36.0,,,78-78,2,T. Robinson makes 2-pt shot from 2 ft
2:36.0,,,78-78,,Shooting foul by M. Leonard (drawn by T. Robinson)
2:36.0,Portland full timeout,,78-78,,
2:36.0,,,78-78,,S. Larkin enters the game for D. Sloan
2:36.0,E. Davis enters the game for M. Plumlee,,78-78,,
2:36.0,,,78-79,1,T. Robinson makes free throw 1 of 1
2:22.0,Turnover by M. Leonard (traveling),,78-79,,
2:08.0,,,78-79,,Turnover by J. Johnson (bad pass; steal by A. Crabbe)
2:05.0,A. Crabbe makes 2-pt shot at rim (assist by D. Lillard),2,80-79,,
1:48.0,,,80-79,,Turnover by S. Larkin (bad pass)
1:48.0,,,80-79,,B. Bogdanovic enters the game for J. Johnson
1:35.0,Turnover by E. Davis (traveling),,80-79,,
1:12.0,,,80-79,,W. Ellington misses 3-pt shot from 26 ft
1:11.0,Defensive rebound by E. Davis,,80-79,,
1:01.0,D. Lillard makes 2-pt shot from 1 ft,2,82-79,,
0:45.0,,,82-79,,S. Larkin misses 2-pt shot from 12 ft
0:44.0,Defensive rebound by E. Davis,,82-79,,
0:31.0,M. Leonard misses 3-pt shot from 24 ft,,82-79,,
0:30.0,,,82-79,,Defensive rebound by T. Robinson
0:08.0,,,82-79,,Turnover by S. Larkin (bad pass; steal by E. Davis)
0:02.0,Shooting foul by T. Robinson (drawn by E. Davis),,82-79,,
0:02.0,E. Davis makes free throw 1 of 2,1,83-79,,
0:02.0,E. Davis misses free throw 2 of 2,,83-79,,
0:00.0,Offensive rebound by Team,,83-79,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,,,83-81,2,A. Bargnani makes 2-pt shot from 18 ft (assist by M. Brown)
11:32.0,Turnover by C. McCollum (bad pass; steal by A. Bargnani),,83-81,,
11:18.0,,,83-81,,Shooting foul by M. Leonard (drawn by A. Bargnani)
11:18.0,,,83-82,1,A. Bargnani makes free throw 1 of 2
11:18.0,,,83-83,1,A. Bargnani makes free throw 2 of 2
11:03.0,A. Crabbe misses 2-pt shot from 17 ft,,83-83,,
11:02.0,,,83-83,,Defensive rebound by S. Larkin
10:54.0,,,83-83,,B. Bogdanovic misses 3-pt shot from 22 ft
10:53.0,Defensive rebound by M. Harkless,,83-83,,
10:41.0,M. Leonard makes 3-pt shot from 22 ft (assist by M. Harkless),3,86-83,,
10:19.0,,,86-85,2,A. Bargnani makes 2-pt shot from 23 ft (assist by M. Brown)
10:12.0,Turnover by C. McCollum (lost ball; steal by S. Larkin),,86-85,,
9:59.0,,,86-85,,A. Bargnani misses 2-pt shot from 20 ft
9:57.0,,,86-85,,Offensive rebound by T. Robinson
9:56.0,,,86-87,2,T. Robinson makes 2-pt shot from 2 ft
9:56.0,,,86-87,,Shooting foul by M. Harkless (drawn by T. Robinson)
9:56.0,,,86-88,1,T. Robinson makes free throw 1 of 1
9:33.0,A. Crabbe misses 2-pt shot from 18 ft (block by M. Brown),,86-88,,
9:30.0,,,86-88,,Defensive rebound by T. Robinson
9:23.0,,,86-88,,S. Larkin misses 2-pt shot from 13 ft
9:21.0,,,86-88,,Offensive rebound by T. Robinson
9:19.0,,,86-90,2,T. Robinson makes 2-pt shot from 7 ft
9:19.0,Portland full timeout,,86-90,,
9:06.0,C. McCollum misses 2-pt shot from 2 ft (block by S. Larkin),,86-90,,
9:05.0,Offensive rebound by Team,,86-90,,
8:58.0,C. McCollum misses 3-pt shot from 24 ft,,86-90,,
8:57.0,,,86-90,,Defensive rebound by T. Robinson
8:41.0,,,86-92,2,A. Bargnani makes 2-pt shot from 13 ft (assist by S. Larkin)
8:24.0,M. Harkless misses 2-pt shot from 2 ft,,86-92,,
8:23.0,Offensive rebound by E. Davis,,86-92,,
8:21.0,E. Davis makes 2-pt shot from 2 ft,2,88-92,,
8:09.0,,,88-92,,S. Larkin misses 2-pt shot from 19 ft
8:08.0,Defensive rebound by Team,,88-92,,
8:08.0,D. Lillard enters the game for M. Harkless,,88-92,,
8:08.0,A. Aminu enters the game for M. Leonard,,88-92,,
7:52.0,D. Lillard makes 2-pt shot from 21 ft (assist by E. Davis),2,90-92,,
7:39.0,,,90-92,,Turnover by S. Larkin (bad pass; steal by D. Lillard)
7:35.0,A. Crabbe misses 2-pt shot from 2 ft,,90-92,,
7:34.0,,,90-92,,Defensive rebound by B. Bogdanovic
7:30.0,,,90-92,,Brooklyn full timeout
7:27.0,,,90-92,,S. Larkin misses 2-pt shot from 15 ft
7:26.0,Defensive rebound by Team,,90-92,,
7:15.0,D. Lillard makes 3-pt shot from 28 ft (assist by A. Crabbe),3,93-92,,
7:02.0,,,93-92,,Shooting foul by A. Aminu (drawn by A. Bargnani)
7:02.0,,,93-92,,A. Bargnani misses free throw 1 of 2
7:02.0,,,93-92,,Offensive rebound by Team
7:02.0,,,93-92,,D. Sloan enters the game for S. Larkin
7:02.0,,,93-93,1,A. Bargnani makes free throw 2 of 2
6:42.0,A. Crabbe makes 3-pt shot from 26 ft (assist by D. Lillard),3,96-93,,
6:26.0,,,96-93,,B. Bogdanovic misses 2-pt shot at rim (block by E. Davis)
6:25.0,Defensive rebound by A. Crabbe,,96-93,,
6:12.0,Turnover by A. Aminu (lost ball; steal by T. Robinson),,96-93,,
6:06.0,,,96-93,,Turnover by D. Sloan (lost ball; steal by C. McCollum)
5:56.0,C. McCollum misses 2-pt shot from 2 ft,,96-93,,
5:55.0,Offensive rebound by E. Davis,,96-93,,
5:54.0,E. Davis makes 2-pt shot from 1 ft,2,98-93,,
5:38.0,,,98-93,,A. Bargnani misses 2-pt shot from 18 ft
5:37.0,Defensive rebound by A. Crabbe,,98-93,,
5:31.0,Shooting foul by D. Sloan (drawn by D. Lillard),,98-93,,
5:31.0,D. Lillard makes free throw 1 of 3,1,99-93,,
5:31.0,D. Lillard makes free throw 2 of 3,1,100-93,,
5:31.0,,,100-93,,J. Johnson enters the game for T. Robinson
5:31.0,,,100-93,,B. Lopez enters the game for A. Bargnani
5:31.0,,,100-93,,W. Ellington enters the game for B. Bogdanovic
5:31.0,,,100-93,,T. Young enters the game for M. Brown
5:31.0,D. Lillard misses free throw 3 of 3,,100-93,,
5:30.0,,,100-93,,Defensive rebound by T. Young
5:12.0,,,100-93,,Shooting foul by A. Aminu (drawn by T. Young)
5:12.0,,,100-93,,T. Young misses free throw 1 of 2
5:12.0,,,100-93,,Offensive rebound by Team
5:12.0,,,100-94,1,T. Young makes free throw 2 of 2
4:55.0,D. Lillard makes 3-pt shot from 29 ft,3,103-94,,
4:36.0,,,103-94,,B. Lopez misses 2-pt shot from 7 ft
4:35.0,Defensive rebound by E. Davis,,103-94,,
4:26.0,D. Lillard misses 3-pt shot from 26 ft,,103-94,,
4:26.0,Offensive rebound by E. Davis,,103-94,,
4:26.0,E. Davis makes 2-pt shot at rim,2,105-94,,
4:26.0,,,105-94,,Brooklyn full timeout
4:18.0,Personal foul by A. Crabbe (drawn by J. Johnson),,105-94,,
4:18.0,,,105-95,1,J. Johnson makes free throw 1 of 2
4:18.0,,,105-96,1,J. Johnson makes free throw 2 of 2
3:59.0,A. Aminu misses 3-pt shot from 25 ft,,105-96,,
3:58.0,,,105-96,,Defensive rebound by B. Lopez
3:41.0,,,105-96,,B. Lopez misses 2-pt shot from 4 ft (block by A. Aminu)
3:39.0,,,105-96,,Offensive rebound by D. Sloan
3:35.0,,,105-99,3,D. Sloan makes 3-pt shot from 23 ft
3:12.0,A. Aminu misses 3-pt shot from 25 ft,,105-99,,
3:11.0,,,105-99,,Defensive rebound by B. Lopez
2:58.0,,,105-99,,J. Johnson misses 2-pt shot from 7 ft
2:57.0,,,105-99,,Offensive rebound by J. Johnson
2:55.0,,,105-99,,J. Johnson misses 2-pt shot from 4 ft (block by A. Aminu)
2:54.0,Defensive rebound by A. Crabbe,,105-99,,
2:37.0,C. McCollum misses 2-pt shot from 6 ft,,105-99,,
2:35.0,Offensive rebound by C. McCollum,,105-99,,
2:31.0,A. Crabbe makes 3-pt shot from 23 ft (assist by C. McCollum),3,108-99,,
2:13.0,,,108-99,,Shooting foul by A. Crabbe (drawn by B. Lopez)
2:13.0,Official timeout,,108-99,,
2:13.0,,,108-100,1,B. Lopez makes free throw 1 of 2
2:13.0,,,108-100,,B. Lopez misses free throw 2 of 2
2:12.0,Defensive rebound by E. Davis,,108-100,,
1:50.0,C. McCollum makes 2-pt shot from 19 ft,2,110-100,,
1:38.0,,,110-102,2,W. Ellington makes 2-pt shot from 16 ft
1:20.0,D. Lillard makes 2-pt shot from 19 ft,2,112-102,,
