time,Indiana,pts.away,score,pts.home,New York
8:06.0,G. Hill makes 3-pt shot from 24 ft (assist by L. Allen),3,6-6,,
7:43.0,,,6-6,,J. Grant misses 2-pt shot from 5 ft
7:42.0,,,6-6,,Offensive rebound by R. Lopez
7:42.0,,,6-6,,R. Lopez misses 2-pt shot from 2 ft
7:41.0,,,6-6,,Offensive rebound by R. Lopez
7:41.0,,,6-6,,R. Lopez misses 2-pt shot from 2 ft
7:40.0,,,6-6,,Offensive rebound by R. Lopez
7:40.0,,,6-6,,R. Lopez misses 2-pt shot from 2 ft
7:39.0,,,6-6,,Offensive rebound by S. Vujacic
7:25.0,,,6-8,2,D. Williams makes 2-pt shot from 1 ft (assist by J. Grant)
7:10.0,M. Ellis misses 3-pt shot from 24 ft,,6-8,,
7:09.0,,,6-8,,Defensive rebound by Team
6:54.0,,,6-11,3,S. Vujacic makes 3-pt shot from 24 ft (assist by D. Williams)
6:39.0,M. Ellis makes 2-pt shot from 3 ft,2,8-11,,
6:25.0,,,8-11,,C. Early misses 3-pt shot from 24 ft
6:24.0,,,8-11,,Offensive rebound by J. Grant
6:20.0,,,8-11,,S. Vujacic misses 3-pt shot from 25 ft
6:19.0,Defensive rebound by P. George,,8-11,,
6:10.0,I. Mahinmi makes 2-pt shot at rim (assist by P. George),2,10-11,,
5:54.0,,,10-11,,D. Williams misses 2-pt shot from 17 ft
5:53.0,Defensive rebound by P. George,,10-11,,
5:42.0,L. Allen misses 2-pt shot from 10 ft,,10-11,,
5:41.0,,,10-11,,Defensive rebound by D. Williams
5:29.0,,,10-11,,Turnover by S. Vujacic (lost ball; steal by G. Hill)
5:24.0,P. George misses 2-pt shot from 3 ft (block by R. Lopez),,10-11,,
5:23.0,,,10-11,,Defensive rebound by R. Lopez
5:19.0,,,10-11,,Shooting foul by L. Allen (drawn by D. Williams)
5:19.0,,,10-11,,New York full timeout
5:19.0,M. Turner enters the game for L. Allen,,10-11,,
5:19.0,,,10-11,,D. Williams misses free throw 1 of 2
5:19.0,,,10-11,,Offensive rebound by Team
5:19.0,,,10-12,1,D. Williams makes free throw 2 of 2
4:57.0,G. Hill misses 3-pt shot from 24 ft,,10-12,,
4:56.0,,,10-12,,Defensive rebound by R. Lopez
4:33.0,,,10-12,,C. Early misses 3-pt shot from 23 ft
4:32.0,Defensive rebound by M. Ellis,,10-12,,
4:25.0,M. Ellis misses 2-pt shot from 2 ft,,10-12,,
4:24.0,,,10-12,,Defensive rebound by D. Williams
4:18.0,,,10-15,3,S. Vujacic makes 3-pt shot from 25 ft (assist by D. Williams)
4:02.0,P. George makes 2-pt shot from 19 ft,2,12-15,,
3:35.0,,,12-15,,D. Williams misses 3-pt shot from 25 ft
3:34.0,Defensive rebound by I. Mahinmi,,12-15,,
3:21.0,M. Turner misses 2-pt shot from 4 ft,,12-15,,
3:20.0,,,12-15,,Defensive rebound by J. Grant
3:05.0,,,12-18,3,J. Grant makes 3-pt shot from 24 ft
2:50.0,G. Hill misses 3-pt shot from 22 ft,,12-18,,
2:49.0,Offensive rebound by P. George,,12-18,,
2:45.0,Turnover by P. George (bad pass),,12-18,,
2:45.0,Indiana full timeout,,12-18,,
2:45.0,,,12-18,,A. Afflalo enters the game for C. Early
2:45.0,,,12-18,,K. Seraphin enters the game for J. Grant
2:45.0,,,12-18,,L. Galloway enters the game for S. Vujacic
2:45.0,R. Stuckey enters the game for M. Ellis,,12-18,,
2:45.0,T. Lawson enters the game for G. Hill,,12-18,,
2:24.0,,,12-20,2,D. Williams makes 2-pt shot from 2 ft (assist by R. Lopez)
2:00.0,T. Lawson misses 2-pt shot from 16 ft,,12-20,,
1:59.0,,,12-20,,Defensive rebound by D. Williams
1:44.0,,,12-20,,D. Williams misses 2-pt shot from 8 ft
1:43.0,,,12-20,,Offensive rebound by K. Seraphin
1:38.0,,,12-20,,Turnover by K. Seraphin (lost ball; steal by M. Turner)
1:27.0,R. Stuckey makes 2-pt shot from 20 ft (assist by I. Mahinmi),2,14-20,,
1:10.0,,,14-20,,K. Seraphin misses 2-pt shot from 20 ft
1:09.0,Defensive rebound by I. Mahinmi,,14-20,,
1:01.0,P. George misses 2-pt shot from 22 ft,,14-20,,
1:00.0,,,14-20,,Defensive rebound by K. Seraphin
0:55.0,,,14-20,,A. Afflalo misses 2-pt shot from 20 ft
0:54.0,Defensive rebound by R. Stuckey,,14-20,,
0:46.0,R. Stuckey misses 2-pt shot from 1 ft (block by R. Lopez),,14-20,,
0:45.0,Offensive rebound by I. Mahinmi,,14-20,,
0:40.0,Turnover by R. Stuckey (lost ball; steal by L. Galloway),,14-20,,
0:36.0,,,14-20,,Shooting foul by P. George (drawn by L. Galloway)
0:36.0,,,14-20,,L. Galloway misses free throw 1 of 2
0:36.0,,,14-20,,Offensive rebound by Team
0:36.0,,,14-20,,K. O'Quinn enters the game for R. Lopez
0:36.0,C. Miles enters the game for I. Mahinmi,,14-20,,
0:36.0,S. Hill enters the game for P. George,,14-20,,
0:36.0,,,14-21,1,L. Galloway makes free throw 2 of 2
0:27.0,M. Turner makes 2-pt shot from 19 ft (assist by T. Lawson),2,16-21,,
0:08.0,,,16-23,2,K. O'Quinn makes 2-pt shot from 21 ft (assist by L. Galloway)
0:03.0,M. Turner makes 2-pt shot at rim,2,18-23,,
0:00.0,,,18-23,,A. Afflalo misses 3-pt shot from 27 ft
0:00.0,,,18-23,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:39.0,C. Miles makes 2-pt shot from 17 ft,2,20-23,,
11:12.0,,,20-23,,S. Vujacic misses 2-pt shot from 3 ft
11:11.0,,,20-23,,Offensive rebound by K. O'Quinn
11:02.0,,,20-23,,K. Seraphin misses 2-pt shot from 9 ft
11:01.0,Defensive rebound by M. Turner,,20-23,,
10:53.0,M. Turner misses 2-pt shot from 18 ft,,20-23,,
10:52.0,,,20-23,,Defensive rebound by K. O'Quinn
10:40.0,,,20-25,2,K. Seraphin makes 2-pt shot from 5 ft (assist by K. O'Quinn)
10:23.0,C. Miles makes 3-pt shot from 23 ft (assist by S. Hill),3,23-25,,
10:04.0,,,23-27,2,S. Vujacic makes 2-pt shot from 23 ft (assist by L. Galloway)
9:55.0,R. Stuckey makes 2-pt shot from 15 ft (assist by T. Lawson),2,25-27,,
9:39.0,Personal foul by R. Stuckey,,25-27,,
9:32.0,,,25-27,,A. Afflalo misses 2-pt shot from 10 ft
9:31.0,Defensive rebound by M. Turner,,25-27,,
9:21.0,T. Lawson misses 2-pt shot from 1 ft,,25-27,,
9:20.0,Offensive rebound by M. Turner,,25-27,,
9:20.0,M. Turner makes 2-pt shot from 1 ft,2,27-27,,
9:18.0,Personal foul by T. Lawson,,27-27,,
9:07.0,Personal foul by C. Miles,,27-27,,
8:54.0,,,27-29,2,K. O'Quinn makes 2-pt shot from 1 ft (assist by S. Vujacic)
8:48.0,M. Turner makes 2-pt shot from 2 ft (assist by T. Lawson),2,29-29,,
8:40.0,,,29-29,,L. Galloway misses 2-pt shot from 18 ft
8:39.0,Defensive rebound by R. Stuckey,,29-29,,
8:35.0,Shooting foul by A. Afflalo (drawn by R. Stuckey),,29-29,,
8:35.0,R. Stuckey makes 2-pt shot from 5 ft,2,31-29,,
8:35.0,Official timeout,,31-29,,
8:35.0,,,31-29,,D. Williams enters the game for K. Seraphin
8:35.0,R. Stuckey makes free throw 1 of 1,1,32-29,,
8:22.0,,,32-29,,K. O'Quinn misses 2-pt shot from 17 ft
8:21.0,Defensive rebound by S. Hill,,32-29,,
8:09.0,M. Turner makes 2-pt shot from 16 ft (assist by T. Lawson),2,34-29,,
7:52.0,Personal foul by T. Lawson,,34-29,,
7:39.0,,,34-31,2,K. O'Quinn makes 2-pt shot at rim (assist by L. Galloway)
7:18.0,R. Stuckey makes 2-pt shot from 1 ft (assist by C. Miles),2,36-31,,
6:56.0,,,36-33,2,L. Galloway makes 2-pt shot from 3 ft
6:44.0,M. Turner makes 2-pt shot from 19 ft (assist by T. Lawson),2,38-33,,
6:22.0,,,38-33,,L. Galloway misses 2-pt shot from 21 ft
6:21.0,Defensive rebound by T. Lawson,,38-33,,
6:12.0,M. Turner misses 2-pt shot from 10 ft,,38-33,,
6:11.0,,,38-33,,Defensive rebound by A. Afflalo
6:04.0,,,38-33,,S. Vujacic misses 3-pt shot from 24 ft
6:03.0,Defensive rebound by T. Lawson,,38-33,,
5:54.0,C. Miles misses 3-pt shot from 23 ft,,38-33,,
5:53.0,,,38-33,,Defensive rebound by A. Afflalo
5:38.0,,,38-33,,New York full timeout
5:38.0,,,38-33,,R. Lopez enters the game for K. O'Quinn
5:35.0,,,38-35,2,R. Lopez makes 2-pt shot at rim (assist by S. Vujacic)
5:19.0,,,38-35,,Personal foul by L. Galloway
5:10.0,C. Miles misses 3-pt shot from 24 ft,,38-35,,
5:09.0,Offensive rebound by R. Stuckey,,38-35,,
5:04.0,,,38-35,,Violation by R. Lopez (def goaltending)
5:04.0,R. Stuckey makes 2-pt shot from 2 ft,2,40-35,,
4:48.0,,,40-35,,Turnover by D. Williams (lost ball; steal by T. Lawson)
4:42.0,T. Lawson misses 2-pt shot from 14 ft,,40-35,,
4:41.0,,,40-35,,Defensive rebound by R. Lopez
4:18.0,,,40-35,,R. Lopez misses 2-pt shot from 7 ft
4:17.0,Defensive rebound by S. Hill,,40-35,,
4:11.0,S. Hill makes 2-pt shot at rim,2,42-35,,
3:54.0,,,42-37,2,A. Afflalo makes 2-pt shot from 18 ft
3:40.0,C. Miles makes 2-pt shot from 2 ft,2,44-37,,
3:32.0,,,44-37,,New York full timeout
3:32.0,,,44-37,,J. Grant enters the game for S. Vujacic
3:32.0,M. Ellis enters the game for T. Lawson,,44-37,,
3:32.0,G. Hill enters the game for R. Stuckey,,44-37,,
3:32.0,,,44-37,,C. Early enters the game for L. Galloway
3:24.0,,,44-37,,A. Afflalo misses 3-pt shot from 24 ft
3:23.0,,,44-37,,Offensive rebound by R. Lopez
3:23.0,,,44-37,,R. Lopez misses 2-pt shot from 1 ft
3:22.0,,,44-37,,Offensive rebound by A. Afflalo
3:16.0,,,44-37,,A. Afflalo misses 2-pt shot from 1 ft
3:15.0,,,44-37,,Offensive rebound by R. Lopez
3:13.0,,,44-37,,R. Lopez misses 2-pt shot from 2 ft
3:12.0,,,44-37,,Offensive rebound by A. Afflalo
3:08.0,,,44-37,,Offensive foul by R. Lopez
3:08.0,,,44-37,,Turnover by R. Lopez (offensive foul)
2:57.0,M. Turner misses 2-pt shot from 17 ft,,44-37,,
2:56.0,Offensive rebound by G. Hill,,44-37,,
2:45.0,M. Turner misses 2-pt shot from 6 ft,,44-37,,
2:44.0,,,44-37,,Defensive rebound by A. Afflalo
2:35.0,,,44-37,,J. Grant misses 2-pt shot from 2 ft
2:34.0,Defensive rebound by M. Turner,,44-37,,
2:30.0,Turnover by S. Hill (bad pass),,44-37,,
2:30.0,Indiana full timeout,,44-37,,
2:30.0,I. Mahinmi enters the game for C. Miles,,44-37,,
2:30.0,P. George enters the game for M. Turner,,44-37,,
2:10.0,,,44-37,,Turnover by C. Early (lost ball; steal by S. Hill)
2:04.0,S. Hill makes 2-pt shot at rim,2,46-37,,
1:51.0,,,46-37,,J. Grant misses 2-pt shot from 1 ft
1:50.0,,,46-37,,Offensive rebound by R. Lopez
1:50.0,,,46-37,,R. Lopez misses 2-pt shot at rim
1:49.0,,,46-37,,Offensive rebound by R. Lopez
1:49.0,,,46-39,2,R. Lopez makes 2-pt shot at rim
1:26.0,G. Hill makes 3-pt shot from 23 ft (assist by M. Ellis),3,49-39,,
1:06.0,,,49-39,,C. Early misses 2-pt shot from 22 ft
1:05.0,Defensive rebound by G. Hill,,49-39,,
1:00.0,S. Hill misses 2-pt shot from 2 ft (block by C. Early),,49-39,,
0:59.0,,,49-39,,Defensive rebound by C. Early
0:54.0,,,49-41,2,D. Williams makes 2-pt shot from 1 ft (assist by A. Afflalo)
0:48.0,,,49-41,,Personal foul by A. Afflalo
0:40.0,G. Hill makes 2-pt shot from 19 ft,2,51-41,,
0:40.0,Shooting foul by J. Grant (drawn by G. Hill),,51-41,,
0:40.0,G. Hill makes free throw 1 of 1,1,52-41,,
0:27.0,,,52-41,,D. Williams misses 2-pt shot from 1 ft
0:26.0,Defensive rebound by P. George,,52-41,,
0:20.0,Indiana full timeout,,52-41,,
0:20.0,,,52-41,,K. Seraphin enters the game for R. Lopez
0:20.0,C. Miles enters the game for S. Hill,,52-41,,
0:06.0,,,52-41,,Personal foul by K. Seraphin
0:06.0,P. George makes free throw 1 of 2,1,53-41,,
0:06.0,S. Hill enters the game for C. Miles,,53-41,,
0:06.0,,,53-41,,L. Galloway enters the game for C. Early
0:06.0,P. George makes free throw 2 of 2,1,54-41,,
0:03.0,,,54-41,,D. Williams misses 2-pt shot from 1 ft
0:02.0,Defensive rebound by S. Hill,,54-41,,
0:00.0,S. Hill misses 3-pt shot from 61 ft,,54-41,,
0:00.0,Offensive rebound by Team,,54-41,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,Shooting foul by C. Early (drawn by P. George),,54-41,,
11:42.0,P. George makes free throw 1 of 2,1,55-41,,
11:42.0,P. George makes free throw 2 of 2,1,56-41,,
11:24.0,,,56-43,2,D. Williams makes 2-pt shot from 17 ft (assist by S. Vujacic)
10:56.0,G. Hill misses 3-pt shot from 25 ft,,56-43,,
10:55.0,,,56-43,,Defensive rebound by D. Williams
10:41.0,,,56-43,,D. Williams misses 2-pt shot from 20 ft
10:40.0,Defensive rebound by P. George,,56-43,,
10:32.0,,,56-43,,Personal block foul by C. Early
10:25.0,M. Ellis misses 2-pt shot from 19 ft,,56-43,,
10:24.0,,,56-43,,Defensive rebound by J. Grant
10:12.0,,,56-43,,Turnover by Team (turnover)
10:01.0,M. Ellis misses 2-pt shot from 2 ft,,56-43,,
10:00.0,,,56-43,,Defensive rebound by Team
9:53.0,Personal foul by M. Ellis,,56-43,,
9:37.0,,,56-43,,C. Early misses 2-pt shot from 16 ft
9:36.0,Defensive rebound by G. Hill,,56-43,,
9:22.0,P. George makes 3-pt shot from 22 ft (assist by I. Mahinmi),3,59-43,,
9:04.0,Personal foul by G. Hill,,59-43,,
8:56.0,,,59-46,3,S. Vujacic makes 3-pt shot from 25 ft (assist by C. Early)
8:42.0,Turnover by I. Mahinmi (step out of bounds),,59-46,,
8:36.0,,,59-46,,C. Early misses 2-pt shot from 21 ft
8:35.0,Defensive rebound by M. Ellis,,59-46,,
8:19.0,P. George makes 2-pt shot from 16 ft,2,61-46,,
8:03.0,,,61-46,,Shooting foul by I. Mahinmi (drawn by C. Early)
8:03.0,,,61-47,1,C. Early makes free throw 1 of 2
8:03.0,,,61-47,,L. Galloway enters the game for J. Grant
8:03.0,,,61-48,1,C. Early makes free throw 2 of 2
7:50.0,P. George makes 3-pt shot from 23 ft (assist by M. Ellis),3,64-48,,
7:32.0,,,64-50,2,R. Lopez makes 2-pt shot at rim (assist by L. Galloway)
7:16.0,Turnover by P. George (bad pass),,64-50,,
7:16.0,,,64-50,,A. Afflalo enters the game for C. Early
7:03.0,,,64-50,,New York full timeout
6:55.0,,,64-50,,Turnover by S. Vujacic (lost ball)
6:34.0,P. George makes 2-pt shot from 1 ft,2,66-50,,
6:18.0,,,66-50,,A. Afflalo misses 2-pt shot from 23 ft
6:17.0,Defensive rebound by G. Hill,,66-50,,
6:04.0,G. Hill misses 3-pt shot from 26 ft,,66-50,,
6:03.0,,,66-50,,Defensive rebound by D. Williams
5:56.0,,,66-50,,D. Williams misses 2-pt shot from 3 ft (block by I. Mahinmi)
5:55.0,Defensive rebound by L. Allen,,66-50,,
5:50.0,G. Hill misses 2-pt shot at rim (block by R. Lopez),,66-50,,
5:49.0,Offensive rebound by I. Mahinmi,,66-50,,
5:48.0,I. Mahinmi makes 2-pt shot from 2 ft,2,68-50,,
5:29.0,,,68-53,3,S. Vujacic makes 3-pt shot from 24 ft (assist by R. Lopez)
5:20.0,Offensive foul by I. Mahinmi,,68-53,,
5:20.0,Turnover by I. Mahinmi (offensive foul),,68-53,,
5:20.0,,,68-53,,K. Seraphin enters the game for D. Williams
5:20.0,,,68-53,,J. Grant enters the game for S. Vujacic
5:20.0,M. Turner enters the game for L. Allen,,68-53,,
5:11.0,,,68-53,,L. Galloway misses 2-pt shot from 2 ft
5:10.0,,,68-53,,Offensive rebound by R. Lopez
5:10.0,,,68-53,,R. Lopez misses 2-pt shot from 2 ft
5:09.0,,,68-53,,Offensive rebound by R. Lopez
5:09.0,,,68-53,,R. Lopez misses 2-pt shot from 2 ft
5:08.0,Defensive rebound by I. Mahinmi,,68-53,,
4:50.0,G. Hill misses 3-pt shot from 25 ft,,68-53,,
4:49.0,,,68-53,,Defensive rebound by A. Afflalo
4:44.0,,,68-53,,J. Grant misses 2-pt shot from 2 ft (block by M. Turner)
4:43.0,,,68-53,,Offensive rebound by L. Galloway
4:42.0,,,68-55,2,L. Galloway makes 2-pt shot from 1 ft
4:33.0,P. George misses 3-pt shot from 24 ft,,68-55,,
4:32.0,,,68-55,,Defensive rebound by K. Seraphin
4:24.0,,,68-55,,K. Seraphin misses 2-pt shot from 10 ft
4:23.0,Defensive rebound by G. Hill,,68-55,,
4:15.0,P. George misses 3-pt shot from 25 ft,,68-55,,
4:14.0,,,68-55,,Defensive rebound by R. Lopez
3:52.0,,,68-55,,R. Lopez misses 2-pt shot from 14 ft
3:51.0,Defensive rebound by P. George,,68-55,,
3:46.0,Indiana full timeout,,68-55,,
3:46.0,C. Miles enters the game for P. George,,68-55,,
3:35.0,M. Ellis misses 2-pt shot from 18 ft,,68-55,,
3:34.0,,,68-55,,Defensive rebound by K. Seraphin
3:19.0,,,68-55,,L. Galloway misses 3-pt shot from 25 ft
3:18.0,,,68-55,,Offensive rebound by R. Lopez
3:18.0,,,68-57,2,R. Lopez makes 2-pt shot from 1 ft
3:02.0,Turnover by I. Mahinmi (bad pass),,68-57,,
2:46.0,,,68-59,2,K. Seraphin makes 2-pt shot from 7 ft
2:30.0,I. Mahinmi makes 2-pt shot from 4 ft (assist by M. Turner),2,70-59,,
2:12.0,,,70-61,2,R. Lopez makes 2-pt shot from 7 ft (assist by A. Afflalo)
1:45.0,Turnover by I. Mahinmi (lost ball; steal by L. Galloway),,70-61,,
1:40.0,Violation by M. Turner (def goaltending),,70-61,,
1:40.0,,,70-63,2,L. Galloway makes 2-pt shot from 2 ft
1:30.0,,,70-63,,Personal foul by A. Afflalo
1:30.0,T. Lawson enters the game for G. Hill,,70-63,,
1:30.0,R. Stuckey enters the game for M. Ellis,,70-63,,
1:30.0,,,70-63,,K. O'Quinn enters the game for R. Lopez
1:20.0,C. Miles misses 3-pt shot from 24 ft,,70-63,,
1:19.0,,,70-63,,Defensive rebound by K. Seraphin
0:59.0,,,70-63,,Shooting foul by C. Miles (drawn by L. Galloway)
0:59.0,,,70-64,1,L. Galloway makes free throw 1 of 3
0:59.0,,,70-64,,L. Galloway misses free throw 2 of 3
0:59.0,,,70-64,,Offensive rebound by Team
0:59.0,S. Hill enters the game for I. Mahinmi,,70-64,,
0:59.0,,,70-65,1,L. Galloway makes free throw 3 of 3
0:44.0,Turnover by R. Stuckey (lost ball; steal by A. Afflalo),,70-65,,
0:39.0,,,70-65,,L. Galloway misses 3-pt shot from 22 ft
0:38.0,Defensive rebound by C. Miles,,70-65,,
0:36.0,,,70-65,,Personal foul by J. Grant
0:36.0,R. Stuckey makes free throw 1 of 2,1,71-65,,
0:36.0,,,71-65,,D. Williams enters the game for K. Seraphin
0:36.0,R. Stuckey makes free throw 2 of 2,1,72-65,,
0:20.0,,,72-65,,K. O'Quinn misses 2-pt shot from 16 ft
0:19.0,Defensive rebound by C. Miles,,72-65,,
0:03.0,T. Lawson misses 2-pt shot from 16 ft (block by A. Afflalo),,72-65,,
0:02.0,Offensive rebound by T. Lawson,,72-65,,
0:00.0,T. Lawson makes 2-pt shot from 13 ft,2,74-65,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:49.0,,,74-67,2,A. Afflalo makes 2-pt shot from 8 ft
11:35.0,C. Miles makes 3-pt shot from 25 ft (assist by R. Stuckey),3,77-67,,
11:22.0,,,77-69,2,A. Afflalo makes 2-pt shot from 15 ft
11:22.0,,,77-69,,Shooting foul by C. Miles (drawn by A. Afflalo)
11:22.0,,,77-70,1,A. Afflalo makes free throw 1 of 1
11:08.0,T. Lawson misses 2-pt shot from 12 ft,,77-70,,
11:07.0,,,77-70,,Defensive rebound by L. Galloway
10:46.0,,,77-70,,A. Afflalo misses 2-pt shot from 15 ft
10:45.0,,,77-70,,Offensive rebound by K. O'Quinn
10:42.0,,,77-70,,Shooting foul by M. Turner (drawn by A. Afflalo)
10:42.0,,,77-71,1,A. Afflalo makes free throw 1 of 2
10:42.0,,,77-72,1,A. Afflalo makes free throw 2 of 2
10:23.0,R. Stuckey misses 2-pt shot from 2 ft,,77-72,,
10:22.0,,,77-72,,Defensive rebound by K. Seraphin
10:09.0,,,77-72,,J. Grant misses 3-pt shot from 24 ft
10:08.0,Defensive rebound by C. Miles,,77-72,,
10:03.0,Turnover by S. Hill (bad pass),,77-72,,
9:40.0,,,77-72,,K. Seraphin misses 2-pt shot from 10 ft
9:39.0,Defensive rebound by M. Turner,,77-72,,
9:26.0,S. Hill misses 2-pt shot from 19 ft,,77-72,,
9:25.0,,,77-72,,Defensive rebound by K. Seraphin
9:15.0,Personal foul by T. Lawson,,77-72,,
9:05.0,,,77-72,,Shooting foul by R. Stuckey (drawn by L. Galloway)
9:05.0,,,77-72,,L. Galloway misses free throw 1 of 2
9:05.0,,,77-72,,Offensive rebound by Team
9:05.0,,,77-72,,L. Galloway misses free throw 2 of 2
9:04.0,Defensive rebound by M. Turner,,77-72,,
8:50.0,C. Miles misses 2-pt shot from 20 ft,,77-72,,
8:49.0,,,77-72,,Defensive rebound by K. O'Quinn
8:34.0,,,77-72,,J. Grant misses 2-pt shot from 1 ft
8:33.0,Defensive rebound by R. Stuckey,,77-72,,
8:29.0,R. Stuckey misses 2-pt shot from 2 ft,,77-72,,
8:28.0,,,77-72,,Defensive rebound by A. Afflalo
8:21.0,,,77-72,,J. Grant misses 3-pt shot from 25 ft
8:20.0,Defensive rebound by T. Lawson,,77-72,,
8:09.0,T. Lawson misses 3-pt shot from 24 ft,,77-72,,
8:08.0,,,77-72,,Defensive rebound by K. O'Quinn
8:02.0,,,77-72,,New York full timeout
8:02.0,,,77-72,,R. Lopez enters the game for J. Grant
8:02.0,,,77-72,,S. Vujacic enters the game for K. O'Quinn
7:54.0,,,77-74,2,S. Vujacic makes 2-pt shot from 12 ft (assist by R. Lopez)
7:29.0,R. Stuckey makes 2-pt shot from 15 ft,2,79-74,,
7:08.0,,,79-74,,Turnover by A. Afflalo (traveling)
7:08.0,I. Mahinmi enters the game for S. Hill,,79-74,,
6:52.0,,,79-74,,Personal foul by S. Vujacic
6:44.0,Turnover by M. Turner (bad pass),,79-74,,
6:33.0,,,79-76,2,A. Afflalo makes 2-pt shot from 14 ft (assist by L. Galloway)
6:22.0,Shooting foul by K. Seraphin (drawn by R. Stuckey),,79-76,,
6:22.0,R. Stuckey makes free throw 1 of 2,1,80-76,,
6:22.0,P. George enters the game for C. Miles,,80-76,,
6:22.0,M. Ellis enters the game for T. Lawson,,80-76,,
6:22.0,R. Stuckey makes free throw 2 of 2,1,81-76,,
6:03.0,,,81-78,2,A. Afflalo makes 2-pt shot from 11 ft
5:37.0,M. Ellis makes 3-pt shot from 23 ft (assist by I. Mahinmi),3,84-78,,
5:19.0,,,84-78,,L. Galloway misses 3-pt shot from 24 ft
5:18.0,Defensive rebound by P. George,,84-78,,
5:09.0,M. Ellis misses 2-pt shot from 20 ft,,84-78,,
5:08.0,,,84-78,,Defensive rebound by Team
5:08.0,Official timeout,,84-78,,
5:08.0,L. Allen enters the game for M. Turner,,84-78,,
5:08.0,G. Hill enters the game for R. Stuckey,,84-78,,
4:55.0,,,84-81,3,S. Vujacic makes 3-pt shot from 25 ft
4:29.0,P. George misses 2-pt shot from 6 ft (block by R. Lopez),,84-81,,
4:28.0,Offensive rebound by Team,,84-81,,
4:28.0,Turnover by Team (shot clock),,84-81,,
4:12.0,,,84-81,,K. Seraphin misses 2-pt shot from 9 ft
4:11.0,Defensive rebound by M. Ellis,,84-81,,
4:04.0,M. Ellis misses 2-pt shot from 9 ft,,84-81,,
4:03.0,,,84-81,,Defensive rebound by K. Seraphin
3:48.0,,,84-81,,Offensive foul by K. Seraphin
3:48.0,,,84-81,,Turnover by K. Seraphin (offensive foul)
3:48.0,M. Turner enters the game for L. Allen,,84-81,,
3:29.0,Turnover by P. George (lost ball; steal by L. Galloway),,84-81,,
3:29.0,Jump ball: P. George vs. S. Vujacic,,,,Jump ball: P. George vs. S. Vujacic
3:13.0,,,84-83,2,K. Seraphin makes 2-pt shot from 10 ft (assist by L. Galloway)
2:50.0,Shooting foul by R. Lopez (drawn by I. Mahinmi),,84-83,,
2:50.0,Indiana full timeout,,84-83,,
2:50.0,I. Mahinmi misses free throw 1 of 2,,84-83,,
