time,Phoenix,pts.away,score,pts.home,Minnesota
3:34.0,B. Knight misses 3-pt shot from 24 ft,,16-18,,
3:33.0,Offensive rebound by Team,,16-18,,
3:33.0,,,16-18,,Loose ball foul by N. Bjelica (drawn by T. Chandler)
3:33.0,S. Weems enters the game for D. Booker,,16-18,,
3:29.0,Shooting foul by N. Bjelica (drawn by T. Chandler),,16-18,,
3:29.0,T. Chandler misses free throw 1 of 2,,16-18,,
3:29.0,Offensive rebound by Team,,16-18,,
3:29.0,,,16-18,,G. Dieng enters the game for N. Bjelica
3:29.0,T. Chandler misses free throw 2 of 2,,16-18,,
3:29.0,,,16-18,,Defensive rebound by K. Towns
3:05.0,,,16-20,2,G. Dieng makes 2-pt shot from 12 ft (assist by K. Towns)
2:51.0,M. Morris misses 2-pt shot from 1 ft,,16-20,,
2:50.0,,,16-20,,Defensive rebound by K. Towns
2:43.0,,,16-20,,Turnover by G. Dieng (bad pass; steal by M. Morris)
2:38.0,M. Morris makes 2-pt shot from 2 ft,2,18-20,,
2:24.0,,,18-20,,Shooting foul by T. Warren (drawn by S. Muhammad)
2:24.0,,,18-20,,Minnesota full timeout
2:24.0,,,18-20,,N. Pekovic enters the game for K. Towns
2:24.0,J. Leuer enters the game for T. Chandler,,18-20,,
2:24.0,,,18-20,,S. Muhammad misses free throw 1 of 2
2:24.0,,,18-20,,Offensive rebound by Team
2:24.0,,,18-20,,S. Muhammad misses free throw 2 of 2
2:23.0,,,18-20,,Offensive rebound by G. Dieng
2:06.0,,,18-20,,Z. LaVine misses 2-pt shot from 20 ft
2:05.0,Defensive rebound by J. Leuer,,18-20,,
1:51.0,M. Morris misses 3-pt shot from 24 ft,,18-20,,
1:50.0,,,18-20,,Defensive rebound by A. Wiggins
1:31.0,,,18-20,,Turnover by G. Dieng (lost ball; steal by S. Weems)
1:26.0,Turnover by S. Weems (lost ball; steal by Z. LaVine),,18-20,,
1:21.0,,,18-22,2,A. Wiggins makes 2-pt shot at rim (assist by G. Dieng)
1:01.0,T. Warren makes 2-pt shot from 1 ft (assist by S. Weems),2,20-22,,
0:43.0,,,20-22,,Turnover by S. Muhammad (lost ball; steal by M. Morris)
0:21.0,Turnover by B. Knight (lost ball; steal by Z. LaVine),,20-22,,
0:17.0,,,20-22,,Shooting foul by M. Morris (drawn by Z. LaVine)
0:17.0,,,20-23,1,Z. LaVine makes free throw 1 of 2
0:17.0,,,20-23,,T. Prince enters the game for A. Wiggins
0:17.0,,,20-24,1,Z. LaVine makes free throw 2 of 2
0:01.0,B. Knight makes 3-pt shot from 26 ft (assist by M. Morris),3,23-24,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,,,23-24,,N. Pekovic misses 2-pt shot from 3 ft
11:45.0,Defensive rebound by Team,,23-24,,
11:45.0,,,23-24,,Loose ball foul by G. Dieng (drawn by J. Leuer)
11:34.0,J. Leuer misses 3-pt shot from 24 ft,,23-24,,
11:33.0,,,23-24,,Defensive rebound by G. Dieng
11:18.0,,,23-24,,S. Muhammad misses 2-pt shot from 1 ft (block by T. Warren)
11:17.0,,,23-24,,Offensive rebound by S. Muhammad
11:16.0,,,23-26,2,S. Muhammad makes 2-pt shot from 1 ft
11:02.0,M. Teletovic makes 2-pt shot from 1 ft (assist by B. Knight),2,25-26,,
10:37.0,,,25-29,3,Z. LaVine makes 3-pt shot from 24 ft
10:25.0,M. Teletovic misses 2-pt shot from 6 ft,,25-29,,
10:23.0,Offensive rebound by T. Warren,,25-29,,
10:23.0,T. Warren makes 2-pt shot at rim,2,27-29,,
10:09.0,,,27-31,2,N. Pekovic makes 2-pt shot at rim (assist by T. Prince)
9:56.0,M. Teletovic misses 3-pt shot from 24 ft,,27-31,,
9:55.0,,,27-31,,Defensive rebound by S. Muhammad
9:42.0,,,27-31,,Shooting foul by J. Leuer (drawn by N. Pekovic)
9:42.0,,,27-31,,N. Pekovic misses free throw 1 of 2
9:42.0,,,27-31,,Offensive rebound by Team
9:42.0,,,27-31,,K. Martin enters the game for G. Dieng
9:42.0,,,27-32,1,N. Pekovic makes free throw 2 of 2
9:29.0,J. Leuer makes 2-pt shot from 5 ft,2,29-32,,
9:11.0,,,29-34,2,T. Prince makes 2-pt shot from 5 ft (assist by K. Martin)
9:01.0,B. Knight makes 2-pt shot from 18 ft,2,31-34,,
8:47.0,,,31-37,3,K. Martin makes 3-pt shot from 24 ft (assist by T. Prince)
8:36.0,J. Leuer misses 3-pt shot from 25 ft,,31-37,,
8:34.0,,,31-37,,Defensive rebound by T. Prince
8:22.0,,,31-37,,Shooting foul by J. Leuer (drawn by N. Pekovic)
8:22.0,,,31-37,,Minnesota full timeout
8:22.0,D. Booker enters the game for T. Warren,,31-37,,
8:22.0,P. Tucker enters the game for S. Weems,,31-37,,
8:22.0,T. Chandler enters the game for J. Leuer,,31-37,,
8:22.0,,,31-37,,N. Pekovic misses free throw 1 of 2
8:22.0,,,31-37,,Offensive rebound by Team
8:22.0,,,31-38,1,N. Pekovic makes free throw 2 of 2
8:09.0,B. Knight makes 3-pt shot from 25 ft (assist by M. Teletovic),3,34-38,,
7:53.0,,,34-38,,K. Martin misses 3-pt shot from 24 ft
7:51.0,Defensive rebound by M. Teletovic,,34-38,,
7:41.0,B. Knight makes 2-pt shot from 3 ft,2,36-38,,
7:28.0,Personal foul by D. Booker (drawn by K. Martin),,36-38,,
7:28.0,,,36-38,,K. Towns enters the game for N. Pekovic
7:28.0,,,36-38,,A. Wiggins enters the game for S. Muhammad
7:17.0,,,36-38,,K. Towns misses 2-pt shot from 18 ft
7:15.0,Defensive rebound by P. Tucker,,36-38,,
7:08.0,M. Teletovic misses 3-pt shot from 24 ft,,36-38,,
7:07.0,Offensive rebound by T. Chandler,,36-38,,
7:01.0,M. Teletovic misses 2-pt shot from 9 ft,,36-38,,
7:00.0,,,36-38,,Defensive rebound by T. Prince
6:45.0,,,36-40,2,A. Wiggins makes 2-pt shot from 9 ft
6:35.0,,,36-40,,Personal foul by Z. LaVine (drawn by B. Knight)
6:35.0,,,36-40,,R. Rubio enters the game for Z. LaVine
6:35.0,L. Brown enters the game for B. Knight,,36-40,,
6:29.0,L. Brown misses 2-pt shot from 17 ft,,36-40,,
6:26.0,Offensive rebound by Team,,36-40,,
6:11.0,L. Brown makes 2-pt shot from 12 ft,2,38-40,,
5:55.0,,,38-40,,Minnesota full timeout
5:55.0,M. Morris enters the game for M. Teletovic,,38-40,,
5:44.0,,,38-43,3,R. Rubio makes 3-pt shot from 23 ft (assist by A. Wiggins)
5:25.0,Shooting foul by T. Prince (drawn by M. Morris),,38-43,,
5:25.0,M. Morris makes free throw 1 of 2,1,39-43,,
5:25.0,,,39-43,,K. Garnett enters the game for T. Prince
5:25.0,M. Morris makes free throw 2 of 2,1,40-43,,
5:17.0,,,40-43,,Shooting foul by P. Tucker (drawn by A. Wiggins)
5:17.0,,,40-44,1,A. Wiggins makes free throw 1 of 2
5:17.0,,,40-45,1,A. Wiggins makes free throw 2 of 2
5:01.0,Turnover by M. Morris (bad pass; steal by K. Towns),,40-45,,
4:48.0,,,40-45,,K. Towns misses 2-pt shot from 10 ft
4:46.0,,,40-45,,Offensive rebound by K. Garnett
4:46.0,,,40-45,,K. Garnett misses 2-pt shot at rim
4:45.0,Defensive rebound by M. Morris,,40-45,,
4:32.0,L. Brown makes 2-pt shot from 1 ft (assist by P. Tucker),2,42-45,,
4:19.0,,,42-47,2,K. Martin makes 2-pt shot from 2 ft (assist by K. Garnett)
4:03.0,Offensive foul by L. Brown,,42-47,,
4:03.0,Turnover by L. Brown (offensive foul),,42-47,,
3:40.0,,,42-47,,Minnesota full timeout
3:40.0,B. Knight enters the game for L. Brown,,42-47,,
3:39.0,,,42-47,,Turnover by Team (shot clock)
3:22.0,P. Tucker misses 2-pt shot from 2 ft,,42-47,,
3:20.0,Offensive rebound by P. Tucker,,42-47,,
3:19.0,P. Tucker misses 2-pt shot from 3 ft (block by K. Towns),,42-47,,
3:18.0,Offensive rebound by P. Tucker,,42-47,,
3:17.0,P. Tucker misses 2-pt shot from 2 ft,,42-47,,
3:15.0,,,42-47,,Defensive rebound by K. Towns
3:04.0,,,42-49,2,K. Martin makes 2-pt shot from 6 ft
2:54.0,,,42-49,,Personal foul by K. Martin (drawn by D. Booker)
2:54.0,Phoenix full timeout,,42-49,,
2:50.0,,,42-49,,Violation by K. Garnett (def goaltending)
2:50.0,D. Booker makes 2-pt shot from 1 ft (assist by P. Tucker),2,44-49,,
2:29.0,,,44-49,,K. Garnett misses 2-pt shot from 20 ft
2:28.0,Defensive rebound by T. Chandler,,44-49,,
2:20.0,B. Knight makes 2-pt shot from 2 ft,2,46-49,,
2:04.0,,,46-51,2,K. Towns makes 2-pt shot from 20 ft
1:54.0,B. Knight misses 2-pt shot from 5 ft,,46-51,,
1:53.0,,,46-51,,Defensive rebound by Team
1:53.0,Loose ball foul by T. Chandler (drawn by R. Rubio),,46-51,,
1:53.0,,,46-52,1,R. Rubio makes free throw 1 of 2
1:53.0,,,46-52,,T. Prince enters the game for K. Martin
1:53.0,,,46-53,1,R. Rubio makes free throw 2 of 2
1:33.0,Turnover by B. Knight (bad pass; steal by K. Garnett),,46-53,,
1:24.0,,,46-56,3,R. Rubio makes 3-pt shot from 23 ft (assist by A. Wiggins)
1:04.0,D. Booker misses 2-pt shot from 17 ft,,46-56,,
1:03.0,,,46-56,,Defensive rebound by K. Garnett
1:00.0,,,46-56,,Turnover by R. Rubio (bad pass)
0:43.0,Turnover by B. Knight (bad pass; steal by R. Rubio),,46-56,,
0:40.0,Personal foul by B. Knight (drawn by K. Towns),,46-56,,
0:40.0,,,46-57,1,K. Towns makes free throw 1 of 2
0:40.0,,,46-58,1,K. Towns makes free throw 2 of 2
0:22.0,Shooting foul by A. Wiggins (drawn by M. Morris),,46-58,,
0:22.0,M. Morris misses free throw 1 of 2,,46-58,,
0:22.0,Offensive rebound by Team,,46-58,,
0:22.0,,,46-58,,K. Martin enters the game for T. Prince
0:22.0,,,46-58,,S. Muhammad enters the game for K. Garnett
0:22.0,S. Weems enters the game for T. Chandler,,46-58,,
0:22.0,M. Morris misses free throw 2 of 2,,46-58,,
0:20.0,Offensive rebound by Team,,46-58,,
0:19.0,M. Morris makes 2-pt shot at rim (assist by S. Weems),2,48-58,,
0:01.0,,,48-58,,S. Muhammad misses 3-pt shot from 23 ft
0:00.0,,,48-58,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,,,48-60,2,R. Rubio makes 2-pt shot from 20 ft (assist by K. Garnett)
11:21.0,M. Morris misses 2-pt shot from 17 ft,,48-60,,
11:19.0,Offensive rebound by T. Chandler,,48-60,,
11:16.0,B. Knight misses 2-pt shot from 4 ft,,48-60,,
11:15.0,,,48-60,,Defensive rebound by K. Towns
11:09.0,,,48-60,,R. Rubio misses 2-pt shot at rim
11:08.0,Defensive rebound by T. Chandler,,48-60,,
11:02.0,,,48-60,,Personal foul by R. Rubio (drawn by T. Chandler)
10:56.0,Turnover by B. Knight (bad pass; steal by K. Garnett),,48-60,,
10:43.0,,,48-62,2,T. Prince makes 2-pt shot at rim
10:22.0,B. Knight misses 2-pt shot from 2 ft,,48-62,,
10:20.0,Offensive rebound by T. Chandler,,48-62,,
10:20.0,T. Chandler makes 2-pt shot from 1 ft,2,50-62,,
10:01.0,,,50-62,,A. Wiggins misses 2-pt shot from 15 ft
10:00.0,,,50-62,,Offensive rebound by K. Towns
9:59.0,,,50-64,2,K. Towns makes 2-pt shot from 1 ft
9:41.0,T. Chandler makes 2-pt shot from 2 ft,2,52-64,,
9:26.0,,,52-64,,R. Rubio misses 3-pt shot from 25 ft
9:25.0,Defensive rebound by P. Tucker,,52-64,,
9:07.0,Shooting foul by K. Towns (drawn by P. Tucker),,52-64,,
9:07.0,P. Tucker misses free throw 1 of 2,,52-64,,
9:07.0,Offensive rebound by Team,,52-64,,
9:07.0,P. Tucker makes free throw 2 of 2,1,53-64,,
8:58.0,,,53-64,,Turnover by R. Rubio (bad pass)
8:44.0,,,53-64,,Personal foul by R. Rubio (drawn by B. Knight)
8:40.0,B. Knight misses 2-pt shot from 1 ft (block by K. Towns),,53-64,,
8:38.0,,,53-64,,Defensive rebound by Team
8:17.0,,,53-67,3,K. Towns makes 3-pt shot from 24 ft (assist by A. Wiggins)
7:53.0,M. Morris makes 2-pt shot at rim,2,55-67,,
7:53.0,Shooting foul by K. Garnett (drawn by M. Morris),,55-67,,
7:53.0,M. Morris makes free throw 1 of 1,1,56-67,,
7:43.0,,,56-67,,Turnover by A. Wiggins (lost ball; steal by P. Tucker)
7:39.0,D. Booker makes 2-pt shot at rim (assist by P. Tucker),2,58-67,,
7:39.0,,,58-67,,Minnesota full timeout
7:39.0,,,58-67,,N. Bjelica enters the game for K. Garnett
7:19.0,,,58-67,,Shooting foul by B. Knight (drawn by R. Rubio)
7:19.0,,,58-69,2,R. Rubio makes 2-pt shot from 1 ft
7:19.0,,,58-70,1,R. Rubio makes free throw 1 of 1
7:00.0,D. Booker misses 2-pt shot from 10 ft,,58-70,,
6:58.0,Offensive rebound by M. Morris,,58-70,,
6:55.0,B. Knight makes 2-pt shot from 9 ft (assist by M. Morris),2,60-70,,
6:39.0,,,60-72,2,A. Wiggins makes 2-pt shot from 1 ft (assist by R. Rubio)
6:18.0,Turnover by B. Knight (bad pass; steal by T. Prince),,60-72,,
6:12.0,,,60-74,2,R. Rubio makes 2-pt shot from 19 ft
5:56.0,Turnover by M. Morris (offensive foul),,60-74,,
5:56.0,Offensive foul by M. Morris,,60-74,,
5:56.0,J. Leuer enters the game for T. Chandler,,60-74,,
5:35.0,,,60-74,,R. Rubio misses 3-pt shot from 24 ft
5:34.0,Defensive rebound by J. Leuer,,60-74,,
5:28.0,,,60-74,,Shooting block foul by N. Bjelica (drawn by P. Tucker)
5:28.0,P. Tucker misses free throw 1 of 2,,60-74,,
5:28.0,Offensive rebound by Team,,60-74,,
5:28.0,P. Tucker makes free throw 2 of 2,1,61-74,,
5:16.0,,,61-74,,Offensive foul by K. Towns
5:16.0,T. Warren enters the game for D. Booker,,61-74,,
5:16.0,,,61-74,,Turnover by K. Towns (offensive foul)
4:59.0,B. Knight misses 2-pt shot from 22 ft,,61-74,,
4:57.0,,,61-74,,Defensive rebound by A. Wiggins
4:42.0,,,61-74,,K. Towns misses 2-pt shot from 1 ft
4:41.0,Defensive rebound by B. Knight,,61-74,,
4:31.0,M. Morris misses 3-pt shot from 24 ft,,61-74,,
4:30.0,,,61-74,,Defensive rebound by T. Prince
4:15.0,,,61-74,,A. Wiggins misses 3-pt shot from 24 ft
4:14.0,Defensive rebound by J. Leuer,,61-74,,
3:51.0,T. Warren misses 2-pt shot from 4 ft,,61-74,,
3:48.0,,,61-74,,Defensive rebound by K. Towns
3:31.0,,,61-74,,A. Wiggins misses 2-pt shot from 18 ft
3:30.0,Defensive rebound by M. Morris,,61-74,,
3:15.0,B. Knight makes 2-pt shot from 19 ft,2,63-74,,
3:02.0,Personal foul by P. Tucker (drawn by A. Wiggins),,63-74,,
3:02.0,,,63-74,,G. Dieng enters the game for K. Towns
3:02.0,,,63-74,,S. Muhammad enters the game for A. Wiggins
2:58.0,,,63-74,,Shooting foul by J. Leuer (drawn by G. Dieng)
2:58.0,Phoenix full timeout,,63-74,,
2:58.0,,,63-75,1,G. Dieng makes free throw 1 of 2
2:58.0,,,63-76,1,G. Dieng makes free throw 2 of 2
2:48.0,Shooting foul by N. Bjelica (drawn by J. Leuer),,63-76,,
2:48.0,J. Leuer misses free throw 1 of 2,,63-76,,
2:48.0,Offensive rebound by Team,,63-76,,
2:48.0,J. Leuer makes free throw 2 of 2,1,64-76,,
2:28.0,,,64-78,2,T. Prince makes 2-pt shot from 20 ft (assist by N. Bjelica)
2:15.0,B. Knight misses 2-pt shot from 22 ft,,64-78,,
2:15.0,,,64-78,,Defensive rebound by Team
2:15.0,,,64-78,,Z. LaVine enters the game for R. Rubio
2:03.0,,,64-78,,S. Muhammad misses 3-pt shot from 22 ft
2:01.0,Defensive rebound by M. Morris,,64-78,,
1:51.0,J. Leuer misses 2-pt shot from 13 ft,,64-78,,
1:50.0,Offensive rebound by T. Warren,,64-78,,
1:50.0,Shooting foul by S. Muhammad (drawn by T. Warren),,64-78,,
1:50.0,T. Warren misses free throw 1 of 2,,64-78,,
1:50.0,Offensive rebound by Team,,64-78,,
1:50.0,M. Teletovic enters the game for M. Morris,,64-78,,
1:50.0,T. Warren makes free throw 2 of 2,1,65-78,,
1:38.0,,,65-78,,S. Muhammad misses 2-pt shot from 2 ft (block by T. Warren)
1:37.0,Defensive rebound by B. Knight,,65-78,,
1:36.0,Turnover by B. Knight (bad pass; steal by G. Dieng),,65-78,,
1:35.0,,,65-80,2,G. Dieng makes 2-pt shot at rim
1:16.0,J. Leuer misses 2-pt shot from 16 ft,,65-80,,
1:15.0,,,65-80,,Defensive rebound by N. Bjelica
1:01.0,,,65-83,3,Z. LaVine makes 3-pt shot from 24 ft (assist by N. Bjelica)
0:43.0,J. Leuer makes 2-pt shot from 19 ft (assist by T. Warren),2,67-83,,
0:23.0,,,67-83,,G. Dieng misses 2-pt shot from 12 ft
0:22.0,Defensive rebound by P. Tucker,,67-83,,
0:04.0,B. Knight makes 2-pt shot from 1 ft,2,69-83,,
0:01.0,,,69-83,,Z. LaVine misses 3-pt shot from 33 ft
0:00.0,,,69-83,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:49.0,,,69-83,,Personal foul by K. Martin (drawn by T. Warren)
11:33.0,P. Tucker makes 2-pt shot from 21 ft,2,71-83,,
11:19.0,,,71-83,,Turnover by N. Bjelica (bad pass)
11:08.0,L. Brown misses 2-pt shot from 1 ft,,71-83,,
11:07.0,,,71-83,,Defensive rebound by G. Dieng
10:49.0,,,71-83,,G. Dieng misses 2-pt shot from 16 ft
10:47.0,Defensive rebound by J. Leuer,,71-83,,
10:30.0,Turnover by P. Tucker (bad pass),,71-83,,
10:14.0,,,71-86,3,N. Bjelica makes 3-pt shot from 27 ft
9:57.0,M. Teletovic misses 2-pt shot from 3 ft,,71-86,,
9:55.0,,,71-86,,Defensive rebound by S. Muhammad
9:50.0,,,71-86,,K. Martin misses 3-pt shot from 24 ft
9:49.0,,,71-86,,Offensive rebound by Z. LaVine
9:47.0,,,71-86,,Turnover by S. Muhammad (offensive goaltending)
9:28.0,P. Tucker misses 2-pt shot from 1 ft,,71-86,,
9:27.0,,,71-86,,Defensive rebound by Z. LaVine
9:22.0,,,71-88,2,S. Muhammad makes 2-pt shot at rim (assist by Z. LaVine)
9:22.0,,,71-88,,Shooting foul by T. Warren (drawn by S. Muhammad)
9:22.0,D. Booker enters the game for P. Tucker,,71-88,,
9:22.0,,,71-89,1,S. Muhammad makes free throw 1 of 1
9:04.0,D. Booker makes 2-pt shot from 1 ft (assist by M. Teletovic),2,73-89,,
8:51.0,,,73-91,2,G. Dieng makes 2-pt shot from 2 ft (assist by K. Martin)
8:51.0,,,73-91,,Shooting foul by D. Booker (drawn by G. Dieng)
8:51.0,,,73-91,,Minnesota full timeout
8:51.0,S. Weems enters the game for T. Warren,,73-91,,
8:51.0,M. Morris enters the game for J. Leuer,,73-91,,
8:51.0,B. Knight enters the game for L. Brown,,73-91,,
8:51.0,,,73-92,1,G. Dieng makes free throw 1 of 1
8:38.0,B. Knight misses 2-pt shot from 1 ft (block by G. Dieng),,73-92,,
8:36.0,,,73-92,,Defensive rebound by S. Muhammad
8:34.0,,,73-92,,Shooting foul by S. Weems (drawn by K. Martin)
8:34.0,,,73-93,1,K. Martin makes free throw 1 of 2
8:34.0,,,73-94,1,K. Martin makes free throw 2 of 2
8:12.0,M. Morris makes 2-pt shot from 19 ft,2,75-94,,
7:53.0,,,75-94,,Offensive foul by G. Dieng
7:53.0,,,75-94,,Turnover by G. Dieng (offensive foul)
7:38.0,Shooting foul by S. Muhammad (drawn by D. Booker),,75-94,,
7:38.0,D. Booker makes free throw 1 of 2,1,76-94,,
7:38.0,D. Booker misses free throw 2 of 2,,76-94,,
7:38.0,,,76-94,,Defensive rebound by G. Dieng
7:21.0,,,76-94,,Shooting foul by M. Teletovic (drawn by K. Martin)
7:21.0,,,76-95,1,K. Martin makes free throw 1 of 2
7:21.0,,,76-96,1,K. Martin makes free throw 2 of 2
7:06.0,S. Weems misses 2-pt shot from 15 ft,,76-96,,
7:05.0,,,76-96,,Defensive rebound by S. Muhammad
6:50.0,,,76-96,,Shooting foul by D. Booker (drawn by S. Muhammad)
6:50.0,,,76-96,,S. Muhammad misses free throw 1 of 2
6:50.0,,,76-96,,Offensive rebound by Team
6:50.0,,,76-97,1,S. Muhammad makes free throw 2 of 2
6:38.0,M. Teletovic misses 3-pt shot from 25 ft,,76-97,,
6:37.0,,,76-97,,Defensive rebound by S. Muhammad
6:17.0,,,76-97,,Shooting foul by M. Teletovic (drawn by N. Bjelica)
6:17.0,,,76-98,1,N. Bjelica makes free throw 1 of 2
6:17.0,,,76-99,1,N. Bjelica makes free throw 2 of 2
6:12.0,,,76-99,,Personal foul by S. Muhammad (drawn by D. Booker)
6:03.0,B. Knight misses 3-pt shot from 26 ft,,76-99,,
6:02.0,,,76-99,,Defensive rebound by S. Muhammad
5:47.0,,,76-99,,K. Martin misses 2-pt shot from 18 ft
5:46.0,,,76-99,,Offensive rebound by G. Dieng
5:35.0,,,76-101,2,G. Dieng makes 2-pt shot at rim (assist by Z. LaVine)
5:32.0,Phoenix full timeout,,76-101,,
5:32.0,A. Goodwin enters the game for D. Booker,,76-101,,
5:32.0,J. Leuer enters the game for M. Teletovic,,76-101,,
5:20.0,,,76-101,,Violation by G. Dieng (kicked ball)
5:13.0,B. Knight misses 3-pt shot from 25 ft,,76-101,,
5:12.0,,,76-101,,Defensive rebound by G. Dieng
5:00.0,,,76-103,2,S. Muhammad makes 2-pt shot from 2 ft (assist by N. Bjelica)
5:00.0,,,76-103,,Shooting foul by A. Goodwin (drawn by S. Muhammad)
5:00.0,,,76-104,1,S. Muhammad makes free throw 1 of 1
4:44.0,Shooting foul by K. Martin (drawn by A. Goodwin),,76-104,,
4:44.0,A. Goodwin misses free throw 1 of 2,,76-104,,
4:44.0,Offensive rebound by Team,,76-104,,
4:44.0,A. Goodwin makes free throw 2 of 2,1,77-104,,
4:26.0,,,77-104,,Shooting foul by B. Knight (drawn by G. Dieng)
4:26.0,,,77-105,1,G. Dieng makes free throw 1 of 2
4:26.0,,,77-105,,A. Miller enters the game for K. Martin
4:26.0,,,77-106,1,G. Dieng makes free throw 2 of 2
4:14.0,J. Leuer makes 2-pt shot from 4 ft (assist by S. Weems),2,79-106,,
