time,Dallas,pts.away,score,pts.home,Denver
6:06.0,,,6-9,,Defensive rebound by K. Faried
6:00.0,,,6-9,,Offensive foul by N. Jokic
6:00.0,,,6-9,,Turnover by N. Jokic (offensive foul)
5:52.0,W. Matthews misses 2-pt shot from 2 ft (block by E. Mudiay),,6-9,,
5:51.0,,,6-9,,Defensive rebound by E. Mudiay
5:50.0,Personal foul by W. Matthews (drawn by E. Mudiay),,6-9,,
5:32.0,,,6-11,2,K. Faried makes 2-pt shot from 10 ft
5:22.0,D. Lee makes 2-pt shot from 10 ft (assist by C. Parsons),2,8-11,,
5:07.0,,,8-11,,G. Harris misses 3-pt shot from 24 ft
5:06.0,Defensive rebound by D. Lee,,8-11,,
5:01.0,C. Parsons misses 3-pt shot from 24 ft,,8-11,,
4:59.0,,,8-11,,Defensive rebound by J. Sampson
4:51.0,,,8-13,2,K. Faried makes 2-pt shot at rim (assist by G. Harris)
4:32.0,C. Parsons misses 3-pt shot from 26 ft,,8-13,,
4:31.0,,,8-13,,Defensive rebound by N. Jokic
4:27.0,Personal foul by C. Parsons (drawn by K. Faried),,8-13,,
4:27.0,D. Harris enters the game for D. Williams,,8-13,,
4:27.0,C. Villanueva enters the game for C. Parsons,,8-13,,
4:17.0,,,8-13,,J. Sampson misses 2-pt shot from 1 ft (block by D. Lee)
4:13.0,Defensive rebound by D. Lee,,8-13,,
4:06.0,D. Lee makes 2-pt shot from 2 ft (assist by R. Felton),2,10-13,,
3:51.0,,,10-13,,J. Sampson misses 3-pt shot from 24 ft
3:50.0,Defensive rebound by C. Villanueva,,10-13,,
3:41.0,R. Felton misses 2-pt shot from 1 ft,,10-13,,
3:40.0,,,10-13,,Defensive rebound by N. Jokic
3:30.0,,,10-13,,G. Harris misses 2-pt shot from 22 ft
3:29.0,Defensive rebound by D. Lee,,10-13,,
3:04.0,C. Villanueva misses 3-pt shot from 25 ft,,10-13,,
3:04.0,,,10-13,,Defensive rebound by K. Faried
2:57.0,,,10-13,,N. Jokic misses 2-pt shot from 1 ft (block by C. Villanueva)
2:57.0,,,10-13,,Offensive rebound by Team
2:57.0,,,10-13,,Denver full timeout
2:57.0,D. Nowitzki enters the game for W. Matthews,,10-13,,
2:57.0,J. Barea enters the game for C. Villanueva,,10-13,,
2:57.0,,,10-13,,W. Barton enters the game for N. Jokic
2:57.0,,,10-13,,J. Lauvergne enters the game for J. Sampson
2:49.0,,,10-13,,E. Mudiay misses 2-pt shot from 20 ft
2:48.0,,,10-13,,Offensive rebound by Team
2:48.0,Loose ball foul by D. Lee (drawn by K. Faried),,10-13,,
2:48.0,,,10-13,,D. Augustin enters the game for E. Mudiay
2:48.0,,,10-13,,D. Arthur enters the game for K. Faried
2:35.0,,,10-15,2,G. Harris makes 2-pt shot from 10 ft (assist by D. Arthur)
2:22.0,Shooting foul by J. Lauvergne (drawn by D. Lee),,10-15,,
2:22.0,D. Lee makes free throw 1 of 2,1,11-15,,
2:22.0,D. Lee makes free throw 2 of 2,1,12-15,,
2:04.0,,,12-15,,J. Lauvergne misses 2-pt shot from 3 ft
2:01.0,,,12-15,,Offensive rebound by D. Arthur
2:01.0,,,12-15,,D. Arthur misses 2-pt shot from 2 ft
2:00.0,,,12-15,,Offensive rebound by J. Lauvergne
2:00.0,,,12-17,2,J. Lauvergne makes 2-pt shot at rim
1:48.0,,,12-17,,Personal foul by D. Arthur (drawn by D. Nowitzki)
1:35.0,Turnover by J. Barea (bad pass),,12-17,,
1:22.0,,,12-17,,W. Barton misses 2-pt shot from 18 ft
1:22.0,Defensive rebound by D. Lee,,12-17,,
1:14.0,D. Nowitzki makes 2-pt shot from 21 ft (assist by R. Felton),2,14-17,,
1:14.0,Shooting foul by D. Arthur (drawn by D. Nowitzki),,14-17,,
1:14.0,D. Nowitzki makes free throw 1 of 1,1,15-17,,
1:00.0,,,15-19,2,G. Harris makes 2-pt shot from 11 ft (assist by D. Augustin)
0:52.0,J. Barea misses 2-pt shot from 20 ft,,15-19,,
0:46.0,Offensive rebound by D. Lee,,15-19,,
0:46.0,D. Lee makes 2-pt shot from 2 ft,2,17-19,,
0:32.0,,,17-19,,Shooting foul by D. Nowitzki (drawn by D. Augustin)
0:32.0,,,17-19,,D. Augustin misses free throw 1 of 2
0:32.0,,,17-19,,Offensive rebound by Team
0:32.0,,,17-19,,M. Miller enters the game for D. Arthur
0:32.0,,,17-20,1,D. Augustin makes free throw 2 of 2
0:16.0,D. Nowitzki makes 2-pt shot from 18 ft,2,19-20,,
0:02.0,,,19-22,2,W. Barton makes 2-pt shot from 4 ft (assist by M. Miller)
0:00.0,J. Barea misses 3-pt shot from 29 ft,,19-22,,
0:00.0,Offensive rebound by Team,,19-22,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,D. Nowitzki misses 2-pt shot from 16 ft,,19-22,,
11:47.0,,,19-22,,Defensive rebound by W. Barton
11:26.0,,,19-22,,D. Augustin misses 2-pt shot from 4 ft (block by D. Harris)
11:25.0,,,19-22,,Offensive rebound by Team
11:18.0,,,19-24,2,W. Barton makes 2-pt shot from 13 ft (assist by A. Toupane)
11:00.0,Shooting foul by W. Barton (drawn by R. Felton),,19-24,,
11:00.0,R. Felton makes free throw 1 of 2,1,20-24,,
11:00.0,R. Felton misses free throw 2 of 2,,20-24,,
10:59.0,,,20-24,,Defensive rebound by J. Lauvergne
10:46.0,,,20-24,,A. Toupane misses 3-pt shot from 23 ft
10:45.0,,,20-24,,Offensive rebound by J. Lauvergne
10:41.0,,,20-24,,A. Toupane misses 2-pt shot from 1 ft
10:41.0,Defensive rebound by D. Nowitzki,,20-24,,
10:41.0,,,20-24,,Personal foul by A. Toupane (drawn by D. Harris)
10:34.0,D. Lee makes 2-pt shot at rim (assist by J. Barea),2,22-24,,
10:16.0,Def 3 sec tech foul by D. Harris,,22-24,,
10:16.0,,,22-25,1,W. Barton makes technical free throw
10:10.0,,,22-25,,D. Augustin misses 3-pt shot from 25 ft
10:09.0,Defensive rebound by D. Nowitzki,,22-25,,
9:58.0,J. Barea makes 2-pt shot from 3 ft,2,24-25,,
9:47.0,,,24-25,,D. Augustin misses 2-pt shot from 2 ft (block by D. Lee)
9:44.0,Defensive rebound by D. Nowitzki,,24-25,,
9:33.0,J. Barea makes 2-pt shot from 1 ft,2,26-25,,
9:33.0,,,26-25,,Denver full timeout
9:16.0,,,26-27,2,W. Barton makes 2-pt shot from 1 ft
9:04.0,Turnover by D. Nowitzki (bad pass; steal by M. Miller),,26-27,,
8:49.0,,,26-27,,Turnover by J. Lauvergne (3 sec)
8:49.0,C. Parsons enters the game for D. Nowitzki,,26-27,,
8:49.0,Z. Pachulia enters the game for R. Felton,,26-27,,
8:49.0,D. Williams enters the game for D. Lee,,26-27,,
8:49.0,W. Matthews enters the game for D. Harris,,26-27,,
8:33.0,Z. Pachulia makes 2-pt shot from 1 ft (assist by J. Barea),2,28-27,,
8:19.0,,,28-27,,W. Barton misses 2-pt shot from 4 ft
8:19.0,Defensive rebound by Team,,28-27,,
8:12.0,,,28-27,,Loose ball foul by W. Barton (drawn by Z. Pachulia)
8:12.0,,,28-27,,Personal foul by D. Augustin (drawn by D. Williams)
8:04.0,Z. Pachulia misses 2-pt shot from 14 ft,,28-27,,
8:03.0,,,28-27,,Defensive rebound by W. Barton
7:49.0,,,28-27,,D. Augustin misses 2-pt shot from 2 ft
7:48.0,Defensive rebound by Z. Pachulia,,28-27,,
7:35.0,J. Barea makes 2-pt shot from 6 ft,2,30-27,,
7:34.0,,,30-27,,Denver full timeout
7:34.0,,,30-27,,E. Mudiay enters the game for W. Barton
7:34.0,,,30-27,,G. Harris enters the game for D. Augustin
7:34.0,,,30-27,,Violation by Team (delay of game)
7:18.0,,,30-27,,Shooting foul by Z. Pachulia (drawn by E. Mudiay)
7:18.0,,,30-28,1,E. Mudiay makes free throw 1 of 2
7:18.0,,,30-28,,E. Mudiay misses free throw 2 of 2
7:17.0,Defensive rebound by Z. Pachulia,,30-28,,
7:03.0,Turnover by D. Williams (bad pass; steal by G. Harris),,30-28,,
7:00.0,Violation by C. Parsons (def goaltending),,30-28,,
7:00.0,,,30-30,2,G. Harris makes 2-pt shot from 2 ft
6:49.0,J. Barea misses 3-pt shot from 23 ft,,30-30,,
6:46.0,Offensive rebound by J. Barea,,30-30,,
6:40.0,C. Parsons makes 2-pt shot from 8 ft (assist by D. Williams),2,32-30,,
6:29.0,Personal foul by C. Parsons (drawn by J. Lauvergne),,32-30,,
6:21.0,,,32-33,3,M. Miller makes 3-pt shot from 27 ft (assist by E. Mudiay)
6:02.0,Shooting foul by J. Lauvergne (drawn by C. Parsons),,32-33,,
6:02.0,C. Parsons misses free throw 1 of 2,,32-33,,
6:02.0,Offensive rebound by Team,,32-33,,
6:02.0,,,32-33,,N. Jokic enters the game for J. Lauvergne
6:02.0,S. Mejri enters the game for Z. Pachulia,,32-33,,
6:02.0,C. Parsons misses free throw 2 of 2,,32-33,,
6:00.0,,,32-33,,Defensive rebound by A. Toupane
5:43.0,,,32-35,2,E. Mudiay makes 2-pt shot from 11 ft
5:37.0,Dallas full timeout,,32-35,,
5:22.0,D. Williams makes 2-pt shot from 4 ft,2,34-35,,
5:07.0,,,34-37,2,N. Jokic makes 2-pt shot from 2 ft (assist by M. Miller)
5:07.0,,,34-37,,Shooting foul by S. Mejri (drawn by N. Jokic)
5:07.0,,,34-38,1,N. Jokic makes free throw 1 of 1
4:54.0,C. Parsons misses 2-pt shot from 2 ft,,34-38,,
4:54.0,,,34-38,,Defensive rebound by N. Jokic
4:50.0,,,34-38,,Offensive charge foul by E. Mudiay
4:50.0,,,34-38,,Turnover by E. Mudiay (offensive foul)
4:50.0,D. Nowitzki enters the game for C. Parsons,,34-38,,
4:50.0,D. Lee enters the game for S. Mejri,,34-38,,
4:47.0,,,34-38,,Personal foul by M. Miller (drawn by D. Nowitzki)
4:47.0,D. Nowitzki makes free throw 1 of 2,1,35-38,,
4:47.0,,,35-38,,J. Sampson enters the game for A. Toupane
4:47.0,D. Nowitzki makes free throw 2 of 2,1,36-38,,
4:34.0,,,36-38,,Turnover by E. Mudiay (bad pass; steal by D. Williams)
4:12.0,J. Barea misses 2-pt shot from 7 ft,,36-38,,
4:09.0,Offensive rebound by D. Lee,,36-38,,
4:03.0,J. Barea makes 3-pt shot from 23 ft (assist by W. Matthews),3,39-38,,
3:52.0,,,39-38,,M. Miller misses 3-pt shot from 26 ft
3:51.0,Defensive rebound by Team,,39-38,,
3:51.0,,,39-38,,Loose ball foul by N. Jokic (drawn by D. Lee)
3:51.0,D. Lee makes free throw 1 of 2,1,40-38,,
3:51.0,,,40-38,,K. Faried enters the game for M. Miller
3:51.0,D. Lee makes free throw 2 of 2,1,41-38,,
3:45.0,,,41-38,,K. Faried misses 2-pt shot from 1 ft (block by D. Lee)
3:44.0,,,41-38,,Offensive rebound by K. Faried
3:43.0,,,41-38,,Shooting foul by D. Williams (drawn by K. Faried)
3:43.0,,,41-39,1,K. Faried makes free throw 1 of 2
3:43.0,,,41-40,1,K. Faried makes free throw 2 of 2
3:35.0,Shooting foul by J. Sampson (drawn by D. Williams),,41-40,,
3:35.0,D. Williams makes free throw 1 of 2,1,42-40,,
3:35.0,D. Williams makes free throw 2 of 2,1,43-40,,
3:26.0,,,43-40,,N. Jokic misses 2-pt shot from 5 ft
3:25.0,,,43-40,,Offensive rebound by N. Jokic
3:24.0,Flagrant foul type 1 by D. Nowitzki (drawn by N. Jokic),,43-40,,
3:24.0,,,43-41,1,N. Jokic makes flagrant free throw 1 of 2
3:24.0,,,43-42,1,N. Jokic makes flagrant free throw 2 of 2
3:19.0,Personal foul by D. Lee (drawn by N. Jokic),,43-42,,
3:19.0,,,43-43,1,N. Jokic makes free throw 1 of 2
3:19.0,,,43-44,1,N. Jokic makes free throw 2 of 2
3:05.0,Turnover by D. Williams (lost ball; steal by N. Jokic),,43-44,,
2:57.0,,,43-47,3,E. Mudiay makes 3-pt shot from 25 ft (assist by N. Jokic)
2:54.0,Dallas full timeout,,43-47,,
2:54.0,Official timeout,,43-47,,
2:54.0,C. Parsons enters the game for J. Barea,,43-47,,
2:38.0,,,43-47,,Violation by K. Faried (def goaltending)
2:38.0,C. Parsons makes 2-pt shot from 2 ft,2,45-47,,
2:15.0,,,45-49,2,K. Faried makes 2-pt shot at rim (assist by J. Sampson)
1:54.0,D. Nowitzki makes 3-pt shot from 26 ft (assist by D. Williams),3,48-49,,
1:35.0,,,48-49,,J. Sampson misses 2-pt shot from 2 ft (block by D. Nowitzki)
1:33.0,Defensive rebound by D. Lee,,48-49,,
1:31.0,Turnover by W. Matthews (step out of bounds),,48-49,,
1:31.0,Technical foul by W. Matthews,,48-49,,
1:31.0,,,48-50,1,G. Harris makes technical free throw
1:22.0,,,48-52,2,K. Faried makes 2-pt shot at rim (assist by E. Mudiay)
0:55.0,D. Lee misses 2-pt shot from 14 ft,,48-52,,
0:54.0,,,48-52,,Defensive rebound by G. Harris
0:46.0,,,48-52,,N. Jokic misses 2-pt shot from 3 ft
0:44.0,Defensive rebound by D. Lee,,48-52,,
0:38.0,W. Matthews misses 3-pt shot from 23 ft,,48-52,,
0:37.0,,,48-52,,Defensive rebound by N. Jokic
0:31.0,,,48-54,2,K. Faried makes 2-pt shot at rim (assist by E. Mudiay)
0:18.0,D. Nowitzki makes 2-pt shot from 19 ft (assist by D. Lee),2,50-54,,
0:01.0,,,50-57,3,E. Mudiay makes 3-pt shot from 25 ft
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:39.0,D. Nowitzki makes 3-pt shot from 23 ft (assist by W. Matthews),3,53-57,,
11:12.0,,,53-60,3,E. Mudiay makes 3-pt shot from 25 ft (assist by J. Sampson)
10:59.0,,,53-60,,Personal foul by E. Mudiay (drawn by D. Williams)
10:48.0,D. Williams misses 3-pt shot from 25 ft,,53-60,,
10:48.0,,,53-60,,Defensive rebound by K. Faried
10:43.0,Violation by D. Williams (kicked ball),,53-60,,
10:34.0,,,53-60,,N. Jokic misses 3-pt shot from 26 ft
10:34.0,,,53-60,,Offensive rebound by K. Faried
10:34.0,,,53-60,,K. Faried misses 2-pt shot from 2 ft
10:31.0,,,53-60,,Offensive rebound by K. Faried
10:31.0,,,53-62,2,K. Faried makes 2-pt shot from 1 ft
10:18.0,Z. Pachulia misses 2-pt shot from 2 ft (block by N. Jokic),,53-62,,
10:16.0,,,53-62,,Defensive rebound by N. Jokic
10:03.0,,,53-62,,Turnover by J. Sampson (traveling)
10:03.0,R. Felton enters the game for Z. Pachulia,,53-62,,
9:49.0,C. Parsons makes 2-pt shot at rim,2,55-62,,
9:38.0,,,55-62,,N. Jokic misses 3-pt shot from 25 ft
9:37.0,Defensive rebound by C. Parsons,,55-62,,
9:21.0,C. Parsons misses 2-pt shot from 13 ft,,55-62,,
9:20.0,,,55-62,,Defensive rebound by K. Faried
9:04.0,,,55-64,2,N. Jokic makes 2-pt shot from 8 ft (assist by G. Harris)
8:51.0,W. Matthews misses 2-pt shot from 2 ft (block by J. Sampson),,55-64,,
8:49.0,,,55-64,,Defensive rebound by J. Sampson
8:38.0,,,55-64,,K. Faried misses 2-pt shot from 12 ft
8:38.0,Defensive rebound by C. Parsons,,55-64,,
8:30.0,D. Nowitzki makes 3-pt shot from 26 ft (assist by C. Parsons),3,58-64,,
8:29.0,,,58-64,,Denver full timeout
8:13.0,,,58-67,3,J. Sampson makes 3-pt shot from 23 ft (assist by N. Jokic)
8:01.0,,,58-67,,Personal block foul by N. Jokic (drawn by R. Felton)
7:51.0,W. Matthews makes 3-pt shot from 24 ft (assist by R. Felton),3,61-67,,
7:32.0,,,61-69,2,E. Mudiay makes 2-pt shot from 4 ft
7:14.0,R. Felton misses 3-pt shot from 24 ft,,61-69,,
7:13.0,,,61-69,,Defensive rebound by K. Faried
7:07.0,,,61-69,,E. Mudiay misses 2-pt shot from 17 ft
7:04.0,Defensive rebound by C. Parsons,,61-69,,
6:50.0,W. Matthews makes 3-pt shot from 23 ft (assist by C. Parsons),3,64-69,,
6:31.0,,,64-69,,Turnover by N. Jokic (lost ball; steal by D. Williams)
6:30.0,,,64-69,,Personal foul by N. Jokic (drawn by C. Parsons)
6:30.0,,,64-69,,J. Lauvergne enters the game for N. Jokic
6:18.0,D. Nowitzki misses 3-pt shot from 25 ft,,64-69,,
6:17.0,,,64-69,,Defensive rebound by J. Sampson
6:05.0,,,64-71,2,G. Harris makes 2-pt shot from 15 ft (assist by K. Faried)
5:56.0,Turnover by C. Parsons (lost ball; steal by K. Faried),,64-71,,
5:51.0,,,64-73,2,J. Sampson makes 2-pt shot at rim (assist by E. Mudiay)
5:51.0,Dallas full timeout,,64-73,,
5:51.0,D. Lee enters the game for D. Nowitzki,,64-73,,
5:51.0,D. Harris enters the game for D. Williams,,64-73,,
5:51.0,,,64-73,,W. Barton enters the game for K. Faried
5:30.0,R. Felton misses 2-pt shot from 7 ft,,64-73,,
5:29.0,Offensive rebound by R. Felton,,64-73,,
5:18.0,W. Matthews misses 3-pt shot from 24 ft,,64-73,,
5:16.0,,,64-73,,Defensive rebound by J. Lauvergne
5:10.0,,,64-73,,G. Harris misses 3-pt shot from 25 ft
5:06.0,Defensive rebound by D. Harris,,64-73,,
4:50.0,D. Lee makes 2-pt shot from 5 ft (assist by D. Harris),2,66-73,,
4:34.0,,,66-73,,E. Mudiay misses 2-pt shot from 19 ft
4:33.0,Defensive rebound by D. Harris,,66-73,,
4:21.0,W. Matthews makes 3-pt shot from 23 ft (assist by R. Felton),3,69-73,,
4:19.0,,,69-73,,Denver full timeout
4:04.0,,,69-73,,Offensive charge foul by J. Sampson
4:04.0,,,69-73,,Turnover by J. Sampson (offensive foul)
3:58.0,C. Parsons misses 2-pt shot from 7 ft,,69-73,,
3:56.0,,,69-73,,Defensive rebound by J. Sampson
3:35.0,,,69-73,,J. Lauvergne misses 2-pt shot from 20 ft
3:34.0,Defensive rebound by D. Lee,,69-73,,
3:21.0,C. Parsons makes 3-pt shot from 23 ft (assist by D. Lee),3,72-73,,
3:06.0,,,72-73,,G. Harris misses 2-pt shot from 2 ft (block by D. Lee)
3:05.0,,,72-73,,Offensive rebound by Team
3:05.0,,,72-73,,D. Augustin enters the game for E. Mudiay
2:58.0,,,72-73,,J. Sampson misses 3-pt shot from 25 ft
2:58.0,Defensive rebound by Team,,72-73,,
2:58.0,,,72-73,,Loose ball foul by J. Lauvergne (drawn by D. Lee)
2:58.0,,,72-73,,A. Toupane enters the game for J. Sampson
2:48.0,D. Harris misses 3-pt shot from 22 ft,,72-73,,
2:46.0,Offensive rebound by D. Harris,,72-73,,
2:42.0,D. Harris misses 2-pt shot at rim,,72-73,,
2:41.0,,,72-73,,Defensive rebound by W. Barton
2:25.0,,,72-73,,J. Lauvergne misses 2-pt shot from 3 ft
2:24.0,Defensive rebound by C. Parsons,,72-73,,
2:18.0,Shooting foul by J. Lauvergne (drawn by D. Harris),,72-73,,
2:18.0,D. Harris makes free throw 1 of 2,1,73-73,,
2:18.0,D. Harris misses free throw 2 of 2,,73-73,,
2:17.0,,,73-73,,Defensive rebound by W. Barton
1:58.0,,,73-73,,G. Harris misses 2-pt shot from 18 ft
1:57.0,Defensive rebound by D. Lee,,73-73,,
1:38.0,C. Parsons misses 3-pt shot from 26 ft,,73-73,,
1:37.0,,,73-73,,Defensive rebound by Team
1:17.0,,,73-73,,Turnover by G. Harris (lost ball; steal by W. Matthews)
1:13.0,Shooting foul by J. Lauvergne (drawn by C. Parsons),,73-73,,
1:13.0,C. Parsons makes free throw 1 of 2,1,74-73,,
1:13.0,J. Barea enters the game for W. Matthews,,74-73,,
1:13.0,,,74-73,,D. Arthur enters the game for J. Lauvergne
1:13.0,C. Parsons makes free throw 2 of 2,1,75-73,,
1:02.0,Shooting block foul by C. Parsons (drawn by W. Barton),,75-73,,
1:02.0,,,75-74,1,W. Barton makes free throw 1 of 2
1:02.0,D. Nowitzki enters the game for C. Parsons,,75-74,,
1:02.0,,,75-75,1,W. Barton makes free throw 2 of 2
0:51.0,D. Lee makes 2-pt shot at rim (assist by R. Felton),2,77-75,,
0:27.0,,,77-77,2,G. Harris makes 2-pt shot from 21 ft
0:05.0,R. Felton misses 2-pt shot from 7 ft,,77-77,,
0:05.0,Offensive rebound by D. Lee,,77-77,,
0:05.0,D. Lee makes 2-pt shot from 1 ft,2,79-77,,
0:01.0,,,79-77,,W. Barton misses 3-pt shot from 32 ft
0:00.0,,,79-77,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,,,79-79,2,D. Arthur makes 2-pt shot from 20 ft (assist by D. Augustin)
11:30.0,R. Felton makes 2-pt shot from 2 ft (assist by D. Nowitzki),2,81-79,,
11:18.0,,,81-81,2,K. Faried makes 2-pt shot from 1 ft (assist by D. Augustin)
10:58.0,R. Felton misses 3-pt shot from 26 ft,,81-81,,
10:57.0,Offensive rebound by Team,,81-81,,
10:57.0,,,81-81,,Loose ball foul by A. Toupane (drawn by D. Nowitzki)
10:37.0,J. Barea misses 2-pt shot from 19 ft,,81-81,,
10:36.0,Offensive rebound by D. Harris,,81-81,,
10:29.0,J. Barea makes 3-pt shot from 25 ft (assist by D. Harris),3,84-81,,
10:14.0,,,84-81,,A. Toupane misses 3-pt shot from 23 ft
10:13.0,,,84-81,,Offensive rebound by K. Faried
10:10.0,,,84-81,,K. Faried misses 2-pt shot from 3 ft
10:09.0,Defensive rebound by R. Felton,,84-81,,
10:01.0,,,84-81,,Personal foul by K. Faried (drawn by D. Nowitzki)
9:53.0,J. Barea makes 3-pt shot from 25 ft,3,87-81,,
9:30.0,,,87-81,,D. Augustin misses 3-pt shot from 27 ft
9:28.0,Defensive rebound by D. Williams,,87-81,,
9:18.0,D. Nowitzki makes 3-pt shot from 26 ft (assist by D. Harris),3,90-81,,
9:18.0,,,90-81,,Denver full timeout
9:03.0,,,90-81,,A. Toupane misses 2-pt shot from 14 ft
9:02.0,,,90-81,,Offensive rebound by Team
9:02.0,,,90-81,,E. Mudiay enters the game for A. Toupane
8:52.0,,,90-81,,D. Augustin misses 2-pt shot from 2 ft
8:49.0,,,90-81,,Offensive rebound by K. Faried
8:49.0,,,90-83,2,K. Faried makes 2-pt shot from 1 ft
8:29.0,Turnover by J. Barea (lost ball; steal by E. Mudiay),,90-83,,
8:23.0,,,90-85,2,W. Barton makes 2-pt shot from 2 ft (assist by E. Mudiay)
8:16.0,Dallas full timeout,,90-85,,
8:16.0,C. Parsons enters the game for D. Nowitzki,,90-85,,
8:16.0,D. Lee enters the game for R. Felton,,90-85,,
7:59.0,D. Harris makes 3-pt shot from 23 ft (assist by D. Lee),3,93-85,,
7:47.0,,,93-85,,D. Arthur misses 2-pt shot from 5 ft
7:46.0,Defensive rebound by C. Parsons,,93-85,,
7:26.0,D. Harris misses 3-pt shot from 23 ft,,93-85,,
7:25.0,,,93-85,,Defensive rebound by K. Faried
7:15.0,,,93-85,,W. Barton misses 2-pt shot from 12 ft
7:14.0,Defensive rebound by D. Williams,,93-85,,
7:04.0,J. Barea misses 3-pt shot from 25 ft,,93-85,,
7:03.0,,,93-85,,Defensive rebound by W. Barton
6:56.0,Violation by D. Williams (kicked ball),,93-85,,
6:56.0,,,93-85,,G. Harris enters the game for D. Arthur
6:56.0,W. Matthews enters the game for D. Harris,,93-85,,
6:52.0,,,93-85,,E. Mudiay misses 2-pt shot from 2 ft
6:51.0,,,93-85,,Offensive rebound by K. Faried
6:50.0,,,93-85,,Shooting foul by D. Williams (drawn by K. Faried)
6:50.0,,,93-85,,K. Faried misses free throw 1 of 2
6:50.0,,,93-85,,Offensive rebound by Team
6:50.0,,,93-85,,K. Faried misses free throw 2 of 2
6:48.0,Defensive rebound by C. Parsons,,93-85,,
6:26.0,C. Parsons misses 2-pt shot from 14 ft,,93-85,,
6:26.0,,,93-85,,Defensive rebound by W. Barton
6:18.0,,,93-87,2,W. Barton makes 2-pt shot from 9 ft
