time,Phoenix,pts.away,score,pts.home,Washington
1:01.0,,,58-51,1,J. Dudley makes free throw 2 of 2
0:49.0,J. Leuer makes 2-pt shot from 1 ft,2,60-51,,
0:30.0,,,60-51,,B. Beal misses 3-pt shot from 24 ft
0:28.0,Defensive rebound by P. Tucker,,60-51,,
0:03.0,E. Bledsoe misses 3-pt shot from 24 ft,,60-51,,
0:02.0,Offensive rebound by Team,,60-51,,
0:02.0,,,60-51,,Loose ball foul by G. Neal (drawn by P. Tucker)
0:02.0,Phoenix full timeout,,60-51,,
0:02.0,,,60-51,,R. Hollins enters the game for J. Dudley
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,,,60-51,,B. Beal misses 2-pt shot from 2 ft
11:42.0,,,60-51,,Offensive rebound by B. Beal
11:31.0,,,60-51,,J. Wall misses 3-pt shot from 24 ft
11:29.0,,,60-51,,Offensive rebound by O. Porter
11:26.0,,,60-53,2,O. Porter makes 2-pt shot from 2 ft
11:01.0,B. Knight misses 2-pt shot from 11 ft,,60-53,,
11:00.0,Offensive rebound by B. Knight,,60-53,,
10:59.0,B. Knight misses 2-pt shot from 11 ft,,60-53,,
10:57.0,Offensive rebound by A. Len,,60-53,,
10:55.0,A. Len makes 2-pt shot at rim,2,62-53,,
10:45.0,,,62-53,,Turnover by O. Porter (lost ball)
10:23.0,E. Bledsoe misses 2-pt shot from 14 ft,,62-53,,
10:22.0,,,62-53,,Defensive rebound by R. Hollins
10:11.0,,,62-53,,Turnover by R. Hollins (lost ball)
10:03.0,E. Bledsoe misses 2-pt shot from 15 ft,,62-53,,
10:02.0,Offensive rebound by A. Len,,62-53,,
10:01.0,A. Len misses 2-pt shot from 2 ft,,62-53,,
10:01.0,,,62-53,,Defensive rebound by Team
9:52.0,,,62-53,,B. Beal misses 3-pt shot from 25 ft
9:50.0,,,62-53,,Offensive rebound by R. Hollins
9:28.0,,,62-53,,G. Temple misses 3-pt shot from 24 ft
9:27.0,,,62-53,,Offensive rebound by B. Beal
9:17.0,,,62-53,,Turnover by O. Porter (traveling)
9:04.0,Offensive foul by P. Tucker,,62-53,,
9:04.0,Turnover by P. Tucker (offensive foul),,62-53,,
8:52.0,,,62-53,,J. Wall misses 2-pt shot from 16 ft
8:50.0,,,62-53,,Offensive rebound by O. Porter
8:44.0,,,62-55,2,B. Beal makes 2-pt shot from 17 ft
8:44.0,Phoenix full timeout,,62-55,,
8:31.0,E. Bledsoe misses 2-pt shot from 17 ft,,62-55,,
8:29.0,,,62-55,,Defensive rebound by B. Beal
8:14.0,,,62-58,3,B. Beal makes 3-pt shot from 24 ft
8:02.0,Turnover by J. Leuer (bad pass; steal by B. Beal),,62-58,,
7:55.0,,,62-60,2,B. Beal makes 2-pt shot at rim
7:45.0,,,62-60,,Personal foul by R. Hollins (drawn by B. Knight)
7:38.0,B. Knight makes 2-pt shot from 2 ft (assist by J. Leuer),2,64-60,,
7:24.0,,,64-60,,Turnover by R. Hollins (3 sec)
7:14.0,B. Knight misses 3-pt shot from 27 ft,,64-60,,
7:08.0,Offensive rebound by E. Bledsoe,,64-60,,
6:59.0,P. Tucker misses 2-pt shot from 2 ft,,64-60,,
6:58.0,,,64-60,,Defensive rebound by J. Wall
6:52.0,,,64-63,3,G. Temple makes 3-pt shot from 25 ft (assist by J. Wall)
6:35.0,Shooting foul by B. Beal (drawn by P. Tucker),,64-63,,
6:35.0,P. Tucker makes free throw 1 of 3,1,65-63,,
6:35.0,P. Tucker misses free throw 2 of 3,,65-63,,
6:35.0,Offensive rebound by Team,,65-63,,
6:35.0,,,65-63,,D. Blair enters the game for R. Hollins
6:35.0,P. Tucker makes free throw 3 of 3,1,66-63,,
6:24.0,,,66-63,,B. Beal misses 3-pt shot from 26 ft (block by B. Knight)
6:24.0,,,66-63,,Offensive rebound by Team
6:13.0,,,66-63,,G. Temple misses 3-pt shot from 24 ft
6:12.0,,,66-63,,Offensive rebound by O. Porter
6:07.0,,,66-63,,Turnover by Team (shot clock)
5:54.0,,,66-63,,Personal foul by O. Porter (drawn by J. Leuer)
5:54.0,,,66-63,,R. Sessions enters the game for G. Temple
5:50.0,E. Bledsoe makes 2-pt shot from 16 ft,2,68-63,,
5:34.0,,,68-65,2,B. Beal makes 2-pt shot from 16 ft
5:19.0,B. Knight makes 3-pt shot from 28 ft (assist by E. Bledsoe),3,71-65,,
5:00.0,,,71-65,,J. Wall misses 2-pt shot from 7 ft
4:58.0,,,71-65,,Offensive rebound by D. Blair
4:51.0,,,71-65,,R. Sessions misses 3-pt shot from 25 ft
4:50.0,Defensive rebound by Team,,71-65,,
4:44.0,E. Bledsoe makes 2-pt shot from 17 ft,2,73-65,,
4:34.0,,,73-65,,B. Beal misses 2-pt shot at rim
4:30.0,Defensive rebound by E. Bledsoe,,73-65,,
4:20.0,E. Bledsoe misses 3-pt shot from 25 ft,,73-65,,
4:19.0,Offensive rebound by A. Len,,73-65,,
4:13.0,Turnover by A. Len (bad pass),,73-65,,
4:13.0,,,73-65,,Washington full timeout
4:13.0,M. Teletovic enters the game for J. Leuer,,73-65,,
4:13.0,T. Warren enters the game for A. Len,,73-65,,
3:53.0,,,73-67,2,D. Blair makes 2-pt shot from 7 ft (assist by J. Wall)
3:33.0,T. Warren makes 2-pt shot from 14 ft (assist by B. Knight),2,75-67,,
3:20.0,,,75-67,,J. Wall misses 2-pt shot from 1 ft
3:18.0,,,75-67,,Offensive rebound by D. Blair
3:15.0,,,75-69,2,D. Blair makes 2-pt shot at rim
3:05.0,M. Teletovic misses 2-pt shot from 21 ft,,75-69,,
3:03.0,,,75-69,,Defensive rebound by B. Beal
2:57.0,,,75-71,2,R. Sessions makes 2-pt shot from 1 ft (assist by B. Beal)
2:44.0,E. Bledsoe makes 2-pt shot from 1 ft,2,77-71,,
2:34.0,,,77-71,,R. Sessions misses 3-pt shot from 25 ft
2:32.0,Defensive rebound by P. Tucker,,77-71,,
2:27.0,B. Knight misses 3-pt shot from 25 ft,,77-71,,
2:26.0,Offensive rebound by P. Tucker,,77-71,,
2:22.0,P. Tucker makes 2-pt shot from 1 ft,2,79-71,,
2:15.0,,,79-74,3,B. Beal makes 3-pt shot from 24 ft (assist by J. Wall)
1:57.0,Offensive charge foul by T. Warren,,79-74,,
1:57.0,Turnover by T. Warren (offensive foul),,79-74,,
1:57.0,,,79-74,,G. Neal enters the game for O. Porter
1:57.0,D. Booker enters the game for B. Knight,,79-74,,
1:57.0,M. Morris enters the game for M. Teletovic,,79-74,,
1:37.0,,,79-76,2,J. Wall makes 2-pt shot from 16 ft
1:28.0,,,79-76,,Personal foul by R. Sessions (drawn by E. Bledsoe)
1:19.0,E. Bledsoe makes 2-pt shot from 7 ft,2,81-76,,
1:12.0,,,81-76,,Turnover by J. Wall (lost ball)
1:12.0,,,81-76,,G. Temple enters the game for J. Wall
1:00.0,D. Booker makes 2-pt shot from 2 ft (assist by M. Morris),2,83-76,,
0:50.0,,,83-76,,B. Beal misses 2-pt shot from 10 ft
0:46.0,,,83-76,,Offensive rebound by D. Blair
0:45.0,Personal foul by P. Tucker (drawn by D. Blair),,83-76,,
0:45.0,,,83-76,,D. Blair misses free throw 1 of 2
0:45.0,,,83-76,,Offensive rebound by Team
0:45.0,R. Price enters the game for E. Bledsoe,,83-76,,
0:45.0,,,83-76,,D. Blair misses free throw 2 of 2
0:44.0,Defensive rebound by P. Tucker,,83-76,,
0:27.0,T. Warren makes 2-pt shot from 16 ft,2,85-76,,
0:05.0,,,85-78,2,B. Beal makes 2-pt shot from 15 ft
0:02.0,P. Tucker misses 2-pt shot from 4 ft,,85-78,,
0:00.0,,,85-78,,Defensive rebound by G. Temple
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,M. Morris misses 2-pt shot from 1 ft,,85-78,,
11:41.0,,,85-78,,Defensive rebound by J. Dudley
11:30.0,,,85-78,,G. Neal misses 2-pt shot from 19 ft
11:29.0,Defensive rebound by D. Booker,,85-78,,
11:13.0,T. Warren makes 3-pt shot from 23 ft,3,88-78,,
10:56.0,,,88-80,2,B. Beal makes 2-pt shot from 1 ft
10:56.0,,,88-80,,Shooting foul by R. Price (drawn by B. Beal)
10:56.0,B. Knight enters the game for P. Tucker,,88-80,,
10:56.0,,,88-81,1,B. Beal makes free throw 1 of 1
10:33.0,M. Morris makes 2-pt shot from 13 ft,2,90-81,,
10:19.0,,,90-84,3,B. Beal makes 3-pt shot from 25 ft (assist by J. Dudley)
10:00.0,D. Booker misses 2-pt shot from 6 ft,,90-84,,
9:59.0,,,90-84,,Defensive rebound by G. Neal
9:57.0,Personal foul by M. Morris (drawn by J. Dudley),,90-84,,
9:46.0,,,90-86,2,R. Sessions makes 2-pt shot from 1 ft (assist by B. Beal)
9:37.0,T. Warren misses 2-pt shot from 14 ft,,90-86,,
9:36.0,,,90-86,,Defensive rebound by G. Neal
9:31.0,,,90-86,,Turnover by B. Beal (lost ball; steal by R. Price)
9:26.0,T. Warren makes 2-pt shot from 2 ft (assist by R. Price),2,92-86,,
9:11.0,,,92-88,2,R. Sessions makes 2-pt shot at rim
9:03.0,T. Warren makes 2-pt shot from 1 ft (assist by B. Knight),2,94-88,,
8:51.0,,,94-88,,J. Dudley misses 3-pt shot from 24 ft
8:50.0,Defensive rebound by B. Knight,,94-88,,
8:34.0,T. Warren misses 2-pt shot from 10 ft,,94-88,,
8:32.0,,,94-88,,Defensive rebound by G. Temple
8:20.0,,,94-88,,G. Temple misses 3-pt shot from 25 ft
8:18.0,,,94-88,,Offensive rebound by G. Neal
8:09.0,,,94-88,,Shooting foul by M. Morris (drawn by R. Sessions)
8:09.0,Official timeout,,94-88,,
8:09.0,,,94-88,,J. Wall enters the game for B. Beal
8:09.0,,,94-88,,O. Porter enters the game for G. Neal
8:09.0,,,94-89,1,R. Sessions makes free throw 1 of 2
8:09.0,,,94-90,1,R. Sessions makes free throw 2 of 2
7:52.0,B. Knight misses 2-pt shot from 16 ft,,94-90,,
7:52.0,Offensive rebound by Team,,94-90,,
7:52.0,,,94-90,,Loose ball foul by J. Dudley (drawn by R. Price)
7:44.0,Turnover by M. Morris (bad pass; steal by J. Dudley),,94-90,,
7:40.0,,,94-90,,Turnover by J. Dudley (bad pass; steal by D. Booker)
7:34.0,D. Booker makes 2-pt shot at rim,2,96-90,,
7:26.0,Personal foul by B. Knight (drawn by R. Sessions),,96-90,,
7:16.0,,,96-92,2,J. Wall makes 2-pt shot from 2 ft
7:04.0,M. Morris makes 2-pt shot from 13 ft (assist by T. Warren),2,98-92,,
6:44.0,,,98-94,2,R. Sessions makes 2-pt shot from 2 ft (assist by J. Wall)
6:23.0,T. Warren misses 2-pt shot from 5 ft,,98-94,,
6:22.0,,,98-94,,Defensive rebound by R. Sessions
6:10.0,,,98-94,,Turnover by J. Wall (lost ball; steal by B. Knight)
6:07.0,Turnover by B. Knight (bad pass; steal by J. Dudley),,98-94,,
6:07.0,,,98-94,,Shooting foul by R. Price (drawn by J. Wall)
6:07.0,,,98-95,1,J. Wall makes free throw 1 of 2
6:07.0,,,98-95,,B. Beal enters the game for J. Dudley
6:07.0,E. Bledsoe enters the game for R. Price,,98-95,,
6:07.0,,,98-96,1,J. Wall makes free throw 2 of 2
5:59.0,,,98-96,,Personal foul by J. Wall (drawn by B. Knight)
5:59.0,,,98-96,,Washington full timeout
5:51.0,Turnover by D. Booker (bad pass; steal by O. Porter),,98-96,,
5:43.0,,,98-98,2,R. Sessions makes 2-pt shot from 1 ft (assist by J. Wall)
5:26.0,Shooting foul by G. Temple (drawn by M. Morris),,98-98,,
5:26.0,M. Morris makes free throw 1 of 2,1,99-98,,
5:26.0,R. Price enters the game for D. Booker,,99-98,,
5:26.0,P. Tucker enters the game for T. Warren,,99-98,,
5:26.0,M. Morris makes free throw 2 of 2,1,100-98,,
5:06.0,,,100-98,,B. Beal misses 2-pt shot from 1 ft
5:04.0,Defensive rebound by M. Morris,,100-98,,
5:01.0,B. Knight misses 2-pt shot from 3 ft,,100-98,,
4:59.0,,,100-98,,Defensive rebound by O. Porter
4:40.0,,,100-98,,Turnover by J. Wall (bad pass)
4:25.0,Shooting foul by G. Temple (drawn by E. Bledsoe),,100-98,,
4:25.0,E. Bledsoe makes free throw 1 of 2,1,101-98,,
4:25.0,E. Bledsoe makes free throw 2 of 2,1,102-98,,
4:01.0,,,102-98,,J. Wall misses 3-pt shot from 49 ft (block by M. Morris)
4:01.0,,,102-98,,Offensive rebound by Team
4:01.0,,,102-98,,Turnover by Team (shot clock)
3:42.0,M. Morris misses 3-pt shot from 26 ft,,102-98,,
3:40.0,Offensive rebound by P. Tucker,,102-98,,
3:37.0,P. Tucker misses 2-pt shot from 3 ft (block by O. Porter),,102-98,,
3:35.0,,,102-98,,Defensive rebound by J. Wall
3:34.0,,,102-98,,Turnover by J. Wall (bad pass)
3:09.0,Turnover by Team (shot clock),,102-98,,
2:53.0,,,102-98,,R. Sessions misses 2-pt shot from 11 ft
2:52.0,Defensive rebound by P. Tucker,,102-98,,
2:52.0,Phoenix full timeout,,102-98,,
2:34.0,M. Morris misses 2-pt shot from 19 ft,,102-98,,
2:33.0,,,102-98,,Defensive rebound by J. Wall
2:30.0,,,102-98,,Shooting foul by M. Morris (drawn by J. Wall)
2:30.0,,,102-99,1,J. Wall makes free throw 1 of 2
2:30.0,,,102-100,1,J. Wall makes free throw 2 of 2
2:18.0,Shooting foul by J. Wall (drawn by E. Bledsoe),,102-100,,
2:18.0,E. Bledsoe makes free throw 1 of 2,1,103-100,,
2:18.0,E. Bledsoe misses free throw 2 of 2,,103-100,,
2:17.0,,,103-100,,Defensive rebound by Team
2:07.0,,,103-100,,Offensive charge foul by J. Wall
2:07.0,,,103-100,,Turnover by J. Wall (offensive foul)
1:52.0,E. Bledsoe misses 2-pt shot from 8 ft,,103-100,,
1:52.0,,,103-100,,Defensive rebound by Team
1:52.0,Loose ball foul by P. Tucker (drawn by J. Wall),,103-100,,
1:52.0,,,103-101,1,J. Wall makes free throw 1 of 2
1:52.0,,,103-101,,J. Wall misses free throw 2 of 2
1:49.0,,,103-101,,Offensive rebound by Team
1:42.0,,,103-103,2,O. Porter makes 2-pt shot from 1 ft (assist by B. Beal)
1:42.0,,,103-103,,Shooting foul by M. Morris (drawn by O. Porter)
