time,Denver,pts.away,score,pts.home,Indiana
5:40.0,G. Harris makes 3-pt shot from 25 ft (assist by N. Jokic),3,38-44,,
5:18.0,,,38-46,2,S. Hill makes 2-pt shot from 1 ft (assist by G. Hill)
5:08.0,Shooting foul by G. Robinson (drawn by D. Gallinari),,38-46,,
5:08.0,D. Gallinari makes free throw 1 of 2,1,39-46,,
5:08.0,,,39-46,,J. Hill enters the game for S. Hill
5:08.0,D. Gallinari makes free throw 2 of 2,1,40-46,,
4:54.0,,,40-46,,P. George misses 3-pt shot from 23 ft
4:53.0,Defensive rebound by G. Harris,,40-46,,
4:44.0,,,40-46,,Personal foul by P. George (drawn by D. Gallinari)
4:44.0,,,40-46,,M. Ellis enters the game for G. Robinson
4:35.0,E. Mudiay misses 3-pt shot from 26 ft,,40-46,,
4:35.0,,,40-46,,Defensive rebound by M. Turner
4:24.0,,,40-46,,Shooting foul by K. Faried (drawn by M. Turner)
4:24.0,,,40-47,1,M. Turner makes free throw 1 of 2
4:24.0,,,40-48,1,M. Turner makes free throw 2 of 2
4:12.0,Shooting foul by M. Turner (drawn by D. Gallinari),,40-48,,
4:12.0,D. Gallinari makes free throw 1 of 2,1,41-48,,
4:12.0,D. Gallinari makes free throw 2 of 2,1,42-48,,
3:57.0,,,42-48,,M. Turner misses 2-pt shot from 18 ft
3:56.0,Defensive rebound by K. Faried,,42-48,,
3:43.0,N. Jokic misses 2-pt shot from 11 ft,,42-48,,
3:43.0,,,42-48,,Defensive rebound by M. Turner
3:35.0,,,42-50,2,M. Turner makes 2-pt shot from 3 ft (assist by P. George)
3:35.0,,,42-50,,Shooting foul by N. Jokic (drawn by M. Turner)
3:35.0,,,42-50,,M. Turner misses free throw 1 of 1
3:35.0,Defensive rebound by N. Jokic,,42-50,,
3:21.0,K. Faried makes 2-pt shot from 1 ft (assist by D. Gallinari),2,44-50,,
2:59.0,,,44-50,,Turnover by P. George (bad pass; steal by K. Faried)
2:53.0,D. Gallinari misses 3-pt shot from 25 ft,,44-50,,
2:52.0,,,44-50,,Defensive rebound by M. Turner
2:41.0,,,44-50,,P. George misses 2-pt shot from 18 ft
2:40.0,Defensive rebound by N. Jokic,,44-50,,
2:26.0,K. Faried makes 2-pt shot from 4 ft,2,46-50,,
2:26.0,,,46-50,,Indiana full timeout
2:26.0,Denver full timeout,,46-50,,
2:26.0,J. Nurkic enters the game for N. Jokic,,46-50,,
2:11.0,,,46-52,2,P. George makes 2-pt shot at rim (assist by J. Hill)
1:50.0,D. Gallinari misses 2-pt shot from 18 ft,,46-52,,
1:49.0,,,46-52,,Defensive rebound by P. George
1:25.0,,,46-55,3,P. George makes 3-pt shot from 24 ft (assist by M. Ellis)
1:11.0,G. Harris makes 2-pt shot from 21 ft (assist by E. Mudiay),2,48-55,,
1:03.0,,,48-57,2,M. Ellis makes 2-pt shot from 1 ft (assist by G. Hill)
0:51.0,,,48-57,,Personal foul by G. Hill (drawn by E. Mudiay)
0:51.0,E. Mudiay misses free throw 1 of 2,,48-57,,
0:51.0,Offensive rebound by Team,,48-57,,
0:51.0,E. Mudiay makes free throw 2 of 2,1,49-57,,
0:34.0,,,49-57,,M. Ellis misses 3-pt shot from 25 ft
0:34.0,Defensive rebound by K. Faried,,49-57,,
0:23.0,E. Mudiay makes 2-pt shot from 6 ft,2,51-57,,
0:23.0,Shooting foul by G. Hill (drawn by E. Mudiay),,51-57,,
0:23.0,D. Arthur enters the game for K. Faried,,51-57,,
0:23.0,E. Mudiay misses free throw 1 of 1,,51-57,,
0:23.0,,,51-57,,Defensive rebound by M. Ellis
0:05.0,,,51-59,2,M. Ellis makes 2-pt shot from 2 ft
0:00.0,D. Arthur misses 3-pt shot from 50 ft,,51-59,,
0:00.0,Offensive rebound by Team,,51-59,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,G. Harris misses 2-pt shot from 20 ft,,51-59,,
11:43.0,,,51-59,,Defensive rebound by J. Hill
11:34.0,,,51-59,,Turnover by M. Ellis (bad pass; steal by N. Jokic)
11:31.0,K. Faried makes 2-pt shot from 1 ft (assist by N. Jokic),2,53-59,,
11:10.0,,,53-61,2,M. Ellis makes 2-pt shot from 1 ft (assist by J. Hill)
10:59.0,,,53-61,,Personal foul by M. Turner (drawn by K. Faried)
10:48.0,D. Gallinari makes 2-pt shot from 20 ft (assist by G. Harris),2,55-61,,
10:28.0,,,55-61,,Turnover by M. Ellis (discontinued dribble)
10:12.0,E. Mudiay misses 2-pt shot from 3 ft,,55-61,,
10:11.0,Offensive rebound by Team,,55-61,,
10:00.0,Turnover by E. Mudiay (lost ball; steal by M. Ellis),,55-61,,
10:00.0,Personal foul by E. Mudiay (drawn by G. Hill),,55-61,,
9:47.0,,,55-61,,Offensive charge foul by J. Hill
9:47.0,,,55-61,,Turnover by J. Hill (offensive foul)
9:33.0,N. Jokic makes 2-pt shot from 6 ft (assist by G. Harris),2,57-61,,
9:19.0,,,57-61,,M. Ellis misses 2-pt shot from 10 ft
9:19.0,Defensive rebound by N. Jokic,,57-61,,
9:04.0,D. Gallinari misses 3-pt shot from 24 ft,,57-61,,
9:03.0,Offensive rebound by K. Faried,,57-61,,
9:01.0,K. Faried misses 2-pt shot from 3 ft (block by M. Turner),,57-61,,
8:59.0,,,57-61,,Defensive rebound by J. Hill
8:57.0,,,57-61,,Turnover by P. George (bad pass; steal by N. Jokic)
8:53.0,,,57-61,,Shooting block foul by M. Turner (drawn by K. Faried)
8:53.0,K. Faried makes free throw 1 of 2,1,58-61,,
8:53.0,,,58-61,,Indiana full timeout
8:53.0,K. Faried makes free throw 2 of 2,1,59-61,,
8:39.0,,,59-61,,Shooting foul by N. Jokic (drawn by P. George)
8:39.0,,,59-62,1,P. George makes free throw 1 of 2
8:39.0,,,59-63,1,P. George makes free throw 2 of 2
8:28.0,Offensive foul by G. Harris,,59-63,,
8:28.0,Turnover by G. Harris (offensive foul),,59-63,,
8:14.0,,,59-63,,M. Ellis misses 2-pt shot from 17 ft
8:13.0,,,59-63,,Offensive rebound by M. Turner
8:01.0,,,59-65,2,J. Hill makes 2-pt shot from 4 ft
7:51.0,G. Harris makes 2-pt shot from 14 ft (assist by D. Gallinari),2,61-65,,
7:36.0,,,61-67,2,J. Hill makes 2-pt shot from 6 ft
7:11.0,E. Mudiay makes 2-pt shot from 18 ft,2,63-67,,
6:56.0,,,63-69,2,P. George makes 2-pt shot from 17 ft
6:37.0,D. Gallinari misses 2-pt shot from 2 ft (block by M. Turner),,63-69,,
6:37.0,Offensive rebound by Team,,63-69,,
6:30.0,N. Jokic misses 2-pt shot from 1 ft,,63-69,,
6:29.0,Offensive rebound by N. Jokic,,63-69,,
6:29.0,N. Jokic makes 2-pt shot from 1 ft,2,65-69,,
6:13.0,,,65-69,,G. Hill misses 3-pt shot from 24 ft
6:12.0,Defensive rebound by N. Jokic,,65-69,,
6:01.0,D. Gallinari makes 2-pt shot from 2 ft,2,67-69,,
5:43.0,,,67-69,,J. Hill misses 2-pt shot from 16 ft
5:43.0,Defensive rebound by K. Faried,,67-69,,
5:37.0,G. Harris makes 2-pt shot from 10 ft (assist by E. Mudiay),2,69-69,,
5:37.0,,,69-69,,Shooting block foul by P. George (drawn by G. Harris)
5:37.0,G. Harris makes free throw 1 of 1,1,70-69,,
5:23.0,,,70-69,,M. Ellis misses 2-pt shot from 20 ft
5:23.0,,,70-69,,Offensive rebound by J. Hill
5:21.0,,,70-71,2,J. Hill makes 2-pt shot from 1 ft
5:15.0,Turnover by E. Mudiay (bad pass),,70-71,,
4:59.0,,,70-71,,M. Ellis misses 2-pt shot from 4 ft
4:58.0,Defensive rebound by K. Faried,,70-71,,
4:55.0,Shooting foul by J. Hill (drawn by E. Mudiay),,70-71,,
4:55.0,E. Mudiay makes free throw 1 of 2,1,71-71,,
4:55.0,,,71-71,,L. Allen enters the game for J. Hill
4:55.0,E. Mudiay makes free throw 2 of 2,1,72-71,,
4:31.0,,,72-71,,G. Hill misses 3-pt shot from 24 ft
4:31.0,,,72-71,,Offensive rebound by L. Allen
4:22.0,,,72-71,,G. Hill misses 2-pt shot from 10 ft
4:21.0,,,72-71,,Offensive rebound by Team
4:12.0,,,72-73,2,L. Allen makes 2-pt shot from 2 ft (assist by P. George)
3:53.0,D. Gallinari misses 2-pt shot from 1 ft,,72-73,,
3:51.0,,,72-73,,Defensive rebound by L. Allen
3:50.0,Personal foul by G. Harris (drawn by M. Ellis),,72-73,,
3:41.0,,,72-73,,M. Ellis misses 2-pt shot from 2 ft
3:39.0,,,72-73,,Offensive rebound by L. Allen
3:39.0,,,72-73,,L. Allen misses 2-pt shot from 1 ft
3:37.0,Defensive rebound by K. Faried,,72-73,,
3:29.0,G. Harris makes 3-pt shot from 25 ft (assist by E. Mudiay),3,75-73,,
3:16.0,Personal foul by K. Faried (drawn by M. Turner),,75-73,,
3:10.0,,,75-73,,Turnover by P. George (lost ball; steal by N. Jokic)
3:06.0,D. Gallinari makes 2-pt shot from 4 ft,2,77-73,,
3:06.0,,,77-73,,Indiana full timeout
2:51.0,,,77-76,3,M. Ellis makes 3-pt shot from 25 ft (assist by M. Turner)
2:30.0,G. Harris misses 2-pt shot at rim,,77-76,,
2:29.0,Offensive rebound by N. Jokic,,77-76,,
2:29.0,N. Jokic makes 2-pt shot at rim,2,79-76,,
2:11.0,,,79-76,,G. Hill misses 3-pt shot from 24 ft
2:11.0,Defensive rebound by K. Faried,,79-76,,
1:57.0,Turnover by E. Mudiay (bad pass; steal by M. Ellis),,79-76,,
1:39.0,,,79-78,2,M. Ellis makes 2-pt shot from 18 ft
1:27.0,Denver full timeout,,79-78,,
1:27.0,,,79-78,,C. Miles enters the game for P. George
1:27.0,,,79-78,,S. Hill enters the game for M. Turner
1:27.0,J. Nelson enters the game for K. Faried,,79-78,,
1:27.0,W. Barton enters the game for G. Harris,,79-78,,
1:27.0,D. Arthur enters the game for E. Mudiay,,79-78,,
1:17.0,,,79-78,,J. Young enters the game for G. Hill
1:11.0,N. Jokic makes 2-pt shot from 17 ft (assist by J. Nelson),2,81-78,,
1:00.0,,,81-78,,J. Young misses 2-pt shot from 9 ft
0:59.0,,,81-78,,Offensive rebound by J. Young
0:47.0,,,81-78,,Turnover by C. Miles (step out of bounds)
0:32.0,D. Arthur misses 3-pt shot from 25 ft,,81-78,,
0:30.0,Offensive rebound by Team,,81-78,,
0:20.0,D. Gallinari makes 2-pt shot from 17 ft (assist by J. Nelson),2,83-78,,
0:00.0,,,83-80,2,M. Ellis makes 2-pt shot from 19 ft
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,,,83-80,,Shooting foul by J. Nurkic (drawn by S. Hill)
11:43.0,,,83-81,1,S. Hill makes free throw 1 of 2
11:43.0,,,83-82,1,S. Hill makes free throw 2 of 2
11:22.0,J. Nurkic misses 2-pt shot from 5 ft,,83-82,,
11:20.0,Offensive rebound by D. Arthur,,83-82,,
11:20.0,D. Arthur misses 2-pt shot at rim,,83-82,,
11:20.0,,,83-82,,Defensive rebound by L. Allen
11:12.0,,,83-82,,J. Young misses 3-pt shot from 24 ft
11:11.0,Defensive rebound by W. Barton,,83-82,,
10:54.0,R. Foye makes 2-pt shot from 20 ft,2,85-82,,
10:37.0,,,85-84,2,J. Young makes 2-pt shot from 20 ft
10:18.0,Offensive charge foul by W. Barton,,85-84,,
10:18.0,Turnover by W. Barton (offensive foul),,85-84,,
10:02.0,,,85-84,,Turnover by S. Hill (lost ball; steal by D. Arthur)
9:55.0,W. Barton misses 2-pt shot from 3 ft,,85-84,,
9:55.0,,,85-84,,Defensive rebound by S. Hill
9:36.0,,,85-84,,S. Hill misses 2-pt shot from 8 ft
9:35.0,Defensive rebound by J. Nelson,,85-84,,
9:29.0,Turnover by W. Barton (traveling),,85-84,,
9:29.0,,,85-84,,J. Hill enters the game for S. Hill
9:14.0,,,85-86,2,J. Hill makes 2-pt shot from 2 ft (assist by G. Hill)
9:14.0,Denver full timeout,,85-86,,
8:52.0,J. Nelson misses 2-pt shot from 20 ft,,85-86,,
8:52.0,,,85-86,,Defensive rebound by C. Miles
8:29.0,,,85-86,,G. Hill misses 2-pt shot from 6 ft (block by J. Nurkic)
8:27.0,Defensive rebound by J. Nurkic,,85-86,,
8:22.0,W. Barton makes 2-pt shot from 4 ft (assist by J. Nurkic),2,87-86,,
7:55.0,,,87-86,,G. Hill misses 2-pt shot from 19 ft
7:55.0,Defensive rebound by J. Nelson,,87-86,,
7:44.0,Shooting foul by C. Miles (drawn by D. Arthur),,87-86,,
7:44.0,D. Arthur makes free throw 1 of 2,1,88-86,,
7:44.0,,,88-86,,P. George enters the game for J. Young
7:44.0,,,88-86,,M. Ellis enters the game for C. Miles
7:44.0,D. Arthur makes free throw 2 of 2,1,89-86,,
7:22.0,,,89-86,,M. Ellis misses 3-pt shot from 24 ft
7:19.0,,,89-86,,Offensive rebound by L. Allen
7:19.0,,,89-88,2,L. Allen makes 2-pt shot from 1 ft
7:03.0,Turnover by D. Arthur (traveling),,89-88,,
6:47.0,,,89-88,,M. Ellis misses 2-pt shot from 17 ft
6:46.0,Defensive rebound by J. Nurkic,,89-88,,
6:33.0,D. Arthur misses 3-pt shot from 24 ft,,89-88,,
6:32.0,,,89-88,,Defensive rebound by M. Ellis
6:11.0,,,89-90,2,J. Hill makes 2-pt shot from 11 ft (assist by M. Ellis)
5:57.0,R. Foye misses 3-pt shot from 25 ft,,89-90,,
5:57.0,,,89-90,,Defensive rebound by P. George
5:54.0,,,89-90,,Shooting foul by J. Nelson (drawn by G. Hill)
5:54.0,Official timeout,,89-90,,
5:54.0,,,89-90,,M. Turner enters the game for L. Allen
5:54.0,,,89-91,1,G. Hill makes free throw 1 of 2
5:54.0,,,89-92,1,G. Hill makes free throw 2 of 2
5:41.0,Shooting foul by G. Hill (drawn by J. Nurkic),,89-92,,
5:41.0,J. Nurkic misses free throw 1 of 2,,89-92,,
5:41.0,Offensive rebound by Team,,89-92,,
5:41.0,D. Gallinari enters the game for W. Barton,,89-92,,
5:41.0,G. Harris enters the game for J. Nelson,,89-92,,
5:41.0,E. Mudiay enters the game for R. Foye,,89-92,,
5:41.0,J. Nurkic makes free throw 2 of 2,1,90-92,,
5:27.0,,,90-92,,Shooting foul by D. Arthur (drawn by J. Hill)
5:27.0,,,90-93,1,J. Hill makes free throw 1 of 2
5:27.0,K. Faried enters the game for D. Arthur,,90-93,,
5:27.0,,,90-94,1,J. Hill makes free throw 2 of 2
5:10.0,Offensive foul by K. Faried,,90-94,,
5:10.0,Turnover by K. Faried (offensive foul),,90-94,,
5:10.0,N. Jokic enters the game for J. Nurkic,,90-94,,
4:57.0,,,90-94,,M. Ellis misses 2-pt shot from 10 ft
4:57.0,,,90-94,,Offensive rebound by Team
4:57.0,Loose ball foul by G. Harris (drawn by M. Turner),,90-94,,
4:54.0,,,90-94,,P. George misses 2-pt shot from 10 ft
4:54.0,Defensive rebound by D. Gallinari,,90-94,,
4:47.0,N. Jokic makes 2-pt shot from 2 ft (assist by E. Mudiay),2,92-94,,
4:47.0,Shooting foul by P. George (drawn by N. Jokic),,92-94,,
4:47.0,N. Jokic makes free throw 1 of 1,1,93-94,,
4:30.0,,,93-94,,M. Turner misses 2-pt shot from 19 ft
4:28.0,Defensive rebound by D. Gallinari,,93-94,,
4:21.0,Turnover by E. Mudiay (step out of bounds),,93-94,,
4:08.0,,,93-94,,Offensive charge foul by J. Hill
4:08.0,,,93-94,,Turnover by J. Hill (offensive foul)
3:54.0,Turnover by K. Faried (lost ball; steal by G. Hill),,93-94,,
3:49.0,,,93-94,,M. Ellis misses 2-pt shot from 1 ft
3:48.0,Defensive rebound by K. Faried,,93-94,,
3:41.0,G. Harris makes 2-pt shot from 1 ft,2,95-94,,
3:41.0,,,95-94,,Indiana full timeout
3:26.0,,,95-96,2,M. Turner makes 2-pt shot from 14 ft (assist by P. George)
3:07.0,G. Harris misses 2-pt shot from 2 ft (block by M. Turner),,95-96,,
3:06.0,,,95-96,,Defensive rebound by J. Hill
2:59.0,,,95-96,,J. Hill misses 2-pt shot from 16 ft
2:58.0,Defensive rebound by N. Jokic,,95-96,,
2:38.0,E. Mudiay misses 2-pt shot from 10 ft,,95-96,,
2:37.0,,,95-96,,Defensive rebound by M. Ellis
2:33.0,,,95-96,,Turnover by M. Ellis (bad pass)
2:20.0,N. Jokic misses 2-pt shot from 14 ft,,95-96,,
