time,Utah,pts.away,score,pts.home,Phoenix
6:08.0,,,14-4,,Defensive rebound by M. Morris
5:54.0,,,14-4,,A. Goodwin misses 2-pt shot from 20 ft
5:54.0,,,14-4,,Offensive rebound by M. Morris
5:48.0,,,14-4,,Shooting foul by G. Hayward (drawn by D. Booker)
5:48.0,,,14-5,1,D. Booker makes free throw 1 of 2
5:48.0,,,14-5,,A. Len enters the game for P. Tucker
5:48.0,,,14-5,,M. Teletovic enters the game for M. Morris
5:48.0,,,14-5,,S. Weems enters the game for T. Chandler
5:48.0,,,14-5,,J. McRae enters the game for A. Goodwin
5:48.0,T. Booker enters the game for D. Favors,,14-5,,
5:48.0,,,14-6,1,D. Booker makes free throw 2 of 2
5:31.0,R. Neto makes 2-pt shot from 15 ft,2,16-6,,
5:20.0,,,16-6,,D. Booker misses 2-pt shot from 17 ft
5:20.0,Defensive rebound by R. Gobert,,16-6,,
5:05.0,G. Hayward makes 2-pt shot from 15 ft,2,18-6,,
4:54.0,,,18-8,2,D. Booker makes 2-pt shot from 1 ft
4:51.0,,,18-8,,O. Johnson enters the game for D. Booker
4:51.0,C. Johnson enters the game for R. Hood,,18-8,,
4:39.0,T. Booker misses 2-pt shot from 3 ft,,18-8,,
4:38.0,,,18-8,,Defensive rebound by M. Teletovic
4:29.0,,,18-10,2,A. Len makes 2-pt shot at rim (assist by J. McRae)
4:09.0,T. Booker makes 2-pt shot at rim (assist by C. Johnson),2,20-10,,
3:55.0,,,20-10,,A. Len misses 2-pt shot at rim (block by R. Gobert)
3:54.0,Defensive rebound by R. Gobert,,20-10,,
3:36.0,C. Johnson misses 3-pt shot from 24 ft,,20-10,,
3:36.0,,,20-10,,Defensive rebound by J. McRae
3:30.0,,,20-10,,M. Teletovic misses 3-pt shot from 25 ft
3:29.0,Defensive rebound by T. Booker,,20-10,,
3:24.0,Shooting foul by O. Johnson (drawn by G. Hayward),,20-10,,
3:24.0,G. Hayward makes free throw 1 of 2,1,21-10,,
3:24.0,D. Favors enters the game for R. Gobert,,21-10,,
3:24.0,G. Hayward makes free throw 2 of 2,1,22-10,,
3:03.0,,,22-10,,J. McRae misses 3-pt shot from 25 ft
3:03.0,Defensive rebound by T. Booker,,22-10,,
2:46.0,G. Hayward makes 2-pt shot at rim (assist by R. Neto),2,24-10,,
2:35.0,,,24-10,,A. Len misses 2-pt shot from 3 ft
2:35.0,,,24-10,,Offensive rebound by A. Len
2:35.0,Personal foul by C. Johnson (drawn by A. Len),,24-10,,
2:35.0,Utah full timeout,,24-10,,
2:35.0,J. Ingles enters the game for R. Neto,,24-10,,
2:22.0,,,24-10,,A. Len misses 2-pt shot from 4 ft
2:22.0,Defensive rebound by G. Hayward,,24-10,,
2:03.0,D. Favors misses 2-pt shot from 4 ft,,24-10,,
2:01.0,,,24-10,,Defensive rebound by S. Weems
1:49.0,,,24-10,,S. Weems misses 3-pt shot from 26 ft
1:49.0,Defensive rebound by T. Booker,,24-10,,
1:27.0,G. Hayward makes 2-pt shot from 6 ft,2,26-10,,
1:14.0,Personal foul by C. Johnson (drawn by J. McRae),,26-10,,
1:14.0,,,26-10,,Technical foul by J. McRae
1:14.0,G. Hayward makes technical free throw,1,27-10,,
1:14.0,E. Green enters the game for C. Johnson,,27-10,,
1:02.0,,,27-12,2,J. McRae makes 2-pt shot from 2 ft
0:46.0,Shooting foul by J. McRae (drawn by J. Ingles),,27-12,,
0:46.0,J. Ingles makes free throw 1 of 2,1,28-12,,
0:46.0,,,28-12,,D. Booker enters the game for J. McRae
0:46.0,,,28-12,,M. Morris enters the game for A. Len
0:46.0,J. Ingles makes free throw 2 of 2,1,29-12,,
0:35.0,,,29-12,,D. Booker misses 2-pt shot from 21 ft
0:33.0,Defensive rebound by G. Hayward,,29-12,,
0:27.0,G. Hayward makes 2-pt shot from 6 ft,2,31-12,,
0:06.0,,,31-12,,M. Morris misses 3-pt shot from 25 ft
0:06.0,Defensive rebound by G. Hayward,,31-12,,
0:00.0,T. Booker misses 3-pt shot from 27 ft,,31-12,,
0:00.0,Offensive rebound by Team,,31-12,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,,,31-14,2,M. Morris makes 2-pt shot from 8 ft
11:21.0,Offensive foul by R. Hood,,31-14,,
11:21.0,Turnover by R. Hood (offensive foul),,31-14,,
10:56.0,,,31-14,,P. Tucker misses 2-pt shot from 19 ft
10:55.0,Defensive rebound by E. Green,,31-14,,
10:36.0,J. Ingles misses 3-pt shot from 23 ft,,31-14,,
10:36.0,,,31-14,,Defensive rebound by T. Chandler
10:26.0,,,31-16,2,T. Chandler makes 2-pt shot from 1 ft (assist by M. Morris)
10:04.0,E. Green misses 2-pt shot from 20 ft,,31-16,,
10:04.0,Offensive rebound by J. Ingles,,31-16,,
9:47.0,R. Hood makes 3-pt shot from 25 ft (assist by E. Green),3,34-16,,
9:38.0,,,34-16,,Turnover by A. Goodwin (bad pass; steal by R. Hood)
9:33.0,T. Booker makes 2-pt shot at rim,2,36-16,,
9:13.0,,,36-19,3,M. Morris makes 3-pt shot from 24 ft (assist by A. Goodwin)
8:55.0,,,36-19,,Personal foul by D. Booker (drawn by R. Hood)
8:55.0,Official timeout,,36-19,,
8:55.0,T. Lyles enters the game for T. Booker,,36-19,,
8:45.0,R. Hood misses 3-pt shot from 24 ft,,36-19,,
8:45.0,,,36-19,,Defensive rebound by D. Booker
8:28.0,,,36-19,,M. Morris misses 2-pt shot from 1 ft
8:27.0,Defensive rebound by T. Lyles,,36-19,,
8:12.0,J. Ingles misses 2-pt shot from 21 ft,,36-19,,
8:12.0,,,36-19,,Defensive rebound by A. Goodwin
8:05.0,,,36-19,,M. Morris misses 2-pt shot at rim
8:03.0,Defensive rebound by T. Lyles,,36-19,,
7:38.0,R. Hood misses 3-pt shot from 38 ft,,36-19,,
7:37.0,,,36-19,,Defensive rebound by P. Tucker
7:26.0,,,36-19,,Shooting foul by R. Gobert (drawn by A. Goodwin)
7:26.0,,,36-20,1,A. Goodwin makes free throw 1 of 2
7:26.0,C. Johnson enters the game for R. Gobert,,36-20,,
7:26.0,D. Favors enters the game for J. Ingles,,36-20,,
7:26.0,R. Neto enters the game for E. Green,,36-20,,
7:26.0,,,36-21,1,A. Goodwin makes free throw 2 of 2
7:07.0,Turnover by R. Neto (bad pass),,36-21,,
6:54.0,,,36-23,2,T. Chandler makes 2-pt shot at rim (assist by D. Booker)
6:31.0,R. Hood misses 2-pt shot at rim (block by T. Chandler),,36-23,,
6:30.0,Offensive rebound by D. Favors,,36-23,,
6:27.0,D. Favors misses 2-pt shot from 14 ft,,36-23,,
6:27.0,,,36-23,,Defensive rebound by Team
6:27.0,G. Hayward enters the game for C. Johnson,,36-23,,
6:27.0,R. Gobert enters the game for T. Lyles,,36-23,,
6:14.0,,,36-23,,Turnover by A. Goodwin (lost ball; steal by R. Gobert)
6:06.0,R. Neto misses 3-pt shot from 24 ft,,36-23,,
6:05.0,,,36-23,,Defensive rebound by M. Morris
5:52.0,,,36-23,,Turnover by M. Morris (traveling)
5:52.0,,,36-23,,Phoenix full timeout
5:52.0,C. Johnson enters the game for R. Hood,,36-23,,
5:30.0,R. Neto misses 2-pt shot from 3 ft,,36-23,,
5:29.0,,,36-23,,Defensive rebound by A. Goodwin
5:13.0,,,36-25,2,M. Morris makes 2-pt shot from 2 ft
4:53.0,R. Gobert misses 2-pt shot from 8 ft,,36-25,,
4:53.0,,,36-25,,Defensive rebound by T. Chandler
4:40.0,,,36-25,,M. Morris misses 2-pt shot from 20 ft
4:40.0,Defensive rebound by R. Gobert,,36-25,,
4:28.0,D. Favors makes 2-pt shot from 5 ft,2,38-25,,
4:11.0,,,38-25,,A. Goodwin misses 3-pt shot from 23 ft
4:11.0,Defensive rebound by D. Favors,,38-25,,
4:03.0,R. Gobert makes 2-pt shot at rim (assist by R. Neto),2,40-25,,
3:41.0,Personal block foul by R. Gobert (drawn by D. Booker),,40-25,,
3:41.0,T. Booker enters the game for R. Gobert,,40-25,,
3:41.0,,,40-25,,A. Len enters the game for T. Chandler
3:35.0,,,40-25,,Shooting foul by C. Johnson (drawn by D. Booker)
3:35.0,,,40-26,1,D. Booker makes free throw 1 of 2
3:35.0,R. Hood enters the game for C. Johnson,,40-26,,
3:35.0,,,40-27,1,D. Booker makes free throw 2 of 2
3:24.0,Turnover by R. Neto (bad pass; steal by D. Booker),,40-27,,
3:20.0,,,40-29,2,D. Booker makes 2-pt shot from 2 ft (assist by A. Len)
3:05.0,,,40-29,,Violation by M. Morris (def goaltending)
3:05.0,R. Hood makes 2-pt shot from 1 ft,2,42-29,,
2:44.0,,,42-29,,Turnover by P. Tucker (bad pass; steal by D. Favors)
2:35.0,G. Hayward misses 2-pt shot from 10 ft,,42-29,,
2:35.0,Offensive rebound by G. Hayward,,42-29,,
2:30.0,Shooting foul by P. Tucker (drawn by D. Favors),,42-29,,
2:30.0,,,42-29,,Technical foul by P. Tucker (drawn by D. Favors)
2:30.0,Utah full timeout,,42-29,,
2:30.0,G. Hayward makes technical free throw,1,43-29,,
2:30.0,D. Favors makes free throw 1 of 2,1,44-29,,
2:30.0,D. Favors makes free throw 2 of 2,1,45-29,,
2:14.0,,,45-29,,Shooting foul by D. Favors (drawn by A. Len)
2:14.0,,,45-30,1,A. Len makes free throw 1 of 2
2:14.0,,,45-30,,A. Len misses free throw 2 of 2
2:13.0,Defensive rebound by D. Favors,,45-30,,
1:58.0,R. Hood makes 3-pt shot from 24 ft (assist by T. Booker),3,48-30,,
1:44.0,Shooting block foul by R. Neto (drawn by A. Goodwin),,48-30,,
1:44.0,,,48-30,,A. Goodwin misses free throw 1 of 2
1:44.0,,,48-30,,Offensive rebound by Team
1:44.0,,,48-31,1,A. Goodwin makes free throw 2 of 2
1:32.0,Turnover by G. Hayward (bad pass; steal by M. Morris),,48-31,,
1:27.0,,,48-33,2,A. Goodwin makes 2-pt shot at rim (assist by M. Morris)
1:18.0,,,48-33,,Personal foul by D. Booker (drawn by R. Hood)
1:04.0,G. Hayward misses 3-pt shot from 25 ft,,48-33,,
1:03.0,,,48-33,,Defensive rebound by A. Goodwin
0:59.0,,,48-35,2,A. Goodwin makes 2-pt shot from 1 ft
0:45.0,D. Favors makes 2-pt shot from 3 ft,2,50-35,,
0:32.0,,,50-35,,P. Tucker misses 3-pt shot from 23 ft
0:31.0,Defensive rebound by T. Booker,,50-35,,
0:27.0,R. Hood misses 2-pt shot from 4 ft,,50-35,,
0:26.0,Offensive rebound by R. Hood,,50-35,,
0:26.0,R. Hood misses 2-pt shot at rim,,50-35,,
0:22.0,Offensive rebound by D. Favors,,50-35,,
0:04.0,R. Neto makes 3-pt shot from 25 ft (assist by G. Hayward),3,53-35,,
0:01.0,,,53-35,,D. Booker misses 3-pt shot from 26 ft (block by G. Hayward)
0:00.0,,,53-35,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:39.0,,,53-35,,M. Morris misses 2-pt shot from 14 ft
11:38.0,,,53-35,,Offensive rebound by M. Morris
11:35.0,,,53-37,2,T. Chandler makes 2-pt shot at rim (assist by M. Morris)
11:09.0,R. Hood misses 3-pt shot from 25 ft,,53-37,,
11:08.0,,,53-37,,Defensive rebound by T. Chandler
10:54.0,Personal foul by R. Hood (drawn by D. Booker),,53-37,,
10:46.0,Personal foul by D. Favors (drawn by A. Goodwin),,53-37,,
10:40.0,,,53-37,,T. Chandler misses 2-pt shot from 16 ft
10:39.0,Defensive rebound by R. Gobert,,53-37,,
10:26.0,R. Neto makes 2-pt shot from 10 ft,2,55-37,,
10:10.0,,,55-37,,A. Goodwin misses 2-pt shot from 2 ft
10:08.0,,,55-37,,Offensive rebound by T. Chandler
10:05.0,,,55-37,,P. Tucker misses 3-pt shot from 25 ft
10:05.0,Defensive rebound by R. Gobert,,55-37,,
9:46.0,G. Hayward misses 2-pt shot from 16 ft,,55-37,,
9:46.0,,,55-37,,Defensive rebound by T. Chandler
9:30.0,,,55-37,,M. Morris misses 2-pt shot from 10 ft
9:29.0,Defensive rebound by R. Gobert,,55-37,,
9:11.0,R. Gobert misses 2-pt shot from 19 ft,,55-37,,
9:11.0,,,55-37,,Defensive rebound by D. Booker
9:05.0,,,55-37,,D. Booker misses 2-pt shot from 1 ft
9:03.0,Defensive rebound by D. Favors,,55-37,,
8:53.0,R. Hood makes 2-pt shot from 7 ft,2,57-37,,
8:53.0,Shooting foul by D. Booker (drawn by R. Hood),,57-37,,
8:53.0,R. Hood makes free throw 1 of 1,1,58-37,,
8:37.0,Personal foul by G. Hayward (drawn by A. Goodwin),,58-37,,
8:29.0,,,58-37,,M. Morris misses 2-pt shot from 2 ft
8:28.0,,,58-37,,Offensive rebound by T. Chandler
8:28.0,,,58-37,,T. Chandler misses 2-pt shot at rim
8:26.0,,,58-37,,Offensive rebound by T. Chandler
8:22.0,,,58-40,3,A. Goodwin makes 3-pt shot from 26 ft (assist by M. Morris)
7:57.0,Shooting foul by D. Booker (drawn by R. Hood),,58-40,,
7:57.0,R. Hood makes free throw 1 of 2,1,59-40,,
7:57.0,,,59-40,,O. Johnson enters the game for D. Booker
7:57.0,R. Hood makes free throw 2 of 2,1,60-40,,
7:44.0,,,60-42,2,M. Morris makes 2-pt shot from 18 ft (assist by P. Tucker)
7:34.0,G. Hayward makes 3-pt shot from 23 ft (assist by R. Neto),3,63-42,,
7:15.0,,,63-42,,M. Morris misses 3-pt shot from 23 ft
7:14.0,Defensive rebound by R. Gobert,,63-42,,
6:54.0,R. Hood makes 2-pt shot from 9 ft,2,65-42,,
6:37.0,,,65-42,,O. Johnson misses 2-pt shot from 1 ft
6:36.0,Defensive rebound by R. Gobert,,65-42,,
6:33.0,Offensive charge foul by G. Hayward,,65-42,,
6:33.0,Turnover by G. Hayward (offensive foul),,65-42,,
6:33.0,,,65-42,,M. Teletovic enters the game for T. Chandler
6:33.0,T. Booker enters the game for R. Gobert,,65-42,,
6:16.0,,,65-45,3,O. Johnson makes 3-pt shot from 23 ft (assist by M. Morris)
5:58.0,G. Hayward makes 2-pt shot from 10 ft,2,67-45,,
5:46.0,Personal foul by R. Hood (drawn by M. Teletovic),,67-45,,
5:46.0,,,67-45,,Phoenix full timeout
5:46.0,C. Johnson enters the game for R. Hood,,67-45,,
5:38.0,,,67-45,,Shooting foul by T. Booker (drawn by M. Teletovic)
5:38.0,,,67-45,,M. Teletovic misses free throw 1 of 2
5:38.0,,,67-45,,Offensive rebound by Team
5:38.0,,,67-45,,M. Teletovic misses free throw 2 of 2
5:38.0,Defensive rebound by T. Booker,,67-45,,
5:21.0,Offensive foul by D. Favors,,67-45,,
5:21.0,Turnover by D. Favors (offensive foul),,67-45,,
5:01.0,,,67-45,,O. Johnson misses 2-pt shot from 11 ft (block by C. Johnson)
5:01.0,Defensive rebound by D. Favors,,67-45,,
4:44.0,D. Favors misses 2-pt shot from 13 ft,,67-45,,
4:43.0,,,67-45,,Defensive rebound by A. Goodwin
4:34.0,,,67-48,3,M. Teletovic makes 3-pt shot from 24 ft (assist by M. Morris)
4:16.0,R. Neto misses 2-pt shot from 3 ft (block by A. Goodwin),,67-48,,
4:14.0,,,67-48,,Defensive rebound by A. Goodwin
4:09.0,,,67-50,2,O. Johnson makes 2-pt shot from 2 ft (assist by M. Morris)
3:52.0,Turnover by C. Johnson (lost ball),,67-50,,
3:52.0,T. Lyles enters the game for D. Favors,,67-50,,
3:42.0,,,67-50,,Turnover by A. Goodwin (bad pass; steal by C. Johnson)
3:37.0,,,67-50,,Personal foul by O. Johnson (drawn by G. Hayward)
3:37.0,J. Ingles enters the game for R. Neto,,67-50,,
3:37.0,E. Green enters the game for C. Johnson,,67-50,,
3:26.0,G. Hayward misses 2-pt shot from 20 ft,,67-50,,
3:25.0,,,67-50,,Defensive rebound by Team
3:11.0,,,67-52,2,M. Teletovic makes 2-pt shot from 9 ft (assist by M. Morris)
2:53.0,Turnover by T. Booker (traveling),,67-52,,
2:53.0,Utah full timeout,,67-52,,
2:37.0,,,67-52,,Offensive charge foul by M. Teletovic
2:37.0,,,67-52,,Turnover by M. Teletovic (offensive foul)
2:14.0,J. Ingles makes 2-pt shot from 1 ft,2,69-52,,
1:57.0,Personal foul by T. Lyles (drawn by M. Teletovic),,69-52,,
1:57.0,,,69-53,1,M. Teletovic makes free throw 1 of 2
1:57.0,,,69-54,1,M. Teletovic makes free throw 2 of 2
1:34.0,G. Hayward misses 2-pt shot from 5 ft,,69-54,,
1:33.0,,,69-54,,Defensive rebound by M. Teletovic
1:26.0,,,69-54,,M. Teletovic misses 2-pt shot from 2 ft
1:25.0,Defensive rebound by J. Ingles,,69-54,,
1:19.0,R. Gobert enters the game for T. Lyles,,69-54,,
1:11.0,J. Ingles misses 3-pt shot from 25 ft,,69-54,,
1:10.0,,,69-54,,Defensive rebound by M. Morris
1:08.0,Personal block foul by J. Ingles (drawn by O. Johnson),,69-54,,
1:08.0,,,69-55,1,O. Johnson makes free throw 1 of 2
1:08.0,,,69-56,1,O. Johnson makes free throw 2 of 2
0:55.0,E. Green misses 2-pt shot from 7 ft,,69-56,,
0:54.0,Offensive rebound by R. Gobert,,69-56,,
0:54.0,R. Gobert makes 2-pt shot at rim,2,71-56,,
0:43.0,,,71-56,,M. Morris misses 2-pt shot from 1 ft
0:42.0,,,71-56,,Offensive rebound by M. Morris
0:40.0,,,71-56,,M. Morris misses 2-pt shot from 1 ft (block by G. Hayward)
0:39.0,,,71-56,,Offensive rebound by M. Morris
0:39.0,,,71-56,,M. Morris misses 2-pt shot from 1 ft (block by R. Gobert)
0:38.0,,,71-56,,Offensive rebound by Team
0:25.0,,,71-56,,M. Teletovic misses 2-pt shot from 7 ft (block by R. Gobert)
0:25.0,,,71-56,,Offensive rebound by Team
0:24.0,,,71-56,,Shooting foul by E. Green (drawn by A. Goodwin)
0:24.0,,,71-57,1,A. Goodwin makes free throw 1 of 2
0:24.0,,,71-58,1,A. Goodwin makes free throw 2 of 2
0:04.0,G. Hayward misses 2-pt shot at rim,,71-58,,
0:04.0,Offensive rebound by E. Green,,71-58,,
0:00.0,Turnover by Team (shot clock),,71-58,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,D. Favors makes 2-pt shot from 16 ft (assist by R. Hood),2,73-58,,
11:20.0,,,73-60,2,A. Len makes 2-pt shot from 3 ft
11:06.0,J. Ingles makes 2-pt shot from 6 ft,2,75-60,,
10:47.0,,,75-62,2,M. Teletovic makes 2-pt shot from 5 ft
10:32.0,,,75-62,,J. McRae enters the game for A. Goodwin
10:22.0,R. Hood misses 2-pt shot from 13 ft,,75-62,,
10:21.0,,,75-62,,Defensive rebound by A. Len
10:09.0,,,75-65,3,M. Teletovic makes 3-pt shot from 25 ft (assist by P. Tucker)
9:54.0,,,75-65,,Personal foul by A. Len (drawn by R. Gobert)
9:54.0,C. Johnson enters the game for J. Ingles,,75-65,,
9:54.0,,,75-65,,D. Booker enters the game for P. Tucker
9:44.0,R. Neto misses 2-pt shot from 1 ft (block by M. Teletovic),,75-65,,
9:44.0,Offensive rebound by Team,,75-65,,
9:41.0,R. Gobert misses 2-pt shot from 6 ft,,75-65,,
9:40.0,,,75-65,,Defensive rebound by O. Johnson
9:30.0,Personal foul by D. Favors (drawn by J. McRae),,75-65,,
9:30.0,T. Booker enters the game for D. Favors,,75-65,,
9:21.0,,,75-65,,Turnover by D. Booker (bad pass; steal by T. Booker)
9:02.0,R. Hood makes 2-pt shot from 10 ft,2,77-65,,
8:42.0,,,77-65,,J. McRae misses 3-pt shot from 22 ft
8:42.0,Defensive rebound by R. Hood,,77-65,,
8:28.0,R. Hood makes 2-pt shot from 5 ft,2,79-65,,
8:17.0,,,79-68,3,M. Teletovic makes 3-pt shot from 28 ft (assist by A. Len)
8:00.0,R. Neto misses 2-pt shot from 1 ft,,79-68,,
7:59.0,Offensive rebound by R. Gobert,,79-68,,
7:59.0,R. Gobert misses 2-pt shot from 1 ft (block by A. Len),,79-68,,
7:59.0,Offensive rebound by Team,,79-68,,
7:59.0,Official timeout,,79-68,,
7:59.0,G. Hayward enters the game for C. Johnson,,79-68,,
7:50.0,T. Booker makes 2-pt shot at rim (assist by R. Gobert),2,81-68,,
7:31.0,,,81-68,,M. Teletovic misses 3-pt shot from 25 ft
7:30.0,Defensive rebound by R. Hood,,81-68,,
7:13.0,R. Hood misses 3-pt shot from 25 ft,,81-68,,
7:11.0,Offensive rebound by T. Booker,,81-68,,
7:11.0,Turnover by T. Booker (bad pass; steal by O. Johnson),,81-68,,
7:06.0,,,81-68,,Shooting foul by R. Neto (drawn by J. McRae)
7:06.0,,,81-68,,J. McRae misses free throw 1 of 2
7:06.0,,,81-68,,Offensive rebound by Team
7:06.0,,,81-69,1,J. McRae makes free throw 2 of 2
6:48.0,T. Booker makes 2-pt shot from 1 ft (assist by R. Neto),2,83-69,,
6:26.0,,,83-69,,D. Booker misses 3-pt shot from 24 ft
6:26.0,Defensive rebound by Team,,83-69,,
6:26.0,,,83-69,,Loose ball foul by A. Len (drawn by R. Gobert)
6:01.0,Turnover by Team (shot clock),,83-69,,
5:38.0,,,83-69,,O. Johnson misses 2-pt shot from 18 ft
5:36.0,,,83-69,,Offensive rebound by A. Len
5:36.0,,,83-69,,A. Len misses 2-pt shot from 1 ft
5:36.0,Defensive rebound by R. Gobert,,83-69,,
5:25.0,R. Hood misses 2-pt shot from 19 ft,,83-69,,
5:24.0,Offensive rebound by Team,,83-69,,
5:24.0,,,83-69,,Phoenix full timeout
5:24.0,,,83-69,,T. Chandler enters the game for J. McRae
5:24.0,,,83-69,,M. Morris enters the game for A. Len
5:24.0,,,83-69,,A. Goodwin enters the game for M. Teletovic
5:24.0,,,83-69,,P. Tucker enters the game for O. Johnson
5:09.0,R. Neto misses 2-pt shot from 18 ft,,83-69,,
5:08.0,,,83-69,,Defensive rebound by T. Chandler
4:51.0,,,83-71,2,M. Morris makes 2-pt shot at rim (assist by P. Tucker)
4:28.0,,,83-71,,Personal foul by P. Tucker (drawn by G. Hayward)
4:28.0,D. Favors enters the game for T. Booker,,83-71,,
4:18.0,G. Hayward misses 2-pt shot from 3 ft,,83-71,,
4:18.0,,,83-71,,Defensive rebound by T. Chandler
4:05.0,,,83-73,2,D. Booker makes 2-pt shot at rim
3:51.0,,,83-73,,Personal foul by M. Morris (drawn by R. Neto)
3:46.0,Shooting foul by M. Morris (drawn by R. Hood),,83-73,,
3:46.0,R. Hood misses free throw 1 of 2,,83-73,,
3:46.0,Offensive rebound by Team,,83-73,,
3:46.0,R. Hood makes free throw 2 of 2,1,84-73,,
3:38.0,Personal foul by D. Favors (drawn by T. Chandler),,84-73,,
3:38.0,T. Booker enters the game for D. Favors,,84-73,,
3:30.0,,,84-75,2,D. Booker makes 2-pt shot from 12 ft
3:13.0,Shooting foul by T. Chandler (drawn by R. Gobert),,84-75,,
3:13.0,R. Gobert misses free throw 1 of 2,,84-75,,
3:13.0,Offensive rebound by Team,,84-75,,
3:13.0,R. Gobert makes free throw 2 of 2,1,85-75,,
3:05.0,,,85-75,,Turnover by A. Goodwin (bad pass; steal by G. Hayward)
3:03.0,,,85-75,,Personal foul by D. Booker (drawn by G. Hayward)
3:03.0,G. Hayward makes free throw 1 of 2,1,86-75,,
3:03.0,G. Hayward makes free throw 2 of 2,1,87-75,,
2:46.0,,,87-75,,D. Booker misses 3-pt shot from 23 ft
2:46.0,,,87-75,,Offensive rebound by T. Chandler
2:42.0,Personal foul by T. Booker (drawn by M. Morris),,87-75,,
2:42.0,Utah full timeout,,87-75,,
2:35.0,,,87-75,,M. Morris misses 2-pt shot from 1 ft
2:35.0,Defensive rebound by Team,,87-75,,
2:35.0,,,87-75,,Personal take foul by T. Chandler (drawn by R. Gobert)
2:35.0,R. Gobert misses free throw 1 of 2,,87-75,,
2:35.0,Offensive rebound by Team,,87-75,,
2:35.0,R. Gobert makes free throw 2 of 2,1,88-75,,
2:28.0,Personal foul by T. Booker (drawn by M. Morris),,88-75,,
2:28.0,,,88-76,1,M. Morris makes free throw 1 of 2
2:28.0,,,88-77,1,M. Morris makes free throw 2 of 2
2:27.0,,,88-77,,Personal take foul by M. Morris (drawn by R. Gobert)
2:27.0,R. Gobert misses free throw 1 of 2,,88-77,,
2:27.0,Offensive rebound by Team,,88-77,,
2:27.0,D. Favors enters the game for T. Booker,,88-77,,
2:27.0,R. Gobert makes free throw 2 of 2,1,89-77,,
2:15.0,,,89-80,3,M. Morris makes 3-pt shot from 25 ft (assist by P. Tucker)
2:10.0,,,89-80,,Personal take foul by T. Chandler (drawn by R. Gobert)
2:10.0,R. Gobert makes free throw 1 of 2,1,90-80,,
2:10.0,R. Gobert makes free throw 2 of 2,1,91-80,,
