time,Milwaukee,pts.away,score,pts.home,Utah
2:58.0,,,59-58,3,T. Lyles makes 3-pt shot from 23 ft (assist by J. Ingles)
2:42.0,Shooting foul by C. Johnson (drawn by G. Antetokounmpo),,59-58,,
2:42.0,G. Antetokounmpo makes free throw 1 of 2,1,60-58,,
2:42.0,J. O'Bryant enters the game for J. Parker,,60-58,,
2:42.0,G. Antetokounmpo misses free throw 2 of 2,,60-58,,
2:42.0,,,60-58,,Defensive rebound by C. Johnson
2:20.0,,,60-58,,C. Johnson misses 2-pt shot from 11 ft
2:19.0,Defensive rebound by M. Plumlee,,60-58,,
2:03.0,Turnover by G. Antetokounmpo (lost ball; steal by J. Ingles),,60-58,,
1:45.0,,,60-58,,T. Lyles misses 2-pt shot from 20 ft
1:44.0,Defensive rebound by J. Bayless,,60-58,,
1:37.0,,,60-58,,Personal foul by C. Johnson (drawn by J. Bayless)
1:37.0,,,60-58,,E. Green enters the game for C. Johnson
1:37.0,,,60-58,,T. Booker enters the game for R. Gobert
1:36.0,Turnover by K. Middleton (bad pass; steal by T. Booker),,60-58,,
1:31.0,,,60-58,,T. Booker misses 2-pt shot from 2 ft (block by M. Plumlee)
1:29.0,Defensive rebound by K. Middleton,,60-58,,
1:19.0,G. Antetokounmpo misses 3-pt shot from 23 ft,,60-58,,
1:19.0,,,60-58,,Defensive rebound by Team
1:19.0,Flagrant foul type 1 by M. Plumlee (drawn by J. Ingles),,60-58,,
1:19.0,G. Monroe enters the game for M. Plumlee,,60-58,,
1:19.0,,,60-59,1,J. Ingles makes flagrant free throw 1 of 2
1:19.0,,,60-59,,J. Ingles misses flagrant free throw 2 of 2
1:19.0,,,60-59,,Offensive rebound by Team
1:19.0,,,60-59,,R. Hood enters the game for J. Ingles
1:06.0,,,60-61,2,G. Hayward makes 2-pt shot from 3 ft
0:48.0,J. Bayless misses 3-pt shot from 25 ft,,60-61,,
0:47.0,,,60-61,,Defensive rebound by T. Lyles
0:27.0,,,60-61,,R. Hood misses 3-pt shot from 24 ft
0:26.0,Defensive rebound by J. O'Bryant,,60-61,,
0:07.0,Turnover by K. Middleton (bad pass; steal by R. Hood),,60-61,,
0:01.0,,,60-61,,T. Lyles misses 3-pt shot from 24 ft
0:00.0,Defensive rebound by K. Middleton,,60-61,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,G. Monroe makes 2-pt shot from 4 ft,2,62-61,,
11:25.0,,,62-61,,Turnover by R. Hood (bad pass; steal by K. Middleton)
11:13.0,Turnover by K. Middleton (bad pass; steal by J. Ingles),,62-61,,
11:04.0,,,62-61,,Shooting foul by R. Vaughn (drawn by R. Hood)
11:04.0,,,62-62,1,R. Hood makes free throw 1 of 2
11:04.0,,,62-62,,R. Neto enters the game for E. Green
11:04.0,,,62-63,1,R. Hood makes free throw 2 of 2
10:52.0,G. Monroe misses 2-pt shot from 2 ft (block by D. Favors),,62-63,,
10:51.0,,,62-63,,Defensive rebound by T. Lyles
10:28.0,,,62-63,,Turnover by Team (shot clock)
10:12.0,K. Middleton makes 2-pt shot from 14 ft,2,64-63,,
9:49.0,,,64-63,,J. Ingles misses 3-pt shot from 24 ft
9:49.0,Defensive rebound by K. Middleton,,64-63,,
9:48.0,,,64-63,,Loose ball foul by D. Favors (drawn by K. Middleton)
9:46.0,Turnover by K. Middleton (bad pass),,64-63,,
9:46.0,,,64-63,,R. Gobert enters the game for T. Lyles
9:26.0,,,64-65,2,J. Ingles makes 2-pt shot from 20 ft
9:04.0,,,64-65,,Personal foul by R. Hood (drawn by K. Middleton)
9:04.0,G. Antetokounmpo enters the game for R. Vaughn,,64-65,,
8:55.0,Turnover by K. Middleton (traveling),,64-65,,
8:55.0,,,64-65,,Utah full timeout
8:55.0,M. Carter-Williams enters the game for K. Middleton,,64-65,,
8:40.0,,,64-65,,R. Hood misses 3-pt shot from 23 ft
8:40.0,Defensive rebound by J. Bayless,,64-65,,
8:19.0,J. Parker misses 2-pt shot from 20 ft,,64-65,,
8:19.0,,,64-65,,Defensive rebound by R. Gobert
8:00.0,,,64-65,,D. Favors misses 2-pt shot from 1 ft (block by G. Monroe)
7:59.0,,,64-65,,Offensive rebound by D. Favors
7:58.0,,,64-65,,Shooting foul by J. Parker (drawn by D. Favors)
7:58.0,,,64-66,1,D. Favors makes free throw 1 of 2
7:58.0,K. Middleton enters the game for J. Bayless,,64-66,,
7:58.0,,,64-66,,G. Hayward enters the game for J. Ingles
7:58.0,,,64-66,,D. Favors misses free throw 2 of 2
7:58.0,Defensive rebound by G. Monroe,,64-66,,
7:44.0,G. Antetokounmpo misses 2-pt shot from 13 ft,,64-66,,
7:43.0,,,64-66,,Defensive rebound by D. Favors
7:29.0,,,64-66,,Shooting foul by G. Monroe (drawn by R. Gobert)
7:29.0,,,64-67,1,R. Gobert makes free throw 1 of 2
7:29.0,,,64-67,,R. Gobert misses free throw 2 of 2
7:28.0,Defensive rebound by G. Antetokounmpo,,64-67,,
7:16.0,K. Middleton misses 2-pt shot from 18 ft,,64-67,,
7:15.0,,,64-67,,Defensive rebound by G. Hayward
6:51.0,,,64-67,,D. Favors misses 2-pt shot from 13 ft
6:51.0,Defensive rebound by G. Antetokounmpo,,64-67,,
6:41.0,Shooting foul by R. Hood (drawn by M. Carter-Williams),,64-67,,
6:41.0,M. Carter-Williams makes 2-pt shot from 2 ft,2,66-67,,
6:41.0,,,66-67,,T. Booker enters the game for D. Favors
6:41.0,M. Carter-Williams misses free throw 1 of 1,,66-67,,
6:40.0,,,66-67,,Defensive rebound by R. Gobert
6:16.0,,,66-70,3,G. Hayward makes 3-pt shot from 28 ft (assist by T. Booker)
6:00.0,G. Antetokounmpo makes 3-pt shot from 23 ft (assist by K. Middleton),3,69-70,,
5:34.0,,,69-70,,R. Neto misses 2-pt shot from 22 ft
5:33.0,Defensive rebound by M. Carter-Williams,,69-70,,
5:19.0,M. Carter-Williams misses 2-pt shot from 8 ft,,69-70,,
5:19.0,Offensive rebound by M. Carter-Williams,,69-70,,
5:07.0,G. Monroe makes 2-pt shot from 5 ft,2,71-70,,
5:06.0,,,71-70,,Utah full timeout
4:42.0,,,71-72,2,R. Gobert makes 2-pt shot at rim (assist by R. Neto)
4:25.0,M. Carter-Williams makes 2-pt shot from 2 ft,2,73-72,,
4:12.0,Personal foul by K. Middleton (drawn by R. Gobert),,73-72,,
4:02.0,,,73-75,3,R. Neto makes 3-pt shot from 24 ft (assist by R. Gobert)
3:48.0,M. Carter-Williams misses 2-pt shot from 5 ft,,73-75,,
3:48.0,,,73-75,,Defensive rebound by R. Hood
3:41.0,,,73-75,,Turnover by G. Hayward (bad pass; steal by M. Carter-Williams)
3:38.0,,,73-75,,Personal foul by R. Neto (drawn by M. Carter-Williams)
3:38.0,,,73-75,,D. Favors enters the game for T. Booker
3:27.0,K. Middleton misses 2-pt shot from 16 ft,,73-75,,
3:27.0,,,73-75,,Defensive rebound by G. Hayward
3:16.0,,,73-78,3,G. Hayward makes 3-pt shot from 24 ft
3:14.0,Milwaukee full timeout,,73-78,,
3:14.0,J. Bayless enters the game for M. Carter-Williams,,73-78,,
3:04.0,G. Antetokounmpo misses 2-pt shot from 2 ft,,73-78,,
3:04.0,Offensive rebound by Team,,73-78,,
3:04.0,,,73-78,,Personal foul by G. Hayward (drawn by G. Monroe)
3:04.0,G. Monroe makes free throw 1 of 2,1,74-78,,
3:04.0,G. Monroe makes free throw 2 of 2,1,75-78,,
2:42.0,,,75-80,2,R. Hood makes 2-pt shot from 12 ft
2:29.0,Turnover by K. Middleton (bad pass; steal by D. Favors),,75-80,,
2:24.0,,,75-80,,D. Favors misses 2-pt shot from 1 ft (block by G. Antetokounmpo)
2:24.0,Jump ball: G. Antetokounmpo vs. D. Favors (G. Hayward gains possession),,,,Jump ball: G. Antetokounmpo vs. D. Favors (G. Hayward gains possession)
2:24.0,,,75-80,,Offensive rebound by Team
2:06.0,,,75-80,,G. Hayward misses 2-pt shot from 16 ft
2:05.0,,,75-80,,Offensive rebound by D. Favors
1:52.0,,,75-80,,R. Hood misses 2-pt shot from 18 ft
1:51.0,,,75-80,,Offensive rebound by R. Gobert
1:32.0,,,75-82,2,G. Hayward makes 2-pt shot from 3 ft
