time,Brooklyn,pts.away,score,pts.home,Oklahoma City
11:11.0,,,28-27,2,D. Waiters makes 2-pt shot at rim
10:55.0,B. Bogdanovic misses 2-pt shot from 7 ft,,28-27,,
10:54.0,,,28-27,,Defensive rebound by Team
10:54.0,T. Robinson enters the game for T. Young,,28-27,,
10:33.0,,,28-27,,D. Waiters misses 2-pt shot from 7 ft
10:31.0,Defensive rebound by W. Ellington,,28-27,,
10:24.0,W. Ellington misses 2-pt shot from 9 ft,,28-27,,
10:24.0,,,28-27,,Defensive rebound by N. Collison
10:18.0,,,28-27,,D. Waiters misses 2-pt shot from 2 ft
10:15.0,Defensive rebound by S. Larkin,,28-27,,
10:08.0,Shooting foul by N. Collison (drawn by W. Ellington),,28-27,,
10:08.0,W. Ellington makes free throw 1 of 2,1,29-27,,
10:08.0,W. Ellington misses free throw 2 of 2,,29-27,,
10:08.0,,,29-27,,Defensive rebound by E. Kanter
9:49.0,,,29-27,,Shooting foul by S. Larkin (drawn by E. Kanter)
9:49.0,,,29-28,1,E. Kanter makes free throw 1 of 2
9:49.0,,,29-29,1,E. Kanter makes free throw 2 of 2
9:38.0,Shooting foul by D. Augustin (drawn by A. Bargnani),,29-29,,
9:38.0,A. Bargnani makes 2-pt shot from 12 ft (assist by S. Larkin),2,31-29,,
9:38.0,A. Bargnani makes free throw 1 of 1,1,32-29,,
9:25.0,,,32-31,2,N. Collison makes 2-pt shot from 2 ft (assist by A. Morrow)
9:12.0,Turnover by S. Larkin (lost ball; steal by D. Waiters),,32-31,,
9:12.0,Personal foul by S. Larkin (drawn by D. Waiters),,32-31,,
8:58.0,,,32-34,3,A. Morrow makes 3-pt shot from 24 ft
8:35.0,A. Bargnani makes 2-pt shot from 13 ft,2,34-34,,
8:23.0,Personal foul by T. Robinson (drawn by E. Kanter),,34-34,,
8:23.0,Official timeout,,34-34,,
8:13.0,,,34-34,,Turnover by A. Morrow (lost ball; steal by T. Robinson)
8:07.0,B. Bogdanovic misses 3-pt shot from 25 ft,,34-34,,
8:07.0,,,34-34,,Defensive rebound by N. Collison
7:52.0,,,34-36,2,E. Kanter makes 2-pt shot from 2 ft (assist by N. Collison)
7:38.0,T. Robinson makes 2-pt shot from 1 ft (assist by S. Larkin),2,36-36,,
7:19.0,,,36-36,,A. Morrow misses 2-pt shot from 15 ft
7:18.0,Defensive rebound by A. Bargnani,,36-36,,
7:02.0,A. Bargnani makes 2-pt shot from 9 ft (assist by W. Ellington),2,38-36,,
6:40.0,,,38-39,3,D. Augustin makes 3-pt shot from 22 ft (assist by D. Waiters)
6:19.0,A. Bargnani misses 3-pt shot from 24 ft,,38-39,,
6:18.0,,,38-39,,Defensive rebound by D. Waiters
6:08.0,,,38-41,2,D. Waiters makes 2-pt shot from 8 ft
5:48.0,W. Ellington misses 2-pt shot from 16 ft,,38-41,,
5:47.0,,,38-41,,Defensive rebound by N. Collison
5:39.0,,,38-41,,Turnover by E. Kanter (lost ball; steal by W. Ellington)
5:29.0,A. Bargnani makes 2-pt shot from 12 ft (assist by S. Larkin),2,40-41,,
5:08.0,,,40-41,,D. Waiters misses 3-pt shot from 23 ft
5:07.0,Defensive rebound by T. Robinson,,40-41,,
5:02.0,S. Larkin makes 2-pt shot from 1 ft,2,42-41,,
5:02.0,Shooting foul by D. Augustin (drawn by S. Larkin),,42-41,,
5:02.0,,,42-41,,Oklahoma City full timeout
5:02.0,,,42-41,,R. Westbrook enters the game for D. Waiters
5:02.0,,,42-41,,K. Durant enters the game for D. Augustin
5:02.0,B. Lopez enters the game for W. Ellington,,42-41,,
5:02.0,J. Johnson enters the game for T. Robinson,,42-41,,
5:02.0,S. Larkin misses free throw 1 of 1,,42-41,,
5:01.0,Offensive rebound by B. Lopez,,42-41,,
4:49.0,S. Larkin misses 2-pt shot from 9 ft,,42-41,,
4:49.0,,,42-41,,Defensive rebound by E. Kanter
4:43.0,,,42-43,2,R. Westbrook makes 2-pt shot from 2 ft
4:35.0,J. Johnson misses 3-pt shot from 23 ft,,42-43,,
4:34.0,,,42-43,,Defensive rebound by A. Morrow
4:16.0,,,42-45,2,R. Westbrook makes 2-pt shot at rim
3:54.0,B. Bogdanovic misses 2-pt shot from 9 ft (block by K. Durant),,42-45,,
3:53.0,Offensive rebound by B. Bogdanovic,,42-45,,
3:48.0,B. Bogdanovic makes 2-pt shot from 5 ft,2,44-45,,
3:37.0,,,44-45,,Turnover by K. Durant (lost ball)
3:37.0,J. Jack enters the game for B. Bogdanovic,,44-45,,
3:37.0,T. Young enters the game for S. Larkin,,44-45,,
3:37.0,R. Hollis-Jefferson enters the game for A. Bargnani,,44-45,,
3:37.0,,,44-45,,S. Ibaka enters the game for E. Kanter
3:37.0,,,44-45,,S. Adams enters the game for N. Collison
3:18.0,T. Young makes 2-pt shot from 4 ft,2,46-45,,
3:04.0,,,46-48,3,A. Morrow makes 3-pt shot from 22 ft (assist by K. Durant)
2:51.0,B. Lopez misses 2-pt shot from 13 ft,,46-48,,
2:51.0,,,46-48,,Defensive rebound by K. Durant
2:39.0,,,46-48,,S. Adams misses 2-pt shot from 7 ft
2:38.0,Defensive rebound by R. Hollis-Jefferson,,46-48,,
2:23.0,J. Jack makes 2-pt shot from 1 ft,2,48-48,,
1:59.0,,,48-50,2,K. Durant makes 2-pt shot from 13 ft (assist by R. Westbrook)
1:45.0,Turnover by J. Jack (bad pass; steal by R. Westbrook),,48-50,,
1:37.0,,,48-50,,Shooting foul by R. Hollis-Jefferson (drawn by S. Adams)
1:37.0,,,48-52,2,S. Adams makes 2-pt shot at rim (assist by R. Westbrook)
1:37.0,Brooklyn full timeout,,48-52,,
1:37.0,,,48-52,,S. Adams misses free throw 1 of 1
1:35.0,Defensive rebound by T. Young,,48-52,,
1:24.0,Turnover by J. Johnson (traveling),,48-52,,
1:04.0,,,48-52,,Offensive foul by R. Westbrook
1:04.0,,,48-52,,Turnover by R. Westbrook (offensive foul)
0:52.0,Shooting foul by S. Adams (drawn by B. Lopez),,48-52,,
0:52.0,B. Lopez makes free throw 1 of 2,1,49-52,,
0:52.0,B. Lopez makes free throw 2 of 2,1,50-52,,
0:43.0,,,50-54,2,K. Durant makes 2-pt shot at rim (assist by R. Westbrook)
0:37.0,J. Jack makes 2-pt shot from 8 ft,2,52-54,,
0:31.0,,,52-54,,R. Westbrook misses 3-pt shot from 24 ft
0:30.0,Defensive rebound by R. Hollis-Jefferson,,52-54,,
0:23.0,Brooklyn full timeout,,52-54,,
0:23.0,,,52-54,,A. Roberson enters the game for S. Adams
0:23.0,,,52-54,,E. Kanter enters the game for A. Morrow
0:23.0,A. Bargnani enters the game for T. Young,,52-54,,
0:23.0,B. Bogdanovic enters the game for R. Hollis-Jefferson,,52-54,,
0:07.0,J. Jack misses 2-pt shot from 20 ft,,52-54,,
0:07.0,,,52-54,,Defensive rebound by K. Durant
0:02.0,,,52-56,2,R. Westbrook makes 2-pt shot at rim (assist by K. Durant)
0:00.0,J. Johnson misses 3-pt shot from 54 ft,,52-56,,
0:00.0,Offensive rebound by Team,,52-56,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,R. Hollis-Jefferson misses 2-pt shot from 7 ft,,52-56,,
11:44.0,,,52-56,,Defensive rebound by S. Ibaka
11:33.0,,,52-56,,K. Durant misses 3-pt shot from 24 ft
11:31.0,Defensive rebound by J. Jack,,52-56,,
11:23.0,T. Young makes 2-pt shot from 5 ft (assist by J. Johnson),2,54-56,,
11:06.0,,,54-56,,R. Westbrook misses 3-pt shot from 24 ft
11:04.0,Defensive rebound by T. Young,,54-56,,
10:48.0,B. Lopez misses 2-pt shot at rim (block by S. Ibaka),,54-56,,
10:47.0,Offensive rebound by B. Lopez,,54-56,,
10:43.0,B. Lopez makes 2-pt shot from 2 ft,2,56-56,,
10:28.0,,,56-56,,K. Durant misses 3-pt shot from 24 ft
10:28.0,Defensive rebound by T. Young,,56-56,,
10:07.0,J. Johnson misses 2-pt shot from 12 ft,,56-56,,
10:06.0,,,56-56,,Defensive rebound by S. Ibaka
10:01.0,,,56-56,,R. Westbrook misses 2-pt shot from 3 ft
10:01.0,Defensive rebound by J. Johnson,,56-56,,
9:51.0,J. Jack makes 3-pt shot from 22 ft (assist by R. Hollis-Jefferson),3,59-56,,
9:51.0,,,59-56,,Oklahoma City full timeout
9:35.0,,,59-58,2,R. Westbrook makes 2-pt shot at rim (assist by K. Durant)
9:17.0,J. Johnson makes 2-pt shot from 5 ft,2,61-58,,
8:55.0,,,61-58,,Turnover by K. Durant (bad pass; steal by B. Lopez)
8:43.0,B. Lopez misses 2-pt shot from 19 ft,,61-58,,
8:43.0,,,61-58,,Defensive rebound by K. Durant
8:35.0,,,61-61,3,K. Durant makes 3-pt shot from 25 ft
8:21.0,Turnover by B. Lopez (lost ball; steal by S. Adams),,61-61,,
8:17.0,,,61-63,2,R. Westbrook makes 2-pt shot at rim (assist by A. Roberson)
8:05.0,Brooklyn full timeout,,61-63,,
7:56.0,J. Johnson misses 3-pt shot from 24 ft,,61-63,,
7:55.0,,,61-63,,Defensive rebound by R. Westbrook
7:50.0,,,61-65,2,A. Roberson makes 2-pt shot at rim (assist by R. Westbrook)
7:42.0,Offensive foul by B. Lopez,,61-65,,
7:42.0,Turnover by B. Lopez (offensive foul),,61-65,,
7:32.0,,,61-67,2,K. Durant makes 2-pt shot from 19 ft (assist by R. Westbrook)
7:13.0,T. Young makes 2-pt shot from 3 ft,2,63-67,,
6:57.0,,,63-67,,S. Ibaka misses 3-pt shot from 23 ft
6:57.0,Defensive rebound by R. Hollis-Jefferson,,63-67,,
6:49.0,Turnover by J. Jack (lost ball; steal by R. Westbrook),,63-67,,
6:43.0,,,63-67,,S. Ibaka misses 2-pt shot from 2 ft (block by B. Lopez)
6:42.0,Defensive rebound by T. Young,,63-67,,
6:27.0,B. Lopez misses 2-pt shot from 17 ft,,63-67,,
6:26.0,,,63-67,,Defensive rebound by K. Durant
6:18.0,,,63-67,,Shooting foul by B. Lopez (drawn by R. Westbrook)
6:18.0,,,63-67,,R. Westbrook misses free throw 1 of 2
6:18.0,,,63-67,,Offensive rebound by Team
6:18.0,A. Bargnani enters the game for J. Johnson,,63-67,,
6:18.0,S. Karasev enters the game for B. Lopez,,63-67,,
6:18.0,,,63-68,1,R. Westbrook makes free throw 2 of 2
6:04.0,A. Bargnani misses 2-pt shot from 19 ft,,63-68,,
6:03.0,,,63-68,,Defensive rebound by S. Ibaka
5:53.0,Personal foul by A. Bargnani (drawn by S. Adams),,63-68,,
5:53.0,,,63-68,,D. Waiters enters the game for S. Adams
5:42.0,,,63-70,2,R. Westbrook makes 2-pt shot from 18 ft
5:28.0,R. Hollis-Jefferson makes 2-pt shot from 21 ft (assist by J. Jack),2,65-70,,
5:12.0,,,65-70,,D. Waiters misses 3-pt shot from 23 ft
5:11.0,Defensive rebound by T. Young,,65-70,,
5:01.0,J. Jack misses 2-pt shot from 10 ft,,65-70,,
5:01.0,,,65-70,,Defensive rebound by D. Waiters
4:57.0,,,65-70,,Turnover by D. Waiters (bad pass)
4:43.0,T. Young makes 2-pt shot from 6 ft (assist by J. Jack),2,67-70,,
4:28.0,,,67-70,,A. Roberson misses 2-pt shot from 3 ft (block by A. Bargnani)
4:25.0,Defensive rebound by J. Jack,,67-70,,
4:12.0,S. Karasev misses 2-pt shot from 6 ft (block by K. Durant),,67-70,,
4:11.0,,,67-70,,Defensive rebound by K. Durant
4:05.0,,,67-70,,K. Durant misses 2-pt shot from 5 ft
4:04.0,Defensive rebound by A. Bargnani,,67-70,,
3:55.0,,,67-70,,Personal block foul by D. Waiters (drawn by J. Jack)
3:48.0,A. Bargnani misses 2-pt shot from 12 ft (block by K. Durant),,67-70,,
3:47.0,,,67-70,,Defensive rebound by A. Roberson
3:37.0,,,67-70,,Shooting foul by R. Hollis-Jefferson (drawn by D. Waiters)
3:37.0,,,67-71,1,D. Waiters makes free throw 1 of 2
3:37.0,,,67-72,1,D. Waiters makes free throw 2 of 2
3:23.0,A. Bargnani makes 2-pt shot from 12 ft (assist by T. Young),2,69-72,,
3:08.0,,,69-72,,Shooting foul by A. Bargnani (drawn by S. Ibaka)
3:08.0,,,69-73,1,S. Ibaka makes free throw 1 of 2
3:08.0,B. Bogdanovic enters the game for R. Hollis-Jefferson,,69-73,,
3:08.0,,,69-74,1,S. Ibaka makes free throw 2 of 2
2:54.0,Turnover by T. Young (lost ball; steal by R. Westbrook),,69-74,,
2:49.0,Personal foul by J. Jack (drawn by R. Westbrook),,69-74,,
2:49.0,Brooklyn full timeout,,69-74,,
2:49.0,B. Lopez enters the game for A. Bargnani,,69-74,,
2:49.0,,,69-75,1,R. Westbrook makes free throw 1 of 2
2:49.0,,,69-75,,S. Adams enters the game for S. Ibaka
2:49.0,S. Larkin enters the game for J. Jack,,69-75,,
2:49.0,,,69-76,1,R. Westbrook makes free throw 2 of 2
2:32.0,S. Larkin makes 3-pt shot from 25 ft (assist by B. Lopez),3,72-76,,
2:14.0,,,72-79,3,K. Durant makes 3-pt shot from 24 ft
1:57.0,Shooting foul by S. Adams (drawn by B. Lopez),,72-79,,
1:57.0,B. Lopez makes free throw 1 of 2,1,73-79,,
1:57.0,,,73-79,,D. Augustin enters the game for R. Westbrook
1:57.0,J. Johnson enters the game for T. Young,,73-79,,
1:57.0,B. Lopez makes free throw 2 of 2,1,74-79,,
1:38.0,,,74-79,,Turnover by A. Roberson (lost ball)
1:27.0,B. Lopez misses 2-pt shot from 12 ft,,74-79,,
1:27.0,,,74-79,,Defensive rebound by S. Adams
1:16.0,,,74-81,2,D. Waiters makes 2-pt shot from 16 ft
0:58.0,B. Lopez makes 2-pt shot from 1 ft (assist by J. Johnson),2,76-81,,
0:46.0,,,76-83,2,D. Waiters makes 2-pt shot from 16 ft (assist by D. Augustin)
0:28.0,Turnover by J. Johnson (lost ball; steal by A. Roberson),,76-83,,
0:27.0,,,76-83,,Turnover by A. Roberson (bad pass)
0:04.0,Turnover by S. Larkin (lost ball; steal by A. Roberson),,76-83,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,,,76-83,,Turnover by D. Waiters (bad pass)
11:31.0,S. Karasev misses 2-pt shot from 1 ft,,76-83,,
11:31.0,,,76-83,,Defensive rebound by E. Kanter
11:16.0,,,76-83,,E. Kanter misses 2-pt shot from 14 ft
11:16.0,Defensive rebound by S. Larkin,,76-83,,
11:01.0,S. Larkin makes 2-pt shot from 15 ft (assist by B. Lopez),2,78-83,,
10:46.0,,,78-83,,Turnover by N. Collison (bad pass; steal by J. Johnson)
10:39.0,J. Johnson makes 2-pt shot from 6 ft,2,80-83,,
10:39.0,Shooting foul by N. Collison (drawn by J. Johnson),,80-83,,
10:39.0,T. Young enters the game for S. Karasev,,80-83,,
10:39.0,J. Johnson makes free throw 1 of 1,1,81-83,,
10:27.0,,,81-83,,D. Augustin misses 2-pt shot from 21 ft
10:27.0,Defensive rebound by B. Bogdanovic,,81-83,,
10:16.0,B. Lopez misses 2-pt shot from 7 ft,,81-83,,
10:15.0,,,81-83,,Defensive rebound by E. Kanter
10:04.0,,,81-83,,E. Kanter misses 2-pt shot from 10 ft
10:03.0,Defensive rebound by T. Young,,81-83,,
9:54.0,J. Johnson misses 2-pt shot from 7 ft,,81-83,,
9:53.0,,,81-83,,Defensive rebound by E. Kanter
9:48.0,,,81-83,,Oklahoma City full timeout
9:48.0,A. Bargnani enters the game for B. Lopez,,81-83,,
9:41.0,,,81-83,,D. Augustin misses 2-pt shot from 2 ft
9:41.0,,,81-83,,Offensive rebound by Team
9:31.0,,,81-83,,D. Waiters misses 2-pt shot from 1 ft
9:30.0,,,81-83,,Offensive rebound by N. Collison
9:30.0,,,81-83,,N. Collison misses 2-pt shot from 1 ft
9:30.0,Defensive rebound by S. Larkin,,81-83,,
9:24.0,B. Bogdanovic misses 3-pt shot from 25 ft,,81-83,,
9:22.0,,,81-83,,Defensive rebound by E. Kanter
9:02.0,,,81-83,,A. Morrow misses 3-pt shot from 23 ft
9:01.0,,,81-83,,Offensive rebound by E. Kanter
9:01.0,,,81-85,2,E. Kanter makes 2-pt shot at rim
8:44.0,,,81-85,,Violation by E. Kanter (def goaltending)
8:44.0,T. Young makes 2-pt shot from 5 ft,2,83-85,,
8:33.0,,,83-85,,Turnover by E. Kanter (lost ball; steal by T. Young)
8:24.0,B. Bogdanovic makes 2-pt shot from 2 ft (assist by T. Young),2,85-85,,
8:09.0,,,85-85,,Turnover by A. Morrow (lost ball)
8:09.0,,,85-85,,R. Westbrook enters the game for E. Kanter
8:09.0,,,85-85,,K. Durant enters the game for N. Collison
8:09.0,,,85-85,,S. Ibaka enters the game for D. Augustin
7:52.0,A. Bargnani misses 2-pt shot from 15 ft,,85-85,,
7:51.0,,,85-85,,Defensive rebound by S. Ibaka
7:41.0,,,85-88,3,K. Durant makes 3-pt shot from 24 ft
7:26.0,Turnover by J. Johnson (lost ball),,85-88,,
7:13.0,,,85-88,,D. Waiters misses 3-pt shot from 23 ft
7:13.0,Defensive rebound by J. Johnson,,85-88,,
7:05.0,,,85-88,,Personal foul by D. Waiters (drawn by T. Young)
7:05.0,B. Lopez enters the game for A. Bargnani,,85-88,,
7:05.0,R. Hollis-Jefferson enters the game for B. Bogdanovic,,85-88,,
6:57.0,J. Johnson misses 3-pt shot from 24 ft,,85-88,,
6:57.0,,,85-88,,Defensive rebound by R. Westbrook
6:48.0,,,85-91,3,D. Waiters makes 3-pt shot from 23 ft (assist by K. Durant)
6:32.0,J. Johnson misses 3-pt shot from 23 ft,,85-91,,
6:31.0,,,85-91,,Defensive rebound by K. Durant
6:23.0,,,85-94,3,K. Durant makes 3-pt shot from 25 ft (assist by R. Westbrook)
6:22.0,Brooklyn full timeout,,85-94,,
6:22.0,J. Jack enters the game for R. Hollis-Jefferson,,85-94,,
6:15.0,Turnover by J. Johnson (lost ball),,85-94,,
6:15.0,Loose ball foul by J. Jack (drawn by D. Waiters),,85-94,,
6:01.0,,,85-96,2,S. Ibaka makes 2-pt shot at rim (assist by R. Westbrook)
5:42.0,B. Lopez makes 2-pt shot from 19 ft (assist by J. Jack),2,87-96,,
5:23.0,,,87-99,3,K. Durant makes 3-pt shot from 24 ft (assist by R. Westbrook)
5:07.0,B. Lopez makes 2-pt shot from 9 ft,2,89-99,,
4:48.0,,,89-102,3,D. Waiters makes 3-pt shot from 23 ft (assist by R. Westbrook)
4:32.0,Turnover by J. Johnson (bad pass; steal by A. Morrow),,89-102,,
4:21.0,,,89-102,,K. Durant misses 3-pt shot from 25 ft
4:21.0,Defensive rebound by S. Larkin,,89-102,,
4:11.0,Turnover by B. Lopez (traveling),,89-102,,
4:01.0,,,89-102,,Turnover by R. Westbrook (bad pass; steal by S. Larkin)
3:56.0,T. Young makes 2-pt shot from 1 ft (assist by S. Larkin),2,91-102,,
3:20.0,,,91-102,,D. Waiters misses 3-pt shot from 25 ft
3:19.0,Defensive rebound by J. Johnson,,91-102,,
3:12.0,Turnover by J. Johnson (bad pass; steal by R. Westbrook),,91-102,,
3:10.0,,,91-102,,Shooting foul by J. Jack (drawn by R. Westbrook)
3:10.0,,,91-103,1,R. Westbrook makes free throw 1 of 2
3:10.0,R. Hollis-Jefferson enters the game for J. Jack,,91-103,,
3:10.0,,,91-104,1,R. Westbrook makes free throw 2 of 2
2:55.0,S. Larkin misses 2-pt shot from 14 ft,,91-104,,
2:55.0,Offensive rebound by B. Lopez,,91-104,,
2:53.0,B. Lopez makes 2-pt shot from 1 ft,2,93-104,,
2:33.0,,,93-104,,Shooting foul by B. Lopez (drawn by S. Ibaka)
2:33.0,Official timeout,,93-104,,
