time,Portland,pts.away,score,pts.home,Golden State
0:46.0,,,37-28,,M. Speights enters the game for A. Varejao
0:46.0,C. McCollum enters the game for M. Harkless,,37-28,,
0:30.0,C. McCollum misses 3-pt shot from 26 ft,,37-28,,
0:29.0,,,37-28,,Defensive rebound by D. Green
0:10.0,,,37-31,3,S. Curry makes 3-pt shot from 24 ft (assist by D. Green)
0:01.0,D. Lillard misses 2-pt shot from 5 ft (block by D. Green),,37-31,,
0:00.0,Offensive rebound by Team,,37-31,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,,,37-33,2,M. Speights makes 2-pt shot from 17 ft (assist by S. Livingston)
11:23.0,Shooting foul by S. Livingston (drawn by G. Henderson),,37-33,,
11:23.0,G. Henderson misses free throw 1 of 2,,37-33,,
11:23.0,Offensive rebound by Team,,37-33,,
11:23.0,G. Henderson makes free throw 2 of 2,1,38-33,,
11:08.0,,,38-33,,M. Speights misses 2-pt shot from 3 ft
11:04.0,Defensive rebound by E. Davis,,38-33,,
10:54.0,Turnover by C. McCollum (bad pass),,38-33,,
10:42.0,,,38-35,2,L. Barbosa makes 2-pt shot from 9 ft (assist by M. Speights)
10:26.0,C. McCollum misses 2-pt shot from 12 ft,,38-35,,
10:26.0,,,38-35,,Defensive rebound by L. Barbosa
10:19.0,,,38-37,2,L. Barbosa makes 2-pt shot from 2 ft
10:16.0,Portland full timeout,,38-37,,
9:59.0,G. Henderson misses 2-pt shot from 17 ft,,38-37,,
9:59.0,,,38-37,,Defensive rebound by L. Barbosa
9:53.0,,,38-37,,L. Barbosa misses 2-pt shot from 3 ft
9:51.0,Defensive rebound by Team,,38-37,,
9:36.0,G. Henderson makes 2-pt shot from 13 ft (assist by E. Davis),2,40-37,,
9:25.0,Def 3 sec tech foul by E. Davis,,40-37,,
9:25.0,,,40-38,1,K. Thompson makes technical free throw
9:25.0,,,40-38,,B. Rush enters the game for L. Barbosa
9:19.0,,,40-40,2,K. Thompson makes 2-pt shot from 11 ft (assist by S. Livingston)
9:19.0,,,40-40,,Shooting foul by A. Crabbe (drawn by K. Thompson)
9:19.0,,,40-41,1,K. Thompson makes free throw 1 of 1
9:02.0,C. McCollum misses 3-pt shot from 22 ft,,40-41,,
9:01.0,,,40-41,,Defensive rebound by S. Livingston
8:53.0,,,40-41,,S. Livingston misses 2-pt shot from 9 ft
8:52.0,Defensive rebound by E. Davis,,40-41,,
8:42.0,C. McCollum misses 2-pt shot from 7 ft (block by B. Rush),,40-41,,
8:42.0,Offensive rebound by Team,,40-41,,
8:39.0,A. Aminu misses 3-pt shot from 23 ft,,40-41,,
8:39.0,Offensive rebound by E. Davis,,40-41,,
8:11.0,Offensive charge foul by G. Henderson,,40-41,,
8:11.0,Turnover by G. Henderson (offensive foul),,40-41,,
7:57.0,,,40-41,,K. Thompson misses 2-pt shot from 3 ft (block by E. Davis)
7:55.0,Defensive rebound by A. Crabbe,,40-41,,
7:52.0,Turnover by C. McCollum (bad pass),,40-41,,
7:37.0,,,40-41,,M. Speights misses 2-pt shot from 11 ft
7:37.0,Defensive rebound by E. Davis,,40-41,,
7:28.0,C. McCollum makes 2-pt shot from 18 ft,2,42-41,,
7:20.0,,,42-41,,Golden State full timeout
7:20.0,,,42-41,,S. Curry enters the game for S. Livingston
7:08.0,,,42-41,,Turnover by S. Curry (bad pass)
7:05.0,G. Henderson makes 2-pt shot from 15 ft (assist by A. Crabbe),2,44-41,,
6:54.0,,,44-41,,K. Thompson misses 2-pt shot from 1 ft
6:52.0,,,44-41,,Offensive rebound by M. Speights
6:52.0,,,44-41,,M. Speights misses 2-pt shot at rim (block by E. Davis)
6:48.0,,,44-41,,Offensive rebound by B. Rush
6:45.0,,,44-41,,Turnover by M. Speights (lost ball; steal by C. McCollum)
6:42.0,Shooting foul by B. Rush (drawn by A. Crabbe),,44-41,,
6:42.0,A. Crabbe makes free throw 1 of 2,1,45-41,,
6:42.0,,,45-41,,D. Green enters the game for M. Speights
6:42.0,,,45-41,,Golden State full timeout
6:42.0,A. Crabbe makes free throw 2 of 2,1,46-41,,
6:23.0,,,46-41,,D. Green misses 3-pt shot from 24 ft
6:22.0,Defensive rebound by A. Aminu,,46-41,,
6:12.0,C. McCollum misses 2-pt shot from 13 ft,,46-41,,
6:12.0,,,46-41,,Defensive rebound by B. Rush
6:05.0,,,46-44,3,B. Rush makes 3-pt shot from 25 ft
5:43.0,A. Crabbe misses 2-pt shot from 10 ft,,46-44,,
5:43.0,,,46-44,,Defensive rebound by D. Green
5:27.0,,,46-47,3,S. Curry makes 3-pt shot from 33 ft
5:25.0,Portland full timeout,,46-47,,
5:25.0,D. Lillard enters the game for A. Aminu,,46-47,,
5:25.0,M. Harkless enters the game for C. McCollum,,46-47,,
5:12.0,G. Henderson misses 3-pt shot from 25 ft,,46-47,,
5:11.0,,,46-47,,Defensive rebound by H. Barnes
5:03.0,,,46-49,2,K. Thompson makes 2-pt shot from 18 ft (assist by S. Curry)
4:46.0,E. Davis misses 2-pt shot from 2 ft,,46-49,,
4:45.0,Offensive rebound by E. Davis,,46-49,,
4:45.0,E. Davis makes 2-pt shot from 2 ft,2,48-49,,
4:18.0,,,48-49,,Shooting foul by E. Davis (drawn by D. Green)
4:18.0,,,48-50,1,D. Green makes free throw 1 of 2
4:18.0,M. Plumlee enters the game for E. Davis,,48-50,,
4:18.0,,,48-51,1,D. Green makes free throw 2 of 2
4:06.0,D. Lillard makes 2-pt shot from 15 ft (assist by M. Plumlee),2,50-51,,
3:49.0,,,50-54,3,S. Curry makes 3-pt shot from 25 ft (assist by D. Green)
3:25.0,M. Harkless misses 2-pt shot from 13 ft,,50-54,,
3:25.0,,,50-54,,Defensive rebound by B. Rush
3:17.0,,,50-54,,S. Curry misses 3-pt shot from 29 ft
3:16.0,Defensive rebound by G. Henderson,,50-54,,
3:06.0,G. Henderson misses 2-pt shot from 16 ft,,50-54,,
3:06.0,Offensive rebound by M. Harkless,,50-54,,
3:06.0,Shooting foul by S. Curry (drawn by M. Harkless),,50-54,,
3:06.0,M. Harkless makes free throw 1 of 2,1,51-54,,
3:06.0,C. McCollum enters the game for G. Henderson,,51-54,,
3:06.0,A. Aminu enters the game for A. Crabbe,,51-54,,
3:06.0,M. Harkless misses free throw 2 of 2,,51-54,,
3:06.0,,,51-54,,Defensive rebound by K. Thompson
2:56.0,,,51-54,,K. Thompson misses 2-pt shot from 1 ft
2:56.0,Defensive rebound by Team,,51-54,,
2:56.0,Official timeout,,51-54,,
2:56.0,,,51-54,,S. Livingston enters the game for B. Rush
2:48.0,Turnover by M. Plumlee (offensive foul),,51-54,,
2:48.0,Offensive foul by M. Plumlee,,51-54,,
2:35.0,,,51-54,,S. Curry misses 2-pt shot from 20 ft
2:35.0,Defensive rebound by M. Harkless,,51-54,,
2:27.0,A. Aminu makes 3-pt shot from 23 ft (assist by C. McCollum),3,54-54,,
2:04.0,,,54-57,3,H. Barnes makes 3-pt shot from 25 ft (assist by S. Curry)
1:45.0,M. Harkless misses 2-pt shot from 4 ft (block by K. Thompson),,54-57,,
1:44.0,,,54-57,,Defensive rebound by S. Livingston
1:36.0,,,54-57,,K. Thompson misses 3-pt shot from 23 ft
1:36.0,Defensive rebound by C. McCollum,,54-57,,
1:29.0,Shooting foul by D. Green (drawn by M. Harkless),,54-57,,
1:29.0,M. Harkless makes free throw 1 of 2,1,55-57,,
1:29.0,M. Harkless makes free throw 2 of 2,1,56-57,,
1:19.0,,,56-57,,D. Green misses 2-pt shot from 2 ft
1:18.0,,,56-57,,Offensive rebound by D. Green
1:18.0,,,56-59,2,D. Green makes 2-pt shot from 2 ft
0:54.0,M. Harkless misses 2-pt shot from 6 ft,,56-59,,
0:54.0,,,56-59,,Defensive rebound by S. Curry
0:51.0,,,56-61,2,H. Barnes makes 2-pt shot at rim (assist by S. Curry)
0:30.0,D. Lillard misses 3-pt shot from 26 ft,,56-61,,
0:29.0,,,56-61,,Defensive rebound by K. Thompson
0:22.0,,,56-61,,Shooting foul by M. Plumlee (drawn by D. Green)
0:22.0,,,56-62,1,D. Green makes free throw 1 of 2
0:22.0,,,56-62,,L. Barbosa enters the game for S. Curry
0:22.0,A. Crabbe enters the game for M. Plumlee,,56-62,,
0:22.0,,,56-63,1,D. Green makes free throw 2 of 2
0:03.0,D. Lillard misses 2-pt shot from 6 ft,,56-63,,
0:02.0,Offensive rebound by M. Harkless,,56-63,,
0:02.0,M. Harkless misses 2-pt shot from 1 ft,,56-63,,
0:01.0,,,56-63,,Defensive rebound by S. Livingston
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,,,56-63,,K. Thompson misses 2-pt shot from 2 ft
11:42.0,Defensive rebound by A. Aminu,,56-63,,
11:30.0,D. Lillard misses 2-pt shot from 14 ft,,56-63,,
11:29.0,,,56-63,,Defensive rebound by H. Barnes
11:15.0,,,56-65,2,D. Green makes 2-pt shot from 9 ft
10:56.0,Turnover by C. McCollum (lost ball; steal by S. Curry),,56-65,,
10:45.0,,,56-67,2,K. Thompson makes 2-pt shot from 2 ft (assist by D. Green)
10:32.0,Turnover by M. Plumlee (lost ball; steal by D. Green),,56-67,,
10:20.0,,,56-67,,S. Curry misses 3-pt shot from 26 ft
10:19.0,,,56-67,,Offensive rebound by F. Ezeli
10:14.0,,,56-67,,Turnover by S. Curry (lost ball; steal by M. Harkless)
10:00.0,D. Lillard makes 2-pt shot from 1 ft,2,58-67,,
9:48.0,,,58-67,,Shooting foul by M. Harkless (drawn by F. Ezeli)
9:48.0,,,58-67,,F. Ezeli misses free throw 1 of 2
9:48.0,,,58-67,,Offensive rebound by Team
9:48.0,,,58-67,,F. Ezeli misses free throw 2 of 2
9:47.0,Defensive rebound by M. Harkless,,58-67,,
9:34.0,Turnover by M. Plumlee (lost ball; steal by D. Green),,58-67,,
9:19.0,,,58-67,,H. Barnes misses 2-pt shot from 19 ft
9:18.0,Defensive rebound by A. Aminu,,58-67,,
9:10.0,C. McCollum makes 2-pt shot from 14 ft (assist by A. Aminu),2,60-67,,
8:53.0,,,60-67,,Shooting foul by M. Harkless (drawn by D. Green)
8:53.0,,,60-68,1,D. Green makes free throw 1 of 2
8:53.0,,,60-69,1,D. Green makes free throw 2 of 2
8:35.0,C. McCollum misses 3-pt shot from 26 ft,,60-69,,
8:33.0,,,60-69,,Defensive rebound by S. Curry
8:28.0,,,60-71,2,D. Green makes 2-pt shot from 1 ft (assist by S. Curry)
8:10.0,C. McCollum makes 3-pt shot from 25 ft (assist by M. Plumlee),3,63-71,,
8:05.0,,,63-71,,Turnover by F. Ezeli (lost ball; steal by M. Plumlee)
8:01.0,D. Lillard makes 3-pt shot from 25 ft (assist by M. Plumlee),3,66-71,,
7:49.0,,,66-73,2,S. Curry makes 2-pt shot from 12 ft
7:34.0,D. Lillard makes 2-pt shot from 1 ft,2,68-73,,
7:22.0,,,68-76,3,S. Curry makes 3-pt shot from 26 ft
7:09.0,,,68-76,,Personal foul by F. Ezeli
7:09.0,,,68-76,,J. McAdoo enters the game for F. Ezeli
6:56.0,D. Lillard makes 2-pt shot from 1 ft,2,70-76,,
6:44.0,,,70-79,3,S. Curry makes 3-pt shot from 25 ft (assist by D. Green)
6:42.0,Portland full timeout,,70-79,,
6:29.0,Shooting foul by H. Barnes (drawn by M. Harkless),,70-79,,
6:29.0,M. Harkless misses free throw 1 of 2,,70-79,,
6:29.0,Offensive rebound by Team,,70-79,,
6:29.0,M. Harkless makes free throw 2 of 2,1,71-79,,
6:15.0,,,71-82,3,S. Curry makes 3-pt shot from 26 ft (assist by K. Thompson)
6:01.0,D. Lillard makes 2-pt shot from 1 ft,2,73-82,,
5:55.0,,,73-85,3,S. Curry makes 3-pt shot from 29 ft
5:44.0,D. Lillard makes 3-pt shot from 26 ft,3,76-85,,
5:35.0,,,76-85,,S. Curry misses 3-pt shot from 26 ft
5:34.0,Defensive rebound by M. Plumlee,,76-85,,
5:21.0,M. Plumlee makes 2-pt shot at rim (assist by D. Lillard),2,78-85,,
5:05.0,,,78-87,2,J. McAdoo makes 2-pt shot from 5 ft (assist by S. Curry)
4:52.0,M. Plumlee misses 2-pt shot from 4 ft (block by J. McAdoo),,78-87,,
4:52.0,Offensive rebound by Team,,78-87,,
4:52.0,A. Crabbe enters the game for C. McCollum,,78-87,,
4:52.0,G. Henderson enters the game for A. Aminu,,78-87,,
4:52.0,,,78-87,,L. Barbosa enters the game for K. Thompson
4:41.0,,,78-87,,Personal block foul by D. Green
4:41.0,E. Davis enters the game for M. Plumlee,,78-87,,
4:32.0,M. Harkless makes 2-pt shot at rim (assist by E. Davis),2,80-87,,
4:20.0,,,80-87,,S. Curry misses 2-pt shot from 18 ft
4:19.0,Defensive rebound by Team,,80-87,,
4:19.0,,,80-87,,Loose ball foul by J. McAdoo
4:19.0,,,80-87,,S. Livingston enters the game for H. Barnes
4:06.0,D. Lillard misses 3-pt shot from 26 ft,,80-87,,
4:06.0,,,80-87,,Defensive rebound by L. Barbosa
3:51.0,,,80-87,,L. Barbosa misses 2-pt shot from 16 ft
3:51.0,Defensive rebound by G. Henderson,,80-87,,
3:32.0,D. Lillard makes 2-pt shot from 20 ft,2,82-87,,
3:23.0,,,82-89,2,S. Livingston makes 2-pt shot from 12 ft
2:54.0,G. Henderson makes 2-pt shot from 12 ft,2,84-89,,
2:44.0,,,84-89,,Turnover by S. Livingston (traveling)
2:44.0,,,84-89,,Golden State full timeout
2:44.0,C. McCollum enters the game for M. Harkless,,84-89,,
2:44.0,A. Aminu enters the game for D. Lillard,,84-89,,
2:22.0,C. McCollum misses 2-pt shot from 17 ft (block by D. Green),,84-89,,
2:21.0,,,84-89,,Defensive rebound by J. McAdoo
2:17.0,,,84-91,2,J. McAdoo makes 2-pt shot from 1 ft (assist by L. Barbosa)
1:58.0,C. McCollum misses 3-pt shot from 23 ft,,84-91,,
1:57.0,,,84-91,,Defensive rebound by D. Green
1:49.0,,,84-93,2,D. Green makes 2-pt shot from 1 ft
1:27.0,E. Davis misses 2-pt shot from 4 ft,,84-93,,
1:26.0,,,84-93,,Defensive rebound by D. Green
1:14.0,,,84-93,,Turnover by D. Green (lost ball; steal by A. Aminu)
1:14.0,,,84-93,,Personal foul by J. McAdoo
1:14.0,A. Aminu makes free throw 1 of 2,1,85-93,,
1:14.0,A. Aminu makes free throw 2 of 2,1,86-93,,
0:53.0,,,86-96,3,L. Barbosa makes 3-pt shot from 25 ft (assist by S. Livingston)
0:32.0,Turnover by C. McCollum (lost ball; steal by J. McAdoo),,86-96,,
0:27.0,,,86-98,2,L. Barbosa makes 2-pt shot from 2 ft (assist by S. Livingston)
0:10.0,Shooting foul by J. McAdoo (drawn by C. McCollum),,86-98,,
0:10.0,C. McCollum misses free throw 1 of 2,,86-98,,
0:10.0,Offensive rebound by Team,,86-98,,
0:10.0,,,86-98,,K. Thompson enters the game for J. McAdoo
0:10.0,C. McCollum makes free throw 2 of 2,1,87-98,,
0:04.0,,,87-100,2,D. Green makes 2-pt shot from 2 ft
0:04.0,,,87-100,,Shooting foul by E. Davis (drawn by D. Green)
0:04.0,,,87-100,,I. Clark enters the game for S. Curry
0:04.0,,,87-101,1,D. Green makes free throw 1 of 1
0:01.0,,,87-101,,Personal foul by I. Clark
0:01.0,C. McCollum makes free throw 1 of 2,1,88-101,,
0:01.0,C. McCollum makes free throw 2 of 2,1,89-101,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,D. Lillard misses 3-pt shot from 25 ft,,89-101,,
11:44.0,,,89-101,,Defensive rebound by K. Thompson
11:31.0,,,89-101,,K. Thompson misses 3-pt shot from 24 ft
11:30.0,Defensive rebound by A. Aminu,,89-101,,
11:25.0,Turnover by C. McCollum (traveling),,89-101,,
11:12.0,,,89-103,2,K. Thompson makes 2-pt shot from 1 ft (assist by M. Speights)
10:52.0,Shooting foul by L. Barbosa (drawn by A. Aminu),,89-103,,
10:52.0,A. Aminu makes free throw 1 of 2,1,90-103,,
10:52.0,A. Aminu makes free throw 2 of 2,1,91-103,,
10:40.0,,,91-103,,Turnover by S. Livingston (bad pass)
10:33.0,A. Aminu misses 2-pt shot from 3 ft (block by K. Thompson),,91-103,,
10:32.0,,,91-103,,Defensive rebound by Team
10:18.0,,,91-106,3,H. Barnes makes 3-pt shot from 25 ft (assist by K. Thompson)
10:01.0,Shooting foul by M. Speights (drawn by G. Henderson),,91-106,,
10:01.0,G. Henderson misses free throw 1 of 2,,91-106,,
10:01.0,Offensive rebound by Team,,91-106,,
10:01.0,G. Henderson makes free throw 2 of 2,1,92-106,,
9:49.0,,,92-106,,Turnover by S. Livingston (lost ball; steal by C. McCollum)
9:41.0,G. Henderson makes 2-pt shot from 1 ft (assist by A. Aminu),2,94-106,,
9:21.0,,,94-106,,M. Speights misses 3-pt shot from 25 ft
9:20.0,Defensive rebound by Team,,94-106,,
9:01.0,E. Davis misses 2-pt shot from 2 ft,,94-106,,
9:00.0,,,94-106,,Defensive rebound by H. Barnes
8:55.0,,,94-106,,Shooting foul by C. McCollum (drawn by M. Speights)
8:55.0,Official timeout,,94-106,,
8:55.0,,,94-106,,B. Rush enters the game for L. Barbosa
8:55.0,,,94-107,1,M. Speights makes free throw 1 of 2
8:55.0,,,94-108,1,M. Speights makes free throw 2 of 2
8:41.0,E. Davis makes 2-pt shot at rim (assist by D. Lillard),2,96-108,,
8:28.0,,,96-108,,Offensive foul by M. Speights
8:28.0,,,96-108,,Turnover by M. Speights (offensive foul)
8:14.0,D. Lillard makes 2-pt shot from 18 ft,2,98-108,,
7:56.0,,,98-108,,K. Thompson misses 3-pt shot from 25 ft
7:55.0,Defensive rebound by E. Davis,,98-108,,
7:49.0,,,98-108,,Personal foul by S. Livingston
7:49.0,,,98-108,,D. Green enters the game for M. Speights
7:40.0,G. Henderson misses 2-pt shot from 9 ft,,98-108,,
7:39.0,,,98-108,,Defensive rebound by H. Barnes
7:23.0,,,98-110,2,S. Livingston makes 2-pt shot from 10 ft
7:10.0,,,98-110,,Personal foul by K. Thompson
7:10.0,M. Harkless enters the game for E. Davis,,98-110,,
7:04.0,D. Lillard misses 3-pt shot from 25 ft,,98-110,,
7:03.0,,,98-110,,Defensive rebound by H. Barnes
6:50.0,,,98-112,2,S. Livingston makes 2-pt shot at rim (assist by D. Green)
6:48.0,Portland full timeout,,98-112,,
6:48.0,,,98-112,,L. Barbosa enters the game for H. Barnes
6:48.0,,,98-112,,S. Curry enters the game for S. Livingston
6:28.0,D. Lillard misses 2-pt shot at rim (block by S. Curry),,98-112,,
6:28.0,,,98-112,,Defensive rebound by Team
6:12.0,Personal foul by G. Henderson,,98-112,,
6:05.0,,,98-112,,D. Green misses 2-pt shot from 1 ft
6:05.0,Defensive rebound by A. Aminu,,98-112,,
6:00.0,Shooting foul by K. Thompson (drawn by D. Lillard),,98-112,,
6:00.0,D. Lillard makes free throw 1 of 2,1,99-112,,
6:00.0,A. Crabbe enters the game for G. Henderson,,99-112,,
6:00.0,D. Lillard makes free throw 2 of 2,1,100-112,,
5:53.0,,,100-112,,Turnover by S. Curry (lost ball; steal by C. McCollum)
5:48.0,C. McCollum makes 3-pt shot from 27 ft,3,103-112,,
5:48.0,,,103-112,,Golden State full timeout
5:36.0,,,103-112,,Shooting foul by M. Harkless (drawn by S. Curry)
5:36.0,,,103-113,1,S. Curry makes free throw 1 of 2
5:36.0,,,103-114,1,S. Curry makes free throw 2 of 2
5:27.0,Shooting foul by B. Rush (drawn by D. Lillard),,103-114,,
5:27.0,D. Lillard makes free throw 1 of 2,1,104-114,,
5:27.0,D. Lillard makes free throw 2 of 2,1,105-114,,
5:15.0,,,105-116,2,K. Thompson makes 2-pt shot from 1 ft (assist by D. Green)
5:15.0,,,105-116,,Shooting foul by C. McCollum (drawn by K. Thompson)
5:15.0,,,105-117,1,K. Thompson makes free throw 1 of 1
4:56.0,A. Aminu misses 2-pt shot from 1 ft,,105-117,,
4:55.0,Offensive rebound by M. Harkless,,105-117,,
4:55.0,M. Harkless misses 2-pt shot at rim,,105-117,,
