time,Toronto,pts.away,score,pts.home,Denver
5:52.0,D. DeRozan makes 2-pt shot from 10 ft,2,35-36,,
5:37.0,,,35-39,3,G. Harris makes 3-pt shot from 25 ft (assist by W. Barton)
5:17.0,K. Lowry misses 2-pt shot from 1 ft (block by R. Foye),,35-39,,
5:16.0,Offensive rebound by J. Valanciunas,,35-39,,
5:15.0,,,35-39,,Shooting block foul by R. Foye (drawn by J. Valanciunas)
5:15.0,J. Valanciunas makes free throw 1 of 2,1,36-39,,
5:15.0,,,36-39,,E. Mudiay enters the game for R. Foye
5:15.0,,,36-39,,D. Gallinari enters the game for W. Barton
5:15.0,J. Johnson enters the game for T. Ross,,36-39,,
5:15.0,J. Valanciunas misses free throw 2 of 2,,36-39,,
5:10.0,,,36-39,,Defensive rebound by K. Faried
5:00.0,,,36-41,2,N. Jokic makes 2-pt shot from 13 ft (assist by E. Mudiay)
4:52.0,D. DeRozan misses 2-pt shot from 14 ft,,36-41,,
4:44.0,Offensive rebound by Team,,36-41,,
4:43.0,,,36-41,,Loose ball foul by N. Jokic (drawn by J. Valanciunas)
4:43.0,J. Valanciunas misses free throw 1 of 2,,36-41,,
4:43.0,Offensive rebound by Team,,36-41,,
4:43.0,J. Valanciunas makes free throw 2 of 2,1,37-41,,
4:32.0,,,37-41,,Shooting foul by L. Scola (drawn by G. Harris)
4:32.0,,,37-43,2,G. Harris makes 2-pt shot at rim (assist by N. Jokic)
4:32.0,,,37-44,1,G. Harris makes free throw 1 of 1
4:20.0,Shooting foul by G. Harris (drawn by D. DeRozan),,37-44,,
4:20.0,D. DeRozan makes free throw 1 of 2,1,38-44,,
4:20.0,D. DeRozan makes free throw 2 of 2,1,39-44,,
4:03.0,,,39-44,,N. Jokic misses 3-pt shot from 24 ft
4:02.0,Defensive rebound by J. Johnson,,39-44,,
3:51.0,Shooting foul by G. Harris (drawn by D. DeRozan),,39-44,,
3:51.0,,,39-44,,Technical foul by Team
3:51.0,D. DeRozan makes technical free throw,1,40-44,,
3:51.0,D. DeRozan makes free throw 1 of 2,1,41-44,,
3:51.0,,,41-44,,W. Barton enters the game for G. Harris
3:51.0,D. DeRozan makes free throw 2 of 2,1,42-44,,
3:40.0,,,42-46,2,K. Faried makes 2-pt shot from 1 ft (assist by E. Mudiay)
3:40.0,,,42-46,,Shooting foul by L. Scola (drawn by K. Faried)
3:40.0,,,42-46,,J. Nurkic enters the game for N. Jokic
3:40.0,,,42-47,1,K. Faried makes free throw 1 of 1
3:29.0,J. Johnson misses 2-pt shot from 3 ft,,42-47,,
3:28.0,,,42-47,,Defensive rebound by D. Gallinari
3:27.0,Personal foul by J. Johnson (drawn by D. Gallinari),,42-47,,
3:27.0,T. Ross enters the game for J. Johnson,,42-47,,
3:27.0,,,42-48,1,D. Gallinari makes free throw 1 of 2
3:27.0,P. Patterson enters the game for L. Scola,,42-48,,
3:27.0,,,42-49,1,D. Gallinari makes free throw 2 of 2
3:19.0,Turnover by K. Lowry (lost ball; steal by E. Mudiay),,42-49,,
3:15.0,,,42-51,2,E. Mudiay makes 2-pt shot from 1 ft
3:05.0,Toronto full timeout,,42-51,,
2:51.0,J. Valanciunas makes 2-pt shot from 10 ft,2,44-51,,
2:30.0,,,44-53,2,J. Nurkic makes 2-pt shot from 1 ft (assist by D. Gallinari)
2:04.0,D. DeRozan makes 2-pt shot from 18 ft (assist by K. Lowry),2,46-53,,
1:49.0,,,46-53,,J. Nurkic misses 2-pt shot from 2 ft
1:49.0,Defensive rebound by P. Patterson,,46-53,,
1:40.0,K. Lowry misses 3-pt shot from 24 ft,,46-53,,
1:40.0,,,46-53,,Defensive rebound by W. Barton
1:30.0,,,46-53,,W. Barton misses 2-pt shot from 9 ft
1:29.0,Defensive rebound by J. Valanciunas,,46-53,,
1:26.0,Shooting foul by E. Mudiay (drawn by K. Lowry),,46-53,,
1:26.0,,,46-53,,Denver full timeout
1:26.0,K. Lowry misses free throw 1 of 2,,46-53,,
1:26.0,Offensive rebound by Team,,46-53,,
1:26.0,K. Lowry makes free throw 2 of 2,1,47-53,,
1:16.0,,,47-55,2,K. Faried makes 2-pt shot at rim (assist by D. Gallinari)
1:00.0,T. Ross misses 3-pt shot from 25 ft,,47-55,,
1:00.0,,,47-55,,Defensive rebound by W. Barton
0:42.0,,,47-58,3,D. Gallinari makes 3-pt shot from 23 ft (assist by J. Nurkic)
0:31.0,Shooting foul by W. Barton (drawn by D. DeRozan),,47-58,,
0:31.0,D. DeRozan makes free throw 1 of 2,1,48-58,,
0:31.0,C. Joseph enters the game for K. Lowry,,48-58,,
0:31.0,D. DeRozan makes free throw 2 of 2,1,49-58,,
0:22.0,,,49-60,2,E. Mudiay makes 2-pt shot from 14 ft
0:04.0,D. DeRozan misses 2-pt shot from 13 ft,,49-60,,
0:03.0,,,49-60,,Defensive rebound by K. Faried
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,K. Lowry misses 3-pt shot from 26 ft,,49-60,,
11:43.0,,,49-60,,Defensive rebound by K. Faried
11:42.0,Personal foul by K. Lowry (drawn by K. Faried),,49-60,,
11:32.0,,,49-60,,Offensive foul by N. Jokic
11:32.0,,,49-60,,Turnover by N. Jokic (offensive foul)
11:09.0,N. Powell misses 3-pt shot from 24 ft,,49-60,,
11:09.0,,,49-60,,Defensive rebound by Team
10:48.0,,,49-60,,D. Gallinari misses 2-pt shot at rim (block by N. Powell)
10:47.0,Defensive rebound by L. Scola,,49-60,,
10:40.0,N. Powell misses 3-pt shot from 22 ft,,49-60,,
10:39.0,Offensive rebound by J. Valanciunas,,49-60,,
10:32.0,K. Lowry misses 3-pt shot from 25 ft,,49-60,,
10:31.0,,,49-60,,Defensive rebound by N. Jokic
10:16.0,,,49-60,,K. Faried misses 2-pt shot from 1 ft
10:14.0,Defensive rebound by J. Valanciunas,,49-60,,
10:08.0,K. Lowry misses 2-pt shot at rim,,49-60,,
10:05.0,,,49-60,,Defensive rebound by K. Faried
9:55.0,Def 3 sec tech foul by L. Scola,,49-60,,
9:55.0,,,49-60,,D. Gallinari misses technical free throw
9:55.0,,,49-60,,Offensive rebound by Team
9:48.0,,,49-60,,E. Mudiay misses 2-pt shot from 14 ft
9:47.0,Defensive rebound by N. Powell,,49-60,,
9:35.0,D. DeRozan makes 2-pt shot from 2 ft,2,51-60,,
9:13.0,,,51-62,2,K. Faried makes 2-pt shot from 16 ft (assist by E. Mudiay)
8:58.0,Turnover by K. Lowry (lost ball; steal by E. Mudiay),,51-62,,
8:52.0,,,51-64,2,D. Gallinari makes 2-pt shot from 1 ft (assist by K. Faried)
8:33.0,L. Scola misses 2-pt shot from 1 ft (block by E. Mudiay),,51-64,,
8:32.0,,,51-64,,Defensive rebound by G. Harris
8:29.0,,,51-64,,Shooting foul by K. Lowry (drawn by K. Faried)
8:29.0,,,51-65,1,K. Faried makes free throw 1 of 2
8:29.0,B. Biyombo enters the game for L. Scola,,51-65,,
8:29.0,P. Patterson enters the game for J. Valanciunas,,51-65,,
8:29.0,C. Joseph enters the game for N. Powell,,51-65,,
8:29.0,,,51-66,1,K. Faried makes free throw 2 of 2
8:13.0,D. DeRozan misses 2-pt shot from 16 ft,,51-66,,
8:12.0,,,51-66,,Defensive rebound by D. Gallinari
8:05.0,,,51-66,,Turnover by E. Mudiay (bad pass; steal by K. Lowry)
8:04.0,,,51-66,,Personal take foul by D. Gallinari (drawn by K. Lowry)
7:53.0,D. DeRozan makes 2-pt shot from 1 ft (assist by C. Joseph),2,53-66,,
7:34.0,,,53-66,,Turnover by D. Gallinari (bad pass)
7:23.0,Shooting foul by G. Harris (drawn by K. Lowry),,53-66,,
7:23.0,K. Lowry misses free throw 1 of 2,,53-66,,
7:23.0,Offensive rebound by Team,,53-66,,
7:23.0,,,53-66,,W. Barton enters the game for G. Harris
7:23.0,K. Lowry misses free throw 2 of 2,,53-66,,
7:22.0,,,53-66,,Defensive rebound by N. Jokic
7:04.0,Personal foul by P. Patterson (drawn by D. Gallinari),,53-66,,
6:50.0,,,53-66,,D. Gallinari misses 3-pt shot from 27 ft
6:48.0,,,53-66,,Offensive rebound by N. Jokic
6:43.0,,,53-66,,E. Mudiay misses 3-pt shot from 25 ft
6:42.0,Defensive rebound by B. Biyombo,,53-66,,
6:31.0,D. DeRozan makes 2-pt shot from 16 ft,2,55-66,,
6:09.0,,,55-66,,Turnover by D. Gallinari (traveling)
5:57.0,P. Patterson misses 3-pt shot from 25 ft,,55-66,,
5:57.0,,,55-66,,Defensive rebound by N. Jokic
5:43.0,,,55-66,,Turnover by W. Barton (lost ball)
5:43.0,,,55-66,,Denver full timeout
5:43.0,Technical foul by Team,,55-66,,
5:43.0,,,55-67,1,D. Gallinari makes technical free throw
5:20.0,K. Lowry makes 2-pt shot from 2 ft,2,57-67,,
4:57.0,,,57-67,,Turnover by D. Gallinari (bad pass; steal by D. DeRozan)
4:45.0,D. DeRozan misses 2-pt shot from 17 ft,,57-67,,
4:45.0,,,57-67,,Defensive rebound by K. Faried
4:25.0,,,57-69,2,N. Jokic makes 2-pt shot at rim
4:05.0,Shooting foul by W. Barton (drawn by D. DeRozan),,57-69,,
4:05.0,D. DeRozan makes free throw 1 of 2,1,58-69,,
4:05.0,,,58-69,,D. Arthur enters the game for K. Faried
4:05.0,T. Ross enters the game for K. Lowry,,58-69,,
4:05.0,D. DeRozan misses free throw 2 of 2,,58-69,,
4:04.0,,,58-69,,Defensive rebound by D. Gallinari
3:52.0,Personal foul by B. Biyombo (drawn by N. Jokic),,58-69,,
3:42.0,,,58-69,,N. Jokic misses 2-pt shot from 3 ft
3:40.0,,,58-69,,Offensive rebound by N. Jokic
3:38.0,,,58-71,2,N. Jokic makes 2-pt shot from 3 ft
3:27.0,T. Ross makes 2-pt shot from 20 ft,2,60-71,,
3:06.0,,,60-71,,N. Jokic misses 2-pt shot from 15 ft
3:05.0,Defensive rebound by T. Ross,,60-71,,
2:51.0,D. DeRozan misses 2-pt shot from 1 ft,,60-71,,
2:50.0,,,60-71,,Defensive rebound by D. Gallinari
2:45.0,,,60-73,2,N. Jokic makes 2-pt shot at rim (assist by E. Mudiay)
2:43.0,Toronto full timeout,,60-73,,
2:43.0,,,60-73,,R. Foye enters the game for E. Mudiay
2:33.0,C. Joseph misses 2-pt shot from 5 ft,,60-73,,
2:33.0,,,60-73,,Defensive rebound by N. Jokic
2:27.0,,,60-75,2,W. Barton makes 2-pt shot from 9 ft (assist by R. Foye)
2:01.0,B. Biyombo misses 2-pt shot from 3 ft (block by W. Barton),,60-75,,
2:00.0,,,60-75,,Defensive rebound by W. Barton
1:57.0,,,60-75,,Shooting foul by P. Patterson (drawn by N. Jokic)
1:57.0,,,60-75,,N. Jokic misses free throw 1 of 2
1:57.0,,,60-75,,Offensive rebound by Team
1:57.0,K. Lowry enters the game for D. DeRozan,,60-75,,
1:57.0,L. Nogueira enters the game for B. Biyombo,,60-75,,
1:57.0,,,60-76,1,N. Jokic makes free throw 2 of 2
1:44.0,P. Patterson makes 3-pt shot from 26 ft (assist by K. Lowry),3,63-76,,
1:28.0,,,63-76,,D. Gallinari misses 2-pt shot from 17 ft
1:25.0,,,63-76,,Offensive rebound by Team
1:08.0,,,63-76,,Turnover by R. Foye (bad pass; steal by K. Lowry)
0:59.0,K. Lowry makes 2-pt shot from 8 ft,2,65-76,,
0:46.0,,,65-79,3,R. Foye makes 3-pt shot from 23 ft (assist by W. Barton)
0:24.0,L. Nogueira misses 2-pt shot from 17 ft,,65-79,,
0:23.0,,,65-79,,Defensive rebound by D. Arthur
0:06.0,,,65-79,,W. Barton misses 2-pt shot from 2 ft
0:04.0,,,65-79,,Offensive rebound by Team
0:04.0,Loose ball foul by L. Nogueira (drawn by N. Jokic),,65-79,,
0:04.0,,,65-80,1,N. Jokic makes free throw 1 of 2
0:04.0,,,65-80,,S. Kilpatrick enters the game for D. Gallinari
0:04.0,,,65-80,,N. Jokic misses free throw 2 of 2
0:03.0,Defensive rebound by P. Patterson,,65-80,,
0:01.0,K. Lowry misses 3-pt shot from 29 ft,,65-80,,
0:00.0,Offensive rebound by Team,,65-80,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,,,65-80,,J. Nurkic misses 2-pt shot from 2 ft
11:43.0,,,65-80,,Offensive rebound by W. Barton
11:43.0,,,65-82,2,W. Barton makes 2-pt shot from 2 ft
11:32.0,Shooting foul by J. Nurkic (drawn by K. Lowry),,65-82,,
11:32.0,K. Lowry misses free throw 1 of 2,,65-82,,
11:32.0,Offensive rebound by Team,,65-82,,
11:32.0,K. Lowry misses free throw 2 of 2,,65-82,,
11:31.0,,,65-82,,Defensive rebound by W. Barton
11:20.0,,,65-84,2,W. Barton makes 2-pt shot from 2 ft
11:20.0,,,65-84,,Shooting foul by L. Nogueira (drawn by W. Barton)
11:20.0,,,65-85,1,W. Barton makes free throw 1 of 1
11:05.0,T. Ross misses 3-pt shot from 23 ft,,65-85,,
11:04.0,,,65-85,,Defensive rebound by R. Foye
10:54.0,,,65-85,,J. Nurkic misses 2-pt shot from 6 ft (block by L. Nogueira)
10:54.0,Defensive rebound by Team,,65-85,,
10:40.0,C. Joseph misses 3-pt shot from 23 ft,,65-85,,
10:40.0,,,65-85,,Defensive rebound by R. Foye
10:34.0,,,65-88,3,W. Barton makes 3-pt shot from 26 ft
10:22.0,Shooting foul by R. Foye (drawn by K. Lowry),,65-88,,
10:22.0,K. Lowry makes free throw 1 of 2,1,66-88,,
10:22.0,K. Lowry makes free throw 2 of 2,1,67-88,,
10:14.0,,,67-88,,Turnover by R. Foye (bad pass)
9:58.0,C. Joseph misses 2-pt shot from 1 ft (block by R. Foye),,67-88,,
9:56.0,,,67-88,,Defensive rebound by J. Nurkic
9:44.0,,,67-91,3,R. Foye makes 3-pt shot from 24 ft (assist by D. Arthur)
9:43.0,Toronto full timeout,,67-91,,
9:43.0,N. Powell enters the game for K. Lowry,,67-91,,
9:36.0,Turnover by T. Ross (traveling),,67-91,,
9:36.0,Technical foul by Team,,67-91,,
9:36.0,,,67-92,1,W. Barton makes technical free throw
9:25.0,Violation by P. Patterson (kicked ball),,67-92,,
9:22.0,,,67-92,,Turnover by W. Barton (bad pass; steal by L. Nogueira)
9:16.0,T. Ross makes 3-pt shot from 23 ft (assist by P. Patterson),3,70-92,,
8:53.0,,,70-92,,J. Nurkic misses 2-pt shot from 1 ft
8:53.0,Defensive rebound by C. Joseph,,70-92,,
8:46.0,T. Ross misses 3-pt shot from 24 ft,,70-92,,
8:46.0,,,70-92,,Defensive rebound by R. Foye
8:40.0,,,70-94,2,W. Barton makes 2-pt shot at rim (assist by R. Foye)
8:36.0,,,70-94,,Personal foul by W. Barton (drawn by T. Ross)
8:23.0,Turnover by P. Patterson (bad pass; steal by J. Nurkic),,70-94,,
8:03.0,,,70-97,3,R. Foye makes 3-pt shot from 25 ft
7:47.0,Turnover by C. Joseph (lost ball),,70-97,,
7:41.0,Personal foul by L. Nogueira (drawn by J. Nurkic),,70-97,,
7:41.0,A. Bennett enters the game for P. Patterson,,70-97,,
7:29.0,,,70-97,,Turnover by J. Nurkic (lost ball; steal by N. Powell)
7:14.0,L. Nogueira makes 2-pt shot at rim (assist by C. Joseph),2,72-97,,
7:04.0,,,72-99,2,W. Barton makes 2-pt shot from 1 ft (assist by R. Foye)
6:53.0,C. Joseph misses 2-pt shot from 2 ft,,72-99,,
6:52.0,Offensive rebound by L. Nogueira,,72-99,,
6:51.0,Shooting foul by R. Foye (drawn by L. Nogueira),,72-99,,
6:51.0,L. Nogueira makes free throw 1 of 2,1,73-99,,
6:51.0,L. Nogueira makes free throw 2 of 2,1,74-99,,
6:40.0,,,74-99,,Turnover by D. Arthur (bad pass; steal by L. Nogueira)
6:29.0,T. Ross misses 2-pt shot from 18 ft,,74-99,,
6:28.0,,,74-99,,Defensive rebound by R. Foye
6:06.0,,,74-99,,S. Kilpatrick misses 3-pt shot from 25 ft
6:05.0,Defensive rebound by A. Bennett,,74-99,,
5:57.0,Shooting foul by J. Nurkic (drawn by C. Joseph),,74-99,,
5:57.0,Official timeout,,74-99,,
5:57.0,,,74-99,,G. Harris enters the game for J. Nurkic
5:57.0,,,74-99,,N. Jokic enters the game for D. Arthur
5:57.0,C. Joseph makes free throw 1 of 2,1,75-99,,
5:57.0,C. Joseph makes free throw 2 of 2,1,76-99,,
