time,Sacramento,pts.away,score,pts.home,Utah
7:30.0,,,12-9,,R. Hood misses 3-pt shot from 23 ft
7:29.0,Defensive rebound by D. Cousins,,12-9,,
7:22.0,W. Cauley-Stein makes 2-pt shot at rim (assist by D. Cousins),2,14-9,,
6:59.0,,,14-9,,T. Lyles misses 2-pt shot from 8 ft
6:58.0,Defensive rebound by R. Rondo,,14-9,,
6:36.0,R. Rondo misses 2-pt shot from 23 ft,,14-9,,
6:35.0,,,14-9,,Defensive rebound by T. Lyles
6:25.0,Personal foul by W. Cauley-Stein (drawn by G. Hayward),,14-9,,
6:25.0,,,14-9,,T. Booker enters the game for T. Lyles
6:25.0,O. Casspi enters the game for W. Cauley-Stein,,14-9,,
6:20.0,,,14-9,,R. Hood misses 3-pt shot from 23 ft
6:19.0,Defensive rebound by D. Cousins,,14-9,,
6:11.0,R. Rondo misses 2-pt shot from 1 ft,,14-9,,
6:10.0,Offensive rebound by R. Gay,,14-9,,
6:10.0,R. Gay makes 2-pt shot at rim,2,16-9,,
6:09.0,,,16-9,,Utah full timeout
6:09.0,,,16-9,,T. Lyles enters the game for R. Gobert
5:55.0,,,16-9,,G. Hayward misses 3-pt shot from 24 ft
5:53.0,Defensive rebound by R. Gay,,16-9,,
5:45.0,Offensive foul by B. McLemore,,16-9,,
5:45.0,Turnover by B. McLemore (offensive foul),,16-9,,
5:30.0,,,16-9,,Turnover by G. Hayward (bad pass; steal by B. McLemore)
5:24.0,R. Rondo makes 2-pt shot at rim (assist by R. Gay),2,18-9,,
4:59.0,,,18-9,,R. Hood misses 3-pt shot from 24 ft
4:59.0,Defensive rebound by D. Cousins,,18-9,,
4:46.0,,,18-9,,Personal foul by R. Neto (drawn by R. Gay)
4:46.0,M. Belinelli enters the game for B. McLemore,,18-9,,
4:46.0,,,18-9,,C. Johnson enters the game for R. Hood
4:46.0,,,18-9,,T. Burke enters the game for R. Neto
4:39.0,Shooting foul by C. Johnson (drawn by D. Cousins),,18-9,,
4:39.0,D. Cousins misses free throw 1 of 2,,18-9,,
4:39.0,Offensive rebound by Team,,18-9,,
4:39.0,D. Cousins makes free throw 2 of 2,1,19-9,,
4:18.0,,,19-9,,T. Burke misses 3-pt shot from 24 ft
4:18.0,Defensive rebound by R. Rondo,,19-9,,
4:14.0,R. Gay makes 2-pt shot at rim (assist by R. Rondo),2,21-9,,
4:13.0,,,21-9,,Utah full timeout
3:53.0,,,21-9,,G. Hayward misses 2-pt shot from 22 ft
3:53.0,,,21-9,,Offensive rebound by Team
3:53.0,Loose ball foul by R. Rondo (drawn by T. Lyles),,21-9,,
3:53.0,,,21-9,,J. Withey enters the game for T. Lyles
3:45.0,,,21-9,,G. Hayward misses 3-pt shot from 23 ft
3:44.0,,,21-9,,Offensive rebound by Team
3:30.0,,,21-9,,J. Withey misses 2-pt shot at rim
3:29.0,Defensive rebound by D. Cousins,,21-9,,
3:11.0,D. Cousins misses 2-pt shot from 1 ft,,21-9,,
3:11.0,Offensive rebound by D. Cousins,,21-9,,
3:09.0,D. Cousins makes 2-pt shot at rim,2,23-9,,
2:47.0,,,23-9,,C. Johnson misses 3-pt shot from 23 ft
2:47.0,Defensive rebound by D. Cousins,,23-9,,
2:42.0,Turnover by R. Rondo (bad pass),,23-9,,
2:42.0,Sacramento full timeout,,23-9,,
2:42.0,K. Koufos enters the game for R. Gay,,23-9,,
2:31.0,,,23-9,,T. Burke misses 3-pt shot from 24 ft
2:30.0,,,23-9,,Offensive rebound by T. Booker
2:25.0,,,23-9,,G. Hayward misses 3-pt shot from 24 ft
2:25.0,Defensive rebound by Team,,23-9,,
2:14.0,,,23-9,,Personal foul by C. Johnson (drawn by D. Cousins)
2:14.0,D. Cousins makes free throw 1 of 2,1,24-9,,
2:14.0,D. Collison enters the game for R. Rondo,,24-9,,
2:14.0,,,24-9,,R. Gobert enters the game for J. Withey
2:14.0,D. Cousins misses free throw 2 of 2,,24-9,,
2:12.0,Offensive rebound by K. Koufos,,24-9,,
2:09.0,K. Koufos misses 2-pt shot from 1 ft,,24-9,,
2:08.0,,,24-9,,Defensive rebound by T. Booker
1:51.0,,,24-9,,R. Gobert misses 2-pt shot from 4 ft
1:50.0,,,24-9,,Offensive rebound by G. Hayward
1:38.0,,,24-9,,G. Hayward misses 3-pt shot from 23 ft
1:37.0,Defensive rebound by D. Cousins,,24-9,,
1:26.0,Turnover by M. Belinelli (bad pass; steal by T. Booker),,24-9,,
1:21.0,,,24-9,,Shooting foul by M. Belinelli (drawn by G. Hayward)
1:21.0,,,24-10,1,G. Hayward makes free throw 1 of 2
1:21.0,W. Cauley-Stein enters the game for D. Cousins,,24-10,,
1:21.0,,,24-10,,J. Ingles enters the game for C. Johnson
1:21.0,,,24-10,,G. Hayward misses free throw 2 of 2
1:20.0,,,24-10,,Offensive rebound by R. Gobert
0:58.0,,,24-10,,T. Booker misses 3-pt shot from 23 ft
0:58.0,Defensive rebound by O. Casspi,,24-10,,
0:50.0,O. Casspi makes 2-pt shot from 2 ft,2,26-10,,
0:31.0,Violation by W. Cauley-Stein (kicked ball),,26-10,,
0:28.0,,,26-10,,J. Ingles misses 2-pt shot from 19 ft
0:28.0,Defensive rebound by W. Cauley-Stein,,26-10,,
0:08.0,W. Cauley-Stein misses 2-pt shot from 8 ft,,26-10,,
0:07.0,,,26-10,,Defensive rebound by T. Booker
0:04.0,Personal foul by O. Casspi (drawn by G. Hayward),,26-10,,
0:04.0,,,26-11,1,G. Hayward makes free throw 1 of 2
0:04.0,,,26-12,1,G. Hayward makes free throw 2 of 2
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:35.0,,,26-12,,R. Hood misses 3-pt shot from 23 ft
11:34.0,Defensive rebound by M. Belinelli,,26-12,,
11:23.0,M. Belinelli makes 2-pt shot from 16 ft,2,28-12,,
11:03.0,,,28-12,,Turnover by T. Burke (bad pass; steal by W. Cauley-Stein)
10:52.0,Turnover by K. Koufos (lost ball; steal by J. Ingles),,28-12,,
10:38.0,Personal foul by M. Belinelli (drawn by R. Hood),,28-12,,
10:24.0,,,28-12,,R. Hood misses 2-pt shot from 10 ft
10:23.0,,,28-12,,Offensive rebound by T. Booker
10:23.0,,,28-14,2,T. Booker makes 2-pt shot at rim
10:00.0,Shooting foul by R. Hood (drawn by M. Belinelli),,28-14,,
10:00.0,M. Belinelli makes free throw 1 of 2,1,29-14,,
10:00.0,,,29-14,,T. Lyles enters the game for T. Booker
10:00.0,M. Belinelli makes free throw 2 of 2,1,30-14,,
9:45.0,Personal foul by W. Cauley-Stein (drawn by T. Lyles),,30-14,,
9:45.0,,,30-14,,J. Withey enters the game for R. Gobert
9:35.0,,,30-16,2,T. Lyles makes 2-pt shot from 14 ft
9:35.0,,,30-16,,Shooting foul by W. Cauley-Stein (drawn by T. Lyles)
9:35.0,D. Cousins enters the game for W. Cauley-Stein,,30-16,,
9:35.0,,,30-16,,T. Lyles misses free throw 1 of 1
9:34.0,Defensive rebound by K. Koufos,,30-16,,
9:16.0,O. Casspi makes 2-pt shot from 2 ft (assist by M. Belinelli),2,32-16,,
9:03.0,Personal foul by O. Casspi (drawn by J. Ingles),,32-16,,
8:53.0,,,32-16,,Turnover by R. Hood (lost ball; steal by K. Koufos)
8:53.0,,,32-16,,Personal foul by R. Hood (drawn by D. Cousins)
8:53.0,Sacramento full timeout,,32-16,,
8:53.0,,,32-16,,R. Neto enters the game for R. Hood
8:39.0,D. Cousins misses 2-pt shot from 2 ft,,32-16,,
8:34.0,Offensive rebound by D. Cousins,,32-16,,
8:34.0,,,32-16,,Violation by T. Lyles (def goaltending)
8:34.0,D. Cousins makes 2-pt shot from 1 ft,2,34-16,,
8:21.0,,,34-16,,J. Ingles misses 2-pt shot from 3 ft
8:21.0,Defensive rebound by D. Collison,,34-16,,
8:18.0,Turnover by D. Collison (lost ball; steal by R. Neto),,34-16,,
8:14.0,,,34-16,,R. Neto misses 2-pt shot from 2 ft
8:14.0,,,34-16,,Offensive rebound by Team
8:10.0,,,34-16,,T. Burke misses 2-pt shot from 17 ft
8:10.0,,,34-16,,Offensive rebound by J. Ingles
8:08.0,,,34-16,,Turnover by J. Ingles (lost ball; steal by D. Collison)
8:07.0,Shooting foul by T. Lyles (drawn by D. Collison),,34-16,,
8:07.0,D. Collison misses free throw 1 of 2,,34-16,,
8:07.0,Offensive rebound by Team,,34-16,,
8:07.0,D. Collison misses free throw 2 of 2,,34-16,,
8:06.0,Offensive rebound by K. Koufos,,34-16,,
8:02.0,M. Belinelli misses 3-pt shot from 24 ft,,34-16,,
8:02.0,,,34-16,,Defensive rebound by Team
8:02.0,Loose ball foul by D. Cousins (drawn by J. Withey),,34-16,,
8:02.0,,,34-17,1,J. Withey makes free throw 1 of 2
8:02.0,,,34-17,,C. Johnson enters the game for J. Ingles
8:02.0,R. Gay enters the game for K. Koufos,,34-17,,
8:02.0,,,34-18,1,J. Withey makes free throw 2 of 2
7:53.0,,,34-18,,Personal foul by J. Withey (drawn by D. Cousins)
7:53.0,,,34-18,,R. Gobert enters the game for J. Withey
7:53.0,R. Rondo enters the game for O. Casspi,,34-18,,
7:46.0,,,34-18,,Personal foul by R. Gobert (drawn by D. Cousins)
7:46.0,D. Cousins misses free throw 1 of 2,,34-18,,
7:46.0,Offensive rebound by Team,,34-18,,
7:46.0,D. Cousins makes free throw 2 of 2,1,35-18,,
7:27.0,,,35-20,2,T. Lyles makes 2-pt shot at rim
7:16.0,D. Cousins makes 2-pt shot from 2 ft,2,37-20,,
7:16.0,Shooting foul by R. Gobert (drawn by D. Cousins),,37-20,,
7:16.0,,,37-20,,G. Hayward enters the game for T. Burke
7:16.0,D. Cousins misses free throw 1 of 1,,37-20,,
7:15.0,,,37-20,,Defensive rebound by G. Hayward
7:04.0,Personal foul by D. Collison (drawn by R. Neto),,37-20,,
7:04.0,,,37-20,,R. Neto misses free throw 1 of 2
7:04.0,,,37-20,,Offensive rebound by Team
7:04.0,,,37-20,,R. Neto misses free throw 2 of 2
7:03.0,Defensive rebound by R. Gay,,37-20,,
6:56.0,,,37-20,,Personal foul by C. Johnson (drawn by M. Belinelli)
6:56.0,M. Belinelli misses free throw 1 of 2,,37-20,,
6:56.0,Offensive rebound by Team,,37-20,,
6:56.0,,,37-20,,J. Ingles enters the game for C. Johnson
6:56.0,M. Belinelli makes free throw 2 of 2,1,38-20,,
6:50.0,,,38-22,2,R. Neto makes 2-pt shot from 1 ft
6:35.0,M. Belinelli makes 2-pt shot from 22 ft (assist by R. Rondo),2,40-22,,
6:17.0,,,40-22,,G. Hayward misses 2-pt shot from 8 ft
6:17.0,Defensive rebound by R. Gay,,40-22,,
6:05.0,D. Cousins misses 2-pt shot from 10 ft,,40-22,,
6:05.0,,,40-22,,Defensive rebound by R. Gobert
5:56.0,,,40-22,,Turnover by R. Neto (bad pass; steal by R. Gay)
5:52.0,,,40-22,,Utah full timeout
5:52.0,,,40-22,,T. Booker enters the game for R. Gobert
5:52.0,B. McLemore enters the game for D. Collison,,40-22,,
5:45.0,Turnover by M. Belinelli (3 sec),,40-22,,
5:28.0,,,40-24,2,R. Neto makes 2-pt shot from 18 ft (assist by T. Booker)
5:15.0,D. Cousins misses 2-pt shot from 4 ft,,40-24,,
5:14.0,,,40-24,,Defensive rebound by T. Booker
5:08.0,,,40-26,2,T. Lyles makes 2-pt shot from 1 ft (assist by R. Neto)
5:00.0,,,40-26,,Personal foul by T. Booker (drawn by D. Cousins)
5:00.0,D. Cousins makes free throw 1 of 2,1,41-26,,
5:00.0,O. Casspi enters the game for M. Belinelli,,41-26,,
5:00.0,,,41-26,,T. Burke enters the game for J. Ingles
5:00.0,D. Cousins makes free throw 2 of 2,1,42-26,,
4:43.0,,,42-28,2,T. Booker makes 2-pt shot at rim (assist by R. Neto)
4:29.0,R. Rondo makes 2-pt shot from 1 ft,2,44-28,,
4:15.0,Personal foul by B. McLemore (drawn by R. Neto),,44-28,,
4:15.0,,,44-29,1,R. Neto makes free throw 1 of 2
4:15.0,,,44-29,,R. Neto misses free throw 2 of 2
4:14.0,Defensive rebound by O. Casspi,,44-29,,
4:00.0,Turnover by R. Rondo (bad pass; steal by T. Lyles),,44-29,,
3:49.0,,,44-31,2,T. Burke makes 2-pt shot from 6 ft
3:46.0,,,44-31,,Personal foul by R. Neto (drawn by B. McLemore)
3:46.0,B. McLemore makes free throw 1 of 2,1,45-31,,
3:46.0,,,45-31,,J. Ingles enters the game for R. Neto
3:46.0,B. McLemore makes free throw 2 of 2,1,46-31,,
3:32.0,,,46-31,,G. Hayward misses 2-pt shot from 5 ft
3:31.0,Defensive rebound by D. Cousins,,46-31,,
3:21.0,O. Casspi misses 2-pt shot from 4 ft,,46-31,,
3:21.0,,,46-31,,Defensive rebound by T. Booker
3:10.0,,,46-31,,Shooting foul by B. McLemore (drawn by T. Burke)
3:10.0,,,46-32,1,T. Burke makes free throw 1 of 2
3:10.0,D. Collison enters the game for B. McLemore,,46-32,,
3:10.0,,,46-33,1,T. Burke makes free throw 2 of 2
2:46.0,D. Cousins makes 2-pt shot from 2 ft (assist by R. Rondo),2,48-33,,
2:31.0,,,48-35,2,T. Lyles makes 2-pt shot at rim (assist by G. Hayward)
2:17.0,O. Casspi makes 2-pt shot from 1 ft (assist by R. Rondo),2,50-35,,
2:17.0,Shooting foul by T. Booker (drawn by O. Casspi),,50-35,,
2:17.0,Sacramento full timeout,,50-35,,
2:17.0,O. Casspi makes free throw 1 of 1,1,51-35,,
2:07.0,Def 3 sec tech foul by D. Cousins,,51-35,,
2:07.0,,,51-36,1,G. Hayward makes technical free throw
1:51.0,,,51-38,2,T. Burke makes 2-pt shot from 3 ft
1:36.0,D. Cousins misses 2-pt shot from 3 ft,,51-38,,
1:35.0,,,51-38,,Defensive rebound by G. Hayward
1:33.0,,,51-38,,Shooting foul by R. Gay (drawn by G. Hayward)
1:33.0,,,51-39,1,G. Hayward makes free throw 1 of 2
1:33.0,,,51-40,1,G. Hayward makes free throw 2 of 2
1:21.0,Shooting foul by T. Burke (drawn by R. Gay),,51-40,,
1:21.0,R. Gay makes free throw 1 of 2,1,52-40,,
1:21.0,R. Gay makes free throw 2 of 2,1,53-40,,
1:07.0,,,53-40,,G. Hayward misses 3-pt shot from 24 ft
1:06.0,Defensive rebound by D. Cousins,,53-40,,
1:00.0,Shooting foul by J. Ingles (drawn by D. Cousins),,53-40,,
1:00.0,D. Cousins makes free throw 1 of 2,1,54-40,,
1:00.0,D. Cousins misses free throw 2 of 2,,54-40,,
1:00.0,,,54-40,,Defensive rebound by G. Hayward
0:41.0,,,54-40,,T. Burke misses 3-pt shot from 24 ft
0:40.0,Defensive rebound by D. Cousins,,54-40,,
0:36.0,Turnover by R. Rondo (bad pass; steal by G. Hayward),,54-40,,
0:29.0,,,54-42,2,J. Ingles makes 2-pt shot from 2 ft
0:29.0,,,54-42,,Shooting foul by D. Cousins (drawn by J. Ingles)
0:29.0,,,54-42,,T. Pleiss enters the game for T. Booker
0:29.0,,,54-43,1,J. Ingles makes free throw 1 of 1
0:08.0,O. Casspi misses 3-pt shot from 24 ft,,54-43,,
0:07.0,,,54-43,,Defensive rebound by G. Hayward
0:02.0,,,54-45,2,J. Ingles makes 2-pt shot from 2 ft (assist by G. Hayward)
0:00.0,D. Collison misses 2-pt shot from 1 ft,,54-45,,
0:00.0,Offensive rebound by D. Cousins,,54-45,,
0:00.0,D. Cousins makes 2-pt shot at rim,2,56-45,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:40.0,,,56-47,2,G. Hayward makes 2-pt shot from 13 ft
11:20.0,D. Cousins makes 2-pt shot from 20 ft (assist by R. Rondo),2,58-47,,
10:53.0,,,58-47,,Turnover by R. Neto (bad pass; steal by R. Rondo)
10:46.0,Shooting foul by G. Hayward (drawn by W. Cauley-Stein),,58-47,,
10:46.0,W. Cauley-Stein makes free throw 1 of 2,1,59-47,,
10:46.0,W. Cauley-Stein misses free throw 2 of 2,,59-47,,
10:44.0,,,59-47,,Defensive rebound by R. Gobert
10:33.0,,,59-47,,Turnover by T. Lyles (traveling)
10:22.0,R. Gay makes 2-pt shot at rim (assist by R. Rondo),2,61-47,,
10:02.0,,,61-50,3,T. Lyles makes 3-pt shot from 22 ft (assist by R. Neto)
9:45.0,Turnover by D. Cousins (lost ball; steal by T. Lyles),,61-50,,
9:26.0,,,61-50,,G. Hayward misses 3-pt shot from 22 ft
9:25.0,Defensive rebound by W. Cauley-Stein,,61-50,,
9:18.0,B. McLemore misses 2-pt shot from 10 ft,,61-50,,
9:18.0,,,61-50,,Defensive rebound by R. Gobert
9:09.0,,,61-50,,T. Lyles misses 3-pt shot from 23 ft
9:08.0,Defensive rebound by R. Rondo,,61-50,,
8:58.0,D. Cousins makes 3-pt shot from 24 ft (assist by R. Rondo),3,64-50,,
8:36.0,,,64-53,3,R. Neto makes 3-pt shot from 25 ft (assist by T. Lyles)
8:14.0,Shooting foul by R. Gobert (drawn by D. Cousins),,64-53,,
8:14.0,D. Cousins makes free throw 1 of 2,1,65-53,,
8:14.0,,,65-53,,T. Booker enters the game for R. Gobert
8:14.0,D. Cousins makes free throw 2 of 2,1,66-53,,
8:01.0,,,66-53,,G. Hayward misses 3-pt shot from 24 ft
8:00.0,Defensive rebound by W. Cauley-Stein,,66-53,,
7:44.0,R. Gay makes 2-pt shot from 7 ft,2,68-53,,
7:29.0,,,68-55,2,R. Hood makes 2-pt shot from 14 ft
7:05.0,Turnover by D. Cousins (bad pass),,68-55,,
6:40.0,,,68-55,,R. Neto misses 3-pt shot from 23 ft
6:39.0,Defensive rebound by R. Rondo,,68-55,,
6:33.0,R. Rondo misses 2-pt shot from 3 ft (block by G. Hayward),,68-55,,
6:31.0,,,68-55,,Defensive rebound by R. Neto
6:23.0,,,68-55,,T. Lyles misses 2-pt shot from 3 ft
6:23.0,Defensive rebound by R. Gay,,68-55,,
6:18.0,R. Gay makes 2-pt shot at rim (assist by R. Rondo),2,70-55,,
6:18.0,,,70-55,,Utah full timeout
6:18.0,,,70-55,,R. Gobert enters the game for T. Lyles
6:06.0,,,70-58,3,R. Hood makes 3-pt shot from 23 ft
5:45.0,D. Cousins makes 2-pt shot from 1 ft,2,72-58,,
5:33.0,,,72-60,2,G. Hayward makes 2-pt shot from 18 ft
5:25.0,Shooting foul by R. Hood (drawn by D. Cousins),,72-60,,
5:25.0,D. Cousins misses free throw 1 of 2,,72-60,,
5:25.0,Offensive rebound by Team,,72-60,,
5:25.0,D. Cousins makes free throw 2 of 2,1,73-60,,
5:10.0,,,73-60,,R. Neto misses 3-pt shot from 22 ft
5:10.0,Defensive rebound by D. Cousins,,73-60,,
5:03.0,Turnover by D. Cousins (traveling),,73-60,,
5:03.0,K. Koufos enters the game for W. Cauley-Stein,,73-60,,
5:03.0,,,73-60,,T. Burke enters the game for R. Neto
5:03.0,,,73-60,,Utah full timeout
5:03.0,,,73-60,,T. Lyles enters the game for T. Booker
5:03.0,,,73-60,,R. Neto enters the game for R. Hood
4:41.0,,,73-62,2,T. Lyles makes 2-pt shot from 9 ft
4:27.0,R. Gay misses 2-pt shot from 4 ft,,73-62,,
4:27.0,,,73-62,,Defensive rebound by R. Gobert
4:22.0,M. Belinelli enters the game for B. McLemore,,73-62,,
4:14.0,,,73-62,,Turnover by G. Hayward (bad pass; steal by K. Koufos)
4:03.0,Shooting foul by R. Neto (drawn by M. Belinelli),,73-62,,
4:03.0,M. Belinelli makes free throw 1 of 2,1,74-62,,
4:03.0,O. Casspi enters the game for R. Gay,,74-62,,
4:03.0,,,74-62,,C. Johnson enters the game for R. Neto
4:03.0,M. Belinelli makes free throw 2 of 2,1,75-62,,
3:46.0,,,75-62,,T. Burke misses 3-pt shot from 23 ft
3:46.0,Defensive rebound by K. Koufos,,75-62,,
3:32.0,D. Cousins misses 2-pt shot from 2 ft (block by R. Gobert),,75-62,,
3:31.0,,,75-62,,Defensive rebound by R. Gobert
3:18.0,,,75-64,2,T. Burke makes 2-pt shot from 19 ft (assist by R. Gobert)
3:00.0,R. Rondo misses 3-pt shot from 23 ft,,75-64,,
3:00.0,,,75-64,,Defensive rebound by R. Gobert
2:36.0,,,75-66,2,T. Burke makes 2-pt shot from 3 ft
2:34.0,Sacramento full timeout,,75-66,,
2:34.0,D. Collison enters the game for R. Rondo,,75-66,,
2:34.0,,,75-66,,J. Ingles enters the game for T. Lyles
2:14.0,D. Cousins misses 2-pt shot from 16 ft,,75-66,,
2:14.0,,,75-66,,Defensive rebound by G. Hayward
2:03.0,,,75-66,,Shooting foul by O. Casspi (drawn by G. Hayward)
2:03.0,,,75-67,1,G. Hayward makes free throw 1 of 2
2:03.0,,,75-68,1,G. Hayward makes free throw 2 of 2
1:51.0,M. Belinelli makes 2-pt shot from 22 ft (assist by D. Collison),2,77-68,,
1:32.0,,,77-68,,G. Hayward misses 2-pt shot from 4 ft
1:32.0,Defensive rebound by M. Belinelli,,77-68,,
1:27.0,Turnover by M. Belinelli (bad pass; steal by J. Ingles),,77-68,,
1:27.0,Personal foul by M. Belinelli (drawn by J. Ingles),,77-68,,
1:27.0,R. Gay enters the game for D. Cousins,,77-68,,
1:16.0,,,77-68,,T. Burke misses 3-pt shot from 23 ft
1:15.0,Defensive rebound by O. Casspi,,77-68,,
1:04.0,R. Gay misses 3-pt shot from 23 ft,,77-68,,
1:03.0,,,77-68,,Defensive rebound by G. Hayward
0:57.0,,,77-68,,Shooting foul by D. Collison (drawn by G. Hayward)
0:57.0,,,77-68,,G. Hayward misses free throw 1 of 2
0:57.0,,,77-68,,Offensive rebound by Team
0:57.0,,,77-68,,T. Lyles enters the game for R. Gobert
0:57.0,,,77-69,1,G. Hayward makes free throw 2 of 2
0:37.0,D. Collison makes 3-pt shot from 24 ft (assist by M. Belinelli),3,80-69,,
0:30.0,,,80-69,,J. Ingles misses 3-pt shot from 24 ft
0:30.0,Defensive rebound by D. Collison,,80-69,,
0:07.0,Shooting foul by C. Johnson (drawn by R. Gay),,80-69,,
0:07.0,R. Gay makes free throw 1 of 2,1,81-69,,
0:07.0,R. Gay makes free throw 2 of 2,1,82-69,,
0:00.0,,,82-71,2,G. Hayward makes 2-pt shot from 12 ft
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,O. Casspi makes 3-pt shot from 24 ft (assist by M. Belinelli),3,85-71,,
11:16.0,,,85-71,,R. Hood misses 3-pt shot from 22 ft
11:15.0,Defensive rebound by R. Gay,,85-71,,
11:03.0,D. Collison misses 2-pt shot from 18 ft,,85-71,,
11:03.0,,,85-71,,Defensive rebound by C. Johnson
10:53.0,,,85-71,,T. Burke misses 2-pt shot from 5 ft
10:52.0,Defensive rebound by K. Koufos,,85-71,,
10:43.0,Turnover by R. Gay (bad pass; steal by T. Burke),,85-71,,
10:41.0,Personal foul by O. Casspi (drawn by J. Ingles),,85-71,,
10:28.0,,,85-71,,Shooting foul by K. Koufos (drawn by T. Lyles)
10:28.0,,,85-72,1,T. Lyles makes free throw 1 of 2
10:28.0,,,85-73,1,T. Lyles makes free throw 2 of 2
10:11.0,M. Belinelli misses 2-pt shot from 16 ft,,85-73,,
10:10.0,,,85-73,,Defensive rebound by T. Lyles
9:59.0,,,85-73,,C. Johnson misses 3-pt shot from 22 ft
9:58.0,,,85-73,,Offensive rebound by T. Lyles
9:48.0,,,85-75,2,R. Hood makes 2-pt shot from 1 ft
9:41.0,D. Collison misses 2-pt shot from 15 ft,,85-75,,
9:39.0,Offensive rebound by K. Koufos,,85-75,,
9:39.0,K. Koufos misses 2-pt shot at rim,,85-75,,
9:37.0,Offensive rebound by K. Koufos,,85-75,,
9:30.0,M. Belinelli misses 2-pt shot from 19 ft,,85-75,,
9:27.0,,,85-75,,Defensive rebound by R. Hood
9:14.0,,,85-77,2,T. Burke makes 2-pt shot from 4 ft
9:14.0,Sacramento full timeout,,85-77,,
8:57.0,R. Gay misses 2-pt shot from 12 ft,,85-77,,
8:56.0,,,85-77,,Defensive rebound by R. Hood
8:34.0,,,85-77,,R. Hood misses 3-pt shot from 24 ft
8:34.0,,,85-77,,Offensive rebound by C. Johnson
8:16.0,D. Cousins enters the game for K. Koufos,,85-77,,
8:16.0,,,85-77,,R. Gobert enters the game for J. Ingles
8:10.0,,,85-77,,Turnover by R. Hood (bad pass; steal by D. Cousins)
8:07.0,Turnover by R. Gay (bad pass),,85-77,,
7:50.0,,,85-79,2,T. Lyles makes 2-pt shot from 1 ft
7:50.0,,,85-79,,Shooting foul by D. Collison (drawn by T. Lyles)
7:50.0,Technical foul by O. Casspi,,85-79,,
7:50.0,,,85-80,1,T. Burke makes technical free throw
7:50.0,W. Cauley-Stein enters the game for O. Casspi,,85-80,,
7:50.0,R. Rondo enters the game for M. Belinelli,,85-80,,
7:50.0,,,85-80,,T. Lyles misses free throw 1 of 1
7:48.0,Defensive rebound by R. Rondo,,85-80,,
7:26.0,D. Cousins misses 2-pt shot from 14 ft,,85-80,,
7:25.0,,,85-80,,Defensive rebound by C. Johnson
7:08.0,,,85-80,,R. Gobert misses 2-pt shot from 2 ft
