time,Chicago,pts.away,score,pts.home,Milwaukee
2:42.0,,,25-18,,M. Carter-Williams misses 2-pt shot at rim (block by P. Gasol)
2:39.0,Defensive rebound by J. Noah,,25-18,,
2:36.0,J. Butler makes 2-pt shot at rim (assist by J. Noah),2,27-18,,
2:23.0,,,27-18,,M. Carter-Williams misses 2-pt shot from 6 ft
2:22.0,Defensive rebound by P. Gasol,,27-18,,
2:12.0,,,27-18,,Personal foul by M. Carter-Williams (drawn by T. Snell)
2:12.0,Chicago full timeout,,27-18,,
2:12.0,,,27-18,,R. Vaughn enters the game for M. Carter-Williams
1:57.0,T. Snell misses 3-pt shot from 24 ft,,27-18,,
1:56.0,Offensive rebound by J. Butler,,27-18,,
1:52.0,P. Gasol misses 2-pt shot from 9 ft,,27-18,,
1:51.0,,,27-18,,Defensive rebound by Team
1:27.0,,,27-18,,K. Middleton misses 3-pt shot from 28 ft
1:26.0,Defensive rebound by K. Hinrich,,27-18,,
1:17.0,T. Snell makes 2-pt shot from 1 ft (assist by K. Hinrich),2,29-18,,
1:07.0,,,29-18,,O. Mayo misses 2-pt shot from 2 ft
1:06.0,Defensive rebound by J. Butler,,29-18,,
0:54.0,Turnover by T. Snell (bad pass),,29-18,,
0:54.0,B. Portis enters the game for P. Gasol,,29-18,,
0:44.0,,,29-20,2,K. Middleton makes 2-pt shot from 4 ft
0:22.0,J. Butler misses 2-pt shot from 1 ft,,29-20,,
0:20.0,,,29-20,,Defensive rebound by G. Monroe
0:01.0,,,29-20,,Shooting foul by J. Noah (drawn by J. Henson)
0:01.0,,,29-20,,J. Henson misses free throw 1 of 2
0:01.0,,,29-20,,Offensive rebound by Team
0:01.0,,,29-20,,J. Henson misses free throw 2 of 2
0:01.0,,,29-20,,Offensive rebound by K. Middleton
0:00.0,,,29-20,,K. Middleton misses 2-pt shot from 13 ft
0:00.0,,,29-20,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,,,29-20,,Turnover by J. Parker (bad pass; steal by T. Snell)
11:37.0,Turnover by T. Snell (bad pass; steal by R. Vaughn),,29-20,,
11:19.0,,,29-20,,G. Monroe misses 2-pt shot from 4 ft
11:18.0,Defensive rebound by J. Noah,,29-20,,
11:06.0,T. Snell makes 2-pt shot from 6 ft,2,31-20,,
10:51.0,Personal foul by T. Snell (drawn by J. Parker),,31-20,,
10:51.0,N. Mirotic enters the game for T. Snell,,31-20,,
10:43.0,,,31-22,2,R. Vaughn makes 2-pt shot from 1 ft (assist by J. Henson)
10:18.0,Shooting foul by J. Parker (drawn by N. Mirotic),,31-22,,
10:18.0,N. Mirotic makes free throw 1 of 2,1,32-22,,
10:18.0,N. Mirotic makes free throw 2 of 2,1,33-22,,
10:05.0,,,33-22,,J. Parker misses 2-pt shot from 18 ft
10:04.0,Defensive rebound by K. Hinrich,,33-22,,
9:58.0,D. McDermott misses 2-pt shot from 19 ft,,33-22,,
9:55.0,,,33-22,,Defensive rebound by G. Monroe
9:47.0,,,33-22,,O. Mayo misses 2-pt shot from 3 ft (block by B. Portis)
9:44.0,Defensive rebound by K. Hinrich,,33-22,,
9:42.0,K. Hinrich misses 2-pt shot from 2 ft (block by R. Vaughn),,33-22,,
9:39.0,Offensive rebound by J. Noah,,33-22,,
9:37.0,J. Noah misses 2-pt shot from 1 ft,,33-22,,
9:37.0,Offensive rebound by D. McDermott,,33-22,,
9:37.0,D. McDermott misses 2-pt shot from 2 ft (block by J. Henson),,33-22,,
9:37.0,,,33-22,,Defensive rebound by J. Parker
9:37.0,Personal foul by B. Portis (drawn by J. Parker),,33-22,,
9:37.0,,,33-22,,G. Antetokounmpo enters the game for J. Henson
9:37.0,D. Rose enters the game for D. McDermott,,33-22,,
9:24.0,,,33-24,2,G. Antetokounmpo makes 2-pt shot from 3 ft
9:04.0,Offensive foul by B. Portis,,33-24,,
9:04.0,Turnover by B. Portis (offensive foul),,33-24,,
8:54.0,,,33-26,2,G. Antetokounmpo makes 2-pt shot from 1 ft
8:54.0,,,33-26,,Shooting foul by J. Noah (drawn by G. Antetokounmpo)
8:54.0,Official timeout,,33-26,,
8:54.0,T. Gibson enters the game for B. Portis,,33-26,,
8:54.0,,,33-27,1,G. Antetokounmpo makes free throw 1 of 1
8:41.0,D. Rose misses 2-pt shot at rim,,33-27,,
8:39.0,Offensive rebound by J. Noah,,33-27,,
8:39.0,J. Noah makes 2-pt shot at rim,2,35-27,,
8:24.0,,,35-27,,R. Vaughn misses 3-pt shot from 25 ft
8:23.0,,,35-27,,Offensive rebound by G. Monroe
8:21.0,,,35-27,,G. Monroe misses 2-pt shot at rim
8:19.0,Defensive rebound by T. Gibson,,35-27,,
8:09.0,Turnover by D. Rose (lost ball; steal by O. Mayo),,35-27,,
8:04.0,,,35-29,2,G. Antetokounmpo makes 2-pt shot at rim
7:53.0,,,35-29,,Personal foul by J. Parker (drawn by N. Mirotic)
7:53.0,J. Butler enters the game for K. Hinrich,,35-29,,
7:53.0,,,35-29,,K. Middleton enters the game for J. Parker
7:38.0,T. Gibson misses 2-pt shot from 13 ft,,35-29,,
7:37.0,,,35-29,,Defensive rebound by K. Middleton
7:28.0,,,35-31,2,G. Antetokounmpo makes 2-pt shot at rim
7:26.0,Chicago full timeout,,35-31,,
7:10.0,D. Rose misses 2-pt shot from 4 ft,,35-31,,
7:09.0,Offensive rebound by D. Rose,,35-31,,
7:09.0,D. Rose misses 2-pt shot from 4 ft,,35-31,,
7:08.0,Offensive rebound by J. Noah,,35-31,,
7:06.0,J. Noah misses 2-pt shot from 1 ft,,35-31,,
7:05.0,Offensive rebound by T. Gibson,,35-31,,
7:05.0,T. Gibson misses 2-pt shot from 1 ft,,35-31,,
7:02.0,,,35-31,,Defensive rebound by G. Antetokounmpo
6:49.0,,,35-31,,Shooting foul by J. Noah (drawn by G. Antetokounmpo)
6:49.0,,,35-32,1,G. Antetokounmpo makes free throw 1 of 2
6:49.0,P. Gasol enters the game for J. Noah,,35-32,,
6:49.0,,,35-32,,M. Carter-Williams enters the game for O. Mayo
6:49.0,,,35-33,1,G. Antetokounmpo makes free throw 2 of 2
6:36.0,J. Butler misses 2-pt shot from 3 ft,,35-33,,
6:35.0,Offensive rebound by T. Gibson,,35-33,,
6:35.0,Shooting foul by G. Antetokounmpo (drawn by T. Gibson),,35-33,,
6:35.0,T. Gibson makes free throw 1 of 2,1,36-33,,
6:35.0,,,36-33,,J. Henson enters the game for G. Monroe
6:35.0,T. Gibson makes free throw 2 of 2,1,37-33,,
6:20.0,,,37-33,,K. Middleton misses 3-pt shot from 24 ft (block by J. Butler)
6:18.0,,,37-33,,Offensive rebound by G. Antetokounmpo
6:13.0,,,37-33,,M. Carter-Williams misses 2-pt shot from 3 ft
6:11.0,Defensive rebound by T. Gibson,,37-33,,
6:09.0,Jump ball: M. Carter-Williams vs. T. Gibson (N. Mirotic gains possession),,,,Jump ball: M. Carter-Williams vs. T. Gibson (N. Mirotic gains possession)
5:51.0,Turnover by N. Mirotic (bad pass; steal by R. Vaughn),,37-33,,
5:47.0,,,37-35,2,M. Carter-Williams makes 2-pt shot from 1 ft (assist by K. Middleton)
5:47.0,,,37-35,,Shooting foul by D. Rose (drawn by M. Carter-Williams)
5:47.0,,,37-35,,M. Carter-Williams misses free throw 1 of 1
5:46.0,Defensive rebound by P. Gasol,,37-35,,
5:31.0,,,37-35,,Personal foul by K. Middleton (drawn by T. Gibson)
5:16.0,N. Mirotic makes 2-pt shot from 20 ft (assist by J. Butler),2,39-35,,
4:54.0,,,39-35,,R. Vaughn misses 2-pt shot from 3 ft
4:53.0,,,39-35,,Offensive rebound by J. Henson
4:53.0,,,39-35,,J. Henson misses 2-pt shot at rim
4:52.0,Defensive rebound by T. Gibson,,39-35,,
4:49.0,Shooting foul by G. Antetokounmpo (drawn by D. Rose),,39-35,,
4:49.0,D. Rose makes free throw 1 of 2,1,40-35,,
4:49.0,,,40-35,,G. Monroe enters the game for G. Antetokounmpo
4:49.0,,,40-35,,O. Mayo enters the game for R. Vaughn
4:49.0,T. Snell enters the game for N. Mirotic,,40-35,,
4:49.0,D. Rose makes free throw 2 of 2,1,41-35,,
4:34.0,,,41-35,,K. Middleton misses 3-pt shot from 26 ft
4:34.0,,,41-35,,Offensive rebound by Team
4:27.0,,,41-37,2,J. Henson makes 2-pt shot at rim (assist by O. Mayo)
4:08.0,J. Butler misses 2-pt shot from 8 ft (block by J. Henson),,41-37,,
4:06.0,,,41-37,,Defensive rebound by K. Middleton
3:56.0,,,41-37,,J. Henson misses 2-pt shot from 5 ft
3:55.0,Defensive rebound by P. Gasol,,41-37,,
3:51.0,Offensive foul by T. Gibson,,41-37,,
3:51.0,Turnover by T. Gibson (offensive foul),,41-37,,
3:35.0,,,41-39,2,G. Monroe makes 2-pt shot from 16 ft (assist by K. Middleton)
3:16.0,T. Snell makes 3-pt shot from 27 ft (assist by P. Gasol),3,44-39,,
2:58.0,,,44-42,3,O. Mayo makes 3-pt shot from 23 ft (assist by K. Middleton)
2:40.0,P. Gasol misses 2-pt shot from 5 ft,,44-42,,
2:38.0,,,44-42,,Defensive rebound by G. Monroe
2:17.0,,,44-42,,G. Monroe misses 2-pt shot from 3 ft
2:16.0,Defensive rebound by J. Butler,,44-42,,
2:08.0,Shooting foul by J. Henson (drawn by J. Butler),,44-42,,
2:08.0,,,44-42,,Milwaukee full timeout
2:08.0,J. Butler makes free throw 1 of 2,1,45-42,,
2:08.0,J. Butler misses free throw 2 of 2,,45-42,,
2:07.0,Offensive rebound by P. Gasol,,45-42,,
2:02.0,D. Rose misses 3-pt shot from 24 ft,,45-42,,
2:01.0,Offensive rebound by P. Gasol,,45-42,,
1:57.0,T. Snell makes 2-pt shot from 10 ft (assist by P. Gasol),2,47-42,,
1:35.0,,,47-44,2,K. Middleton makes 2-pt shot from 14 ft (assist by J. Henson)
1:24.0,J. Butler misses 2-pt shot from 12 ft,,47-44,,
1:22.0,Offensive rebound by J. Butler,,47-44,,
1:18.0,D. Rose misses 3-pt shot from 28 ft,,47-44,,
1:17.0,Offensive rebound by P. Gasol,,47-44,,
1:03.0,D. Rose misses 2-pt shot from 2 ft (block by J. Henson),,47-44,,
1:00.0,,,47-44,,Defensive rebound by J. Henson
0:57.0,,,47-44,,Turnover by J. Henson (lost ball; steal by D. Rose)
0:53.0,Shooting foul by M. Carter-Williams (drawn by J. Butler),,47-44,,
0:53.0,J. Butler makes free throw 1 of 2,1,48-44,,
0:53.0,J. Butler makes free throw 2 of 2,1,49-44,,
0:46.0,,,49-44,,Turnover by J. Henson (bad pass)
0:38.0,J. Butler makes 2-pt shot from 7 ft,2,51-44,,
0:19.0,,,51-46,2,G. Monroe makes 2-pt shot from 1 ft (assist by K. Middleton)
0:01.0,J. Butler misses 2-pt shot from 20 ft,,51-46,,
0:00.0,Offensive rebound by Team,,51-46,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:40.0,,,51-48,2,J. Parker makes 2-pt shot from 1 ft (assist by M. Carter-Williams)
11:21.0,N. Mirotic makes 3-pt shot from 23 ft (assist by D. Rose),3,54-48,,
11:07.0,,,54-50,2,G. Monroe makes 2-pt shot from 5 ft (assist by K. Middleton)
10:46.0,J. Butler makes 2-pt shot at rim (assist by P. Gasol),2,56-50,,
10:34.0,,,56-52,2,G. Antetokounmpo makes 2-pt shot at rim
10:14.0,Turnover by D. Rose (bad pass; steal by G. Monroe),,56-52,,
10:11.0,,,56-54,2,G. Antetokounmpo makes 2-pt shot at rim
9:48.0,N. Mirotic misses 3-pt shot from 27 ft,,56-54,,
9:47.0,,,56-54,,Defensive rebound by G. Monroe
9:37.0,,,56-56,2,G. Monroe makes 2-pt shot from 16 ft (assist by G. Antetokounmpo)
9:26.0,Chicago full timeout,,56-56,,
9:26.0,K. Hinrich enters the game for D. Rose,,56-56,,
9:14.0,K. Hinrich misses 3-pt shot from 26 ft,,56-56,,
9:13.0,Offensive rebound by P. Gasol,,56-56,,
9:11.0,P. Gasol misses 2-pt shot from 1 ft,,56-56,,
9:09.0,,,56-56,,Defensive rebound by G. Antetokounmpo
9:02.0,,,56-58,2,J. Parker makes 2-pt shot from 6 ft (assist by G. Antetokounmpo)
8:41.0,P. Gasol misses 2-pt shot from 17 ft,,56-58,,
8:40.0,,,56-58,,Defensive rebound by G. Antetokounmpo
8:28.0,,,56-58,,K. Middleton misses 3-pt shot from 26 ft
8:28.0,Defensive rebound by Team,,56-58,,
8:12.0,N. Mirotic misses 2-pt shot from 4 ft,,56-58,,
8:12.0,,,56-58,,Defensive rebound by M. Carter-Williams
8:12.0,Personal take foul by N. Mirotic (drawn by M. Carter-Williams),,56-58,,
7:56.0,,,56-58,,G. Antetokounmpo misses 2-pt shot from 3 ft
7:54.0,Defensive rebound by P. Gasol,,56-58,,
7:43.0,Turnover by J. Butler (bad pass),,56-58,,
7:43.0,Loose ball foul by P. Gasol (drawn by G. Monroe),,56-58,,
7:26.0,,,56-58,,Shooting foul by N. Mirotic (drawn by G. Antetokounmpo)
7:26.0,,,56-59,1,G. Antetokounmpo makes free throw 1 of 2
7:26.0,A. Brooks enters the game for N. Mirotic,,56-59,,
7:26.0,,,56-60,1,G. Antetokounmpo makes free throw 2 of 2
7:16.0,J. Butler makes 2-pt shot at rim,2,58-60,,
7:03.0,Def 3 sec tech foul by P. Gasol,,58-60,,
7:03.0,,,58-61,1,K. Middleton makes technical free throw
7:00.0,Personal foul by K. Hinrich (drawn by K. Middleton),,58-61,,
6:46.0,,,58-61,,M. Carter-Williams misses 2-pt shot from 20 ft
6:45.0,,,58-61,,Offensive rebound by G. Antetokounmpo
6:43.0,,,58-63,2,M. Carter-Williams makes 2-pt shot at rim (assist by G. Antetokounmpo)
6:43.0,,,58-63,,Technical foul by M. Carter-Williams
6:43.0,J. Butler makes technical free throw,1,59-63,,
6:36.0,,,59-63,,Personal foul by G. Antetokounmpo (drawn by J. Butler)
6:32.0,Turnover by T. Gibson (lost ball; steal by J. Parker),,59-63,,
6:28.0,,,59-65,2,J. Parker makes 2-pt shot at rim
6:11.0,Turnover by P. Gasol (lost ball; steal by M. Carter-Williams),,59-65,,
6:07.0,,,59-67,2,G. Antetokounmpo makes 2-pt shot at rim (assist by M. Carter-Williams)
6:06.0,Chicago full timeout,,59-67,,
6:06.0,,,59-67,,J. Henson enters the game for G. Antetokounmpo
5:50.0,Turnover by J. Butler (bad pass; steal by J. Parker),,59-67,,
5:47.0,,,59-67,,Shooting foul by A. Brooks (drawn by J. Parker)
5:47.0,,,59-67,,J. Parker misses free throw 1 of 2
5:47.0,,,59-67,,Offensive rebound by Team
5:47.0,T. Snell enters the game for T. Gibson,,59-67,,
5:47.0,N. Mirotic enters the game for K. Hinrich,,59-67,,
5:47.0,,,59-67,,O. Mayo enters the game for G. Monroe
5:47.0,,,59-67,,J. Parker misses free throw 2 of 2
5:46.0,Defensive rebound by T. Snell,,59-67,,
5:33.0,J. Butler makes 3-pt shot from 25 ft (assist by N. Mirotic),3,62-67,,
5:10.0,,,62-67,,J. Henson misses 2-pt shot from 8 ft
5:09.0,Defensive rebound by P. Gasol,,62-67,,
4:50.0,P. Gasol makes 2-pt shot from 14 ft (assist by T. Snell),2,64-67,,
4:41.0,,,64-67,,Turnover by K. Middleton (lost ball)
4:29.0,J. Butler misses 2-pt shot from 1 ft,,64-67,,
4:27.0,,,64-67,,Defensive rebound by M. Carter-Williams
4:19.0,,,64-67,,O. Mayo misses 3-pt shot from 26 ft
4:17.0,Defensive rebound by T. Snell,,64-67,,
4:03.0,A. Brooks makes 3-pt shot from 24 ft (assist by J. Butler),3,67-67,,
4:01.0,,,67-67,,Milwaukee full timeout
4:01.0,,,67-67,,R. Vaughn enters the game for J. Parker
3:48.0,,,67-67,,Turnover by K. Middleton (bad pass; steal by P. Gasol)
3:38.0,N. Mirotic makes 2-pt shot at rim (assist by P. Gasol),2,69-67,,
3:18.0,,,69-67,,Shooting foul by T. Snell (drawn by M. Carter-Williams)
3:18.0,,,69-67,,M. Carter-Williams misses free throw 1 of 2
3:18.0,,,69-67,,Offensive rebound by Team
3:18.0,,,69-68,1,M. Carter-Williams makes free throw 2 of 2
3:03.0,T. Snell misses 3-pt shot from 26 ft,,69-68,,
3:01.0,Offensive rebound by P. Gasol,,69-68,,
3:00.0,P. Gasol makes 2-pt shot at rim,2,71-68,,
2:37.0,,,71-70,2,R. Vaughn makes 2-pt shot at rim (assist by J. Henson)
2:20.0,Jump ball: J. Butler vs. K. Middleton (A. Brooks gains possession),,,,Jump ball: J. Butler vs. K. Middleton (A. Brooks gains possession)
2:17.0,N. Mirotic makes 3-pt shot from 24 ft (assist by A. Brooks),3,74-70,,
1:59.0,,,74-72,2,J. Henson makes 2-pt shot from 3 ft (assist by M. Carter-Williams)
1:42.0,P. Gasol misses 2-pt shot at rim,,74-72,,
1:38.0,,,74-72,,Defensive rebound by J. Henson
1:30.0,,,74-74,2,O. Mayo makes 2-pt shot from 7 ft (assist by K. Middleton)
1:20.0,Shooting foul by J. Henson (drawn by P. Gasol),,74-74,,
1:20.0,P. Gasol misses free throw 1 of 2,,74-74,,
1:20.0,Offensive rebound by Team,,74-74,,
1:20.0,,,74-74,,J. O'Bryant enters the game for M. Carter-Williams
1:20.0,P. Gasol makes free throw 2 of 2,1,75-74,,
1:10.0,,,75-74,,K. Middleton misses 2-pt shot from 16 ft
1:08.0,Defensive rebound by T. Snell,,75-74,,
0:54.0,J. Butler makes 2-pt shot at rim,2,77-74,,
0:40.0,,,77-74,,R. Vaughn misses 3-pt shot from 22 ft
0:39.0,,,77-74,,Offensive rebound by K. Middleton
0:32.0,,,77-74,,K. Middleton misses 2-pt shot from 3 ft
0:31.0,,,77-74,,Offensive rebound by K. Middleton
0:30.0,,,77-74,,K. Middleton misses 2-pt shot at rim
0:29.0,Defensive rebound by T. Snell,,77-74,,
0:20.0,N. Mirotic misses 2-pt shot from 1 ft (block by J. Henson),,77-74,,
0:18.0,Offensive rebound by N. Mirotic,,77-74,,
0:07.0,A. Brooks misses 3-pt shot from 28 ft,,77-74,,
0:04.0,Offensive rebound by T. Snell,,77-74,,
0:02.0,T. Snell misses 3-pt shot from 24 ft,,77-74,,
0:02.0,Offensive rebound by N. Mirotic,,77-74,,
0:01.0,N. Mirotic misses 3-pt shot from 23 ft,,77-74,,
0:00.0,Offensive rebound by Team,,77-74,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,A. Brooks makes 2-pt shot at rim,2,79-74,,
11:28.0,,,79-74,,O. Mayo misses 2-pt shot from 22 ft
11:28.0,,,79-74,,Offensive rebound by Team
11:28.0,Loose ball foul by T. Snell (drawn by J. O'Bryant),,79-74,,
11:15.0,,,79-74,,G. Monroe misses 2-pt shot from 13 ft (block by N. Mirotic)
11:13.0,,,79-74,,Offensive rebound by J. O'Bryant
11:05.0,,,79-74,,R. Vaughn misses 2-pt shot from 17 ft
11:04.0,,,79-74,,Offensive rebound by G. Antetokounmpo
11:03.0,,,79-76,2,G. Antetokounmpo makes 2-pt shot at rim
10:50.0,,,79-76,,Personal foul by O. Mayo (drawn by A. Brooks)
10:39.0,A. Brooks misses 2-pt shot from 17 ft,,79-76,,
10:37.0,,,79-76,,Defensive rebound by G. Antetokounmpo
10:29.0,,,79-76,,O. Mayo misses 3-pt shot from 23 ft
10:28.0,Defensive rebound by T. Snell,,79-76,,
10:18.0,N. Mirotic makes 2-pt shot at rim (assist by J. Noah),2,81-76,,
10:01.0,,,81-76,,O. Mayo misses 3-pt shot from 27 ft
10:00.0,Defensive rebound by T. Snell,,81-76,,
9:46.0,,,81-76,,Personal foul by R. Vaughn (drawn by J. Noah)
9:46.0,,,81-76,,J. Parker enters the game for J. O'Bryant
9:41.0,A. Brooks makes 3-pt shot from 28 ft,3,84-76,,
9:38.0,,,84-76,,Milwaukee full timeout
9:38.0,,,84-76,,M. Carter-Williams enters the game for R. Vaughn
9:21.0,,,84-78,2,M. Carter-Williams makes 2-pt shot from 15 ft
9:06.0,N. Mirotic misses 3-pt shot from 25 ft,,84-78,,
9:05.0,,,84-78,,Defensive rebound by G. Monroe
8:53.0,,,84-80,2,J. Parker makes 2-pt shot from 8 ft (assist by O. Mayo)
8:43.0,A. Brooks misses 2-pt shot from 1 ft (block by G. Monroe),,84-80,,
8:41.0,,,84-80,,Defensive rebound by G. Antetokounmpo
8:38.0,,,84-80,,Shooting foul by T. Snell (drawn by G. Antetokounmpo)
8:38.0,,,84-81,1,G. Antetokounmpo makes free throw 1 of 2
8:38.0,J. Butler enters the game for D. McDermott,,84-81,,
8:38.0,,,84-81,,K. Middleton enters the game for O. Mayo
8:38.0,,,84-81,,G. Antetokounmpo misses free throw 2 of 2
8:36.0,Defensive rebound by J. Butler,,84-81,,
8:17.0,T. Snell makes 2-pt shot from 2 ft,2,86-81,,
8:02.0,,,86-81,,M. Carter-Williams misses 2-pt shot from 4 ft
8:01.0,Defensive rebound by J. Noah,,86-81,,
7:45.0,T. Snell makes 3-pt shot from 25 ft (assist by J. Butler),3,89-81,,
7:24.0,,,89-81,,K. Middleton misses 2-pt shot from 19 ft
7:23.0,,,89-81,,Offensive rebound by Team
7:16.0,,,89-83,2,J. Parker makes 2-pt shot from 2 ft (assist by K. Middleton)
6:52.0,Shooting foul by K. Middleton (drawn by J. Butler),,89-83,,
6:52.0,J. Butler makes free throw 1 of 2,1,90-83,,
6:52.0,J. Butler makes free throw 2 of 2,1,91-83,,
6:29.0,,,91-83,,G. Antetokounmpo misses 3-pt shot from 24 ft
6:28.0,Defensive rebound by A. Brooks,,91-83,,
6:19.0,T. Snell misses 3-pt shot from 29 ft,,91-83,,
6:17.0,,,91-83,,Defensive rebound by K. Middleton
6:09.0,,,91-85,2,J. Parker makes 2-pt shot from 6 ft
