time,Memphis,pts.away,score,pts.home,Milwaukee
1:29.0,Memphis full timeout,,30-28,,
1:22.0,B. Weber misses 2-pt shot from 9 ft (block by R. Vaughn),,30-28,,
1:20.0,Offensive rebound by B. Weber,,30-28,,
1:16.0,B. Weber misses 2-pt shot from 7 ft,,30-28,,
1:15.0,,,30-28,,Defensive rebound by M. Plumlee
1:06.0,,,30-30,2,M. Plumlee makes 2-pt shot at rim (assist by G. Antetokounmpo)
0:42.0,Turnover by R. McCallum (bad pass),,30-30,,
0:32.0,,,30-30,,T. Ennis misses 2-pt shot at rim (block by A. Stepheson)
0:31.0,Defensive rebound by B. Weber,,30-30,,
0:12.0,M. Barnes makes 2-pt shot at rim,2,32-30,,
0:06.0,,,32-32,2,G. Antetokounmpo makes 2-pt shot from 4 ft
0:02.0,M. Barnes misses 3-pt shot from 27 ft,,32-32,,
0:00.0,Offensive rebound by Team,,32-32,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,,,32-32,,T. Ennis misses 2-pt shot from 1 ft
11:45.0,,,32-32,,Offensive rebound by M. Plumlee
11:45.0,,,32-34,2,M. Plumlee makes 2-pt shot at rim
11:29.0,L. Stephenson misses 2-pt shot from 16 ft,,32-34,,
11:27.0,Offensive rebound by J. Green,,32-34,,
11:21.0,J. Green misses 2-pt shot from 4 ft,,32-34,,
11:19.0,,,32-34,,Defensive rebound by D. Inglis
11:16.0,Personal foul by L. Stephenson,,32-34,,
11:10.0,,,32-34,,Turnover by R. Vaughn (lost ball; steal by X. Munford)
10:59.0,L. Stephenson misses 2-pt shot from 12 ft,,32-34,,
10:58.0,,,32-34,,Defensive rebound by R. Vaughn
10:43.0,,,32-34,,Turnover by R. Vaughn (bad pass)
10:33.0,X. Munford misses 2-pt shot from 14 ft,,32-34,,
10:31.0,,,32-34,,Defensive rebound by M. Plumlee
10:16.0,,,32-34,,J. Parker misses 2-pt shot from 19 ft
10:15.0,Defensive rebound by A. Stepheson,,32-34,,
10:10.0,R. McCallum misses 2-pt shot from 1 ft (block by D. Inglis),,32-34,,
10:10.0,Offensive rebound by Team,,32-34,,
10:02.0,R. McCallum makes 2-pt shot from 10 ft (assist by J. Green),2,34-34,,
9:44.0,,,34-36,2,M. Plumlee makes 2-pt shot from 6 ft
9:30.0,L. Stephenson makes 2-pt shot from 4 ft,2,36-36,,
9:30.0,Shooting foul by M. Plumlee (drawn by L. Stephenson),,36-36,,
9:30.0,R. Hollins enters the game for A. Stepheson,,36-36,,
9:30.0,L. Stephenson makes free throw 1 of 1,1,37-36,,
9:17.0,,,37-36,,M. Plumlee misses 2-pt shot from 5 ft
9:16.0,,,37-36,,Offensive rebound by Team
9:16.0,Loose ball foul by X. Munford,,37-36,,
9:12.0,,,37-36,,J. Parker misses 2-pt shot from 16 ft
9:11.0,Defensive rebound by L. Stephenson,,37-36,,
9:00.0,R. Hollins makes 2-pt shot from 11 ft (assist by L. Stephenson),2,39-36,,
8:40.0,,,39-36,,J. Parker misses 3-pt shot from 24 ft
8:38.0,Defensive rebound by L. Stephenson,,39-36,,
8:29.0,R. Hollins misses 2-pt shot from 6 ft,,39-36,,
8:27.0,,,39-36,,Defensive rebound by J. Parker
8:24.0,,,39-36,,Milwaukee full timeout
8:24.0,,,39-36,,J. Bayless enters the game for D. Inglis
8:24.0,,,39-36,,K. Middleton enters the game for T. Ennis
8:19.0,,,39-36,,Shooting foul by J. Green (drawn by J. Parker)
8:19.0,,,39-36,,J. Parker misses free throw 1 of 2
8:19.0,,,39-36,,Offensive rebound by Team
8:19.0,,,39-37,1,J. Parker makes free throw 2 of 2
8:05.0,X. Munford misses 2-pt shot from 7 ft,,39-37,,
8:04.0,,,39-37,,Defensive rebound by R. Vaughn
7:56.0,,,39-37,,Turnover by K. Middleton (lost ball; steal by X. Munford)
7:37.0,L. Stephenson misses 2-pt shot from 15 ft,,39-37,,
7:36.0,,,39-37,,Defensive rebound by M. Plumlee
7:25.0,,,39-39,2,J. Bayless makes 2-pt shot from 17 ft (assist by M. Plumlee)
7:02.0,L. Stephenson makes 2-pt shot from 18 ft,2,41-39,,
6:47.0,,,41-39,,J. Parker misses 2-pt shot from 2 ft
6:45.0,Defensive rebound by R. Hollins,,41-39,,
6:39.0,J. Green makes 2-pt shot at rim (assist by L. Stephenson),2,43-39,,
6:23.0,,,43-39,,R. Vaughn misses 2-pt shot at rim
6:20.0,,,43-39,,Offensive rebound by K. Middleton
6:15.0,,,43-39,,K. Middleton misses 3-pt shot from 26 ft
6:13.0,Defensive rebound by X. Munford,,43-39,,
5:53.0,Turnover by X. Munford (bad pass),,43-39,,
5:53.0,Official timeout,,43-39,,
5:53.0,,,43-39,,G. Monroe enters the game for R. Vaughn
5:53.0,,,43-39,,G. Antetokounmpo enters the game for M. Plumlee
5:53.0,T. Allen enters the game for X. Munford,,43-39,,
5:39.0,,,43-39,,J. Bayless misses 2-pt shot from 4 ft
5:38.0,Defensive rebound by R. Hollins,,43-39,,
5:17.0,L. Stephenson makes 2-pt shot from 1 ft,2,45-39,,
5:03.0,,,45-39,,Turnover by J. Bayless (lost ball; steal by L. Stephenson)
5:00.0,Turnover by L. Stephenson (lost ball),,45-39,,
4:50.0,,,45-39,,G. Antetokounmpo misses 3-pt shot from 25 ft
4:48.0,Defensive rebound by T. Allen,,45-39,,
4:33.0,R. McCallum misses 2-pt shot from 21 ft,,45-39,,
4:32.0,Offensive rebound by R. Hollins,,45-39,,
4:19.0,Turnover by R. McCallum (bad pass),,45-39,,
3:55.0,,,45-39,,Shooting foul by T. Allen (drawn by J. Bayless)
3:55.0,,,45-39,,J. Bayless misses free throw 1 of 2
3:55.0,,,45-39,,Offensive rebound by Team
3:55.0,M. Barnes enters the game for R. McCallum,,45-39,,
3:55.0,,,45-39,,J. Bayless misses free throw 2 of 2
3:53.0,Defensive rebound by R. Hollins,,45-39,,
3:31.0,L. Stephenson makes 2-pt shot from 18 ft,2,47-39,,
3:13.0,,,47-39,,J. Parker misses 2-pt shot from 3 ft
3:12.0,Defensive rebound by R. Hollins,,47-39,,
2:56.0,T. Allen misses 2-pt shot from 10 ft,,47-39,,
2:54.0,,,47-39,,Defensive rebound by G. Monroe
2:31.0,,,47-39,,Turnover by G. Antetokounmpo (lost ball; steal by J. Green)
2:29.0,T. Allen makes 2-pt shot from 2 ft (assist by M. Barnes),2,49-39,,
2:29.0,,,49-39,,Milwaukee full timeout
2:29.0,Memphis full timeout,,49-39,,
2:29.0,J. Martin enters the game for R. Hollins,,49-39,,
2:29.0,,,49-39,,J. Henson enters the game for J. Parker
2:13.0,,,49-39,,G. Monroe misses 2-pt shot from 2 ft
2:11.0,,,49-39,,Offensive rebound by G. Antetokounmpo
2:11.0,,,49-41,2,G. Antetokounmpo makes 2-pt shot from 4 ft
2:03.0,,,49-41,,Personal foul by G. Antetokounmpo
1:51.0,J. Green misses 2-pt shot from 5 ft,,49-41,,
1:51.0,Offensive rebound by T. Allen,,49-41,,
1:48.0,T. Allen misses 2-pt shot from 2 ft (block by J. Henson),,49-41,,
1:47.0,,,49-41,,Defensive rebound by G. Antetokounmpo
1:38.0,,,49-43,2,K. Middleton makes 2-pt shot from 3 ft (assist by G. Antetokounmpo)
1:14.0,L. Stephenson misses 2-pt shot from 8 ft (block by G. Monroe),,49-43,,
1:13.0,Offensive rebound by J. Green,,49-43,,
1:13.0,J. Green makes 2-pt shot from 1 ft,2,51-43,,
0:56.0,,,51-46,3,K. Middleton makes 3-pt shot from 23 ft (assist by G. Antetokounmpo)
0:35.0,T. Allen makes 2-pt shot from 1 ft (assist by L. Stephenson),2,53-46,,
0:30.0,Personal foul by T. Allen,,53-46,,
0:30.0,,,53-46,,G. Antetokounmpo misses free throw 1 of 2
0:30.0,,,53-46,,Offensive rebound by Team
0:30.0,X. Munford enters the game for T. Allen,,53-46,,
0:30.0,,,53-47,1,G. Antetokounmpo makes free throw 2 of 2
0:09.0,M. Barnes misses 3-pt shot from 24 ft,,53-47,,
0:08.0,,,53-47,,Defensive rebound by G. Monroe
0:03.0,,,53-47,,K. Middleton misses 3-pt shot from 24 ft
0:00.0,,,53-47,,Offensive rebound by J. Henson
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:52.0,,,53-49,2,G. Antetokounmpo makes 2-pt shot at rim (assist by J. Bayless)
11:32.0,M. Barnes misses 3-pt shot from 24 ft,,53-49,,
11:31.0,,,53-49,,Defensive rebound by J. Bayless
11:18.0,,,53-51,2,K. Middleton makes 2-pt shot from 6 ft (assist by G. Antetokounmpo)
11:06.0,,,53-51,,Personal foul by K. Middleton
10:51.0,L. Stephenson misses 2-pt shot from 19 ft,,53-51,,
10:50.0,,,53-51,,Defensive rebound by G. Antetokounmpo
10:37.0,,,53-53,2,G. Monroe makes 2-pt shot from 1 ft
10:37.0,,,53-53,,Shooting foul by R. Hollins (drawn by G. Monroe)
10:37.0,,,53-54,1,G. Monroe makes free throw 1 of 1
10:19.0,J. Green makes 2-pt shot at rim (assist by T. Allen),2,55-54,,
10:04.0,,,55-54,,J. Bayless misses 3-pt shot from 24 ft
10:03.0,Defensive rebound by R. Hollins,,55-54,,
9:47.0,J. Green misses 2-pt shot at rim,,55-54,,
9:45.0,,,55-54,,Defensive rebound by G. Monroe
9:35.0,,,55-56,2,G. Monroe makes 2-pt shot from 3 ft (assist by G. Antetokounmpo)
9:18.0,R. Hollins misses 2-pt shot at rim (block by G. Antetokounmpo),,55-56,,
9:18.0,Offensive rebound by Team,,55-56,,
9:12.0,R. Hollins misses 2-pt shot from 2 ft (block by J. Parker),,55-56,,
9:12.0,Offensive rebound by Team,,55-56,,
9:09.0,M. Barnes misses 3-pt shot from 25 ft,,55-56,,
9:08.0,,,55-56,,Defensive rebound by G. Monroe
8:46.0,,,55-56,,J. Parker misses 2-pt shot from 2 ft
8:45.0,Defensive rebound by R. Hollins,,55-56,,
8:35.0,J. Green misses 2-pt shot from 1 ft,,55-56,,
8:32.0,,,55-56,,Defensive rebound by G. Antetokounmpo
8:27.0,,,55-58,2,G. Antetokounmpo makes 2-pt shot from 2 ft
8:27.0,Memphis full timeout,,55-58,,
8:06.0,R. Hollins makes 2-pt shot at rim (assist by T. Allen),2,57-58,,
7:47.0,,,57-58,,Shooting foul by L. Stephenson (drawn by J. Bayless)
7:47.0,,,57-59,1,J. Bayless makes free throw 1 of 2
7:47.0,,,57-60,1,J. Bayless makes free throw 2 of 2
7:23.0,Turnover by Team (shot clock),,57-60,,
7:10.0,,,57-60,,K. Middleton misses 2-pt shot from 20 ft
7:08.0,Defensive rebound by M. Barnes,,57-60,,
6:47.0,Shooting foul by J. Bayless (drawn by T. Allen),,57-60,,
6:47.0,T. Allen makes free throw 1 of 2,1,58-60,,
6:47.0,J. Martin enters the game for J. Green,,58-60,,
6:47.0,B. Weber enters the game for R. Hollins,,58-60,,
6:47.0,T. Allen makes free throw 2 of 2,1,59-60,,
6:31.0,,,59-60,,Turnover by G. Monroe (lost ball; steal by T. Allen)
6:19.0,L. Stephenson makes 2-pt shot from 3 ft,2,61-60,,
6:01.0,,,61-62,2,G. Monroe makes 2-pt shot from 4 ft (assist by G. Antetokounmpo)
5:40.0,M. Barnes misses 2-pt shot from 6 ft,,61-62,,
5:39.0,,,61-62,,Defensive rebound by G. Monroe
5:31.0,,,61-62,,Shooting foul by M. Barnes (drawn by G. Antetokounmpo)
5:31.0,,,61-63,1,G. Antetokounmpo makes free throw 1 of 2
5:31.0,,,61-64,1,G. Antetokounmpo makes free throw 2 of 2
5:15.0,L. Stephenson makes 2-pt shot from 15 ft (assist by J. Martin),2,63-64,,
4:57.0,,,63-64,,J. Bayless misses 3-pt shot from 23 ft
4:56.0,Defensive rebound by M. Barnes,,63-64,,
4:34.0,J. Martin makes 2-pt shot from 5 ft (assist by L. Stephenson),2,65-64,,
4:23.0,Personal foul by B. Weber,,65-64,,
4:23.0,A. Stepheson enters the game for L. Stephenson,,65-64,,
4:23.0,,,65-64,,T. Ennis enters the game for J. Bayless
4:15.0,,,65-64,,K. Middleton misses 2-pt shot from 12 ft
4:14.0,Defensive rebound by T. Allen,,65-64,,
3:58.0,Turnover by M. Barnes (lost ball; steal by K. Middleton),,65-64,,
3:54.0,,,65-64,,K. Middleton misses 2-pt shot at rim (block by M. Barnes)
3:54.0,,,65-64,,Offensive rebound by Team
3:40.0,,,65-64,,G. Antetokounmpo misses 2-pt shot from 1 ft
3:36.0,,,65-64,,Offensive rebound by G. Antetokounmpo
3:36.0,,,65-66,2,G. Antetokounmpo makes 2-pt shot from 2 ft
3:19.0,J. Martin misses 2-pt shot from 20 ft,,65-66,,
3:17.0,Offensive rebound by A. Stepheson,,65-66,,
3:02.0,A. Stepheson misses 2-pt shot at rim,,65-66,,
3:00.0,Offensive rebound by A. Stepheson,,65-66,,
3:00.0,A. Stepheson makes 2-pt shot from 1 ft,2,67-66,,
2:43.0,,,67-66,,J. Parker misses 2-pt shot from 14 ft
2:41.0,Defensive rebound by M. Barnes,,67-66,,
2:36.0,Turnover by M. Barnes (bad pass),,67-66,,
2:36.0,,,67-66,,Milwaukee full timeout
2:36.0,,,67-66,,D. Inglis enters the game for J. Parker
2:36.0,X. Munford enters the game for T. Allen,,67-66,,
2:18.0,,,67-66,,D. Inglis misses 3-pt shot from 22 ft
2:17.0,Defensive rebound by B. Weber,,67-66,,
1:58.0,Turnover by J. Martin (lost ball; steal by K. Middleton),,67-66,,
1:46.0,,,67-66,,K. Middleton misses 2-pt shot from 9 ft
1:45.0,Defensive rebound by J. Martin,,67-66,,
1:35.0,J. Martin misses 2-pt shot at rim (block by G. Antetokounmpo),,67-66,,
1:32.0,,,67-66,,Defensive rebound by T. Ennis
1:29.0,,,67-68,2,D. Inglis makes 2-pt shot from 1 ft (assist by T. Ennis)
1:16.0,M. Barnes misses 2-pt shot from 1 ft (block by G. Antetokounmpo),,67-68,,
1:16.0,Offensive rebound by Team,,67-68,,
1:16.0,R. Hollins enters the game for J. Martin,,67-68,,
1:16.0,,,67-68,,M. Plumlee enters the game for G. Monroe
1:10.0,Shooting foul by K. Middleton (drawn by X. Munford),,67-68,,
1:10.0,X. Munford makes free throw 1 of 2,1,68-68,,
1:10.0,X. Munford makes free throw 2 of 2,1,69-68,,
0:48.0,,,69-68,,Turnover by K. Middleton (lost ball; steal by B. Weber)
0:40.0,X. Munford misses 3-pt shot from 24 ft,,69-68,,
0:39.0,Offensive rebound by R. Hollins,,69-68,,
0:39.0,Shooting foul by T. Ennis (drawn by R. Hollins),,69-68,,
0:39.0,R. Hollins makes free throw 1 of 2,1,70-68,,
0:39.0,R. Hollins makes free throw 2 of 2,1,71-68,,
0:29.0,,,71-68,,K. Middleton misses 3-pt shot from 24 ft
0:28.0,Defensive rebound by M. Barnes,,71-68,,
0:05.0,B. Weber makes 2-pt shot from 12 ft (assist by M. Barnes),2,73-68,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:39.0,Turnover by M. Barnes (lost ball; steal by J. Henson),,73-68,,
11:27.0,,,73-70,2,T. Ennis makes 2-pt shot from 14 ft
11:05.0,A. Stepheson misses 2-pt shot from 1 ft (block by M. Plumlee),,73-70,,
11:03.0,Offensive rebound by A. Stepheson,,73-70,,
11:01.0,Turnover by R. Hollins (lost ball; steal by J. Henson),,73-70,,
10:58.0,Personal foul by X. Munford,,73-70,,
10:58.0,,,73-71,1,D. Inglis makes free throw 1 of 2
10:58.0,J. Green enters the game for A. Stepheson,,73-71,,
10:58.0,,,73-72,1,D. Inglis makes free throw 2 of 2
10:36.0,J. Green misses 2-pt shot from 19 ft,,73-72,,
10:34.0,,,73-72,,Defensive rebound by D. Inglis
10:14.0,,,73-72,,T. Ennis misses 2-pt shot from 2 ft (block by J. Green)
10:13.0,,,73-72,,Offensive rebound by J. Henson
10:12.0,L. Stephenson enters the game for M. Barnes,,73-72,,
10:12.0,R. McCallum enters the game for X. Munford,,73-72,,
10:12.0,,,73-72,,Turnover by Team (shot clock)
9:50.0,Turnover by L. Stephenson (lost ball; steal by T. Ennis),,73-72,,
9:47.0,,,73-74,2,D. Inglis makes 2-pt shot from 1 ft
9:47.0,Memphis full timeout,,73-74,,
9:47.0,T. Allen enters the game for B. Weber,,73-74,,
9:27.0,L. Stephenson misses 2-pt shot from 9 ft,,73-74,,
9:26.0,Offensive rebound by R. Hollins,,73-74,,
9:19.0,L. Stephenson misses 2-pt shot from 9 ft,,73-74,,
9:18.0,,,73-74,,Defensive rebound by M. Plumlee
9:03.0,,,73-74,,Turnover by M. Plumlee (lost ball)
8:39.0,R. McCallum makes 2-pt shot from 16 ft,2,75-74,,
8:24.0,,,75-76,2,M. Plumlee makes 2-pt shot from 7 ft (assist by T. Ennis)
7:56.0,R. McCallum misses 3-pt shot from 25 ft,,75-76,,
7:55.0,,,75-76,,Defensive rebound by D. Inglis
7:47.0,,,75-78,2,J. Henson makes 2-pt shot from 3 ft (assist by T. Ennis)
7:31.0,J. Green misses 2-pt shot from 1 ft,,75-78,,
7:29.0,,,75-78,,Defensive rebound by M. Plumlee
7:18.0,,,75-78,,R. Vaughn misses 3-pt shot from 24 ft
7:17.0,Defensive rebound by R. McCallum,,75-78,,
7:01.0,,,75-78,,Personal foul by T. Ennis
7:01.0,J. Martin enters the game for R. Hollins,,75-78,,
6:53.0,T. Allen misses 2-pt shot at rim (block by D. Inglis),,75-78,,
6:51.0,,,75-78,,Defensive rebound by T. Ennis
6:46.0,,,75-81,3,R. Vaughn makes 3-pt shot from 25 ft (assist by D. Inglis)
6:32.0,J. Martin misses 2-pt shot at rim (block by M. Plumlee),,75-81,,
6:31.0,Offensive rebound by J. Martin,,75-81,,
6:30.0,J. Martin misses 2-pt shot from 2 ft,,75-81,,
6:28.0,,,75-81,,Defensive rebound by T. Ennis
6:11.0,,,75-81,,J. Henson misses 2-pt shot from 6 ft
6:06.0,Defensive rebound by L. Stephenson,,75-81,,
5:56.0,L. Stephenson misses 2-pt shot from 1 ft (block by J. Henson),,75-81,,
5:54.0,,,75-81,,Defensive rebound by D. Inglis
5:47.0,,,75-83,2,T. Ennis makes 2-pt shot at rim
5:47.0,Memphis full timeout,,75-83,,
5:47.0,Official timeout,,75-83,,
5:47.0,M. Barnes enters the game for R. McCallum,,75-83,,
5:37.0,Turnover by L. Stephenson (bad pass),,75-83,,
5:12.0,,,75-85,2,R. Vaughn makes 2-pt shot from 15 ft (assist by D. Inglis)
4:59.0,T. Allen makes 2-pt shot at rim (assist by M. Barnes),2,77-85,,
4:47.0,,,77-87,2,T. Ennis makes 2-pt shot from 1 ft
4:47.0,,,77-87,,Shooting foul by T. Allen (drawn by T. Ennis)
4:47.0,,,77-88,1,T. Ennis makes free throw 1 of 1
4:37.0,J. Martin misses 2-pt shot from 18 ft,,77-88,,
4:35.0,Offensive rebound by T. Allen,,77-88,,
4:29.0,M. Barnes misses 2-pt shot from 19 ft,,77-88,,
4:28.0,Offensive rebound by J. Martin,,77-88,,
4:27.0,Shooting foul by M. Plumlee (drawn by J. Martin),,77-88,,
4:27.0,J. Martin makes free throw 1 of 2,1,78-88,,
4:27.0,J. Martin misses free throw 2 of 2,,78-88,,
4:27.0,,,78-88,,Defensive rebound by T. Ennis
4:13.0,,,78-88,,T. Ennis misses 2-pt shot from 10 ft
4:11.0,,,78-88,,Offensive rebound by T. Ennis
4:04.0,Personal foul by L. Stephenson,,78-88,,
3:54.0,,,78-88,,Turnover by J. Henson (offensive goaltending)
3:47.0,,,78-88,,Personal foul by R. Vaughn
3:43.0,J. Green misses 2-pt shot from 6 ft (block by D. Inglis),,78-88,,
3:43.0,Offensive rebound by L. Stephenson,,78-88,,
3:43.0,,,78-88,,Flagrant foul type 1 by J. Henson
3:43.0,,,78-88,,Technical foul by J. Henson
3:43.0,M. Barnes makes technical free throw,1,79-88,,
3:43.0,L. Stephenson makes flagrant free throw 1 of 2,1,80-88,,
3:43.0,L. Stephenson makes flagrant free throw 2 of 2,1,81-88,,
3:36.0,J. Green misses 2-pt shot at rim (block by M. Plumlee),,81-88,,
3:34.0,Offensive rebound by M. Barnes,,81-88,,
3:25.0,Turnover by M. Barnes (lost ball; steal by M. Plumlee),,81-88,,
3:17.0,,,81-90,2,T. Ennis makes 2-pt shot from 1 ft
3:05.0,L. Stephenson makes 2-pt shot from 1 ft,2,83-90,,
3:05.0,,,83-90,,Violation by M. Plumlee (def goaltending)
2:49.0,,,83-92,2,T. Ennis makes 2-pt shot from 15 ft
2:34.0,Turnover by M. Barnes (lost ball),,83-92,,
2:34.0,,,83-92,,Milwaukee full timeout
2:34.0,B. Weber enters the game for J. Martin,,83-92,,
2:21.0,,,83-92,,R. Vaughn misses 3-pt shot from 26 ft
2:19.0,Defensive rebound by B. Weber,,83-92,,
2:04.0,M. Barnes misses 3-pt shot from 24 ft,,83-92,,
2:03.0,Offensive rebound by J. Green,,83-92,,
1:55.0,L. Stephenson misses 2-pt shot from 1 ft (block by J. Henson),,83-92,,
1:51.0,,,83-92,,Defensive rebound by D. Inglis
1:42.0,Personal foul by L. Stephenson,,83-92,,
1:37.0,,,83-92,,Shooting foul by M. Barnes (drawn by J. Henson)
1:37.0,,,83-92,,J. Henson misses free throw 1 of 2
1:37.0,,,83-92,,Offensive rebound by Team
1:37.0,,,83-93,1,J. Henson makes free throw 2 of 2
1:26.0,M. Barnes misses 3-pt shot from 24 ft,,83-93,,
1:24.0,Offensive rebound by J. Green,,83-93,,
