time,Dallas,pts.away,score,pts.home,Washington
1:26.0,Defensive rebound by J. Evans,,25-25,,
1:11.0,Turnover by D. Harris (bad pass; steal by R. Sessions),,25-25,,
1:03.0,,,25-25,,G. Temple misses 3-pt shot from 22 ft
1:00.0,Defensive rebound by J. Evans,,25-25,,
0:53.0,J. Evans makes 2-pt shot at rim (assist by R. Felton),2,27-25,,
0:47.0,,,27-27,2,R. Sessions makes 2-pt shot from 8 ft
0:36.0,R. Felton makes 2-pt shot from 2 ft,2,29-27,,
0:32.0,,,29-27,,Shooting foul by J. Anderson (drawn by R. Sessions)
0:32.0,,,29-27,,R. Sessions misses free throw 1 of 2
0:32.0,,,29-27,,Offensive rebound by Team
0:32.0,,,29-28,1,R. Sessions makes free throw 2 of 2
0:10.0,R. Felton misses 2-pt shot from 21 ft,,29-28,,
0:09.0,,,29-28,,Defensive rebound by Team
0:07.0,,,29-28,,J. Wall enters the game for G. Temple
0:07.0,W. Matthews enters the game for D. Nowitzki,,29-28,,
0:01.0,,,29-28,,J. Wall misses 2-pt shot from 2 ft (block by J. Evans)
0:01.0,Defensive rebound by J. Anderson,,29-28,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,,,29-30,2,G. Neal makes 2-pt shot from 17 ft (assist by J. Wall)
11:35.0,Shooting foul by G. Temple (drawn by D. Harris),,29-30,,
11:35.0,D. Harris makes 2-pt shot from 7 ft,2,31-30,,
11:35.0,D. Harris makes free throw 1 of 1,1,32-30,,
11:15.0,,,32-30,,O. Porter misses 2-pt shot from 15 ft
11:14.0,Defensive rebound by J. Evans,,32-30,,
10:56.0,Shooting foul by G. Temple (drawn by D. Nowitzki),,32-30,,
10:56.0,D. Nowitzki makes free throw 1 of 2,1,33-30,,
10:56.0,,,33-30,,J. Dudley enters the game for G. Temple
10:56.0,D. Nowitzki makes free throw 2 of 2,1,34-30,,
10:44.0,,,34-32,2,O. Porter makes 2-pt shot from 7 ft (assist by J. Wall)
10:31.0,R. Felton misses 2-pt shot from 10 ft,,34-32,,
10:30.0,,,34-32,,Defensive rebound by G. Neal
10:19.0,,,34-34,2,G. Neal makes 2-pt shot from 19 ft
10:02.0,Turnover by R. Felton (bad pass),,34-34,,
9:56.0,,,34-36,2,R. Sessions makes 2-pt shot from 2 ft
9:56.0,Dallas full timeout,,34-36,,
9:42.0,Turnover by J. Anderson (lost ball; steal by J. Wall),,34-36,,
9:39.0,,,34-36,,Shooting foul by J. Anderson (drawn by J. Wall)
9:39.0,Dallas full timeout,,34-36,,
9:39.0,D. Williams enters the game for D. Harris,,34-36,,
9:39.0,W. Matthews enters the game for J. Anderson,,34-36,,
9:39.0,,,34-37,1,J. Wall makes free throw 1 of 2
9:39.0,,,34-38,1,J. Wall makes free throw 2 of 2
9:23.0,Shooting foul by O. Porter (drawn by D. Nowitzki),,34-38,,
9:23.0,D. Nowitzki makes free throw 1 of 2,1,35-38,,
9:23.0,D. Nowitzki makes free throw 2 of 2,1,36-38,,
9:07.0,,,36-38,,J. Wall misses 2-pt shot from 19 ft
9:05.0,Defensive rebound by R. Felton,,36-38,,
8:53.0,D. Nowitzki misses 2-pt shot from 11 ft,,36-38,,
8:51.0,,,36-38,,Defensive rebound by O. Porter
8:47.0,,,36-40,2,J. Wall makes 2-pt shot from 3 ft
8:26.0,D. Williams misses 3-pt shot from 24 ft,,36-40,,
8:22.0,Offensive rebound by D. Nowitzki,,36-40,,
8:17.0,D. Nowitzki misses 2-pt shot from 2 ft,,36-40,,
8:16.0,,,36-40,,Defensive rebound by O. Porter
8:13.0,,,36-40,,G. Neal misses 3-pt shot from 24 ft
8:10.0,Defensive rebound by D. Nowitzki,,36-40,,
8:03.0,W. Matthews makes 3-pt shot from 23 ft (assist by R. Felton),3,39-40,,
7:48.0,,,39-42,2,G. Neal makes 2-pt shot from 11 ft (assist by J. Wall)
7:41.0,,,39-42,,Personal foul by R. Sessions (drawn by D. Williams)
7:41.0,C. Villanueva enters the game for D. Nowitzki,,39-42,,
7:41.0,,,39-42,,B. Beal enters the game for O. Porter
7:25.0,D. Williams misses 2-pt shot from 9 ft,,39-42,,
7:25.0,,,39-42,,Defensive rebound by Team
7:13.0,,,39-42,,G. Neal misses 3-pt shot from 26 ft
7:12.0,,,39-42,,Offensive rebound by B. Beal
7:00.0,,,39-44,2,J. Wall makes 2-pt shot at rim (assist by G. Neal)
6:47.0,Z. Pachulia enters the game for J. Evans,,39-44,,
6:47.0,,,39-44,,Personal foul by G. Neal (drawn by W. Matthews)
6:47.0,W. Matthews makes free throw 1 of 2,1,40-44,,
6:47.0,W. Matthews makes free throw 2 of 2,1,41-44,,
6:32.0,,,41-44,,J. Dudley misses 2-pt shot from 13 ft
6:30.0,Defensive rebound by D. Williams,,41-44,,
6:07.0,D. Williams misses 2-pt shot from 17 ft,,41-44,,
6:06.0,,,41-44,,Defensive rebound by J. Wall
6:01.0,,,41-44,,J. Wall misses 2-pt shot from 1 ft
5:58.0,Defensive rebound by R. Felton,,41-44,,
5:45.0,Z. Pachulia misses 2-pt shot from 1 ft,,41-44,,
5:44.0,,,41-44,,Defensive rebound by J. Wall
5:38.0,,,41-46,2,B. Beal makes 2-pt shot from 1 ft (assist by J. Wall)
5:18.0,R. Felton misses 3-pt shot from 24 ft,,41-46,,
5:16.0,,,41-46,,Defensive rebound by G. Neal
5:06.0,,,41-46,,G. Neal misses 2-pt shot from 18 ft
5:05.0,Defensive rebound by Z. Pachulia,,41-46,,
4:55.0,Turnover by R. Felton (bad pass; steal by J. Wall),,41-46,,
4:49.0,,,41-48,2,G. Neal makes 2-pt shot from 1 ft (assist by J. Wall)
4:49.0,Dallas full timeout,,41-48,,
4:49.0,Violation by Team (delay of game),,41-48,,
4:38.0,W. Matthews misses 3-pt shot from 24 ft,,41-48,,
4:36.0,,,41-48,,Defensive rebound by J. Dudley
4:27.0,,,41-48,,R. Sessions misses 3-pt shot from 24 ft
4:26.0,Defensive rebound by D. Williams,,41-48,,
4:19.0,C. Villanueva makes 2-pt shot from 1 ft (assist by D. Williams),2,43-48,,
4:04.0,,,43-50,2,G. Neal makes 2-pt shot from 15 ft
3:51.0,Turnover by Z. Pachulia (bad pass),,43-50,,
3:39.0,,,43-53,3,G. Neal makes 3-pt shot from 23 ft (assist by J. Dudley)
3:23.0,W. Matthews misses 3-pt shot from 25 ft,,43-53,,
3:22.0,Offensive rebound by Z. Pachulia,,43-53,,
3:22.0,Shooting foul by B. Beal (drawn by Z. Pachulia),,43-53,,
3:22.0,Z. Pachulia makes free throw 1 of 2,1,44-53,,
3:22.0,D. Nowitzki enters the game for C. Villanueva,,44-53,,
3:22.0,J. Jenkins enters the game for R. Felton,,44-53,,
3:22.0,Z. Pachulia misses free throw 2 of 2,,44-53,,
3:21.0,,,44-53,,Defensive rebound by B. Beal
3:07.0,,,44-53,,J. Wall misses 2-pt shot at rim
3:06.0,Defensive rebound by W. Matthews,,44-53,,
2:56.0,D. Williams makes 3-pt shot from 24 ft (assist by W. Matthews),3,47-53,,
2:47.0,,,47-56,3,J. Dudley makes 3-pt shot from 25 ft (assist by B. Beal)
2:29.0,Z. Pachulia makes 2-pt shot from 1 ft (assist by D. Nowitzki),2,49-56,,
2:18.0,,,49-56,,G. Neal misses 3-pt shot from 25 ft
2:17.0,Defensive rebound by W. Matthews,,49-56,,
2:07.0,Turnover by D. Nowitzki (bad pass; steal by J. Wall),,49-56,,
2:02.0,,,49-58,2,J. Wall makes 2-pt shot from 1 ft
1:49.0,D. Williams misses 2-pt shot from 6 ft,,49-58,,
1:48.0,Offensive rebound by Z. Pachulia,,49-58,,
1:46.0,Z. Pachulia misses 2-pt shot from 1 ft,,49-58,,
1:46.0,,,49-58,,Defensive rebound by Team
1:46.0,Official timeout,,49-58,,
1:46.0,R. Felton enters the game for Z. Pachulia,,49-58,,
1:24.0,,,49-58,,B. Beal misses 2-pt shot from 6 ft
1:22.0,Defensive rebound by D. Nowitzki,,49-58,,
1:05.0,D. Nowitzki makes 2-pt shot from 12 ft,2,51-58,,
0:53.0,,,51-58,,J. Dudley misses 2-pt shot from 14 ft
0:52.0,Defensive rebound by R. Felton,,51-58,,
0:35.0,,,51-58,,Personal foul by J. Dudley (drawn by D. Nowitzki)
0:35.0,D. Nowitzki makes free throw 1 of 2,1,52-58,,
0:35.0,D. Nowitzki makes free throw 2 of 2,1,53-58,,
0:33.0,,,53-58,,Turnover by B. Beal (bad pass; steal by R. Felton)
0:27.0,J. Jenkins makes 2-pt shot from 22 ft (assist by D. Williams),2,55-58,,
0:04.0,,,55-58,,Shooting foul by R. Felton (drawn by R. Sessions)
0:04.0,,,55-58,,R. Sessions misses free throw 1 of 2
0:04.0,,,55-58,,Offensive rebound by Team
0:04.0,,,55-58,,K. Oubre enters the game for J. Dudley
0:04.0,,,55-58,,R. Sessions misses free throw 2 of 2
0:04.0,Defensive rebound by W. Matthews,,55-58,,
0:01.0,D. Williams misses 3-pt shot from 59 ft,,55-58,,
0:00.0,Offensive rebound by Team,,55-58,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:40.0,Violation by Z. Pachulia (kicked ball),,55-58,,
11:26.0,,,55-58,,B. Beal misses 2-pt shot from 23 ft
11:26.0,,,55-58,,Offensive rebound by Team
11:26.0,,,55-58,,Turnover by Team (shot clock)
11:16.0,Z. Pachulia makes 2-pt shot from 6 ft (assist by D. Nowitzki),2,57-58,,
11:16.0,Shooting foul by B. Beal (drawn by Z. Pachulia),,57-58,,
11:16.0,Z. Pachulia makes free throw 1 of 1,1,58-58,,
11:02.0,,,58-58,,B. Beal misses 2-pt shot from 4 ft
11:01.0,,,58-58,,Offensive rebound by O. Porter
11:00.0,,,58-60,2,O. Porter makes 2-pt shot from 1 ft
10:30.0,W. Matthews makes 3-pt shot from 22 ft (assist by Z. Pachulia),3,61-60,,
10:17.0,Personal foul by W. Matthews (drawn by B. Beal),,61-60,,
10:06.0,,,61-60,,J. Wall misses 2-pt shot from 20 ft
10:05.0,Defensive rebound by D. Williams,,61-60,,
9:52.0,Turnover by Z. Pachulia (bad pass),,61-60,,
9:40.0,,,61-63,3,O. Porter makes 3-pt shot from 24 ft (assist by J. Wall)
9:15.0,D. Williams misses 3-pt shot from 25 ft,,61-63,,
9:15.0,Offensive rebound by Team,,61-63,,
9:15.0,,,61-63,,Loose ball foul by D. Blair (drawn by Z. Pachulia)
9:08.0,W. Matthews makes 3-pt shot from 26 ft (assist by D. Williams),3,64-63,,
8:55.0,,,64-63,,O. Porter misses 3-pt shot from 24 ft
8:54.0,Defensive rebound by R. Felton,,64-63,,
8:35.0,D. Nowitzki makes 2-pt shot from 13 ft,2,66-63,,
8:18.0,,,66-63,,Turnover by J. Wall (bad pass; steal by Z. Pachulia)
8:11.0,W. Matthews makes 3-pt shot from 24 ft,3,69-63,,
8:11.0,,,69-63,,Washington full timeout
8:00.0,,,69-63,,J. Dudley misses 3-pt shot from 22 ft
7:59.0,Defensive rebound by W. Matthews,,69-63,,
7:38.0,D. Williams misses 2-pt shot from 8 ft,,69-63,,
7:37.0,,,69-63,,Defensive rebound by J. Wall
7:33.0,,,69-63,,Turnover by J. Wall (bad pass; steal by R. Felton)
7:21.0,Turnover by R. Felton (bad pass; steal by J. Wall),,69-63,,
7:16.0,,,69-63,,B. Beal misses 3-pt shot from 25 ft
7:13.0,Defensive rebound by D. Nowitzki,,69-63,,
6:52.0,W. Matthews misses 3-pt shot from 23 ft,,69-63,,
6:50.0,,,69-63,,Defensive rebound by O. Porter
6:43.0,,,69-63,,J. Dudley misses 3-pt shot from 24 ft
6:42.0,,,69-63,,Offensive rebound by Team
6:41.0,,,69-63,,G. Neal enters the game for J. Dudley
6:41.0,C. Villanueva enters the game for D. Nowitzki,,69-63,,
6:33.0,,,69-65,2,J. Wall makes 2-pt shot from 1 ft
6:20.0,D. Williams misses 2-pt shot from 5 ft,,69-65,,
6:18.0,,,69-65,,Defensive rebound by O. Porter
6:05.0,,,69-67,2,J. Wall makes 2-pt shot from 13 ft
5:44.0,W. Matthews makes 2-pt shot from 13 ft,2,71-67,,
5:29.0,,,71-67,,O. Porter misses 2-pt shot from 8 ft
5:28.0,Defensive rebound by Z. Pachulia,,71-67,,
5:15.0,W. Matthews misses 2-pt shot from 7 ft,,71-67,,
5:14.0,,,71-67,,Defensive rebound by D. Blair
5:08.0,,,71-69,2,J. Wall makes 2-pt shot from 1 ft
5:08.0,,,71-69,,Shooting foul by R. Felton (drawn by J. Wall)
5:08.0,,,71-70,1,J. Wall makes free throw 1 of 1
4:51.0,Z. Pachulia misses 2-pt shot from 7 ft,,71-70,,
4:50.0,,,71-70,,Defensive rebound by D. Blair
4:43.0,,,71-70,,O. Porter misses 2-pt shot from 2 ft
4:40.0,Defensive rebound by Z. Pachulia,,71-70,,
4:37.0,Shooting foul by D. Blair (drawn by Z. Pachulia),,71-70,,
4:37.0,Z. Pachulia makes free throw 1 of 2,1,72-70,,
4:37.0,,,72-70,,J. Dudley enters the game for D. Blair
4:37.0,J. Jenkins enters the game for R. Felton,,72-70,,
4:37.0,Z. Pachulia makes free throw 2 of 2,1,73-70,,
4:28.0,,,73-72,2,J. Wall makes 2-pt shot at rim
4:10.0,J. Jenkins makes 3-pt shot from 24 ft (assist by W. Matthews),3,76-72,,
3:52.0,,,76-72,,O. Porter misses 2-pt shot from 17 ft
3:52.0,Defensive rebound by J. Jenkins,,76-72,,
3:44.0,Turnover by C. Villanueva (step out of bounds),,76-72,,
3:27.0,,,76-72,,O. Porter misses 3-pt shot from 24 ft
3:26.0,,,76-72,,Offensive rebound by J. Dudley
3:20.0,,,76-74,2,O. Porter makes 2-pt shot from 1 ft (assist by G. Neal)
2:57.0,W. Matthews makes 3-pt shot from 26 ft (assist by D. Williams),3,79-74,,
2:51.0,,,79-76,2,J. Wall makes 2-pt shot from 2 ft
2:51.0,,,79-76,,Shooting foul by C. Villanueva (drawn by J. Wall)
2:51.0,Dallas full timeout,,79-76,,
2:51.0,,,79-77,1,J. Wall makes free throw 1 of 1
2:28.0,C. Villanueva makes 3-pt shot from 24 ft (assist by W. Matthews),3,82-77,,
2:06.0,,,82-80,3,B. Beal makes 3-pt shot from 25 ft (assist by J. Wall)
1:47.0,,,82-80,,Personal foul by B. Beal (drawn by W. Matthews)
1:47.0,,,82-80,,R. Sessions enters the game for B. Beal
1:47.0,,,82-80,,G. Temple enters the game for O. Porter
1:47.0,D. Nowitzki enters the game for Z. Pachulia,,82-80,,
1:47.0,J. Evans enters the game for C. Villanueva,,82-80,,
1:35.0,J. Jenkins misses 3-pt shot from 25 ft,,82-80,,
1:34.0,,,82-80,,Defensive rebound by J. Dudley
1:26.0,Personal foul by D. Williams (drawn by J. Wall),,82-80,,
1:21.0,,,82-82,2,R. Sessions makes 2-pt shot from 11 ft
1:04.0,D. Williams misses 2-pt shot from 3 ft,,82-82,,
1:03.0,,,82-82,,Defensive rebound by G. Temple
0:42.0,,,82-84,2,J. Wall makes 2-pt shot from 18 ft
0:32.0,D. Nowitzki makes 3-pt shot from 25 ft (assist by D. Williams),3,85-84,,
0:31.0,,,85-84,,Washington full timeout
0:31.0,R. Felton enters the game for D. Nowitzki,,85-84,,
0:17.0,,,85-84,,J. Wall misses 3-pt shot from 25 ft
0:16.0,Defensive rebound by D. Williams,,85-84,,
0:02.0,Shooting foul by G. Temple (drawn by D. Williams),,85-84,,
0:02.0,D. Williams makes free throw 1 of 2,1,86-84,,
0:02.0,D. Williams makes free throw 2 of 2,1,87-84,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,R. Felton misses 2-pt shot from 7 ft,,87-84,,
11:41.0,,,87-84,,Defensive rebound by Team
11:22.0,,,87-84,,B. Beal misses 2-pt shot from 7 ft
11:21.0,Defensive rebound by D. Nowitzki,,87-84,,
11:03.0,W. Matthews makes 3-pt shot from 25 ft (assist by R. Felton),3,90-84,,
10:44.0,,,90-84,,O. Porter misses 3-pt shot from 26 ft
10:43.0,Defensive rebound by D. Nowitzki,,90-84,,
10:31.0,Turnover by R. Felton (bad pass; steal by R. Sessions),,90-84,,
10:22.0,,,90-86,2,B. Beal makes 2-pt shot from 16 ft (assist by G. Temple)
9:58.0,W. Matthews makes 3-pt shot from 24 ft (assist by R. Felton),3,93-86,,
9:34.0,,,93-88,2,O. Porter makes 2-pt shot from 7 ft
9:22.0,,,93-88,,Personal foul by R. Sessions (drawn by R. Felton)
9:07.0,R. Felton misses 3-pt shot from 26 ft,,93-88,,
9:04.0,Offensive rebound by J. Evans,,93-88,,
9:04.0,,,93-88,,Loose ball foul by R. Sessions (drawn by J. Evans)
8:53.0,W. Matthews makes 3-pt shot from 25 ft (assist by R. Felton),3,96-88,,
8:40.0,,,96-88,,B. Beal misses 2-pt shot from 17 ft
8:39.0,Defensive rebound by R. Felton,,96-88,,
8:15.0,W. Matthews misses 3-pt shot from 26 ft,,96-88,,
8:12.0,Offensive rebound by J. Evans,,96-88,,
8:00.0,D. Nowitzki makes 2-pt shot from 13 ft,2,98-88,,
8:00.0,,,98-88,,Washington full timeout
8:00.0,,,98-88,,J. Dudley enters the game for O. Porter
8:00.0,,,98-88,,J. Wall enters the game for R. Sessions
8:00.0,D. Williams enters the game for W. Matthews,,98-88,,
7:50.0,,,98-88,,Offensive foul by J. Dudley
7:50.0,,,98-88,,Turnover by J. Dudley (offensive foul)
7:36.0,D. Nowitzki misses 2-pt shot from 16 ft,,98-88,,
7:35.0,,,98-88,,Defensive rebound by J. Wall
7:24.0,Violation by J. Evans (kicked ball),,98-88,,
7:24.0,,,98-88,,O. Porter enters the game for G. Temple
7:11.0,,,98-91,3,B. Beal makes 3-pt shot from 25 ft (assist by G. Neal)
6:49.0,J. Evans makes 2-pt shot from 18 ft (assist by R. Felton),2,100-91,,
6:37.0,,,100-91,,G. Neal misses 3-pt shot from 24 ft
6:35.0,Defensive rebound by R. Felton,,100-91,,
6:13.0,R. Felton misses 3-pt shot from 25 ft,,100-91,,
6:12.0,,,100-91,,Defensive rebound by O. Porter
6:06.0,,,100-93,2,J. Wall makes 2-pt shot from 1 ft
6:06.0,Dallas full timeout,,100-93,,
6:06.0,W. Matthews enters the game for D. Nowitzki,,100-93,,
5:44.0,R. Felton makes 2-pt shot at rim (assist by W. Matthews),2,102-93,,
5:26.0,,,102-93,,Turnover by B. Beal (lost ball; steal by D. Williams)
5:04.0,W. Matthews misses 3-pt shot from 25 ft,,102-93,,
5:03.0,,,102-93,,Defensive rebound by O. Porter
4:55.0,,,102-96,3,B. Beal makes 3-pt shot from 23 ft (assist by J. Wall)
4:42.0,Turnover by D. Williams (bad pass; steal by J. Dudley),,102-96,,
4:34.0,,,102-96,,J. Wall misses 3-pt shot from 24 ft
4:32.0,Defensive rebound by D. Williams,,102-96,,
4:09.0,R. Felton makes 2-pt shot from 9 ft,2,104-96,,
3:53.0,,,104-96,,B. Beal misses 2-pt shot from 14 ft
3:51.0,Defensive rebound by D. Williams,,104-96,,
3:46.0,Shooting foul by J. Wall (drawn by D. Williams),,104-96,,
3:46.0,Official timeout,,104-96,,
3:46.0,D. Williams makes free throw 1 of 2,1,105-96,,
3:46.0,D. Williams makes free throw 2 of 2,1,106-96,,
3:35.0,,,106-96,,Shooting foul by J. Jenkins (drawn by B. Beal)
3:35.0,,,106-97,1,B. Beal makes free throw 1 of 2
3:35.0,,,106-97,,R. Sessions enters the game for J. Dudley
3:35.0,,,106-97,,B. Beal misses free throw 2 of 2
3:34.0,Defensive rebound by R. Felton,,106-97,,
3:22.0,W. Matthews makes 2-pt shot from 2 ft (assist by D. Williams),2,108-97,,
3:10.0,,,108-97,,G. Neal misses 3-pt shot from 25 ft
3:09.0,Defensive rebound by R. Felton,,108-97,,
2:48.0,R. Felton makes 2-pt shot from 21 ft,2,110-97,,
